locale	calendar	skeleton	pattern
as	indian	yMMMMdhmsvvvv	d MMMM y G h:mm:ss a vvvv বজাত
as	islamic	BBBB	BBBB
as	islamic	GGGG	GGGG
as	islamic	QQQQ	QQQQ
as	islamic	d	d
as	islamic	dd	dd
as	islamic	jjjj	h aaaa
as	islamic	ss	ss
as	islamic	yMdEEEE	EEEE, dd-MM-y GGGGG
as	islamic	yMdEEEEEE	EEEEEE, dd-MM-y GGGGG
as	islamic	yQQQ	G y QQQ
as	islamic	yyyy	y G
as	islamic-civil	BBBBB	BBBBB
as	islamic-civil	Cm	h:mm a
as	islamic-civil	Hms	HH:mm:ss
as	islamic-civil	JJJJJ	hh
as	islamic-civil	jjjjj	h aaaaa
as	islamic-civil	yMv	MM-y GGGGG v
as	islamic-civil	zzz	zzz
as	islamic-civil	zzzzz	zzzzz
as	islamic-rgsa	BBBBB	BBBBB
as	islamic-rgsa	JJJJJ	hh
as	islamic-rgsa	hms	h:mm:ss a
as	islamic-rgsa	jjj	h aaaa
as	islamic-rgsa	z	z
as	islamic-tbla	BBBBB	BBBBB
as	islamic-tbla	JJJJJ	hh
as	islamic-tbla	jjjjj	h aaaaa
as	islamic-tbla	z	z
as	islamic-tbla	zzzzz	zzzzz
as	islamic-umalqura	BBBBhm	BBBB h:mm
as	islamic-umalqura	Bhm	B h:mm
as	islamic-umalqura	s	s
as	japanese	JJm	hh:mm
as	japanese	M	L
as	japanese	hhm	hh:mm a
as	japanese	jjjm	h:mm aaaa
as	persian	EEEE	cccc
as	persian	JJ	hh
as	persian	JJJJ	hh
as	persian	hh	hh a
as	persian	mm	mm
as	persian	yM	MM-y GGGGG
as	persian	yMdEEEE	EEEE, dd-MM-y GGGGG
as	roc	B	B
as	roc	JJJ	hh
as	roc	j	h a
az	buddhist	EEEEEE	cccccc
az	buddhist	JJJJJJ	HH
az	buddhist	UUUU	G y
az	buddhist	hmm	h:mm a
az	buddhist	hmsz	h:mm:ss a z
az	chinese	CC	HH
az	chinese	CCCC	HH
az	chinese	HH	HH
az	chinese	MM	LL
az	chinese	d	d
az	chinese	jjjjjj	HH
az	chinese	yMMMMM	r MMMMM
az	chinese	yMdEEEE	r-MM-dd, EEEE
az	chinese	yMdd	r-MM-dd
az	chinese	zz	zz
az	chinese	zzzz	zzzz
az	coptic	BBBBhm	h:mm BBBB
az	coptic	C	HH
az	coptic	GGG	GGG
az	coptic	hmss	h:mm:ss a
az	coptic	yMMMMdv	G d MMMM y v
az	coptic	yMdEEEEE	GGGGG dd.MM.y, EEEEE
az	dangi	B	B
az	dangi	j	HH
az	ethiopic	Bhh	hh B
az	ethiopic	CCCm	HH:mm
az	ethiopic	J	HH
az	gregorian	Bhm	B h:mm
az	gregorian	C	HH
az	gregorian	GGGyMd	GGG d M y
az	hebrew	BBBBB	BBBBB
az	hebrew	CCCCCm	HH:mm
az	hebrew	Cm	HH:mm
az	hebrew	JJJ	HH
az	hebrew	JJJJJ	HH
az	hebrew	jjjjj	HH
az	hebrew	z	z
az	hebrew	zzzzz	zzzzz
az	indian	CCCCCm	HH:mm
az	indian	CCCm	HH:mm
az	indian	Hms	HH:mm:ss
az	indian	yMv	GGGGG MM y v
az	indian	zzz	zzz
az	islamic	CCCCCCm	HH:mm
az	islamic	CCm	HH:mm
az	islamic	HHm	HH:mm
az	islamic	Jm	HH:mm
az	islamic	QQQ	QQQ
az	islamic	U	G y
az	islamic	yMMMMEEEEd	G d MMMM y, EEEE
az	islamic	yMMMMEEEEdvvvv	G d MMMM y, EEEE vvvv
az	islamic	yyyyMd	GGGGG dd.MM.y
az	islamic-civil	Hm	HH:mm
az	islamic-civil	hmss	h:mm:ss a
az	islamic-rgsa	EEEEE	ccccc
az	islamic-rgsa	JJJJm	HH:mm
az	islamic-rgsa	JJm	HH:mm
az	islamic-rgsa	MMMMM	LLLLL
az	islamic-rgsa	QQQQQ	QQQQQ
az	islamic-rgsa	U	G y
az	islamic-rgsa	hhm	hh:mm a
az	islamic-rgsa	yQQQQ	G y QQQQ
az	islamic-tbla	JJJJJm	HH:mm
az	islamic-tbla	Jm	HH:mm
az	islamic-tbla	U	G y
az	islamic-tbla	jjjjjm	HH:mm
az	islamic-tbla	jjjm	HH:mm
az	islamic-tbla	yMMMM	G MMMM y
az	islamic-tbla	yMMMMd	G d MMMM y
az	islamic-umalqura	Bhh	hh B
az	islamic-umalqura	CCCCCm	HH:mm
az	islamic-umalqura	CCCm	HH:mm
az	islamic-umalqura	J	HH
az	islamic-umalqura	hmszzzz	h:mm:ss a zzzz
az	japanese	CC	HH
az	japanese	HH	HH
az	japanese	MM	LL
az	japanese	h	h a
az	japanese	vvvv	vvvv
az	japanese	yMMM	G MMM y
az	japanese	zz	zz
az	persian	CCCCCCm	HH:mm
az	persian	JJJJJJm	HH:mm
az	persian	JJm	HH:mm
az	persian	Q	Q
az	persian	hhm	hh:mm a
az	persian	jjjjjjm	HH:mm
az	persian	jm	HH:mm
az	persian	y	G y
az	persian	yMMMM	G MMMM y
az	persian	yMMMMEEEEd	G d MMMM y, EEEE
az	roc	G	G
az	roc	GGGGGyMd	GGGGG d M y
az	roc	yMMMMdhmsvvvv	G d MMMM y h:mm:ss a vvvv
az_Latn	buddhist	EEEEEE	cccccc
az_Latn	buddhist	GGGGyMd	GGGG d M y
az_Latn	buddhist	JJJJJJ	HH
az_Latn	buddhist	UUUU	G y
az_Latn	buddhist	dd	dd
az_Latn	buddhist	hmsz	h:mm:ss a z
az_Latn	buddhist	hmszzz	h:mm:ss a zzz
az_Latn	buddhist	ss	ss
az_Latn	chinese	EEEE	cccc
az_Latn	chinese	EEEEEE	cccccc
az_Latn	chinese	JJJJ	HH
az_Latn	chinese	JJJJJJ	HH
az_Latn	chinese	d	d
az_Latn	chinese	hmszzz	h:mm:ss a zzz
az_Latn	chinese	hmszzzzz	h:mm:ss a zzzzz
az_Latn	coptic	BBBBBhm	h:mm BBBBB
az_Latn	coptic	BBBBhm	h:mm BBBB
az_Latn	coptic	yMdE	GGGGG dd.MM.y, E
az_Latn	dangi	BBBBB	BBBBB
az_Latn	dangi	CCCCCm	HH:mm
az_Latn	dangi	JJJJJ	HH
az_Latn	dangi	jjjjj	HH
az_Latn	dangi	zzzzz	zzzzz
az_Latn	ethiopic	B	B
az_Latn	ethiopic	BBBBB	BBBBB
az_Latn	ethiopic	CCCm	HH:mm
az_Latn	ethiopic	JJJ	HH
az_Latn	ethiopic	JJJJJ	HH
az_Latn	ethiopic	hmszzzz	h:mm:ss a zzzz
az_Latn	ethiopic	j	HH
az_Latn	ethiopic	jjjjj	HH
az_Latn	ethiopic	zzzzz	zzzzz
az_Latn	gregorian	G	G
az_Latn	gregorian	GGG	GGG
az_Latn	gregorian	GGGGGyMd	GGGGG d M y
az_Latn	gregorian	hmss	h:mm:ss a
az_Latn	hebrew	Bh	h B
az_Latn	hebrew	Bhh	hh B
az_Latn	hebrew	CCCCCm	HH:mm
az_Latn	hebrew	hmszzzz	h:mm:ss a zzzz
az_Latn	hebrew	v	v
az_Latn	indian	CCCCCm	HH:mm
az_Latn	indian	hms	h:mm:ss a
az_Latn	indian	jjj	HH
az_Latn	indian	z	z
az_Latn	islamic	CCm	HH:mm
az_Latn	islamic	E	ccc
az_Latn	islamic	HHm	HH:mm
az_Latn	islamic	JJJJJm	HH:mm
az_Latn	islamic	JJJm	HH:mm
az_Latn	islamic	QQQ	QQQ
az_Latn	islamic	jjjjjm	HH:mm
az_Latn	islamic	jm	HH:mm
az_Latn	islamic	m	m
az_Latn	islamic	yMMMMEEEEdvvvv	G d MMMM y, EEEE vvvv
az_Latn	islamic	yMMMMd	G d MMMM y
az_Latn	islamic-civil	BBBBBhm	h:mm BBBBB
az_Latn	islamic-civil	C	HH
az_Latn	islamic-civil	GGG	GGG
az_Latn	islamic-civil	hmss	h:mm:ss a
az_Latn	islamic-civil	yMMMMdhmsvvvv	G d MMMM y h:mm:ss a vvvv
az_Latn	islamic-rgsa	EEEEE	ccccc
az_Latn	islamic-rgsa	JJJJJm	HH:mm
az_Latn	islamic-rgsa	JJJJm	HH:mm
az_Latn	islamic-rgsa	MMMMM	LLLLL
az_Latn	islamic-rgsa	QQQQQ	QQQQQ
az_Latn	islamic-rgsa	jjjjjjm	HH:mm
az_Latn	islamic-rgsa	jjjjjm	HH:mm
az_Latn	islamic-rgsa	yMMMMd	G d MMMM y
az_Latn	islamic-rgsa	yQQQQ	G y QQQQ
az_Latn	islamic-rgsa	yyMd	GGGGG dd.MM.yy
az_Latn	islamic-tbla	JJJJJJm	HH:mm
az_Latn	islamic-tbla	jjjjjjm	HH:mm
az_Latn	islamic-tbla	yMM	GGGGG MM y
az_Latn	islamic-tbla	yMMMM	G MMMM y
az_Latn	islamic-umalqura	J	HH
az_Latn	islamic-umalqura	JJJ	HH
az_Latn	japanese	CC	HH
az_Latn	japanese	HH	HH
az_Latn	japanese	MM	LL
az_Latn	japanese	vvvv	vvvv
az_Latn	japanese	yMMM	G MMM y
az_Latn	japanese	zz	zz
az_Latn	persian	CCCCCCm	HH:mm
az_Latn	persian	Cms	HH:mm:ss
az_Latn	persian	Jm	HH:mm
az_Latn	persian	MMM	LLL
az_Latn	persian	U	G y
az_Latn	persian	jjm	HH:mm
az_Latn	persian	yMMMM	G MMMM y
az_Latn	persian	yyyyMd	GGGGG dd.MM.y
az_Latn	roc	BBBBhm	h:mm BBBB
az_Latn	roc	Bhm	h:mm B
az_Latn	roc	yMdE	GGGGG dd.MM.y, E
az_Latn	roc	yMdEEEEE	GGGGG dd.MM.y, EEEEE
ba	buddhist	CCCCCm	HH:mm
ba	buddhist	Hms	HH:mm:ss
ba	buddhist	hmszz	hh:mm:ss a zz
ba	buddhist	yMv	MM.y GGGGG v
ba	buddhist	z	z
ba	buddhist	zzz	zzz
ba	chinese	Hms	HH:mm:ss
ba	chinese	hmszz	h:mm:ss a zz
ba	chinese	yMv	r-MM v
ba	chinese	z	z
ba	chinese	zzz	zzz
ba	coptic	CCCCm	HH:mm
ba	coptic	JJJJJJm	HH:mm
ba	coptic	M	L
ba	coptic	jjjjjjm	HH:mm
ba	dangi	GG	GG
ba	dangi	H	HH
ba	dangi	QQ	QQ
ba	dangi	hmm	h:mm a
ba	dangi	jj	HH
ba	dangi	jjjjjj	HH
ba	dangi	vvvv	vvvv
ba	dangi	yMMM	r MMM
ba	dangi	yMMMMM	r MMMMM
ba	dangi	yMdHmsv	r-MM-dd HH:mm:ss v
ba	dangi	yQ	r(U) QQQ
ba	dangi	yy	rr(U)
ba	ethiopic	CCCC	HH 'сәғ'.
ba	ethiopic	MMMM	LLLL
ba	ethiopic	d	d
ba	ethiopic	dd	dd
ba	ethiopic	hmszzz	hh:mm:ss a zzz
ba	ethiopic	ss	ss
ba	ethiopic	yMd	dd.MM.y GGGGG
ba	ethiopic	yMdd	dd.MM.y GGGGG
ba	ethiopic	zzzz	zzzz
ba	gregorian	E	ccc
ba	gregorian	JJm	HH:mm
ba	gregorian	Jm	HH:mm
ba	gregorian	hhm	hh:mm a
ba	gregorian	jjjjm	HH:mm
ba	gregorian	jjjm	HH:mm
ba	gregorian	m	m
ba	hebrew	CCCCCC	HH 'сәғ'.
ba	hebrew	GG	GG
ba	hebrew	H	HH 'сәғ'.
ba	hebrew	QQ	QQ
ba	hebrew	UUUU	G y
ba	hebrew	hmsz	hh:mm:ss a z
ba	hebrew	jj	HH 'сәғ'.
ba	hebrew	yMd	dd.MM.y GGGGG
ba	hebrew	yQ	QQQ y 'й'. G
ba	hebrew	yy	G yy
ba	indian	CC	HH 'сәғ'.
ba	indian	CCCCCC	HH 'сәғ'.
ba	indian	EEEE	cccc
ba	indian	GGGGyMd	dd.MM.y GGGG
ba	indian	GGyMd	dd.MM.y GG
ba	indian	HH	HH 'сәғ'.
ba	indian	JJJJ	HH 'сәғ'.
ba	indian	MM	LL
ba	indian	d	d
ba	indian	hmm	hh:mm a
ba	indian	yMdHmsv	dd.MM.y GGGGG HH:mm:ss v
ba	indian	zz	zz
ba	islamic	BBBBhm	h:mm BBBB
ba	islamic	G	G
ba	islamic	yMMMMdv	d MMMM y 'й'. G v
ba	islamic	yMdE	E, dd.MM.y GGGGG
ba	islamic	yMdEEEEE	EEEEE, dd.MM.y GGGGG
ba	islamic-civil	CCCCCCm	HH:mm
ba	islamic-civil	JJm	HH:mm
ba	islamic-civil	hhm	hh:mm a
ba	islamic-civil	yMMMMEEEEd	EEEE, d MMMM y 'й'. G
ba	islamic-rgsa	BBBBhm	h:mm BBBB
ba	islamic-rgsa	Bhm	h:mm B
ba	islamic-rgsa	G	G
ba	islamic-rgsa	hmss	hh:mm:ss a
ba	islamic-tbla	CCC	HH 'сәғ'.
ba	islamic-tbla	G	G
ba	islamic-tbla	GGGGGyMd	dd.MM.y GGGGG
ba	islamic-tbla	GGGyMd	dd.MM.y GGG
ba	islamic-tbla	yMdE	E, dd.MM.y GGGGG
ba	islamic-umalqura	EEEE	cccc
ba	islamic-umalqura	GGGGyMd	dd.MM.y GGGG
ba	islamic-umalqura	GGyMd	dd.MM.y GG
ba	islamic-umalqura	JJJJ	HH 'сәғ'.
ba	japanese	BBBBB	BBBBB
ba	japanese	CCCm	HH:mm
ba	japanese	Cm	HH:mm
ba	japanese	JJJJJ	HH 'сәғ'.
ba	japanese	jjjjj	HH 'сәғ'.
ba	japanese	zzzzz	zzzzz
ba	persian	Bhm	h:mm B
ba	persian	C	HH 'сәғ'.
ba	persian	GyMd	dd.MM.y G
ba	persian	HmsS	HH:mm:ss.S
ba	persian	yMMMMdhmsvvvv	d MMMM y 'й'. G hh:mm:ss a vvvv
ba	persian	yMMMMdv	d MMMM y 'й'. G v
ba	persian	yMdEEEEE	EEEEE, dd.MM.y GGGGG
ba	roc	Cms	HH:mm:ss
ba	roc	EEEEE	ccccc
ba	roc	JJJJJJm	HH:mm
ba	roc	JJJJm	HH:mm
ba	roc	JJJm	HH:mm
ba	roc	Jm	HH:mm
ba	roc	MMM	LLL
ba	roc	MMMMM	LLLLL
ba	roc	Q	Q
