locale	calendar	skeleton	pattern
ak	buddhist	yMMMMEEEEd	EEEE, MMMM d, y
ak	buddhist	GyMd	G y-MM-dd
ak	buddhist	HmsS	HH:mm:ss.S
ak	buddhist	Cms	h:mm:ss a
ak	buddhist	yMdHmsv	y/M/d HH:mm:ss v
ak	buddhist	Bh	h B
ak	buddhist	MMMM	LLLL
ak	buddhist	jjm	h:mm a
ak	chinese	yMd	r-MM-dd
ak	chinese	yMMMMd	r(U) MMMM d
ak	chinese	yMMMMEEEEd	r(U) MMMM d, EEEE
ak	chinese	GyMd	r MMM d
ak	chinese	HmsS	HH:mm:ss.S
ak	chinese	Cms	h:mm:ss a
ak	chinese	yMdHmsv	r-MM-dd HH:mm:ss v
ak	chinese	Bh	h B
ak	chinese	MMMM	LLLL
ak	chinese	jjm	h:mm a
am	gregorian	yMd	d/M/y
am	gregorian	yMMMMd	y MMMM d
am	gregorian	yMMMMEEEEd	y MMMM d, EEEE
am	gregorian	GyMd	d/M/y GGGGG
am	gregorian	HmsS	HH:mm:ss.S
am	gregorian	Cms	B h:mm:ss
am	gregorian	yMdHmsv	d/M/y HH:mm:ss v
am	gregorian	Bh	B h
am	gregorian	MMMM	LLLL
am	gregorian	jjm	a h:mm
am	japanese	yMd	d/M/y
am	japanese	yMMMMd	d MMMM y
am	japanese	yMMMMEEEEd	EEEE፣ MMMM d y
am	japanese	GyMd	M/d/y GGGGG
am	japanese	HmsS	HH:mm:ss.S
am	japanese	Cms	h:mm:ss B
am	japanese	yMdHmsv	d/M/y HH:mm:ss v
am	japanese	Bh	h B
am	japanese	MMMM	LLLL
am	japanese	jjm	h:mm a
am	buddhist	yMd	d/M/y
am	buddhist	yMMMMd	d MMMM y
am	buddhist	yMMMMEEEEd	EEEE፣ MMMM d y
am	buddhist	GyMd	M/d/y GGGGG
am	buddhist	HmsS	HH:mm:ss.S
am	buddhist	Cms	h:mm:ss B
am	buddhist	yMdHmsv	d/M/y HH:mm:ss v
am	buddhist	Bh	h B
am	buddhist	MMMM	LLLL
am	buddhist	jjm	h:mm a
am	chinese	yMd	r-MM-dd
am	chinese	yMMMMd	r(U) MMMM d
am	chinese	yMMMMEEEEd	r(U) MMMM d, EEEE
am	chinese	GyMd	r MMM d
am	chinese	HmsS	HH:mm:ss.S
am	chinese	Cms	h:mm:ss B
am	chinese	yMdHmsv	r-MM-dd HH:mm:ss v
am	chinese	Bh	h B
am	chinese	MMMM	LLLL
am	chinese	jjm	h:mm a
as	gregorian	yMd	dd-MM-y
as	gregorian	yMMMMd	y MMMM d
as	gregorian	yMMMMEEEEd	y MMMM d, EEEE
as	gregorian	GyMd	d/M/y GGGGG
as	gregorian	HmsS	HH:mm:ss.S
as	gregorian	Cms	a h:mm:ss
as	gregorian	yMdHmsv	dd-MM-y HH:mm:ss v
as	gregorian	Bh	B h
as	gregorian	MMMM	LLLL
as	gregorian	jjm	a h:mm
as	japanese	yMd	dd-MM-y GGGGG
as	japanese	yMMMMd	d MMMM y G
as	japanese	yMMMMEEEEd	EEEE, MMMM d, y G
as	japanese	GyMd	d/M/y GGGGG
as	japanese	HmsS	HH:mm:ss.S
as	japanese	Cms	h:mm:ss a
as	japanese	yMdHmsv	dd-MM-y GGGGG HH:mm:ss v
as	japanese	Bh	B h
as	japanese	MMMM	LLLL
as	japanese	jjm	h:mm a
as	buddhist	yMd	dd-MM-y GGGGG
as	buddhist	yMMMMd	d MMMM y G
as	buddhist	yMMMMEEEEd	EEEE, MMMM d, y G
as	buddhist	GyMd	d/M/y GGGGG
as	buddhist	HmsS	HH:mm:ss.S
as	buddhist	Cms	h:mm:ss a
as	buddhist	yMdHmsv	dd-MM-y GGGGG HH:mm:ss v
as	buddhist	Bh	B h
as	buddhist	MMMM	LLLL
as	buddhist	jjm	h:mm a
as	chinese	yMd	r-MM-dd
as	chinese	yMMMMd	r(U) MMMM d
as	chinese	yMMMMEEEEd	r(U) MMMM d, EEEE
as	chinese	GyMd	r MMM d
as	chinese	HmsS	HH:mm:ss.S
as	chinese	Cms	h:mm:ss a
as	chinese	yMdHmsv	r-MM-dd HH:mm:ss v
as	chinese	Bh	h B
as	chinese	MMMM	LLLL
as	chinese	jjm	h:mm a
az	gregorian	yMd	dd.MM.y
az	gregorian	yMMMMd	y MMMM d
az	gregorian	yMMMMEEEEd	y MMMM d, EEEE
az	gregorian	GyMd	G d M y
az	gregorian	HmsS	HH:mm:ss,S
az	gregorian	Cms	HH:mm:ss
az	gregorian	yMdHmsv	dd.MM.y HH:mm:ss v
az	gregorian	Bh	B h
az	gregorian	MMMM	LLLL
az	gregorian	jjm	HH:mm
az	japanese	yMd	GGGGG dd.MM.y
az	japanese	yMMMMd	G d MMMM y
az	japanese	yMMMMEEEEd	G d MMMM y, EEEE
az	japanese	GyMd	GGGGG d M y
az	japanese	HmsS	HH:mm:ss,S
az	japanese	Cms	HH:mm:ss
az	japanese	yMdHmsv	GGGGG dd.MM.y HH:mm:ss v
az	japanese	Bh	h B
az	japanese	MMMM	LLLL
az	japanese	jjm	HH:mm
az	buddhist	yMd	GGGGG dd.MM.y
az	buddhist	yMMMMd	G d MMMM y
az	buddhist	yMMMMEEEEd	G d MMMM y, EEEE
az	buddhist	GyMd	GGGGG d M y
az	buddhist	HmsS	HH:mm:ss,S
az	buddhist	Cms	HH:mm:ss
az	buddhist	yMdHmsv	GGGGG dd.MM.y HH:mm:ss v
az	buddhist	Bh	h B
az	buddhist	MMMM	LLLL
az	buddhist	jjm	HH:mm
az	chinese	yMd	r-MM-dd
az	chinese	yMMMMd	r(U) MMMM d
az	chinese	yMMMMEEEEd	r(U) MMMM d, EEEE
az	chinese	GyMd	r MMM d
az	chinese	HmsS	HH:mm:ss,S
az	chinese	Cms	HH:mm:ss
az	chinese	yMdHmsv	r-MM-dd HH:mm:ss v
az	chinese	Bh	h B
az	chinese	MMMM	LLLL
az	chinese	jjm	HH:mm
az_Latn	gregorian	yMd	dd.MM.y
az_Latn	gregorian	yMMMMd	y MMMM d
az_Latn	gregorian	yMMMMEEEEd	y MMMM d, EEEE
az_Latn	gregorian	GyMd	G d M y
az_Latn	gregorian	HmsS	HH:mm:ss,S
az_Latn	gregorian	Cms	HH:mm:ss
az_Latn	gregorian	yMdHmsv	dd.MM.y HH:mm:ss v
az_Latn	gregorian	Bh	B h
az_Latn	gregorian	MMMM	LLLL
az_Latn	gregorian	jjm	HH:mm
az_Latn	japanese	yMd	GGGGG dd.MM.y
az_Latn	japanese	yMMMMd	G d MMMM y
az_Latn	japanese	yMMMMEEEEd	G d MMMM y, EEEE
az_Latn	japanese	GyMd	GGGGG d M y
az_Latn	japanese	HmsS	HH:mm:ss,S
az_Latn	japanese	Cms	HH:mm:ss
az_Latn	japanese	yMdHmsv	GGGGG dd.MM.y HH:mm:ss v
az_Latn	japanese	Bh	h B
az_Latn	japanese	MMMM	LLLL
az_Latn	japanese	jjm	HH:mm
az_Latn	buddhist	yMd	GGGGG dd.MM.y
az_Latn	buddhist	yMMMMd	G d MMMM y
az_Latn	buddhist	yMMMMEEEEd	G d MMMM y, EEEE
az_Latn	buddhist	GyMd	GGGGG d M y
az_Latn	buddhist	HmsS	HH:mm:ss,S
az_Latn	buddhist	Cms	HH:mm:ss
az_Latn	buddhist	yMdHmsv	GGGGG dd.MM.y HH:mm:ss v
az_Latn	buddhist	Bh	h B
az_Latn	buddhist	MMMM	LLLL
az_Latn	buddhist	jjm	HH:mm
az_Latn	chinese	yMd	r-MM-dd
az_Latn	chinese	yMMMMd	r(U) MMMM d
az_Latn	chinese	yMMMMEEEEd	r(U) MMMM d, EEEE
az_Latn	chinese	GyMd	r MMM d
az_Latn	chinese	HmsS	HH:mm:ss,S
az_Latn	chinese	Cms	HH:mm:ss
az_Latn	chinese	yMdHmsv	r-MM-dd HH:mm:ss v
az_Latn	chinese	Bh	h B
az_Latn	chinese	MMMM	LLLL
az_Latn	chinese	jjm	HH:mm
ba	gregorian	yMd	dd.MM.y
ba	gregorian	yMMMMd	y MMMM d
ba	gregorian	yMMMMEEEEd	y MMMM d, EEEE
ba	gregorian	GyMd	G dd.MM.y
ba	gregorian	HmsS	HH:mm:ss.S
ba	gregorian	Cms	HH:mm:ss
ba	gregorian	yMdHmsv	dd.MM.y, HH:mm:ss v
ba	gregorian	Bh	h B
ba	gregorian	MMMM	LLLL
ba	gregorian	jjm	HH:mm
ba	japanese	yMd	dd.MM.y GGGGG
ba	japanese	yMMMMd	d MMMM y 'й'. G
ba	japanese	yMMMMEEEEd	EEEE, d MMMM y 'й'. G
ba	japanese	GyMd	dd.MM.y G
ba	japanese	HmsS	HH:mm:ss.S
ba	japanese	Cms	HH:mm:ss
ba	japanese	yMdHmsv	dd.MM.y GGGGG HH:mm:ss v
ba	japanese	Bh	h B
ba	japanese	MMMM	LLLL
ba	japanese	jjm	HH:mm
ba	buddhist	yMd	dd.MM.y GGGGG
ba	buddhist	yMMMMd	d MMMM y 'й'. G
ba	buddhist	yMMMMEEEEd	EEEE, d MMMM y 'й'. G
ba	buddhist	GyMd	dd.MM.y G
ba	buddhist	HmsS	HH:mm:ss.S
ba	buddhist	Cms	HH:mm:ss
ba	buddhist	yMdHmsv	dd.MM.y GGGGG HH:mm:ss v
ba	buddhist	Bh	h B
ba	buddhist	MMMM	LLLL
ba	buddhist	jjm	HH:mm
ba	chinese	yMd	r-MM-dd
ba	chinese	yMMMMd	r(U) MMMM d
ba	chinese	yMMMMEEEEd	r(U) MMMM d, EEEE
ba	chinese	GyMd	r MMM d
ba	chinese	HmsS	HH:mm:ss.S
ba	chinese	Cms	HH:mm:ss
ba	chinese	yMdHmsv	r-MM-dd HH:mm:ss v
ba	chinese	Bh	h B
ba	chinese	MMMM	LLLL
ba	chinese	jjm	HH:mm
be	gregorian	yMd	d.M.y
be	gregorian	yMMMMd	y MMMM d
be	gregorian	yMMMMEEEEd	y MMMM d, EEEE
be	gregorian	GyMd	dd.MM.y GGGGG
be	gregorian	HmsS	HH:mm:ss,S
be	gregorian	Cms	HH:mm:ss
be	gregorian	yMdHmsv	d.M.y, HH:mm:ss v
be	gregorian	Bh	h B
be	gregorian	MMMM	LLLL
be	gregorian	jjm	HH:mm
be	japanese	yMd	d.M.y G
be	japanese	yMMMMd	d MMMM y G
be	japanese	yMMMMEEEEd	EEEE, d MMMM y G
be	japanese	GyMd	dd.MM.y GGGGG
be	japanese	HmsS	HH:mm:ss,S
be	japanese	Cms	HH:mm:ss
be	japanese	yMdHmsv	d.M.y G, HH:mm:ss v
be	japanese	Bh	h B
be	japanese	MMMM	LLLL
be	japanese	jjm	HH:mm
be	buddhist	yMd	d.M.y
be	buddhist	yMMMMd	d MMMM y G
be	buddhist	yMMMMEEEEd	EEEE, d MMMM y G
be	buddhist	GyMd	dd.MM.y GGGGG
be	buddhist	HmsS	HH.mm.ss,S
be	buddhist	Cms	HH.mm.ss
be	buddhist	yMdHmsv	d.M.y, HH.mm.ss v
be	buddhist	Bh	h B
be	buddhist	MMMM	LLLL
be	buddhist	jjm	HH.mm
be	chinese	yMd	r-MM-dd
be	chinese	yMMMMd	r(U) MMMM d
be	chinese	yMMMMEEEEd	r(U) MMMM d, EEEE
be	chinese	GyMd	r MMM d
be	chinese	HmsS	HH:mm:ss,S
be	chinese	Cms	HH:mm:ss
be	chinese	yMdHmsv	r-MM-dd HH:mm:ss v
be	chinese	Bh	h B
be	chinese	MMMM	LLLL
be	chinese	jjm	HH:mm
bg	gregorian	yMd	d.MM.y 'г'.
bg	gregorian	yMMMMd	d MMMM y 'г'.
bg	gregorian	yMMMMEEEEd	EEEE, d MMMM y 'г'.
bg	gregorian	GyMd	dd.MM.y 'г'. GGGGG
bg	gregorian	HmsS	HH:mm:ss,S 'ч'.
bg	gregorian	Cms	HH:mm:ss 'ч'.
bg	gregorian	yMdHmsv	d.MM.y 'г'., HH:mm:ss 'ч'. v
bg	gregorian	Bh	h 'ч'. B
bg	gregorian	MMMM	LLLL
bg	gregorian	jjm	HH:mm 'ч'.
bg	japanese	yMd	d.MM.y 'г'. G
bg	japanese	yMMMMd	d MMMM y 'г'. G
bg	japanese	yMMMMEEEEd	EEEE, d MMMM y 'г'. G
bg	japanese	GyMd	dd.MM.y 'г'. GGGGG
bg	japanese	HmsS	HH:mm:ss,S 'ч'.
bg	japanese	Cms	HH:mm:ss 'ч'.
bg	japanese	yMdHmsv	d.MM.y 'г'. G, HH:mm:ss 'ч'. v
bg	japanese	Bh	h 'ч'. B
bg	japanese	MMMM	LLLL
bg	japanese	jjm	HH:mm 'ч'.
bg	buddhist	yMd	d.MM.y 'г'. G
bg	buddhist	yMMMMd	d MMMM y 'г'. G
bg	buddhist	yMMMMEEEEd	EEEE, d MMMM y 'г'. G
bg	buddhist	GyMd	dd.MM.y 'г'. GGGGG
bg	buddhist	HmsS	HH:mm:ss,S 'ч'.
bg	buddhist	Cms	HH:mm:ss 'ч'.
bg	buddhist	yMdHmsv	d.MM.y 'г'. G, HH:mm:ss 'ч'. v
bg	buddhist	Bh	h 'ч'. B
bg	buddhist	MMMM	LLLL
bg	buddhist	jjm	HH:mm 'ч'.
bg	chinese	yMd	r-MM-dd
bg	chinese	yMMMMd	r(U) MMMM d
bg	chinese	yMMMMEEEEd	r(U) MMMM d, EEEE
bg	chinese	GyMd	r MMM d
bg	chinese	HmsS	HH:mm:ss,S
bg	chinese	Cms	HH:mm:ss
bg	chinese	yMdHmsv	r-MM-dd HH:mm:ss v
bg	chinese	Bh	h B
bg	chinese	MMMM	LLLL
bg	chinese	jjm	HH:mm
bn	gregorian	yMd	d/M/y
bn	gregorian	yMMMMd	y MMMM d
bn	gregorian	yMMMMEEEEd	y MMMM d, EEEE
bn	gregorian	GyMd	dd-MM-y GGGGG
bn	gregorian	HmsS	HH:mm:ss.S
bn	gregorian	Cms	h:mm:ss a
bn	gregorian	yMdHmsv	d/M/y HH:mm:ss v
bn	gregorian	Bh	h B
bn	gregorian	MMMM	LLLL
bn	gregorian	jjm	h:mm a
bn	japanese	yMd	d/M/y G
bn	japanese	yMMMMd	d MMMM, y G
bn	japanese	yMMMMEEEEd	EEEE, d MMMM, y G
bn	japanese	GyMd	d/M/y GGGGG
bn	japanese	HmsS	HH:mm:ss.S
bn	japanese	Cms	h:mm:ss a
bn	japanese	yMdHmsv	d/M/y G HH:mm:ss v
bn	japanese	Bh	h B
bn	japanese	MMMM	LLLL
bn	japanese	jjm	h:mm a
bn	buddhist	yMd	d/M/y G
bn	buddhist	yMMMMd	d MMMM, y G
bn	buddhist	yMMMMEEEEd	EEEE, d MMMM, y G
bn	buddhist	GyMd	d/M/y GGGGG
bn	buddhist	HmsS	HH:mm:ss.S
bn	buddhist	Cms	h:mm:ss a
bn	buddhist	yMdHmsv	d/M/y G HH:mm:ss v
bn	buddhist	Bh	h B
bn	buddhist	MMMM	LLLL
bn	buddhist	jjm	h:mm a
bn	chinese	yMd	r-MM-dd
bn	chinese	yMMMMd	r(U) MMMM d
bn	chinese	yMMMMEEEEd	r(U) MMMM d, EEEE
bn	chinese	GyMd	r MMM d
bn	chinese	HmsS	HH:mm:ss.S
bn	chinese	Cms	h:mm:ss a
bn	chinese	yMdHmsv	r-MM-dd HH:mm:ss v
bn	chinese	Bh	h B
bn	chinese	MMMM	LLLL
bn	chinese	jjm	h:mm a
bs	gregorian	yMd	d. M. y.
bs	gregorian	yMMMMd	y MMMM d
bs	gregorian	yMMMMEEEEd	y MMMM d, EEEE
bs	gregorian	GyMd	d. M. y. G
bs	gregorian	HmsS	HH:mm:ss,S
bs	gregorian	Cms	HH:mm:ss
bs	gregorian	yMdHmsv	d. M. y. HH:mm:ss (v)
bs	gregorian	Bh	h B
bs	gregorian	MMMM	LLLL
bs	gregorian	jjm	HH:mm
bs	japanese	yMd	d. M. y. GGGGG
bs	japanese	yMMMMd	d. MMMM y. GGGGG
bs	japanese	yMMMMEEEEd	EEEE, d. MMMM y. GGGGG
bs	japanese	GyMd	d. M. y. GGGG
bs	japanese	HmsS	HH:mm:ss,S
bs	japanese	Cms	HH:mm:ss
bs	japanese	yMdHmsv	d. M. y. GGGGG, HH:mm:ss v
bs	japanese	Bh	h B
bs	japanese	MMMM	LLLL
bs	japanese	jjm	HH:mm
bs	buddhist	yMd	d.M.y. G
bs	buddhist	yMMMMd	d. MMMM y. G
bs	buddhist	yMMMMEEEEd	EEEE, d. MMMM y. G
bs	buddhist	GyMd	d. M. y. GGGG
bs	buddhist	HmsS	HH:mm:ss,S
bs	buddhist	Cms	HH:mm:ss
bs	buddhist	yMdHmsv	d.M.y. G, HH:mm:ss v
bs	buddhist	Bh	h B
bs	buddhist	MMMM	LLLL
bs	buddhist	jjm	HH:mm
bs	chinese	yMd	r-MM-dd
bs	chinese	yMMMMd	r(U) MMMM d
bs	chinese	yMMMMEEEEd	r(U) MMMM d, EEEE
bs	chinese	GyMd	r MMM d
bs	chinese	HmsS	HH:mm:ss,S
bs	chinese	Cms	HH:mm:ss
bs	chinese	yMdHmsv	r-MM-dd, HH:mm:ss v
bs	chinese	Bh	h B
bs	chinese	MMMM	LLLL
bs	chinese	jjm	HH:mm
bs_Latn	gregorian	yMd	d. M. y.
bs_Latn	gregorian	yMMMMd	y MMMM d
bs_Latn	gregorian	yMMMMEEEEd	y MMMM d, EEEE
bs_Latn	gregorian	GyMd	d. M. y. G
bs_Latn	gregorian	HmsS	HH:mm:ss,S
bs_Latn	gregorian	Cms	HH:mm:ss
bs_Latn	gregorian	yMdHmsv	d. M. y. HH:mm:ss (v)
bs_Latn	gregorian	Bh	h B
bs_Latn	gregorian	MMMM	LLLL
bs_Latn	gregorian	jjm	HH:mm
bs_Latn	japanese	yMd	d. M. y. GGGGG
bs_Latn	japanese	yMMMMd	d. MMMM y. GGGGG
bs_Latn	japanese	yMMMMEEEEd	EEEE, d. MMMM y. GGGGG
bs_Latn	japanese	GyMd	d. M. y. GGGG
bs_Latn	japanese	HmsS	HH:mm:ss,S
bs_Latn	japanese	Cms	HH:mm:ss
bs_Latn	japanese	yMdHmsv	d. M. y. GGGGG, HH:mm:ss v
bs_Latn	japanese	Bh	h B
bs_Latn	japanese	MMMM	LLLL
bs_Latn	japanese	jjm	HH:mm
bs_Latn	buddhist	yMd	d.M.y. G
bs_Latn	buddhist	yMMMMd	d. MMMM y. G
bs_Latn	buddhist	yMMMMEEEEd	EEEE, d. MMMM y. G
bs_Latn	buddhist	GyMd	d. M. y. GGGG
bs_Latn	buddhist	HmsS	HH:mm:ss,S
bs_Latn	buddhist	Cms	HH:mm:ss
bs_Latn	buddhist	yMdHmsv	d.M.y. G, HH:mm:ss v
bs_Latn	buddhist	Bh	h B
bs_Latn	buddhist	MMMM	LLLL
bs_Latn	buddhist	jjm	HH:mm
bs_Latn	chinese	yMd	r-MM-dd
bs_Latn	chinese	yMMMMd	r(U) MMMM d
bs_Latn	chinese	yMMMMEEEEd	r(U) MMMM d, EEEE
bs_Latn	chinese	GyMd	r MMM d
bs_Latn	chinese	HmsS	HH:mm:ss,S
bs_Latn	chinese	Cms	HH:mm:ss
bs_Latn	chinese	yMdHmsv	r-MM-dd, HH:mm:ss v
bs_Latn	chinese	Bh	h B
bs_Latn	chinese	MMMM	LLLL
bs_Latn	chinese	jjm	HH:mm
ca	gregorian	yMd	d/M/y
ca	gregorian	yMMMMd	d MMMM 'del' y
ca	gregorian	yMMMMEEEEd	EEEE, d MMMM 'del' y
ca	gregorian	GyMd	dd-MM-y GGGGG
ca	gregorian	HmsS	H:mm:ss,S
ca	gregorian	Cms	H:mm:ss
ca	gregorian	yMdHmsv	d/M/y H:mm:ss v
ca	gregorian	Bh	h B
ca	gregorian	MMMM	LLLL
ca	gregorian	jjm	H:mm
ca	japanese	yMd	d/M/y G
ca	japanese	yMMMMd	d MMMM 'del' y G
ca	japanese	yMMMMEEEEd	EEEE, d MMMM 'del' y G
ca	japanese	GyMd	dd-MM-y GGGGG
ca	japanese	HmsS	H:mm:ss,S
ca	japanese	Cms	H:mm:ss
ca	japanese	yMdHmsv	d/M/y G, H:mm:ss v
ca	japanese	Bh	h B
ca	japanese	MMMM	LLLL
ca	japanese	jjm	H:mm
ca	buddhist	yMd	d/M/y G
ca	buddhist	yMMMMd	d MMMM 'del' y G
ca	buddhist	yMMMMEEEEd	EEEE, d MMMM 'del' y G
ca	buddhist	GyMd	dd-MM-y GGGGG
ca	buddhist	HmsS	H:mm:ss,S
ca	buddhist	Cms	H:mm:ss
ca	buddhist	yMdHmsv	d/M/y G, H:mm:ss v
ca	buddhist	Bh	h B
ca	buddhist	MMMM	LLLL
ca	buddhist	jjm	H:mm
ca	chinese	yMd	r-MM-dd
ca	chinese	yMMMMd	r(U) MMMM d
ca	chinese	yMMMMEEEEd	r(U) MMMM d, EEEE
ca	chinese	GyMd	r MMM d
ca	chinese	HmsS	HH:mm:ss,S
ca	chinese	Cms	HH:mm:ss
ca	chinese	yMdHmsv	r-MM-dd HH:mm:ss v
ca	chinese	Bh	h B
ca	chinese	MMMM	LLLL
ca	chinese	jjm	HH:mm
chr	gregorian	yMd	M/d/y
chr	gregorian	yMMMMd	y MMMM d
chr	gregorian	yMMMMEEEEd	y MMMM d, EEEE
chr	gregorian	GyMd	M/d/y GGGGG
chr	gregorian	HmsS	HH:mm:ss.S
chr	gregorian	Cms	h:mm:ss a
chr	gregorian	yMdHmsv	M/d/y, HH:mm:ss v
chr	gregorian	Bh	h B
chr	gregorian	MMMM	LLLL
chr	gregorian	jjm	h:mm a
chr	japanese	yMd	M/d/y GGGGG
chr	japanese	yMMMMd	MMMM d, y G
chr	japanese	yMMMMEEEEd	EEEE, MMMM d, y G
chr	japanese	GyMd	M/d/y GGGGG
chr	japanese	HmsS	H:mm:ss.S
chr	japanese	Cms	h:mm:ss a
chr	japanese	yMdHmsv	M/d/y GGGGG, H:mm:ss v
chr	japanese	Bh	h B
chr	japanese	MMMM	LLLL
chr	japanese	jjm	h:mm a
chr	buddhist	yMd	M/d/y GGGGG
chr	buddhist	yMMMMd	MMMM d, y G
chr	buddhist	yMMMMEEEEd	EEEE, MMMM d, y G
chr	buddhist	GyMd	M/d/y GGGGG
chr	buddhist	HmsS	H:mm:ss.S
chr	buddhist	Cms	h:mm:ss a
chr	buddhist	yMdHmsv	M/d/y GGGGG, H:mm:ss v
chr	buddhist	Bh	h B
chr	buddhist	MMMM	LLLL
chr	buddhist	jjm	h:mm a
chr	chinese	yMd	r-MM-dd
chr	chinese	yMMMMd	r(U) MMMM d
chr	chinese	yMMMMEEEEd	r(U) MMMM d, EEEE
chr	chinese	GyMd	r MMM d
chr	chinese	HmsS	HH:mm:ss.S
chr	chinese	Cms	h:mm:ss a
chr	chinese	yMdHmsv	r-MM-dd HH:mm:ss v
chr	chinese	Bh	h B
chr	chinese	MMMM	LLLL
chr	chinese	jjm	h:mm a
cs	gregorian	yMd	d. M. y
cs	gregorian	yMMMMd	d. MMMM y
cs	gregorian	yMMMMEEEEd	EEEE d. MMMM y
cs	gregorian	GyMd	d. M. y GGGGG
cs	gregorian	HmsS	H:mm:ss,S
cs	gregorian	Cms	H:mm:ss
cs	gregorian	yMdHmsv	d. M. y H:mm:ss v
cs	gregorian	Bh	h B
cs	gregorian	MMMM	LLLL
cs	gregorian	jjm	H:mm
cs	japanese	yMd	d. M. y GGGGG
cs	japanese	yMMMMd	d. MMMM y G
cs	japanese	yMMMMEEEEd	EEEE d. MMMM y G
cs	japanese	GyMd	d. M. y GGGGG
cs	japanese	HmsS	H:mm:ss,S
cs	japanese	Cms	H:mm:ss
cs	japanese	yMdHmsv	d. M. y GGGGG H:mm:ss v
cs	japanese	Bh	h B
cs	japanese	MMMM	LLLL
cs	japanese	jjm	H:mm
cs	buddhist	yMd	d. M. y GGGGG
cs	buddhist	yMMMMd	d. MMMM y G
cs	buddhist	yMMMMEEEEd	EEEE d. MMMM y G
cs	buddhist	GyMd	d. M. y GGGGG
cs	buddhist	HmsS	H:mm:ss,S
cs	buddhist	Cms	H:mm:ss
cs	buddhist	yMdHmsv	d. M. y GGGGG H:mm:ss v
cs	buddhist	Bh	h B
cs	buddhist	MMMM	LLLL
cs	buddhist	jjm	H:mm
cs	chinese	yMd	r-MM-dd
cs	chinese	yMMMMd	r(U) MMMM d
cs	chinese	yMMMMEEEEd	r(U) MMMM d, EEEE
cs	chinese	GyMd	r MMM d
cs	chinese	HmsS	HH:mm:ss,S
cs	chinese	Cms	HH:mm:ss
cs	chinese	yMdHmsv	r-MM-dd HH:mm:ss v
cs	chinese	Bh	h B
cs	chinese	MMMM	LLLL
cs	chinese	jjm	HH:mm
cv	gregorian	yMd	y.MM.dd
cv	gregorian	yMMMMd	y MMMM d
cv	gregorian	yMMMMEEEEd	y MMMM d, EEEE
cv	gregorian	GyMd	G y.MM.dd
cv	gregorian	HmsS	HH:mm:ss,S
cv	gregorian	Cms	HH:mm:ss
cv	gregorian	yMdHmsv	y.MM.dd, HH:mm:ss (v)
cv	gregorian	Bh	B h
cv	gregorian	MMMM	LLLL
cv	gregorian	jjm	HH:mm
cv	japanese	yMd	G, y.MM.dd
