locale=jv ; action=add ; new_path=3cead67f8ae5f035 ; new_value=Aghem
locale=jv ; action=add ; new_path=330672f4af32be9e ; new_value=Armenia
locale=jv ; action=add ; new_path=52c570431102520b ; new_value=Interlingua
locale=jv ; action=add ; new_path=47982bfd607379be ; new_value=Iqbo
locale=jv ; action=add ; new_path=41fb418f571bee44 ; new_value=Sichuan Yi
locale=jv ; action=add ; new_path=328d19a24f30b22a ; new_value=Islandia
locale=jv ; action=add ; new_path=4b817a850faaae99 ; new_value=Ngomba
locale=jv ; action=add ; new_path=6203845e317e2d85 ; new_value=Machame
locale=jv ; action=add ; new_path=39dcb243fa1a2799 ; new_value=Georgia
locale=jv ; action=add ; new_path=787d4e0576d7869a ; new_value=Kabyle
locale=jv ; action=add ; new_path=226f4f0ad2a704ca ; new_value=Kamba
locale=jv ; action=add ; new_path=53b4740121e84442 ; new_value=Makonde
locale=jv ; action=add ; new_path=55808175c5b3dc2e ; new_value=Kabuverdianu
locale=jv ; action=add ; new_path=38b92fe120d6f6b ; new_value=Koyra Chiini
locale=jv ; action=add ; new_path=368dfa74f098b6b4 ; new_value=Kikuyu
locale=jv ; action=add ; new_path=112f31d1a00b0f68 ; new_value=Kazakh
locale=jv ; action=add ; new_path=6fc8fec9b8eb4953 ; new_value=Kako
locale=jv ; action=add ; new_path=177b4a63294e3b03 ; new_value=Kalaallisut
locale=jv ; action=add ; new_path=4bc4961de6a2c98 ; new_value=Kalenjin
locale=jv ; action=add ; new_path=2fbc2bad8455322f ; new_value=Khmer
locale=jv ; action=add ; new_path=3e98e22746c3e98b ; new_value=Kannada
locale=jv ; action=add ; new_path=20b2b09614854000 ; new_value=Konkani
locale=jv ; action=add ; new_path=1a13d2b147817161 ; new_value=Kashmiri
locale=jv ; action=add ; new_path=31a9c7cfaa07ea4a ; new_value=Shambala
locale=jv ; action=add ; new_path=45b9b33240d14336 ; new_value=Bafia
locale=jv ; action=add ; new_path=4f0f83cd65f2f0c9 ; new_value=Colonia
locale=jv ; action=add ; new_path=65b3e3fbf6497a70 ; new_value=Kurdis
locale=jv ; action=add ; new_path=3dea8d141af8e7cd ; new_value=Kernowek
locale=jv ; action=add ; new_path=72e5e103f39e1d8d ; new_value=Kirgis
locale=jv ; action=add ; new_path=551fdd4693933c68 ; new_value=Latin
locale=jv ; action=add ; new_path=d7c07f679d8e8d9 ; new_value=Langi
locale=jv ; action=add ; new_path=45fc5f0dad6a5c6f ; new_value=Luksemburg
locale=jv ; action=add ; new_path=7c0c2d74318d9b6a ; new_value=Ganda
locale=jv ; action=add ; new_path=42992308733c69c7 ; new_value=Lakota
locale=jv ; action=add ; new_path=7d3c622b3fc262bf ; new_value=Lingala
locale=jv ; action=add ; new_path=49a6caf88e79daf1 ; new_value=Laos
locale=jv ; action=add ; new_path=24efc5b3f250c109 ; new_value=Luri Sisih Lor
locale=jv ; action=add ; new_path=263c441f26477aed ; new_value=Lithuania
locale=jv ; action=add ; new_path=40090f0ac3ec29a ; new_value=Luba-Katanga
locale=jv ; action=add ; new_path=3618e81356424116 ; new_value=Luo
locale=jv ; action=add ; new_path=7e6ceca020f97dfc ; new_value=Luyia
locale=jv ; action=add ; new_path=774230f76f27a54e ; new_value=Latvia
locale=jv ; action=add ; new_path=3c00e76f2f2243b2 ; new_value=Masai
locale=jv ; action=add ; new_path=19750adde5c2ae55 ; new_value=Meru
locale=jv ; action=add ; new_path=79f760b3e249653a ; new_value=Morisyen
locale=jv ; action=add ; new_path=97b58d26c0f4788 ; new_value=Malagasi
locale=jv ; action=add ; new_path=5c9c911d5399c27b ; new_value=Makhuwa-Meeto
locale=jv ; action=add ; new_path=2f4277862f1c0356 ; new_value=Meta’
locale=jv ; action=add ; new_path=2acb45a2de6dc6fd ; new_value=Maori
locale=jv ; action=add ; new_path=5d555e2ebacd93a1 ; new_value=Makedonia
locale=jv ; action=add ; new_path=78f3e3087c24ba23 ; new_value=Malayalam
locale=jv ; action=add ; new_path=6cc7bc4d6c007adb ; new_value=Mongolia
locale=jv ; action=add ; new_path=1aed5a1643015693 ; new_value=Marathi
locale=jv ; action=add ; new_path=60cebbd62a97fafe ; new_value=Melayu
locale=jv ; action=add ; new_path=132345490064d839 ; new_value=Malta
locale=jv ; action=add ; new_path=2b1793551ea84657 ; new_value=Mundang
locale=jv ; action=add ; new_path=63ef268c21be0de8 ; new_value=Basa Multilingua
locale=jv ; action=add ; new_path=54e3296486522ab ; new_value=Myanmar
locale=jv ; action=add ; new_path=64bcc87907a7770 ; new_value=Mazanderani
locale=jv ; action=add ; new_path=2b2f7a4d96be9f54 ; new_value=Nama
locale=jv ; action=add ; new_path=2566ff8501493d16 ; new_value=Bokmål Norwegia
locale=jv ; action=add ; new_path=9fd988164b08fc8 ; new_value=Ndebele Lor
locale=jv ; action=add ; new_path=2b2fd7b13c51ef5c ; new_value=Jerman Non Standar
locale=jv ; action=add ; new_path=32b0b69a09157bbf ; new_value=Nepal
locale=jv ; action=add ; new_path=79d3a6aa99001871 ; new_value=Kwasio
locale=jv ; action=add ; new_path=792dd7c07ea28773 ; new_value=Nynorsk Norwegia
locale=jv ; action=add ; new_path=31aaa5e94dfaf0c2 ; new_value=Ngiemboon
locale=jv ; action=add ; new_path=795be316eb537f02 ; new_value=Nuer
locale=jv ; action=add ; new_path=45e506fa5eb1ee1f ; new_value=Nyanja
locale=jv ; action=add ; new_path=2b89d34dcd2bcacc ; new_value=Nyankole
locale=jv ; action=add ; new_path=792cf766be4ee1b7 ; new_value=Oromo
locale=jv ; action=add ; new_path=cf769b80fd464b6 ; new_value=Odia
locale=jv ; action=add ; new_path=65f8b487e67b0105 ; new_value=Ossetia
locale=jv ; action=add ; new_path=71d9512673af4fed ; new_value=Punjab
locale=jv ; action=add ; new_path=471b961b1c211855 ; new_value=Prusia
locale=jv ; action=add ; new_path=54c951371ac8b6c7 ; new_value=Pashto
locale=jv ; action=add ; new_path=7aa207022dcaec02 ; new_value=Quechua
locale=jv ; action=add ; new_path=48798930a280653 ; new_value=Roman
locale=jv ; action=add ; new_path=79bbf6d8cef4c15e ; new_value=Rundi
locale=jv ; action=add ; new_path=d6e5e995515c60d ; new_value=Rumania
locale=jv ; action=add ; new_path=13019ec0562b3141 ; new_value=Rombo
locale=jv ; action=add ; new_path=661a714e916f35f0 ; new_value=Kinyarwanda
locale=jv ; action=add ; new_path=2cd2ed6bc89a3595 ; new_value=Rwa
locale=jv ; action=add ; new_path=5a363be3694a31e6 ; new_value=Sanskerta
locale=jv ; action=add ; new_path=79262aa5d69820da ; new_value=Sakha
locale=jv ; action=add ; new_path=3efdd2f06c7baf90 ; new_value=Samburu
locale=jv ; action=add ; new_path=6a467f72d4840ad1 ; new_value=Sangu
locale=jv ; action=add ; new_path=155dedef6e647c42 ; new_value=Sindhi
locale=jv ; action=add ; new_path=5461ee0391d38394 ; new_value=Sami Sisih Lor
locale=jv ; action=add ; new_path=5a78b41291324b49 ; new_value=Sena
locale=jv ; action=add ; new_path=17a57cd8d4b03258 ; new_value=Koyraboro Senni
locale=jv ; action=add ; new_path=eee63f654bc9d52 ; new_value=Sango
locale=jv ; action=add ; new_path=5098b563976c6487 ; new_value=Tachelhit
locale=jv ; action=add ; new_path=6b773b0f539e5dc6 ; new_value=Sinhala
locale=jv ; action=add ; new_path=7cc18dc944091dcc ; new_value=Slowakia
locale=jv ; action=add ; new_path=4d1dc9ed361b4929 ; new_value=Slovenia
locale=jv ; action=add ; new_path=6df3e69286c235a6 ; new_value=Samoa
locale=jv ; action=add ; new_path=208e8e1d7e2d8cff ; new_value=Inari Sami
locale=jv ; action=add ; new_path=5bc1a72a40d233b5 ; new_value=Shona
locale=jv ; action=add ; new_path=10eb13880a94007d ; new_value=Somalia
locale=jv ; action=add ; new_path=2fa5e0b1e0e28119 ; new_value=Albania
locale=jv ; action=add ; new_path=48b1a6b6c8ff0e3d ; new_value=Serbia
locale=jv ; action=add ; new_path=2efb6c27a0e9aeb7 ; new_value=Sotho Sisih Kidul
locale=jv ; action=add ; new_path=637d62ab17744526 ; new_value=Sunda
locale=jv ; action=add ; new_path=7c87f3e9e0b63e00 ; new_value=Swedia
locale=jv ; action=add ; new_path=7be8622a98282099 ; new_value=Swahili
locale=jv ; action=add ; new_path=2d28859e81f3417e ; new_value=Tamil
locale=jv ; action=add ; new_path=6bd210400dee4a6b ; new_value=Telugu
locale=jv ; action=add ; new_path=539c9c990236ecc4 ; new_value=Teso
locale=jv ; action=add ; new_path=30a9f9ea95918d38 ; new_value=Tajik
locale=jv ; action=add ; new_path=5a374072ff248c3b ; new_value=Tigrinya
locale=jv ; action=add ; new_path=4824aa6123aacc2d ; new_value=Turkmen
locale=jv ; action=add ; new_path=1a160f94b4510f18 ; new_value=Tonga
locale=jv ; action=add ; new_path=6bc756bf2c1bef1b ; new_value=Tatar
locale=jv ; action=add ; new_path=63a4e7dbb39b971a ; new_value=Tasawaq
locale=jv ; action=add ; new_path=346e71a8ed4de6f8 ; new_value=Tamazight Atlas Tengah
locale=jv ; action=add ; new_path=225ff9e3cefec9bd ; new_value=Uighur
locale=jv ; action=add ; new_path=75393258331b48a0 ; new_value=Ukraina
locale=jv ; action=add ; new_path=1beb8b90c4a67343 ; new_value=Urdu
locale=jv ; action=add ; new_path=2d1f41f43801dd1e ; new_value=Uzbek
locale=jv ; action=add ; new_path=44287b6d4782bc24 ; new_value=Vai
locale=jv ; action=add ; new_path=6d7c2e37642dad22 ; new_value=Vietnam
locale=jv ; action=add ; new_path=65d16c714451f65c ; new_value=Volapuk
locale=jv ; action=add ; new_path=510b958d69238fa8 ; new_value=Vunjo
locale=jv ; action=add ; new_path=65ea482b4aaa13ee ; new_value=Walser
locale=jv ; action=add ; new_path=4ccfa5f7e24388e3 ; new_value=Wolof
locale=jv ; action=add ; new_path=7ef6e1bd36729755 ; new_value=Xhosa
locale=jv ; action=add ; new_path=2fe3926f99b24189 ; new_value=Soga
locale=jv ; action=add ; new_path=7bdb5846c29ba0e5 ; new_value=Yangben
locale=jv ; action=add ; new_path=437c34b3643ed6c9 ; new_value=Yiddish
locale=jv ; action=add ; new_path=7c2109b9de953216 ; new_value=Yoruba
locale=jv ; action=add ; new_path=42df77a4fd7f5609 ; new_value=Kanton
locale=jv ; action=add ; new_path=691f93d26aa315b7 ; new_value=Tamazight Moroko Standar
locale=jv ; action=add ; new_path=450e2a2d29eab88d ; new_value=Zulu
locale=jv ; action=add ; new_path=4ad9dcac005a90bc ; new_value=Konten tanpa linguistik
locale=jv ; action=add ; new_path=26a9d1787aee96d5 ; new_value=Armenia
locale=jv ; action=add ; new_path=3021d1652fc6a8c2 ; new_value=Bangla
locale=jv ; action=add ; new_path=4ce0dc5a5581cf88 ; new_value=Bopomofo
locale=jv ; action=add ; new_path=26e66c5cd72714a4 ; new_value=Braille
locale=jv ; action=add ; new_path=6d08cbf4ce49f32b ; new_value=Devanagari
locale=jv ; action=add ; new_path=7e3969525a51a0bf ; new_value=Ethiopik
locale=jv ; action=add ; new_path=1084d72d1f2f5e68 ; new_value=Georgia
locale=jv ; action=add ; new_path=b806d13710e0300 ; new_value=Yunani
locale=jv ; action=add ; new_path=2f9eff302a5d3ff4 ; new_value=Gujarati
locale=jv ; action=add ; new_path=78e9461e0014b93f ; new_value=Gurmukhi
locale=jv ; action=add ; new_path=7b04b11e60590853 ; new_value=Han nganggo Bopomofo
locale=jv ; action=add ; new_path=7ad00979b08041a ; new_value=Hangul
locale=jv ; action=add ; new_path=6b160f4d80404d7a ; new_value=Ibrani
locale=jv ; action=add ; new_path=3f0671a838d2fe81 ; new_value=Hiragana
locale=jv ; action=add ; new_path=15c86698d964fdf ; new_value=Silabaris Jepang
locale=jv ; action=add ; new_path=4bf7c7a6642bedfb ; new_value=Katakana
locale=jv ; action=add ; new_path=31189f9fcf0a5be5 ; new_value=Khmer
locale=jv ; action=add ; new_path=7185cb4a31a9caf6 ; new_value=Kannada
locale=jv ; action=add ; new_path=50c609bb9a6a3886 ; new_value=Lao
locale=jv ; action=add ; new_path=55c3a8c37b4eb82b ; new_value=Malayalam
locale=jv ; action=add ; new_path=12682ec96dcea3bc ; new_value=Mongolia
locale=jv ; action=add ; new_path=7f571610fd23503b ; new_value=Myanmar
locale=jv ; action=add ; new_path=75a446f3251b5409 ; new_value=Odia
locale=jv ; action=add ; new_path=7459eb903ee90b2f ; new_value=Sinhala
locale=jv ; action=add ; new_path=3c49bd4a185dcb6a ; new_value=Tamil
locale=jv ; action=add ; new_path=762b02b69034a08f ; new_value=Thaana
locale=jv ; action=add ; new_path=402a7a5033096971 ; new_value=Tibetan
locale=jv ; action=add ; new_path=4906be2d11c0b6bc ; new_value=Notasi Matematika
locale=jv ; action=add ; new_path=6e3f50cd8d887621 ; new_value=Emoji
locale=jv ; action=add ; new_path=27c9e428b64f55ec ; new_value=Simbol
locale=jv ; action=add ; new_path=4b4b52bfb8751d1 ; new_value=Umum
locale=jv ; action=add ; new_path=11a56646021b1e86 ; new_value=Tanggalan
locale=jv ; action=add ; new_path=3b3b733148d0064d ; new_value=Format Mata Uang
locale=jv ; action=add ; new_path=7a1056a90b3241b ; new_value=Urutan Pamilahan
locale=jv ; action=add ; new_path=245e7472329f5da1 ; new_value=Mata Uang
locale=jv ; action=add ; new_path=142e73381c19bfaf ; new_value=Siklus Jam (12 vs 24)
locale=jv ; action=add ; new_path=45fd4ee5c7a3beb5 ; new_value=Gaya Ganti Baris
locale=jv ; action=add ; new_path=77945b5b012ea902 ; new_value=Sistem Pangukuran
locale=jv ; action=add ; new_path=112a45fe2e62d0de ; new_value=Angka
locale=jv ; action=add ; new_path=641a8b6db7be7147 ; new_value=Tanggalan Buddha
locale=jv ; action=add ; new_path=1e434d4fec531245 ; new_value=Tanggalan Cina
locale=jv ; action=add ; new_path=95f1aa237f97285 ; new_value=Tanggalan Dangi
locale=jv ; action=add ; new_path=594b6cd09ff2587c ; new_value=Tanggalan Etiopia
locale=jv ; action=add ; new_path=4600f8c0985002e3 ; new_value=Tanggalan Ibrani
locale=jv ; action=add ; new_path=3df52b1e4d65309a ; new_value=Tanggalan Islam
locale=jv ; action=add ; new_path=5221727959e5fe7a ; new_value=Tanggalan Jepang
locale=jv ; action=add ; new_path=e2df5d37fd43257 ; new_value=Tanggalan Persia
locale=jv ; action=add ; new_path=6ddc07b95d93f621 ; new_value=Tanggalan Minguo
locale=jv ; action=add ; new_path=1367016ec0927785 ; new_value=Format Mata Uang Akuntansi
locale=jv ; action=add ; new_path=652417fe9333357f ; new_value=Format Mata Uang Standar
locale=jv ; action=add ; new_path=6d507d87147fdffc ; new_value=Urutan Pamilahan Unicode Default
locale=jv ; action=add ; new_path=23637d4b1cff7632 ; new_value=Panlusuran Tujuan Umum
locale=jv ; action=add ; new_path=74b0407e0866025 ; new_value=Sistem 12 Jam (0–11)
locale=jv ; action=add ; new_path=597159a595134cb9 ; new_value=Sistem 12 Jam (1–12)
locale=jv ; action=add ; new_path=b7da0bb568a1870 ; new_value=Sistem 24 Jam (0–23)
locale=jv ; action=add ; new_path=6e186bd24551ac94 ; new_value=Sistem 24 Jam (1–24)
locale=jv ; action=add ; new_path=282cce0efeef5811 ; new_value=Gaya Ganti Baris Longgar
locale=jv ; action=add ; new_path=5f8cfa615c2855f ; new_value=Gaya Ganti Baris Normal
locale=jv ; action=add ; new_path=fd4740ef0421490 ; new_value=Gaya Ganti Baris Strik
locale=jv ; action=add ; new_path=2584f1d27e13f3a4 ; new_value=Sistem Metrik
locale=jv ; action=add ; new_path=5fed22bb1e5f7182 ; new_value=Sistem Pangukuran Imperial
locale=jv ; action=add ; new_path=17c0bc7bcb60719d ; new_value=Sistem Pangukuran AS
locale=jv ; action=add ; new_path=43c1c695e6e452a5 ; new_value=Digit Hindu-Arab
locale=jv ; action=add ; new_path=4ac1389bf9792a2c ; new_value=Digit Hindu-Arab Diambakake
locale=jv ; action=add ; new_path=47b00da787dbdf80 ; new_value=Angka Armenia
locale=jv ; action=add ; new_path=280eb1e9b07706a1 ; new_value=Angka Huruf Cilik Armenia
locale=jv ; action=add ; new_path=4f6a02a0989ace0b ; new_value=Digit Bengali
locale=jv ; action=add ; new_path=3e6b07b8289a2048 ; new_value=Digit Devanagari
locale=jv ; action=add ; new_path=1a3270837a81178e ; new_value=Angka Etiopia
locale=jv ; action=add ; new_path=3443b49f42622249 ; new_value=Digit Amba Kebak
locale=jv ; action=add ; new_path=17b875cf16139ef ; new_value=Angka Georgian
locale=jv ; action=add ; new_path=68f29dc56ccc38af ; new_value=Angka Yunani
locale=jv ; action=add ; new_path=408b72dafe025b4a ; new_value=Angka Huruf Cilik Yunani
locale=jv ; action=add ; new_path=bff6a809efea474 ; new_value=Digit Gujarat
locale=jv ; action=add ; new_path=46d478a395698105 ; new_value=Digit Gurmukhi
locale=jv ; action=add ; new_path=2c98abe6e340c4b0 ; new_value=Angka Desimal Mandarin
locale=jv ; action=add ; new_path=5d45c8f610f2fd4c ; new_value=Angka Mandarin Prasaja
locale=jv ; action=add ; new_path=30741b226af7fd4a ; new_value=Angka Finansial Mandarin Prasaja
locale=jv ; action=add ; new_path=6a05545ed03b3e3c ; new_value=Angka Mandarin Tradisional
locale=jv ; action=add ; new_path=350a8026408f8256 ; new_value=Angka Finansial Mandarin Tradisional
locale=jv ; action=add ; new_path=4ca74a50874df025 ; new_value=Angka Ibrani
locale=jv ; action=add ; new_path=1eb187260a2a407f ; new_value=Angka Jepang
locale=jv ; action=add ; new_path=5ca442cf5c197337 ; new_value=Angka Finansial Jepang
locale=jv ; action=add ; new_path=163e5281ba51bbcf ; new_value=Digit Khmer
locale=jv ; action=add ; new_path=3bb237c888ea6723 ; new_value=Digit Kannada
locale=jv ; action=add ; new_path=5916e1d78c463903 ; new_value=Digit Lao
locale=jv ; action=add ; new_path=22be9631ea3306b ; new_value=Digit Malayalam
locale=jv ; action=add ; new_path=6817dac3893d6ff2 ; new_value=Digit Myanmar
locale=jv ; action=add ; new_path=1e57808893a8807b ; new_value=Digit Odia
locale=jv ; action=add ; new_path=7de5442b30568eaa ; new_value=Angka Romawi
locale=jv ; action=add ; new_path=10e05bf8a3571f2b ; new_value=Angka Huruf Cilik Romawi
locale=jv ; action=add ; new_path=7a4e75437b7aaf03 ; new_value=Angka Tamil Tradisional
locale=jv ; action=add ; new_path=17e27789634b519f ; new_value=Digit Tamil
locale=jv ; action=add ; new_path=2ae04c1bfc900859 ; new_value=Digit Telugu
locale=jv ; action=add ; new_path=70c9734407864805 ; new_value=Digit Thailand
locale=jv ; action=add ; new_path=709c149814cf9e45 ; new_value=Digit Tibet
locale=jv ; action=add ; new_path=50b7a93678076f4d ; new_value=ing {0} taun
locale=jv ; action=add ; new_path=6155fb8e0bff25d8 ; new_value={0} taun kepungkur
locale=jv ; action=add ; new_path=5367aa2910477491 ; new_value=ing {0} tn
locale=jv ; action=add ; new_path=697ba4281637e4e ; new_value={0} tn kepungkur
locale=jv ; action=add ; new_path=59f2c964eb69bd03 ; new_value=kwartal wingi
locale=jv ; action=add ; new_path=2e944097c6246d5b ; new_value=kwartal iki
locale=jv ; action=add ; new_path=63d7f9d6d21a2a3b ; new_value=kwartal ngarep
locale=jv ; action=add ; new_path=33fc8304604ba7b7 ; new_value=ing {0} kwartal
locale=jv ; action=add ; new_path=781afbaaa72c2d73 ; new_value={0} kwartal kepungkur
locale=jv ; action=add ; new_path=3882422e33174351 ; new_value=ing {0} kwrt.
locale=jv ; action=add ; new_path=1f39ed6ed4738eb0 ; new_value={0} kwrt. kepungkur
locale=jv ; action=add ; new_path=71165a5560b448a5 ; new_value=ing {0} sasi
locale=jv ; action=add ; new_path=52fe5b97232d8147 ; new_value={0} sasi kepungkur
locale=jv ; action=add ; new_path=56e78e92bf345cf0 ; new_value=ing {0} s.
locale=jv ; action=add ; new_path=1b0439806b37a2b8 ; new_value={0} s. kepungkur
locale=jv ; action=add ; new_path=51d289888f0427e8 ; new_value=ing {0} minggu
locale=jv ; action=add ; new_path=67f8aae12bf2f9ea ; new_value={0} minggu kepungkur
locale=jv ; action=add ; new_path=75cde164bb47502d ; new_value=ing {0} mgg.
locale=jv ; action=add ; new_path=5c15ca5c6f77d2b8 ; new_value={0} mgg. kepungkur
locale=jv ; action=add ; new_path=56e6de1e9e59b32a ; new_value=minggu jroning sesasi
locale=jv ; action=add ; new_path=ee50c0cace7b9c2 ; new_value=mgu ing sasi
locale=jv ; action=add ; new_path=2bdde8328fa4c698 ; new_value=mgu ing sasi
locale=jv ; action=add ; new_path=11110c79d6a08e97 ; new_value=ing {0} dina
locale=jv ; action=add ; new_path=3452a65a06e410e1 ; new_value={0} dina kepungkur
locale=jv ; action=add ; new_path=ac0f1286846ac8f ; new_value=dina jroning setaun
locale=jv ; action=add ; new_path=6f7d7106fa233a96 ; new_value=dina ing taun
locale=jv ; action=add ; new_path=40fde6000c1bb615 ; new_value=dn ing taun
locale=jv ; action=add ; new_path=399a844857512313 ; new_value=dina jroning sasi
locale=jv ; action=add ; new_path=6417ed2a203caac7 ; new_value=dn jroning sasi
locale=jv ; action=add ; new_path=758135ca5c6baa99 ; new_value=Ahad wingi
locale=jv ; action=add ; new_path=34da11643c7613cf ; new_value=Ahad iki
locale=jv ; action=add ; new_path=7df0c2ca06251dea ; new_value=Ahad ngarep
locale=jv ; action=add ; new_path=776e1e1e423f9f60 ; new_value=ing {0} Ahad
locale=jv ; action=add ; new_path=52822360fb80abf3 ; new_value={0} Ahad kepungkur
locale=jv ; action=add ; new_path=22fa28e51e485c13 ; new_value=Ahad wingi
locale=jv ; action=add ; new_path=50a4d81e63ee2afc ; new_value=Ahad iki
locale=jv ; action=add ; new_path=68175c8d0973742b ; new_value=Ahad ngarep
locale=jv ; action=add ; new_path=70f511d57c872f09 ; new_value=ing {0} Ahad
locale=jv ; action=add ; new_path=7d0afe90a59d7dcc ; new_value={0} Ahad kepungkur
locale=jv ; action=add ; new_path=4e1cdb259b8a680b ; new_value=Ah wingi
locale=jv ; action=add ; new_path=458fbc00f4959a61 ; new_value=Ah iki
locale=jv ; action=add ; new_path=e3c6a947ed26bec ; new_value=Ah ngarep
locale=jv ; action=add ; new_path=2e088213728c297a ; new_value=ing {0} Ah
locale=jv ; action=add ; new_path=6b5dff3648b8f062 ; new_value={0} Ah kepungkur
locale=jv ; action=add ; new_path=569d924f57fa1a1b ; new_value=Senèn wingi
locale=jv ; action=add ; new_path=63e1b9a0642c05a ; new_value=Senèn iki
locale=jv ; action=add ; new_path=76b1b91293c888d2 ; new_value=Senèn ngarep
locale=jv ; action=add ; new_path=7ec4b3073848a7af ; new_value=ing {0} Senèn
locale=jv ; action=add ; new_path=6482eace6d9a918c ; new_value={0} Senèn kepungkur
locale=jv ; action=add ; new_path=3663bc1e50862fa9 ; new_value=Sen. wingi
locale=jv ; action=add ; new_path=de1feffa3b1bf22 ; new_value=Sen iki
locale=jv ; action=add ; new_path=6656ca8324d66e93 ; new_value=Sen. ngarep
locale=jv ; action=add ; new_path=6ea989c49743c9a1 ; new_value=ing {0} Sen.
