Abu Dhabi	 United Arab Emirates
Tehran	 Iran
Thimphu	 Bhutan
Tirana	 Albania
Tiraspol	 Transnistria
Tokyo	 Japan
Tórshavn	 Faroe Islands
Tripoli	 Libya
Tskhinvali	 South Ossetia
Tunis	 Tunisia
Ulan Bator	 Mongolia
Vaduz	 Liechtenstein
Valletta	 Malta
The Valley	 Anguilla
Vatican City	  Vatican City
Victoria	 Seychelles
Vienna	 Austria
Vientiane	 Laos
Vilnius	 Lithuania
Warsaw	 Poland
Washington, D.C.	 United States
Wellington	 New Zealand
West Island	 Cocos (Keeling) Islands
Willemstad	 Curaçao
Windhoek	 Namibia
Yamoussoukro	 Ivory Coast
Yaoundé	 Cameroon
Yaren	 Nauru
Yerevan	 Armenia
Zagreb	 Croatia
