Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Angola,AGO,"Population, total",SP.POP.TOTL,16194869,16747208,17327699,17943712,18600423,19291161,20015279,20778561,21578655,22414773,23294825,24218352,25177394,26165620,27160769,28157798,29183070,30234839,31297155,32375632,33451132,34532429,35635029,36749906,37885849,39040039
Angola,AGO,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,51820795908.1162,55648991185.0688,66552286871.4099,70973900704.1488,80557416842.2953,94300618182.7296,107761740608.6,125252544715.749,135941085829.255,148475342694.769,158040244973.52,168448555819.229,192550897776.749,208188088817.981,231746460173.748,216970007766.842,219620329477.311,232685505666.717,244199505447.271,257095759123.623,240939477746.916,280150352817.315,313150204639.577,324267987235.112,353347667613.699,384088661954.001
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,74912,76069,77032,77884,78719,79611,80604,81704,82912,84173,85320,86332,87260,88064,88765,89409,89969,90468,90926,91364,91846,92349,92840,93316,93772,94209
Antigua and Barbuda,ATG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1375709704.25026,1329079567.74332,1368128429.56561,1478877417.53735,1605923056.27003,1779801757.16667,2066837546.15667,2318845766.85522,2369739742.44074,2093679158.41091,1946833331.06057,1942861118.40915,1880345033.99673,1814662010.0448,1838929004.02555,1765944570.33874,1792750662.72916,1841851547.08464,2126474732.96598,2325030290.85835,2055789401.02887,2297406774.06847,2626667834.99878,2852160075.48573,2988412414.69965,3266584803.80798
Argentina,ARG,"Population, total",SP.POP.TOTL,37213984,37624825,38029349,38424282,38815916,39216789,39622115,40016763,40424148,40854831,41288694,41730660,42161721,42582455,43024071,43477012,43900313,44288894,44654882,44973465,45191965,45312281,45407904,45538401,45696159,45851378
Argentina,ARG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,416594563295.143,406274630478.225,359310912503.635,403199587070.233,418093841973.899,468041504541.361,568762465743.431,641221306525.631,681124430196.395,640800278428.196,711794791153.925,774475577247.848,799850880557.188,830424664582.524,821243666294.275,848959683417.303,863207236895.477,1009263951777.66,1051149861699.34,1016089122555.92,984724060445.269,1167816126453.34,1328427935079.63,1347785772934.49,1363876517009.68,1463737416604.55
Armenia,ARM,"Population, total",SP.POP.TOTL,3221100,3211800,3199800,3182500,3164900,3146400,3127100,3107400,3087100,3066000,3044800,3027900,3024100,3022000,3013800,3004600,2992300,2979400,2969000,2962500,2961500,2962300,2969200,2964300,3033500,3086700
Armenia,ARM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,8403263968.87403,9409799259.52635,10866154859.5448,12612732340.3335,14428108003.3228,16957992011.8177,19888484243.6603,23374969796.0767,25596039723.4026,21751101568.6493,22672636925.2902,23905121367.1988,28120737961.2501,30326204334.4994,30662966874.8916,30505448341.392,32364395080.3965,37214214838.3669,38848121649.4888,44977629504.2597,42854458169.0708,45809032885.4145,55460453884.6264,62231812924.096,66899216849.6034,74133719241.9873
Aruba,ABW,"Population, total",SP.POP.TOTL,90588,91439,92074,93128,95138,97635,99405,100150,100917,101604,101838,102591,104110,105675,106807,107906,108727,108735,108908,109203,108587,107700,107310,107359,107995,108785
Aruba,ABW,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2701674799.58229,2830644520.97848,2733006561.53857,2948370456.57481,3225525867.89254,2731404792.88698,3419287359.95165,3239184627.20995,3765110155.05449,3367822204.00598,3238654364.45583,3285948781.36833,3392124836.40284,3565379215.97487,3668200289.0229,3718218375.0853,3748949816.13048,3855184023.57121,3998373340.34386,4017350710.26624,3033689358.85464,3654435009.20572,4323988136.67478,4672131705.0474,5281375775.53751,..
Australia,AUS,"Population, total",SP.POP.TOTL,19028802,19274701,19495210,19720737,19932722,20176844,20450966,20827622,21249199,21691653,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24592588,24963258,25334826,25649248,25685412,26018721,26659922,27194286,27614411
Australia,AUS,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,491328325691.307,518771374745.31,551580632851.724,578222111126.559,616141573623.179,642963332171.287,685881137319.176,730566448130.012,766714016143.896,846366405494.662,836644427166.023,903980140987.868,948029205611.269,1040264027314.89,1077085609598.42,1084090898295.5,1120633918006.06,1161716703224.86,1217594768237.01,1294210119835.29,1356693821737.99,1478371081961.76,1652552720303.64,1841795093415.32,1892782945379.05,1931133720244.5
Austria,AUT,"Population, total",SP.POP.TOTL,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8955797,9041851,9131761,9177982,9208163
Austria,AUT,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,232055491446.703,234408024320.852,248692093883.398,258895536301.327,273531920320.758,285526550022.167,309875926078.773,324790066508.22,344438007359.344,339314042050.617,351988651876.12,371930322574.437,389495334591.863,404031208873.377,413711243282.085,423871544404.009,457586709759.297,469431967886.825,495518308655.702,534729904704.117,527584834776.118,573237870479.628,655260899666.056,682759986035.306,694114020530.622,709085569412.516
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10137750,10141756,10153958,10202830,10246996
Azerbaijan,AZE,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,27183963900.5072,30316808433.9691,33495197055.1136,37507504779.2202,41009698399.214,50964301847.3693,70192094682.1703,87735230037.692,103921781114.014,118049401370.944,127090031186.015,126513330052.276,140261574405.538,154517805868.262,162669717796.334,140815158037.451,133314014398.87,135736345883.151,144624337797.583,160719056708.669,152079420500.551,199651899134.305,213346165360.109,230258402785.015,247709696440.391,260575407641.476
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,323835,327836,331614,335618,339782,343894,348375,353334,358120,362810,367478,371729,375469,378953,382298,385346,388055,390485,392717,394675,395863,396373,397538,399440,401283,403033
"Bahamas, The",BHS,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,8089146086.01698,8431737655.57253,8822890067.75739,8915774348.6912,9251173728.39828,9836098512.99132,10363467589.2858,10794074563.7156,10905221592.3296,10430905933.9873,10632592911.8243,10916616408.4226,11349292738.5386,11154034469.7569,11653894813.485,11866444683.7289,11942158277.36,12799986877.8703,12933297122.2329,13586093372.1179,10215833721.8813,11585272893.9622,13832118782.3533,14862422497.9755,15895483789.7155,..
Bahrain,BHR,"Population, total",SP.POP.TOTL,637582,661316,710553,764517,823741,888822,960424,1039295,1103496,1178415,1228543,1195020,1208964,1253191,1314562,1370322,1423726,1501116,1503091,1483756,1472204,1504365,1524693,1577059,1588670,1600366
Bahrain,BHR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,28410780852.1151,29433749210.0157,30286711837.217,33183729043.0794,36485618759.1139,40928200145.8357,45150320463.6731,50581652763.8288,53544033949.0758,51306180431.6932,55154566531.015,55029117258.6701,66402419646.2032,68072823971.4905,68027917039.8448,62309169626.4093,63947711232.7998,71304134632.3664,74049989421.4865,79286106672.1106,73270788848.9241,77554670107.9553,90052232484.5139,95567695811.8499,99302019590.5394,104826011607.746
Bangladesh,BGD,"Population, total",SP.POP.TOTL,134544304,136805810,138933658,140970351,142902856,144715786,146405973,147989278,149474264,150873714,152201981,153591076,155070101,156532141,157964929,159383179,160811932,162186147,163523103,164913055,166298024,167658854,169384897,171466990,173562364,175686899
Bangladesh,BGD,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,208928912191.219,224096107345.625,238141390323.557,254435833608.358,275623066082.569,303102046599.466,336538646783.755,372342159940.509,406422852454.547,430340508060.091,460458409314.827,499623842867.126,570177672917.888,616569261196.949,662428199724.602,707741905118.267,770879103187.534,819232336678.198,933669359748.506,1038098559456.84,1150025815983.89,1313226689114.99,1487866595373.18,1632489955134.83,1748952862706.05,1881819245565.33
Barbados,BRB,"Population, total",SP.POP.TOTL,262063,262425,264148,265776,267298,268706,270002,271288,272714,274123,275243,276139,276938,277665,278348,278990,279598,280171,280711,281207,281698,282147,282318,282336,282467,282623
Barbados,BRB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,4241734179.14438,4218350741.44215,4309230217.19043,4477383535.35394,4692257641.43797,4982529089.79311,5381502480.67468,5738203163.16014,5832482926.79825,5614133123.13161,5292290833.43257,5213779213.89919,5007805599.19118,5096527706.30672,5053248053.03198,5153920100.18169,5156420024.09512,5111364299.72257,5328859930.7735,5377100067.6089,4602544378.07279,4909522833.96751,6049375062.79465,6293531992.98564,6674990685.07287,7019871166.68219
Belarus,BLR,"Population, total",SP.POP.TOTL,9979610,9928549,9865548,9796749,9730146,9663915,9604924,9560953,9527985,9504583,9483836,9461643,9446836,9443211,9448515,9461076,9469379,9458989,9438785,9419758,9379952,9302585,9228071,9178298,9132629,9085991
Belarus,BLR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,57599290416.0311,61718401367.6187,65934629632.0452,72222673990.9058,82473657569.9329,93301104731.3984,105274373752.277,116721969822.932,130591011985.424,130469050515.513,142518283301.088,154983303603.245,167296412997.24,173248520791.098,174483588700.132,164291065067.72,160900350090.374,167632916104.313,182188717864.165,203844984018.9,223810524831.542,247425875072.912,251296743196.831,274060034693.252,296640885197.887,311698257299.916
Belgium,BEL,"Population, total",SP.POP.TOTL,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11538604,11586195,11680210,11779946,11858610,11941781
Belgium,BEL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,292266786099.686,301726910195.516,318307798007.558,327068420043.462,338737534049.211,352001708926.337,377178170324.348,396445518123.454,415597849908.875,417265314961.186,440693705859.156,455990965379.71,482514593066.606,500742651017.284,516329881756.63,526734566836.417,553524342166.756,576768682136.162,605596243249.344,657061802150.491,653343852324.534,711987926369.19,814846888862.473,871593509849.801,895090360761.509,903019877929.662
Belize,BLZ,"Population, total",SP.POP.TOTL,240799,248379,256009,263780,271688,279731,287878,296100,304361,312614,320245,327298,334414,341627,348923,356333,364705,373202,380226,385829,390812,395346,402733,411106,417072,422924
Belize,BLZ,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1732094182.7027,1838613578.76438,1974171092.6048,2174704695.44198,2302311800.13131,2442453657.96227,2628062328.92224,2745826868.1504,2747561071.15033,2877800766.68227,2874491200.69878,3013114578.44911,2916170861.74613,3063622805.0429,3097854784.97886,3250889704.55657,3258275977.10252,3215706845.78815,3364275231.79146,3773015618.41585,3659105685.0266,4483369534.50277,5165384405.5909,5443323507.23995,5749188627.34731,6016285252.00403
Benin,BEN,"Population, total",SP.POP.TOTL,7221619,7445596,7675426,7913070,8159094,8426144,8693242,8953969,9228466,9509423,9797484,10093623,10397657,10708834,11030004,11360681,11697842,12039780,12383347,12726755,13070169,13413417,13759501,14111034,14462724,14814460
Benin,BEN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,12027736615.1565,12948150112.9669,13721745615.5879,14468723523.2004,15533914339.1116,16349258967.9817,17490099398.3226,19007959449.6442,20420580872.0428,20975883270.0141,21631499482.8675,22827323680.6371,24247664236.3808,26748581226.6548,29319572569.4586,30783169849.1756,33139256276.3922,34658579239.9593,36578611942.2762,39879141291.5087,42079218680.0485,45970615342.8682,52504741798.73,57790946165.9377,63602230678.5824,70545861890.2721
Bermuda,BMU,"Population, total",SP.POP.TOTL,61550,61867,62142,62386,62555,62711,62834,63010,63300,63565,63725,63733,63646,63574,63529,63464,63449,63578,63831,64107,64382,64648,64749,64698,64636,64555
Bermuda,BMU,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,4701578067.71821,4635082852.05734,4596631368.50352,4756765522.24698,4747225573.39698,4992912409.27508,5246908291.18516,5670866795.2919,5666125729.75487,5912156946.15505,5643535681.09944,6223155948.2541,7163157626.99526,7506376872.93819,7920114074.40936,..
Bhutan,BTN,"Population, total",SP.POP.TOTL,596863,610794,624409,637663,650544,661865,670799,678641,686351,693988,701632,709377,717279,725273,733139,740618,747866,754335,759759,764824,770006,775442,780914,786385,791524,796682
Bhutan,BTN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1856062353.31879,2038156361.48625,2254204844.95379,2460686479.30123,2655627508.93219,2953603559.29571,3247957428.00984,3834926032.09621,4035330839.58354,4316930870.34871,4822146567.52884,5305026900.68185,5709319649.78541,5886692412.62954,6393664243.92203,7070877308.08089,7767567930.1109,8085241618.79008,8318863681.76297,9044743247.8753,9047496314.57885,9846215602.05732,11150665876.993,12057760146.6572,13258264270.3956,14756303126.4518
Bolivia,BOL,"Population, total",SP.POP.TOTL,8606326,8752736,8900355,9050700,9204287,9360754,9521689,9685960,9850858,10016275,10182345,10348929,10515807,10682608,10848888,11014705,11180020,11344587,11508368,11671386,11816299,11937360,12077154,12244159,12413315,12581843
Bolivia,BOL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,34621801144.5399,36025102638.1886,37495611783.2108,38897327324.3806,41382277779.6893,44734395136.8333,48518672414.7722,51993164429.2158,56496709895.8443,58423754636.6045,61242678457.2845,65987849940.9449,71832377952.956,81814667819.1113,89680150139.0093,93768678157.1415,101782354815.648,115375176042.743,121289985573.196,126255050366.233,112094510633.637,130907913304.554,144918837853.466,154161008091.406,156743108183.863,157701450300.292
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,4159771,4179438,4188002,4178523,4140987,4096493,4063272,4013424,3947544,3879794,3811472,3741798,3670113,3610859,3564829,3518541,3473003,3428682,3387000,3345533,3299349,3244907,3204802,3185073,3164253,3140095
Bosnia and Herzegovina,BIH,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,19084004676.6136,19651407700.7947,21010880631.2981,21835988371.6447,23504428585.388,25415378579.488,28761021298.6695,31764257230.4804,35149359939.0898,35046610754.7135,35193996545.4683,36819304857.5962,37436087201.9046,39546948511.825,40137123098.0447,41959572394.9239,44859877120.8705,46336062059.5405,50037297303.1374,54870193962.005,53710957685.0647,58581879592.9923,68477521360.418,74094501960.8895,79416476541.4332,81059706640.8268
Botswana,BWA,"Population, total",SP.POP.TOTL,1677382,1712254,1744763,1775736,1807146,1839877,1874516,1911201,1949970,1990673,2033111,2073535,2108617,2140682,2172044,2203273,2234776,2266747,2299141,2332083,2365894,2401441,2439892,2480244,2521139,2562122
Botswana,BWA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,14756061894.1381,15717294220.2121,15094421276.6971,16731343636.2361,17409474153.951,19268864427.2971,22231647213.2978,24701380859.0707,25588389668.5222,23057829553.8115,24923491103.1991,28096541037.8299,26440631024.6661,27829355670.35,31594338717.099,30117036360.3655,33163187465.3871,32569558815.7126,32918171744.0773,35270595740.6781,36237773355.9941,42716840969.1419,45537360036.0257,50873472093.0954,51087321005.6905,51136646869.1788
Brazil,BRA,"Population, total",SP.POP.TOTL,174018282,176301203,178503484,180622688,182675143,184688101,186653106,188552320,190367302,192079951,193701929,195284734,196876111,198478299,200085127,201675532,203218114,204703445,206107261,207455459,208660842,209550294,210306415,211140729,211998573,212812405
Brazil,BRA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1536571396346.23,1586988046023.08,1659007167048.92,1714272367600.66,1865979623674.77,1987414876953.63,2138389134711.26,2338676737850.6,2496774336090.09,2515168077456.35,2712853462121.3,2894294561120.02,2917485069830.25,3077181547208.26,3107797557672.48,2932875378900.44,2846197824931.42,2924570810575.36,3098565570875.8,3244270827520.15,3289682051766.51,3669595464515.07,4058419236307.8,4332735394646.67,4584245447846.94,4824646757439.01
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,20241,20796,21430,22134,22881,23665,24493,25366,26288,27218,27675,28710,30345,31703,32962,34498,33878,32699,34657,36395,37135,37809,38319,38985,39471,39732
British Virgin Islands,VGB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,326424,333345,340099,346637,352911,358916,364663,370873,377793,384952,392332,399389,405557,411202,416750,422212,427564,432772,437810,442680,447404,451721,455370,458949,462721,466330
Brunei Darussalam,BRN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,23857328633.4596,24752160223.4726,26132586739.0464,27603457286.3453,28375370607.785,29263918712.1849,31402712496.4994,31183790836.8813,30507585985.0515,30141006408.9745,30978818572.2958,32155329234.668,34538026371.4985,33848408524.4879,33820608624.7944,27808119557.8452,26009280715.0338,28268746239.4542,28699081628.7526,31524538109.2571,32164200811.1156,35572916562.847,36418906120.0353,39559751319.3154,42981451266.7535,44497868290.2928
Bulgaria,BGR,"Population, total",SP.POP.TOTL,8170172,8009142,7837161,7775327,7716860,7658972,7601022,7545338,7492561,7444443,7395599,7348328,7305888,7160005,7073572,6984225,6894139,6803468,6710798,6616726,6550696,6507301,6465097,6446596,6441421,6433302
Bulgaria,BGR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,51202532739.1311,55840896750.1904,62298381221.7155,66500602389.5404,71824710641.0707,79038060912.5966,84543881263.8215,89677075739.4725,102380685433.928,102239654396.739,107633335253.374,111262217794.367,116311698993.065,116412862654.533,124764914673.289,126213905716.486,135806069079.221,144947466826.383,155209059182.035,171595680899.069,172694545853.831,193414645687.946,222100467847.818,238045008207.502,256676035775.057,271313843619.209
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,11925546,12295001,12680897,13082532,13500533,13932123,14373707,14816307,15258093,15710066,16176498,16661908,17172287,17695409,18229461,18777487,19334856,19894407,20438288,20961952,21478690,21995243,22509038,23025776,23548781,24074580
Burkina Faso,BFA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,10677475199.1735,11610543580.5306,12234073018.6095,13421047462.2685,14445743187.7439,16155057438.9461,17830162366.3617,19064105717.8201,20539035606.5713,21095292394.294,22745987553.5524,24485121959.0513,26309756409.365,28285423291.7266,28969717707.3022,30316565398.2552,34762910787.0786,39106923342.4676,41036118953.7406,44729069839.1331,49348669869.3869,51487330286.7921,55673254916.2475,60231960863.3707,64304763048.6872,69602173980.2928
Burundi,BDI,"Population, total",SP.POP.TOTL,6470194,6634365,6824132,7043154,7310656,7587299,7865547,8161874,8505637,8947646,9376444,9717978,10071028,10439341,10799785,11047580,11239451,11506762,11859446,12255336,12617036,12965481,13321097,13689450,14047786,14390003
Burundi,BDI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,3414755726.19064,3456583099.00438,3656968572.30841,3660207637.55778,3912003019.38116,4129329256.20532,4528118413.32633,4823538811.89709,5166464156.2308,5357907355.08057,5723510904.11493,6061567691.6028,6399794148.18277,7180923089.76616,7782093677.51351,7977727571.73748,8585942173.20765,9106111071.34737,9653300445.26528,10531684283.1023,11860448320.1509,13278592667.4493,14585608927.8594,15625748661.561,16720609383.2286,17916577799.9223
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,453317,460293,467046,473383,479370,485115,490728,496190,501355,506141,509784,511447,511955,512225,512326,512394,512554,512893,513415,514104,514679,516649,519741,522331,524877,527326
Cabo Verde,CPV,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1384829481.12181,1466974853.33382,1550471108.61359,1655551282.85277,1870442439.99783,2035635400.75889,2254054232.37288,2709631230.44186,2941198955.68161,2917225097.84611,2954975811.93231,3148523869.00776,3108466201.68503,3157630152.5317,3138366363.25717,3353556950.78495,3646587315.33736,3945740453.85099,3978218736.62249,4361122121.62996,3452484169.10908,3915787357.05603,4865389277.02956,5286364708.65588,5770627057.64528,6331961373.88148
Cambodia,KHM,"Population, total",SP.POP.TOTL,12462336,12658484,12855241,13050968,13244731,13439202,13639028,13841770,14053479,14276810,14500726,14722584,14945085,15170208,15396772,15623251,15852803,16073372,16274522,16481304,16725474,16974305,17201724,17423880,17638801,17847982
Cambodia,KHM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,15139347777.0127,16597022247.9735,17770452404.3663,20123061568.0788,22587080172.0587,26277290812.4788,30130189430.8338,34378783735.8253,37550513253.324,39277753147.7522,42082367114.3769,45875102217.4422,51515144944.1022,56567682908.7456,60722170556.6183,66413459481.5851,72297997974.0618,78018882396.9924,87757434759.134,96878698006.2129,96233903990.4942,101394689550.731,114383756001.936,126664711937.815,139697229762.705,149782493131.026
Cameroon,CMR,"Population, total",SP.POP.TOTL,14912631,15309490,15725528,16160340,16610487,17074594,17550407,18049896,18574056,19113974,19668066,20232304,20809529,21402376,22059893,22763414,23454161,24128601,24806383,25506095,26210558,26915758,27632771,28372687,29123744,29879337
Cameroon,CMR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,29672863373.0829,31408863194.7047,33650313820.3889,37007036671.4263,41167057129.7386,43242795368.2767,46891301708.0939,49794688563.6031,52518810810.2531,54803332748.9591,56761054668.4595,59872437223.2221,62730540299.587,68054890189.4943,74076522623.9515,78538750618.6809,83664911616.3662,89235394974.8846,97651753918.3907,105876092300.995,112063496623.243,126927699702.63,139790168546.474,150593434524.654,159625472359.502,170234402878.878
Canada,CAN,"Population, total",SP.POP.TOTL,30685730,31020855,31359199,31642461,31938807,32242732,32571193,32888886,33247298,33630069,34005902,34339221,34713395,35080992,35434066,35704498,36110803,36545075,37072620,37618495,38028638,38239864,38950132,40049088,41262329,41651653
Canada,CAN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,876935866151.766,911694819815.205,946440061399.149,998454857612.763,1060309767216.21,1147390008931.78,1221965016734.95,1282352329734.02,1322673547258.16,1284469615368.94,1336790889862.42,1403781260484.68,1442044757903.5,1530453431372.55,1595196682591.57,1570419104485.27,1657591887626.39,1743306959310.54,1821483037220.98,1877057297226.28,1834448846581.77,2159453610338.53,2465163660625.47,2561201059551.98,2659678810088.38,2783125372599.95
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,39674,41089,42514,43934,45352,46788,48232,49687,51151,52618,54099,55606,57136,58655,60160,61642,63100,64535,65941,67327,68684,70108,71591,73038,74457,75844
Cayman Islands,CYM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,3395900981.52134,3579426001.18982,2503674819.03441,2242165294.44674,2206011067.53999,2340668358.62058,2619514261.94973,2940171852.21732,3305697558.12123,3627574909.28628,3440770918.5223,4516776044.57888,4626393550.80562,4841259037.64804,5544924877.55198,..
Central African Republic,CAF,"Population, total",SP.POP.TOTL,3833416,3919487,4006077,4103086,4192826,4288810,4377579,4462770,4558984,4529047,4492995,4565021,4610848,4642419,4623182,4629320,4713663,4793511,4878657,4944703,5026628,5112100,5098039,5152421,5330690,5513282
Central African Republic,CAF,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2417722133.96867,2597969299.04701,2731657945.23723,2653087280.13755,2863350930.09246,2989693787.66022,3228242364.08924,3473911824.74597,3594573769.94322,3961869981.93098,4226562236.09536,4492422406.61788,4918926831.37993,3324981401.57609,3265039171.08106,3603540434.67345,3942112928.35926,4452407772.46887,4749006361.38565,5230877201.10181,5659466490.56345,6162917245.35656,6537820697.02284,6865568636.6878,7148870937.52107,7660254149.87861
Chad,TCD,"Population, total",SP.POP.TOTL,8512093,8804124,9116192,9487833,9920036,10328092,10706424,11081660,11476296,11893754,12312575,12754997,13210998,13691079,14188678,14647621,15114655,15622759,16156531,16685223,17224679,17828273,18455316,19319064,20299123,21003705
