Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Australia,AUS,"Population, total",SP.POP.TOTL,19028802,19274701,19495210,19720737,19932722,20176844,20450966,20827622,21249199,21691653,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24592588,24963258,25334826,25649248,25685412,26005540
Australia,AUS,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,490505152124.87,517957220250.327,550653577654.902,577323743433.695,615130303911.792,641891560954.107,684978180322.294,729421949920.085,764950073458.173,843713216587.664,833788234292.616,901135103226.097,944830743158.79,1035928528535.58,1072525161980.57,1079982845793.32,1116837774694.58,1158118862741.3,1214893467981.23,1273416087790.9,1334136199257.48,1427353137447.52,1581853923875.82
Austria,AUT,"Population, total",SP.POP.TOTL,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8955797,9041851
Austria,AUT,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,233343398222.482,235657227426.92,250522395607.009,260413816554.689,275619794709.552,287476798281.967,312122128174.123,326807776801.153,346680570770.484,341248490322.061,354262775265.277,374289188740.567,392030460346.489,407466618825.439,417609480255.935,426732539405.343,460248078658.205,472121614071.579,498431937162.513,528620894948.594,515638118693.145,544155555673.086,613316618773.551
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10137750,10141756
Azerbaijan,AZE,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,26729639909.0101,29810493441.7179,32937271772.0775,36882488244.2552,40324484427.6371,50112940094.2678,69038045043.0504,85968516583.8538,101974605603.795,115787865664.861,124948063267.161,126513330052.276,139942118752.313,153814756946.049,161560771985.524,139536668196.983,131802753631.7,133891980747.811,137699257103.595,145097815681.857,145380742379.547,158114382737.908,168674752369.777
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,325014,329626,334002,338490,343089,347804,352664,357666,362795,368057,373272,377950,382061,385650,389131,392697,395976,399020,401906,404557,406471,407906,409984
"Bahamas, The",BHS,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,8220336605.09602,8569517623.28768,8966993336.60868,9060798177.32148,9400981925.22917,9995890289.00957,10532514401.3731,10969493484.3652,11078885585.4302,10600912311.3584,10805872879.6104,11096143557.5883,11432980687.4643,11206015634.0711,11680005145.6034,11938397478.681,12114062811.6163,12988586789.9007,13381272119.5968,13785680368.8127,10604493547.3859,13109381230.9433,15915431447.1651
Bahrain,BHR,"Population, total",SP.POP.TOTL,711442,730257,748324,778256,833451,901921,970981,1040532,1110343,1179453,1213645,1212077,1224939,1261673,1311134,1362142,1409661,1456834,1487340,1494188,1477469,1463265,1472233
Bahrain,BHR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,27311709164.616,28295453131.7053,29116729676.1554,31901610889.7913,35074326852.3588,39345206906.1066,43404762401.311,48622926281.6891,51466159944.9602,49326998905.5529,52801027932.7423,52634201219.1065,63717186823.4415,65227977632.6593,64937397694.8038,59027883384.9117,60275901158.781,67284010435.2343,70443505663.1055,72984436635.5147,69563635415.2447,75166336870.9986,86183451311.2574
Bangladesh,BGD,"Population, total",SP.POP.TOTL,129193327,131670484,134139826,136503206,138789725,140912590,142628831,144135934,145421318,146706810,148391139,150211005,152090649,154030139,155961299,157830000,159784568,161793964,163683958,165516222,167420951,169356251,171186372
Bangladesh,BGD,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,208903159541.59,224071251607.42,238125614090.902,254417193062.954,275590314037.615,303067115063.122,336505561948.372,372281153126.807,406321271060.039,430336315712.769,460392531150.933,499623842867.126,568934789557.357,613884173762.715,658105717590.998,701591060059.261,762513773147.244,808575894587.825,893313314637.336,981928369995.099,1029466189634.51,1162778260266.77,1316527886963.21
Barbados,BRB,"Population, total",SP.POP.TOTL,264657,265377,266455,267499,268505,269477,270425,271444,272635,273791,274711,275486,276197,276865,277493,278083,278649,279187,279688,280180,280693,281200,281635
Barbados,BRB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,3339383133.92558,3317393367.57262,3387139119.08228,3516487359.28741,3691707072.97344,3909345544.84585,4206522595.07432,4506811843.60102,4569201474.59413,4407617753.7727,4440521543.7973,4315500082.19215,4184641098.58336,4186176287.52046,4150863793.33503,4243571556.66868,4362578418.72657,4329135010.29111,4384691450.00064,4446843066.19397,4086160977.77421,4131313872.35273,4921665398.76923
Belarus,BLR,"Population, total",SP.POP.TOTL,9979610,9928549,9865548,9796749,9730146,9663915,9604924,9560953,9527985,9504583,9483836,9461643,9446836,9443211,9448515,9461076,9469379,9458989,9438785,9419758,9379952,9302585,9228071
Belarus,BLR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,57659972968.0428,61784186322.8842,66007857216.1954,72302377930.7824,82560911752.8275,93400148657.3812,105387913106.487,116840196909.485,130712030595.675,130621331445.913,142729488426.014,154983303603.245,167209008145.489,173067538960.123,174210252072.527,163947995272.129,160480473070.668,167108118023.774,176774543803.611,183777198957.76,182821976446.329,196504613002.174,200334702619.202
Belgium,BEL,"Population, total",SP.POP.TOTL,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11538604,11586195,11685814
Belgium,BEL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,292223592683.957,301727924451.347,318307798007.558,327108740417.411,338775285060.243,352001708926.337,377236839847.883,396420257105.211,415597849908.875,415145847375.782,440721000699.246,452655752838.946,480620383220.801,499349513623.745,514186705056.397,528249820624.552,555959647175.261,579048881302.262,605582412477.963,647342556465.905,637403701056.313,696818318795.253,776989729049.648
Belize,BLZ,"Population, total",SP.POP.TOTL,240406,248100,255987,263998,272128,280375,288729,297173,305671,314171,322106,329538,337059,344688,352335,359871,367313,374693,382066,389095,394921,400031,405272
Belize,BLZ,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1724717053.41452,1830698775.61858,1965810231.23175,2165267715.0669,2291962520.17578,2431566083.69501,2616430898.78703,2732144279.21716,2736175011.02943,2866951492.99106,2857491266.54221,2990947886.18442,2872110278.74816,3009688922.0672,3028343613.2923,3184229772.53787,3173398567.85517,3114639004.34618,3179212919.31383,3372045132.93776,3073099000.04827,3771095564.32587,4322678327.32867
Benin,BEN,"Population, total",SP.POP.TOTL,6998023,7212041,7431783,7659208,7894554,8149419,8402631,8647761,8906469,9172514,9445710,9726380,10014078,10308730,10614844,10932783,11260085,11596779,11940683,12290444,12643123,12996895,13352864
Benin,BEN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,12026254072.2015,12946713962.0525,13720836586.4983,14467663511.7471,15532068457.8216,16347374768.4514,17488379961.1496,19004845069.4699,20415476948.705,20975678924.417,21628404646.4189,22827277379.615,24162896617.311,26561886938.3552,29012509444.3848,30282958642.7141,32384504143.6299,33647417490.4049,36766633595.0317,40036155688.8566,42101497593.256,47393221446.7611,53718714711.5151
Bermuda,BMU,"Population, total",SP.POP.TOTL,61833,62504,62912,63325,63740,64154,64523,64888,65273,65636,65124,64564,64798,65001,65138,65237,64554,63873,63918,63911,63893,63764,63532
Bermuda,BMU,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,4700905409.07144,4635082852.05734,4565102131.19074,4691734061.22244,4650207512.13465,4857325794.21895,5069411917.91031,5441446654.03734,5502445451.27569,5515855315.31481,5287251895.73167,5769769111.89458,6266926349.07207
Bhutan,BTN,"Population, total",SP.POP.TOTL,587207,603234,619048,634627,649991,663323,673260,681614,689737,697678,705516,713331,721145,728889,736357,743274,749761,756121,762096,767459,772506,777486,782455
Bhutan,BTN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1681517668.17299,1864106984.81897,2071585862.44438,2261569425.39561,2460463237.09723,2745949678.81683,3059172535.6092,3681386742.76799,3882798431.24975,4117616088.28373,4592150292.83972,5025027934.76435,5427558614.93035,5602230793.66315,6149107935.26414,6820498921.72026,7485314870.70246,8063888272.9059,8518002240.38172,9183114571.27457,8587390822.78439,9385514936.37637,..
Bolivia,BOL,"Population, total",SP.POP.TOTL,8592656,8746084,8900583,9057378,9216279,9377388,9542663,9711152,9880593,10051317,10223270,10396246,10569697,10743349,10916987,11090085,11263015,11435533,11606905,11777315,11936162,12079472,12224110
Bolivia,BOL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,28129616809.3607,29275315682.1106,30471917020.7801,31540570279.8615,33510905394.8558,36257389727.6557,39361711666.7343,42156083523.0996,45849622668.7466,47362830022.5297,49578723011.0154,53471345613.9369,57756234187.7259,65495334662.9702,71666096539.7519,74894854628.5889,81222638731.8631,91495898240.3683,98192891933.4671,102565612345.555,95701615409.1369,104601224549.985,115588484469.457
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,4179350,4194932,4198410,4183757,4142860,4094297,4058086,4007876,3943392,3877750,3811088,3743142,3674374,3617559,3571068,3524324,3480986,3440027,3400129,3360711,3318407,3270943,3233526
Bosnia and Herzegovina,BIH,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,18889356996.3574,19490201311.4634,20785396593.6038,21527480222.871,24474152837.8233,25415388799.3059,28763129831.0069,31761603458.41,35149093673.4469,35031242592.5831,35203327342.1838,36819353484.6671,37435828107.2448,39546697184.7206,40137290056.7482,41959768430.2858,44859179661.8472,46336487125.7596,50037539747.5089,54078367779.8751,52374076359.8815,56366425159.5296,64152684866.617
Botswana,BWA,"Population, total",SP.POP.TOTL,1726985,1761930,1795130,1826863,1859085,1892807,1928704,1966977,2007320,2048997,2091664,2134037,2175425,2217278,2260376,2305171,2352416,2401840,2451409,2499702,2546402,2588423,2630296
Botswana,BWA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,14430530808.5912,15383702181.5643,14735988509.5954,16348755128.673,17005214944.9077,18832928500.1417,21744952298.3796,24170893447.0788,25028018227.6489,22578913607.9649,24387025553.8248,27515399832.0169,26752346286.0876,27131166276.9944,31422442293.3106,29898756384.6637,32863012968.62,32216118442.305,34065962149.8778,37329145114.4025,36457062061.6225,42166381281.2866,46830575768.1281
Brazil,BRA,"Population, total",SP.POP.TOTL,175873720,178211881,180476685,182629278,184722043,186797334,188820682,190779453,192672317,194517549,196353492,198185302,199977707,201721767,203459650,205188205,206859578,208504960,210166592,211782878,213196304,214326223,215313498
Brazil,BRA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1536381998062.15,1586812024441.31,1658897262281.92,1714146776163.78,1865757891010.53,1987185833915.89,2138178911419.6,2338293554914.52,2496150291961.41,2515143574924.61,2712465332008.37,2894294561187.9,2923719823241.02,3090347659210.83,3127764536961.12,2958026429307.17,2876740136507.09,2962271099129.21,3058925247017.94,3154920115524.25,3110372767955.17,3374852690568.63,3717886862698.14
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,20104,20657,21288,21982,22715,23497,24323,25191,26115,27044,27556,27962,28421,28657,28971,29366,29739,30060,30335,30610,30910,31122,31305
British Virgin Islands,VGB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,333926,340748,347463,354045,360461,366717,372808,378748,384568,390311,396053,401506,406634,411702,416656,421437,425994,430276,434274,438048,441725,445373,449002
Brunei Darussalam,BRN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,22110111947.6952,23228621563.6443,24504099645.9353,25713344431.5388,26536753668.7613,27474956035.5065,29568272358.0279,30569261041.0941,30511462552.2694,30197283909.5026,30974245587.3837,32155106321.3359,34364760477.9712,33509559006.4759,33313972350.9287,27254603848.3947,25364170400.1577,27428959648.7296,26691246249.6264,28799884531.4937,29602012900.2555,29738589013.7615,30425463488.1113
Bulgaria,BGR,"Population, total",SP.POP.TOTL,8170172,8009142,7837161,7775327,7716860,7658972,7601022,7545338,7492561,7444443,7395599,7348328,7305888,7265115,7223938,7177991,7127822,7075947,7025037,6975761,6934015,6877743,6465097
Bulgaria,BGR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,51194415848.9179,55842158704.5368,62301575895.0828,66512057433.9088,71836514090.1879,79042085273.0348,84554463845.7296,89609299215.1024,102296346332.528,102194764312.351,108309718661.176,112094354153.172,117702185792.663,118281452875.965,126167531134.911,127908343125.165,138636762057.469,148501536807.233,156380825726.585,170543104255.975,168059763455.733,184763037732.722,211657908289.717
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,11882888,12249764,12632269,13030591,13445977,13876127,14316242,14757074,15197915,15650022,16116845,16602651,17113732,17636408,18169842,18718019,19275498,19835858,20392723,20951639,21522626,22100683,22673762
Burkina Faso,BFA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,10676159089.9054,11609255790.9519,12233262543.8659,13420064205.9361,14444026612.8686,16153195620.5176,17828409497.8801,19060982138.2983,20533902076.6377,21095086885.4214,22742733266.3775,24485121959.0513,26157122985.3763,27958185156.6621,28468442315.1301,29619149700.6198,33766175223.7979,37765264713.5699,41481933114.0071,43969867561.5212,45833192546.2252,50574187504.5394,55388452692.6325
Burundi,BDI,"Population, total",SP.POP.TOTL,6307659,6465729,6648938,6860846,7120496,7388874,7658190,7944609,8278109,8709366,9126605,9455733,9795479,10149577,10494913,10727148,10903327,11155593,11493472,11874838,12220227,12551213,12889576
Burundi,BDI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,3413530970.7128,3455386002.32066,3655865389.10312,3659077807.18507,3910617249.29648,4127881290.60415,4526607288.19746,4821960531.8341,5162014020.35365,5356075850.63316,5722262798.4003,6061589359.64675,6368379910.21901,7074295572.52413,7628334837.90584,8551056104.25342,8354333752.75671,8380014255.21821,8733392580.38043,9058044730.40005,9230236284.33632,9918555432.97258,10826840153.3239
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,458251,465958,473231,480089,486583,492827,498884,504733,510336,515638,521212,527521,533864,539940,546076,552166,558394,564954,571202,577030,582640,587925,593149
Cabo Verde,CPV,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1384658786.56332,1466812143.04251,1550368394.0334,1655429993.41638,1870220176.97844,2035400800.32387,2253832638.16985,2709187267.91099,2940463831.93146,2917196678.44193,2954553041.10892,3148523869.00776,3103149443.0161,3146837691.62509,3122290190.70582,3330671889.32497,3615507976.23575,3905420152.19532,4187655521.33616,4570017331.62071,3657988037.28042,4065407685.35113,5103526866.64374
Cambodia,KHM,"Population, total",SP.POP.TOTL,12118841,12338192,12561779,12787710,13016371,13246583,13477779,13714791,13943888,14155740,14363532,14573885,14786640,14999683,15210817,15417523,15624584,15830689,16025238,16207746,16396860,16589023,16767842
Cambodia,KHM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,12627752883.4657,13926743835.4375,14944527020.3757,16636350258.4187,18807506928.6444,21840398104.5699,24987674330.7747,28465506486.742,30841551003.0878,30994790312.9039,33509040087.7333,36394815884.1828,40352333047.8929,43284451677.1755,45941913407.5674,49695125105.4018,54905400965.1813,59657647125.7637,65478977944.1063,71070686301.2427,71047705349.8647,75564500512.7161,85076198344.7568
Cameroon,CMR,"Population, total",SP.POP.TOTL,15091594,15493253,15914033,16354326,16809407,17275171,17751333,18251866,18777081,19319274,19878036,20448873,21032684,21632850,22299585,23012646,23711630,24393181,25076747,25782341,26491087,27198628,27914536
Cameroon,CMR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,29669205885.7306,31405379464.0404,33648084576.7491,37004325452.1082,41162165284.7818,43237811775.1437,46886691863.0946,49786529897.6895,52505684250.0515,54802798858.7002,56752933817.1938,59871368067.6563,62629408092.919,67829555750.8476,74535991979.3048,78039557072.8874,82998880759.8221,88388067006.1336,94074925275.3304,98813503342.5367,100318472355.47,108929716386.904,120952084612.51
Canada,CAN,"Population, total",SP.POP.TOTL,30685730,31020902,31360079,31644028,31940655,32243753,32571174,32889025,33247118,33628895,34004889,34339328,34714222,35082954,35437435,35702908,36109487,36545236,37065084,37601230,38007166,38226498,38929902
Canada,CAN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,877363047705.317,911387800049.817,946440061399.149,998506176807.967,1060259016664.75,1147390008931.78,1221860598242.03,1282434850618.64,1322673547258.16,1284496325205.2,1336628963349.76,1403781260484.68,1442044757903.5,1530453431372.55,1595196682591.57,1570419104485.27,1657591887626.39,1743306959310.54,1821483037220.98,1851430732710.42,1780949928557.57,2015126526867.38,2248656780747.11
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,39658,41054,42456,43862,45286,46727,48177,49647,51123,52602,54074,55492,56860,58212,59559,60911,62255,63581,64884,66134,67311,68136,68706
Cayman Islands,CYM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,3395415127.17075,3579426001.18982,2506666954.65396,2247527709.29713,2213929718.77153,2351877741.07651,2635204595.37926,2961317695.44801,3295382041.34973,3700878296.23475,3275562304.22552,3610661900.75068,..
Central African Republic,CAF,"Population, total",SP.POP.TOTL,3759170,3844773,3930648,4026841,4115138,4208834,4294352,4375569,4467233,4564540,4660067,4732022,4773306,4802428,4798734,4819333,4904177,4996741,5094780,5209324,5343020,5457154,5579144
Central African Republic,CAF,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2417424124.70628,2597681143.9089,2731476980.17601,2652892908.95483,2863010680.63613,2989349235.06357,3227924998.25856,3473342637.81441,3593675341.58467,3961831385.66895,4225957538.35488,4492422406.61788,4910903587.89207,3314143517.70327,3249088436.38074,3580087008.65921,3910067806.77701,4409011233.54022,4791717956.33572,5026635640.06434,5050742580.14359,5391770268.62664,5718673276.43244
Chad,TCD,"Population, total",SP.POP.TOTL,8259137,8538804,8838369,9196366,9613503,10005012,10365614,10722731,11098664,11496128,11894727,12317730,12754906,13216766,13697126,14140274,14592585,15085884,15604210,16126866,16644701,17179740,17723315
Chad,TCD,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,6312312698.41727,7203023006.41555,7806188192.41844,7894652187.71089,10954453969.8081,13207587568.753,13557476563.6375,14799621692.2587,15149189551.8909,18140049198.8271,21026365631.7118,21644734483.3347,21591587636.4981,19796873664.8052,21921934523.2352,24904346467.7966,23791406629.63,23520168178.8231,24619506688.2696,25854763156.0053,25799718685.8794,26623924772.7001,29133955763.8116
Channel Islands,CHI,"Population, total",SP.POP.TOTL,145306,146044,147167,148341,149538,150763,151985,153225,154475,155721,156933,157819,158621,159794,160912,162190,163721,165215,167259,169410,171113,172683,174079
Channel Islands,CHI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,"Population, total",SP.POP.TOTL,15351799,15523978,15693790,15859112,16017966,16175311,16334575,16495538,16661462,16833447,17004162,17173573,17341771,17509925,17687108,17870124,18083879,18368577,18701450,19039485,19300315,19493184,19603733
Chile,CHL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,140272785551.141,148284323495.085,154513890929.323,162909670366.872,174121572676.65,188981195876.412,228711518847.374,251050128189.555,254057986121.321,252743553342.144,287919841654.98,318741871194.529,353816711368.114,375186612617.18,385025200175.766,395546267618.996,413012764334.869,433363834230.02,458498081287.065,469155277561.128,451355878982.661,520167561588.666,559603637817.867
China,CHN,"Population, total",SP.POP.TOTL,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1345035000,1354190000,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000,1412175000
China,CHN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,3638846981214.98,4021977814892.44,4476515568145.3,5043427337791.93,5722835292866.35,6545682659408.01,7645686953048.79,9006909238911.52,10105251737558.4,11038634381698.2,12327139534868.8,13715341860950.3,15089408821925.6,16053445265520.6,17143013848408.6,17711827416520.5,18619312059573.2,19860975136118.3,21644244590428.5,23380863060039.8,24089799612583.7,27327396135942.7,30012338566243.8
Colombia,COL,"Population, total",SP.POP.TOTL,39215135,39837875,40454050,41057687,41648268,42220940,42772910,43306582,43815313,44313917,44816108,45308899,45782417,46237930,46677947,47119728,47625955,48351671,49276961,50187406,50930662,51516562,51874024
Colombia,COL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,259119851681.519,268553175357.698,278942606993.311,293377825619.196,317135587242.227,346128974009.171,380374244244.361,415161123434.6,435339701109.348,445336792761.156,468494515041.585,507405547213.148,532590461643.626,571320090863.889,607259189846.402,622183968337.135,658039414706.677,681250506662.521,728608189905.724,779204426067.981,761137697728.106,865813861963.849,1009795123025.52
