locale	style	input	expected
az_Latn	percent	-1234.56	-123.456%
az_Latn	percent	1.23E-4	0,0123%
az_Latn	percent	-0.0	-0%
az_Latn	scientific	0.0	0E0
az_Latn	scientific	1.0	1E0
az_Latn	scientific	1.2	1,2E0
az_Latn	scientific	12.0	1,2E1
az_Latn	scientific	123.0	1,23E2
az_Latn	scientific	1234.56	1,23456E3
az_Latn	scientific	1234567.0	1,234567E6
az_Latn	scientific	-1234.56	-1,23456E3
az_Latn	scientific	1.23E-4	1,23E-4
az_Latn	scientific	-0.0	-0E0
az_Latn	compact-short	0.0	0
az_Latn	compact-short	1.0	1
az_Latn	compact-short	1.2	1,2
az_Latn	compact-short	12.0	12
az_Latn	compact-short	123.0	123
az_Latn	compact-short	1234.56	1,2K
az_Latn	compact-short	1234567.0	1,2 mln
az_Latn	compact-short	-1234.56	-1,2K
az_Latn	compact-short	1.23E-4	0,00012
az_Latn	compact-short	-0.0	-0
az_Latn	compact-long	0.0	0
az_Latn	compact-long	1.0	1
az_Latn	compact-long	1.2	1,2
az_Latn	compact-long	12.0	12
az_Latn	compact-long	123.0	123
az_Latn	compact-long	1234.56	1,2 min
az_Latn	compact-long	1234567.0	1,2 milyon
az_Latn	compact-long	-1234.56	-1,2 min
az_Latn	compact-long	1.23E-4	0,00012
az_Latn	compact-long	-0.0	-0
ba	decimal	0.0	0
ba	decimal	1.0	1
ba	decimal	1.2	1.2
ba	decimal	12.0	12
ba	decimal	123.0	123
ba	decimal	1234.56	1 234.56
ba	decimal	1234567.0	1 234 567
ba	decimal	-1234.56	-1 234.56
ba	decimal	1.23E-4	0.000123
ba	decimal	-0.0	-0
ba	percent	0.0	0%
ba	percent	1.0	100%
ba	percent	1.2	120%
ba	percent	12.0	1 200%
ba	percent	123.0	12 300%
ba	percent	1234.56	123 456%
ba	percent	1234567.0	123 456 700%
ba	percent	-1234.56	-123 456%
ba	percent	1.23E-4	0.0123%
ba	percent	-0.0	-0%
ba	scientific	0.0	0E0
ba	scientific	1.0	1E0
ba	scientific	1.2	1.2E0
ba	scientific	12.0	1.2E1
ba	scientific	123.0	1.23E2
ba	scientific	1234.56	1.23456E3
ba	scientific	1234567.0	1.234567E6
ba	scientific	-1234.56	-1.23456E3
ba	scientific	1.23E-4	1.23E-4
ba	scientific	-0.0	-0E0
ba	compact-short	0.0	0
ba	compact-short	1.0	1
ba	compact-short	1.2	1.2
ba	compact-short	12.0	12
ba	compact-short	123.0	123
ba	compact-short	1234.56	1.2 мең
ba	compact-short	1234567.0	1.2 млн
ba	compact-short	-1234.56	-1.2 мең
ba	compact-short	1.23E-4	0.00012
ba	compact-short	-0.0	-0
ba	compact-long	0.0	0
ba	compact-long	1.0	1
ba	compact-long	1.2	1.2
ba	compact-long	12.0	12
ba	compact-long	123.0	123
ba	compact-long	1234.56	1.2 мең
ba	compact-long	1234567.0	1.2 миллион
ba	compact-long	-1234.56	-1.2 мең
ba	compact-long	1.23E-4	0.00012
ba	compact-long	-0.0	-0
be	decimal	0.0	0
be	decimal	1.0	1
be	decimal	1.2	1,2
be	decimal	12.0	12
be	decimal	123.0	123
be	decimal	1234.56	1234,56
be	decimal	1234567.0	1 234 567
be	decimal	-1234.56	-1234,56
be	decimal	1.23E-4	0,000123
be	decimal	-0.0	-0
be	percent	0.0	0 %
be	percent	1.0	100 %
be	percent	1.2	120 %
be	percent	12.0	1200 %
be	percent	123.0	12 300 %
be	percent	1234.56	123 456 %
be	percent	1234567.0	123 456 700 %
be	percent	-1234.56	-123 456 %
be	percent	1.23E-4	0,0123 %
be	percent	-0.0	-0 %
be	scientific	0.0	0E0
be	scientific	1.0	1E0
be	scientific	1.2	1,2E0
be	scientific	12.0	1,2E1
be	scientific	123.0	1,23E2
be	scientific	1234.56	1,23456E3
be	scientific	1234567.0	1,234567E6
be	scientific	-1234.56	-1,23456E3
be	scientific	1.23E-4	1,23E-4
be	scientific	-0.0	-0E0
be	compact-short	0.0	0
be	compact-short	1.0	1
be	compact-short	1.2	1,2
be	compact-short	12.0	12
be	compact-short	123.0	123
be	compact-short	1234.56	1,2 тыс.
be	compact-short	1234567.0	1,2 млн
be	compact-short	-1234.56	-1,2 тыс.
be	compact-short	1.23E-4	0,00012
be	compact-short	-0.0	-0
be	compact-long	0.0	0
be	compact-long	1.0	1
be	compact-long	1.2	1,2
be	compact-long	12.0	12
be	compact-long	123.0	123
be	compact-long	1234.56	1,2 тысячы
be	compact-long	1234567.0	1,2 мільёна
be	compact-long	-1234.56	-1,2 тысячы
be	compact-long	1.23E-4	0,00012
be	compact-long	-0.0	-0
bg	decimal	0.0	0
bg	decimal	1.0	1
bg	decimal	1.2	1,2
bg	decimal	12.0	12
bg	decimal	123.0	123
bg	decimal	1234.56	1234,56
bg	decimal	1234567.0	1 234 567
bg	decimal	-1234.56	-1234,56
bg	decimal	1.23E-4	0,000123
bg	decimal	-0.0	-0
bg	percent	0.0	0%
bg	percent	1.0	100%
bg	percent	1.2	120%
bg	percent	12.0	1200%
bg	percent	123.0	12 300%
bg	percent	1234.56	123 456%
bg	percent	1234567.0	123 456 700%
bg	percent	-1234.56	-123 456%
bg	percent	1.23E-4	0,0123%
bg	percent	-0.0	-0%
bg	scientific	0.0	0E0
bg	scientific	1.0	1E0
bg	scientific	1.2	1,2E0
bg	scientific	12.0	1,2E1
bg	scientific	123.0	1,23E2
bg	scientific	1234.56	1,23456E3
bg	scientific	1234567.0	1,234567E6
bg	scientific	-1234.56	-1,23456E3
bg	scientific	1.23E-4	1,23E-4
bg	scientific	-0.0	-0E0
bg	compact-short	0.0	0
bg	compact-short	1.0	1
bg	compact-short	1.2	1,2
bg	compact-short	12.0	12
bg	compact-short	123.0	123
bg	compact-short	1234.56	1,2 хил.
bg	compact-short	1234567.0	1,2 млн.
bg	compact-short	-1234.56	-1,2 хил.
bg	compact-short	1.23E-4	0,00012
bg	compact-short	-0.0	-0
bg	compact-long	0.0	0
bg	compact-long	1.0	1
bg	compact-long	1.2	1,2
bg	compact-long	12.0	12
bg	compact-long	123.0	123
bg	compact-long	1234.56	1,2 хиляди
bg	compact-long	1234567.0	1,2 милиона
bg	compact-long	-1234.56	-1,2 хиляди
bg	compact-long	1.23E-4	0,00012
bg	compact-long	-0.0	-0
bs	decimal	0.0	0
bs	decimal	1.0	1
bs	decimal	1.2	1,2
bs	decimal	12.0	12
bs	decimal	123.0	123
bs	decimal	1234.56	1.234,56
bs	decimal	1234567.0	1.234.567
bs	decimal	-1234.56	-1.234,56
bs	decimal	1.23E-4	0,000123
bs	decimal	-0.0	-0
bs	percent	0.0	0%
bs	percent	1.0	100%
bs	percent	1.2	120%
bs	percent	12.0	1.200%
bs	percent	123.0	12.300%
bs	percent	1234.56	123.456%
bs	percent	1234567.0	123.456.700%
bs	percent	-1234.56	-123.456%
bs	percent	1.23E-4	0,0123%
bs	percent	-0.0	-0%
bs	scientific	0.0	0E0
bs	scientific	1.0	1E0
bs	scientific	1.2	1,2E0
bs	scientific	12.0	1,2E1
bs	scientific	123.0	1,23E2
bs	scientific	1234.56	1,23456E3
bs	scientific	1234567.0	1,234567E6
bs	scientific	-1234.56	-1,23456E3
bs	scientific	1.23E-4	1,23E-4
bs	scientific	-0.0	-0E0
bs	compact-short	0.0	0
bs	compact-short	1.0	1
bs	compact-short	1.2	1,2
bs	compact-short	12.0	12
bs	compact-short	123.0	123
bs	compact-short	1234.56	1,2 hilj.
bs	compact-short	1234567.0	1,2 mil.
bs	compact-short	-1234.56	-1,2 hilj.
bs	compact-short	1.23E-4	0,00012
bs	compact-short	-0.0	-0
bs	compact-long	0.0	0
bs	compact-long	1.0	1
bs	compact-long	1.2	1,2
bs	compact-long	12.0	12
bs	compact-long	123.0	123
bs	compact-long	1234.56	1,2 hiljade
bs	compact-long	1234567.0	1,2 miliona
bs	compact-long	-1234.56	-1,2 hiljade
bs	compact-long	1.23E-4	0,00012
bs	compact-long	-0.0	-0
bs_Latn	decimal	0.0	0
bs_Latn	decimal	1.0	1
bs_Latn	decimal	1.2	1,2
bs_Latn	decimal	12.0	12
bs_Latn	decimal	123.0	123
bs_Latn	decimal	1234.56	1.234,56
bs_Latn	decimal	1234567.0	1.234.567
bs_Latn	decimal	-1234.56	-1.234,56
bs_Latn	decimal	1.23E-4	0,000123
bs_Latn	decimal	-0.0	-0
bs_Latn	percent	0.0	0%
bs_Latn	percent	1.0	100%
bs_Latn	percent	1.2	120%
bs_Latn	percent	12.0	1.200%
bs_Latn	percent	123.0	12.300%
bs_Latn	percent	1234.56	123.456%
bs_Latn	percent	1234567.0	123.456.700%
bs_Latn	percent	-1234.56	-123.456%
bs_Latn	percent	1.23E-4	0,0123%
bs_Latn	percent	-0.0	-0%
bs_Latn	scientific	0.0	0E0
bs_Latn	scientific	1.0	1E0
bs_Latn	scientific	1.2	1,2E0
bs_Latn	scientific	12.0	1,2E1
bs_Latn	scientific	123.0	1,23E2
bs_Latn	scientific	1234.56	1,23456E3
bs_Latn	scientific	1234567.0	1,234567E6
bs_Latn	scientific	-1234.56	-1,23456E3
bs_Latn	scientific	1.23E-4	1,23E-4
bs_Latn	scientific	-0.0	-0E0
bs_Latn	compact-short	0.0	0
bs_Latn	compact-short	1.0	1
bs_Latn	compact-short	1.2	1,2
bs_Latn	compact-short	12.0	12
bs_Latn	compact-short	123.0	123
bs_Latn	compact-short	1234.56	1,2 hilj.
bs_Latn	compact-short	1234567.0	1,2 mil.
bs_Latn	compact-short	-1234.56	-1,2 hilj.
bs_Latn	compact-short	1.23E-4	0,00012
bs_Latn	compact-short	-0.0	-0
bs_Latn	compact-long	0.0	0
bs_Latn	compact-long	1.0	1
bs_Latn	compact-long	1.2	1,2
bs_Latn	compact-long	12.0	12
bs_Latn	compact-long	123.0	123
bs_Latn	compact-long	1234.56	1,2 hiljade
bs_Latn	compact-long	1234567.0	1,2 miliona
bs_Latn	compact-long	-1234.56	-1,2 hiljade
bs_Latn	compact-long	1.23E-4	0,00012
bs_Latn	compact-long	-0.0	-0
ca	decimal	0.0	0
ca	decimal	1.0	1
ca	decimal	1.2	1,2
ca	decimal	12.0	12
ca	decimal	123.0	123
ca	decimal	1234.56	1.234,56
ca	decimal	1234567.0	1.234.567
ca	decimal	-1234.56	-1.234,56
ca	decimal	1.23E-4	0,000123
ca	decimal	-0.0	-0
ca	percent	0.0	0 %
ca	percent	1.0	100 %
ca	percent	1.2	120 %
ca	percent	12.0	1.200 %
ca	percent	123.0	12.300 %
ca	percent	1234.56	123.456 %
ca	percent	1234567.0	123.456.700 %
ca	percent	-1234.56	-123.456 %
ca	percent	1.23E-4	0,0123 %
ca	percent	-0.0	-0 %
ca	scientific	0.0	0E0
ca	scientific	1.0	1E0
ca	scientific	1.2	1,2E0
ca	scientific	12.0	1,2E1
ca	scientific	123.0	1,23E2
ca	scientific	1234.56	1,23456E3
ca	scientific	1234567.0	1,234567E6
ca	scientific	-1234.56	-1,23456E3
ca	scientific	1.23E-4	1,23E-4
ca	scientific	-0.0	-0E0
ca	compact-short	0.0	0
ca	compact-short	1.0	1
ca	compact-short	1.2	1,2
ca	compact-short	12.0	12
ca	compact-short	123.0	123
ca	compact-short	1234.56	1,2 k
ca	compact-short	1234567.0	1,2 M
ca	compact-short	-1234.56	-1,2 k
ca	compact-short	1.23E-4	0,00012
ca	compact-short	-0.0	-0
ca	compact-long	0.0	0
ca	compact-long	1.0	1
ca	compact-long	1.2	1,2
ca	compact-long	12.0	12
ca	compact-long	123.0	123
ca	compact-long	1234.56	1,2 milers
ca	compact-long	1234567.0	1,2 milions
ca	compact-long	-1234.56	-1,2 milers
ca	compact-long	1.23E-4	0,00012
ca	compact-long	-0.0	-0
chr	decimal	0.0	0
chr	decimal	1.0	1
chr	decimal	1.2	1.2
chr	decimal	12.0	12
chr	decimal	123.0	123
chr	decimal	1234.56	1,234.56
chr	decimal	1234567.0	1,234,567
chr	decimal	-1234.56	-1,234.56
chr	decimal	1.23E-4	0.000123
chr	decimal	-0.0	-0
chr	percent	0.0	0%
chr	percent	1.0	100%
chr	percent	1.2	120%
chr	percent	12.0	1,200%
chr	percent	123.0	12,300%
chr	percent	1234.56	123,456%
chr	percent	1234567.0	123,456,700%
chr	percent	-1234.56	-123,456%
chr	percent	1.23E-4	0.0123%
chr	percent	-0.0	-0%
chr	scientific	0.0	0E0
chr	scientific	1.0	1E0
chr	scientific	1.2	1.2E0
chr	scientific	12.0	1.2E1
chr	scientific	123.0	1.23E2
chr	scientific	1234.56	1.23456E3
chr	scientific	1234567.0	1.234567E6
chr	scientific	-1234.56	-1.23456E3
chr	scientific	1.23E-4	1.23E-4
chr	scientific	-0.0	-0E0
chr	compact-short	0.0	0
chr	compact-short	1.0	1
chr	compact-short	1.2	1.2
chr	compact-short	12.0	12
chr	compact-short	123.0	123
chr	compact-short	1234.56	1.2K
chr	compact-short	1234567.0	1.2M
chr	compact-short	-1234.56	-1.2K
chr	compact-short	1.23E-4	0.00012
chr	compact-short	-0.0	-0
chr	compact-long	0.0	0
chr	compact-long	1.0	1
chr	compact-long	1.2	1.2
chr	compact-long	12.0	12
chr	compact-long	123.0	123
chr	compact-long	1234.56	1.2 ᎢᏯᎦᏴᎵ
chr	compact-long	1234567.0	1.2 ᎢᏳᏆᏗᏅᏛ
chr	compact-long	-1234.56	-1.2 ᎢᏯᎦᏴᎵ
chr	compact-long	1.23E-4	0.00012
chr	compact-long	-0.0	-0
cs	decimal	0.0	0
cs	decimal	1.0	1
cs	decimal	1.2	1,2
cs	decimal	12.0	12
cs	decimal	123.0	123
cs	decimal	1234.56	1 234,56
cs	decimal	1234567.0	1 234 567
cs	decimal	-1234.56	-1 234,56
cs	decimal	1.23E-4	0,000123
cs	decimal	-0.0	-0
cs	percent	0.0	0 %
cs	percent	1.0	100 %
cs	percent	1.2	120 %
cs	percent	12.0	1 200 %
cs	percent	123.0	12 300 %
cs	percent	1234.56	123 456 %
cs	percent	1234567.0	123 456 700 %
cs	percent	-1234.56	-123 456 %
cs	percent	1.23E-4	0,0123 %
cs	percent	-0.0	-0 %
cs	scientific	0.0	0E0
cs	scientific	1.0	1E0
cs	scientific	1.2	1,2E0
cs	scientific	12.0	1,2E1
cs	scientific	123.0	1,23E2
cs	scientific	1234.56	1,23456E3
cs	scientific	1234567.0	1,234567E6
cs	scientific	-1234.56	-1,23456E3
cs	scientific	1.23E-4	1,23E-4
cs	scientific	-0.0	-0E0
cs	compact-short	0.0	0
cs	compact-short	1.0	1
cs	compact-short	1.2	1,2
cs	compact-short	12.0	12
cs	compact-short	123.0	123
cs	compact-short	1234.56	1,2 tis.
cs	compact-short	1234567.0	1,2 mil.
cs	compact-short	-1234.56	-1,2 tis.
cs	compact-short	1.23E-4	0,00012
cs	compact-short	-0.0	-0
cs	compact-long	0.0	0
cs	compact-long	1.0	1
cs	compact-long	1.2	1,2
cs	compact-long	12.0	12
cs	compact-long	123.0	123
cs	compact-long	1234.56	1,2 tisíce
cs	compact-long	1234567.0	1,2 milionu
cs	compact-long	-1234.56	-1,2 tisíce
cs	compact-long	1.23E-4	0,00012
cs	compact-long	-0.0	-0
cv	decimal	0.0	0
cv	decimal	1.0	1
cv	decimal	1.2	1,2
cv	decimal	12.0	12
cv	decimal	123.0	123
cv	decimal	1234.56	1 234,56
cv	decimal	1234567.0	1 234 567
cv	decimal	-1234.56	-1 234,56
cv	decimal	1.23E-4	0,000123
cv	decimal	-0.0	-0
cv	percent	0.0	0 %
cv	percent	1.0	100 %
cv	percent	1.2	120 %
cv	percent	12.0	1 200 %
cv	percent	123.0	12 300 %
cv	percent	1234.56	123 456 %
cv	percent	1234567.0	123 456 700 %
cv	percent	-1234.56	-123 456 %
cv	percent	1.23E-4	0,0123 %
cv	percent	-0.0	-0 %
cv	scientific	0.0	0E0
cv	scientific	1.0	1E0
cv	scientific	1.2	1,2E0
cv	scientific	12.0	1,2E1
cv	scientific	123.0	1,23E2
cv	scientific	1234.56	1,23456E3
cv	scientific	1234567.0	1,234567E6
cv	scientific	-1234.56	-1,23456E3
cv	scientific	1.23E-4	1,23E-4
cv	scientific	-0.0	-0E0
cv	compact-short	0.0	0
cv	compact-short	1.0	1
cv	compact-short	1.2	1,2
cv	compact-short	12.0	12
cv	compact-short	123.0	123
cv	compact-short	1234.56	1,2 пин
cv	compact-short	1234567.0	1,2 млн
cv	compact-short	-1234.56	-1,2 пин
cv	compact-short	1.23E-4	0,00012
cv	compact-short	-0.0	-0
cv	compact-long	0.0	0
cv	compact-long	1.0	1
cv	compact-long	1.2	1,2
cv	compact-long	12.0	12
cv	compact-long	123.0	123
cv	compact-long	1234.56	1,2 пин
cv	compact-long	1234567.0	1,2 млн
cv	compact-long	-1234.56	-1,2 пин
cv	compact-long	1.23E-4	0,00012
cv	compact-long	-0.0	-0
cy	decimal	0.0	0
cy	decimal	1.0	1
cy	decimal	1.2	1.2
cy	decimal	12.0	12
cy	decimal	123.0	123
cy	decimal	1234.56	1,234.56
cy	decimal	1234567.0	1,234,567
cy	decimal	-1234.56	-1,234.56
cy	decimal	1.23E-4	0.000123
cy	decimal	-0.0	-0
cy	percent	0.0	0%
cy	percent	1.0	100%
cy	percent	1.2	120%
cy	percent	12.0	1,200%
cy	percent	123.0	12,300%
cy	percent	1234.56	123,456%
cy	percent	1234567.0	123,456,700%
cy	percent	-1234.56	-123,456%
cy	percent	1.23E-4	0.0123%
cy	percent	-0.0	-0%
cy	scientific	0.0	0E0
cy	scientific	1.0	1E0
cy	scientific	1.2	1.2E0
cy	scientific	12.0	1.2E1
cy	scientific	123.0	1.23E2
cy	scientific	1234.56	1.23456E3
cy	scientific	1234567.0	1.234567E6
cy	scientific	-1234.56	-1.23456E3
cy	scientific	1.23E-4	1.23E-4
cy	scientific	-0.0	-0E0
cy	compact-short	0.0	0
cy	compact-short	1.0	1
cy	compact-short	1.2	1.2
cy	compact-short	12.0	12
cy	compact-short	123.0	123
cy	compact-short	1234.56	1.2K
cy	compact-short	1234567.0	1.2M
cy	compact-short	-1234.56	-1.2K
cy	compact-short	1.23E-4	0.00012
cy	compact-short	-0.0	-0
cy	compact-long	0.0	0
cy	compact-long	1.0	1
cy	compact-long	1.2	1.2
cy	compact-long	12.0	12
cy	compact-long	123.0	123
cy	compact-long	1234.56	1.2 mil
cy	compact-long	1234567.0	1.2 miliwn
cy	compact-long	-1234.56	-1.2 mil
cy	compact-long	1.23E-4	0.00012
cy	compact-long	-0.0	-0
da	decimal	0.0	0
da	decimal	1.0	1
da	decimal	1.2	1,2
da	decimal	12.0	12
da	decimal	123.0	123
da	decimal	1234.56	1.234,56
da	decimal	1234567.0	1.234.567
da	decimal	-1234.56	-1.234,56
da	decimal	1.23E-4	0,000123
da	decimal	-0.0	-0
da	percent	0.0	0 %
da	percent	1.0	100 %
da	percent	1.2	120 %
da	percent	12.0	1.200 %
da	percent	123.0	12.300 %
da	percent	1234.56	123.456 %
da	percent	1234567.0	123.456.700 %
