locale	number_format	format_length	input	expected
bn	decimal	long	-1230.05	-১.২ হাজার
de	decimal		0.0	0
de	decimal		1.2	1,2
de	decimal		0.00831765	0,008318
de	decimal		1234565.0	1.234.565
de	decimal		-1230.05	-1.230,05
de	percent		0.0	0 %
de	percent		1.2	120 %
de	percent		0.00831765	0,831765 %
de	percent		1234565.0	123.456.500 %
de	percent		-1230.05	-123.005 %
de	scientific		0.0	0E0
de	scientific		1.2	1,2E0
de	scientific		0.00831765	8,31765E-3
de	scientific		1234565.0	1,234565E6
de	scientific		-1230.05	-1,23005E3
de	decimal	short	0.0	0
de	decimal	short	1.2	1,2
de	decimal	short	0.00831765	0,0083
de	decimal	short	1234565.0	1,2 Mio.
de	decimal	short	-1230.05	-1230
de	decimal	long	0.0	0
de	decimal	long	1.2	1,2
de	decimal	long	0.00831765	0,0083
de	decimal	long	1234565.0	1,2 Millionen
de	decimal	long	-1230.05	-1,2 Tausend
de_CH	decimal		0.0	0
de_CH	decimal		1.2	1.2
de_CH	decimal		0.00831765	0.008318
de_CH	decimal		1234565.0	1'234'565
de_CH	decimal		-1230.05	-1'230.05
de_CH	percent		0.0	0%
de_CH	percent		1.2	120%
de_CH	percent		0.00831765	0.831765%
de_CH	percent		1234565.0	123'456'500%
de_CH	percent		-1230.05	-123'005%
de_CH	scientific		0.0	0E0
de_CH	scientific		1.2	1.2E0
de_CH	scientific		0.00831765	8.31765E-3
de_CH	scientific		1234565.0	1.234565E6
de_CH	scientific		-1230.05	-1.23005E3
de_CH	decimal	short	0.0	0
de_CH	decimal	short	1.2	1.2
de_CH	decimal	short	0.00831765	0.0083
de_CH	decimal	short	1234565.0	1.2 Mio.
de_CH	decimal	short	-1230.05	-1230
de_CH	decimal	long	0.0	0
de_CH	decimal	long	1.2	1.2
de_CH	decimal	long	0.00831765	0.0083
de_CH	decimal	long	1234565.0	1.2 Millionen
de_CH	decimal	long	-1230.05	-1.2 Tausend
en_US	decimal		0.0	0
en_US	decimal		1.2	1.2
en_US	decimal		0.00831765	0.008318
en_US	decimal		1234565.0	1,234,565
en_US	decimal		-1230.05	-1,230.05
en_US	percent		0.0	0%
en_US	percent		1.2	120%
en_US	percent		0.00831765	0.831765%
en_US	percent		1234565.0	123,456,500%
en_US	percent		-1230.05	-123,005%
en_US	scientific		0.0	0E0
en_US	scientific		1.2	1.2E0
en_US	scientific		0.00831765	8.31765E-3
en_US	scientific		1234565.0	1.234565E6
en_US	scientific		-1230.05	-1.23005E3
en_US	decimal	short	0.0	0
en_US	decimal	short	1.2	1.2
en_US	decimal	short	0.00831765	0.0083
en_US	decimal	short	1234565.0	1.2M
en_US	decimal	short	-1230.05	-1.2K
en_US	decimal	long	0.0	0
en_US	decimal	long	1.2	1.2
en_US	decimal	long	0.00831765	0.0083
en_US	decimal	long	1234565.0	1.2 million
en_US	decimal	long	-1230.05	-1.2 thousand
ja	decimal		0.0	0
ja	decimal		1.2	1.2
ja	decimal		0.00831765	0.008318
ja	decimal		1234565.0	1,234,565
ja	decimal		-1230.05	-1,230.05
ja	percent		0.0	0%
ja	percent		1.2	120%
ja	percent		0.00831765	0.831765%
ja	percent		1234565.0	123,456,500%
ja	percent		-1230.05	-123,005%
ja	scientific		0.0	0E0
ja	scientific		1.2	1.2E0
ja	scientific		0.00831765	8.31765E-3
ja	scientific		1234565.0	1.234565E6
ja	scientific		-1230.05	-1.23005E3
ja	decimal	short	0.0	0
ja	decimal	short	1.2	1.2
ja	decimal	short	0.00831765	0.0083
ja	decimal	short	1234565.0	123万
ja	decimal	short	-1230.05	-1230
ja	decimal	long	0.0	0
ja	decimal	long	1.2	1.2
ja	decimal	long	0.00831765	0.0083
ja	decimal	long	1234565.0	123万
ja	decimal	long	-1230.05	-1230
pt_PT	decimal		0.0	0
pt_PT	decimal		1.2	1,2
pt_PT	decimal		0.00831765	0,008318
pt_PT	decimal		1234565.0	1 234 565
pt_PT	decimal		-1230.05	-1230,05
pt_PT	percent		0.0	0%
pt_PT	percent		1.2	120%
pt_PT	percent		0.00831765	0,831765%
pt_PT	percent		1234565.0	123 456 500%
pt_PT	percent		-1230.05	-123 005%
pt_PT	scientific		0.0	0E0
pt_PT	scientific		1.2	1,2E0
pt_PT	scientific		0.00831765	8,31765E-3
pt_PT	scientific		1234565.0	1,234565E6
pt_PT	scientific		-1230.05	-1,23005E3
pt_PT	decimal	short	0.0	0
pt_PT	decimal	short	1.2	1,2
pt_PT	decimal	short	0.00831765	0,0083
pt_PT	decimal	short	1234565.0	1,2 M
pt_PT	decimal	short	-1230.05	-1,2 mil
pt_PT	decimal	long	0.0	0
pt_PT	decimal	long	1.2	1,2
pt_PT	decimal	long	0.00831765	0,0083
pt_PT	decimal	long	1234565.0	1,2 milhões
pt_PT	decimal	long	-1230.05	-1,2 mil
ru	decimal		0.0	0
ru	decimal		1.2	1,2
ru	decimal		0.00831765	0,008318
ru	decimal		1234565.0	1 234 565
ru	decimal		-1230.05	-1 230,05
ru	percent		0.0	0 %
ru	percent		1.2	120 %
ru	percent		0.00831765	0,831765 %
ru	percent		1234565.0	123 456 500 %
ru	percent		-1230.05	-123 005 %
ru	scientific		0.0	0E0
ru	scientific		1.2	1,2E0
ru	scientific		0.00831765	8,31765E-3
ru	scientific		1234565.0	1,234565E6
ru	scientific		-1230.05	-1,23005E3
ru	decimal	short	0.0	0
ru	decimal	short	1.2	1,2
ru	decimal	short	0.00831765	0,0083
ru	decimal	short	1234565.0	1,2 млн
ru	decimal	short	-1230.05	-1,2 тыс.
ru	decimal	long	0.0	0
ru	decimal	long	1.2	1,2
ru	decimal	long	0.00831765	0,0083
ru	decimal	long	1234565.0	1,2 миллиона
ru	decimal	long	-1230.05	-1,2 тысячи
