# Producing single letter transliterations, some with lengtheners
ạ	𞤢𞥈
Ɛɛ	𞤉𞥊𞥅
ɛɛ	𞤫𞥊𞥅
ɛ	𞤫𞥊
ɔɔ	𞤮𞥊𞥅
ɔ	𞤮𞥊
0	𞥐
1	𞥑
2	𞥒
3	𞥓
4	𞥔
5	𞥕
6	𞥖
7	𞥗
8	𞥘
9	𞥙
¿	𞥟
?	؟
¡	𞥞

# Days of the week and months of the year
Altine	𞤀𞤤𞤼𞤭𞤲𞤫
Salasa	𞤅𞤢𞤤𞤢𞤧𞤢
Alarba	𞤀𞤤𞤢𞤪𞤦𞤢
Alamise	𞤀𞤤𞤢𞤥𞤭𞤧𞤫
Jumɓare	𞤔𞤵𞤥𞤩𞤢𞤪𞤫
Asawe	𞤀𞤧𞤢𞤱𞤫
Alat	𞤀𞤤𞤢𞤼
Zaanviye	𞤟𞤢𞥄𞤲𞤾𞤭𞤴𞤫
Feviiriye	𞤊𞤫𞤾𞤭𞥅𞤪𞤭𞤴𞤫
Maars	𞤃𞤢𞥄𞤪𞤧
Avirilaku	𞤀𞤾𞤭𞤪𞤭𞤤𞤢𞤳𞤵
Footi	𞤊𞤮𞥅𞤼𞤭
Zweng	𞤟𞤱𞤫𞤲𞥋𞤺
Zwiye	𞤟𞤱𞤭𞤴𞤫
Ut	𞤓𞤼
Septamber	𞤅𞤫𞤨𞤼𞤢𞤲𞥋𞤦𞤫𞤪
Oktober	𞤌𞤳𞤼𞤮𞤦𞤫𞤪
Novamber	𞤐𞤮𞤾𞤢𞤲𞥋𞤦𞤫𞤪
Desamber	𞤁𞤫𞤧𞤢𞤲𞥋𞤦𞤫𞤪
# Some continents
Afrik	𞤀𞤬𞤪𞤭𞤳
Asii	𞤀𞤧𞤭𞥅
Orop	𞤌𞤪𞤮𞤨
Ostarali	𞤌𞤧𞤼𞤢𞤪𞤢𞤤𞤭
Antartik	𞤀𞤲𞤼𞤢𞤪𞤼𞤭𞤳
Amerik Fuɗnaange	𞤀𞤥𞤫𞤪𞤭𞤳 𞤊𞤵𞤯𞤲𞤢𞥄𞤲𞤺𞤫
Amerik Worgo	𞤀𞤥𞤫𞤪𞤭𞤳 𞤏𞤮𞤪𞤺𞤮
# Transport
oto	𞤮𞤼𞤮
baskur	𞤦𞤢𞤧𞤳𞤵𞤪
kamiyong	𞤳𞤢𞤥𞤭𞤴𞤮𞤲𞥋𞤺
Taksi	𞤚𞤢𞤳𞤧𞤭
jirki	𞤶𞤭𞤪𞤳𞤭
laana ndiwoowa	𞤤𞤢𞥄𞤲𞤢 𞤲𞤣𞤭𞤱𞤮𞥅𞤱𞤢
elikopteer	𞤫𞤤𞤭𞤳𞤮𞤨𞤼𞤫𞥅𞤪
neldugo	𞤲𞤫𞤤𞤣𞤵𞤺𞤮
kombeewal	𞤳𞤮𞤲𞥋𞤦𞤫𞥅𞤱𞤢𞤤
laana ndiwoowa	𞤤𞤢𞥄𞤲𞤢 𞤲𞤣𞤭𞤱𞤮𞥅𞤱𞤢
# Languages and terms about people and writing
Pulaar	𞤆𞤵𞤤𞤢𞥄𞤪
Yimɓe Fulɓe	𞤒𞤭𞤥𞤩𞤫 𞤊𞤵𞤤𞤩𞤫
Binndol Adlam	𞤄𞤭𞤲𞤣𞤮𞤤 𞤀𞤣𞤤𞤢𞤥
Binndi Arab	𞤄𞤭𞤲𞤣𞤭 𞤀𞤪𞤢𞤦
Binndol latin	𞤄𞤭𞤲𞤣𞤮𞤤 𞤤𞤢𞤼𞤭𞤲
Inglisia	𞤋𞤲𞥋𞤺𞤤𞤭𞤧𞤭𞤢
Farayse	𞤊𞤢𞤪𞤢𞤴𞤧𞤫
Arab	𞤀𞤪𞤢𞤦
Hawsa	𞤖𞤢𞤱𞤧𞤢
Espanis	𞤉𞤧𞤨𞤢𞤲𞤭𞤧
Ɗemngal Mende	𞤍𞤫𞤥𞤲𞤺𞤢𞤤 𞤃𞤫𞤲𞥋𞤣𞤫
Sinuwaa en	𞤅𞤭𞤲𞤵𞤱𞤢𞥄 𞤫𞤲
Hindi	𞤖𞤭𞤲𞥋𞤣𞤭
Suwahili	𞤅𞤵𞤱𞤢𞤸𞤭𞤤𞤭
# Geographic features
Geec Atlantik	𞤘𞤫𞥅𞤷 𞤀𞤼𞤤𞤢𞤲𞤼𞤭𞤳
Geec Indiya	𞤘𞤫𞥅𞤷 𞤋𞤲𞥋𞤣𞤭𞤴𞤢
Geec Arktik	𞤘𞤫𞥅𞤷 𞤀𞤪𞤳𞤼𞤭𞤳
Geec Pasifik	𞤘𞤫𞥅𞤷 𞤆𞤢𞤧𞤭𞤬𞤭𞤳
Lake Caad	𞤂𞤢𞤳𞤫 𞤕𞤢𞥄𞤣
Maayo Konngo	𞤃𞤢𞥄𞤴𞤮 𞤑𞤮𞤲𞤺𞤮
Maayo Amazonie	𞤃𞤢𞥄𞤴𞤮 𞤀𞤥𞤢𞥁𞤮𞤲𞤭𞤫
Jeereende Saharaa	𞤔𞤫𞥅𞤪𞤫𞥅𞤲𞤣𞤫 𞤅𞤢𞤸𞤢𞤪𞤢𞥄
Maayo Niil	𞤃𞤢𞥄𞤴𞤮 𞤐𞤭𞥅𞤤
# Some cities
Konakri	𞤑𞤮𞤲𞤢𞤳𞤪𞤭
Kayhayɗi	𞤑𞤢𞤴𞤸𞤢𞤴𞤯𞤭
Nayroobi	𞤐𞤢𞤴𞤪𞤮𞥅𞤦𞤭
Deli	𞤁𞤫𞤤𞤭
Pari	𞤆𞤢𞤪𞤭
Londres	𞤂𞤮𞤲𞥋𞤣𞤪𞤫𞤧
Pekin	𞤆𞤫𞤳𞤭𞤲
Tokiyoo	𞤚𞤮𞤳𞤭𞤴𞤮𞥅
Buwenos Ayres	𞤄𞤵𞤱𞤫𞤲𞤮𞤧 𞤀𞤴𞤪𞤫𞤧
Sidney                             	𞤅𞤭𞤣𞤲𞤫𞤴                             
# Regions of the world
Afganistaan	𞤀𞤬𞤺𞤢𞤲𞤭𞤧𞤼𞤢𞥄𞤲
Albaani	𞤀𞤤𞤦𞤢𞥄𞤲𞤭
Alseri	𞤀𞤤𞤧𞤫𞤪𞤭
Samoa Ameriknaajo	𞤅𞤢𞤥𞤮𞤢 𞤀𞤥𞤫𞤪𞤭𞤳𞤲𞤢𞥄𞤶𞤮
Andoraaji	𞤀𞤲𞥋𞤣𞤮𞤪𞤢𞥄𞤶𞤭
Angalteer	𞤀𞤲𞥋𞤺𞤢𞤤𞤼𞤫𞥅𞤪
Antigu e Barbuda	𞤀𞤲𞤼𞤭𞤺𞤵 𞤫 𞤄𞤢𞤪𞤦𞤵𞤣𞤢
Arjantiin	𞤀𞤪𞤶𞤢𞤲𞤼𞤭𞥅𞤲
Leydi Armeni	𞤂𞤫𞤴𞤣𞤭 𞤀𞤪𞤥𞤫𞤲𞤭
Leydi Aruba	𞤂𞤫𞤴𞤣𞤭 𞤀𞤪𞤵𞤦𞤢
Ostarali	𞤌𞤧𞤼𞤢𞤪𞤢𞤤𞤭
Otiris	𞤌𞤼𞤭𞤪𞤭𞤧
Azerbaijaan	𞤀𞥁𞤫𞤪𞤦𞤢𞤭𞤶𞤢𞥄𞤲
Leydi Bahamas	𞤂𞤫𞤴𞤣𞤭 𞤄𞤢𞤸𞤢𞤥𞤢𞤧
Bahreyn	𞤄𞤢𞤸𞤪𞤫𞤴𞤲
Banngalteer	𞤄𞤢𞤲𞤺𞤢𞤤𞤼𞤫𞥅𞤪
Barbados	𞤄𞤢𞤪𞤦𞤢𞤣𞤮𞤧
Bielorussi	𞤄𞤭𞤫𞤤𞤮𞤪𞤵𞤧𞥆𞤭
Belsik	𞤄𞤫𞤤𞤧𞤭𞤳
Beliis	𞤄𞤫𞤤𞤭𞥅𞤧
Beneŋ	𞤄𞤫𞤲𞤫𞤽
Bermuda	𞤄𞤫𞤪𞤥𞤵𞤣𞤢
Butaan	𞤄𞤵𞤼𞤢𞥄𞤲
Boliwi	𞤄𞤮𞤤𞤭𞤱𞤭
Bosni e Hersegovina	𞤄𞤮𞤧𞤲𞤭 𞤫 𞤖𞤫𞤪𞤧𞤫𞤺𞤮𞤾𞤭𞤲𞤢
Bostwana	𞤄𞤮𞤧𞤼𞤱𞤢𞤲𞤢
Beresiil	𞤄𞤫𞤪𞤫𞤧𞤭𞥅𞤤
Buruney	𞤄𞤵𞤪𞤵𞤲𞤫𞤴
Leydi Bulgari	𞤂𞤫𞤴𞤣𞤭 𞤄𞤵𞤤𞤺𞤢𞤪𞤭
Burkinaa	𞤄𞤵𞤪𞤳𞤭𞤲𞤢𞥄
Ko Burundi	𞤑𞤮 𞤄𞤵𞤪𞤵𞤲𞥋𞤣𞤭
Kabo Verde (Kap Verde)	𞤑𞤢𞤦𞤮 𞤜𞤫𞤪𞤣𞤫 (𞤑𞤢𞤨 𞤜𞤫𞤪𞤣𞤫)
Kammboje	𞤑𞤢𞤲𞤦𞤮𞤶𞤫
Kameruun	𞤑𞤢𞤥𞤫𞤪𞤵𞥅𞤲
Kanadaa	𞤑𞤢𞤲𞤢𞤣𞤢𞥄
Duunde Kayman	𞤁𞤵𞥅𞤲𞤣𞤫 𞤑𞤢𞤴𞤥𞤢𞤲
Ndenndaandi Afrik hakkundeejo	𞤐𞤣𞤫𞤲𞤣𞤢𞥄𞤲𞤣𞤭 𞤀𞤬𞤪𞤭𞤳 𞤸𞤢𞤳𞥆𞤵𞤲𞥋𞤣𞤫𞥅𞤶𞤮
Caad	𞤕𞤢𞥄𞤣
Siili	𞤅𞤭𞥅𞤤𞤭
Siin	𞤅𞤭𞥅𞤲
Kolommbi	𞤑𞤮𞤤𞤮𞤲𞤦𞤭
Leydi Komoor	𞤂𞤫𞤴𞤣𞤭 𞤑𞤮𞤥𞤮𞥅𞤪
Ndenndaandi Konngo Demokaraasi	𞤐𞤣𞤫𞤲𞤣𞤢𞥄𞤲𞤣𞤭 𞤑𞤮𞤲𞤺𞤮 𞤁𞤫𞤥𞤮𞤳𞤢𞤪𞤢𞥄𞤧𞤭
Ndenndaandi Konngo	𞤐𞤣𞤫𞤲𞤣𞤢𞥄𞤲𞤣𞤭 𞤑𞤮𞤲𞤺𞤮
Kosta Rika	𞤑𞤮𞤧𞤼𞤢 𞤈𞤭𞤳𞤢
Kodduwaar	𞤑𞤮𞤣𞥆𞤵𞤱𞤢𞥄𞤪
Korowasi	𞤑𞤮𞤪𞤮𞤱𞤢𞤧𞤭
Kubaa	𞤑𞤵𞤦𞤢𞥄
Kurasao	𞤑𞤵𞤪𞤢𞤧𞤢𞤮
Siprus	𞤅𞤭𞤨𞤪𞤵𞤧
Leydi Cekoslowaki	𞤂𞤫𞤴𞤣𞤭 𞤕𞤫𞤳𞤮𞤧𞤤𞤮𞤱𞤢𞤳𞤭
Danemark	𞤁𞤢𞤲𞤫𞤥𞤢𞤪𞤳
Jibuuti	𞤔𞤭𞤦𞤵𞥅𞤼𞤭
Dominik	𞤁𞤮𞤥𞤭𞤲𞤭𞤳
Leydi Dominik	𞤂𞤫𞤴𞤣𞤭 𞤁𞤮𞤥𞤭𞤲𞤭𞤳
Timor Fuɗnaange (Timor Fuɗnaange)	𞤚𞤭𞤥𞤮𞤪 𞤊𞤵𞤯𞤲𞤢𞥄𞤲𞤺𞤫 (𞤚𞤭𞤥𞤮𞤪 𞤊𞤵𞤯𞤲𞤢𞥄𞤲𞤺𞤫)
Ekuwator	𞤉𞤳𞤵𞤱𞤢𞤼𞤮𞤪
Misra	𞤃𞤭𞤧𞤪𞤢
Salvadoor	𞤅𞤢𞤤𞤾𞤢𞤣𞤮𞥅𞤪
Gine Ekuwatoor	𞤘𞤭𞤲𞤫 𞤉𞤳𞤵𞤱𞤢𞤼𞤮𞥅𞤪
Eritree	𞤉𞤪𞤭𞤼𞤪𞤫𞥅
Estoni	𞤉𞤧𞤼𞤮𞤲𞤭
Eswatini (Swaasiland)	𞤉𞤧𞤱𞤢𞤼𞤭𞤲𞤭 (𞤅𞤱𞤢𞥄𞤧𞤭𞤤𞤢𞤲𞥋𞤣)
Ecoppi	𞤉𞤷𞤮𞤨𞥆𞤭
Duundeeji Faro	𞤁𞤵𞥅𞤲𞤣𞤫𞥅𞤶𞤭 𞤊𞤢𞤪𞤮
Fiiji	𞤊𞤭𞥅𞤶𞤭
Finlande	𞤊𞤭𞤲𞤤𞤢𞤲𞥋𞤣𞤫
Farayse	𞤊𞤢𞤪𞤢𞤴𞤧𞤫
Gine Farayse	𞤘𞤭𞤲𞤫 𞤊𞤢𞤪𞤢𞤴𞤧𞤫
Polineesi Farayse	𞤆𞤮𞤤𞤭𞤲𞤫𞥅𞤧𞤭 𞤊𞤢𞤪𞤢𞤴𞤧𞤫
Gabon	𞤘𞤢𞤦𞤮𞤲
Leydi Gammbi	𞤂𞤫𞤴𞤣𞤭 𞤘𞤢𞤲𞤦𞤭
Leydi Gaza	𞤂𞤫𞤴𞤣𞤭 𞤘𞤢𞥁𞤢
Joorji	𞤔𞤮𞥅𞤪𞤶𞤭
Almaañ	𞤀𞤤𞤥𞤢𞥄𞤻
Ganaa	𞤘𞤢𞤲𞤢𞥄
Geres	𞤘𞤫𞤪𞤫𞤧
Giriinlannde	𞤘𞤭𞤪𞤭𞥅𞤲𞤤𞤢𞤲𞤣𞤫
Grenada	𞤘𞤪𞤫𞤲𞤢𞤣𞤢
Guadalupu	𞤘𞤵𞤢𞤣𞤢𞤤𞤵𞤨𞤵
Guam	𞤘𞤵𞤢𞤥
Guwatemala	𞤘𞤵𞤱𞤢𞤼𞤫𞤥𞤢𞤤𞤢
Gersi	𞤘𞤫𞤪𞤧𞤭
Gine	𞤘𞤭𞤲𞤫
Gine Bisaawo	𞤘𞤭𞤲𞤫 𞤄𞤭𞤧𞤢𞥄𞤱𞤮
Guyana	𞤘𞤵𞤴𞤢𞤲𞤢
Hayiti	𞤖𞤢𞤴𞤭𞤼𞤭
Honduras	𞤖𞤮𞤲𞥋𞤣𞤵𞤪𞤢𞤧
Hong Kong	𞤖𞤮𞤲𞥋𞤺 𞤑𞤮𞤲𞥋𞤺
Islande	𞤋𞤧𞤤𞤢𞤲𞥋𞤣𞤫
Indiya	𞤋𞤲𞥋𞤣𞤭𞤴𞤢
Indoneesi	𞤋𞤲𞥋𞤣𞤮𞤲𞤫𞥅𞤧𞤭
Iraan	𞤋𞤪𞤢𞥄𞤲
Irak	𞤋𞤪𞤢𞤳
Irlannda	𞤋𞤪𞤤𞤢𞤲𞤣𞤢
Duunde Man	𞤁𞤵𞥅𞤲𞤣𞤫 𞤃𞤢𞤲
Israayiil	𞤋𞤧𞤪𞤢𞥄𞤴𞤭𞥅𞤤
Itali	𞤋𞤼𞤢𞤤𞤭
Jamayka	𞤔𞤢𞤥𞤢𞤴𞤳𞤢
Japon	𞤔𞤢𞤨𞤮𞤲
Jersey	𞤔𞤫𞤪𞤧𞤫𞤴
Urdun	𞤓𞤪𞤣𞤵𞤲
Kasakstaan	𞤑𞤢𞤧𞤢𞤳𞤧𞤼𞤢𞥄𞤲
Keñiya	𞤑𞤫𞤻𞤭𞤴𞤢
Kiribaati	𞤑𞤭𞤪𞤭𞤦𞤢𞥄𞤼𞤭
Koree worgo	𞤑𞤮𞤪𞤫𞥅 𞤱𞤮𞤪𞤺𞤮
Koree worgo,	𞤑𞤮𞤪𞤫𞥅 𞤱𞤮𞤪𞤺𞤮,
Kosovo	𞤑𞤮𞤧𞤮𞤾𞤮
Kuwoyt	𞤑𞤵𞤱𞤮𞤴𞤼
Kirgisistaan	𞤑𞤭𞤪𞤺𞤭𞤧𞤭𞤧𞤼𞤢𞥄𞤲
Laos	𞤂𞤢𞤮𞤧
leydi Letoni	𞤤𞤫𞤴𞤣𞤭 𞤂𞤫𞤼𞤮𞤲𞤭
Leydi Liban	𞤂𞤫𞤴𞤣𞤭 𞤂𞤭𞤦𞤢𞤲
Lesoto	𞤂𞤫𞤧𞤮𞤼𞤮
Liberiyaa	𞤂𞤭𞤦𞤫𞤪𞤭𞤴𞤢𞥄
Libi	𞤂𞤭𞤦𞤭
Liktensiin	𞤂𞤭𞤳𞤼𞤫𞤲𞤧𞤭𞥅𞤲
Lituwaani	𞤂𞤭𞤼𞤵𞤱𞤢𞥄𞤲𞤭
Leydi Luksemburg	𞤂𞤫𞤴𞤣𞤭 𞤂𞤵𞤳𞤧𞤫𞤲𞥋𞤦𞤵𞤪𞤺
Makao	𞤃𞤢𞤳𞤢𞤮
Madagaskaar	𞤃𞤢𞤣𞤢𞤺𞤢𞤧𞤳𞤢𞥄𞤪
Malawi	𞤃𞤢𞤤𞤢𞤱𞤭
Malesi	𞤃𞤢𞤤𞤫𞤧𞤭
Maldiif en	𞤃𞤢𞤤𞤣𞤭𞥅𞤬 𞤫𞤲
Maali	𞤃𞤢𞥄𞤤𞤭
Malta	𞤃𞤢𞤤𞤼𞤢
Duunde Marshall	𞤁𞤵𞥅𞤲𞤣𞤫 𞤃𞤢𞤪𞥃𞤢𞤤𞥆
Martinik	𞤃𞤢𞤪𞤼𞤭𞤲𞤭𞤳
Leydi Moritani	𞤂𞤫𞤴𞤣𞤭 𞤃𞤮𞤪𞤭𞤼𞤢𞤲𞤭
Moritani	𞤃𞤮𞤪𞤭𞤼𞤢𞤲𞤭
Mayote	𞤃𞤢𞤴𞤮𞤼𞤫
Meksik	𞤃𞤫𞤳𞤧𞤭𞤳
Mikroneesi	𞤃𞤭𞤳𞤪𞤮𞤲𞤫𞥅𞤧𞤭
Moldavi	𞤃𞤮𞤤𞤣𞤢𞤾𞤭
Monako	𞤃𞤮𞤲𞤢𞤳𞤮
Mongoli	𞤃𞤮𞤲𞥋𞤺𞤮𞤤𞤭
Montenegro	𞤃𞤮𞤲𞤼𞤫𞤲𞤫𞤺𞤪𞤮
Maruk	𞤃𞤢𞤪𞤵𞤳
Mosammbik	𞤃𞤮𞤧𞤢𞤲𞤦𞤭𞤳
Miyanmaar (Birmaani)	𞤃𞤭𞤴𞤢𞤲𞤥𞤢𞥄𞤪 (𞤄𞤭𞤪𞤥𞤢𞥄𞤲𞤭)
Namibi	𞤐𞤢𞤥𞤭𞤦𞤭
Naaru	𞤐𞤢𞥄𞤪𞤵
Nepal	𞤐𞤫𞤨𞤢𞤤
Pays-Bas	𞤆𞤢𞤴𞤧-𞤄𞤢𞤧
Kaledoni keso	𞤑𞤢𞤤𞤫𞤣𞤮𞤲𞤭 𞤳𞤫𞤧𞤮
Leydi Nuwel Selannde	𞤂𞤫𞤴𞤣𞤭 𞤐𞤵𞤱𞤫𞤤 𞤅𞤫𞤤𞤢𞤲𞤣𞤫
Nikaraguwaa	𞤐𞤭𞤳𞤢𞤪𞤢𞤺𞤵𞤱𞤢𞥄
Niiseer	𞤐𞤭𞥅𞤧𞤫𞥅𞤪
Naajeeriya	𞤐𞤢𞥄𞤶𞤫𞥅𞤪𞤭𞤴𞤢
Maseduwaan worgo	𞤃𞤢𞤧𞤫𞤣𞤵𞤱𞤢𞥄𞤲 𞤱𞤮𞤪𞤺𞤮
Duunde Mariana Fuɗnaange	𞤁𞤵𞥅𞤲𞤣𞤫 𞤃𞤢𞤪𞤭𞤢𞤲𞤢 𞤊𞤵𞤯𞤲𞤢𞥄𞤲𞤺𞤫
Norwees	𞤐𞤮𞤪𞤱𞤫𞥅𞤧
Oman	𞤌𞤥𞤢𞤲
Pakistaan	𞤆𞤢𞤳𞤭𞤧𞤼𞤢𞥄𞤲
Palau	𞤆𞤢𞤤𞤢𞤵
Panama	𞤆𞤢𞤲𞤢𞤥𞤢
Papouasie-Nouvelle-Ginee	𞤆𞤢𞤨𞤮𞤵𞤢𞤧𞤭𞤫-𞤐𞤮𞤵𞤾𞤫𞤤𞥆𞤫-𞤘𞤭𞤲𞤫𞥅
Paraguwaay	𞤆𞤢𞤪𞤢𞤺𞤵𞤱𞤢𞥄𞤴
Peru	𞤆𞤫𞤪𞤵
Filipiin	𞤊𞤭𞤤𞤭𞤨𞤭𞥅𞤲
Poloñ	𞤆𞤮𞤤𞤮𞤻
Portigaal	𞤆𞤮𞤪𞤼𞤭𞤺𞤢𞥄𞤤
Porto Riko	𞤆𞤮𞤪𞤼𞤮 𞤈𞤭𞤳𞤮
Kataar	𞤑𞤢𞤼𞤢𞥄𞤪
Kawral	𞤑𞤢𞤱𞤪𞤢𞤤
Rumaani	𞤈𞤵𞤥𞤢𞥄𞤲𞤭
Riisi	𞤈𞤭𞥅𞤧𞤭
Ruwannda	𞤈𞤵𞤱𞤢𞤲𞤣𞤢
Saint Kits e Nevis	𞤅𞤢𞤭𞤲𞤼 𞤑𞤭𞤼𞤧 𞤫 𞤐𞤫𞤾𞤭𞤧
Lusiya Senngo	𞤂𞤵𞤧𞤭𞤴𞤢 𞤅𞤫𞤲𞤺𞤮
San Vicent e Grenadin	𞤅𞤢𞤲 𞤜𞤭𞤷𞤫𞤲𞤼 𞤫 𞤘𞤪𞤫𞤲𞤢𞤣𞤭𞤲
Samoa	𞤅𞤢𞤥𞤮𞤢
San Marino	𞤅𞤢𞤲 𞤃𞤢𞤪𞤭𞤲𞤮
Sao Tome e Principe	𞤅𞤢𞤮 𞤚𞤮𞤥𞤫 𞤫 𞤆𞤪𞤭𞤲𞤷𞤭𞤨𞤫
Leydi Sawdit	𞤂𞤫𞤴𞤣𞤭 𞤅𞤢𞤱𞤣𞤭𞤼
Senegaal	𞤅𞤫𞤲𞤫𞤺𞤢𞥄𞤤
Serbi	𞤅𞤫𞤪𞤦𞤭
Senegaal	𞤅𞤫𞤲𞤫𞤺𞤢𞥄𞤤
Siyeraa Leyoon	𞤅𞤭𞤴𞤫𞤪𞤢𞥄 𞤂𞤫𞤴𞤮𞥅𞤲
Singapuur	𞤅𞤭𞤲𞥋𞤺𞤢𞤨𞤵𞥅𞤪
Sint Maarten	𞤅𞤭𞤲𞤼 𞤃𞤢𞥄𞤪𞤼𞤫𞤲
