ሁለቱም	huletum
መንግስቱ	mengstu
መንግስት	mengst
መንፈስ	menfes
መካከል	mekakel
መካፈልና	mekafelna
መግባባትን	megbabatn
መጠበቂያ	methebeqiya
መጠበቅ	methebeq
መጠን	methen
ሙሉ	mulu
ሙያ	muya
ሚስት	mist
ማስተዋልና	mastewalna
ማሻሻያና	mashashayana
ማኀበራዊ	maheberawi
ማኀበር	maheber
ማኀበርተኛ	mahebertena
ማኀበሮችን	maheberotshn
ማናቸውም	manatshewm
ማንም	manm
ማንኛውም	mannawm
ማዳበርያ	madaberya
ማድረግ	madreg
ምርጫ	mrcha
ምርጫና	mrchana
ምርጫዎች	mrchawotsh
ምንጮች	mnchotsh
ምክንያት	mknyat
ምክንያቶች	mknyatotsh
ምግብ	mgb
ሥልጣን	slthan
ሥራ	sra
ሥራም	sram
ሥራዎች	srawotsh
ሥር	sr
ሥርዓት	srcat
ሰላምን	selamn
ሰቡ	sebu
ሰብ	seb
ሰው	sew
ሰዓቶች	secatotsh
ሲወለድ	siweled
ሳይቀጠር	sayqether
ሳይኖሩ	saynoru
ሳይወሰኑ	saywesenu
ሴቶች	sétotsh
ስለሆነ	slehone
ስለሰብአዊ	slesebawi
ስላለው	slalew
ስሙን	smun
ስምምነት	smmnet
ስቃይ	sqay
ሸሽቶ	sheshto
ሸንጎ	shengo
ቅጣት	qthat
በሃይማኖት	behaymanot
በሆነ	behone
በሆነና	behonena
በሆኑ	behonu
በሌሎች	belélotsh
በሐሳብ	bexesab
በሕገ	bexge
በሕግ	bexg
በመሰረታዊ	bemeseretawi
በመብትም	bemebtm
በመብቶቹ	bemebtotshu
በመብቶቹና	bemebtotshuna
በመንግሥቱም	bemengstum
በመጣስ	bemethas
በመፈጸም	bemefetsem
በሙሉ	bemulu
በሚከራከርበት	bemikerakerbet
በሚከሰስበት	bemikesesbet
በሚያደርጉት	bemiyadergut
በሚያገኝበት	bemiyagenbet
በሚደረግ	bemidereg
በሚደርሱ	bemidersu
በሚገባ	bemigeba
በሚጠቀምበት	bemitheqembet
በሚጻጻፈው	bemitsatsafew
በሚፈልጉ	bemifelgu
በሚፈርስበትም	bemifersbetm
በሚፈጸሙ	bemifetsemu
በማንኛውም	bemannawm
በማያዳላ	bemayadala
በምሥጢር	bemsthir
በሞግዚትነት	bemogzitnet
በሥራ	besra
በሰላም	beselam
በሰው	besew
በሳይንስ	besayns
በቀጥታ	beqethta
በባርነት	bebarnet
በቤተሰቡ	bebétesebu
በቤቱ	bebétu
በብሔራዊ	bebxérawi
በተመረጡ	betemerethu
በተመሳሳይ	betemesasay
በተቀረ	beteqere
በተወሰነው	betewesenew
በተደነገጉ	betedenegegu
በተግባር	betegbar
በተፈጸመበት	betefetsemebet
በታሰበ	betasebe
በትክክለኛና	betkklenana
በትክክል	betkkl
በችሎታ	betshlota
በኀብረ	behebre
በኀብረሰቡና	behebresebuna
በኀብረት	behebret
በነጻ	benetsa
በነጻነትና	benetsanetna
በነጻነቶቹ	benetsanetotshu
በአንደኛ	beandena
በአገሩ	beageru
በአግባብ	beagbab
በኢትዮጵያ	beityopya
በኢንተርናሽናል	beinternashnal
በእያንዳንዱ	beeyandandu
በኪነ	bekine
በክብርና	bekbrna
በወንድማማችነት	bewendmamatshnet
በወንጀል	bewenjel
በዘር	bezer
በዚሁ	bezihu
በዚህ	bezih
በዜግነት	bezégnet
በየብሔራዊ	beyebxérawi
በየጊዜው	beyegizéw
በየጊዜውና	beyegizéwna
በዩኔስኮ	beyunésko
በይፋ	beyfa
በደህና	bedehna
በዴሞክራቲክ	bedémokratik
በጋብቻ	begabtsha
በግል	begl
በግዛት	begzat
በግዴታዎቹ	begdétawotshu
በጠቅላላው	betheqlalaw
በጥቅሞቹም	bethqmotshum
በፈጸመው	befetsemew
በፍርድ	befrd
ቢሆን	bihon
ቢሆንም	bihonm
ቢሞት	bimot
ቢቀር	biqer
ቢታመም	bitamem
ቢያረጅ	biyarej
ቢያንስ	biyans
ቢገጥመው	bigethmew
ባለስልጣኖች	baleslthanotsh
ባለቤትነት	balebétnet
ባል	bal
ባልተደነገገበት	baltedenegegebet
ባልፈጸመው	balfetsemew
ባሏቸው	balwatshew
ባርነትና	barnetna
ባይችል	baytshl
ቤተሰብ	béteseb
ቤተሰብን	bétesebn
ቤት	bét
ቤትና	bétna
ብሄራዊ	bhérawi
ብሔራዊ	bxérawi
ብቻ	btsha
ብቻውን	btshawn
ተስማሚ	tesmami
ተቃራኒ	teqarani
ተቃውሞ	teqawmo
ተተረጎመ	teteregome
ተቻችሎ	tetshatshlo
ተወላጅ	tewelaj
ተዘጋጅቶ	tezegajto
ተይዞ	teyzo
ተገቢ	tegebi
ተግባር	tegbar
ተግባሮች	tegbarotsh
ተፈላጊ	tefelagi
ታሪክ	tarik
ትምህርት	tmhrt
ትክክለኛ	tkklena
ትክክለኛና	tkklenana
ችሎ	tshlo
ኀብረሰብ	hebreseb
ነው	new
ነገር	neger
ነጻ	netsa
ነጻም	netsam
ነጻነት	netsanet
ነጻነትም	netsanetm
ነጻነትና	netsanetna
ነጻነትን	netsanetn
ነጻነትንና	netsanetnna
ነጻነቶች	netsanetotsh
ነጻና	netsana
ነፃነቶች	netsanetotsh
ኑሮ	nuro
ኑሮና	nurona
ኑሮን	nuron
ኑሮው	nurow
ንብረቱ	nbretu
ንግድም	ngdm
አለበት	alebet
አለው	alew
አላቸው	alatshew
አላችው	alatshw
አማካኝነት	amakannet
አማካይነትና	amakaynetna
አስተሳሰብ	astesaseb
አስተዳደር	astedader
አስፈላጊ	asfelagi
አስፈላጊዎች	asfelagiwotsh
አቅሙ	aqmu
አቅርቦ	aqrbo
አቋም	aqwam
አባል	abal
አንቀጽ	anqets
አንዱ	andu
አንዳን	andan
አንድ	and
አካለ	akale
አይተረጎሙም	ayteregomum
አይችልም	aytshlm
አይነፈገውም	aynefegewm
አይከሰስም	aykesesm
አይወሰድበትም	aywesedbetm
አይደረግም	ayderegm
አይገባቸውም	aygebatshewm
አይገዛም	aygezam
አይገደድም	aygededm
አይፈረድበትም	ayferedbetm
አይፈጸምበትም	ayfetsembetm
አገልግሎት	agelglot
አገልግሎቶችም	agelglototshm
አገሩ	ageru
አገር	ager
አገሮች	agerotsh
አገዛዝ	agezaz
አፈጻጸም	afetsatsem
እምነቱን	emnetun
እራሱን	erasun
እርምጃና	ermjana
እርዳታ	erdata
እስቲረጋገጥበት	estiregagethbet
እነዚህ	enezih
እንደሆነ	endehone
እንደመሆኑ	endemehonu
እንደራሴዎች	enderaséwotsh
እንደገና	endegena
እንዲሁም	endihum
እንዲሆን	endihon
እንዲሰማለት	endisemalet
እንዲስፋፋ	endisfafa
እንዲታሰር	enditaser
እንዲኖሩትና	endinorutna
እንዲኖር	endinor
እንዲከላከልለት	endikelakellet
እንዲከበሩለት	endikeberulet
እንዲወገድለት	endiwegedlet
እንዲውሉ	endiwlu
እንዲገለጹለት	endigeletsulet
እንዲገለጽ	endigelets
እንዲጠበቅ	endithebeq
እንዲጠበቅለት	endithebeqlet
እንዳያጣ	endayatha
እንዳይደርስበት	endaydersbet
እኩል	ekul
እኩልነት	ekulnet
እያንዳንዱ	eyandandu
እድገት	edget
ከሆነ	kehone
ከላይ	kelay
ከሌሎች	kelélotsh
ከሚቃረኑ	kemiqarenu
ከሚነሳሳ	keminesasa
ከሚኖርበት	keminorbet
ከሚደረግ	kemidereg
ከሚጥሱ	kemithsu
ከማንኛውም	kemannawm
ከራሱ	kerasu
ከሰብዓዊ	kesebcawi
ከቁጥጥሩ	kequththru
ከተደነገገው	ketedenegegew
ከእንደዚህ	keendezih
ከወንጀል	kewenjel
ከዚህም	kezihm
ከደመወዝ	kedemewez
ከደረሰው	kederesew
ከጭቆና	kechqona
ከፍተኛ	keftena
ካልሆኑ	kalhonu
ካስፈለገም	kasfelegem
ክልሉ	kllu
ክልክል	klkl
ክስ	ks
ክሶች	ksotsh
ክብሩን	kbrun
ክብር	kbr
ክፍል	kfl
ኮሚሽን	komishn
ወላድነትና	weladnetna
ወላጆች	welajotsh
ወሰን	wesen
ወንዶችና	wendotshna
ወንጀለኛ	wenjelena
ወንጀሉ	wenjelu
ወንጀል	wenjel
ወንጀሎች	wenjelotsh
ወይም	weym
ወደ	wede
ወገኖች	wegenotsh
ወጥቶ	wethto
ዋና	wana
ዋጋውን	wagawn
ውሳኔ	wsané
ውሳን	wsan
ውስጥ	wsth
ውጭ	wch
ዓላማዎች	calamawotsh
ዓላማዎችን	calamawotshn
ዓይነት	caynet
ዘር	zer
ዘርነቱ	zernetu
ዘዴዎች	zedéwotsh
ዜናን	zénan
ዜግነቱ	zégnetu
ዜግነቱን	zégnetun
የሀብት	yehebt
የሃሳብ	yehasab
የሃብት	yehabt
የሃይማኖት	yehaymanot
የህዝብ	yehzb
የሆነ	yehone
የሆነው	yehonew
የሆኑት	yehonut
የሆኑትን	yehonutn
የሌላ	yeléla
የሌሎችን	yelélotshn
የልዩ	yelyu
የሐሳብና	yexesabna
የሕሊናና	yexlinana
የሕዝቡ	yexzbu
የመለወጥ	yemeleweth
የመመለስ	yememeles
የመመሥረት	yememesret
የመማር	yememar
የመሥራት	yemesrat
የመሰብሰብና	yemesebsebna
የመቀበልንና	yemeqebelnna
የመቆጠር	yemeqother
የመተባበርን	yemetebabern
የመታወቅ	yemetaweq
የመንግስት	yemengst
የመኖሩ	yemenoru
የመኖር	yemenor
የመኖርንና	yemenornna
የመካፈል	yemekafel
የመዘዋወርና	yemezewawerna
የመዝናናት	yemeznanat
የመግለጽ	yemeglets
የመጠቀም	yemetheqem
የመጠየቅና	yemetheyeqna
የመጽናትንና	yemetsnatnna
የመፈጸምና	yemefetsemna
የሙሉ	yemulu
የሙያ	yemuya
የሚረዱ	yemiredu
የሚበቃ	yemibeqa
የሚታገደው	yemitagedew
የሚነካና	yeminekana
የሚወለዱ	yemiweledu
የሚውል	yemiwl
የሚያስገኝለትና	yemiyasgenletna
የሚያበረታቱ	yemiyaberetatu
የሚያገኘው	yemiyagenew
የሚያጎድፍ	yemiyagodf
የሚያጠነክርና	yemiyathenekrna
የሚጎዳ	yemigoda
የሚፈልጉትን	yemifelgutn
የሚፈጸመው	yemifetsemew
የሚፈጽማቸው	yemifetsmatshew
የማምለክና	yemamlekna
የማስተማር	yemastemar
የማኀበራዊ	yemaheberawi
የማካፈልን	yemakafeln
የማክበር	yemakber
የማይተዳደር	yemaytedader
የማድረግ	yemadreg
የማግኘት	yemagnet
የማግኘትን	yemagnetn
የሞራሉንና	yemoralunna
የሥራ	yesra
የራሱ	yerasu
የሰው	yesew
የሳይንስ	yesayns
የቀለም	yeqelem
የቅድሚያ	yeqdmiya
የቋንቋ	yeqwanqwa
የባህል	yebahl
የባሪያ	yebariya
የብሔራዊ	yebxérawi
የተለያየ	yeteleyaye
የተመሳሳይ	yetemesasay
የተሰጡትን	yetesethutn
የተባሉ	yetebalu
የተባበሩት	yetebaberut
የተነሳ	yetenesa
የተከሰሰ	yetekesese
የተወሰኑ	yetewesenu
የተዋረድ	yetewared
የተዘረዘረው	yetezerezerew
የተዘረዘሩት	yetezerezerut
የተደገፈ	yetedegefe
የተጠቀሱትን	yetetheqesutn
የተፈጥሮ	yetefethro
የተፈጥሮና	yetefethrona
የቴክኒክና	yetéknikna
የትውልድ	yetwld
የኀብረ	yehebre
የኀብረሰብ	yehebreseb
የኀብረሰብና	yehebresebna
የኀብረተሰብ	yehebreteseb
የኀብረት	yehebret
የኑሮ	yenuro
የአሠራር	yeaserar
የአንደኛ	yeandena
የአንድ	yeand
የአገዛዝ	yeagezaz
የኢንተርናሽናል	yeinternashnal
የኤኮኖሚ	yeékonomi
የእኩል	yeekul
የከፍተኛ	yekeftena
የኪነ	yekine
የወንጀል	yewenjel
የዕረፍት	yecreft
የዕረፍትና	yecreftna
የዘር	yezer
የዜግነት	yezégnet
የይፋ	yeyfa
የደህንነታቸው	yedehnnetatshew
የደረሱ	yederesu
የድምፅ	yedmts
የድርሰትና	yedrsetna
የድንበር	yednber
የግብረ	yegbre
የግድ	yegd
የጠቅላላውን	yetheqlalawn
የጭካኔ	yechkané
የጾታ	yetsota
የፍርድ	yefrd
የፖለቲካ	yepoletika
ያለ	yale
ያለአንዳች	yaleandatsh
ያለው	yalew
ያለጋብቻ	yalegabtsha
ያለጣልቃ	yalethalqa
ያለፍርድ	yalefrd
ያላንዳች	yalandatsh
ያልተለየ	yalteleye
ይህ	yh
ይህም	yhm
ይህንን	yhnn
ይበልጥ	ybelth
ይኖሩበታል	ynorubetal
ይገባል	ygebal
ይገባዋል	ygebawal
ይጨምራል	ychemral
ደህንነቱ	dehnnetu
ደህንነቱን	dehnnetun
ደህንነት	dehnnet
ደመወዝ	demewez
ደረጃ	dereja
ደረጃና	derejana
ደረጃዎች	derejawotsh
ደብዳቤ	debdabé
ደግሞ	degmo
ድረስ	dres
ድርጅት	drjt
ድርጅትም	drjtm
ድርጊትን	drgitn
ድርጊቶች	drgitotsh
ገብነት	gebnet
ገብነትን	gebnetn
ገደብ	gedeb
ጉዳዩ	gudayu
ጉዳይ	guday
ጊዜ	gizé
ጊዜና	gizéna
ጊዜያትን	gizéyatn
ጋር	gar
ጋብቻ	gabtsha
ጋብቻን	gabtshan
ግንኙነት	gnnunet
ግዛት	gzat
ግዴታ	gdéta
ግዴታዎች	gdétawotsh
ጣልቃ	thalqa
ጤንነትና	thénnetna
ጥረትና	thretna
ጥቅሞቹን	thqmotshun
ጥቅሞች	thqmotsh
ጥበብ	thbeb
ጥንቃቄና	thnqaqéna
ጥገኝነትን	thgennetn
ጭምር	chmr
ፀጥታና	tsethtana
ፈቃድ	feqad
ፊት	fit
ፍርድ	frd
ፍጹም	ftsum
ፖለቲካዊ	poletikawi
፩	1
፪	2
፫	3
፬	4
፭	5
፮	6
፯	7
፰	8
፱	9
፲	10
፳	20
፴	30
፵	40
፶	50
፷	60
፸	70
፹	80
፺	90
፻	100
፼	10000
ሀለክና	helekna
ሀለክ	helek
ሀለክድና	helekdna
ሀለው	helew
ሀለፍለፍ	heleflef
ሀልሀል	helhel
ሀልከብና	helkebna
ሀልክ	helk
ሀመም	hemem
ሀመድና	hemedna
ሀመጅና	hemejna
ሀምበላይ	hembelay
ሀሰስና	hesesna
ሀሰስ	heses
ሀሰይና	heseyna
ሀረርና	hererna
ሀረፍና	herefna
ሀሩር	herur
ሀርሀራ	herhera
ሀርጀጅና	herjejna
ሀሽከብና	heshkebna
ሀበሪሰና	heberisena
ሀበብና	hebebna
ሀብና	hebna
ሀንተር	henter
ሀከይስና	hekeysna
ሀወሽ	hewesh
ሀወት	hewet
ሀወ	hewe
ሀወክሳዅ	heweksakhwu
ሀወክስና	heweksna
ሀወክና	hewekna
ሀው	hew
ሀይ	hey
ሀይ	hey
ሀደውደው	hedewdew
ሀደድና	hededna
ሀደፋ	hedefa
ሀገግና	hegegna
ሀጋግ	hegag
ሀጐጕ	hegwegwu
ሁመት	humet
ሃሃ	haha
ሃል	hal
ሃህ	hah
ሃህ	hah
ሃሓይ	haxay
ሃሓይ	haxay
ሃምቦ	hambo
ሃስስ	hass
ሃርሃራ	harhara
ሃሽከቶ	hashketo
ሃብረም	habrem
ሃንደይና	handeyna
ሃንዲና	handina
ሃንግድና	hangdna
ሃኪን	hakin
ሃኽ	hakh
ሃይማኖት	haymanot
ሃዱዱዅ	hadudukhwu
ህምምና	hmmna
ህምራሪብ	hmrarib
ህምብና	hmbna
ህም	hm
ህሩፍ	hruf
ህርግት	hrgt
ህርግት	hrgt
ህርግት	hrgt
ህርግት	hrgt
ህብብና	hbbna
ህንራሪብ	hnrarib
ህንዳቃ	hndaqa
ህኩይ	hkuy
ህይወት	hywet
ህደም	hdem
ህድኣት	hdat
ህዳም	hdam
ህድርና	hdrna
ህድብ	hdb
ህድብ	hdb
ህድኣት	hdat
ህድድና	hddna
ህጅክ	hjk
ህጅጁ	hjju
ህጅጅና	hjjna
ሆርያ	horya
ሆርያ	horya
ሆርያ	horya
ሆርያ	horya
ሆሽ	hosh
ሆው	how
ለሀክና	lehekna
ለለቅና	leleqna
ለለክና	lelekna
ለላቅና	lelaqna
ለሓምና	lexamna
ለመለም	lemelem
ለመሸሊ	lemesheli
ለማዲራ	lemadira
ለምለማ	lemlema
ለምለም	lemlem
ለምባ	lemba
ለስለስና	leslesna
ለሽ	lesh
ለሸክና	leshekna
ለቀምና	leqemna
ለቀቅና	leqeqna
ለቀጥና	leqethna
ለበና	lebena
ለበንና	lebenna
ለበኪዅ	lebekikhwu
ለበካ	lebeka
ለብለብና	leblebna
ለብለብ	lebleb
ለብና	lebna
ለብድና	lebdna
ለታሕ	letax
ለታቅስና	letaqsna
ለታቅና	letaqna
ለንገርና	lengerna
ለን	len
-ለን	-len
ለንገራ	lengera
ለንገርና	lengerna
ለኣዲራ	leadira
ለከምና	lekemna
ለኸን	lekhen
ለኸንድና	lekhendna
ለኽንጃ	lekhnja
ለኻ	lekha
ለወስና	lewesna
ለወትና	lewetna
ለዋህ	lewah
ለዋለይና	lewaleyna
ለዋዅ	lewakhwu
ለውህና	lewhna
ለውትና	lewtna
ለውና	lewna
ለዐ	lece
ለዓፍና	lecafna
ለገዳዅ	legedakhwu
ለገድና	legedna
ለውዛ	lewza
ለጋብ	legab
ለጘረጝን	leñereñn
ለጘተር	leñeter
ለጘተን	leñeten
ለጘተን	leñeten
ለጘታ	leñeta
ለጘትረጝን	leñetreñn
ለጘትራ	leñetra
ለጘትርጝ	leñetrñ
ለጘትን	leñetn
ለጘክ	leñek
ለጛ	leña
ለጛ	leña
ለጝለጛ	leñleña
ለጨጭስና	lechechsna
ለጨጭና	lechechna
ለጭሐት	lechxet
ለጭሕና	lechxna
ለፍለፍና	leflefna
ለጐምስና	legwemsna
ለዅ	lekhwu
ሉላ	lula
ሉምስና	lumsna
ሉም	lum
ሉኵ	lukwu
ሉላ	lula
ሊላ	lila
ሊሎራ	lilora
ሊሸንታ	lishenta
ሊሻ	lisha
ሊሽና	lishna
ሊንገርና	lingerna
ሊኺ	likhi
ሊኺ	likhi
ሊጘር	liñer
ሊጘር	liñer
ሊጝራ	liñra
ሊጝን	liñn
ሊኳ	likwa
ሊኵስና	likwusna
ሊኵርና	likwurna
-ላ	-la
ላሁመት	lahumet
ላልምባ	lalmba
ላሓምና	laxamna
ላሕ	lax
ላምስና	lamsna
ላምርና	lamrna
ላሪ	lari
ላቃ	laqa
ላቅ	laq
ላቅሰት	laqset
ላቅስና	laqsna
ላቅና	laqna
ላት	lat
ላንቂ	lanqi
ላኽላ	lakhla
ላኽና	lakhna
ላው	law
ላው	law
ላዕሉዅ	laclukhwu
ላዅ	lakhwu
ላዶ	lado
ላዶን	ladon
ላዶን	ladon
ላጪሕ	lachix
-ል	-l
ልህንጓ	lhngwa
ልሕጫ	lxcha
ልምሶ	lmso
ልምና	lmna
ልስ	ls
ልስሉስ	lslus
ልስና	lsna
ልሶ	lso
ልሶ	lso
ልሽካ	lshka
ልቢሲ	lbisi
ልባ	lba
ልብድ	lbd
ልትቃ	ltqa
ልኸንታ	lkhenta
ልኻ	lkha
ልኽና	lkhna
ልኽንጃ	lkhnja
ልዊ	lwi
ልውታ	lwta
ልደት	ldet
-ል	-l
-ልድ	-ld
-ልድክ	-ldk
ልጉም	lgum
ልጝን	lñn
ልጝን	lñn
ልጝግርና	lñgrna
ልጓም	lgwam
ልኵ	lkwu
ሎለይስና	loleysna
ሎለይና	loleyna
ሎሚን	lomin
ሎቢና	lobina
-ሎም	-lom
ሒለቱዅ	xiletukhwu
ሒለት	xilet
ሒላት	xilat
ሒም	xim
ሓለልስና	xalelsna
ሓለልድና	xaleldna
ሓለት	xalet
ሓለንጋይ	xalengay
ሓለክና	xalekna
ሓለየንታ	xaleyenta
ሓለይና	xaleyna
ሓለፍና	xalefna
ሓላል	xalal
ሓላል	xalal
ሓላል	xalal
ሓላም	xalam
ጠላም	thelam
ሓልሓል/62’	xalxal/62’
ሓልብና	xalbna
ሓልቲ	xalti
ሓሎ	xalo
ሓሓይ	xaxay
ሓሕ	xax
ሓሕ	xax
ሓመልሚል	xamelmil
ሓምደ	xamde
ሓመድ	xamed
ሓመ’ድና	xame’dna
ሓሙላ	xamula
ሓሚስ	xamis
ሓማሴን	xamasén
ሓማስ	xamas
ሓምል	xaml
ሓምል	xaml
ሓምሓም	xamxam
ሓምበላይ	xambelay
ሓምቦ	xambo
ሓምተራ	xamtera
ሓምታ	xamta
ሓምዳ	xamda
ሓምዳ	xamda
ሓሰልና	xaselna
ሓሰስና	xasesna
ሓሰስና	xasesna
ሓሰብና	xasebna
ሓሰይና	xaseyna
ሓስተና	xastena
ሓሶሰይና	xasoseyna
ሓረስና	xaresna
ሓረስድና	xaresdna
ሓረርና	xarerna
ሓረትስና	xaretsna
ሓረብና	xarebna
ሓረጥስና	xarethsna
ሓረጥና	xarethna
ሓረጥና	xarethna
ሓረፍና	xarefna
ሓሩቀት	xaruqet
ሓሪር	xarir
ሓራሙዅ	xaramukhwu
ሓራም	xaram
ሓራሲ	xarasi
ሓራቅርና	xaraqrna
ሓርሓራ	xarxara
ሓርሩም	xarrum
ሓርብ	xarb
ሓርኮክያ	xarkokya
ሓርጨምድና	xarchemdna
ሓሸላ	xashela
ሓሸር	xasher
ሓሻእ	xashae
ሓሻኪቶ	xashakito
ሓቀፍና	xaqefna
ሓቀፍድና	xaqefdna
ሓቓቕና	xaqhaqhna
ሓቓቕና	xaqhaqhna
ሓቕ	xaqh
ሓቕ	xaqh
ሓበስና	xabesna
ሓበስትና	xabestna
ሓበርስና	xabersna
ሓበርና	xaberna
ሓበሽዋር	xabeshwar
ሓበናታዅ	xabenatakhwu
ሓበናት	xabenat
ሓበን	xaben
ሓበንድና	xabendna
ሓበካ	xabeka
ሓቢና	xabina
ሓቢና	xabina
ሓባሊኮራ	xabalikora
ሓባብ	xabab
ሓብሓብና	xabxabna
ሓብለክና	xablekna
ሓብለክና	xablekna
ሓብሳ	xabsa
ሓንደካ	xandeka
ሓንደይና	xandeyna
ሓንፈሲስና	xanfesisna
ሓንፈስና	xanfesna
ሓንጐል	xangwel
ሓንጐጥና	xangwethna
ሓንኰልና	xankwelna
ሓንኰኵና	xankwekwuna
ሓንቍልና	xanqwulna
ሓኮራ	xakora
ሓኽ	xakh
ሓወሽ	xawesh
ሓወና	xawena
ሓዋን	xawan
ሓወጭና	xawechna
ሓዋርያ	xawarya
ሓዋይት	xawayt
ሓውስና	xawsna
ሓው	xaw
ሓ’ው	xa’w
ሓየ	xaye
ሓየልና	xayelna
ሓየምና	xayemna
ሓያም	xayam
ሓዮ¨’83	xayo¨’83
ሓይሉ	xaylu
ሓይልንኬል	xaylnkél
ሓደምበስ	xadembes
ሓደምበስቍር	xadembesqwur
ሓደስና	xadesna
ሓደርና	xaderna
ሓደና	xadena
ሓደን	xaden
ሓዲስ	xadis
ሓዳይ	xaday
ሓዲስ	xadis
ሓጅራ	xajra
ሓገስትና	xagestna
ሓገድና	xagedna
ሓገይና	xageyna
ሓጋይ	xagay
ሓጋግ	xagag
ሓጎቲባ	xagotiba
ሓጠርና	xatherna
ሓጠይ	xathey
ሓጢኣት	xathiat
ሓጢኣቱዅ	xathiatukhwu
ሓጣእ	xathae
ሓጥር	xathr
ሓጥርና	xathrna
ሓጥሺ	xathshi
ሓጥሺ	xathshi
ሓጥእና	xathena
ሓጨይስና	xacheysna
ሓጨይና	xacheyna
ሓጨፉራ	xachefura
ሓጨፍና	xachefna
ሓጩፍ	xachuf
ሓጭፍ	xachf
ሓጭፍ	xachf
ሓፈድና	xafedna
ሓፈፍሎራ	xafeflora
ሓፈፍና	xafefna
ሓፉላዅ	xafulakhwu
ሓፋር	xafar
ሓፋር	xafar
ሓፍሓፍና	xafxafna
ሓዘና	xazena
ሓዘን	xazen
ሓጐጕና	xagwegwuna
ሔማ	xéma
ሕላ	xla
ሕላብደራ	xlabdera
ሕላይ	xlay
ሕልባ	xlba
ሕልቁም	xlqum
ሕሒሕ	xxix
ሕማር	xmar
ሕምሓም	xmxam
ሕምሕምና	xmxmna
ሕምሕምድና	xmxmdna
ሕምስ	xms
ሕሳብ	xsab
ሕሩጭ	xruch
ሕራብ	xrab
ሕርም	xrm
ሕርበት	xrbet
ሕርጥ	xrth
ሕሮራ	xrora
ሕሹኵሹኵ	xshukwushukwu
ሕሹኵሹኵ	xshukwushukwu
ሕሻኪ	xshaki
ሕሽም	xshm
ሕሽኵል	xshkwul
ሕቕ	xqh
ሕበራ	xbera
ሕበርበሮ	xberbero
ሕበበርና	xbeberna
ሕቡብ	xbub
ሕብሕባ	xbxba
ሕብር	xbr
ሕብጥ	xbth
ሕትካ	xtka
ሕንሽርሽሩ	xnshrshru
ሕያት	xyat
ሕንደራ	xndera
ሕንዳቓ	xndaqha
ሕንደራ	xndera
ሕንዶሪራ	xndorira
ሕንጁራ	xnjura
ሕንጊግ	xngig
ሕንጉላ	xngula
ሕንጣናር	xnthanar
ሕንጣንትና	xnthantna
ሕንጣናዅ	xnthanakhwu
ሕንጩና	xnchuna
ሕንጪናቅ	xnchinaq
ሕንጫ	xncha
ሕንፍልና	xnflna
ሕንቍልና	xnqwulna
ሕኖት	xnot
ሕኖት	xnot
ሕወር	xwer
ሕውን	xwn
ሕደራ	xdera
ሕዳም	xdam
ሕዳረብ	xdareb
ሕዳር	xdar
ሕድኣት	xdat
ሕጅቅ	xjq
ሕጣን	xthan
ሕጊ	xgi
ሕጩይ	xchuy
ሕጪት	xchit
ሕጩፍ	xchuf
ሕፍት	xft
ሖጀብ	xojeb
ሖግ	xog
