# List of locales which are somehow special (such as Read-Only)
# Format of each line:
#
#    loc_id ; type ; comment
#
# loc_id is an explicit id, and does NOT include sublocales unless it is followed by *
#
# type is an enumerated value and has value(s):
#     readonly - locale must not be modified in the SurveyTool
#     scratch  - Locale is for testing purposes
#
#
# comment is freeform text and may be presented to end users.  Use the form  " @de_CH " to refer to the locale de_CH 
#    and "@@" to refer to the actual locale (in the case of * wildcards)

root       ;  readonly  ; The Root locale is maintained by the CLDR-TC and may not be modified in the SurveyTool. Please file a ticket to make changes.
fr_CD      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_CF      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_CG      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_CH      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_CI      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_CM      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_DJ      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_DZ      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_GA      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_GF      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_GN      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_GP      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_GQ      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_HT      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_KM      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_LU      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_MA      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_MC      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_MF      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_MG      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_ML      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_MQ      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_MR      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_MU      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_NC      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_NE      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_PF      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_PM      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_RE      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_RW      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_SC      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_SN      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_SY      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_TD      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_TG      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_TN      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_VU      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_WF      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_YT      ;  readonly  ; Country specific locales are not open for data submission at this time.
gez_ER      ;  readonly  ; Country specific locales are not open for data submission at this time.
gsw_FR      ;  readonly  ; Country specific locales are not open for data submission at this time.
gsw_LI      ;  readonly  ; Country specific locales are not open for data submission at this time.
ha_Arab_SD      ;  readonly  ; Country specific locales are not open for data submission at this time.
ha_GH      ;  readonly  ; Country specific locales are not open for data submission at this time.
ha_NE      ;  readonly  ; Country specific locales are not open for data submission at this time.
hr_BA      ;  readonly  ; Country specific locales are not open for data submission at this time.
it_CH      ;  readonly  ; Country specific locales are not open for data submission at this time.
it_SM      ;  readonly  ; Country specific locales are not open for data submission at this time.
ko_KP      ;  readonly  ; Country specific locales are not open for data submission at this time.
kpe_GN      ;  readonly  ; Country specific locales are not open for data submission at this time.
ln_AO      ;  readonly  ; Country specific locales are not open for data submission at this time.
ln_CF      ;  readonly  ; Country specific locales are not open for data submission at this time.
ln_CG      ;  readonly  ; Country specific locales are not open for data submission at this time.
lrc_IQ      ;  readonly  ; Country specific locales are not open for data submission at this time.
mas_TZ      ;  readonly  ; Country specific locales are not open for data submission at this time.
mn_Mong_MN      ;  readonly  ; Country specific locales are not open for data submission at this time.
ms_Arab_BN      ;  readonly  ; Country specific locales are not open for data submission at this time.
ms_BN      ;  readonly  ; Country specific locales are not open for data submission at this time.
ms_SG      ;  readonly  ; Country specific locales are not open for data submission at this time.
nb_SJ      ;  readonly  ; Country specific locales are not open for data submission at this time.
nds_NL      ;  readonly  ; Country specific locales are not open for data submission at this time.
ne_IN      ;  readonly  ; Country specific locales are not open for data submission at this time.
nl_AW      ;  readonly  ; Country specific locales are not open for data submission at this time.
nl_BE      ;  readonly  ; Country specific locales are not open for data submission at this time.
nl_BQ      ;  readonly  ; Country specific locales are not open for data submission at this time.
nl_CW      ;  readonly  ; Country specific locales are not open for data submission at this time.
nl_SR      ;  readonly  ; Country specific locales are not open for data submission at this time.
nl_SX      ;  readonly  ; Country specific locales are not open for data submission at this time.
om_KE      ;  readonly  ; Country specific locales are not open for data submission at this time.
os_RU      ;  readonly  ; Country specific locales are not open for data submission at this time.
pt_AO      ;  readonly  ; Country specific locales are not open for data submission at this time.
pt_CV      ;  readonly  ; Country specific locales are not open for data submission at this time.
pt_GW      ;  readonly  ; Country specific locales are not open for data submission at this time.
pt_MO      ;  readonly  ; Country specific locales are not open for data submission at this time.
pt_MZ      ;  readonly  ; Country specific locales are not open for data submission at this time.
pt_PT      ;  readonly  ; Country specific locales are not open for data submission at this time.
pt_ST      ;  readonly  ; Country specific locales are not open for data submission at this time.
pt_TL      ;  readonly  ; Country specific locales are not open for data submission at this time.
qu_BO      ;  readonly  ; Country specific locales are not open for data submission at this time.
qu_EC      ;  readonly  ; Country specific locales are not open for data submission at this time.
ro_MD      ;  readonly  ; Country specific locales are not open for data submission at this time.
ru_BY      ;  readonly  ; Country specific locales are not open for data submission at this time.
ru_KG      ;  readonly  ; Country specific locales are not open for data submission at this time.
ru_KZ      ;  readonly  ; Country specific locales are not open for data submission at this time.
ru_MD      ;  readonly  ; Country specific locales are not open for data submission at this time.
ru_UA      ;  readonly  ; Country specific locales are not open for data submission at this time.
se_FI      ;  readonly  ; Country specific locales are not open for data submission at this time.
se_SE      ;  readonly  ; Country specific locales are not open for data submission at this time.
sma_NO      ;  readonly  ; Country specific locales are not open for data submission at this time.
smj_NO      ;  readonly  ; Country specific locales are not open for data submission at this time.
so_DJ      ;  readonly  ; Country specific locales are not open for data submission at this time.
so_ET      ;  readonly  ; Country specific locales are not open for data submission at this time.
so_KE      ;  readonly  ; Country specific locales are not open for data submission at this time.
sq_MK      ;  readonly  ; Country specific locales are not open for data submission at this time.
sq_XK      ;  readonly  ; Country specific locales are not open for data submission at this time.
sr_Cyrl_BA      ;  readonly  ; Country specific locales are not open for data submission at this time.
sr_Cyrl_ME      ;  readonly  ; Country specific locales are not open for data submission at this time.
sr_Cyrl_XK      ;  readonly  ; Country specific locales are not open for data submission at this time.
ss_SZ      ;  readonly  ; Country specific locales are not open for data submission at this time.
st_LS      ;  readonly  ; Country specific locales are not open for data submission at this time.
sv_AX      ;  readonly  ; Country specific locales are not open for data submission at this time.
sv_FI      ;  readonly  ; Country specific locales are not open for data submission at this time.
sw_CD      ;  readonly  ; Country specific locales are not open for data submission at this time.
sw_KE      ;  readonly  ; Country specific locales are not open for data submission at this time.
sw_UG      ;  readonly  ; Country specific locales are not open for data submission at this time.
syr_SY      ;  readonly  ; Country specific locales are not open for data submission at this time.
ta_LK      ;  readonly  ; Country specific locales are not open for data submission at this time.
ta_MY      ;  readonly  ; Country specific locales are not open for data submission at this time.
ta_SG      ;  readonly  ; Country specific locales are not open for data submission at this time.
teo_KE      ;  readonly  ; Country specific locales are not open for data submission at this time.
ti_ER      ;  readonly  ; Country specific locales are not open for data submission at this time.
tn_BW      ;  readonly  ; Country specific locales are not open for data submission at this time.
tr_CY      ;  readonly  ; Country specific locales are not open for data submission at this time.
ur_IN      ;  readonly  ; Country specific locales are not open for data submission at this time.
zh_Hans_HK      ;  readonly  ; Country specific locales are not open for data submission at this time.
zh_Hans_MO      ;  readonly  ; Country specific locales are not open for data submission at this time.
zh_Hans_SG      ;  readonly  ; Country specific locales are not open for data submission at this time.
zh_Hant_HK      ;  readonly  ; Country specific locales are not open for data submission at this time.
zh_Hant_MO      ;  readonly  ; Country specific locales are not open for data submission at this time.

und        ;  scratch   ; This locale is for testing purposes, it does not have any valid content.
und_ZZ     ;  scratch   ; This locale is for testing purposes, it does not have any valid content.
