Id	Print_Name	Inverted_Name
agi	Agariya	Agariya
agj	Argobba	Argobba
agk	Isarog Agta	Agta, Isarog
agl	Fembe	Fembe
agm	Angaatiha	Angaatiha
agn	Agutaynen	Agutaynen
ago	Tainae	Tainae
agp	Paranan	Paranan
agq	Aghem	Aghem
agr	Aguaruna	Aguaruna
ags	Esimbi	Esimbi
agt	Central Cagayan Agta	Agta, Central Cagayan
agu	Aguacateco	Aguacateco
agv	Remontado Agta	Agta, Remontado
agw	Kahua	Kahua
agx	Aghul	Aghul
agy	Southern Alta	Alta, Southern
agz	Mt. Iriga Agta	Agta, Mt. Iriga
aha	Ahanta	Ahanta
ahb	Axamb	Axamb
ahe	Ahe	Ahe
ahg	Qimant	Qimant
ahh	Aghu	Aghu
ahi	Tiagbamrin Aizi	Aizi, Tiagbamrin
ahk	Akha	Akha
ahl	Igo	Igo
ahm	Mobumrin Aizi	Aizi, Mobumrin
ahn	Àhàn	Àhàn
aho	Ahom	Ahom
ahp	Aproumu Aizi	Aizi, Aproumu
ahr	Ahirani	Ahirani
ahs	Ashe	Ashe
aht	Ahtena	Ahtena
aia	Arosi	Arosi
aib	Ainu (China)	Ainu (China)
aic	Ainbai	Ainbai
aid	Alngith	Alngith
aie	Amara	Amara
aif	Agi	Agi
aig	Antigua and Barbuda Creole English	Creole English, Antigua and Barbuda
aih	Ai-Cham	Ai-Cham
aii	Assyrian Neo-Aramaic	Neo-Aramaic, Assyrian
aij	Lishanid Noshan	Lishanid Noshan
aik	Ake	Ake
ail	Aimele	Aimele
aim	Aimol	Aimol
ain	Ainu (Japan)	Ainu (Japan)
aio	Aiton	Aiton
aip	Burumakok	Burumakok
aiq	Aimaq	Aimaq
air	Airoran	Airoran
ais	Nataoran Amis	Amis, Nataoran
ait	Arikem	Arikem
aix	Aigon	Aigon
aiy	Ali	Ali
aiz	Aari	Aari
aja	Aja (Sudan)	Aja (Sudan)
ajg	Aja (Benin)	Aja (Benin)
aji	Ajië	Ajië
ajp	South Levantine Arabic	Arabic, South Levantine
ajt	Judeo-Tunisian Arabic	Arabic, Judeo-Tunisian
aju	Judeo-Moroccan Arabic	Arabic, Judeo-Moroccan
ajw	Ajawa	Ajawa
ajz	Amri	Amri
aka	Akan	Akan
akb	Batak Angkola	Batak Angkola
akc	Mpur	Mpur
akd	Ukpet-Ehom	Ukpet-Ehom
ake	Akawaio	Akawaio
akf	Akpa	Akpa
akg	Anakalangu	Anakalangu
akh	Angal Heneng	Angal Heneng
aki	Aiome	Aiome
akj	Aka-Jeru	Aka-Jeru
akk	Akkadian	Akkadian
akl	Aklanon	Aklanon
akm	Aka-Bo	Aka-Bo
akn	Amikoana	Amikoana
ako	Akurio	Akurio
akp	Siwu	Siwu
akq	Ak	Ak
akr	Araki	Araki
aks	Akaselem	Akaselem
akt	Akolet	Akolet
aku	Akum	Akum
akv	Akhvakh	Akhvakh
akw	Akwa	Akwa
akx	Aka-Kede	Aka-Kede
aky	Aka-Kol	Aka-Kol
akz	Alabama	Alabama
ala	Alago	Alago
alc	Qawasqar	Qawasqar
ald	Alladian	Alladian
ale	Aleut	Aleut
alf	Alege	Alege
alh	Alawa	Alawa
ali	Amaimon	Amaimon
alj	Alangan	Alangan
alk	Alak	Alak
all	Allar	Allar
alm	Amblong	Amblong
aln	Gheg Albanian	Albanian, Gheg
alo	Larike-Wakasihu	Larike-Wakasihu
alp	Alune	Alune
alq	Algonquin	Algonquin
alr	Alutor	Alutor
als	Tosk Albanian	Albanian, Tosk
alt	Southern Altai	Altai, Southern
alu	'Are'are	'Are'are
alw	Alaba	Alaba
alx	Alatil	Alatil
aly	Alyawarr	Alyawarr
alz	Alur	Alur
ama	Amanayé	Amanayé
amb	Ambo	Ambo
amc	Amahuaca	Amahuaca
amd	Amapá Creole	Creole, Amapá
ame	Yanesha'	Yanesha'
amf	Hamer-Banna	Hamer-Banna
amg	Amarag	Amarag
amh	Amharic	Amharic
ami	Amis	Amis
amj	Amdang	Amdang
amk	Ambai	Ambai
aml	War	War
amm	Ama (Papua New Guinea)	Ama (Papua New Guinea)
amn	Amanab	Amanab
amo	Amo	Amo
amp	Alamblak	Alamblak
amq	Amahai	Amahai
amr	Amarakaeri	Amarakaeri
ams	Southern Amami-Oshima	Amami-Oshima, Southern
amt	Amto	Amto
amu	Guerrero Amuzgo	Amuzgo, Guerrero
amv	Ambelau	Ambelau
amw	Western Neo-Aramaic	Neo-Aramaic, Western
amx	Anmatyerre	Anmatyerre
amy	Ami	Ami
amz	Atampaya	Atampaya
ana	Andaqui	Andaqui
anb	Andoa	Andoa
anc	Ngas	Ngas
and	Ansus	Ansus
ane	Xârâcùù	Xârâcùù
anf	Animere	Animere
ang	Old English (ca. 450-1100)	English, Old (ca. 450-1100)
anh	Nend	Nend
ani	Andi	Andi
anj	Anor	Anor
ank	Goemai	Goemai
anl	Anu	Anu
anm	Anal	Anal
ann	Obolo	Obolo
ano	Andoque	Andoque
anp	Angika	Angika
anq	Jarawa (India)	Jarawa (India)
anr	Andh	Andh
ans	Anserma	Anserma
ant	Antakarinya	Antakarinya
anu	Anuak	Anuak
anv	Denya	Denya
anw	Anaang	Anaang
anx	Andra-Hus	Andra-Hus
any	Anyin	Anyin
anz	Anem	Anem
aoa	Angolar	Angolar
aob	Abom	Abom
aoc	Pemon	Pemon
aod	Andarum	Andarum
aoe	Angal Enen	Angal Enen
aof	Bragat	Bragat
aog	Angoram	Angoram
aoh	Arma	Arma
aoi	Anindilyakwa	Anindilyakwa
aoj	Mufian	Mufian
aok	Arhö	Arhö
aol	Alor	Alor
aom	Ömie	Ömie
aon	Bumbita Arapesh	Arapesh, Bumbita
aor	Aore	Aore
aos	Taikat	Taikat
aot	A'tong	A'tong
aox	Atorada	Atorada
aoz	Uab Meto	Uab Meto
apb	Sa'a	Sa'a
apc	North Levantine Arabic	Arabic, North Levantine
apd	Sudanese Arabic	Arabic, Sudanese
ape	Bukiyip	Bukiyip
apg	Ampanang	Ampanang
aph	Athpariya	Athpariya
api	Apiacá	Apiacá
apj	Jicarilla Apache	Apache, Jicarilla
apk	Kiowa Apache	Apache, Kiowa
apl	Lipan Apache	Apache, Lipan
apm	Mescalero-Chiricahua Apache	Apache, Mescalero-Chiricahua
apn	Apinayé	Apinayé
apo	Apalik	Apalik
app	Apma	Apma
apq	A-Pucikwar	A-Pucikwar
apr	Arop-Lukep	Arop-Lukep
aps	Arop-Sissano	Arop-Sissano
apt	Apatani	Apatani
apu	Apurinã	Apurinã
apw	Western Apache	Apache, Western
apx	Aputai	Aputai
apy	Apalaí	Apalaí
apz	Safeyoka	Safeyoka
aqc	Archi	Archi
aqg	Arigidi	Arigidi
aqm	Atohwaim	Atohwaim
aqn	Northern Alta	Alta, Northern
aqp	Atakapa	Atakapa
aqr	Arhâ	Arhâ
ara	Arabic	Arabic
arb	Standard Arabic	Arabic, Standard
arc	Aramaic	Aramaic
ard	Arabana	Arabana
are	Western Arrarnta	Arrarnta, Western
arf	Arafundi	Arafundi
arg	Aragonese	Aragonese
arh	Arhuaco	Arhuaco
ari	Arikara	Arikara
arj	Arapaso	Arapaso
ark	Arikapú	Arikapú
arl	Arabela	Arabela
arn	Mapudungun	Mapudungun
arn	Mapuche	Mapuche
aro	Araona	Araona
arp	Arapaho	Arapaho
arq	Algerian Arabic	Arabic, Algerian
arr	Karo (Brazil)	Karo (Brazil)
ars	Najdi Arabic	Arabic, Najdi
aru	Arua	Arua
arv	Arbore	Arbore
arw	Arawak	Arawak
arx	Aruá	Aruá
ary	Moroccan Arabic	Arabic, Moroccan
arz	Egyptian Arabic	Arabic, Egyptian
asa	Asu (Tanzania)	Asu (Tanzania)
asb	Assiniboine	Assiniboine
asc	Casuarina Coast Asmat	Asmat, Casuarina Coast
asd	Asas	Asas
ase	American Sign Language	American Sign Language
asf	Australian Sign Language	Australian Sign Language
asg	Cishingini	Cishingini
ash	Abishira	Abishira
asi	Buruwai	Buruwai
asj	Nsari	Nsari
ask	Ashkun	Ashkun
asl	Asilulu	Asilulu
asm	Assamese	Assamese
asn	Xingú Asuriní	Asuriní, Xingú
aso	Dano	Dano
asp	Algerian Sign Language	Algerian Sign Language
asq	Austrian Sign Language	Austrian Sign Language
asr	Asuri	Asuri
ass	Ipulo	Ipulo
ast	Asturleonese	Asturleonese
ast	Bable	Bable
ast	Leonese	Leonese
ast	Asturian	Asturian
asu	Asuriní	Asuriní
asv	Asoa	Asoa
asw	Australian Aborigines Sign Language	Australian Aborigines Sign Language
asx	Muratayak	Muratayak
asy	Yaosakor Asmat	Asmat, Yaosakor
asz	As	As
ata	Pele-Ata	Pele-Ata
atb	Zaiwa	Zaiwa
atc	Atsahuaca	Atsahuaca
atd	Ata Manobo	Manobo, Ata
ate	Atemble	Atemble
atf	Atuence	Atuence
atg	Ivbie North-Okpela-Arhe	Ivbie North-Okpela-Arhe
ati	Attié	Attié
atj	Atikamekw	Atikamekw
atk	Ati	Ati
atl	Mt. Iraya Agta	Agta, Mt. Iraya
atm	Ata	Ata
atn	Ashtiani	Ashtiani
ato	Atong	Atong
atp	Pudtol Atta	Atta, Pudtol
atq	Aralle-Tabulahan	Aralle-Tabulahan
atr	Atruahí	Atruahí
ats	Gros Ventre	Gros Ventre
att	Pamplona Atta	Atta, Pamplona
atu	Reel	Reel
atv	Northern Altai	Altai, Northern
atw	Atsugewi	Atsugewi
atx	Arutani	Arutani
aty	Aneityum	Aneityum
atz	Arta	Arta
aua	Asumboa	Asumboa
auc	Waorani	Waorani
aud	Anuta	Anuta
aue	=/Kx'au//'ein	=/Kx'au//'ein
aug	Aguna	Aguna
auh	Aushi	Aushi
aui	Anuki	Anuki
auj	Awjilah	Awjilah
auk	Heyo	Heyo
aul	Aulua	Aulua
aum	Asu (Nigeria)	Asu (Nigeria)
aun	Molmo One	One, Molmo
auo	Auyokawa	Auyokawa
aup	Makayam	Makayam
auq	Anus	Anus
aur	Aruek	Aruek
aut	Austral	Austral
auu	Auye	Auye
auv	Auvergnat	Auvergnat
auw	Awyi	Awyi
aux	Aurá	Aurá
auy	Awiyaana	Awiyaana
auz	Uzbeki Arabic	Arabic, Uzbeki
ava	Avaric	Avaric
avb	Avau	Avau
avd	Alviri-Vidari	Alviri-Vidari
ave	Avestan	Avestan
avi	Avikam	Avikam
avl	Eastern Egyptian Bedawi Arabic	Arabic, Eastern Egyptian Bedawi
avn	Avatime	Avatime
avo	Agavotaguerra	Agavotaguerra
avs	Aushiri	Aushiri
avt	Au	Au
avu	Avokaya	Avokaya
avv	Avá-Canoeiro	Avá-Canoeiro
awa	Awadhi	Awadhi
awb	Awa	Awa
awc	Western Acipa	Acipa, Western
awe	Awetí	Awetí
awh	Awbono	Awbono
awi	Aekyom	Aekyom
awk	Awabakal	Awabakal
awm	Arawum	Arawum
awn	Awngi	Awngi
awo	Awak	Awak
awr	Awera	Awera
aws	South Awyu	Awyu, South
awt	Araweté	Araweté
awu	Central Awyu	Awyu, Central
awv	Jair Awyu	Awyu, Jair
aww	Awun	Awun
awx	Awara	Awara
awy	Edera Awyu	Awyu, Edera
axb	Abipon	Abipon
axg	Mato Grosso Arára	Arára, Mato Grosso
axk	Yaka (Central African Republic)	Yaka (Central African Republic)
axm	Middle Armenian	Armenian, Middle
axx	Xaragure	Xaragure
aya	Awar	Awar
ayb	Ayizo Gbe	Gbe, Ayizo
ayc	Southern Aymara	Aymara, Southern
ayd	Ayabadhu	Ayabadhu
aye	Ayere	Ayere
ayg	Ginyanga	Ginyanga
ayh	Hadrami Arabic	Arabic, Hadrami
ayi	Leyigha	Leyigha
ayk	Akuku	Akuku
ayl	Libyan Arabic	Arabic, Libyan
aym	Aymara	Aymara
ayn	Sanaani Arabic	Arabic, Sanaani
ayo	Ayoreo	Ayoreo
ayp	North Mesopotamian Arabic	Arabic, North Mesopotamian
ayq	Ayi (Papua New Guinea)	Ayi (Papua New Guinea)
ayr	Central Aymara	Aymara, Central
ays	Sorsogon Ayta	Ayta, Sorsogon
ayt	Bataan Ayta	Ayta, Bataan
ayu	Ayu	Ayu
ayx	Ayi (China)	Ayi (China)
ayy	Tayabas Ayta	Ayta, Tayabas
ayz	Mai Brat	Mai Brat
azb	South Azerbaijani	Azerbaijani, South
aze	Azerbaijani	Azerbaijani
azg	San Pedro Amuzgos Amuzgo	Amuzgo, San Pedro Amuzgos
azj	North Azerbaijani	Azerbaijani, North
azm	Ipalapa Amuzgo	Amuzgo, Ipalapa
azo	Awing	Awing
azr	Adzera	Adzera
azt	Faire Atta	Atta, Faire
azz	Highland Puebla Nahuatl	Nahuatl, Highland Puebla
baa	Babatana	Babatana
bab	Bainouk-Gunyuño	Bainouk-Gunyuño
bac	Badui	Badui
bae	Baré	Baré
baf	Nubaca	Nubaca
bag	Tuki	Tuki
bah	Bahamas Creole English	Creole English, Bahamas
baj	Barakai	Barakai
bak	Bashkir	Bashkir
bal	Baluchi	Baluchi
bam	Bambara	Bambara
ban	Balinese	Balinese
bao	Waimaha	Waimaha
bap	Bantawa	Bantawa
bar	Bavarian	Bavarian
bas	Basa (Cameroon)	Basa (Cameroon)
bau	Bada (Nigeria)	Bada (Nigeria)
bav	Vengo	Vengo
baw	Bambili-Bambui	Bambili-Bambui
bax	Bamun	Bamun
bay	Batuley	Batuley
baz	Tunen	Tunen
bba	Baatonum	Baatonum
bbb	Barai	Barai
bbc	Batak Toba	Batak Toba
bbd	Bau	Bau
bbe	Bangba	Bangba
bbf	Baibai	Baibai
bbg	Barama	Barama
bbh	Bugan	Bugan
bbi	Barombi	Barombi
bbj	Ghomálá'	Ghomálá'
bbk	Babanki	Babanki
bbl	Bats	Bats
bbm	Babango	Babango
bbn	Uneapa	Uneapa
bbo	Northern Bobo Madaré	Bobo Madaré, Northern
bbp	West Central Banda	Banda, West Central
bbq	Bamali	Bamali
bbr	Girawa	Girawa
bbs	Bakpinka	Bakpinka
bbt	Mburku	Mburku
bbu	Kulung (Nigeria)	Kulung (Nigeria)
bbv	Karnai	Karnai
bbw	Baba	Baba
bbx	Bubia	Bubia
bby	Befang	Befang
bbz	Babalia Creole Arabic	Creole Arabic, Babalia
bca	Central Bai	Bai, Central
bcb	Bainouk-Samik	Bainouk-Samik
bcc	Southern Balochi	Balochi, Southern
bcd	North Babar	Babar, North
bce	Bamenyam	Bamenyam
bcf	Bamu	Bamu
bcg	Baga Binari	Baga Binari
bch	Bariai	Bariai
bci	Baoulé	Baoulé
bcj	Bardi	Bardi
bck	Bunaba	Bunaba
bcl	Central Bicolano	Bicolano, Central
bcm	Bannoni	Bannoni
bcn	Bali (Nigeria)	Bali (Nigeria)
bco	Kaluli	Kaluli
bcp	Bali (Democratic Republic of Congo)	Bali (Democratic Republic of Congo)
bcq	Bench	Bench
bcr	Babine	Babine
bcs	Kohumono	Kohumono
bct	Bendi	Bendi
bcu	Awad Bing	Awad Bing
bcv	Shoo-Minda-Nye	Shoo-Minda-Nye
bcw	Bana	Bana
bcx	Pamona	Pamona
bcy	Bacama	Bacama
bcz	Bainouk-Gunyaamolo	Bainouk-Gunyaamolo
bda	Bayot	Bayot
bdb	Basap	Basap
bdc	Emberá-Baudó	Emberá-Baudó
bdd	Bunama	Bunama
bde	Bade	Bade
bdg	Bonggi	Bonggi
bdh	Baka (Sudan)	Baka (Sudan)
bdi	Burun	Burun
bdj	Bai	Bai
bdk	Budukh	Budukh
bdl	Indonesian Bajau	Bajau, Indonesian
bdm	Buduma	Buduma
bdn	Baldemu	Baldemu
bdo	Bernde	Bernde
bdp	Bende	Bende
bdq	Bahnar	Bahnar
bdr	West Coast Bajau	Bajau, West Coast
bds	Burunge	Burunge
bdt	Bokoto	Bokoto
bdu	Oroko	Oroko
bdv	Bodo Parja	Bodo Parja
bdw	Baham	Baham
bdx	Budong-Budong	Budong-Budong
bdy	Bandjalang	Bandjalang
bdz	Badeshi	Badeshi
bea	Beaver	Beaver
beb	Bebele	Bebele
bec	Iceve-Maci	Iceve-Maci
bed	Bedoanas	Bedoanas
bee	Byangsi	Byangsi
bef	Benabena	Benabena
beg	Belait	Belait
beh	Biali	Biali
bei	Bekati'	Bekati'
bej	Beja	Beja
bek	Bebeli	Bebeli
bel	Belarusian	Belarusian
bem	Bemba (Zambia)	Bemba (Zambia)
ben	Bengali	Bengali
beo	Beami	Beami
bep	Besoa	Besoa
beq	Beembe	Beembe
bes	Besme	Besme
bet	Guiberoua Béte	Béte, Guiberoua
beu	Blagar	Blagar
bev	Daloa Bété	Bété, Daloa
bew	Betawi	Betawi
bex	Jur Modo	Jur Modo
bey	Beli (Papua New Guinea)	Beli (Papua New Guinea)
bez	Bena (Tanzania)	Bena (Tanzania)
bfa	Bari	Bari
bfb	Pauri Bareli	Bareli, Pauri
bfc	Northern Bai	Bai, Northern
bfd	Bafut	Bafut
bfe	Betaf	Betaf
bff	Bofi	Bofi
bfg	Busang Kayan	Kayan, Busang
bfh	Blafe	Blafe
bfi	British Sign Language	British Sign Language
bfj	Bafanji	Bafanji
bfk	Ban Khor Sign Language	Ban Khor Sign Language
bfl	Banda-Ndélé	Banda-Ndélé
bfm	Mmen	Mmen
bfn	Bunak	Bunak
bfo	Malba Birifor	Birifor, Malba
bfp	Beba	Beba
bfq	Badaga	Badaga
bfr	Bazigar	Bazigar
bfs	Southern Bai	Bai, Southern
bft	Balti	Balti
bfu	Gahri	Gahri
bfw	Bondo	Bondo
bfy	Bagheli	Bagheli
bfz	Mahasu Pahari	Pahari, Mahasu
bga	Gwamhi-Wuri	Gwamhi-Wuri
bgb	Bobongko	Bobongko
bgc	Haryanvi	Haryanvi
bgd	Rathwi Bareli	Bareli, Rathwi
bge	Bauria	Bauria
bgf	Bangandu	Bangandu
bgg	Bugun	Bugun
bgh	Bogan	Bogan
bgi	Giangan	Giangan
bgj	Bangolan	Bangolan
bgk	Bit	Bit
bgl	Bo (Laos)	Bo (Laos)
bgm	Baga Mboteni	Baga Mboteni
bgn	Western Balochi	Balochi, Western
bgo	Baga Koga	Baga Koga
bgp	Eastern Balochi	Balochi, Eastern
bgq	Bagri	Bagri
bgr	Bawm Chin	Chin, Bawm
bgs	Tagabawa	Tagabawa
bgt	Bughotu	Bughotu
bgu	Mbongno	Mbongno
bgv	Warkay-Bipim	Warkay-Bipim
bgw	Bhatri	Bhatri
bgx	Balkan Gagauz Turkish	Turkish, Balkan Gagauz
bgy	Benggoi	Benggoi
bgz	Banggai	Banggai
bha	Bharia	Bharia
bhb	Bhili	Bhili
bhc	Biga	Biga
bhd	Bhadrawahi	Bhadrawahi
bhe	Bhaya	Bhaya
bhf	Odiai	Odiai
bhg	Binandere	Binandere
bhh	Bukharic	Bukharic
bhi	Bhilali	Bhilali
bhj	Bahing	Bahing
bhk	Albay Bicolano	Bicolano, Albay
bhl	Bimin	Bimin
bhm	Bathari	Bathari
bhn	Bohtan Neo-Aramaic	Neo-Aramaic, Bohtan
bho	Bhojpuri	Bhojpuri
bhp	Bima	Bima
bhq	Tukang Besi South	Tukang Besi South
bhr	Bara Malagasy	Malagasy, Bara
bhs	Buwal	Buwal
bht	Bhattiyali	Bhattiyali
bhu	Bhunjia	Bhunjia
bhv	Bahau	Bahau
bhw	Biak	Biak
bhx	Bhalay	Bhalay
bhy	Bhele	Bhele
bhz	Bada (Indonesia)	Bada (Indonesia)
bia	Badimaya	Badimaya
bib	Bissa	Bissa
bic	Bikaru	Bikaru
bid	Bidiyo	Bidiyo
bie	Bepour	Bepour
bif	Biafada	Biafada
big	Biangai	Biangai
bii	Bisu	Bisu
bij	Vaghat-Ya-Bijim-Legeri	Vaghat-Ya-Bijim-Legeri
bik	Bikol	Bikol
bil	Bile	Bile
bim	Bimoba	Bimoba
bin	Bini	Bini
bin	Edo	Edo
bio	Nai	Nai
bip	Bila	Bila
biq	Bipi	Bipi
bir	Bisorio	Bisorio
bis	Bislama	Bislama
bit	Berinomo	Berinomo
biu	Biete	Biete
biv	Southern Birifor	Birifor, Southern
biw	Kol (Cameroon)	Kol (Cameroon)
bix	Bijori	Bijori
biy	Birhor	Birhor
biz	Baloi	Baloi
bja	Budza	Budza
bjb	Banggarla	Banggarla
bjc	Bariji	Bariji
bjd	Bandjigali	Bandjigali
bje	Biao-Jiao Mien	Mien, Biao-Jiao
bjf	Barzani Jewish Neo-Aramaic	Neo-Aramaic, Barzani Jewish
bjg	Bidyogo	Bidyogo
bjh	Bahinemo	Bahinemo
bji	Burji	Burji
bjj	Kanauji	Kanauji
bjk	Barok	Barok
bjl	Bulu (Papua New Guinea)	Bulu (Papua New Guinea)
bjm	Bajelani	Bajelani
bjn	Banjar	Banjar
bjo	Mid-Southern Banda	Banda, Mid-Southern
bjq	Southern Betsimisaraka Malagasy	Malagasy, Southern Betsimisaraka
bjr	Binumarien	Binumarien
bjs	Bajan	Bajan
bjt	Balanta-Ganja	Balanta-Ganja
bju	Busuu	Busuu
bjv	Bedjond	Bedjond
bjw	Bakwé	Bakwé
bjx	Banao Itneg	Itneg, Banao
bjy	Bayali	Bayali
bjz	Baruga	Baruga
bka	Kyak	Kyak
bkb	Finallig	Finallig
bkc	Baka (Cameroon)	Baka (Cameroon)
bkd	Binukid	Binukid
bke	Bengkulu	Bengkulu
bkf	Beeke	Beeke
bkg	Buraka	Buraka
bkh	Bakoko	Bakoko
bki	Baki	Baki
bkj	Pande	Pande
bkk	Brokskat	Brokskat
bkl	Berik	Berik
bkm	Kom (Cameroon)	Kom (Cameroon)
bkn	Bukitan	Bukitan
bko	Kwa'	Kwa'
bkp	Boko (Democratic Republic of Congo)	Boko (Democratic Republic of Congo)
bkq	Bakairí	Bakairí
bkr	Bakumpai	Bakumpai
bks	Masbate Sorsogon	Sorsogon, Masbate
bkt	Boloki	Boloki
bku	Buhid	Buhid
bkv	Bekwarra	Bekwarra
bkw	Bekwil	Bekwil
bkx	Baikeno	Baikeno
bky	Bokyi	Bokyi
bkz	Bungku	Bungku
bla	Siksika	Siksika
blb	Bilua	Bilua
blc	Bella Coola	Bella Coola
bld	Bolango	Bolango
ble	Balanta-Kentohe	Balanta-Kentohe
blf	Buol	Buol
blg	Balau	Balau
blh	Kuwaa	Kuwaa
bli	Bolia	Bolia
blj	Bolongan	Bolongan
blk	Pa'o Karen	Karen, Pa'o
bll	Biloxi	Biloxi
blm	Beli (Sudan)	Beli (Sudan)
bln	Southern Catanduanes Bicolano	Bicolano, Southern Catanduanes
blo	Anii	Anii
blp	Blablanga	Blablanga
blq	Baluan-Pam	Baluan-Pam
blr	Blang	Blang
bls	Balaesang	Balaesang
blt	Tai Dam	Tai Dam
blu	Hmong Njua	Hmong Njua
blv	Bolo	Bolo
blw	Balangao	Balangao
blx	Mag-Indi Ayta	Ayta, Mag-Indi
bly	Notre	Notre
blz	Balantak	Balantak
bma	Lame	Lame
bmb	Bembe	Bembe
bmc	Biem	Biem
bmd	Baga Manduri	Manduri, Baga
bme	Limassa	Limassa
bmf	Bom	Bom
bmg	Bamwe	Bamwe
bmh	Kein	Kein
bmi	Bagirmi	Bagirmi
bmj	Bote-Majhi	Bote-Majhi
bmk	Ghayavi	Ghayavi
bml	Bomboli	Bomboli
bmm	Northern Betsimisaraka Malagasy	Malagasy, Northern Betsimisaraka
bmn	Bina (Papua New Guinea)	Bina (Papua New Guinea)
bmo	Bambalang	Bambalang
bmp	Bulgebi	Bulgebi
bmq	Bomu	Bomu
bmr	Muinane	Muinane
bms	Bilma Kanuri	Kanuri, Bilma
bmt	Biao Mon	Biao Mon
bmu	Burum-Mindik	Burum-Mindik
