#Lcode	LanguageName	Status	Scode	ScriptName	References
bfy	Bagheli	primary	Deva	Devanagari	
bg	Bulgarian	primary	Cyrl	Cyrillic	
bgx	Balkan Gagauz Turkish	primary	Grek	Greek	
bhb	Bhili	primary	Deva	Devanagari	
bho	Bhojpuri	primary	Deva	Devanagari	
bi	Bislama	primary	Latn	Latin	
bik	Bikol	primary	Latn	Latin	Macrolanguage with 7 members; may use Latin if anything
bin	Edo	primary	Latn	Latin	
bjj	Kanauji	primary	Deva	Devanagari	
bkm	Kom	primary	Latn	Latin	
bku	Buhid	primary	Latn	Latin	
bku	Buhid	secondary	Buhd	Buhid	
bla	Siksika	primary	Latn	Latin	
blt	Tai Dam	primary	Tavt	Tai Viet	
bm	Bambara	primary	Latn	Latin	
bmq	Bomu	primary	Latn	Latin	
bn	Bengali	primary	Beng	Bengali	
bo	Tibetan	primary	Tibt	Tibetan	
bqv	Begbere-Ejar	primary	Latn	Latin	
br	Breton	primary	Latn	Latin	
bra	Braj	primary	Deva	Devanagari	http://www.ethnologue.com/14/show_lang_family.asp?code=BFS (Braj = Bhasha)
brx	Bodo	primary	Deva	Devanagari	
bs	Bosnian	primary	Cyrl	Cyrillic	
bs	Bosnian	primary	Latn	Latin	
bsq	Bassa	primary	Bass	Bassa Vah	
bss	Akoose	primary	Latn	Latin	
bto	Rinconada Bikol	primary	Latn	Latin	
btv	Bateri	primary	Deva	Devanagari	
bua	Buriat	primary	Cyrl	Cyrillic	Macrolanguage - see bxr
buc	Bushi	primary	Latn	Latin	
bug	Buginese	primary	Latn	Latin	
bug	Buginese	secondary	Bugi	Buginese	
bum	Bulu	primary	Latn	Latin	
bvb	Bube	primary	Latn	Latin	
bya	Batak	primary	Latn	Latin	
byn	Blin	primary	Ethi	Ethiopic	
byv	Medumba	primary	Latn	Latin	
bze	Jenaama Bozo	primary	Latn	Latin	
bzx	Kelengaxo Bozo	primary	Latn	Latin	not written with any script. Other Bozo langs use Latn
ca	Catalan	primary	Latn	Latin	
cad	Caddo	primary	Latn	Latin	
car	Carib	primary	Latn	Latin	Population ~10k
cay	Cayuga	primary	Latn	Latin	
cch	Atsam	primary	Latn	Latin	
ccp	Chakma	primary	Beng	Bengali	
ccp	Chakma	secondary	Cakm	Chakma	Chakma script not yet encoded; ISO15924 = Cakm
ce	Chechen	primary	Cyrl	Cyrillic	
ceb	Cebuano	primary	Latn	Latin	
cgg	Chiga	primary	Latn	Latin	
ch	Chamorro	primary	Latn	Latin	
chk	Chuukese	primary	Latn	Latin	
chm	Mari	primary	Cyrl	Cyrillic	
chn	Chinook Jargon	secondary	Latn	Latin	Moribund
cho	Choctaw	primary	Latn	Latin	
chp	Chipewyan	primary	Latn	Latin	
chp	Chipewyan	secondary	Cans	Unified Canadian Aboriginal Syllabics	"According to Ken Whistler, 2ndary"
chr	Cherokee	primary	Cher	Cherokee	
chy	Cheyenne	primary	Latn	Latin	
cja	Western Cham	primary	Arab	Arabic	"Primary for W.Cham is Arabic; mostly Muslim pop. Headley, Robert K. 1991. ""The Phonology of Kompong Thom Cham"" in Austroasiatic languages: essays in honour of H.L. Shorto By Jeremy H. C. S. Davidson, H. L. Shorto. London: SOAS."
cja	Western Cham	secondary	Cham	Cham	
cjm	Eastern Cham	primary	Cham	Cham	
cjm	Eastern Cham	secondary	Arab	Arabic	Arabic script seems to be for religious use only
cjs	Shor	primary	Cyrl	Cyrillic	
ckb	Central Kurdish	primary	Arab	Arabic	www.amar.org.ir
ckt	Chukot	primary	Cyrl	Cyrillic	http://www.ethnologue.com/show_language.asp?code=ckt = Chukchi
co	Corsican	primary	Latn	Latin	
cop	Coptic	secondary	Arab	Arabic	
cop	Coptic	secondary	Copt	Coptic	
cop	Coptic	secondary	Grek	Greek	
cr	Cree	primary	Latn	Latin	
cr	Cree	primary	Cans	Unified Canadian Aboriginal Syllabics	
crh	Crimean Turkish	primary	Cyrl	Cyrillic	
crj	Southern East Cree	primary	Cans	Unified Canadian Aboriginal Syllabics	"Cree dialects, except for those spoken in eastern Quebec and Labrador, are traditionally written using Cree syllabics, a variant of Canadian Aboriginal syllabics, but can be written with the Latin script as well."
crj	Southern East Cree	secondary	Latn	Latin	
crk	Plains Cree	primary	Cans	Unified Canadian Aboriginal Syllabics	
crl	Northern East Cree	primary	Cans	Unified Canadian Aboriginal Syllabics	"Cree dialects, except for those spoken in eastern Quebec and Labrador, are traditionally written using Cree syllabics, a variant of Canadian Aboriginal syllabics, but can be written with the Latin script as well."
crl	Northern East Cree	secondary	Latn	Latin	
crm	Moose Cree	primary	Cans	Unified Canadian Aboriginal Syllabics	
cs	Czech	primary	Latn	Latin	
csb	Kashubian	secondary	Latn	Latin	Moribund
csw	Swampy Cree	primary	Cans	Unified Canadian Aboriginal Syllabics	
ctd	Tedim Chin	secondary	Pauc	Pau Cin Hau	
cu	Church Slavonic	secondary	Cyrl	Cyrillic	
cv	Chuvash	primary	Cyrl	Cyrillic	
cy	Welsh	primary	Latn	Latin	
da	Danish	primary	Latn	Latin	
dak	Dakota	primary	Latn	Latin	
dar	Dargwa	primary	Cyrl	Cyrillic	
dav	Taita	primary	Latn	Latin	
de	German	primary	Latn	Latin	
de	German	secondary	Runr	Runic	
del	Delaware	primary	Latn	Latin	
den	Slave	primary	Latn	Latin	
den	Slave	secondary	Cans	Unified Canadian Aboriginal Syllabics	
dgr	Dogrib	primary	Latn	Latin	
din	Dinka	primary	Latn	Latin	
dje	Zarma	primary	Latn	Latin	
dng	Dungan	primary	Cyrl	Cyrillic	
dnj	Dan	primary	Latn	Latin	
doi	Dogri	primary	Arab	Arabic	
doi	Dogri	secondary	Takr	Takri	
dsb	Lower Sorbian	primary	Latn	Latin	
dtm	Tomo Kan Dogon	primary	Latn	Latin	
dua	Duala	primary	Latn	Latin	"Pop 8700, Cameroon"
dv	Divehi	primary	Thaa	Thaana	
dyo	Jola-Fonyi	primary	Latn	Latin	
dyo	Jola-Fonyi	secondary	Arab	Arabic	
dyu	Dyula (Jula)	primary	Latn	Latin	
dz	Dzongkha	primary	Tibt	Tibetan	
ebu	Embu	primary	Latn	Latin	
ee	Ewe	primary	Latn	Latin	
efi	Efik	primary	Latn	Latin	
egy	Egyptian (Ancient)	secondary	Egyp	Egyptian hiero	
eka	Ekajuk	primary	Latn	Latin	
eky	Eastern Kayah	primary	Kali	Kayah Li	
el	Greek	primary	Grek	Greek	
en	English	primary	Latn	Latin	
en	English	secondary	Dsrt	Deseret	
en	English	secondary	Shaw	Shavian	
eo	Esperanto	primary	Latn	Latin	
es	Spanish	primary	Latn	Latin	
et	Estonian	primary	Latn	Latin	
ett	Etruscan	secondary	Latn Ital	Old Italic	
eu	Basque	primary	Latn	Latin	
evn	Evenki	primary	Cyrl	Cyrillic	
ewo	Ewondo	primary	Latn	Latin	
fa	Persian	primary	Arab	Arabic	
fan	Fang	primary	Latn	Latin	
ff	Fulah	primary	Latn	Latin	same as code FUL
fi	Finnish	primary	Latn	Latin	
fil	Filipino	primary	Latn	Latin	
fil	Tagalog	primary	Latn	Latin	
fil	Tagalog	primary	Latn	Latin	
fil	Filipino	secondary	Tglg	Tagalog	Mainly pre-colonial usage
fit	Tornedalen Finnish	primary	Latn	Latin	
fj	Fijian	primary	Latn	Latin	
fo	Faroese	primary	Latn	Latin	
fon	Fon	primary	Latn	Latin	http://www.geocities.com/fon_is_fun/
fr	French	primary	Latn	Latin	
fr	French	secondary	Dupl	Duployan shorthand	
frr	.	primary	Latn	Latin	
frs	.	primary	Latn	Latin	
fur	Friulian	primary	Latn	Latin	
fy	Western Frisian	primary	Latn	Latin	
ga	Irish	primary	Latn	Latin	
gaa	Ga	primary	Latn	Latin	
gag	Gagauz	primary	Latn	Latin	
gag	Gagauz	secondary	Cyrl	Cyrillic	
gay	Gayo	primary	Latn	Latin	"Indonesia, 180k"
gba	Gbaya	primary	Arab	Arabic	"Macrolanguage - probably most member langs use Arabic, if anything"
gbm	Garhwali	primary	Deva	Devanagari	
gcr	Guianese Creole French	primary	Latn	Latin	
gd	Scottish Gaelic	primary	Latn	Latin	
gez	Geez	secondary	Ethi	Ethiopic	
ggn	Eastern Gurung	primary	Deva	Devanagari	
ggn	Eastern Gurung	secondary	Latn	Latin	
gil	Gilbertese	primary	Latn	Latin	
gjk	Kachi Koli	primary	Arab	Arabic	
gju	Gujari	primary	Arab	Arabic	
gl	Galician	primary	Latn	Latin	
gld	Nanai	primary	Cyrl	Cyrillic	
gn	Guarani	primary	Latn	Latin	
gon	Gondi	primary	Deva	Devanagari	
gon	Gondi	primary	Telu	Telugu	
gor	Gorontalo	primary	Latn	Latin	
gos	Gronings	primary	Latn	Latin	
got	Gothic	secondary	Goth	Gothic	
grb	Grebo	primary	Latn	Latin	"Macrolanguage - probably most member langs use Latin, if anything"
grc	Greek (Ancient)	secondary	Grek Cprt Linb	"Greek, Cypriot, Linear B"	
grt	Garo	primary	Beng	Bengali	
gsw	Swiss German	primary	Latn	Latin	
gu	Gujarati	primary	Gujr	Gujarati	
gub	Guajajara	primary	Latn	Latin	
guz	Gusii	primary	Latn	Latin	
gv	Manx	primary	Latn	Latin	
gvr	Western Gurung	primary	Deva	Devanagari	
gwi	Gwich'in	primary	Latn	Latin	
ha	Hausa	primary	Arab	Arabic	
ha	Hausa	primary	Latn	Latin	
hai	Haida	primary	Latn	Latin	
haw	Hawaiian	primary	Latn	Latin	
he	Hebrew	primary	Hebr	Hebrew	
hi	Hindi	primary	Deva	Devanagari	
hi	Hindi	secondary	Mahj	Mahajani	
hil	Hiligaynon	primary	Latn	Latin	
hit	Hittite	secondary	Xsux	Cuneiform	
hmd	Large Flowery Miao	primary	Plrd	Pollard	
hmn	Hmong	primary	Latn	Latin	
hmn	Hmong	secondary	Hmng	Pahawh Hmong	
hnd	Southern Hindko	primary	Arab	Arabic	
hne	Chhattisgarhi	primary	Deva	Devanagari	
hnj	Hmong Njua	secondary	Hmng	Pahawh Hmong	
hnn	Hanunóo	primary	Latn	Latin	
hnn	Hanunóo	secondary	Hano	Hanunoo	
ho	Hiri Motu	primary	Latn	Latin	
hoc	Ho	primary	Deva	Devanagari	
hoc	Ho	secondary	Wara	Warang Citi	
hoc	Ho	secondary	Wara	Warang Citi	
hoj	Harauti	primary	Deva	Devanagari	
hop	Hopi	primary	Latn	Latin	
hr	Croatian	primary	Latn	Latin	
hsb	.	primary	Latn	Latin	
ht	Haitian	primary	Latn	Latin	
hu	Hungarian	primary	Latn	Latin	
hup	Hupa	primary	Latn	Latin	
hy	Armenian	primary	Armn	Armenian	
hz	Herero	primary	Latn	Latin	"May use Latin, if anything"
ia	Interlingua	secondary	Latn	Latin	
iba	Iban	primary	Latn	Latin	Malaysia
ibb	Ibibio	primary	Latn	Latin	
id	Indonesian	primary	Latn	Latin	
id	Indonesian	secondary	Arab	Arabic	
ig	Igbo	primary	Latn	Latin	
ii	Sichuan Yi	primary	Yiii	Yi	
ii	Sichuan Yi	secondary	Latn	Latin	
ik	Inupiaq	primary	Latn	Latin	
ilo	Iloko	primary	Latn	Latin	http://en.wikipedia.org/wiki/Ilokano_language
inh	Ingush	primary	Cyrl	Cyrillic	
inh	Ingush	secondary	Arab	Arabic	
inh	Ingush	secondary	Latn	Latin	
is	Icelandic	primary	Latn	Latin	
it	Italian	primary	Latn	Latin	
iu	Inuktitut	primary	Cans	Unified Canadian Aboriginal Syllabics	
iu	Inuktitut	secondary	Latn	Latin	
ja	Japanese	primary	Jpan	Jpan	
jgo	Ngomba	primary	Latn	Latin	
jmc	Machame	primary	Latn	Latin	
jml	Jumli	primary	Deva	Devanagari	
jpr	Judeo-Persian	primary	Hebr	Hebrew	http://www.jewishencyclopedia.com/view.jsp?artid=590&letter=J
jrb	Judeo-Arabic	primary	Hebr	Hebrew	http://en.wikipedia.org/wiki/Judeo-Arabic_languages
jv	Javanese	primary	Latn	Latin	
jv	Javanese	secondary	Java	Javanese	
ka	Georgian	primary	Geor	Georgian	
kaa	Kara-Kalpak	primary	Cyrl	Cyrillic	
kab	Kabyle	primary	Latn	Latin	http://www.ethnologue.com/show_language.asp?code=kab
kac	Kachin	primary	Latn	Latin	"Not an individual language, an ethnic cover term. See: http://www.ethnologue.com/14/show_iso639.asp?code=kac"
kaj	Jju	primary	Latn	Latin	
kam	Kamba	primary	Latn	Latin	
kao	Xaasongaxango	primary	Latn	Latin	
kbd	Kabardian	primary	Cyrl	Cyrillic	
kca	Khanty	primary	Cyrl	Cyrillic	
kcg	Tyap	primary	Latn	Latin	
kck	Kalanga	primary	Latn	Latin	
kde	Makonde	primary	Latn	Latin	
kdt	Kuy	primary	Thai	Thai	
kea	Kabuverdianu	primary	Latn	Latin	
kfo	Koro	primary	Latn	Latin	
kfr	Kachchi	primary	Deva	Devanagari	
kg	Kongo	primary	Latn	Latin	
kge	Komering	primary	Latn	Latin	"(Not specified in Ethnologue, but seems highly likely)"
kgp	Kaingang	primary	Latn	Latin	
kha	Khasi	primary	Latn	Latin	http://en.wikipedia.org/wiki/Khasi_language
kha	Khasi	secondary	Beng	Bengali	
khb	Tai Lue	primary	Talu	New Tai Lue	
khq	Koyra Chiini	primary	Latn	Latin	
kht	Khamti	primary	Mymr	Myanmar	
khw	Khowar	primary	Arab	Arabic	
ki	Kikuyu	primary	Latn	Latin	
kj	Kuanyama	primary	Latn	Latin	
kjg	Khmu	primary	Laoo	Lao	"Laoo, Latn or Duota.  Laoo proposed since Laos is principal country where Khmu is spoken.  Also a Keyman keyboard has been created for Khmu which uses Lao script."
kjg	Khmu	primary	Laoo	Lao	
kjh	Khakas	primary	Cyrl	Cyrillic	
kk	Kazakh	primary	Arab	Arabic	
kk	Kazakh	primary	Cyrl	Cyrillic	
kkj	Kako	primary	Latn	Latin	
kl	Kalaallisut	primary	Latn	Latin	
kln	Kalenjin	primary	Latn	Latin	
km	Khmer	primary	Khmr	Khmer	
kmb	Kimbundu	primary	Latn	Latin	
kn	Kannada	primary	Knda	Kannada	
ko	Korean	primary	Kore	Korean (Hangul+Han)	
koi	Komi-Permyak	primary	Cyrl	Cyrillic	
kok	Konkani	primary	Deva	Devanagari	
kos	Kosraean	primary	Latn	Latin	http://www.kosraelegislature.org/KSL%20Content/Journal/1st%20Regular%20Session/OpeningDay.9thKSL.pdf
kpe	Kpelle	primary	Latn	Latin	
kpy	Koryak	primary	Cyrl	Cyrillic	
kr	Kanuri	primary	Latn	Latin	
krc	Karachay-Balkar	primary	Cyrl	Cyrillic	
kri	Krio	primary	Latn	Latin	
krl	Karelian	primary	Latn	Latin	
kru	Kurukh	primary	Deva	Devanagari	
ks	Kashmiri	primary	Arab	Arabic	
ks	Kashmiri	primary	Deva	Devanagari	
ksb	Shambala	primary	Latn	Latin	
ksf	Bafia	primary	Latn	Latin	
ksh	Kölsch	primary	Latn	Latin	
ku	Kurdish	primary	Arab	Arabic	
ku	Kurdish	primary	Cyrl	Cyrillic	
ku	Kurdish	primary	Latn	Latin	
ku	Northern Kurdish	primary	Latn	Latin	www.amar.org.ir
kum	Kumyk	primary	Cyrl	Cyrillic	
kut	Kutenai	primary	Latn	Latin	
kv	Komi	primary	Cyrl	Cyrillic	
kv	Komi-Zyrian	primary	Cyrl	Cyrillic	
kv	Komi	secondary	Perm	Old Permic	
kvr	Kerinci	primary	Latn	Latin	
kvx	Parkari Koli	primary	Arab	Arabic	
kw	Cornish	primary	Latn	Latin	
kxp	Wadiyara Koli	primary	Arab	Arabic	
ky	Kirghiz	primary	Arab	Arabic	
ky	Kirghiz	primary	Cyrl	Cyrillic	
ky	Kirghiz	primary	Latn	Latin	
kyu	Western Kayah	primary	Kali	Kayah Li	
la	Latin	secondary	Latn	Latin	
lab	Linear A	secondary	Lina	Linear A	
lad	Ladino	primary	Hebr	Hebrew	
lag	Langi	primary	Latn	Latin	
lah	Lahnda	primary	Arab	Arabic	
lam	Lamba	primary	Latn	Latin	
lb	Luxembourgish	primary	Latn	Latin	
lbe	Lak	primary	Cyrl	Cyrillic	
lbw	Tolaki	primary	Latn	Latin	
lcp	Western Lawa	primary	Thai	Thai	
lep	Lepcha	primary	Lepc	Lepcha (Róng)	
lez	Lezghian	primary	Cyrl	Cyrillic	
lez	Lezgian	secondary	Aghb	Caucasian Albanian	
lg	Ganda	primary	Latn	Latin	
li	Limburgish	primary	Latn	Latin	
lif	Limbu	primary	Deva	Devanagari	
lif	Limbu	primary	Limb	Limbu	
lis	Lisu	primary	Lisu	Lisu	15924 code added recently
lki	Laki	primary	Arab	Arabic	www.amar.org.ir
lkt	Lakota	primary	Latn	Latin	
lmn	Lambadi	primary	Telu	Telugu	
lmo	Lombard	primary	Latn	Latin	"(Not specified in Ethnologue, but seems highly likely)"
ln	Lingala	primary	Latn	Latin	
lo	Lao	primary	Laoo	Lao	
lol	Mongo-Nkundu	primary	Latn	Latin	
loz	Lozi	primary	Latn	Latin	"Zambia, Zimbabwe"
lt	Lithuanian	primary	Latn	Latin	
lu	Luba-Batanga	primary	Latn	Latin	
lua	Luba-Lulua	primary	Latn	Latin	
lui	Luiseño	primary	Latn	Latin	
lun	Lunda	primary	Latn	Latin	Zambia
luo	Luo	primary	Latn	Latin	
lus	Lushai	primary	Beng	Bengali	"India (Manipur, Assam); probably use Bengali"
lut	Lushootseed	secondary	Latn	Latin	Moribund
luy	Luyia	primary	Latn	Latin	
luz	Southern Luri	primary	Arab	Arabic	"(Not specified in Ethnologue, but seems highly likely)"
lv	Latvian	primary	Latn	Latin	
lwl	Eastern Lawa	primary	Thai	Thai	
lzh	Phags-Pa	secondary	Phag	Phags-pa	
mad	Madurese	primary	Latn	Latin	
maf	Mafa	primary	Latn	Latin	
mag	Magahi	primary	Deva	Devanagari	
mai	Maithili	primary	Deva	Devanagari	
mai	Maithili	secondary	Tirh	Tirhuta	
mak	Makasar	primary	Latn	Latin	
mak	Makasar	secondary	Bugi	Buginese	
man	Mandingo	primary	Latn	Latin	
man	Eastern Maninkakan	primary	Nkoo	N'Ko	http://www.ethnologue.com/show_language.asp?code=emk
mas	Masai	primary	Latn	Latin	
maz	Central Mazahua	primary	Latn	Latin	
mdf	Moksha	primary	Cyrl	Cyrillic	
mdh	Maguindanao	primary	Latn	Latin	
mdr	Mandar	primary	Latn	Latin	
mdr	Mandar	secondary	Bugi	Buginese	
mdt	Mbere	primary	Latn	Latin	"not written with any script. No evidence of this language being written down; were it to be written down, Latn would probably be used."
men	Mende	primary	Latn	Latin	
men	Mende	secondary	Mend	Mende Kikakui	
mer	Meru	primary	Latn	Latin	
mfe	Morisyen	primary	Latn	Latin	
mg	Malagasy	primary	Latn	Latin	
mgh	Makhuwa-Meetto	primary	Latn	Latin	
mgo	Meta'	primary	Latn	Latin	
mgp	Eastern Magar	primary	Deva	Devanagari	Akkha or Deva.  Pandey: 'Devanagari is the regular script for writing Magar'
mgy	Mbunga	primary	Latn	Latin	"not written with any script. No evidence of this language being written down; were it to be written down, Latn would probably be used."
mgy	Mbunga	primary	Latn	Latin	
mh	Marshallese	primary	Latn	Latin	
mi	Maori	primary	Latn	Latin	
mic	Micmac	primary	Latn	Latin	
min	Minangkabau	primary	Latn	Latin	
mk	Macedonian	primary	Cyrl	Cyrillic	
ml	Malayalam	primary	Mlym	Malayalam	
mn	Mongolian	primary	Cyrl	Cyrillic	
mn	Mongolian	primary	Mong	Mongolian	
mn	Mongolian	secondary	Phag	Phags-pa	
mnc	Manchu	secondary	Mong	Mongolian	
mni	Manipuri	primary	Beng	Bengali	
mni	Manipuri	secondary	Mtei	Meitei Mayek	
mns	Mansi	primary	Cyrl	Cyrillic	
mnw	Mon	primary	Mymr	Myanmar	
moe	Montagnais	primary	Latn	Latin	
moh	Mohawk	primary	Latn	Latin	
mos	Mossi	primary	Latn	Latin	
mr	Marathi	primary	Deva	Devanagari	
mr	Marathi	secondary	Modi	Modi	
mrd	Western Magar	primary	Deva	Devanagari	
mrj	Western Mari	primary	Cyrl	Cyrillic	
mru	Mru	secondary	Mroo	Mro	
ms	Malay	primary	Arab	Arabic	
ms	Malay	primary	Latn	Latin	
mt	Maltese	primary	Latn	Latin	
mua	Mundang	primary	Latn	Latin	
mus	Creek	primary	Latn	Latin	
mvy	Indus Kohistani	primary	Arab	Arabic	
mwk	Kita Maninkakan	primary	Latn	Latin	(Not specified in Ethnologue but seems highly likely: Keyman keyboard exists)
mwl	Mirandese	primary	Latn	Latin	
mwr	Marwari	primary	Deva	Devanagari	
mxc	Manyika	primary	Latn	Latin	
my	Burmese	primary	Mymr	Myanmar	
myv	Erzya	primary	Cyrl	Cyrillic	http://www.ethnologue.com/show_language.asp?code=myv = Mordvin
myz	Classical Mandaic	secondary	Mand	Mandaean	
na	Nauru	primary	Latn	Latin	
nap	Neapolitan	primary	Latn	Latin	
naq	Nama	primary	Latn	Latin	
nb	Norwegian Bokmäl	primary	Latn	Latin	
nch	Central Huasteca Nahuatl	primary	Latn	Latin	
nd	North Ndebele	primary	Latn	Latin	
nds	.	primary	Latn	Latin	
ne	Nepali	primary	Deva	Devanagari	
new	Newari	primary	Deva	Devanagari	
ng	Ndonga	primary	Latn	Latin	
nhe	Eastern Huasteca Nahuatl	primary	Latn	Latin	
nhw	Western Huasteca Nahuatl	primary	Latn	Latin	
nia	Nias	primary	Latn	Latin	"Indonesia, 480k"
nij	Ngaju	primary	Latn	Latin	
niu	Niuean	primary	Latn	Latin	
nl	Dutch	primary	Latn	Latin	
nmg	Kwasio	primary	Latn	Latin	
nn	Norwegian Nynorsk	primary	Latn	Latin	
nnh	Ngiemboon	primary	Latn	Latin	
nod	Northern Thai	primary	Lana	Lanna	
nog	Nogai	primary	Cyrl	Cyrillic	
non	Old Norse	secondary	Runr	Runic	
nqo	N'Ko	primary	Nkoo	N'Ko	
nr	South Ndebele	primary	Latn	Latin	
nsk	Naskapi	primary	Cans	Unified Canadian Aboriginal Syllabics	Cans appears to be used to teach Naskapi in schools.
nsk	Naskapi	secondary	Latn	Latin	
nso	Northern Sotho	primary	Latn	Latin	
nus	Nuer	primary	Latn	Latin	
nv	Navajo	primary	Latn	Latin	
nxq	Naxi	primary	Latn	Latin	"It can be written with either Latn or Naxi Dongba.  Latn appears to be the generally used script, Naxi Dongba only being used for religious purposes."
ny	Nyanja; Chichewa; Chewa	primary	Latn	Latin	
nym	Nyamwezi	primary	Latn	Latin	
nyn	Nyankole	primary	Latn	Latin	
nyo	Nyoro	primary	Latn	Latin	
nzi	Nzima	primary	Latn	Latin	Ghana
oc	Occitan (post 1500); Provençal	primary	Latn	Latin	"(Includes former Gascon, gsc)"
oj	Ojibwa	primary	Cans	Unified Canadian Aboriginal Syllabics	
oj	Ojibwa	secondary	Latn	Latin	
om	Oromo	primary	Latn	Latin	
om	Oromo	secondary	Ethi	Ethiopic	
or	Oriya	primary	Orya	Oriya	
os	Ossetic	primary	Cyrl	Cyrillic	
osa	Osage	primary	Latn	Latin	
osc	Oscan	secondary	Latn Ital	"Latin, Old Italic"	
otk	Old Turkic	secondary	Orkh	Orkhon	
pa	Punjabi	primary	Arab	Arabic	
pa	Punjabi	primary	Guru	Gurmukhi	
pag	Pangasinan	primary	Latn	Latin	http://en.wikipedia.org/wiki/Pangasinan_language
pal	Pahlavi	secondary	Phlp	Psalter Pahlavi	
pal	Pahlavi	secondary	Phli	Inscriptional Pahlavi	
pam	Pampangan	primary	Latn	Latin	
pap	Papiamento	primary	Latn	Latin	http://www.geographia.com/bonaire/bonpap01.htm
pau	Palauan	primary	Latn	Latin	
pcm	Nigerian Pidgin	primary	Latn	Latin	
peo	Old Persian	secondary	Xpeo	Old Persian	
phn	Phoenician	secondary	Phnx	Phoenician	
pi	Pali	secondary	Deva	Devanagari	
pi	Pali	secondary	Sinh	Sinhala	
pi	Pali	secondary	Thai	Thai	
pko	Pokoot	primary	Latn	Latin	
pl	Polish	primary	Latn	Latin	
pon	Pohnpeian	primary	Latn	Latin	http://en.wikipedia.org/wiki/Pohnpei
prd	Parsi-Dari	primary	Arab	Arabic	
prg	Prussian	secondary	Latn	Latin	
prs	Dari	primary	Arab	Arabic	
ps	Pashto	primary	Arab	Arabic	
pt	Portuguese	primary	Latn	Latin	
puu	Punu	primary	Latn	Latin	
qu	Quechua	primary	Latn	Latin	
raj	Rajasthani	primary	Latn	Latin	"Macrolanguage, likely Devanagari for most member langs"
rap	Rapanui	primary	Latn	Latin	
rar	Rarotongan	primary	Latn	Latin	Cook Islands
rcf	Réunion Creole French	primary	Latn	Latin	
rej	Rejang	primary	Latn	Latin	
