This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 GDP (purchasing power parity) 	 Date of Information
43 	 Norway 	 $     247,400,000,000 	 2007 est.
44 	 Romania 	 $     245,500,000,000 	 2007 est.
45 	 Chile 	 $     231,100,000,000 	 2007 est.
46 	 Portugal 	 $     230,500,000,000 	 2007 est.
47 	 Singapore 	 $     228,100,000,000 	 2007 est.
48 	 Algeria 	 $     224,700,000,000 	 2007 est.
49 	 Vietnam 	 $     221,400,000,000 	 2007 est.
50 	 Peru 	 $     219,000,000,000 	 2007 est.
51 	 Bangladesh 	 $     206,700,000,000 	 2007 est.
52 	 Denmark 	 $     203,700,000,000 	 2007 est.
53 	 Hungary 	 $     191,300,000,000 	 2007 est.
54 	 Ireland 	 $     186,200,000,000 	 2007 est.
55 	 Israel 	 $     185,900,000,000 	 2007 est.
56 	 Finland 	 $     185,500,000,000 	 2007 est.
57 	 Kazakhstan 	 $     167,600,000,000 	 2007 est.
58 	 United Arab Emirates 	 $     167,300,000,000 	 2007 est.
59 	 Kuwait 	 $     130,100,000,000 	 2007 est.
60 	 Morocco 	 $     125,300,000,000 	 2007 est.
61 	 New Zealand 	 $     111,700,000,000 	 2007 est.
62 	 Slovakia 	 $     109,600,000,000 	 2007 est.
63 	 Belarus 	 $     105,200,000,000 	 2007 est.
64 	 Iraq 	 $     102,300,000,000 	 2007 est.
65 	 Ecuador 	 $      98,790,000,000 	 2007 est.
66 	 Angola 	 $      91,290,000,000 	 2007 est.
67 	 Burma 	 $      91,130,000,000 	 2007 est.
68 	 Syria 	 $      87,090,000,000 	 2007 est.
69 	 Bulgaria 	 $      86,320,000,000 	 2007 est.
70 	 Sri Lanka 	 $      81,290,000,000 	 2007 est.
71 	 Sudan 	 $      80,710,000,000 	 2007 est.
72 	 Puerto Rico 	 $      77,410,000,000 	 2007 est.
73 	 Serbia 	 $      77,280,000,000 	 2007 est.
74 	 Tunisia 	 $      77,000,000,000 	 2007 est.
75 	 Libya 	 $      74,750,000,000 	 2007 est.
76 	 Croatia 	 $      68,980,000,000 	 2007 est.
77 	 Azerbaijan 	 $      65,470,000,000 	 2007 est.
78 	 Uzbekistan 	 $      64,150,000,000 	 2007 est.
79 	 Guatemala 	 $      62,530,000,000 	 2007 est.
80 	 Ethiopia 	 $      62,190,000,000 	 2007 est.
81 	 Dominican Republic 	 $      61,790,000,000 	 2007 est.
82 	 Oman 	 $      61,610,000,000 	 2007 est.
83 	 Lithuania 	 $      59,640,000,000 	 2007 est.
84 	 Kenya 	 $      58,880,000,000 	 2007 est.
85 	 Qatar 	 $      57,690,000,000 	 2007
86 	 Slovenia 	 $      54,670,000,000 	 2007 est.
87 	 Yemen 	 $      52,050,000,000 	 2007 est.
88 	 Cuba 	 $      51,110,000,000 	 2007 est.
89 	 Tanzania 	 $      48,940,000,000 	 2007 est.
90 	 Costa Rica 	 $      45,770,000,000 	 2007 est.
91 	 Lebanon 	 $      42,270,000,000 	 2007 est.
92 	 El Salvador 	 $      41,650,000,000 	 2007 est.
93 	 Korea, North 	 $      40,000,000,000 	 2007 est.
94 	 Latvia 	 $      39,730,000,000 	 2007 est.
95 	 Bolivia 	 $      39,440,000,000 	 2007 est.
96 	 Cameroon 	 $      39,370,000,000 	 2007 est.
97 	 Luxembourg 	 $      38,560,000,000 	 2007 est.
98 	 Uruguay 	 $      37,190,000,000 	 2007 est.
99 	 Afghanistan 	 $      35,000,000,000 	 2007 est.
100 	 Panama 	 $      34,510,000,000 	 2007 est.
101 	 Cote d'Ivoire 	 $      32,180,000,000 	 2007 est.
102 	 Ghana 	 $      31,330,000,000 	 2007 est.
103 	 Honduras 	 $      30,650,000,000 	 2007 est.
104 	 Estonia 	 $      29,350,000,000 	 2007 est.
105 	 Nepal 	 $      29,040,000,000 	 2007 est.
106 	 Uganda 	 $      29,040,000,000 	 2007 est.
107 	 Jordan 	 $      27,990,000,000 	 2007 est.
108 	 Bosnia and Herzegovina 	 $      27,730,000,000 	 2007 est.
109 	 Paraguay 	 $      27,080,000,000 	 2007 est.
110 	 Turkmenistan 	 $      26,730,000,000 	 2007 est.
111 	 Cambodia 	 $      25,900,000,000 	 2007 est.
112 	 Botswana 	 $      25,680,000,000 	 2007 est.
113 	 Bahrain 	 $      24,500,000,000 	 2007 est.
114 	 Trinidad and Tobago 	 $      23,790,000,000 	 2007 est.
115 	 Cyprus 	 $      21,380,000,000 	 2007 est.
116 	 Jamaica 	 $      20,670,000,000 	 2007 est.
117 	 Senegal 	 $      20,600,000,000 	 2007 est.
118 	 Georgia 	 $      20,500,000,000 	 2007 est.
119 	 Gabon 	 $      20,180,000,000 	 2007 est.
120 	 Albania 	 $      19,920,000,000 	 2007 est.
121 	 Brunei 	 $      19,640,000,000 	 2007 est.
122 	 Congo, Democratic Republic of the 	 $      18,840,000,000 	 2007 est.
123 	 Madagascar 	 $      18,120,000,000 	 2007 est.
124 	 Macedonia 	 $      17,350,000,000 	 2007 est.
125 	 Burkina Faso 	 $      17,200,000,000 	 2007 est.
126 	 Armenia 	 $      17,150,000,000 	 2007 est.
127 	 Mozambique 	 $      17,020,000,000 	 2007 est.
128 	 Zambia 	 $      15,920,000,000 	 2007 est.
129 	 Chad 	 $      15,900,000,000 	 2007 est.
130 	 Nicaragua 	 $      15,840,000,000 	 2007 est.
131 	 Equatorial Guinea 	 $      15,540,000,000 	 2007 est.
132 	 Mauritius 	 $      14,060,000,000 	 2007 est.
133 	 Mali 	 $      13,470,000,000 	 2007 est.
134 	 Congo, Republic of the 	 $      13,230,000,000 	 2007 est.
135 	 Laos 	 $      12,650,000,000 	 2007 est.
136 	 Macau 	 $      12,500,000,000 	 2006
137 	 Iceland 	 $      12,140,000,000 	 2007 est.
138 	 Benin 	 $      12,100,000,000 	 2007 est.
139 	 Papua New Guinea 	 $      11,940,000,000 	 2007 est.
140 	 Tajikistan 	 $      11,820,000,000 	 2007 est.
141 	 Haiti 	 $      11,140,000,000 	 2007 est.
142 	 Namibia 	 $      10,720,000,000 	 2007 est.
143 	 Guinea 	 $      10,690,000,000 	 2007 est.
144 	 Malawi 	 $      10,510,000,000 	 2007 est.
145 	 Kyrgyzstan 	 $      10,500,000,000 	 2007 est.
146 	 Moldova 	 $       9,821,000,000 	 2007 est.
147 	 Malta 	 $       9,396,000,000 	 2007 est.
148 	 Niger 	 $       8,902,000,000 	 2007 est.
149 	 Rwanda 	 $       8,440,000,000 	 2007 est.
150 	 Mongolia 	 $       8,420,000,000 	 2007 est.
151 	 Bahamas, The 	 $       8,332,000,000 	 2007 est.
152 	 Mauritania 	 $       5,947,000,000 	 2007 est.
153 	 Montenegro 	 $       5,918,000,000 	 2007 est.
154 	 Swaziland 	 $       5,626,000,000 	 2007 est.
155 	 Somalia 	 $       5,575,000,000 	 2007 est.
156 	 Barbados 	 $       5,317,000,000 	 2007 est.
157 	 Togo 	 $       5,208,000,000 	 2007 est.
158 	 Jersey 	 $       5,100,000,000 	 2005 est.
159 	 Fiji 	 $       5,079,000,000 	 2007 est.
160 	 Gaza Strip 	 $       5,034,000,000 	 2006 est.
161 	 West Bank 	 $       5,034,000,000 	 2006 est.
162 	 French Polynesia 	 $       4,580,000,000 	 2003 est.
163 	 Bermuda 	 $       4,500,000,000 	 2004 est.
164 	 Suriname 	 $       4,073,000,000 	 2007 est.
165 	 Kosovo 	 $       4,000,000,000 	 2007 est.
166 	 Sierra Leone 	 $       3,971,000,000 	 2007 est.
167 	 Eritrea 	 $       3,619,000,000 	 2007 est.
168 	 Bhutan 	 $       3,359,000,000 	 2007 est.
169 	 New Caledonia 	 $       3,158,000,000 	 2003 est.
170 	 Central African Republic 	 $       3,099,000,000 	 2007 est.
171 	 Lesotho 	 $       3,092,000,000 	 2007 est.
172 	 Guyana 	 $       2,920,000,000 	 2007 est.
173 	 Burundi 	 $       2,896,000,000 	 2007 est.
174 	 Netherlands Antilles 	 $       2,800,000,000 	 2004 est.
175 	 Andorra 	 $       2,770,000,000 	 2005
176 	 Guernsey 	 $       2,742,000,000 	 2005
177 	 Isle of Man 	 $       2,719,000,000 	 2005 est.
178 	 Timor-Leste 	 $       2,608,000,000 	 2007 est.
179 	 Guam 	 $       2,500,000,000 	 2005 est.
180 	 Belize 	 $       2,444,000,000 	 2007 est.
181 	 Aruba 	 $       2,258,000,000 	 2005 est.
182 	 Zimbabwe 	 $       2,211,000,000 	 2007 est.
183 	 Gambia, The 	 $       2,106,000,000 	 2007 est.
184 	 Cayman Islands 	 $       1,939,000,000 	 2004 est.
185 	 Saint Lucia 	 $       1,794,000,000 	 2007 est.
186 	 Liechtenstein 	 $       1,786,000,000 	 2001 est.
187 	 Djibouti 	 $       1,738,000,000 	 2007 est.
188 	 Cape Verde 	 $       1,603,000,000 	 2007 est.
189 	 Maldives 	 $       1,588,000,000 	 2007 est.
190 	 Virgin Islands 	 $       1,577,000,000 	 2004 est.
191 	 Antigua and Barbuda 	 $       1,526,000,000 	 2007 est.
192 	 Seychelles 	 $       1,378,000,000 	 2007 est.
193 	 Liberia 	 $       1,340,000,000 	 2007 est.
194 	 Comoros 	 $       1,262,000,000 	 2007 est.
195 	 Grenada 	 $       1,108,000,000 	 2007 est.
196 	 Greenland 	 $       1,100,000,000 	 2001 est.
197 	 Gibraltar 	 $       1,066,000,000 	 2005 est.
198 	 Saint Vincent and the Grenadines 	 $       1,042,000,000 	 2007 est.
199 	 Samoa 	 $       1,029,000,000 	 2007 est.
200 	 Faroe Islands 	 $       1,000,000,000 	 2001 est.
201 	 Monaco 	 $        976,300,000 	 2006 est.
202 	 Mayotte 	 $        953,600,000 	 2005 est.
203 	 Solomon Islands 	 $        948,000,000 	 2007 est.
204 	 Northern Mariana Islands 	 $        900,000,000 	 2000 est.
205 	 Vanuatu 	 $        897,000,000 	 2007 est.
206 	 British Virgin Islands 	 $        853,400,000 	 2004 est.
207 	 San Marino 	 $        850,000,000 	 2004 est.
208 	 Guinea-Bissau 	 $        808,000,000 	 2007 est.
209 	 Saint Kitts and Nevis 	 $        721,000,000 	 2007 est.
210 	 Dominica 	 $        648,000,000 	 2007 est.
211 	 Tonga 	 $        526,000,000 	 2007 est.
212 	 American Samoa 	 $        510,100,000 	 2003 est.
213 	 Kiribati 	 $        348,000,000 	 2007 est.
214 	 Micronesia, Federated States of 	 $        277,000,000 	 2002 est.
215 	 Sao Tome and Principe 	 $        256,000,000 	 2007 est.
216 	 Turks and Caicos Islands 	 $        216,000,000 	 2002 est.
217 	 Cook Islands 	 $        183,200,000 	 2005 est.
218 	 Palau 	 $        124,500,000 	 2004 est.
219 	 Marshall Islands 	 $        115,000,000 	 2001 est.
220 	 Anguilla 	 $        108,900,000 	 2004 est.
221 	 Falkland Islands (Islas Malvinas) 	 $         75,000,000 	 2002 est.
222 	 Nauru 	 $         60,000,000 	 2005 est.
223 	 Wallis and Futuna 	 $         60,000,000 	 2004 est.
224 	 Saint Pierre and Miquelon 	 $         48,300,000 	 2003 est.
225 	 Montserrat 	 $         29,000,000 	 2002 est.
226 	 Saint Helena 	 $         18,000,000 	 1998 est.
227 	 Tuvalu 	 $         14,940,000 	 2002 est.
228 	 Niue 	 $          7,600,000 	 2000 est.
229 	 Tokelau 	 $          1,500,000 	 1993 est.

 This file was last updated on 4 September, 2008
