Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Bhutan,BTN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1606577591.16987,1779116813.23345,1971245210.28098,2148822077.25223,4322755311.85175,4724439198.53529,4972724778.89177,5213273957.6323,5610079830.98694,6045119274.05571,6512117658.19385,6931464744.32489
Bolivia,BOL,"Population, total",SP.POP.TOTL,8339512,8496375,8653345,8810420,9918242,10078343,10239004,10400264,10562159,10724705,10887882,11051600
Bolivia,BOL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,28382342093.1438,29545830376.2221,30746400516.8347,31831064648.5218,50236872002.4368,53690584805.5676,56772683929.0537,61474498231.1545,66752479595.1779,72044638314.2837,77324189495.1957,81080055364.7321
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3766706,3771284,3775807,3779247,3722084,3688865,3648200,3604999,3566002,3535961,3516816,3507017
Bosnia and Herzegovina,BIH,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,18888463181.682,19514079808.0349,20787539591.0837,21502127191.3946,35200315696.7859,36818640509.4892,37436197589.0326,39547118724.7464,40126610795.1967,41458401105.955,43537785589.0763,45765736362.6517
Botswana,BWA,"Population, total",SP.POP.TOTL,1728340,1754935,1779953,1804339,2014866,2051339,2089315,2128507,2168573,2209197,2250260,2291661
Botswana,BWA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,13111580045.712,13957334472.3891,13437786532.5535,14884121497.1725,24660189674.0391,28287496697.782,30306335976.9989,32723576143.0678,34832397160.9457,34836070481.9334,35921851464.0221,37633559404.9336
Brazil,BRA,"Population, total",SP.POP.TOTL,175287587,177750670,180151021,182482149,196796269,198686688,200560983,202408632,204213133,205962108,207652865,209288278
Brazil,BRA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1534362175559.04,1585017611939.5,1656647885641.35,1712150420348.69,2720774726375.57,2897464128685.16,3022760581798.72,3193730191963.57,3241941375832.26,3154983695868.18,3086640107779.68,3180616843008.39
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,20645,21085,21529,22000,27224,27901,28509,29056,29588,30113,30661,31196
British Virgin Islands,VGB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,333241,340117,346867,353389,388662,394013,399748,405716,411704,417542,423196,428697
Brunei Darussalam,BRN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,21672273336.5833,22774411458.8823,24019411800.0271,25209794211.9456,30449674761.5579,31606484313.1479,32578520725.66,32830558760.0593,32970500813.8707,34838050412.5346,35164179674.8772,35907076665.8279
Bulgaria,BGR,"Population, total",SP.POP.TOTL,8170172,8009142,7837161,7775327,7395599,7348328,7305888,7265115,7223938,7177991,7127822,7075991
Bulgaria,BGR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,50827062663.7522,55432356608.1518,61830914539.2741,65933614766.2433,108146165179.036,111574236071.579,116829454882.226,117730167047.567,125571255261.121,127918823917.412,138633229729.476,150172589775.024
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,11607942,11944587,12293100,12654621,15605217,16081904,16571216,17072723,17585977,18110624,18646433,19193382
Burkina Faso,BFA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,9794033359.76532,10695561666.2341,11364708288.4127,12492811474.7884,21192633330.9963,22811297843.1351,25171770288.355,27125364809.4215,28463911621.2364,29789478489.3728,31843317007.8429,34575695749.165
Burundi,BDI,"Population, total",SP.POP.TOTL,6400706,6555829,6741569,6953113,8766930,9043508,9319710,9600186,9891790,10199270,10524117,10864245
Burundi,BDI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,3689759584.10968,3735949418.56696,3951795919.97214,3956061840.25512,6203598068.43792,6570554912.82426,7024433702.46979,7515852474.8477,7949331070.8169,7737448569.84724,7791068421.83959,7961126714.9379
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,435079,443716,452106,460147,502384,508067,513979,520106,526437,532913,539560,546388
Cabo Verde,CPV,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1288136302.50838,1368048460.04295,1442841831.8148,1542291313.06613,2742672831.01004,2924904081.15014,2999449458.51132,3097952822.26265,3123856370.32218,3232565073.53245,3424568194.41963,3627801461.60586
Cambodia,KHM,"Population, total",SP.POP.TOTL,12152354,12402473,12634729,12853124,14308740,14537886,14776866,15022692,15270790,15517635,15762370,16005373
Cambodia,KHM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,12818015542.8051,14140165834.2189,15170049019.2232,16890790683.3634,33750438571.8843,36844168821.8601,40049665514.1105,44107914990.9548,47621475164.0466,51050595867.5408,55241911643.872,60234002438.1723
Cameroon,CMR,"Population, total",SP.POP.TOTL,15274234,15671927,16084886,16513822,19970495,20520447,21082383,21655715,22239904,22834522,23439189,24053727
Cameroon,CMR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,29668145112.3273,31392388184.9199,33544929713.7715,36611332328.7754,56747686400.3387,60296571265.6458,63874777738.5481,68147033834.9311,74265300518.0774,78846068628.7216,83310924342.5349,87656552879.2214
Canada,CAN,"Population, total",SP.POP.TOTL,30769700,31081900,31362000,31676000,34005274,34342780,34750545,35152370,35535348,35832513,36264604,36708083
Canada,CAN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,874383431862.042,908341201463.472,942989409704.287,994451398771.055,1334171352202.13,1400440679278.4,1438515129675.47,1526600490196.08,1591364464651.75,1575248164727.81,1603884245584.87,1691095434431.14
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,41687,43316,44738,46028,55507,56579,57523,58371,59172,59963,60765,61559
Cayman Islands,CYM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,1703373791.80873,1623479760.79147,1526623021.95989,1891910715.90015,2201657629.39818,..
Central African Republic,CAF,"Population, total",SP.POP.TOTL,3754986,3832203,3907612,3981665,4448525,4476153,4490416,4499653,4515392,4546100,4594621,4659080
Central African Republic,CAF,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2385293513.73638,2563805136.81466,2695234829.80012,2618218573.98841,3859131329.6201,4067092636.55372,4315571079.20337,2771770736.52569,2852359259.1677,3022247140.63,3189962891.09764,3391006777.15182
Chad,TCD,"Population, total",SP.POP.TOTL,8342559,8663012,9001689,9353201,11887202,12288651,12705135,13133589,13569438,14009413,14452543,14899994
Chad,TCD,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,6484647094.04988,7401380643.52858,8013673179.61879,8051683738.02709,21674629067.5024,22309202431.6998,24782590694.6897,26034201097.9971,28398389195.6568,29902575533.3279,28737540275.2731,28540944908.2718
Channel Islands,CHI,"Population, total",SP.POP.TOTL,148725,149793,150901,152038,159581,160497,161358,162180,162969,163758,164541,165314
Channel Islands,CHI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,"Population, total",SP.POP.TOTL,15262754,15444969,15623635,15799542,16993354,17153357,17309746,17462982,17613798,17762681,17909754,18054726
Chile,CHL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,140960454358.758,149253118441.349,155333425415.214,161127949348.394,288484756652.65,329368731234.635,356585691606.856,377205694908.037,390670104648.414,392883387856.495,408622681246.855,427443233143.024
China,CHN,"Population, total",SP.POP.TOTL,1262645000,1271850000,1280400000,1288400000,1337705000,1344130000,1350695000,1357380000,1364270000,1371220000,1378665000,1386395000
China,CHN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,3658894883430.74,4045318783246.1,4501333547656.41,5072293772636.93,12431610618329.8,13828218549059.2,15296329736060.8,16652030124085,18359704697528.6,19739422919355.4,21341135255566.4,23241463364843.9
Colombia,COL,"Population, total",SP.POP.TOTL,40403958,40988909,41572491,42152151,45918097,46406646,46881475,47342981,47791911,48228697,48653419,49065615
Colombia,COL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,258568768966.526,268050035595.039,278355833312.016,292819417315.378,466427462772.524,507346112004.998,540131727249.762,575866564164.784,616718926856.222,650687709634.714,672635290583.545,691151745189.794
Comoros,COM,"Population, total",SP.POP.TOTL,542357,555888,569479,583211,689692,706569,723868,741500,759385,777424,795601,813912
Comoros,COM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1027791759.29842,1076717097.16624,1114574704.50064,1159906856.76879,1637932471.00296,1740585862.88447,1827731828.89764,1944441627.92636,2023169337.3271,2072933833.58671,2148156600.58043,2246761599.51302
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,47076387,48394338,49835756,51390033,64523263,66713597,68978682,71316033,73722860,76196619,78736153,81339988
"Congo, Dem. Rep.",COD,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,20952319390.0294,20331721327.4516,21621529330.1422,23493665970.2375,39974566039.3412,43243275549.0886,46947732390.5851,50025251400.8094,55828711983.7356,61065792437.7705,66907175960.6428,70728832167.679
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,3225727,3315806,3407180,3502519,4386693,4512730,4633363,4751393,4871101,4995648,5125821,5260750
"Congo, Rep.",COG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,8094115872.96346,8564019140.46316,9293115882.54326,9792892087.99532,16751976278.6511,17474371156.6628,19170226991.7131,20509478321.0213,23530184709.4829,29184954887.6111,26914024916.6821,25861506733.578
Costa Rica,CRI,"Population, total",SP.POP.TOTL,3925443,3996798,4063204,4125971,4545280,4600474,4654122,4706401,4757575,4807852,4857274,4905769
Costa Rica,CRI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,29320572593.389,31034270802.4618,32546333023.8431,34601943827.363,56015840939.9764,59533347306.0666,63684238715.3535,65808698665.2649,68974211384.5901,72130597950.8993,76205828637.0206,79450012508.8792
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,16686561,17040152,17366517,17679355,20401331,20895311,21418603,21966312,22531350,23108472,23695919,24294750
Cote d'Ivoire,CIV,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,35340919846.0208,35354124610.2894,34887113106.3257,34105092595.6703,51803144648.9724,50433570908.0155,57260854482.0477,62511110326.9041,70636409205.5388,77343489686.3189,86959418380.1383,92723870163.0768
Croatia,HRV,"Population, total",SP.POP.TOTL,4426000,4440000,4440000,4440000,4417781,4280622,4267558,4255689,4238389,4203604,4174349,4125700
Croatia,HRV,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,46712689461.9448,49269025751.0051,53676138752.9305,56396362930.6222,82586986072.6973,86432433837.8727,87590665202.5474,90916714946.6209,91712522137.3675,96090281807.8474,99104170599.8078,106492214053.161
Cuba,CUB,"Population, total",SP.POP.TOTL,11150736,11186542,11217998,11244885,11333051,11354651,11382146,11412167,11439767,11461432,11475982,11484636
Cuba,CUB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..
Curacao,CUW,"Population, total",SP.POP.TOTL,133860,129047,129205,131897,148703,150831,152088,153822,155909,157980,159663,161014
Curacao,CUW,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,4190952899.4951,..,..,..,..,..,..
Cyprus,CYP,"Population, total",SP.POP.TOTL,943286,960282,976966,993563,1112607,1124835,1135062,1143896,1152309,1160985,1170125,1179551
Cyprus,CYP,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,13508241192.0632,14900140762.4576,15854041567.0355,16710899472.8249,26724419824.3177,28202126860.464,26677617486.0069,25281739335.2544,25028764876.0936,27105730050.3665,28102715629.3379,30109263102.223
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10255063,10216605,10196916,10193998,10474410,10496088,10510785,10514272,10525347,10546059,10566332,10591323
Czech Republic,CZE,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,162502534411.128,174217616814.964,178561328109.951,190812000077.786,267665911505.762,279370310382.565,286391051564.635,301403153675.82,316634771841.133,329122356664.153,343673521758.157,364852703815.704
Denmark,DNK,"Population, total",SP.POP.TOTL,5339616,5358783,5375931,5390574,5547683,5570572,5591572,5614932,5643475,5683483,5728010,5769603
Denmark,DNK,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,149888963578.185,155740879381.091,162786047384.101,164921410032.919,242686527292.604,252568140433.285,256181670980.004,270675551874.234,280163778604.424,285279506758.96,287932645324.799,302297921934.315
Djibouti,DJI,"Population, total",SP.POP.TOTL,717584,732711,746221,758615,851146,865937,881185,896688,912164,927414,942333,956985
Djibouti,DJI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..
Dominica,DMA,"Population, total",SP.POP.TOTL,69676,69670,69824,70093,71440,71718,72044,72400,72778,73162,73543,73925
Dominica,DMA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,400783371.85962,430143880.295589,419798025.463148,457923450.004211,700128014.047299,711578991.436185,718069172.449637,710992365.646609,752969902.980437,743064975.490281,780506371.01291,723781369.377311
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,8562622,8697126,8832285,8967760,9897985,10027095,10154950,10281296,10405844,10528394,10648791,10766998
Dominican Republic,DOM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,53271464667.7483,55837196529.1887,59276584600.5421,58256503367.0398,104101833739.861,109291187707.197,114199993903.434,120735677509.728,131988265199.383,143776038076.044,154867239935.183,164661198448.179
Ecuador,ECU,"Population, total",SP.POP.TOTL,12628596,12852755,13072060,13289601,14934690,15177355,15419666,15661547,15903112,16144368,16385068,16624858
Ecuador,ECU,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,69009022687.1069,74708399103.7713,79504422426.4539,83110047417.1701,134843479513.16,148275389997.888,159698335052.616,170368641251.646,179845290121.905,181573069630.95,181444125949.951,188291748532.992
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,69905988,71226940,72590118,73981942,84107606,85897561,87813257,89807433,91812566,93778172,95688681,97553151
"Egypt, Arab Rep.",EGY,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,411342501485.992,436173593077.461,454128649119.335,477014325489.824,796236419901.155,822212016133.083,858142951957.233,888804553458.071,932947201638.776,990985659637.373,1051199379212.05,1108101696805
El Salvador,SLV,"Population, total",SP.POP.TOTL,5867626,5905962,5940303,5971535,6164626,6192560,6221246,6250777,6281189,6312478,6344722,6377853
El Salvador,SLV,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,25741352670.087,26554725250.651,27279315683.6858,28072057674.6945,36945926970.5919,39093487965.8727,40461309613.7968,41938755972.8362,43507425914.4454,44963597736.2544,46508321549.2185,48080092641.758
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,614323,639762,666407,694611,951104,994290,1038593,1083746,1129424,1175389,1221490,1267689
Equatorial Guinea,GNQ,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,3395388356.45272,3531708818.08831,4842611714.44784,4604975402.41094,18450447612.6514,22107638610.3946,24989009812.4628,25097529677.2291,25512397601.2728,26005940049.1439,24766088137.3707,24525405610.4174
Eritrea,ERI,"Population, total",SP.POP.TOTL,3392801,3497124,3614639,3738265,4390840,4474690,..,..,..,..,..,..
Eritrea,ERI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,4518654785.44589,5007151970.21323,5209318878.13445,5157822811.7886,6036740096.91546,6697806876.39949,..,..,..,..,..,..
Estonia,EST,"Population, total",SP.POP.TOTL,1396985,1388115,1379350,1370720,1331475,1327439,1322696,1317997,1314545,1315407,1315790,1315480
Estonia,EST,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,12664763610.7735,13632254828.1402,15237944246.2133,16937071907.9499,27238150336.4677,30946637998.4363,33031898254.1458,35403618516.7603,36514073146.1975,36944627847.8008,38373072257.1981,40912926004.8577
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1061468,1072927,1080930,1087392,1202843,1225258,1248158,1271456,1295097,1319011,1343098,1367254
Eswatini,SWZ,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,5009542720.1048,5414708357.09017,5393866540.23123,5593036438.40641,8160907903.90599,8915944430.94028,9522425196.92643,10447106433.2917,10764106355.5913,11005006413.9171,11361452466.4109,11597659224.6848
Ethiopia,ETH,"Population, total",SP.POP.TOTL,66537331,68492257,70497192,72545144,87702670,90046756,92444183,94887724,97366774,99873033,102403196,104957438
Ethiopia,ETH,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,32367852815.1761,35892246701.1506,36972895791.7383,36863952969.4118,91938773649.5547,104477152060.005,115597742414.198,129892470777.114,145712442574.818,162385250477.506,177024389222.519,198104479330.94
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,47258,47526,47769,47974,48550,48608,48666,48747,48842,48965,49117,49290
Faroe Islands,FRO,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,FJI,"Population, total",SP.POP.TOTL,811223,814218,815691,816628,859950,867086,873596,879715,885806,892149,898760,905502
Fiji,FJI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,4376026543.88669,4439298740.6984,4728748893.31687,4834511060.27341,6002460147.29883,6297184005.93723,6458781659.33575,6997719977.1651,7263168961.16634,7728323624.96678,7878395262.50573,8234613683.52944
Finland,FIN,"Population, total",SP.POP.TOTL,5176209,5188008,5200598,5213014,5363352,5388272,5413971,5438972,5461512,5479531,5495303,5511303
Finland,FIN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,137593825287.585,144136130619.905,149009200176.73,150193235318.452,210782608309.037,220207155805.574,221064507784.853,225363033587.855,228549068021.737,232584893728.175,240256347087.151,250207420223.416
France,FRA,"Population, total",SP.POP.TOTL,60912500,61357430,61805267,62244886,65027507,65342775,65659789,65998660,66316092,66593366,66859768,67118648
France,FRA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1626307519013.57,1726392690454.31,1788044117875.64,1780825316760.26,2388278984573.73,2503922810779.2,2506840569891.54,2642478281707.6,2697532706345.62,2737022860899.32,2809548625328.5,2939309455950.58
French Polynesia,PYF,"Population, total",SP.POP.TOTL,237258,241273,245006,248499,267820,269843,271703,273528,275484,277690,280208,283007
French Polynesia,PYF,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,GAB,"Population, total",SP.POP.TOTL,1231122,1262259,1294409,1328146,1640210,1697101,1756817,1817271,1875713,1930175,1979786,2025137
