Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Angola,AGO,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,30548627728.153,32935156925.3232,40031765196.4335,43137470671.069,48582068984.5112,59513803412.1249,72559312017.4662,94146665046.0428,104602128019.141,117298693156.579,121803378448.678,129828008402.427,139319739635.695,153292218132.889,165055684497.883,174116754095.028,175348960593.07,180460498541.229
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,83584,85057,86266,87293,88257,89253,90301,91381,92478,93581,94661,95719,96777,97824,98875,99923,100963,102012
Antigua and Barbuda,ATG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1185528868.57469,1180083077.76264,1185583842.90978,1290118717.03317,1396051848.27422,1546112131.49174,1797818506.02003,2017064811.30457,2046422503.51163,1818242129.5557,1733217816.52254,1719331908.34641,1798113633.98121,1856239082.06922,1981270104.8598,2095462734.17331,2230332587.16028,2344442642.40233
Argentina,ARG,"Population, total",SP.POP.TOTL,37057452,37471509,37889370,38309379,38728696,39145488,39558890,39970224,40382389,40799407,41223889,41656879,42096739,42539925,42981515,43417765,43847430,44271041
Argentina,ARG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,426027857759.807,415584811228.832,359183623079.468,403352108932.317,453888625711.513,520423058066.789,582600188768.878,656547284620.024,697524133570.434,657150616161.992,729947520649.598,794545309061.107,804832959886.585,839366658948.401,833761491687.03,852324806206.234,844707263287.913,897239263277.056
Armenia,ARM,"Population, total",SP.POP.TOTL,3069588,3050655,3033897,3017806,3000612,2981259,2958500,2933056,2908220,2888584,2877311,2875581,2881922,2893509,2906220,2916950,2924816,2930450
Armenia,ARM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,7312962664.13328,8216359860.09029,9503884952.94383,11017601206.143,12461664771.2174,14816824931.3305,17375047780.6536,20420228115.3273,22368198058.2348,19024006136.8475,19831190099.8922,20909528812.773,22923478928.5206,24560784435.8414,25540611009.0006,26526222994.0203,26383467429.6048,29491077420.9252
Aruba,ABW,"Population, total",SP.POP.TOTL,90853,92898,94992,97017,98737,100031,100832,101220,101353,101453,101669,102053,102577,103187,103795,104341,104822,105264
Aruba,ABW,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Population, total",SP.POP.TOTL,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22742475,23145901,23504138,23850784,24210809,24598933
Australia,AUS,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,489486706602.537,516000750300.007,548780761547.037,573813339508.69,612215921578.97,638945630659.572,682092094946.183,726502932140.294,762372107394.294,842099458856.594,831622060334.945,898284771139.577,942264701012.587,1033546561004.14,1069850442929.34,1079646643445.89,1092062650073.61,1126231924681.36
Austria,AUT,"Population, total",SP.POP.TOTL,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8809212
Austria,AUT,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,233293523085.72,235906682646.161,250522395607.009,260094600506.29,275465760035.695,287476798281.967,311858885741.967,326394552031.368,346680570770.484,341253748325.847,354597908102.449,374289188740.567,392030460346.489,407466618825.439,417504948065.654,427968933419.101,441164388695.935,463901712639.719
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9862429
Azerbaijan,AZE,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,26907747949.7874,30092243506.5515,33692112299.7899,38251241287.3622,42391746219.1933,52683901098.0616,72749323539.6284,90616142318.729,108505359467.783,123477286948.703,133024671566.994,134628001917.261,141899205791.891,153660985190.036,163084258618.353,165029081726.435,157304710752.585,164179157033.499
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,297890,303135,309157,315746,322526,329249,335830,342328,348676,354856,360832,366568,372039,377240,382169,386838,391232,395361
"Bahamas, The",BHS,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,5996169328.30496,6280091283.63166,6550935479.99992,6633969273.71655,6896425504.59388,7266022403.21916,7648324547.81632,7961585202.0805,8072176676.85503,7721340486.22429,7853899192.31634,8074171135.43638,11022637191.4415,11165489632.8526,11198086531.5633,11471609123.807,11342593120.372,11778573892.9034
Bahrain,BHR,"Population, total",SP.POP.TOTL,664614,697549,735148,778711,829848,889168,958414,1035891,1114590,1185029,1240862,1278269,1300217,1315411,1336397,1371855,1425171,1492584
Bahrain,BHR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,23090979986.5766,23928992957.26,24686622654.2117,26977485405.2054,29679108024.6221,33317998126.3381,36751739070.3886,41155217221.6339,43580471538.5892,41818457042.9533,44771842447.2633,45304049174.4875,47470308994.0223,51090175533.2789,51245353865.5157,60590568956.3808,62718667760.5491,64070909509.8382
Bangladesh,BGD,"Population, total",SP.POP.TOTL,131581243,134107160,136600667,139019001,141307489,143431101,145368004,147139191,148805814,150454708,152149102,153911916,155727053,157571292,159405279,161200886,162951560,164669751
Bangladesh,BGD,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,176805519557.508,189628872228.56,201775401847.949,215636694275.501,233836744026.069,257396117309.421,286280384760.515,316953726021.666,346729842470.258,367777580705.145,393637572048.046,427013979840.347,465580517217.896,499607684967.534,532517270719.179,572635358205.337,616925857648.399,664453315664.806
Barbados,BRB,"Population, total",SP.POP.TOTL,269847,270685,271478,272258,273091,274009,275039,276150,277319,278470,279569,280601,281585,282509,283385,284217,284996,285719
Barbados,BRB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,3233083845.57831,3215680125.08625,3286265160.29795,3424170131.75974,3562306915.64547,3763639648.85415,4033982017.15465,4298558678.17187,4365148951.06595,4241993984.64619,4396713402.33642,4324432732.2635,4546539387.53993,4595186768.26057,4674449572.98924,4749698304.53222,4893935872.58201,5093908055.26246
Belarus,BLR,"Population, total",SP.POP.TOTL,9979610,9928549,9865548,9796749,9730146,9663915,9604924,9560953,9527985,9506765,9490583,9473172,9464495,9465997,9474511,9489616,9501534,9507875
Belarus,BLR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,59604001770.5209,63814442373.7526,68210196571.8996,74721604377.111,85540760042.4522,96663593278.3441,109056133705.037,120858467410.497,135265357648.372,135228151735.907,148072213975.862,159291474012.518,164707842139.678,166815020813.351,173616428281.53,166522537640.447,163930664121.576,172433365597.991
Belgium,BEL,"Population, total",SP.POP.TOTL,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11047744,11128246,11182817,11209057,11274196,11331422,11372068
Belgium,BEL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,294082652230.282,303542176567.053,320209435474.636,328166754831.59,340526519489.929,353373783903.798,378365671957.333,396869683797.835,417983366784.322,410793823698.252,450583017477.364,460300440792.344,482866602524.883,494697245976.635,503754370705.836,511030882677.772,529781351066.491,545402485838.244
Belize,BLZ,"Population, total",SP.POP.TOTL,247315,254984,262206,269130,276089,283277,290747,298407,306165,313929,321608,329192,336701,344181,351694,359288,366954,374681
Belize,BLZ,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1277217265.66503,1352844630.38055,1451271188.60041,1586658171.02595,1668567861.92025,1781888762.72901,1920352339.49471,1948214655.52828,2056353417.91172,2180978071.14494,2202161860.89667,2415240938.17313,2528757783.25578,2593552684.171,2715542584.42638,2942676427.22529,2947032753.19949,2954372581.39347
Benin,BEN,"Population, total",SP.POP.TOTL,6865951,7076733,7295394,7520555,7750004,7982225,8216896,8454791,8696916,8944706,9199259,9460802,9729160,10004451,10286712,10575952,10872298,11175692
Benin,BEN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,9025859973.53171,9717145166.20424,10285377482.0237,10845835532.8368,11656166041.9788,12292499568.1422,13141453667.418,14266589220.1276,15358235744.1237,15786736831.9577,16267176092.2592,17192949487.5054,18238941538.6225,19879059522.7251,21547946865.6475,22306140124.7148,23572042407.1651,25291445584.2144
Bermuda,BMU,"Population, total",SP.POP.TOTL,61833,62504,62912,63325,63740,64154,64523,64888,65273,65636,65124,64564,64798,65001,65139,65239,65341,65441
Bermuda,BMU,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,4872520055.27443,4882207155.89004,4492564319.14663,4487559256.41573,4397668042.07143,4350575556.86814,4333585301.68757,..,..,..,..
Bhutan,BTN,"Population, total",SP.POP.TOTL,573416,589600,606399,623434,640282,656639,672228,686958,700950,714458,727641,740510,752967,764961,776448,787386,797765,807610
Bhutan,BTN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1606577591.16987,1779116813.23345,1971245210.28098,2148822077.25223,2336760333.61583,2606501161.03664,2900197436.4975,3478035576.64018,3663793609.78664,3884965691.48926,4322755311.85175,4724439198.53529,4972724778.89177,5213273957.6323,5610077484.5725,5917365493.00495,6511506435.0386,7151063993.27009
Bolivia,BOL,"Population, total",SP.POP.TOTL,8339512,8496375,8653345,8810420,8967741,9125409,9283334,9441444,9599855,9758748,9918242,10078343,10239004,10400264,10562159,10724705,10887882,11051600
Bolivia,BOL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,28382557402.5921,29545785671.8507,30746164953.8367,31831387264.739,33840982165.5855,36643646700.5716,39775900832.762,42582600608.8984,46333351848.4522,47918866662.4943,50236861036.4764,53690570040.4907,56772683919.3637,61474498230.2141,66752479608.0222,72044638300.8428,77323948032.0318,81058124055.4243
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3766706,3771284,3775807,3779247,3781287,3781530,3779468,3774000,3763599,3746561,3722084,3688865,3648200,3604999,3566002,3535961,3516816,3507017
Bosnia and Herzegovina,BIH,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,18885491125.318,19530377200.8648,20787565679.7685,21500627424.8737,23201181696.6978,25420296050.6299,28745441136.4984,31717052684.5232,35146456640.0478,35030619378.1594,35234694194.2553,36818851218.6933,37436061506.7673,39546887517.167,40126575719.0043,41017189101.0815,42861515100.307,45160968722.8085
Botswana,BWA,"Population, total",SP.POP.TOTL,1728340,1754935,1779953,1804339,1829330,1855852,1884238,1914414,1946351,1979882,2014866,2051339,2089315,2128507,2168573,2209197,2250260,2291661
Botswana,BWA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,13394236799.9168,14258223827.1092,13727475579.3156,15204990336.5428,15835731084.509,17530110373.0256,19746872143.9714,22160570151.003,23982353954.7712,23398868046.5184,25191808986.6647,28287496697.782,30399169809.3261,33429024287.8621,35583310924.4104,35552385772.746,37547297440.7156,38933716350.6789
Brazil,BRA,"Population, total",SP.POP.TOTL,175287587,177750670,180151021,182482149,184738458,186917361,189012412,191026637,192979029,194895996,196796269,198686688,200560983,202408632,204213133,205962108,207652865,209288278
Brazil,BRA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1511084520418.69,1564595704972.82,1641729640526.43,1692978624335.13,1848267484051.92,1966762516501.14,2103517934701.81,2288208830088.18,2435940536755.51,2453193475006.13,2720774198435.6,2897463706878.94,3022760389490.12,3193729748296.31,3241940769976.11,3157555295418.66,3090159703782.72,3173409321770.65
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,20645,21085,21529,22000,22541,23168,23905,24731,25604,26447,27224,27901,28509,29056,29588,30113,30661,31196
British Virgin Islands,VGB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,333241,340117,346867,353389,359523,365158,370250,374864,379252,383772,388662,394013,399748,405716,411704,417542,423196,428697
Brunei Darussalam,BRN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,21672273336.5833,22774411458.8823,24019411800.0271,25209794211.9456,26033626780.5263,26975422917.601,29026929720.5407,29997556341.0853,29953670670.1757,29680135640.5271,30449674761.5579,31606484313.1479,32578520725.66,32830558760.0593,32970500813.8707,34838050412.5346,35164179718.9649,35907076665.8279
Bulgaria,BGR,"Population, total",SP.POP.TOTL,8170172,8009142,7837161,7775327,7716860,7658972,7601022,7545338,7492561,7444443,7395599,7348328,7305888,7265115,7223938,7177991,7127822,7075991
Bulgaria,BGR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,50818986096.5993,55478694869.7403,61830969500.583,65929024164.5366,71253432852.4676,78428536066.3931,83861008050.883,89534128787.3686,102780040612.648,103319251865.317,108251715721.056,111574754974.582,116829118878.312,118170674215.192,125386660245.078,127417753902.452,136800995904.531,145081198987.532
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,11607942,11944587,12293100,12654621,13030569,13421930,13829177,14252021,14689726,15141099,15605217,16081904,16571216,17072723,17585977,18110624,18646433,19193382
Burkina Faso,BFA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,9794033359.76532,10695561666.2341,11364708288.4127,12492811474.7884,13407829583.4865,15077021759.2151,16567670146.57,17930807560.4783,19615838568.304,20339260194.7133,21192633330.9963,22811297843.1351,25171770288.355,27022337772.2145,28143018514.5647,29482601310.6152,32165450452.1159,34766557476.7641
Burundi,BDI,"Population, total",SP.POP.TOTL,6400706,6555829,6741569,6953113,7182451,7423289,7675338,7939573,8212264,8489031,8766930,9043508,9319710,9600186,9891790,10199270,10524117,10864245
Burundi,BDI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,3888667428.25641,3937347267.87095,4164829639.11602,4169325526.95847,4458775641.68245,4710608601.80232,5163205368.46635,5568617974.62618,5974557597.68447,6184364739.19749,6521832895.49804,6925318798.35938,7364005758.91345,7860854608.61092,8351046010.98508,8123987508.50647,8182899808.34421,8366312305.32082
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,435079,443716,452106,460147,467664,474567,480795,486438,491723,496963,502384,508067,513979,520106,526437,532913,539560,546388
Cabo Verde,CPV,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1288136302.50838,1368048460.04295,1442841831.8148,1542291313.06613,1743029270.66435,1894153754.86483,2095211963.78993,2528526086.23548,2733914820.02227,2722442846.18257,2742672831.01004,2924904081.15014,2999449458.51132,3097952822.26265,3123856370.32218,3232374316.30636,3394317583.44947,3591689585.5216
Cambodia,KHM,"Population, total",SP.POP.TOTL,12152354,12402473,12634729,12853124,13063377,13270201,13474489,13676693,13880509,14090208,14308740,14537886,14776866,15022692,15270790,15517635,15762370,16005373
Cambodia,KHM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,12818015542.8051,14140165834.2189,15170049019.2232,16890790683.3634,19107299160.1037,22206136131.6691,25402834570.7201,28926843381.2532,31354828269.2419,31547713869.4927,33750438571.8843,36844168821.8601,40049665514.1105,44107914990.9548,47621475164.0466,51050595867.5408,55288437520.0317,60124230881.294
Cameroon,CMR,"Population, total",SP.POP.TOTL,15274234,15671927,16084886,16513822,16959081,17420795,17899562,18395389,18907008,19432541,19970495,20520447,21082383,21655715,22239904,22834522,23439189,24053727
Cameroon,CMR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,29668145112.3273,31392388184.9199,33544929713.7715,36611332328.7754,40711664330.5852,42689292567.46,46187373229.4018,49269868741.2082,52347902854.0656,54521375748.3416,56747686400.3387,60296571265.6458,63874777738.5481,68147033834.9311,74265300518.0774,78846068628.7216,82931297616.4408,87582719403.8995
Canada,CAN,"Population, total",SP.POP.TOTL,30769700,31081900,31362000,31676000,31995000,32312000,32570505,32887928,33245773,33628571,34005274,34342780,34750545,35152370,35535348,35832513,36264604,36708083
Canada,CAN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,874383431862.042,908341201463.472,942989409704.287,994451398771.055,1056629674010.84,1143631081272.6,1218242050349.45,1278020370057.42,1319337486531.81,1281970209327.04,1334171352202.13,1400440679278.4,1438515129675.47,1526600490196.08,1591364464651.75,1575248164727.81,1603884245584.87,1679246495874.09
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,41687,43316,44738,46028,47299,48622,50031,51483,52926,54279,55507,56579,57523,58371,59172,59963,60765,61559
Cayman Islands,CYM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,"Population, total",SP.POP.TOTL,3754986,3832203,3907612,3981665,4055036,4127910,4201758,4275800,4345386,4404230,4448525,4476153,4490416,4499653,4515392,4546100,4594621,4659080
Central African Republic,CAF,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2385293513.73638,2563805136.81466,2695234829.80012,2618218573.98841,2827387261.03144,2954495674.80286,3189879523.12423,3431025581.13953,3551414076.87234,3671156822.99949,3859131329.6201,4067092636.55372,4315571079.20337,2771770736.52569,2852359259.1677,3022247140.63,3189962891.09764,3391006777.15182
Chad,TCD,"Population, total",SP.POP.TOTL,8342559,8663012,9001689,9353201,9710043,10067009,10421597,10775708,11133861,11502786,11887202,12288651,12705135,13133589,13569438,14009413,14452543,14899994
Chad,TCD,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,6484647094.04988,7401380643.52858,8013673179.61879,8051683738.02709,11185649196.7199,13597538457.3716,13955954817.7679,15228498755.5574,15594877414.7634,18695711630.0695,21674629067.5024,22309202431.6998,24782590694.6897,26034201097.9971,28398389195.6568,29905962189.445,28698625186.26,28545163090.2455
Channel Islands,CHI,"Population, total",SP.POP.TOTL,148725,149793,150901,152038,153170,154294,155411,156513,157581,158603,159581,160497,161358,162180,162969,163758,164541,165314
Channel Islands,CHI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,"Population, total",SP.POP.TOTL,15262754,15444969,15623635,15799542,15973778,16147064,16319792,16491687,16661942,16829442,16993354,17153357,17309746,17462982,17613798,17762681,17909754,18054726
Chile,CHL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,140960454358.758,149253118441.349,155333425415.214,161054271284.286,173398538270.485,188317825120.022,226078144112.06,248532258314.119,254385225595.479,254280872639.718,288343692090.015,329127077663.858,356256734034.513,377043798635.392,391232027580.045,391766193792.274,403764459869.484,417894185482.481
China,CHN,"Population, total",SP.POP.TOTL,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1344130000,1350695000,1357380000,1364270000,1371220000,1378665000,1386395000
China,CHN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,3658894883430.74,4045318783246.1,4501333547656.41,5072293772636.93,5759125834931.95,6592486645518.22,7699260793574.19,9066414831846.44,10176666833372.5,11129931995625,12431610618329.8,13828218549059.2,15296329736060.8,16652030124085,18359704697528.6,19739422919355.4,21341135255566.4,23241463364843.9
Colombia,COL,"Population, total",SP.POP.TOTL,40403958,40988909,41572491,42152151,42724163,43285634,43835722,44374572,44901544,45416181,45918097,46406646,46881475,47342981,47791911,48228697,48653419,49065615
Colombia,COL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,260328033275.121,269873077334.063,280243327367.725,294818829765.237,318889751462.265,344212389555.15,378910949412.312,414795583078.994,437142244258.933,449300353459.961,471218552389.729,508867603845.466,542354378836.605,579893168702.472,618996010273.826,653965964626.984,682452749966.746,695144493663.28
Comoros,COM,"Population, total",SP.POP.TOTL,542357,555888,569479,583211,597228,611627,626425,641620,657229,673252,689692,706569,723868,741500,759385,777424,795601,813912
Comoros,COM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,637693573.447416,668485120.673555,690170640.600532,717881659.215185,750556584.756409,797871731.476182,844876386.788433,880349056.339494,895144099.941084,920485485.756334,952954923.43843,998184491.344276,1045361468.93825,1103081352.09122,1148295490.19475,1177765164.84429,1221298205.58706,1274946227.36934
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,47076387,48394338,49835756,51390033,53034217,54751476,56543011,58417562,60373608,62409435,64523263,66713597,68978682,71316033,73722860,76196619,78736153,81339988
"Congo, Dem. Rep.",COD,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,20952319389.942,20331721327.3669,21621529330.052,23493665970.1395,25645577452.0194,27733062279.6686,30417803795.0019,32997082553.0194,34650133857.294,36875084154.8052,39974566039.3832,43243275549.0054,46947732390.4995,50025251400.4597,55828711983.5797,61065792437.6679,66907175960.3399,70728832167.2132
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,3225727,3315806,3407180,3502519,3605439,3718243,3842365,3976246,4115435,4253712,4386693,4512730,4633363,4751393,4871101,4995648,5125821,5260750
"Congo, Rep.",COG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,8094115872.96346,8564019140.46316,9293115882.54326,9792892087.99532,9602081225.33178,10401945868.4622,11354278682.698,11949629666.069,13826222332.0121,14730570633.6069,16751976278.6511,17474371156.6628,19170226991.7131,20509478321.0213,23530184709.4829,29184954887.6111,27320642196.6541,25658904228.6559
Costa Rica,CRI,"Population, total",SP.POP.TOTL,3925443,3996798,4063204,4125971,4187038,4247841,4308794,4369469,4429508,4488263,4545280,4600474,4654122,4706401,4757575,4807852,4857274,4905769
Costa Rica,CRI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,29270850664.2136,31002140030.27,32514668894.4391,34581246236.2798,37196583075.7056,40030519515.3662,44645916459.9005,49840707939.4836,53555404952.5971,52688035547.7114,56015840940.1052,59533347305.9305,63684238715.4011,65808698665.2766,69160980184.0314,72224039225.3469,76060537208.7468,78997686018.8955
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,16686561,17040152,17366517,17679355,17997738,18336303,18699435,19085941,19497986,19936366,20401331,20895311,21418603,21966312,22531350,23108472,23695919,24294750
Cote d'Ivoire,CIV,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,35340919846.0208,35354124610.2894,34887113106.3257,34105092595.6703,37198239006.269,42123506238.7944,43998021300.6603,45972598726.3584,48199887689.7841,50070132013.2808,51803144648.9724,50433570908.0155,57278462371.2207,62511110326.9041,70636409205.5388,77343489686.3189,85006935427.3592,92838436305.6521
Croatia,HRV,"Population, total",SP.POP.TOTL,4426000,4440000,4440000,4440000,4439000,4442000,4440000,4436000,4434508,4429078,4417781,4280622,4267558,4255689,4238389,4203604,4174349,4125700
Croatia,HRV,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,46705367753.9637,49310243990.5087,53696579468.2701,56377011464.8473,61556336515.0649,64624300286.2974,73416282328.7188,81606190438.8554,87329477586.9064,83365130323.7349,82615902994.8915,86398067904.4867,87617813671.2484,90801403401.3453,91626929903.9936,94901071086.8342,95774140816.2297,101924500399.147
Cuba,CUB,"Population, total",SP.POP.TOTL,11150736,11186542,11217998,11244885,11266941,11284253,11296233,11303687,11309754,11318602,11333051,11354651,11382146,11412167,11439767,11461432,11475982,11484636
Cuba,CUB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Curacao,CUW,"Population, total",SP.POP.TOTL,133860,129047,129205,131897,134192,137658,141239,144056,145880,146833,148703,150831,152088,153822,155909,157980,159663,161014
Curacao,CUW,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,"Population, total",SP.POP.TOTL,943286,960282,976966,993563,1010410,1027658,1045509,1063712,1081563,1098076,1112607,1124835,1135062,1143896,1152309,1160985,1170125,1179551
Cyprus,CYP,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,14264206867.2982,15510468546.082,16419112636.36,16989335804.4985,18402267961.9721,20123799612.2055,22033659603.8023,24907672602.3809,26830745287.5201,27019202873.4819,26757384120.5334,28242314745.3694,26724846886.5585,25160254271.3428,24954517638.5957,26892224919.5162,27566352908.4321,28838790395.952
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10255063,10216605,10196916,10193998,10197101,10211216,10238905,10298828,10384603,10443936,10474410,10496088,10510785,10514272,10525347,10546059,10566332,10591323
