# Territory names from CLDR
அஷன்ஷியன் தீவு	ਅਸ਼ਨ਼੍ਸ਼ਿਯਨ਼੍ ਤੀਵੁ
நியூசிலாந்து	ਨਿਯੂਚਿਲਾਨ੍ਤੁ
ஓமன்	ਓਮਨ਼੍
பனாமா	ਪਨ਼ਾਮਾ
பெரு	ਪੇਰੁ
பிரெஞ்சு பாலினேஷியா	ਪਿਰੇਞ੍ਚੁ ਪਾਲਿਨ਼ੇਸ਼ਿਯਾ
பப்புவா நியூ கினியா	ਪਪ੍ਪੁਵਾ ਨਿਯੂ ਕਿਨ਼ਿਯਾ
பிலிப்பைன்ஸ்	ਪਿਲਿਪ੍ਪੈਨ਼੍ਸ੍
பாகிஸ்தான்	ਪਾਕਿਸ੍ਤਾਨ਼੍
போலந்து	ਪੋਲਨ੍ਤੁ
செயின்ட் பியர் &amp; மிக்வேலான்	ਚੇਯਿਨ਼੍ਟ੍ ਪਿਯਰ੍ &amp; ਮਿਕ੍ਵੇਲਾਨ਼੍
பிட்கெய்ர்ன் தீவுகள்	ਪਿਟ੍ਕੇਯ੍ਰ੍ਨ਼੍ ਤੀਵੁਕਲ੍
பியூர்டோ ரிகோ	ਪਿਯੂਰ੍ਟੋ ਰਿਕੋ
பாலஸ்தீனிய பிரதேசங்கள்	ਪਾਲਸ੍ਤੀਨ਼ਿਯ ਪਿਰਤੇਚਙ੍ਕਲ੍
பாலஸ்தீனம்	ਪਾਲਸ੍ਤੀਨ਼ਮ੍
போர்ச்சுக்கல்	ਪੋਰ੍ਚ੍ਚੁਕ੍ਕਲ੍
பாலோ	ਪਾਲੋ
பராகுவே	ਪਰਾਕੁਵੇ
கத்தார்	ਕਤ੍ਤਾਰ੍
வெளிப்புற ஓஷியானியா	ਵੇਲਿਪ੍ਪੁਰ਼ ਓਸ਼ਿਯਾਨ਼ਿਯਾ
ரீயூனியன்	ਰੀਯੂਨ਼ਿਯਨ਼੍
ருமேனியா	ਰੁਮੇਨ਼ਿਯਾ
செர்பியா	ਚੇਰ੍ਪਿਯਾ
ரஷ்யா	ਰਸ਼੍ਯਾ
ருவான்டா	ਰੁਵਾਨ਼੍ਟਾ
சவூதி அரேபியா	ਚਵੂਤਿ ਅਰੇਪਿਯਾ
சாலமன் தீவுகள்	ਚਾਲਮਨ਼੍ ਤੀਵੁਕਲ੍
சீஷெல்ஸ்	ਚੀਸ਼ੇਲ੍ਸ੍
சூடான்	ਚੂਟਾਨ਼੍
ஸ்வீடன்	ਸ੍ਵੀਟਨ਼੍
சிங்கப்பூர்	ਚਿਙ੍ਕਪ੍ਪੂਰ੍
செயின்ட் ஹெலெனா	ਚੇਯਿਨ਼੍ਟ੍ ਹੇਲੇਨ਼ਾ
ஸ்லோவேனியா	ਸ੍ਲੋਵੇਨ਼ਿਯਾ
ஸ்வல்பார்டு &amp; ஜான் மேயன்	ਸ੍ਵਲ੍ਪਾਰ੍ਟੁ &amp; ਜਾਨ਼੍ ਮੇਯਨ਼੍
ஸ்லோவாகியா	ਸ੍ਲੋਵਾਕਿਯਾ
சியாரா லியோன்	ਚਿਯਾਰਾ ਲਿਯੋਨ਼੍
சான் மரினோ	ਚਾਨ਼੍ ਮਰਿਨ਼ੋ
செனெகல்	ਚੇਨ਼ੇਕਲ੍
சோமாலியா	ਚੋਮਾਲਿਯਾ
சுரினாம்	ਚੁਰਿਨ਼ਾਮ੍
தெற்கு சூடான்	ਤੇਰ਼੍ਕੁ ਚੂਟਾਨ਼੍
சாவ் தோம் &amp; ப்ரின்சிபி	ਚਾਵ੍ ਤੋਮ੍ &amp; ਪ੍ਰਿਨ਼੍ਚਿਪਿ
எல் சால்வடார்	ਏਲ੍ ਚਾਲ੍ਵਟਾਰ੍
சின்ட் மார்டென்	ਚਿਨ਼੍ਟ੍ ਮਾਰ੍ਟੇਨ਼੍
சிரியா	ਚਿਰਿਯਾ
ஸ்வாஸிலாந்து	ਸ੍ਵਾਸਿਲਾਨ੍ਤੁ
டிரிஸ்டன் டா குன்ஹா	ਟਿਰਿਸ੍ਟਨ਼੍ ਟਾ ਕੁਨ਼੍ਹਾ
டர்க்ஸ் &amp; கைகோஸ் தீவுகள்	ਟਰ੍ਕ੍ਸ੍ &amp; ਕੈਕੋਸ੍ ਤੀਵੁਕਲ੍
சாட்	ਚਾਟ੍
பிரெஞ்சு தெற்கு பிரதேசங்கள்	ਪਿਰੇਞ੍ਚੁ ਤੇਰ਼੍ਕੁ ਪਿਰਤੇਚਙ੍ਕਲ੍
டோகோ	ਟੋਕੋ
தாய்லாந்து	ਤਾਯ੍ਲਾਨ੍ਤੁ
தாஜிகிஸ்தான்	ਤਾਜਿਕਿਸ੍ਤਾਨ਼੍
டோகேலோ	ਟੋਕੇਲੋ
தைமூர்-லெஸ்தே	ਤੈਮੂਰ੍-ਲੇਸ੍ਤੇ
கிழக்கு தைமூர்	ਕਿਲ਼ਕ੍ਕੁ ਤੈਮੂਰ੍
துர்க்மெனிஸ்தான்	ਤੁਰ੍ਕ੍ਮੇਨ਼ਿਸ੍ਤਾਨ਼੍
டுனிசியா	ਟੁਨ਼ਿਚਿਯਾ
டோங்கா	ਟੋਙ੍ਕਾ
துருக்கி	ਤੁਰੁਕ੍ਕਿ
ட்ரினிடாட் &amp; டொபாகோ	ਟ੍ਰਿਨ਼ਿਟਾਟ੍ &amp; ਟੋਪਾਕੋ
துவாலூ	ਤੁਵਾਲੂ
தைவான்	ਤੈਵਾਨ਼੍
தான்சானியா	ਤਾਨ਼੍ਚਾਨ਼ਿਯਾ
உக்ரைன்	ਉਕ੍ਰੈਨ਼੍
உகாண்டா	ਉਕਾਣ੍ਟਾ
அமெரிக்கா	ਅਮੇਰਿਕ੍ਕਾ
யூஎஸ்	ਯੂਏਸ੍
உருகுவே	ਉਰੁਕੁਵੇ
உஸ்பெகிஸ்தான்	ਉਸ੍ਪੇਕਿਸ੍ਤਾਨ਼੍
வாடிகன் நகரம்	ਵਾਟਿਕਨ਼੍ ਨਕਰਮ੍
செயின்ட் வின்சென்ட் &amp; கிரெனடைன்ஸ்	ਚੇਯਿਨ਼੍ਟ੍ ਵਿਨ਼੍ਚੇਨ਼੍ਟ੍ &amp; ਕਿਰੇਨ਼ਟੈਨ਼੍ਸ੍
வெனிசுலா	ਵੇਨ਼ਿਚੁਲਾ
பிரிட்டீஷ் கன்னித் தீவுகள்	ਪਿਰਿਟ੍ਟੀਸ਼੍ ਕਨ਼੍ਨ਼ਿਤ੍ ਤੀਵੁਕਲ੍
வியட்நாம்	ਵਿਯਟ੍ਨਾਮ੍
வனுவாட்டு	ਵਨ਼ੁਵਾਟ੍ਟੁ
வாலிஸ் மற்றும் ஃபுடுனா	ਵਾਲਿਸ੍ ਮਰ਼੍ਰ਼ੁਮ੍ ਪੁਟੁਨ਼ਾ
சமோவா	ਚਮੋਵਾ
கொசோவோ	ਕੋਚੋਵੋ
ஏமன்	ਏਮਨ਼੍
மயோட்	ਮਯੋਟ੍
தென் ஆப்பிரிக்கா	ਤੇਨ਼੍ ਆਪ੍ਪਿਰਿਕ੍ਕਾ
ஜாம்பியா	ਜਾਮ੍ਪਿਯਾ
ஜிம்பாப்வே	ਜਿਮ੍ਪਾਪ੍ਵੇ
அறியப்படாத பிரதேசம்	ਅਰ਼ਿਯਪ੍ਪਟਾਤ ਪਿਰਤੇਚਮ੍
