ababuj	أفافوخ
alpuente	ألبوينتي
alquezar	ألكيثار
alsasua	ألساسوا
altable	ألتافلي
altamira	ألتاميرا
altarejos	ألتاريخوس
altea	ألتيا
altorricon	ألتوريكون
altoteiro	ألتوتييرو
altura	ألتورا
alustante	ألوستانتي
alvires	ألفيريس
alzola	ألثولا
amaya	أمايا
amer	أمير
ames	أميس
ameyugo	أمييوغو
amezaga	أميثاغا
amieva	أميفا
amoeiro	أموييرو
amorebieta	أموريفيتا
amposta	أمبوستا
ampudia	أمبوذيا
ampuero	أمبويرو
ampurias	أمبورياس
amurrio	أموريو
amusco	أموسكو
aña	أنا
anchuras	أنتشوراس
ancin	أنثين
andalucia	أندالوثيا
andavias	أندافياس
andilla	أنديليا
andoain	أندواين
andorra	أندورا
andosilla	أندوسيليا
andraitx	أندرايتش
andujar	أندوخار
angles	أنغليس
anglesola	أنغليسولا
angüés	أنغويس
anguiano	أنغيانو
anguix	أنغيكس
aniñón	أنينون
anleo	أنليو
añon	أنون
añora	أنورا
anso	أنسو
antas	أنتاس
antequera	أنتيكيرا
antigüedad	أنتيغويذاذ
antonaña	أنتونانا
anzanigo	أنثانيغو
anzuola	أنثوولا
anzur	أنثور
apatamonasterio	أباتاموناستيريو
apellaniz	أبيليانيث
aquilue	أكيلوي
aracena	أراثينا
arafo	أرافو
aragon	أراغون
aragoncillo	أراغونثيليو
aranarache	أراناراتشي
aranaz	أراناث
arandillo	أرانديليو
aranjuez	أرانخويث
arano	أرانو
aranzazu	أرانثاثو
aranzuegue	أرانثويغي
arapiles	أرابيليس
aras	أراس
aravaca	أرافاكا
araya	أرايا
arbeca	أرفيكا
arbo	أرفو
arbos	أرفوس
arceniega	أرثينيغا
archena	أرتشينا
archilla	أرتشيليا
arcos	أركوس
arcusa	أركوسا
ardisa	أرذيسا
aren	أرين
arenas	أريناس
areo	أريو
ares	أريس
areta	أريتا
arevalillo	أريفاليليو
arevalo	أريفالو
arganda	أرغاندا
arganza	أرغانثا
arguedas	أرغيذاس
arguellite	أرغيليتي
arguineguin	أرغينيغين
arguis	أرغيس
arija	أريخا
arinaga	أريناغا
ariñez	أرينيث
ariño	أرينو
arive	أريفي
ariza	أريثا
arizala	أريثالا
arjona	أرخونا
arjonilla	أرخونيليا
arlanzon	أرلانثون
armuna	أرمونا
arnedillo	أرنيذيليو
arnedo	أرنيذو
arnes	أرنيس
arnoya	أرنويا
arnuero	أرنويرو
aroche	أروتشي
aroizu	أرويثو
arona	أرونا
arquillos	أركيليوس
arrabalde	أرافالدي
arrancacepas	أرانكاثيباس
arrazola	أراثولا
arrecife	أريثيفي
arredondo	أريذوندو
arriate	أرياتي
arrieta	أريتا
arrigorriaga	أريغورياغا
arriondas	أريونداس
arroba	أروفا
arroniz	أرونيث
arroyal	أرويال
arroyos	أرويوس
arta	أرتا
artajona	أرتاخونا
artana	أرتانا
artazu	أرتاثو
arteijo	أرتييخو
artenara	أرتينارا
artes	أرتيس
artieda	أرتيذا
arties	أرتيس
arucas	أروكاس
arure	أروري
arzúa	أرثوا
asco	أسكو
asin	أسين
asomadilla	أسوماذيليا
ason	أسون
aspariegos	أسباريغوس
aspe	أسبي
astillero	أستيليرو
astudillo	أستوذيليو
asturianos	أستوريانوس
asturias	أستورياس
atalaya	أتالايا
atalayasa	أتالاياسا
ataquines	أتاكينيس
atarfe	أتارفي
atauta	أتاوتا
atea	أتيا
ateca	أتيكا
atienza	أتينثا
atocha	أتوتشا
auñón	أونون
ausejo	أوسيخو
autol	أوتول
autoria	أوتوريا
aveinte	أفيينتي
avellanes	أفيليانيس
avila	أفيلا
aviles	أفيليس
avinyo	أفينيو
avinyonet	أفينيونيت
avion	أفيون
ayamonte	أيامونتي
ayedo	أيذو
ayllon	أيليون
ayna	أينا
ayora	أيورا
aytona	أيتونا
azagra	أثاغرا
azaila	أثايلا
azañón	أثانون
azanuy	أثانوي
azcoitia	أثكويتيا
aznalcazar	أثنالكاثار
aznalcollar	أثنالكوليار
azpeitia	أثبييتيا
azuaga	أثواغا
azuara	أثوارا
azuelo	أثويلو
babilafuente	بافيلافوينتي
bacares	باكاريس
badajoz	باذاخوث
badalona	باذالونا
badaran	باذاران
badenas	باذيناس
badolatosa	باذولاتوسا
badules	باذوليس
baena	باينا
baeza	بايثا
baga	باغا
baguena	باغينا
bagur	باغور
bahillo	باإِليو
bailen	بايلين
baillo	بايليو
bajamar	باخامار
balaguer	بالاغير
balazote	بالاثوتي
balces	بالثيس
balconete	بالكونيتي
baleira	بالييرا
balerma	باليرما
balimbra	باليمبرا
balira	باليرا
ballerias	باليرياس
ballestar	باليستار
ballesteros	باليستيروس
ballobar	باليوفار
balsareny	بالساريني
balsicas	بالسيكاس
baltanas	بالتاناس
baltar	بالتار
bañares	باناريس
bande	باندي
bañeras	بانيراس
bañobarez	بانوفاريث
bañolas	بانولاس
bañon	بانون
banyoles	بانيوليس
banyos	بانيوس
baracaldo	باراكالدو
barahona	باراأنا
barajas	باراخاس
baralla	باراليا
barambio	بارامبيو
barasoain	باراسواين
barbadanes	بارفاذانيس
barbadillo	بارفاذيليو
barbalimpia	بارفاليمبيا
barbastro	بارفاسترو
barca	باركا
barcarrota	باركاروتا
barcena	بارثينا
barcheta	بارتشيتا
barcience	بارثينثي
barcones	باركونيس
bareyo	بارييو
bargas	بارغاس
barjos	بارخوس
barqueros	باركيروس
barracas	باراكاس
barrachina	باراتشينا
barraco	باراكو
barrax	باراكس
barreiros	بارييروس
barriomartin	باريومارتين
barro	بارو
barruecopardo	بارويكوبارذو
barzana	بارثانا
basauri	باساوري
bascara	باسكارا
basella	باسيليا
batea	باتيا
baterno	باتيرنو
bayo	بايو
bayona	بايونا
baza	باثا
beade	باذي
beariz	باريث
beas	باس
becarrea	بكاريا
beceite	بثييتي
bechi	بتشي
bedar	بذار
bedmar	بذمار
begijar	بخيخار
begonte	بغونتي
beire	بيري
beires	بيريس
bejar	بخار
bejis	بخيس
belchite	بلتشيتي
belianes	بليانيس
belinchón	بلينتشون
bello	بليو
belltall	بليتالي
bellver	بليفير
bellvey	بليفيي
bellvis	بليفيس
belmez	بلميث
belmonte	بلمونتي
belmontejo	بلمونتيخو
belorado	بلوراذو
belver	بلفير
bembibre	بمبيفري
benabarre	بنافاري
benacazon	بناكاثون
benafigos	بنافيغوس
benagalbon	بناغالفون
benaguacil	بناغواثيل
benahadux	بناأذوكس
benahavis	بناأفيس
benajarafa	بناخارافا
benalauria	بنالاوريا
benamaurel	بناماوريل
benameji	بناميخي
benamocarra	بناموكارا
benaocaz	بناوكاث
benaojan	بناوخان
benarraba	بنارافا
benasal	بناسال
benasque	بناسكي
benatae	بناتاي
benavente	بنافينتي
benavides	بنافيذيس
benavites	بنافيتيس
benegiles	بنيخيليس
benejama	بنيخاما
benejuzar	بنيخوثار
benferri	بنفيري
beniarda	بنيارذا
beniarres	بنياريس
benicasim	بنيكاسيم
benichembla	بنيتشيمبلا
benifallet	بنيفاليت
benifallim	بنيفاليم
benifayo	بنيفايو
beniganim	بنيغانيم
benilloba	بنيليوفا
benimasot	بنيماسوت
beninar	بنينار
beniopa	بنيوبا
benisa	بنيسا
benisanet	بنيسانيت
beniseno	بنيسينو
benitachell	بنيتاتشيلي
benizalon	بنيثالون
benuza	بنوثا
benzu	بنثو
beranga	برانغا
berantevilla	برانتيفيليا
bercedo	برثيذو
bercero	برثيرو
berducedo	برذوثيذو
berdun	برذون
berga	برغا
bergasa	برغاسا
bergondo	برغوندو
bergüenda	برغويندا
berja	برخا
berlanga	برلانغا
bermeo	برميو
berriz	بريث
berrocal	بروكال
berzocana	برثوكانا
besalu	بسالو
besaya	بسايا
bescane	بسكاني
betancuria	بتانكوريا
betanzos	بتانثوس
betelu	بتيلو
betera	بتيرا
beteta	بتيتا
bezes	بثيس
biar	بيار
bibey	بيفيي
biel	بيل
bielsa	بيلسا
bienvenida	بينبينيذا
biescas	بيسكاس
bigastro	بيغاسترو
biguezal	بيغيثال
bimeda	بيميذا
bimenes	بيمينيس
binaced	بيناثيذ
binefar	بينيفار
binies	بينيس
binisalem	بينيساليم
binue	بينوي
biosca	بيوسكا
biota	بيوتا
biscarrues	بيسكارويس
biurrun	بيورون
bizberri	بيثفيري
blanca	بلانكا
blancas	بلانكاس
blancos	بلانكوس
blanes	بلانيس
blanquilla	بلانكيليا
blazques	بلاثكيس
blecua	بليكوا
blesa	بليسا
boada	بواذا
boadilla	بواذيليا
boal	بوال
bobadilla	بوفاذيليا
boboras	بوفوراس
bocairente	بوكايرينتي
boceguillas	بوثيغيلياس
bocigas	بوثيغاس
boecillo	بويثيليو
bogarra	بوغارا
bogarre	بوغاري
bohoyo	بوأيو
boimorto	بويمورتو
bojar	بوخار
bolaños	بولانوس
bolea	بوليا
boltaña	بولتانا
bonanza	بونانثا
boñar	بونار
bonares	بوناريس
boniches	بونيتشيس
bonilla	بونيليا
boqueijon	بوكييخون
bordon	بورذون
borines	بورينيس
borja	بورخا
bornoba	بورنوفا
bornos	بورنوس
borobia	بوروفيا
borox	بوروكس
borres	بوريس
borriol	بوريول
bosost	بوسوست
bot	بوت
botorrita	بوتوريتا
boveda	بوفيذا
brabatas	برافاتاس
brañosera	برانوسيرا
braojos	براوخوس
brea	بريا
breda	بريذا
brenes	برينيس
bretun	بريتون
brihuega	بريأيغا
briñas	بريناس
brion	بريون
briones	بريونيس
briviesca	بريفيسكا
bronchales	برونتشاليس
broto	بروتو
brozas	بروثاس
brunete	برونيتي
brunola	برونولا
buciegas	بوثيغاس
budia	بوذيا
buena	بوينا
buenavista	بوينافيستا
buendia	بوينديا
bueu	بويو
bufali	بوفالي
bugarra	بوغارا
buger	بوخير
buitre	بويتري
bujalance	بوخالانثي
bujan	بوخان
bujaraloz	بوخارالوث
bullas	بولياس
buñero	بونيرو
buniel	بونيل
buñol	بونول
buñola	بونولا
buñuel	بونويل
burbaguena	بورفاغينا
bures	بوريس
burgo	بورغو
burgohondo	بورغوأندو
burgos	بورغوس
burguete	بورغيتي
burgui	بورغي
burguillos	بورغيليوس
buron	بورون
burriana	بوريانا
burujon	بوروخون
busot	بوسوت
busquistar	بوسكيستار
cabana	كافانا
cabañaquinta	كافاناكينتا
cabañas	كافاناس
cabanes	كافانيس
cabanillas	كافانيلياس
cabe	كافي
cabezamesada	كافيثاميساذا
cabezarados	كافيثاراذوس
cabezo	كافيثو
cabolafuente	كافولافوينتي
cabra	كافرا
cabrales	كافراليس
cabranes	كافرانيس
cabreiros	كافرييروس
cabrillanes	كافريليانيس
cabrillas	كافريلياس
cacabelos	كاكافيلوس
caceres	كاثيريس
cachilla	كاتشيليا
cachorrilla	كاتشوريليا
cacin	كاثين
cadagua	كاذاغوا
cadaques	كاذاكيس
cadavedo	كاذافيذو
cadi	كاذي
cadiar	كاذيار
cadreita	كاذرييتا
cadrete	كاذريتي
cala	كالا
calaceite	كالاثييتي
calaf	كالاف
calafell	كالافيلي
calahorra	كالاأرا
calamocha	كالاموتشا
calamonte	كالامونتي
calañas	كالاناس
calanda	كالاندا
calasparra	كالاسبارا
calatanazor	كالاتاناثور
calatayud	كالاتايوذ
calatorao	كالاتوراو
calaveruela	كالافيرويلا
caldas	كالداس
calderina	كالديرينا
caleruega	كاليرويغا
caleta	كاليتا
calicasas	كاليكاساس
calig	كاليغ
callejas	كاليخاس
calonge	كالونخي
calpe	كالبي
caltojar	كالتوخار
calvia	كالفيا
calzadilla	كالثاذيليا
camaleno	كامالينو
camallera	كاماليرا
camarao	كاماراو
camarasa	كاماراسا
camarena	كامارينا
camarillas	كاماريلياس
camariñas	كاماريناس
camas	كاماس
cambados	كامباذوس
cambil	كامبيل
cambre	كامبري
cambrils	كامبريلس
caminomorisco	كامينوموريسكو
caminreal	كامينريال
campanario	كامباناريو
campanet	كامبانيت
campanillas	كامبانيلياس
campano	كامبانو
campaspero	كامباسبيرو
campdevanol	كامبذيفانول
campello	كامبيليو
campillo	كامبيليو
campillos	كامبيليوس
campisabalos	كامبيسافالوس
campomanes	كامبومانيس
camporredondo	كامبوريذوندو
camporrells	كامبوريليس
camporrobles	كامبوروفليس
campos	كامبوس
campotejar	كامبوتيخار
camprodor	كامبروذور
camprovin	كامبروفين
camunas	كاموناس
cañada	كاناذا
cañadajuncosa	كاناذاخونكوسا
canales	كاناليس
canals	كانالس
cañamares	كاناماريس
cañamero	كاناميرو
cañar	كانار
cañaveral	كانافيرال
cañaveras	كانافيراس
cancarix	كانكاريكس
cancienes	كانثينيس
candas	كانداس
candasnos	كانداسنوس
candelaria	كانديلاريا
candelario	كانديلاريو
candeleda	كانديليذا
candilichera	كانديليتشيرا
candin	كاندين
canedo	كانيذو
canena	كانينا
canero	كانيرو
canfranc	كانفرانك
cangas	كانغاس
caniles	كانيليس
canillas	كانيلياس
canizal	كانيثال
canizares	كانيثاريس
canizo	كانيثو
canjayar	كانخايار
cantalapiedra	كانتالابيذرا
cantalejo	كانتاليخو
cantalojas	كانتالوخاس
cantalpino	كانتالبينو
cantareros	كانتاريروس
cantavieja	كانتافيخا
canteras	كانتيراس
cantillana	كانتيليانا
cantoral	كانتورال
cantoria	كانتوريا
canyellas	كانيلياس
caparroso	كاباروسو
capdella	كابذيليا
capdepera	كابذيبيرا
capellades	كابيلياذيس
capilduy	كابيلدوي
capilla	كابيليا
carabaña	كارافانا
carabanchel	كارافانتشيل
caracuel	كاراكويل
caralps	كارالبس
caravaca	كارافاكا
carbajo	كارفاخو
carbia	كارفيا
carcaboso	كاركافوسو
carcabuey	كاركافويي
carcagente	كاركاخينتي
carcar	كاركار
carcastillo	كاركاستيليو
carcelen	كارثيلين
carchel	كارتشيل
carchelejo	كارتشيليخو
cardejon	كارذيخون
cardona	كارذونا
carenas	كاريناس
cariñena	كارينينا
cariño	كارينو
carlet	كارليت
carmena	كارمينا
carracedelo	كاراثيذيلو
carral	كارال
carranque	كارانكي
carranza	كارانثا
carrascalejo	كاراسكاليخو
carrascosa	كاراسكوسا
carratraca	كاراتراكا
carreña	كارينا
carril	كاريل
carrizal	كاريثال
carrizo	كاريثو
carrizosa	كاريثوسا
carrocera	كاروثيرا
carroo	كاروو
cartama	كارتاما
cartaya	كارتايا
cartelle	كارتيلي
carucedo	كاروثيذو
casalarreina	كاسالاريينا
casar	كاسار
casarabonela	كاسارافونيلا
casarejos	كاساريخوس
casares	كاساريس
casariche	كاساريتشي
casasimarro	كاساسيمارو
casatejada	كاساتيخاذا
casavieja	كاسافيخا
cascante	كاسكانتي
caseda	كاسيذا
caseras	كاسيراس
caserras	كاسيراس
casinos	كاسينوس
caso	كاسو
caspe	كاسبي
castala	كاستالا
castalla	كاستاليا
castanesa	كاستانيسا
castaño	كاستانو
castaras	كاستاراس
castejon	كاستيخون
castelflorite	كاستيلفلوريتي
castellanos	كاستيليانوس
castelldans	كاستيليدانس
castelldefels	كاستيليديفيلس
castellote	كاستيليوتي
castells	كاستيليس
castelltallat	كاستيليتاليات
castellvell	كاستيليفيلي
castelseras	كاستيلسيراس
castelvispal	كاستيلفيسبال
castielfabib	كاستيلفافيف
castildelgado	كاستيلديلغاذو
castiliscar	كاستيليسكار
castilla	كاستيليا
castillejar	كاستيليخار
castilmimbre	كاستيلميمبري
castilnuevo	كاستيلنويفو
castralvo	كاسترالفو
castril	كاستريل
castrillon	كاستريليون
castrocalion	كاستروكاليون
castrocontrigo	كاستروكونتريغو
castrodeza	كاستروذيثا
castrogeriz	كاستروخيريث
castrogonzalo	كاستروغونثالو
castromocho	كاستروموتشو
castromonte	كاسترومونتي
castromudarra	كاستروموذارا
castronuevo	كاسترونويفو
castronuño	كاسترونونو
castropodame	كاستروبوذامي
castropol	كاستروبول
castuera	كاستويرا
catadau	كاتاذاو
catarroja	كاتاروخا
cati	كاتي
catllal	كاتليال
catoira	كاتويرا
catoute	كاتووتي
catral	كاترال
caude	كاوذي
caudete	كاوذيتي
caudiel	كاوذيل
caurel	كاوريل
cavezon	كافيثون
cayon	كايون
cazalegas	كاثاليغاس
cea	ثا
ceadea	ثاذيا
ceanuri	ثانوري
cebanico	ثفانيكو
cebolla	ثفوليا
cebollar	ثفوليار
cebollera	ثفوليرا
cebreros	ثفريروس
cebron	ثفرون
ceclavin	ثكلافين
cecos	ثكوس
cedeira	ثذييرا
cedillo	ثذيليو
cedrillas	ثذريلياس
cee	ثي
cehegin	ثإِخين
ceinos	ثينوس
cejo	ثخو
celadas	ثلاذاس
celanova	ثلانوفا
cella	ثليا
celtiberia	ثلتيفيريا
cenia	ثنيا
cenicero	ثنيثيرو
cenicientos	ثنيثينتوس
cenizate	ثنيثاتي
cenlle	ثنلي
centellas	ثنتيلياس
centenillo	ثنتينيليو
centro	ثنترو
cepeda	ثبيذا
cerceda	ثرثيذا
cercedilla	ثرثيذيليا
cerda	ثرذا
cerdedo	ثرذيذو
cerdido	ثرذيذو
cerezo	ثريثو
cernegula	ثرنيغولا
cerollera	ثروليرا
cerralbo	ثرالفو
cervera	ثرفيرا
cespedossa	ثسبيذوسا
cestona	ثستونا
cesuras	ثسوراس
cetina	ثتينا
ceuti	ثوتي
chamartin	تشامارتين
chamberi	تشامبيري
chantada	تشانتاذا
chapineria	تشابينيريا
charches	تشارتشيس
chauchina	تشاوتشينا
chavaler	تشافالير
checa	تشكا
cheles	تشليس
chella	تشليا
chelva	تشلفا
chera	تشرا
chercos	تشركوس
chert	تشيرت
cherta	تشرتا
cheste	تشستي
chiclana	تشيكلانا
chilches	تشيلتشيس
chilizarrias	تشيليثارياس
chillon	تشيليون
chiloeches	تشيلويتشيس
chimerraes	تشيميرايس
chinchon	تشينتشون
chío	تشيو
chipiona	تشيبيونا
chiprana	تشيبرانا
chirivel	تشيريفيل
chiva	تشيفا
chodos	تشوذوس
chovar	تشوفار
chueca	تشويكا
chulilla	تشوليليا
chullo	تشوليو
ciadoncha	ثياذونتشا
cibea	ثيفيا
cidad	ثيذاذ
cidones	ثيذونيس
ciempozuelos	ثيمبوثويلوس
cieza	ثيثا
cifuentes	ثيفوينتيس
cigales	ثيغاليس
cigüenza	ثيغوينثا
cillamayor	ثيليامايور
cillas	ثيلياس
cilleros	ثيليروس
cimballa	ثيمباليا
cinctorres	ثينكتوريس
cintruenigo	ثينتروينيغو
cional	ثيونال
ciordia	ثيورذيا
ciperez	ثيبيريث
cirat	ثيرات
cirauqui	ثيراوكي
ciria	ثيريا
ciriza	ثيريثا
ciruelos	ثيرويلوس
cirugeda	ثيروخيذا
cisla	ثيسلا
cisneros	ثيسنيروس
cistierna	ثيستيرنا
ciudadela	ثيوذاذيلا
ciutadilla	ثيوتاذيليا
clariana	كلاريانا
coaña	كوانا
cobatillas	كوفاتيلياس
cobdar	كوفذار
cobeta	كوفيتا
cobreros	كوفريروس
coca	كوكا
cocentaina	كوثينتاينا
codeseda	كوذيسيذا
codos	كوذوس
cofete	كوفيتي
cogollos	كوغوليوس
cogolludo	كوغوليوذو
coín	كوين
coiros	كويروس
coles	كوليس
colgadizos	كولغاذيثوس
colindres	كوليندريس
collados	كولياذوس
collanzo	كوليانثو
colliga	كوليغا
colmenar	كولمينار
colmenarejo	كولميناريخو
colomera	كولوميرا
colunga	كولونغا
comares	كوماريس
combarros	كومباروس
comillas	كوميلياس
competa	كومبيتا
compostela	كومبوستيلا
concud	كونكوذ
conil	كونيل
conjo	كونخو
conques	كونكيس
conquista	كونكيستا
consuegra	كونسويغرا
contes	كونتيس
copons	كوبونس
corbaton	كورفاتون
corbelle	كورفيلي
corbera	كورفيرا
corchuela	كورتشويلا
corconte	كوركونتي
corcubion	كوركوفيون
cordoba	كورذوفا
cordova	كورذوفا
cordovin	كورذوفين
corella	كوريليا
coreses	كوريسيس
corgo	كورغو
coria	كوريا
coripe	كوريبي
coristanco	كوريستانكو
corme	كورمي
cornago	كورناغو
corpa	كوربا
corralejo	كوراليخو
corrales	كوراليس
corredoiras	كوريذويراس
corrubedo	كوروفيذو
cortegada	كورتيغاذا
cortegana	كورتيغانا
cortelazor	كورتيلاثور
cortes	كورتيس
corullon	كوروليون
corvera	كورفيرا
cosa	كوسا
coscurita	كوسكوريتا
coslada	كوسلاذا
cospeito	كوسبييتو
costitx	كوستيتش
cosvenda	كوسفيندا
cotiella	كوتيليا
cotillas	كوتيلياس
cotillo	كوتيليو
cotobad	كوتوفاذ
cousa	كووسا
covadonga	كوفاذونغا
covarrubias	كوفاروفياس
covas	كوفاس
covelo	كوفيلو
cox	كوكس
cozar	كوثار
creciente	كريثينتي
cremenes	كريمينيس
crespos	كريسبوس
cretas	كريتاس
crevillente	كريفيلينتي
cripan	كريبان
cristobal	كريستوفال
cruce	كروثي
cuadros	كواذروس
cualedro	كواليذرو
cuatretonda	كواتريتوندا
cubells	كوفيليس
cubla	كوفلا
cucutas	كوكوتاس
cudillero	كوذيليرو
cuellar	كويليار
cuenca	كوينكا
culla	كوليا
cullera	كوليرا
culleredo	كوليريذو
cuntis	كونتيس
curueña	كوروينا
daimiel	دايميل
dalias	دالياس
dancharinea	دانتشارينيا
darnius	دارنيوس
daroca	داروكا
darrical	داريكال
darro	دارو
degaña	دغانا
deifontes	ديفونتيس
deleitosa	دلييتوسا
delicias	دليثياس
denia	دنيا
destriana	دستريانا
deusto	دوستو
deva	دفا
deya	ديا
deza	دثا
dicastillo	ديكاستيليو
diezma	ديثما
dilar	ديلار
dima	ديما
diustes	ديوستيس
dobro	دوفرو
dodro	دوذرو
dolar	دولار
dolores	دولوريس
domeno	دومينو
domingo	دومينغو
donado	دوناذو
dosbarrios	دوسفاريوس
dozon	دوثون
driebes	دريفيس
dueñas	دويناس
dumbria	دومبريا
durango	دورانغو
duraton	دوراتون
durcal	دوركال
ea	أا
echalar	أتشالار
echalecu	أتشاليكو
echano	أتشانو
