abanilla	آوانييا
cachilla	کاچييا
cachorrilla	کاچورييا
cacin	کاسين
calaceite	کالاسييته
calafell	کالافيي
calatanazor	کالاتاناسور
callejas	کايخاس
calzadilla	کالساذييا
camallera	کامايرا
camarillas	کاماريياس
campanillas	کامپانيياس
campello	کامپييو
campillo	کامپييو
campillos	کامپييوس
camporrells	کامپورييس
cancienes	کانسينيس
canillas	کانيياس
canizal	کانيسال
canizares	کانيساريس
canizo	کانيسو
cantillana	کانتييانا
canyellas	کانيياس
capdella	کاپذييا
capellades	کاپيياذيس
capilla	کاپييا
carcastillo	کارکاستييو
carcelen	کارسيلين
carracedelo	کاراسيذيلو
carranza	کارانسا
carrizal	کاريسال
carrizo	کاريسو
carrizosa	کاريسوسا
carrocera	کاروسيرا
cartelle	کارتيي
carucedo	کاروسيذو
castalla	کاستايا
castellanos	کاستييانوس
castelldans	کاستييدانس
castelldefels	کاستييديفيلس
castellote	کاستييوته
castells	کاستييس
castelltallat	کاستييتايات
castellvell	کاستييويي
castilla	کاستييا
castillejar	کاستييخار
castrillon	کاسترييون
castrodeza	کاستروذيسا
castrogeriz	کاستروخيريس
castrogonzalo	کاستروغونسالو
catllal	کاتيال
cavezon	کاويسون
cazalegas	کاساليغاس
cea	سيا
ceadea	سياذيا
ceanuri	سيانوري
cebanico	سيوانيکو
cebolla	سيوويا
cebollar	سيوويار
cebollera	سيوويرا
cebreros	سيوريروس
cebron	سيورون
ceclavin	سيکلاوين
cecos	سيکوس
cedeira	سيذييرا
cedillo	سيذييو
cedrillas	سيذريياس
cee	سيه
cehegin	سيايخين
ceinos	سيينوس
cejo	سيخو
celadas	سيلاذاس
celanova	سيلانووا
cella	سييا
celtiberia	سيلتيويريا
cenia	سينيا
cenicero	سينيسيرو
cenicientos	سينيسينتوس
cenizate	سينيساته
cenlle	سيني
centellas	سينتيياس
centenillo	سينتينييو
centro	سينترو
cepeda	سيپيذا
cerceda	سيرسيذا
cercedilla	سيرسيذييا
cerda	سيرذا
cerdedo	سيرذيذو
cerdido	سيرذيذو
cerezo	سيريسو
cernegula	سيرنيغولا
cerollera	سيرويرا
cerralbo	سيرالوو
cervera	سيرويرا
cespedossa	سيسپيذوسا
cestona	سيستونا
cesuras	سيسوراس
cetina	سيتينا
ceuti	سيوتي
chella	چييا
chilizarrias	چيليسارياس
chillon	چييون
chulilla	چولييا
chullo	چويو
ciadoncha	سياذونچا
cibea	سيويا
cidad	سيذاذ
cidones	سيذونيس
ciempozuelos	سيمپوسويلوس
cieza	سيسا
cifuentes	سيفوينتيس
cigales	سيغاليس
cigüenza	سيغوينسا
cillamayor	سييامايور
cillas	سيياس
cilleros	سييروس
cimballa	سيمبايا
cinctorres	سينکتوريس
cintruenigo	سينتروينيغو
cional	سيونال
ciordia	سيورذيا
ciperez	سيپيريس
cirat	سيرات
cirauqui	سيراوکي
ciria	سيريا
ciriza	سيريسا
ciruelos	سيرويلوس
cirugeda	سيروخيذا
cisla	سيسلا
cisneros	سيسنيروس
cistierna	سيستيرنا
ciudadela	سيوذاذيلا
ciutadilla	سيوتاذييا
cobatillas	کوواتيياس
cocentaina	کوسينتاينا
cogollos	کوغويوس
cogolludo	کوغويوذو
colgadizos	کولغاذيسوس
collados	کوياذوس
collanzo	کويانسو
colliga	کويغا
comillas	کوميياس
corbelle	کورويي
corella	کورييا
cortelazor	کورتيلاسور
corullon	کورويون
cotiella	کوتييا
cotillas	کوتيياس
cotillo	کوتييو
cozar	کوسار
creciente	کريسينته
crevillente	کريويينته
cruce	کروسه
cubells	کووييس
cudillero	کوذييرو
cuellar	کوييار
culla	کويا
cullera	کويرا
culleredo	کويريذو
delicias	ديليسياس
deza	ديسا
dicastillo	ديکاستييو
diezma	ديسما
dozon	دوسون
ecija	ايسيخا
elizondo	ايليسوندو
encinas	اينسيناس
encinasola	اينسيناسولا
encinedo	اينسينيذو
encinillas	اينسينيياس
enciso	اينسيسو
erice	ايريسه
erillas	ايريياس
errazu	ايراسو
escalonilla	ايسکالونييا
escamilla	ايسکامييا
escarroz	ايسکاروس
escoriaza	ايسکورياسا
escullar	ايسکويار
escuzar	ايسکوسار
espadilla	ايسپاذييا
espinilla	ايسپينييا
espolla	ايسپويا
estadilla	ايستاذييا
estallo	ايستايو
estella	ايستييا
estivella	ايستيوييا
ezcaray	ايسکاراي
ezcurra	ايسکورا
facinas	فاسيناس
falces	فالسيس
fariza	فاريسا
fatarella	فاتارييا
fermoselle	فيرموسيي
fernancaballero	فيرنانکاوايرو
fonollosa	فونويوسا
fontellas	فونتيياس
fontllonga	فونتيونگا
fonz	فونس
foz	فوس
frechilla	فريچييا
fresnedilla	فريسنيذييا
fuencemillan	فوينسيمييان
fuenllana	فوينيانا
fuentealbilla	فوينتيالوييا
fuentecen	فوينتيسين
fuentelcesped	فوينتيلسيسپيذ
fuentelsaz	فوينتيلساس
fuentenovilla	فوينتينووييا
fuentepinilla	فوينتيپينييا
fuenterrebollo	فوينتيريوويو
galaroza	گالاروسا
galicia	گاليسيا
gallegos	گايغوس
gallinal	گاينال
gallur	گايور
galvez	گالويس
garaballa	گاراوايا
garcillan	گارسييان
gargallo	گارغايو
garoiez	گارويس
garrovillas	گاروويياس
gaucin	گاوسين
genalguacil	خينالغواسيل
genevilla	خينيوييا
gimenells	خيمينييس
gironella	خيرونييا
godall	گوذاي
godelleta	گوذييتا
goiriz	گويريس
goizueta	گويسويتا
gomecello	گوميسييو
gormaz	گورماس
gozon	گوسون
granadella	گراناذييا
granadilla	گراناذييا
granollers	گرانويرس
grazalema	گراساليما
guadajoz	گواذاخوس
guadalcazar	گواذالکاسار
guillarey	گيياريي
guillena	گيينا
guillerias	گييرياس
guitiriz	گيتيريس
guriezo	گوريسو
hacinas	آسيناس
hellin	ايين
herencia	ايرينسيا
herramelluri	ايرامييوري
hontalbilla	اونتالوييا
hontecillos	اونتيسييوس
huermeces	اويرميسيس
humilladero	اوميياذيرو
husillos	اوسييوس
idocin	ايذوسين
illana	اييانا
illano	اييانو
illas	ايياس
illescas	اييسکاس
illora	اييورا
illueca	اييويکا
incinillas	اينسينيياس
incio	اينسيو
instincion	اينستينسيون
irurozqui	ايروروسکي
izalzu	ايسالسو
izarra	ايسارا
iznájar	ايسناخار
iznalloz	ايسنايوس
iznatoraf	ايسناتوراف
jalance	خالانسه
jaraicejo	خارايسيخو
jarandilla	خاراندييا
jumilla	خومييا
labacolla	لاواکويا
laborcillas	لاوورسيياس
lagunilla	لاغونييا
lanciego	لانسيغو
languilla	لانگييا
lantadilla	لانتاذييا
lanz	لانس
lanza	لانسا
lapeza	لاپيسا
larrainzar	لاراينسار
laza	لاسا
lecera	ليسيرا
leciñena	ليسينينا
leiza	لييسا
lences	لينسيس
leza	ليسا
lezama	ليساما
lezuza	ليسوسا
librilla	ليورييا
lillol	لييول
lizarraga	ليساراغا
llado	ياذو
llafranc	يافرانک
llagostera	ياغوستيرا
llanes	يانيس
llansa	يانسا
llauri	ياوري
llera	يرا
llerena	يرينا
llers	يرس
lles	يس
llivia	يويا
llobregales	يووريغاليس
llodio	يوذيو
llombay	يومباي
lloseta	يوسيتا
llovera	يوويرا
llubi	يووي
lluchmayor	يوچمايور
lorenzana	لورينسانا
losacino	لوساسينو
lozoya	لوسويا
lozoyuela	لوسويويلا
lucena	لوسينا
luceni	لوسيني
lucillo	لوسييو
luezas	لويساس
luzaga	لوساغا
luzon	لوسون
maceda	ماسيذا
maella	ماييا
maello	ماييو
magacela	ماغاسيلا
magallon	ماغايون
magaz	ماغاس
maguilla	ماغييا
malaguilla	مالاغييا
malanquilla	مالانکييا
malcocinado	مالکوسيناذو
mallen	ماين
manlleu	مانيو
mansilla	مانسييا
manzanares	مانساناريس
manzaneda	مانسانيذا
manzanedo	مانسانيذو
manzaneque	مانسانيکه
manzanera	مانسانيرا
maracena	ماراسينا
marazoleja	ماراسوليخا
marbella	ماروييا
marcilla	مارسييا
marganell	مارغانيي
martorell	مارتوريي
masamagrell	ماساماغريي
matagalls	ماتاغايس
matallana	ماتايانا
matanza	ماتانسا
matapozuelos	ماتاپوسويلوس
matienzo	ماتينسو
mazarete	ماساريته
mazaricos	ماساريکوس
mazarron	ماسارون
mazarulleque	ماسارويکه
mazateron	ماساتيرون
mazuecos	ماسويکوس
medinaceli	ميذيناسيلي
mellid	مييذ
membrilla	ميمبرييا
membrillar	ميمبرييار
membrillera	ميمبرييرا
mequinenza	ميکينينسا
mestanza	ميستانسا
mieza	ميسا
millana	مييانا
millares	ميياريس
millena	ميينا
minglanilla	مينگلانييا
mirandilla	ميراندييا
miravalles	ميراوايس
mocejon	موسيخون
molledo	مويذو
mollerusa	مويروسا
mollet	مويت
mollina	موينا
mollo	مويو
molvizar	مولويسار
mondariz	مونداريس
monegrillo	مونيغرييو
montanchez	مونتانچيس
montellano	مونتييانو
montilla	مونتييا
montillana	مونتييانا
montizon	مونتيسون
monzon	مونسون
moratalla	موراتايا
morcillo	مورسييو
morell	موريي
morella	مورييا
morillejo	مورييخو
motilla	موتييا
motilleja	موتييخا
mozoncillo	موسونسييو
mucientes	موسينتيس
munilla	مونييا
murcia	مورسيا
nacimiento	ناسيمينتو
navacerrada	ناواسيراذا
navaconcejo	ناواکونسيخو
navahondilla	ناوااوندييا
navalacruz	ناوالاکروس
navalagamella	ناوالاغامييا
navalcaballo	ناوالکاوايو
navalilla	ناوالييا
navalmanzano	ناوالمانسانو
navalonguilla	ناوالونگييا
navalsauz	ناوالساوس
noceda	نوسيذا
noez	نويس
novallas	نوواياس
novillas	نوويياس
nulles	نويس
numancia	نومانسيا
ocejon	اوسيخون
ocentejo	اوسينتيخو
olalla	اولايا
olazagutia	اولاساغوتيا
olivella	اوليوييا
olivenza	اوليوينسا
olleria	اويريا
ollo	اويو
olmedillas	اولميذيياس
olmillos	اولمييوس
olza	اولسا
onzonilla	اونسونييا
oquillas	اوکيياس
orce	اورسه
orcera	اورسيرا
orgaz	اورغاس
orozco	اوروسکو
ostiz	اوستيس
oteiza	اوتييسا
oyarzun	اويارسون
ozaeta	اوسايتا
pajaroncillo	پاخارونسييو
palafrugell	پالافروخيي
palencia	پالينسيا
palenciana	پالينسيانا
palenzuela	پالينسويلا
pallares	پاياريس
pallars	پايارس
palleja	پايخا
pallerols	پايرولس
paniza	پانيسا
paracuellos	پاراکوييوس
parcent	پارسينت
pardilla	پارذييا
parrillas	پاريياس
parzan	پارسان
pastoriza	پاستوريسا
pedrouzos	پيذرووسوس
peleagonzalo	پيلياغونسالو
peñacerrada	پيناسيراذا
peracense	پيراسينسه
peraltilla	پيرالتييا
peranzanes	پيرانسانيس
peratallada	پيراتاياذا
perello	پيرييو
pescueza	پيسکويسا
pinillos	پينييوس
pitillas	پيتيياس
pizarra	پيسارا
pizarral	پيسارال
plasencia	پلاسينسيا
plasenzuela	پلاسينسويلا
plencia	پلينسيا
pollensa	پوينسا
pollos	پويوس
ponzano	پونسانو
porzuna	پورسونا
posadilla	پوساذييا
povedilla	پوويذييا
pozaldez	پوسالديس
pozoantiguo	پوسوانتيغوو
pozohondo	پوسواوندو
pozondon	پوسوندون
pozorrubio	پوسوروويو
pozoseco	پوسوسيکو
pozuelo	پوسويلو
pradillo	پراذييو
proaza	پرواسا
purullena	پوروينا
puzol	پوسول
quintanapalla	کينتاناپايا
quintanilla	کينتانييا
quisicedo	کيسيسيذو
rajadell	راخاذيي
ramallosa	رامايوسا
rebollera	ريوويرا
rebollo	ريوويو
reillo	ريييو
relleu	رييو
rellinas	رييناس
reocin	ريوسين
respaldiza	ريسپالديسا
restiello	ريستييو
revillarruz	ريويياروس
riaza	رياسا
ribadesella	ريواذيسييا
riello	رييو
rilla	رييا
ripoll	ريپوي
ripollet	ريپويت
robledollano	رووليذويانو
rocallaura	روکاياورا
rociana	روسيانا
rodellar	روذييار
rodiezmo	روذيسمو
rollan	رويان
roncesvalles	رونسيسوايس
rosell	روسيي
rudilla	روذييا
ruguilla	روغييا
sabadell	ساواذيي
sacedon	ساسيذون
sacedoncillo	ساسيذونسييو
saceruela	ساسيرويلا
saelices	سايليسيس
salce	سالسه
salcedo	سالسيذو
sallent	ساينت
salsadella	سالساذييا
sancedo	سانسيذو
santaella	سانتاييا
santibañez	سانتيوانيس
santillana	سانتييانا
santiz	سانتيس
santurce	سانتورسه
sanzoles	سانسوليس
sarratella	ساراتييا
saucedilla	ساوسيذييا
saucelle	ساوسيي
sedella	سيذييا
segurilla	سيغورييا
sella	سييا
sellano	سييانو
semillas	سيميياس
serradilla	سيراذييا
serranillos	سيرانييوس
sevilla	سيوييا
seville	سيويي
sigüenza	سيغوينسا
silla	سييا
silleda	سييذا
sobradillo	سووراذييو
socuellamos	سوکويياموس
solivella	سوليوييا
sollana	سويانا
soller	سوير
somozas	سوموساس
soncillo	سونسييو
sorzano	سورسانو
sotiello	سوتييو
sotopalacios	سوتوپالاسيوس
suances	سوانسيس
sucina	سوسينا
sudanell	سوذانيي
sumbilla	سومبييا
tafalla	تافايا
talladell	تاياذيي
tallante	تايانته
taracena	تاراسينا
taradell	تاراذيي
taravilla	تاراوييا
tarazona	تاراسونا
tazones	تاسونيس
tejadillos	تيخاذييوس
tendilla	تيندييا
tierzo	تيرسو
tiñosillos	تينوسييوس
tocina	توسينا
todellego	توذييغو
todolella	توذولييا
tolocirio	تولوسيريو
tomelloso	تومييوسو
torello	تورييو
torrecaballeros	توريکاوايروس
torrecilla	توريسييا
torrejoncillo	توريخونسييو
torrellano	تورييانو
torrellas	توريياس
torremanzanas	توريمانساناس
torreorgaz	توريورغاس
torrequebradilla	توريکيوراذييا
torrevelilla	توريويلييا
tortella	تورتييا
trabazos	تراواسوس
tragacete	تراغاسيته
tramacastilla	تراماکاستييا
trazo	تراسو
trevelez	تريويليس
trillo	ترييو
triollo	تريويو
troncedo	ترونسيذو
truchillas	تروچيياس
trujillanos	تروخييانوس
trujillo	تروخييو
trujillos	تروخييوس
turcia	تورسيا
turrillas	توريياس
uceda	اوسيذا
ucero	اوسيرو
ulldecona	اويديکونا
ulldemolins	اويديمولينس
uncastillo	اونکاستييو
unzue	اونسوه
urroz	اوروس
utrillas	اوتريياس
uztarroz	اوستاروس
vadollano	باذويانو
valcavadillo	بالکاواذييو
valdaracete	بالداراسيته
valdecaballeros	بالديکاوايروس
valdecebollas	بالديسيووياس
valdecebro	بالديسيورو
valdemorillo	بالديمورييو
valdenoceda	بالدينوسيذا
valdesaz	بالديساس
valdestillas	بالديستيياس
valdezarza	بالديسارسا
valdunquillo	بالدونکييو
valencia	بالينسيا
valenzuela	بالينسويلا
vallada	باياذا
valladolises	باياذوليسيس
vallanca	بايانکا
vallbona	بايوونا
valldemosa	بايديموسا
valle	باي
vallecas	بايکاس
vallelado	بايلاذو
vallfogona	بايفوغونا
vallibona	بايوونا
vallirana	بايرانا
vallmoll	بايموي
vallromanas	بايروماناس
valls	بايس
valronquillo	بالرونکييو
valsequillo	بالسيکييو
vandellos	باندييوس
vecinos	بيسينوس
veganzones	بيغانسونيس
vegarienza	بيغارينسا
velilla	بيلييا
vellisca	بييسکا
vendrell	بيندريي
ventillas	بينتيياس
vezdemarban	بيسذيماروان
vicien	بيسين
vicolozano	بيکولوسانو
vidangoz	بيذانگوس
viella	بييا
vilabella	بيلاوييا
vilaller	بيلاير
villabona	بيياوونا
villacañas	بيياکاناس
villacarriedo	بيياکاريذو
villacarrillo	بيياکارييو
villacastin	بيياکاستين
villaconejos	بيياکونيخوس
villada	بيياذا
villadecanes	بيياذيکانيس
villadepera	بيياذيپيرا
villadiego	بيياذيغو
villaescusa	بييايسکوسا
villafames	بييافاميس
villaflores	بييافلوريس
villafranca	بييافرانکا
villafranqueza	بييافرانکيسا
villafrechos	بييافريچوس
villafruela	بييافرويلا
villagaton	بيياغاتون
villager	بيياخير
villagonzalo	بيياغونسالو
villahermosa	بيياايرموسا
villahoz	بييااوس
villajoyosa	بيياخويوسا
villalba	بييالوا
villalengua	بييالينگوا
villalmanzo	بييالمانسو
villalonga	بييالونگا
villalpando	بييالپاندو
villalube	بييالووه
villaluenga	بييالوينگا
villalumbroso	بييالومبروسو
villalvaro	بييالوارو
villamalea	بيياماليا
villamalur	بييامالور
villamañan	بييامانان
villamandos	بيياماندوس
villamanrique	بييامانريکه
villamanta	بييامانتا
villamantilla	بييامانتييا
villamarin	بييامارين
villamartin	بييامارتين
villamayor	بييامايور
villamea	بيياميا
villamediana	بيياميذيانا
villamejil	بيياميخيل
villamesias	بيياميسياس
villamizar	بيياميسار
villamol	بييامول
villamuelas	بييامويلاس
villanúa	بييانوا
villanubla	بييانوولا
villanueva	بييانويوا
villaobispo	بيياوويسپو
villapalacios	بيياپالاسيوس
villaquejida	بيياکيخيذا
villaquilambre	بيياکيلامبره
villaralbo	بييارالوو
villaralto	بييارالتو
villarejo	بيياريخو
villarente	بييارينته
villaricos	بيياريکوس
villarino	بييارينو
villarrabe	بيياراوه
villarramiel	بيياراميل
villarrasa	بيياراسا
villarreal	بيياريال
villarrobledo	بييارووليذو
villarrodrigo	بيياروذريغو
villarroya	بييارويا
villarrubia	بيياروويا
villarrubio	بيياروويو
villasabariego	بيياساواريغو
villasandino	بيياساندينو
villasante	بيياسانته
villasarracino	بيياساراسينو
villasayas	بيياساياس
villaseca	بيياسيکا
villaselan	بيياسيلان
villasilos	بيياسيلوس
villasrubias	بيياسرووياس
villastar	بيياستار
villatobas	بيياتوواس
villatoro	بيياتورو
villatoya	بيياتويا
villaturiel	بيياتوريل
villava	بيياوا
villavaquerin	بيياواکيرين
villavendimio	بيياوينديميو
villaviciosa	بيياويسيوسا
villaviudas	بيياويوذاس
villayon	بييايون
villaza	بيياسا
villegas	بييغاس
villel	بييل
villena	بيينا
villerias	بييرياس
villodrigo	بييوذريغو
villoldo	بييولدو
villora	بييورا
villores	بييوريس
villoria	بييوريا
vimianzo	بيميانسو
vinaceite	بيناسييته
vinaroz	بيناروس
vizcaínos	بيسکاينوس
vizmanos	بيسمانوس
zafarraya	سافارايا
zagra	ساغرا
zahara	ساآرا
zahinos	سااينوس
zaidin	سايذين
zalla	سايا
zamarramala	سامارامالا
zamayon	سامايون
zambra	سامبرا
zambrana	سامبرانا
zamora	سامورا
zaorejas	ساوريخاس
zaragoza	ساراغوسا
zaratan	ساراتان
zarauz	ساراوس
zarra	سارا
zarzalejo	سارساليخو
zas	ساس
zizur	سيسور
zorita	سوريتا
zubia	سوويا
zubieta	سوويتا
zubiri	سوويري
zucaina	سوکاينا
zudaire	سوذايره
zuera	سويرا
zuheros	سوايروس
zujar	سوخار
zumarraga	سوماراغا
zumaya	سومايا
zuniga	سونيغا
zurgena	سورخينا
zurzarren	سورسارين
