# Territory names from CLDR
ਅਸੈਂਸ਼ਨ ਟਾਪੂ	ಅಸೈಂಸ಼ನ ಟಾಪೂ
ਤਾਇਵਾਨ	ತಾಇವಾನ
ਤਨਜ਼ਾਨੀਆ	ತನಜ಼ಾನೀಆ
ਯੂਕਰੇਨ	ಯೂಕರೇನ
ਯੂਗਾਂਡਾ	ಯೂಗಾಂಡಾ
ਸੰਯੁਕਤ ਰਾਜ	ಸಯುಕತ ರಾಜ
ਉਰੂਗਵੇ	ಉರೂಗವೇ
ਉਜ਼ਬੇਕਿਸਤਾਨ	ಉಜ಼ಬೇಕಿಸತಾನ
ਵੈਟੀਕਨ ਸਿਟੀ	ವೈಟೀಕನ ಸಿಟೀ
ਸੇਂਟ ਵਿਨਸੈਂਟ ਐਂਡ ਗ੍ਰੇਨਾਡੀਨਸ	ಸೇಂಟ ವಿನಸೈಂಟ ಐಂಡ ಗ್ರೇನಾಡೀನಸ
ਵੇਨੇਜ਼ੂਏਲਾ	ವೇನೇಜ಼ೂಏಲಾ
ਬ੍ਰਿਟਿਸ਼ ਵਰਜਿਨ ਟਾਪੂ	ಬ್ರಿಟಿಸ಼ ವರಜಿನ ಟಾಪೂ
ਯੂ ਐਸ ਵਰਜਿਨ ਟਾਪੂ	ಯೂ ಐಸ ವರಜಿನ ಟಾಪೂ
ਵੀਅਤਨਾਮ	ವೀಅತನಾಮ
ਵਾਨੂਆਟੂ	ವಾನೂಆಟೂ
ਵਾਲਿਸ ਅਤੇ ਫੂਟੂਨਾ	ವಾಲಿಸ ಅತೇ ಫೂಟೂನಾ
ਸਾਮੋਆ	ಸಾಮೋಆ
ਕੋਸੋਵੋ	ಕೋಸೋವೋ
ਯਮਨ	ಯಮನ
ਮਾਯੋਟੀ	ಮಾಯೋಟೀ
ਦੱਖਣੀ ਅਫਰੀਕਾ	ದಖಣೀ ಅಫರೀಕಾ
ਜ਼ਾਮਬੀਆ	ಜ಼ಾಮಬೀಆ
ਜ਼ਿੰਬਾਬਵੇ	ಜ಼ಿಬಾಬವೇ
ਅਣਪਛਾਤਾ ਖੇਤਰ	ಅಣಪಛಾತಾ ಖೇತರ
