ᱟᱜ	آگ
ᱪᱮᱫᱟᱜ	چيداگ
ᱪᱮᱠᱟᱜ	چيکاگ
ᱡᱮᱞᱮᱠᱟ	چيليکا
ᱪᱟᱹᱢᱯᱟᱹᱭᱮ	چمپهه
ᱡᱟᱹᱯᱩᱫ	چپود
ᱡᱷᱟᱹᱨᱱᱤ	چرني
ᱪᱤᱠᱟᱹᱭ	چيکه
ᱡᱤᱢᱟᱹᱣᱟᱫᱠᱤᱱᱟ	چيموادکينا
ᱪᱷᱤᱱ	چين
ᱪᱤᱱᱦᱟᱹᱧ	چينهن
ᱡᱤᱨᱟᱹᱭᱮᱱ	چيرهين
ᱡᱚᱛᱚ	چودو
ᱡᱚᱡᱚᱢ	چودژوم
ᱡᱚᱢᱻᱧᱩᱺ	چومّنو
ᱡᱚᱝ	چونگ
ᱡᱚᱱᱚᱜ	چونوگ
ᱪᱚᱨᱪᱟ	چورچا
ᱡᱳᱨᱤᱧ	چورين
ᱪᱩᱠᱟᱹᱣ	چوکو
ᱡᱩᱢᱠᱤ	چومکي
ᱰᱟᱱᱰᱵᱳᱥ	ضانضبوس
ᱰᱮᱨᱟ	ضيرا
ᱰᱷᱟᱹᱣᱨᱟᱹᱜ	ضورگ
ᱰᱤ	ضي
ᱮᱴᱟᱜ	ايطاگ
ᱮᱟᱴᱜ	اياطگ
ᱴᱷᱮᱸᱜᱟ	طيگا
ᱟᱹᱪᱩ	ايچو
ᱮᱫᱽ	ايد
ᱟᱹᱛᱠᱚ	ايدکو
ᱮᱛᱚᱦᱚᱯ	ايدوهوپ
ᱟᱹᱭᱠᱟᱹᱣᱮᱫ	ايهکويد
ᱟᱹᱜᱭᱩᱨᱤᱡ	ايگهوريدژ
ᱟᱹᱲᱤᱠᱚ	ايريکو
ᱧᱮᱞᱮᱫᱟ	نيليدا
ᱧᱮᱞᱚᱜ	نيلوگ
ᱮᱢᱮᱫᱟ	ايميدا
ᱮᱢᱚᱜ	ايموگ
ᱴᱮᱱ	طين
ᱮᱱᱟ	اينا
ᱮᱱᱦᱚᱸ	اينهو
ᱟᱹᱯᱷᱤᱥᱟᱨ	ايپيسار
ᱮᱯᱨᱤᱞ	ايپريل
ᱮᱨᱥᱮᱧ	ايرسين
ᱟᱹᱣᱨᱤᱭᱟᱜ	ايوريهاگ
ᱭᱟ	ها
ᱦᱟᱸ	ها
ᱦᱟᱛ	هاد
ᱦᱟᱡᱚᱛ	هادژود
ᱦᱟᱲᱢᱟ	هارما
ᱦᱟᱱᱟ	هانا
ᱦᱟᱨᱠᱮᱹᱛ	هارکاد
ᱦᱮ	هه
ᱦᱮᱰ	هيض
ᱦᱮᱸᱫᱟ	هيدا
ᱦᱟᱹᱸᱰᱤᱭᱮ	هضيهه
ᱦᱟᱹᱥᱩᱨ	هسور
ᱦᱤᱥᱟᱹᱵ	هيسب
ᱦᱤᱸᱥᱟᱹᱵᱽ	هيسب
ᱦᱚᱪᱚᱭᱮᱱᱟ	هوچوهينا
ᱦᱚᱛᱮᱛᱮᱜᱮ	هوديديگه
ᱦᱳᱭᱳᱜ	هوهوگ
ᱦᱚᱦᱚᱭᱮ	هوهوهه
ᱦᱚᱸᱞᱮ	هوله
ᱦᱚᱲᱢᱚᱨᱮ	هورموره
ᱦᱚᱯᱚᱱᱮᱨᱟ	هوپونيرا
ᱦᱩᱫᱤᱥᱮᱫ	هوديسيد
ᱦᱩᱠᱩᱢᱛᱮ	هوکومده
ᱧᱤᱫᱟ	نيدا
ᱤᱫᱤᱠᱮᱫᱟ	ايديکيدا
ᱤᱛᱩᱫ	ايدود
ᱴᱤᱠᱟᱹ	طيکه
ᱤᱝᱨᱮᱡᱽ	اينگريدژ
ᱤᱯᱤᱨᱪᱤᱭᱟ	ايپيرچيها
ᱤᱥᱤᱲ	ايسير
ᱜᱷᱟᱴᱟ	کاطا
ᱠᱷᱟᱛᱟ	کادا
ᱜᱟᱛᱮ	کاده
ᱠᱟᱰᱮᱡ	کاضيدژ
ᱠᱟᱛᱮᱭ	کاديه
ᱠᱟᱫᱤ	کادي
ᱜᱟᱡᱟᱲ	کادژار
ᱠᱟᱜᱮ	کاگه
ᱠᱟᱢᱤ	کامي
ᱠᱷᱟᱱᱜᱮ	کانگه
ᱠᱟᱱᱦᱩ	کانهو
ᱜᱟᱯᱟᱞ	کاپال
ᱠᱮᱫᱟᱱ	کيدان
ᱜᱮᱭ	کيه
ᱠᱟᱹᱭᱫᱤ	کهدي
ᱠᱟᱹᱦᱤᱞᱮ	کهيله
ᱠᱟᱹᱴᱤᱡ	کطيدژ
ᱜᱟᱹᱞᱤᱢ	کليم
ᱜᱮᱞᱢᱚᱬᱮ	کيلمونه
ᱠᱟᱹᱢᱤᱨᱮ	کميره
ᱠᱮᱱᱟ	کينا
ᱜᱤᱧ	کين
ᱠᱤᱪᱨᱤᱡ	کيچريدژ
ᱠᱷᱤᱞ	کيل
ᱜᱚᱜ	کوگ
ᱜᱚᱴᱟᱝ	کوطانگ
ᱠᱳᱸᱵᱽᱲᱳ	کوبرو
ᱜᱚᱰᱟ	کوضا
ᱠᱚᱜᱮ	کوگه
ᱠᱚᱭ	کوه
ᱜᱚᱦᱟᱠᱚ	کوهاکو
ᱠᱚᱸᱭᱮᱱᱰᱟ	کوهينضا
ᱠᱚᱠᱷᱟᱨᱮ	کوکاره
ᱠᱳᱞᱟᱠᱩᱞᱤ	کولاکولي
ᱠᱚᱢᱯᱟᱱᱤᱨᱮᱱ	کومپانيرين
ᱠᱷᱚᱱᱜᱮ	کونگه
ᱠᱚᱨᱮ	کوره
ᱜᱳᱶᱟ	کووا
ᱠᱷᱩᱸᱴ	کوط
ᱠᱩᱸᱵᱟᱹ	کوبه
ᱜᱩᱛᱤ	کودي
ᱠᱩᱞᱠᱷᱤ	کولکي
ᱠᱩᱢᱯᱟᱱᱤ	کومپاني
ᱠᱩᱱᱤ	کوني
ᱜᱩᱨ	کور
ᱠᱩᱨᱩᱢᱩᱴᱩ	کوروموطو
ᱞᱟᱸᱫᱟᱣᱟᱛᱮ	لاداواده
ᱞᱟᱫᱮᱹ	لادا
ᱞᱟᱦᱟᱛᱮᱱ	لاهادين
ᱞᱟᱠᱛᱤᱜ	لاکديگ
ᱞᱮᱸᱜᱟ	ليگا
ᱞᱮᱦᱟ	ليها
ᱞᱟᱹᱦᱟᱹᱭ	لهه
ᱞᱮᱠᱟᱦᱚᱸ	ليکاهو
ᱞᱮᱞᱦᱟ	ليلها
ᱞᱮᱱ	لين
ᱞᱟᱹᱯᱷᱩᱣᱟᱹ	لپووه
ᱞᱟᱹᱴᱩᱢ	لطوم
ᱞᱤᱯᱤ	ليپي
ᱞᱚᱲᱟᱣ	لوراو
ᱞᱩᱢᱟᱹᱢ	لومم
ᱢᱟᱬᱟᱝ	مانانگ
ᱢᱟᱸᱰᱚ	ماضو
ᱢᱟᱰᱣᱟ	ماضوا
ᱢᱟᱜᱮᱭᱟ	ماگيها
ᱢᱟᱞᱤᱠ	ماليک
ᱢᱟᱱᱚᱛᱤᱭᱟᱹ	مانوديهه
ᱢᱟᱨᱟᱝᱢᱮᱞᱟᱱ	مارانگميلان
ᱢᱮᱛᱟᱜ	ميداگ
ᱢᱮᱛᱮ	ميده
ᱢᱮᱱᱛᱮᱭᱮ	مينديهه
ᱢᱮᱱᱮᱠ	مينيک
ᱢᱟᱹᱨᱠᱚ	مرکو
ᱢᱮᱨᱚᱢ	ميروم
ᱢᱤᱫᱴᱷᱮᱱ	ميدطين
ᱢᱤᱥᱨᱟᱛ	ميسراد
ᱢᱚᱡᱽ	مودژ
ᱢᱚᱱᱟᱱ	مونان
ᱢᱚᱨᱚᱱ	مورون
ᱢᱩᱰᱟᱹ	موضه
ᱢᱩᱞᱩᱡ	مولودژ
ᱢᱩᱨᱥᱤᱫᱟᱵᱟᱫᱽ	مورسيداباد
ᱱᱟᱱᱟ	نانا
ᱱᱟᱣᱟ	ناوا
ᱱᱮᱦᱚᱨ	نيهور
ᱝ	نگ
ᱱᱤᱡᱟᱢᱟᱛ	نيدژاماد
ᱱᱤᱭᱟᱹ	نيهه
ᱱᱚᱱᱫᱚᱞᱟᱞ	نوندولال
ᱱᱚᱝᱠᱟ	نونکا
ᱚᱜ	اوگ
ᱴᱚᱴᱷᱟ	طوطا
ᱚᱲᱟᱜ	اوراگ
ᱚᱪᱚ	اوچو
ᱚᱪᱚᱭᱮᱱ	اوچوهين
ᱚᱪᱚᱠᱮᱫ	اوچوکيد
ᱚᱸᱰᱮᱜᱮ	اوضيگه
ᱳᱰᱤᱥ	اوضيس
ᱚᱦᱚᱧ	اوهون
ᱚᱠᱟᱭᱮᱱ	اوکاهين
ᱚᱠᱚᱭ	اوکوه
ᱚᱱᱟᱛᱮᱵᱚᱱ	اوناديبون
ᱚᱱᱠᱟᱛᱮ	اونکاده
ᱚᱱᱚᱞ	اونول
ᱚᱥᱟᱢᱟᱦᱮᱲ	اوساماهير
ᱯᱟᱴ	پاط
ᱵᱟᱲᱟᱭᱟᱠᱟᱱ	پاراهاکان
ᱵᱟᱵᱚᱫᱽ	پابود
ᱵᱟᱪᱷᱟᱣ	پاچاو
ᱵᱟᱧᱪᱟᱣᱚᱜ	پانچاووگ
ᱯᱟᱸᱪᱠᱟᱹᱴᱷᱤᱭᱟ	پاچکطيها
ᱵᱟᱰᱷᱮᱫ	پاضيد
ᱯᱟᱰᱮᱨ	پاضير
ᱵᱟᱲᱛᱤ	پاردي
ᱵᱟᱸᱫᱩᱠ	پادوک
ᱯᱟᱦᱴᱟ	پاهطا
ᱵᱟᱜᱼᱲᱟᱭ	پاکراه
ᱯᱟᱞᱞᱟ	پاللا
ᱵᱟᱢ	پام
ᱵᱟᱝᱢᱟ	پانگما
ᱵᱟᱯᱞᱟᱜ	پاپلاگ
ᱯᱟᱨᱜᱟᱱᱟᱻ	پارگانا
ᱵᱟᱨᱢᱤ	پارمي
ᱯᱟᱥᱮ	پاسه
ᱯᱷᱮᱵᱨᱩᱣᱟᱨᱤ	پيبروواري
ᱵᱮᱡᱷᱟ	پيچا
ᱯᱟᱹᱪᱚᱜ	پچوگ
ᱵᱮᱸᱰᱟᱣ	پيضاو
ᱯᱷᱟᱹᱫᱮ	پده
ᱯᱮᱴᱮᱜ	پيطيگ
ᱯᱟᱹᱴᱭᱟᱹ	پطهه
ᱵᱟᱹᱱᱤᱭᱟᱹᱡᱚᱲ	پنيهدژور
ᱵᱟᱹᱨᱭᱟᱹᱛᱚᱜ	پرهدوگ
ᱵᱮᱥᱛᱮᱵᱚᱱ	پيسديبون
ᱯᱟᱹᱥᱤ	پسي
ᱵᱮᱫᱷᱟᱣ	پيتاو
ᱵᱟᱹᱣᱞᱟᱹᱦᱟ	پولها
ᱯᱤᱫᱟᱹᱨ	پيدر
ᱵᱤᱫᱟᱹᱣᱞᱤ	پيدولي
ᱵᱤᱦᱟᱨ	پيهار
ᱵᱤᱞᱚᱢ	پيلوم
ᱵᱤᱱᱤᱰ	پينيض
ᱯᱤᱯᱲᱟᱹᱛᱮᱠᱚ	پيپرديکو
ᱵᱤᱨᱩᱫᱽᱨᱮ	پيرودره
ᱵᱳᱜᱮᱭᱮᱱ	پوگيهين
ᱯᱚᱭᱥᱟ	پوهسا
ᱵᱚᱞᱚᱭᱮᱱᱟ	پولوهينا
ᱵᱚᱱ	پون
ᱯᱷᱚᱨ	پور
ᱯᱚᱨ	پور
ᱵᱚᱨᱠᱚᱱᱫᱟᱡᱽ	پورکوندادژ
ᱯᱩᱴᱟᱹᱜ	پوطگ
ᱵᱩᱴᱟᱹ	پوطه
ᱵᱩᱞᱩᱜ	پولوگ
ᱯᱷᱩᱨᱜᱟᱹᱞ	پورگل
ᱯᱩᱨᱩᱱ	پورون
ᱯᱩᱛᱷᱤ	پوتي
ᱨᱟᱠᱟᱵᱚᱜ	راکابوگ
ᱨᱟᱢᱫᱟᱥᱫᱚ	رامداسدو
ᱨᱟᱯᱟᱜ	راپاگ
ᱨᱮᱴᱮ	ريطه
ᱨᱮᱜᱮᱠᱚ	ريگيکو
ᱨᱮᱭᱟᱜ	ريهاگ
ᱨᱮᱠᱳᱨᱰ	ريکورض
ᱨᱟᱹᱜᱷᱩᱱᱟᱛᱷ	رکونات
ᱨᱟᱹᱯᱩᱫ	رپود
ᱨᱤᱸᱡᱷᱟᱹ	ريچه
ᱨᱚᱱᱚᱲ	رونور
ᱨᱩᱭᱟᱹᱲ	روهر
ᱥᱟ	سا
ᱥᱟᱸᱵᱽᱲᱟᱣ	سابراو
ᱥᱟᱯᱽᱨᱟᱢ	سابرام
ᱥᱟᱦᱮᱵᱮ	ساهيبه
ᱥᱟᱸᱜᱷᱟᱨ	ساکار
ᱥᱟᱞ	سال
ᱥᱟᱞᱦᱟᱣᱟᱫᱮᱭᱟ	سالهاواديها
ᱥᱟᱢᱟᱜ	ساماگ
ᱥᱟᱱᱟᱭᱮᱫ	ساناهيد
ᱥᱟᱱᱛᱟᱲᱟᱜ	سانداراگ
ᱥᱟᱨᱦᱟᱣ	سارهاو
ᱥᱟᱥᱮᱛᱚᱜ	ساسيدوگ
ᱥᱟᱫᱷᱟᱨᱚᱱ	ساتارون
ᱥᱟᱶᱛᱮ	ساوده
ᱥᱟᱹᱵᱩᱫᱽ	سبود
ᱥᱮᱴᱮᱨᱟᱠᱟᱱᱟ	سيطيراکانا
ᱥᱟᱹᱦᱤᱟᱜ	سهياگ
ᱥᱮᱠᱴᱚᱨ	سيکطور
ᱥᱮᱱ	سين
ᱥᱮᱨᱢᱟᱜᱮ	سيرماگه
ᱥᱤᱫᱩᱻᱠᱟᱱᱩ	سيدوکانو
ᱥᱤᱸᱫᱩᱨ	سيدور
ᱥᱤᱠᱷᱟᱹᱣ	سيکو
ᱥᱤᱝᱨᱟᱹᱭ	سينگره
ᱥᱤᱨᱡᱚᱱᱤᱭᱟᱹ	سيردژونيهه
ᱥᱚᱠᱚᱡ	سوکودژ
ᱥᱚᱝ	سونگ
ᱥᱚᱱᱫᱷᱤ	سونتي
ᱥᱚᱨᱫᱟᱨᱚᱜ	سورداروگ
ᱥᱳᱨᱮᱱ	سورين
ᱥᱩᱲᱮ	سوره
ᱥᱩᱨ	سور
ᱛᱟᱬᱟᱜ	تاناگ
ᱫᱟᱲᱮᱭᱟᱜ	تاريهاگ
ᱫᱟᱭᱟᱜᱮ	تاهاگه
ᱛᱟᱸᱦᱮᱱ	تاهين
ᱛᱟᱦᱮᱸᱱ	تاهين
ᱛᱟᱠᱚᱣᱟᱜ	تاکوواگ
ᱫᱟᱞᱟᱭ	تالاه
ᱛᱟᱞᱟᱭᱮᱭᱟ	تالاهيها
ᱫᱷᱟᱱ	تان
ᱛᱟᱱ	تان
ᱛᱷᱟᱨ	تار
ᱫᱟᱨᱮ	تاره
ᱫᱟᱸᱥᱟᱭ	تاساه
ᱫᱟᱥᱱᱟ	تاسنا
ᱫᱟᱹᱲᱟ	ترا
ᱛᱮᱫᱜᱮ	تيدگه
ᱛᱮᱜᱮ	تيگه
ᱫᱮᱲᱮᱭᱟᱫ	تيريهاد
ᱫᱟᱹᱦᱤᱲᱤ	تهيري
ᱛᱟᱹᱠᱤᱱᱮ	تکينه
ᱫᱮᱠᱳᱮᱢᱟᱱ	تيکويمان
ᱛᱮᱣᱟᱱᱯᱮ	تيوانپه
ᱛᱤ	تي
ᱫᱤᱞᱟᱫ	تيلاد
ᱛᱤᱱᱟᱹᱜ	تينگ
ᱛᱤᱨᱮ	تيره
ᱫᱤᱥᱩᱣᱟᱹ	تيسووه
ᱫᱚᱧ	تون
ᱛᱚᱵᱮ	توبه
ᱫᱚᱵᱟᱹᱴᱤᱭᱟᱹ	توبطيهه
ᱛᱳᱫ	تود
ᱫᱚᱠᱤᱱ	توکين
ᱛᱚᱞᱟ	تولا
ᱫᱷᱚᱱ	تون
ᱫᱷᱩᱛᱤ	تودي
ᱫᱩᱞᱟᱹᱲᱤᱭᱟᱹ	تولريهه
ᱛᱩᱢᱫᱟᱜ	تومداگ
ᱫᱩᱥᱤᱠᱚ	توسيکو
ᱴᱷᱩᱛᱮ	طوده
ᱩᱛᱟᱹᱨᱮᱱᱮ	اودرينه
ᱧᱩᱛᱩᱢᱛᱮ	نودومده
ᱩᱢᱮᱹᱨ	اومار
ᱩᱱᱤᱠᱚ	اونيکو
ᱩᱱᱠᱤᱱᱟᱜ	اونکيناگ
ᱩᱱᱨᱮᱭ	اونريه
ᱩᱯᱟᱹᱭ	اوپه
ᱴᱩᱯᱨᱤ	طوپري
ᱩᱨᱩ	اورو
