ababuj	آواووخ
alberite	آلويريته
albesa	آلويسا
albinana	آلوينانا
albocacer	آلووکاثير
alboloduy	آلوولوذوي
albolote	آلوولوته
albondon	آلووندون
alboraya	آلوورايا
alborea	آلووريا
albox	آلووکس
albudeite	آلووذييته
albujon	آلووخون
albuñol	آلوونول
albuñuelas	آلوونويلاس
alcadozo	آلکاذوثو
alcaine	آلکاينه
alcampel	آلکامپيل
alcanadre	آلکاناذره
alcanar	آلکانار
alcanices	آلکانيثيس
alcaniz	آلکانيث
alcantara	آلکانتارا
alcantarilla	آلکانتاريليا
alcantud	آلکانتوذ
alcaracejos	آلکاراثيخوس
alcaraz	آلکاراث
alcarras	آلکاراس
alcaucin	آلکاوثين
alcaudete	آلکاوذيته
alcazaren	آلکاثارين
alceda	آلثيذا
alcira	آلثيرا
alcoba	آلکووا
alcobendas	آلکووينداس
alcocebre	آلکوثيوره
alcocer	آلکوثير
alcohujate	آلکواوخاته
alcolea	آلکوليا
alcollarin	آلکوليارين
alconchel	آلکونچيل
alconera	آلکونيرا
alcontar	آلکونتار
alcora	آلکورا
alcorisa	آلکوريسا
alcoroches	آلکوروچيس
alcover	آلکووير
alcoy	آلکوي
alcubierre	آلکوويره
alcubillas	آلکوويلياس
alcublas	آلکوولاس
alcudia	آلکوذيا
alcuescar	آلکويسکار
alcuneza	آلکونيثا
aldaya	آلدايا
aldea	آلديا
aldeacentenera	آلدياثينتينيرا
aldealpozo	آلديالپوثو
aldeaquemada	آلدياکيماذا
aldearrodrigo	آلدياروذريغو
aldeavieja	آلدياويخا
aldehuela	آلدياويلا
aldeire	آلدييره
aldover	آلدووير
aledo	آليذو
alegria	آليغريا
alerre	آليره
aleson	آليسون
alfacar	آلفاکار
alfaiz	آلفايث
alfajarin	آلفاخارين
alfambra	آلفامبرا
alfamen	آلفامين
alfara	آلفارا
alfaraz	آلفاراث
alfaro	آلفارو
alfarras	آلفاراس
alfoz	آلفوث
algaida	آلغايذا
algamitas	آلغاميتاس
algarinejo	آلغارينيخو
algarra	آلغارا
algarrobo	آلغاروو
algatocin	آلغاتوثين
algeciras	آلخيثيراس
algemesi	آلخيميسي
algete	آلخيته
alginet	آلخينيت
algodonales	آلغوذوناليس
algora	آلغورا
algria	آلغريا
alguaire	آلغوايره
alguazas	آلغواثاس
algueña	آلغينا
alia	آليا
aliaga	آلياغا
alicante	آليکانته
aliseda	آليسيذا
aljaraque	آلخاراکه
aljibe	آلخيوه
aljorra	آلخورا
aljucen	آلخوثين
allariz	آلياريث
allepuz	آليپوث
aller	آلير
alles	آليس
allo	آليو
alloza	آليوثا
almacellas	آلماثيلياس
almachar	آلماچار
almaciles	آلماثيليس
almaden	آلماذين
almadenejos	آلماذينيخوس
almadrones	آلماذرونيس
almagro	آلماغرو
almajano	آلماخانو
almaluez	آلمالويث
almansa	آلمانسا
almanza	آلمانثا
almaraz	آلماراث
almatret	آلماتريت
almazan	آلماثان
almazora	آلماثورا
almazul	آلماثول
almedina	آلميذينا
almedinilla	آلميذينيليا
almegijar	آلميخيخار
almeida	آلمييذا
almenar	آلمينار
almenara	آلمينارا
almendra	آلميندرا
almendral	آلميندرال
almendralejo	آلميندراليخو
almendricos	آلميندريکوس
almendros	آلميندروس
almeria	آلميريا
almogia	آلموخيا
almoguera	آلموغيرا
almohaja	آلموآخا
almoharin	آلموآرين
almonte	آلمونته
almoradi	آلموراذي
almorox	آلموروکس
almudebar	آلموذيوار
almuñécar	آلمونيکار
almuniente	آلمونينته
almuradiel	آلموراذيل
almusafes	آلموسافيس
alobras	آلووراس
alocen	آلوثين
alora	آلورا
alos	آلوس
alosno	آلوسنو
alovera	آلوويرا
alozaina	آلوثاينا
alp	آلپ
alpandeire	آلپاندييره
alpanseque	آلپانسيکه
alpedroches	آلپيذروچيس
alpeñés	آلپينيس
alpens	آلپينس
alpera	آلپيرا
alperiz	آلپيريث
alpuente	آلپوينته
alquezar	آلکيثار
alsasua	آلساسوا
altable	آلتاوله
altamira	آلتاميرا
altarejos	آلتاريخوس
altea	آلتيا
altorricon	آلتوريکون
altoteiro	آلتوتييرو
altura	آلتورا
alustante	آلوستانته
alvires	آلويريس
alzola	آلثولا
amaya	آمايا
amer	آمير
ames	آميس
ameyugo	آمييوغو
amezaga	آميثاغا
amieva	آميوا
amoeiro	آموييرو
amorebieta	آموريويتا
amposta	آمپوستا
ampudia	آمپوذيا
ampuero	آمپويرو
ampurias	آمپورياس
amurrio	آموريو
amusco	آموسکو
aña	آنا
anchuras	آنچوراس
ancin	آنثين
andalucia	آندالوثيا
andavias	آنداوياس
andilla	آنديليا
andoain	آندواين
andorra	آندورا
andosilla	آندوسيليا
andraitx	آندرايچ
andujar	آندوخار
angles	آنگليس
anglesola	آنگليسولا
angüés	آنگويس
anguiano	آنگيانو
anguix	آنگيکس
aniñón	آنينون
anleo	آنليو
añon	آنون
añora	آنورا
anso	آنسو
antas	آنتاس
antequera	آنتيکيرا
antigüedad	آنتيغويذاذ
antonaña	آنتونانا
anzanigo	آنثانيغو
anzuola	آنثوولا
anzur	آنثور
apatamonasterio	آپاتاموناستيريو
apellaniz	آپيليانيث
aquilue	آکيلوه
aracena	آراثينا
arafo	آرافو
aragon	آراغون
aragoncillo	آراغونثيليو
aranarache	آراناراچه
aranaz	آراناث
arandillo	آرانديليو
aranjuez	آرانخويث
arano	آرانو
aranzazu	آرانثاثو
aranzuegue	آرانثويغه
arapiles	آراپيليس
aras	آراس
aravaca	آراواکا
araya	آرايا
arbeca	آرويکا
arbo	آروو
arbos	آرووس
arceniega	آرثينيغا
archena	آرچينا
archilla	آرچيليا
arcos	آرکوس
arcusa	آرکوسا
ardisa	آرذيسا
aren	آرين
arenas	آريناس
areo	آريو
ares	آريس
areta	آريتا
arevalillo	آريواليليو
arevalo	آريوالو
arganda	آرغاندا
arganza	آرغانثا
arguedas	آرغيذاس
arguellite	آرغيليته
arguineguin	آرغينيغين
arguis	آرغيس
arija	آريخا
arinaga	آريناغا
ariñez	آرينيث
ariño	آرينو
arive	آريوه
ariza	آريثا
arizala	آريثالا
arjona	آرخونا
arjonilla	آرخونيليا
arlanzon	آرلانثون
armuna	آرمونا
arnedillo	آرنيذيليو
arnedo	آرنيذو
arnes	آرنيس
arnoya	آرنويا
arnuero	آرنويرو
aroche	آروچه
aroizu	آرويثو
arona	آرونا
arquillos	آرکيليوس
arrabalde	آراوالده
arrancacepas	آرانکاثيپاس
arrazola	آراثولا
arrecife	آريثيفه
arredondo	آريذوندو
arriate	آرياته
arrieta	آريتا
arrigorriaga	آريغورياغا
arriondas	آريونداس
arroba	آرووا
arroniz	آرونيث
arroyal	آرويال
arroyos	آرويوس
arta	آرتا
artajona	آرتاخونا
artana	آرتانا
artazu	آرتاثو
arteijo	آرتييخو
artenara	آرتينارا
artes	آرتيس
artieda	آرتيذا
arties	آرتيس
arucas	آروکاس
arure	آروره
arzúa	آرثوا
asco	آسکو
asin	آسين
asomadilla	آسوماذيليا
ason	آسون
aspariegos	آسپاريغوس
aspe	آسپه
astillero	آستيليرو
astudillo	آستوذيليو
asturianos	آستوريانوس
asturias	آستورياس
atalaya	آتالايا
atalayasa	آتالاياسا
ataquines	آتاکينيس
atarfe	آتارفه
atauta	آتاوتا
atea	آتيا
ateca	آتيکا
atienza	آتينثا
atocha	آتوچا
auñón	آونون
ausejo	آوسيخو
autol	آوتول
autoria	آوتوريا
aveinte	آويينته
avellanes	آويليانيس
avila	آويلا
aviles	آويليس
avinyo	آوينيو
avinyonet	آوينيونيت
avion	آويون
ayamonte	آيامونته
ayedo	آيذو
ayllon	آيليون
ayna	آينا
ayora	آيورا
aytona	آيتونا
azagra	آثاغرا
azaila	آثايلا
azañón	آثانون
azanuy	آثانوي
azcoitia	آثکويتيا
aznalcazar	آثنالکاثار
aznalcollar	آثنالکوليار
azpeitia	آثپييتيا
azuaga	آثواغا
azuara	آثوارا
azuelo	آثويلو
babilafuente	باويلافوينته
bacares	باکاريس
badajoz	باذاخوث
badalona	باذالونا
badaran	باذاران
badenas	باذيناس
badolatosa	باذولاتوسا
badules	باذوليس
baena	باينا
baeza	بايثا
baga	باغا
baguena	باغينا
bagur	باغور
bahillo	باايليو
bailen	بايلين
baillo	بايليو
bajamar	باخامار
balaguer	بالاغير
balazote	بالاثوته
balces	بالثيس
balconete	بالکونيته
baleira	بالييرا
balerma	باليرما
balimbra	باليمبرا
balira	باليرا
ballerias	باليرياس
ballestar	باليستار
ballesteros	باليستيروس
ballobar	باليووار
balsareny	بالساريني
balsicas	بالسيکاس
baltanas	بالتاناس
baltar	بالتار
bañares	باناريس
bande	بانده
bañeras	بانيراس
bañobarez	بانوواريث
bañolas	بانولاس
bañon	بانون
banyoles	بانيوليس
banyos	بانيوس
baracaldo	باراکالدو
barahona	بارااونا
barajas	باراخاس
baralla	باراليا
barambio	بارامبيو
barasoain	باراسواين
barbadanes	بارواذانيس
barbadillo	بارواذيليو
barbalimpia	بارواليمپيا
barbastro	بارواسترو
barca	بارکا
barcarrota	بارکاروتا
barcena	بارثينا
barcheta	بارچيتا
barcience	بارثينثه
barcones	بارکونيس
bareyo	بارييو
bargas	بارغاس
barjos	بارخوس
barqueros	بارکيروس
barracas	باراکاس
barrachina	باراچينا
barraco	باراکو
barrax	باراکس
barreiros	بارييروس
barriomartin	باريومارتين
barro	بارو
barruecopardo	بارويکوپارذو
barzana	بارثانا
basauri	باساوري
bascara	باسکارا
basella	باسيليا
batea	باتيا
baterno	باتيرنو
bayo	بايو
bayona	بايونا
baza	باثا
beade	بياذه
beariz	بياريث
beas	بياس
becarrea	بيکاريا
beceite	بيثييته
bechi	بيچي
bedar	بيذار
bedmar	بيذمار
begijar	بيخيخار
begonte	بيغونته
beire	بييره
beires	بييريس
bejar	بيخار
bejis	بيخيس
belchite	بيلچيته
belianes	بيليانيس
belinchón	بيلينچون
bello	بيليو
belltall	بيليتالي
bellver	بيليوير
bellvey	بيليويي
bellvis	بيليويس
belmez	بيلميث
belmonte	بيلمونته
belmontejo	بيلمونتيخو
belorado	بيلوراذو
belver	بيلوير
bembibre	بيمبيوره
benabarre	بيناواره
benacazon	بيناکاثون
benafigos	بينافيغوس
benagalbon	بيناغالوون
benaguacil	بيناغواثيل
benahadux	بيناآذوکس
benahavis	بيناآويس
benajarafa	بيناخارافا
benalauria	بينالاوريا
benamaurel	بيناماوريل
benameji	بيناميخي
benamocarra	بيناموکارا
benaocaz	بيناوکاث
benaojan	بيناوخان
benarraba	بيناراوا
benasal	بيناسال
benasque	بيناسکه
benatae	بيناتاه
benavente	بيناوينته
benavides	بيناويذيس
benavites	بيناويتيس
benegiles	بينيخيليس
benejama	بينيخاما
benejuzar	بينيخوثار
benferri	بينفيري
beniarda	بينيارذا
beniarres	بينياريس
benicasim	بينيکاسيم
benichembla	بينيچيمبلا
benifallet	بينيفاليت
benifallim	بينيفاليم
benifayo	بينيفايو
beniganim	بينيغانيم
benilloba	بينيليووا
benimasot	بينيماسوت
beninar	بينينار
beniopa	بينيوپا
benisa	بينيسا
benisanet	بينيسانيت
beniseno	بينيسينو
benitachell	بينيتاچيلي
benizalon	بينيثالون
benuza	بينوثا
benzu	بينثو
beranga	بيرانگا
berantevilla	بيرانتيويليا
bercedo	بيرثيذو
bercero	بيرثيرو
berducedo	بيرذوثيذو
berdun	بيرذون
berga	بيرغا
bergasa	بيرغاسا
bergondo	بيرغوندو
bergüenda	بيرغويندا
berja	بيرخا
berlanga	بيرلانگا
bermeo	بيرميو
berriz	بيريث
berrocal	بيروکال
berzocana	بيرثوکانا
besalu	بيسالو
besaya	بيسايا
bescane	بيسکانه
betancuria	بيتانکوريا
betanzos	بيتانثوس
betelu	بيتيلو
betera	بيتيرا
beteta	بيتيتا
bezes	بيثيس
biar	بيار
bibey	بيويي
biel	بيل
bielsa	بيلسا
bienvenida	بينبينيذا
biescas	بيسکاس
bigastro	بيغاسترو
biguezal	بيغيثال
bimeda	بيميذا
bimenes	بيمينيس
binaced	بيناثيذ
binefar	بينيفار
binies	بينيس
binisalem	بينيساليم
binue	بينوه
biosca	بيوسکا
biota	بيوتا
biscarrues	بيسکارويس
biurrun	بيورون
bizberri	بيثويري
blanca	بلانکا
blancas	بلانکاس
blancos	بلانکوس
blanes	بلانيس
blanquilla	بلانکيليا
blazques	بلاثکيس
blecua	بليکوا
blesa	بليسا
boada	بواذا
boadilla	بواذيليا
boal	بوال
bobadilla	بوواذيليا
boboras	بووراس
bocairente	بوکايرينته
boceguillas	بوثيغيلياس
bocigas	بوثيغاس
boecillo	بويثيليو
bogarra	بوغارا
bogarre	بوغاره
bohoyo	بواويو
boimorto	بويمورتو
bojar	بوخار
bolaños	بولانوس
bolea	بوليا
boltaña	بولتانا
bonanza	بونانثا
boñar	بونار
bonares	بوناريس
boniches	بونيچيس
bonilla	بونيليا
boqueijon	بوکييخون
bordon	بورذون
borines	بورينيس
borja	بورخا
bornoba	بورنووا
bornos	بورنوس
borobia	بوروويا
borox	بوروکس
borres	بوريس
borriol	بوريول
bosost	بوسوست
bot	بوت
botorrita	بوتوريتا
boveda	بوويذا
brabatas	براواتاس
brañosera	برانوسيرا
braojos	براوخوس
brea	بريا
breda	بريذا
brenes	برينيس
bretun	بريتون
brihuega	برياويغا
briñas	بريناس
brion	بريون
briones	بريونيس
briviesca	بريويسکا
bronchales	برونچاليس
broto	بروتو
brozas	بروثاس
brunete	برونيته
brunola	برونولا
buciegas	بوثيغاس
budia	بوذيا
buena	بوينا
buenavista	بويناويستا
buendia	بوينديا
bueu	بويو
bufali	بوفالي
bugarra	بوغارا
buger	بوخير
buitre	بويتره
bujalance	بوخالانثه
bujan	بوخان
bujaraloz	بوخارالوث
bullas	بولياس
buñero	بونيرو
buniel	بونيل
buñol	بونول
buñola	بونولا
buñuel	بونويل
burbaguena	بورواغينا
bures	بوريس
burgo	بورغو
burgohondo	بورغواوندو
burgos	بورغوس
burguete	بورغيته
burgui	بورغي
burguillos	بورغيليوس
buron	بورون
burriana	بوريانا
burujon	بوروخون
busot	بوسوت
busquistar	بوسکيستار
cabana	کاوانا
cabañaquinta	کاواناکينتا
cabañas	کاواناس
cabanes	کاوانيس
cabanillas	کاوانيلياس
cabe	کاوه
cabezamesada	کاويثاميساذا
cabezarados	کاويثاراذوس
cabezo	کاويثو
cabolafuente	کاوولافوينته
cabra	کاورا
cabrales	کاوراليس
cabranes	کاورانيس
cabreiros	کاورييروس
cabrillanes	کاوريليانيس
cabrillas	کاوريلياس
cacabelos	کاکاويلوس
caceres	کاثيريس
cachilla	کاچيليا
cachorrilla	کاچوريليا
cacin	کاثين
cadagua	کاذاغوا
cadaques	کاذاکيس
cadavedo	کاذاويذو
cadi	کاذي
cadiar	کاذيار
cadreita	کاذرييتا
cadrete	کاذريته
cala	کالا
calaceite	کالاثييته
calaf	کالاف
calafell	کالافيلي
calahorra	کالااورا
calamocha	کالاموچا
calamonte	کالامونته
calañas	کالاناس
calanda	کالاندا
calasparra	کالاسپارا
calatanazor	کالاتاناثور
calatayud	کالاتايوذ
calatorao	کالاتوراو
calaveruela	کالاويرويلا
caldas	کالداس
calderina	کالديرينا
caleruega	کاليرويغا
caleta	کاليتا
calicasas	کاليکاساس
calig	کاليغ
callejas	کاليخاس
calonge	کالونخه
calpe	کالپه
caltojar	کالتوخار
calvia	کالويا
calzadilla	کالثاذيليا
camaleno	کامالينو
camallera	کاماليرا
camarao	کاماراو
camarasa	کاماراسا
camarena	کامارينا
camarillas	کاماريلياس
camariñas	کاماريناس
camas	کاماس
cambados	کامباذوس
cambil	کامبيل
cambre	کامبره
cambrils	کامبريلس
caminomorisco	کامينوموريسکو
caminreal	کامينريال
campanario	کامپاناريو
campanet	کامپانيت
campanillas	کامپانيلياس
campano	کامپانو
campaspero	کامپاسپيرو
campdevanol	کامپذيوانول
campello	کامپيليو
campillo	کامپيليو
campillos	کامپيليوس
campisabalos	کامپيساوالوس
campomanes	کامپومانيس
camporredondo	کامپوريذوندو
camporrells	کامپوريليس
camporrobles	کامپورووليس
campos	کامپوس
campotejar	کامپوتيخار
camprodor	کامپروذور
camprovin	کامپرووين
camunas	کاموناس
cañada	کاناذا
cañadajuncosa	کاناذاخونکوسا
canales	کاناليس
canals	کانالس
cañamares	کاناماريس
cañamero	کاناميرو
cañar	کانار
cañaveral	کاناويرال
cañaveras	کاناويراس
cancarix	کانکاريکس
cancienes	کانثينيس
candas	کانداس
candasnos	کانداسنوس
candelaria	کانديلاريا
candelario	کانديلاريو
candeleda	کانديليذا
candilichera	کانديليچيرا
candin	کاندين
canedo	کانيذو
canena	کانينا
canero	کانيرو
canfranc	کانفرانک
cangas	کانگاس
caniles	کانيليس
canillas	کانيلياس
canizal	کانيثال
canizares	کانيثاريس
canizo	کانيثو
canjayar	کانخايار
cantalapiedra	کانتالاپيذرا
cantalejo	کانتاليخو
cantalojas	کانتالوخاس
cantalpino	کانتالپينو
cantareros	کانتاريروس
cantavieja	کانتاويخا
canteras	کانتيراس
cantillana	کانتيليانا
cantoral	کانتورال
cantoria	کانتوريا
canyellas	کانيلياس
caparroso	کاپاروسو
capdella	کاپذيليا
capdepera	کاپذيپيرا
capellades	کاپيلياذيس
capilduy	کاپيلدوي
capilla	کاپيليا
carabaña	کاراوانا
carabanchel	کاراوانچيل
caracuel	کاراکويل
caralps	کارالپس
caravaca	کاراواکا
carbajo	کارواخو
carbia	کارويا
carcaboso	کارکاووسو
carcabuey	کارکاوويي
carcagente	کارکاخينته
carcar	کارکار
carcastillo	کارکاستيليو
carcelen	کارثيلين
carchel	کارچيل
carchelejo	کارچيليخو
cardejon	کارذيخون
cardona	کارذونا
carenas	کاريناس
cariñena	کارينينا
cariño	کارينو
carlet	کارليت
carmena	کارمينا
carracedelo	کاراثيذيلو
carral	کارال
carranque	کارانکه
carranza	کارانثا
carrascalejo	کاراسکاليخو
carrascosa	کاراسکوسا
carratraca	کاراتراکا
carreña	کارينا
carril	کاريل
carrizal	کاريثال
carrizo	کاريثو
carrizosa	کاريثوسا
carrocera	کاروثيرا
carroo	کاروو
cartama	کارتاما
cartaya	کارتايا
cartelle	کارتيله
carucedo	کاروثيذو
casalarreina	کاسالاريينا
casar	کاسار
casarabonela	کاساراوونيلا
casarejos	کاساريخوس
casares	کاساريس
casariche	کاساريچه
casasimarro	کاساسيمارو
casatejada	کاساتيخاذا
casavieja	کاساويخا
cascante	کاسکانته
caseda	کاسيذا
caseras	کاسيراس
caserras	کاسيراس
casinos	کاسينوس
caso	کاسو
caspe	کاسپه
castala	کاستالا
castalla	کاستاليا
castanesa	کاستانيسا
castaño	کاستانو
castaras	کاستاراس
castejon	کاستيخون
castelflorite	کاستيلفلوريته
castellanos	کاستيليانوس
castelldans	کاستيليدانس
castelldefels	کاستيليديفيلس
castellote	کاستيليوته
castells	کاستيليس
castelltallat	کاستيليتاليات
castellvell	کاستيليويلي
castelseras	کاستيلسيراس
castelvispal	کاستيلويسپال
castielfabib	کاستيلفاويو
castildelgado	کاستيلديلغاذو
castiliscar	کاستيليسکار
castilla	کاستيليا
castillejar	کاستيليخار
castilmimbre	کاستيلميمبره
castilnuevo	کاستيلنويوو
castralvo	کاسترالوو
castril	کاستريل
castrillon	کاستريليون
castrocalion	کاستروکاليون
castrocontrigo	کاستروکونتريغو
castrodeza	کاستروذيثا
castrogeriz	کاستروخيريث
castrogonzalo	کاستروغونثالو
castromocho	کاستروموچو
castromonte	کاسترومونته
castromudarra	کاستروموذارا
castronuevo	کاسترونويوو
castronuño	کاسترونونو
castropodame	کاستروپوذامه
castropol	کاستروپول
castuera	کاستويرا
catadau	کاتاذاو
catarroja	کاتاروخا
cati	کاتي
catllal	کاتليال
catoira	کاتويرا
catoute	کاتووته
catral	کاترال
caude	کاوذه
caudete	کاوذيته
caudiel	کاوذيل
caurel	کاوريل
cavezon	کاويثون
cayon	کايون
cazalegas	کاثاليغاس
cea	ثيا
ceadea	ثياذيا
ceanuri	ثيانوري
cebanico	ثيوانيکو
cebolla	ثيووليا
cebollar	ثيووليار
cebollera	ثيووليرا
cebreros	ثيوريروس
cebron	ثيورون
ceclavin	ثيکلاوين
cecos	ثيکوس
cedeira	ثيذييرا
cedillo	ثيذيليو
cedrillas	ثيذريلياس
cee	ثيه
cehegin	ثيايخين
ceinos	ثيينوس
cejo	ثيخو
celadas	ثيلاذاس
celanova	ثيلانووا
cella	ثيليا
celtiberia	ثيلتيويريا
cenia	ثينيا
cenicero	ثينيثيرو
cenicientos	ثينيثينتوس
cenizate	ثينيثاته
cenlle	ثينله
centellas	ثينتيلياس
centenillo	ثينتينيليو
centro	ثينترو
cepeda	ثيپيذا
cerceda	ثيرثيذا
cercedilla	ثيرثيذيليا
cerda	ثيرذا
cerdedo	ثيرذيذو
cerdido	ثيرذيذو
cerezo	ثيريثو
cernegula	ثيرنيغولا
cerollera	ثيروليرا
cerralbo	ثيرالوو
cervera	ثيرويرا
cespedossa	ثيسپيذوسا
cestona	ثيستونا
cesuras	ثيسوراس
cetina	ثيتينا
ceuti	ثيوتي
chamartin	چامارتين
chamberi	چامبيري
chantada	چانتاذا
chapineria	چاپينيريا
charches	چارچيس
chauchina	چاوچينا
chavaler	چاوالير
checa	چيکا
cheles	چيليس
chella	چيليا
chelva	چيلوا
chera	چيرا
chercos	چيرکوس
chert	چيرت
cherta	چيرتا
cheste	چيسته
chiclana	چيکلانا
chilches	چيلچيس
chilizarrias	چيليثارياس
chillon	چيليون
chiloeches	چيلويچيس
chimerraes	چيميرايس
chinchon	چينچون
chío	چيو
chipiona	چيپيونا
chiprana	چيپرانا
chirivel	چيريويل
chiva	چيوا
chodos	چوذوس
chovar	چووار
chueca	چويکا
chulilla	چوليليا
chullo	چوليو
ciadoncha	ثياذونچا
cibea	ثيويا
cidad	ثيذاذ
cidones	ثيذونيس
ciempozuelos	ثيمپوثويلوس
cieza	ثيثا
cifuentes	ثيفوينتيس
cigales	ثيغاليس
cigüenza	ثيغوينثا
cillamayor	ثيليامايور
cillas	ثيلياس
cilleros	ثيليروس
cimballa	ثيمباليا
cinctorres	ثينکتوريس
cintruenigo	ثينتروينيغو
cional	ثيونال
ciordia	ثيورذيا
ciperez	ثيپيريث
cirat	ثيرات
cirauqui	ثيراوکي
ciria	ثيريا
ciriza	ثيريثا
ciruelos	ثيرويلوس
cirugeda	ثيروخيذا
cisla	ثيسلا
cisneros	ثيسنيروس
cistierna	ثيستيرنا
ciudadela	ثيوذاذيلا
ciutadilla	ثيوتاذيليا
clariana	کلاريانا
coaña	کوانا
cobatillas	کوواتيلياس
cobdar	کووذار
cobeta	کوويتا
cobreros	کووريروس
coca	کوکا
cocentaina	کوثينتاينا
codeseda	کوذيسيذا
codos	کوذوس
cofete	کوفيته
cogollos	کوغوليوس
cogolludo	کوغوليوذو
coín	کوين
coiros	کويروس
coles	کوليس
colgadizos	کولغاذيثوس
colindres	کوليندريس
collados	کولياذوس
collanzo	کوليانثو
colliga	کوليغا
colmenar	کولمينار
colmenarejo	کولميناريخو
colomera	کولوميرا
colunga	کولونگا
comares	کوماريس
combarros	کومباروس
comillas	کوميلياس
competa	کومپيتا
compostela	کومپوستيلا
concud	کونکوذ
conil	کونيل
conjo	کونخو
conques	کونکيس
conquista	کونکيستا
consuegra	کونسويغرا
contes	کونتيس
copons	کوپونس
corbaton	کورواتون
corbelle	کورويله
corbera	کورويرا
corchuela	کورچويلا
corconte	کورکونته
corcubion	کورکوويون
cordoba	کورذووا
cordova	کورذووا
cordovin	کورذووين
corella	کوريليا
coreses	کوريسيس
corgo	کورغو
coria	کوريا
coripe	کوريپه
coristanco	کوريستانکو
corme	کورمه
cornago	کورناغو
corpa	کورپا
corralejo	کوراليخو
corrales	کوراليس
corredoiras	کوريذويراس
corrubedo	کوروويذو
cortegada	کورتيغاذا
cortegana	کورتيغانا
cortelazor	کورتيلاثور
cortes	کورتيس
corullon	کوروليون
corvera	کورويرا
cosa	کوسا
coscurita	کوسکوريتا
coslada	کوسلاذا
cospeito	کوسپييتو
costitx	کوستيچ
cosvenda	کوسويندا
cotiella	کوتيليا
cotillas	کوتيلياس
cotillo	کوتيليو
cotobad	کوتوواذ
cousa	کووسا
covadonga	کوواذونگا
covarrubias	کووارووياس
covas	کوواس
covelo	کوويلو
cox	کوکس
cozar	کوثار
creciente	کريثينته
cremenes	کريمينيس
crespos	کريسپوس
cretas	کريتاس
crevillente	کريويلينته
cripan	کريپان
cristobal	کريستووال
cruce	کروثه
cuadros	کواذروس
cualedro	کواليذرو
cuatretonda	کواتريتوندا
cubells	کوويليس
cubla	کوولا
cucutas	کوکوتاس
cudillero	کوذيليرو
cuellar	کويليار
cuenca	کوينکا
culla	کوليا
cullera	کوليرا
culleredo	کوليريذو
cuntis	کونتيس
curueña	کوروينا
daimiel	دايميل
dalias	دالياس
dancharinea	دانچارينيا
darnius	دارنيوس
daroca	داروکا
darrical	داريکال
darro	دارو
degaña	ديغانا
deifontes	دييفونتيس
deleitosa	ديلييتوسا
delicias	ديليثياس
denia	دينيا
destriana	ديستريانا
deusto	ديوستو
deva	ديوا
deya	دييا
deza	ديثا
dicastillo	ديکاستيليو
diezma	ديثما
dilar	ديلار
dima	ديما
diustes	ديوستيس
dobro	دوورو
dodro	دوذرو
dolar	دولار
dolores	دولوريس
domeno	دومينو
domingo	دومينگو
donado	دوناذو
dosbarrios	دوسواريوس
dozon	دوثون
driebes	دريويس
dueñas	دويناس
dumbria	دومبريا
durango	دورانگو
duraton	دوراتون
durcal	دورکال
ea	ايا
echalar	ايچالار
echalecu	ايچاليکو
echano	ايچانو
echarri	ايچاري
ecija	ايثيخا
egues	ايغيس
eibar	اييوار
ejulve	ايخولوه
elanchove	ايلانچووه
elche	ايلچه
