ကနီမြို့	کنيميو
အင်္ဂပူမြို့	اينگگپوميو
အဖျောက်မြို့	ايپياوميو
အမာမြို့	ايماميو
အမ်းမြို့	آنگميو
အရာတော်မြို့	ايياتوميو
အိမ်မဲမြို့	ايينگماميو
အုတ်တွင်းမြို့	اووتوينگميو
အုတ်ဖိုမြို့	اووپوميو
အောင်ပန်းမြို့	آونگپانگميو
အောင်လံမြို့	آونگلانگميو
အေးသာယာမြို့	ايثاياميو
ဥက္ကံမြို့	اواکانگميو
