# Territory names from CLDR
એસેન્શન આઇલેન્ડ	ēsēnśana ā'ilēnḍa
યુક્રેન	yukrēna
યુગાંડા	yugāṇḍā
સંયુક્ત રાજ્ય આઉટલાઇંગ આયલેન્ડ્સ	sanyukta rājya ā'uṭalā'iṅga āyalēnḍsa
સંયુકત રાજ્ય અમેરિકા	sanyukata rājya amērikā
ઉરુગ્વે	urugvē
ઉઝ્બેકિસ્તાન	ujhbēkistāna
વેટિકન સિટી	vēṭikana siṭī
સેન્ટ વિન્સેટ અને ગ્રેનેડીન્સ	sēnṭa vinsēṭa anē grēnēḍīnsa
વેનેઝુએલા	vēnējhu'ēlā
બ્રિટિશ વર્જિન ટાપુઓ	briṭiśa varjina ṭāpu'ō
વિયેતનામ	viyētanāma
વાનુઆતુ	vānu'ātu
વેલીસ અને ફ્યુટુના	vēlīsa anē phyuṭunā
સમોઆ	samō'ā
કોસોવો	kōsōvō
યેમેન	yēmēna
મેયોટ	mēyōṭa
દક્ષિણ આફ્રિકા	dakṣiṇa āphrikā
ઝામ્બિયા	jhāmbiyā
ઝિમ્બાબ્વે	jhimbābvē
અજ્ઞાત પ્રદેશ	ajñāta pradēśa
