# Territory names from CLDR
অ্যাসসেনশন আইল্যান্ড	ayāsasēnaśana ā'ilyānḍa
নিরক্ষীয় গিনি	nirakṣīẏa gini
গ্রীস	grīsa
দক্ষিণ জর্জিয়া ও দক্ষিণ স্যান্ডউইচ দ্বীপপুঞ্জ	dakṣiṇa jarjiẏā ō dakṣiṇa syānḍa'u'ica dbīpapuñja
গোয়াতেমালা	gōẏātēmālā
গুয়াম	guẏāma
গিনি-বিসাউ	gini-bisā'u
গিয়ানা	giẏānā
হংকং এসএআর চীনা	haṅkaṁ ēsa'ē'āra cīnā
হংকং	haṅkaṁ
হার্ড দ্বীপ এবং ম্যাকডোনাল্ড দ্বীপপুঞ্জ	hārḍa dbīpa ēbaṁ myākaḍōnālḍa dbīpapuñja
হণ্ডুরাস	haṇḍurāsa
ক্রোয়েশিয়া	krōẏēśiẏā
হাইতি	hā'iti
হাঙ্গেরি	hāṅgēri
ক্যানারি দ্বীপপুঞ্জ	kyānāri dbīpapuñja
ইন্দোনেশিয়া	indōnēśiẏā
আয়ারল্যান্ড	āẏāralyānḍa
ইজরায়েল	ijarāẏēla
আইল অফ ম্যান	ā'ila apha myāna
ভারত	bhārata
ব্রিটিশ ভারত মহাসাগরীয় অঞ্চল	briṭiśa bhārata mahāsāgarīẏa añcala
ইরাক	irāka
ইরান	irāna
আইসল্যান্ড	ā'isalyānḍa
ইতালী	itālī
জার্সি	jārsi
জামাইকা	jāmā'ikā
জর্ডন	jarḍana
জাপান	jāpāna
কেনিয়া	kēniẏā
কির্গিজিয়া	kirgijiẏā
কম্বোডিয়া	kambōḍiẏā
কিরিবাতি	kiribāti
কমোরোস	kamōrōsa
সেন্ট কিটস ও নেভিস	sēnṭa kiṭasa ō nēbhisa
উত্তর কোরিয়া	uttara kōriẏā
দক্ষিণ কোরিয়া	dakṣiṇa kōriẏā
কুয়েত	kuẏēta
কেম্যান দ্বীপপুঞ্জ	kēmyāna dbīpapuñja
কাজাখস্তান	kājākhastāna
লাওস	lā'ōsa
লেবানন	lēbānana
সেন্ট লুসিয়া	sēnṭa lusiẏā
লিচেনস্টেইন	licēnasṭē'ina
শ্রীলঙ্কা	śrīlaṅkā
লাইবেরিয়া	lā'ibēriẏā
লেসোথো	lēsōthō
লিথুয়ানিয়া	lithuẏāniẏā
লাক্সেমবার্গ	lāksēmabārga
লাত্ভিয়া	lātbhiẏā
লিবিয়া	libiẏā
মোরক্কো	mōrakkō
মোনাকো	mōnākō
মোল্দাভিয়া	mōldābhiẏā
মন্টিনিগ্রো	manṭinigrō
সেন্ট মার্টিন	sēnṭa mārṭina
মাদাগাস্কার	mādāgāskāra
মার্শাল দ্বীপপুঞ্জ	mārśāla dbīpapuñja
ম্যাসাডোনিয়া	myāsāḍōniẏā
মেসিডোনিয়া(FYROM)	mēsiḍōniẏā(FYROM)
মালি	māli
মায়ানমার (বার্মা)	māẏānamāra (bārmā)
মঙ্গোলিয়া	maṅgōliẏā
ম্যাকাও এস এ আর চায়না	myākā'ō ēsa ē āra cāẏanā
ম্যাকাও	myākā'ō
উত্তরাঞ্চলীয় মারিয়ানা দ্বীপপুঞ্জ	uttarāñcalīẏa māriẏānā dbīpapuñja
মার্টিনিক	mārṭinika
মরিতানিয়া	maritāniẏā
মন্টসেরাট	manṭasērāṭa
মাল্টা	mālṭā
মরিশাস	mariśāsa
মালদ্বীপ	māladbīpa
মালাউই	mālā'u'i
মেক্সিকো	mēksikō
মালয়েশিয়া	mālaẏēśiẏā
মোজাম্বিক	mōjāmbika
নামিবিয়া	nāmibiẏā
নিউ ক্যালেডোনিয়া	ni'u kyālēḍōniẏā
নাইজার	nā'ijāra
নিরফোক দ্বীপ	niraphōka dbīpa
নাইজেরিয়া	nā'ijēriẏā
নিকারাগুয়া	nikārāguẏā
নেদারল্যান্ডস	nēdāralyānḍasa
নরওয়ে	nara'ōẏē
নেপাল	nēpāla
নাউরু	nā'uru
নিউয়ে	ni'uẏē
নিউজিল্যান্ড	ni'ujilyānḍa
ওমান	ōmāna
পানামা	pānāmā
পিরু	piru
ফরাসী পলিনেশিয়া	pharāsī palinēśiẏā
পাপুয়া নিউ গিনি	pāpuẏā ni'u gini
ফিলিপাইন	philipā'ina
পাকিস্তান	pākistāna
পোল্যান্ড	pōlyānḍa
সেন্ট পিয়ের ও মিকুয়েলন	sēnṭa piẏēra ō mikuẏēlana
পিটকেয়ার্ন দ্বীপপুঞ্জ	piṭakēẏārna dbīpapuñja
পুয়ের্তো রিকো	puẏērtō rikō
ফিলিস্তিন অঞ্চলসমূহ	philistina añcalasamūha
ফিলিস্তিন	philistina
পর্তুগাল	partugāla
পালাউ	pālā'u
প্যারাগুয়ে	pyārāguẏē
কাতার	kātāra
আউটলাইনিং ওসানিয়া	ā'uṭalā'iniṁ ōsāniẏā
রিইউনিয়ন	ri'i'uniẏana
রুমানিয়া	rumāniẏā
সার্বিয়া	sārbiẏā
রাশিয়া	rāśiẏā
রুয়ান্ডা	ruẏānḍā
সৌদি আরব	saudi āraba
সলোমন দ্বীপপুঞ্জ	salōmana dbīpapuñja
সিসিলি	sisili
সুদান	sudāna
সুইডেন	su'iḍēna
সিঙ্গাপুর	siṅgāpura
সেন্ট হেলেনা	sēnṭa hēlēnā
স্লোভানিয়া	slōbhāniẏā
স্বালবার্ড ও জান মেয়েন	sbālabārḍa ō jāna mēẏēna
শ্লোভাকিয়া	ślōbhākiẏā
সিয়েরালিওন	siẏērāli'ōna
সান মারিনো	sāna mārinō
সেনেগাল	sēnēgāla
সোমালিয়া	sōmāliẏā
সুরিনাম	surināma
দক্ষিন সুদান	dakṣina sudāna
সাওটোমা ও প্রিন্সিপি	sā'ōṭōmā ō prinsipi
এল সালভেদর	ēla sālabhēdara
সিন্ট মার্টেন	sinṭa mārṭēna
সিরিয়া	siriẏā
সোয়াজিল্যান্ড	sōẏājilyānḍa
ট্রিস্টান ডা কুনহা	ṭrisṭāna ḍā kunahā
তুর্কস ও কাইকোস দ্বীপপুঞ্জ	turkasa ō kā'ikōsa dbīpapuñja
চাদ	cāda
ফরাসী দক্ষিণাঞ্চল	pharāsī dakṣiṇāñcala
টোগো	ṭōgō
থাইল্যান্ড	thā'ilyānḍa
তাজিকস্থান	tājikasthāna
টোকেলাউ	ṭōkēlā'u
তিমুর-লেস্তে	timura-lēstē
পূর্ব তিমুর	pūrba timura
তুর্কমেনিস্তান	turkamēnistāna
তিউনিশিয়া	ti'uniśiẏā
টোঙ্গা	ṭōṅgā
তুরস্ক	turaska
ত্রিনিনাদ ও টোব্যাগো	trinināda ō ṭōbyāgō
টুভালু	ṭubhālu
তাইওয়ান	tā'i'ōẏāna
তাঞ্জানিয়া	tāñjāniẏā
ইউক্রেইন	i'ukrē'ina
উগান্ডা	ugānḍā
যুক্তরাষ্ট্রের পার্শ্ববর্তী দ্বীপপুঞ্জ	yuktarāṣṭrēra pārśbabartī dbīpapuñja
মার্কিন যুক্তরাষ্ট্র	mārkina yuktarāṣṭra
ইউ এস	i'u ēsa
উরুগুয়ে	uruguẏē
উজবেকিস্তান	ujabēkistāna
ভ্যাটিকান সিটি	bhyāṭikāna siṭi
সেন্ট ভিনসেন্ট ও দ্যা গ্রেনাডিনস	sēnṭa bhinasēnṭa ō dyā grēnāḍinasa
ভেনেজুয়েলা	bhēnējuẏēlā
ব্রিটিশ ভার্জিন দ্বীপপুঞ্জ	briṭiśa bhārjina dbīpapuñja
মার্কিন ভার্জিন দ্বীপপুঞ্জ	mārkina bhārjina dbīpapuñja
ভিয়েতনাম	bhiẏētanāma
ভানুয়াটু	bhānuẏāṭu
ওয়ালিস ও ফুটুনা	ōẏālisa ō phuṭunā
সামোয়া	sāmōẏā
কসোভো	kasōbhō
ইয়েমেন	iẏēmēna
মায়োত্তে	māẏōttē
দক্ষিণ আফ্রিকা	dakṣiṇa āphrikā
জাম্বিয়া	jāmbiẏā
জিম্বাবোয়ে	jimbābōẏē
অজানা স্থান	ajānā sthāna
