# Baby names
અંશ	انش
ચરિત	تشریت
ચરુલા	تشرولا
ચસ્મીતા	تشسمیتا
ચાકરીન	تشاكرین
ચાને	تشاني
ચાન્નક્કા	تشاننككا
ચાન્નાય	تشاننای
ચારીકા	تشاریكا
ચારુદત્ત	تشارودتت
ચારુલતા	تشارولتا
ચારુશીલા	تشاروشیلا
ચિંટૂ	تشینطو
ચિતહેશ	تشیتهیش
ચિત્કલા	تشیتكلا
ચિત્તસ્વરૂપ	تشیتتسوروب
ચિત્રકુન્દાલા	تشیتركوندالا
ચિત્રલ	تشیترل
ચિત્રેશ	تشیتریش
ચિદાત્મા	تشیداتما
ચિધાત્મા	تشیدهاتما
ચિન્મય	تشینمی
ચિર્ત્રંગ	تشیرترنج
ચીન્નીઃ	تشیننیها
ચેથના	تشیتهنا
ચેનના	تشیننا
ચૈતન	تشایتن
ચૈત્રી	تشایتری
ચોલામિત્ર	تشولامیتر
ચૌનતા	تشاونتا
છાયા	تشهایا
જગતપાલ	ججتبال
જગદગુરુવે	ججدجورووي
જગદીપ	ججدیب
જગન	ججن
જગિશ	ججیش
જગ્ગેર	جججیر
જગ્સના	ججسنا
જનતા	جنتا
જનાદેવ	جنادیو
જનાર્દનન	جناردنن
જનિતા	جنیتا
જન્મ	جنم
જમ્બાવતી	جمباوتی
જય ગોપાલ	جی جوبال
જયંતાસેના	جینتاسینا
જયદા	جیدا
જયન	جین
જયમેન	جیمین
જયલક્ષ્મી	جیلكشمی
જયલલીથા	جیللیتها
જયશેખર	جیشیكهر
જયહરી	جیهری
જયાકીર્તન	جیاكیرتن
જયાપાદમાં	جیابادمان
જયાલક્ષ્મી	جیالكشمی
જય્મીની	جیمینی
જલાગંધા	جلاجندها
જલાર્ક	جلارك
જલ્પેશ	جلبیش
જશપાલ	جشبال
જસ્લીના	جسلینا
જસ્વીથા	جسویتها
જસ્સીચા	جسسیتشا
જહાંગીર	جهانجیر
જાગ્રત	جاجرت
જાગ્રવ	جاجرو
જાઝીમ	جاجهیم
જાતાવેદાસ	جاتاویداس
જાનકીરમન	جانكیرمن
જાનવી	جانوی
જાનહાન	جانهان
જાન્વી	جانوی
જામીની	جامینی
જાલેંદ્ર	جالیندر
જાહનવી	جاهنوی
જિનાભદ્ર	جینابهدر
જિલેશ	جیلیش
જિલ્પા	جیلبا
જીગર	جیجر
જીતીશ	جیتیش
જીન	جین
જીન્શીત	جینشیت
જીમૂત	جیموت
જીલવ	جیلو
જીવા	جیوا
જીવિકા	جیویكا
જીવેશ	جیویش
જીશના	جیشنا
જીશું	جیشون
જુનીતા	جونیتا
જેગપ્રીયાન	جیجبرییان
જેતલ	جیتل
જેનીતા	جینیتا
જેબીશા	جیبیشا
જૈચંદ	جایتشند
જૈચરણ	جایتشرن
જૈદેવ	جایدیو
જૈસંકર	جایسنكر
જૈસ્યા	جایسیا
જોયાત્રી	جویاتری
જોવાકી	جوواكی
જોવિતા	جوویتا
જોસ્યા	جوسیا
જ્ઞાન	جنان
જ્ઞાનાલ	جنانال
જ્યોસ્તના	جیوستنا
ઝંકાર	جهنكار
ઝરલ	جهرل
ઝાએઈ	جهایإ
ઝારા	جهارا
ઝિનૂક	جهینوك
ઝુબીન	جهوبین
ઝુલિએર	جهولییر
ઝેનીલ	جهینیل
ઠરાનીકા	طهرانیكا
ડાલી	دالی
તંગમ	تنجم
તક્ષક	تكشك
તથાથાન	تتهاتهان
તનવી	تنوی
તનવીર	تنویر
તનિશ્ક	تنیشك
તનુપા	تنوبا
તન્નિષ્ઠા	تننیشطها
તન્વી શ્રી	تنوی شری
તપસેન્દ્ર	تبسیندر
તપસ્વિની	تبسوینی
તમન	تمن
તમન્ના	تمننا
તમોનષ	تمونش
તયા	تیا
તરણ	ترن
તરનીજા	ترنیجا
તરુણી	ترونی
તરુશ્રી	تروشری
તરોશ	تروش
તશા	تشا
તસ્મિ	تسمی
તસ્ય	تسی
તાનક	تانك
તાના	تانا
તાની	تانی
તાનીશતા	تانیشتا
તાન્વી	تانوی
તાન્વેશા	تانویشا
તામસી	تامسی
તામીલ્મરણ	تامیلمرن
તારક	تارك
તારકેશ	تاركیش
તારકેશ્વર	تاركیشور
તારાનીસેન	تارانیسین
તારોક	تاروك
તાલંક	تالنك
તાલીન	تالین
તાવીનીશ	تاوینیش
તિક્શીકા	تیكشیكا
તિજિલ	تیجیل
તિતિર	تیتیر
તિનકા	تینكا
તિર્થાયાદ	تیرتهایاد
તિલકા	تیلكا
તિલોત્તમા	تیلوتتما
તીમિત	تیمیت
તીમીતા	تیمیتا
તીયાસા	تییاسا
તીરુગ્નાનમ	تیروجنانم
તીરુમેની	تیرومینی
તીર્થરાજ	تیرتهراج
તીશા	تیشا
તુકારામ	توكارام
તુન્ગાર	تونجار
તુલસા	تولسا
તૃષા	ترشا
તેજસી	تیجسی
તેજસ્વીતા	تیجسویتا
તેજસ્વીની	تیجسوینی
તેજેસ્વીની	تیجیسوینی
તેજોભાદ્ર	تیجوبهادر
તેર્ષમ	تیرشم
તેહીહ્યા	تیهیهیا
તોમોગના	توموجنا
તોશાની	توشانی
તોશીન	توشین
તૌરુસ	تاوروس
ત્રિકાયા	تریكایا
ત્રિધાત્રી	تریدهاتری
ત્રિનાથ	تریناته
ત્રિભુવન	تریبهوون
ત્રિમૂર્તિ	تریمورتی
ત્રિયા	ترییا
ત્રિવેન્દ્ર	تریویندر
ત્રિશુલાંક	تریشولانك
ત્રિષર	تریشر
ત્રીનેશ	ترینیش
ત્રીભુવન	تریبهوون
ત્રીલોકાત્માને	تریلوكاتماني
ત્રીવીક્રમાં	تریویكرمان
ત્રીવીદ	تریوید
ત્રેયા	ترییا
થનીરિકા	تهنیریكا
થાનીકા	تهانیكا
થાનીષા	تهانیشا
થાનીસરી	تهانیسری
થાન્યસ્રી	تهانیسری
થામીલારાસન	تهامیلاراسن
થારન્યા	تهارنیا
થેન્મોલી	تهینمولی
થ્રાયા	تهرایا
દક્શીકા	دكشیكا
દક્ષિત	دكشیت
દક્ષેષ	دكشیش
દજ્શી	دجشی
દધીચિ	ددهیتشی
દયસરા	دیسرا
દયાકર	دیاكر
દયાનીશ્કા	دیانیشكا
દરસાથ	درساته
દરહાસ	درهاس
દરિદ્રીયાનાશીની	دریدرییاناشینی
દર્શિકા	درشیكا
દર્સીકા	درسیكا
દલજીત	دلجیت
દલ્શેર	دلشیر
દશાગ્રીવા શીરોહરા	دشاجریوا شیروهرا
દસરાજા	دسراجا
દસ્માયા	دسمایا
દહા	دها
દહાના	دهانا
દાનુષ	دانوش
દારિકા	داریكا
દિક્ષી	دیكشی
દિપક્ષી	دیبكشی
દિપમ્શું	دیبمشون
દિપાશ્રી	دیباشری
દિપ્તા	دیبتا
દિશના	دیشنا
દીક્ષિકા	دیكشیكا
દીપનકર	دیبنكر
દીપમાળા	دیبمارا
દીપાના	دیبانا
દીપ્તિ	دیبتی
દેબન્શી	دیبنشی
દેબસ્મિતા	دیبسمیتا
દેબાસીસ	دیباسیس
દેબોરહ	دیبوره
દેબ્પ્રસાદ	دیببرساد
દેવ કુમાર	دیو كومار
દેવકલી	دیوكلی
દેવકી	دیوكی
દેવતા	دیوتا
દેવમતિ	دیومتی
દેવર્સી	دیورسی
દેવાંગી	دیوانجی
દેવાંશ	دیوانش
દેવાજુતા	دیواجوتا
દેવાદાર્શીની	دیوادارشینی
દેવાદીત્યા	دیوادیتیا
દેવાદ્યુમના	دیوادیومنا
દેવાનંદન	دیوانندن
દેવાપી	دیوابی
દેવાલીના	دیوالینا
દેવિદાસ	دیویداس
દેવિના	دیوینا
દેવીકી	دیویكی
દેવેન્દ્રનાથ	دیویندرناته
દેવેન્દ્રશીકા	دیویندرشیكا
દેવેશી	دیویشی
દેવ્યમ	دیویم
દેવ્યાની	دیویانی
દેવ્વાન્તી	دیووانتی
દેશવા	دیشوا
દેશીકા	دیشیكا
દેસના	دیسنا
દેસીકા	دیسیكا
દેહ્ય	دیهی
દૈત્ય	دایتی
દૈના	داینا
દૈપાયન	دایباین
દૈવી	دایوی
ધક્શીતા	دهكشیتا
ધક્ષતા	دهكشتا
ધન લક્ષ્મી	دهن لكشمی
ધનધાન્યકી	دهندهانیكی
ધનશિકા	دهنشیكا
ધનિયા	دهنییا
ધનુંર્ધારા	دهنونردهارا
ધમેન્દ્ર	دهمیندر
ધરમવીર	دهرمویر
ધરાસુતા	دهراسوتا
ધર્મઅધ્યક્ષ	دهرمادهیكش
ધર્મકીર્તિ	دهرمكیرتی
ધર્મીશ્તા	دهرمیشتا
ધવલ્યા	دهولیا
ધાર્શીકા	دهارشیكا
ધાવીશી	دهاویشی
ધિરા	دهیرا
ધીપ્ત્હા	دهیبتها
ધીમાહી	دهیماهی
ધૂન	دهون
ધૈર્ય	دهایری
ધ્રીશીકા	دهریشیكا
નંદ	نند
નંદકુમાર	نندكومار
નંદગોપાલ	نندجوبال
નક્શ	نكش
નક્ષાત્ર	نكشاتر
નગરજન	نجرجن
નબ્હિજ	نبهیج
નમસ્યૂ	نمسیو
નમીતા	نمیتا
નયાજ	نیاج
નયાસના	نیاسنا
નરીતા	نریتا
નર્મદા	نرمدا
નવતેજ	نوتیج
નવિન	نوین
નાકીસકા	ناكیسكا
નાકુશ	ناكوش
નાગનાથ	ناجناته
નાગાંજલી	ناجانجلی
નાગાનંદિની	ناجانندینی
નાગાર્જુન	ناجارجون
નાગેસ્વારી	ناجیسواری
નાટકપ્રિય	ناطكبریی
નાથ	ناته
નાન્દુની	ناندونی
નાભિ	نابهی
નાયક	نایك
નાયકી	نایكی
નારંગ	نارنج
નારન	نارن
નારાયન	ناراین
નાર્સપ્પા	نارسببا
નાવાન્ય	ناوانی
નાવાપ્રિયન	ناوابریین
નાશાલ	ناشال
નિકેતા	نیكیتا
નિખાલ	نیكهال
નિખિલ	نیكهیل
નિધન	نیدهن
નિપા	نیبا
નિબંધના	نیبندهنا
નિમેશ	نیمیش
નિરામઈ	نیرامإ
નિરામયા	نیرامیا
નિરૂપા	نیروبا
નિલિની	نیلینی
નિલ્લ	نیلل
નિશય	نیشی
નિશા	نیشا
નિશિ	نیشی
નિશિકા	نیشیكا
નિષ્ણાં	نیشنان
નિહિત	نیهیت
નીકુંજા	نیكونجا
નીકેશ્ય	نیكیشی
નીખેલ	نیكهیل
નીગી	نیجی
નીડી	نیدی
નીદિશ	نیدیش
નીધા	نیدها
નીપા	نیبا
નીપુના	نیبونا
નીબેદીતા	نیبیدیتا
નીરજ નયન	نیرج نین
નીરુધી	نیرودهی
નીરૈમાંથી	نیرایمانتهی
નીર્મુકતા	نیرموكتا
નીલંજન	نیلنجن
નીલાક્ષી	نیلاكشی
નીલ્પ્રબ્ભા	نیلبرببها
નીશીરા	نیشیرا
નીશોકા	نیشوكا
નીસ્ચીતા	نیستشیتا
નીસ્ચીથા	نیستشیتها
નેકા	نیكا
નેત્રતાવ	نیترتاو
નેમીચંદ	نیمیتشند
નેવી	نیوی
નેશ્વારી	نیشواری
નૈનીશા	ناینیشا
નૈમિષા	نایمیشا
નૈરુથી	نایروتهی
નૈલીકા	نایلیكا
નૌરિન	ناورین
પંકજલોચના	بنكجلوتشنا
પંકિત	بنكیت
પંચમી	بنتشمی
પંડી	بندی
પંથ	بنته
પક્ષી	بكشی
પક્ષીન	بكشین
પઝ્હેની	بجههینی
પણ-ગેશ	بن-جیش
પત્ર	بتر
પત્રલિકા	بترلیكا
પત્રીક	بتریك
પદમાંક્ષ્ય	بدمانكشی
પદમાવતી	بدماوتی
પદ્મ	بدم
પદ્માકર	بدماكر
પનિતા	بنیتا
પન્યશ્રી	بنیشری
પયોશ્નીકા	بیوشنیكا
પરમ	برم
પરમિલા	برمیلا
પરવાસૂ	برواسو
પરસમે	برسمي
પરસ્માઈ	برسماإ
પરાકાષ	براكاش
પરાક્રમ	براكرم
પરિચય	بریتشی
પરિષ	بریش
પરીસા	بریسا
પર્જન્ય	برجنی
પર્નલ	برنل
પર્વત	بروت
પલાશરંજન	بلاشرنجن
પલોમી	بلومی
પલ્લબ	بللب
પલ્લવિની	بللوینی
પલ્લવી	بللوی
પવીશ્ના	بویشنا
પહેલ	بهیل
પાઓલા	بااولا
પાગલાવન	باجلاون
પાન્દિયન	باندیین
પારબ્રહ્મ	باربرهم
પારવાથી	بارواتهی
પારાવ	باراو
પાર્થવ	بارتهو
પાર્થિવ	بارتهیو
પાર્થીવેન્દ્ર	بارتهیویندر
પાર્વતી નંદન	باروتی نندن
પાર્વાથી	بارواتهی
પાવકી	باوكی
પાવના	باونا
પાવાકી	باواكی
પિંગલા	بینجلا
પીઅલ્લી	بیاللی
પીતામ્બરા	بیتامبرا
પીનલ	بینل
પીયાશા	بییاشا
પીર્નાવ	بیرناو
પૂજન	بوجن
પૂર્ણલલીતા	بورنللیتا
પૂર્નાચંદ્રા	بورناتشندرا
પૂર્નામદા	بورنامدا
પૂર્વ	بورو
પૂર્વિકા	بورویكا
પૂર્વીજ્હા	بورویجها
પોંનન	بوننن
પોઉર્નીમાં	بوورنیمان
પોન્થારા	بونتهارا
પોરોમાં	بورومان
પોષ	بوش
પૌરવી	باوروی
પ્રંવુતા	برنووتا
પ્રગતીશા	برجتیشا
પ્રગ્યા	برجیا
પ્રણાલી	برنالی
પ્રનાદા	برنادا
પ્રન્જા	برنجا
પ્રભાકર	بربهاكر
પ્રભાતી	بربهاتی
પ્રભારૂપા	بربهاروبا
પ્રભાવતી	بربهاوتی
પ્રભ્રીતી	بربهریتی
પ્રહાર્શીની	برهارشینی
પ્રહાસા	برهاسا
પ્રાખ્યા	براكهیا
પ્રાણવાપ્રિયા	برانوابرییا
પ્રાનાદ	براناد
ફણીશ	بهنیش
ફલોની	بهلونی
ફુલ્લન	بهوللن
ફેની	بهینی
ફ્લાવીના	بهلاوینا
બત્નાસીદ્ધીકારા	بتناسیددهیكارا
બદરી	بدری
બન્દીન	بندین
બર્હન	برهن
બલામુરુગન	بلاموروجن
બલામ્બુ	بلامبو
બલ્લભ	بللبه
બવિયન	بویین
બસંતી	بسنتی
બસૂધા	بسودها
બાટલી	باطلی
બાલાજી	بالاجی
બાલારામ	بالارام
બાલેન્દ્ર	بالیندر
બાહુબલી	باهوبلی
બાહુલ્ય	باهولی
બિંકા	بینكا
બિજય	بیجی
બિધાન	بیدهان
બિનોય	بینوی
બિભવાસુ	بیبهواسو
બિમલા	بیملا
બિમ્બ	بیمب
બિસાલા	بیسالا
બીકાશ	بیكاش
બીન્દુસાગર	بیندوساجر
બીબોસ્વાન	بیبوسوان
બીભાકર	بیبهاكر
બીલ્વાની	بیلوانی
બીલ્વાનીલાયા	بیلوانیلایا
બુધીપ્રિયા	بودهیبرییا
બૂમિકા	بومیكا
બૃંદા	برندا
બેનીતા	بینیتا
બૈજયંતી	بایجینتی
બૈસાખી	بایساكهی
બૌમાંથી	باومانتهی
બ્રનુચિકા	برنوتشیكا
બ્રહ્માવતી	برهماوتی
બ્રિજબાલા	بریجبالا
ભગત	بهجت
ભગવંત	بهجونت
ભદ્રંગ	بهدرنج
ભદ્રક	بهدرك
ભદ્રકપિલ	بهدركبیل
ભરાન	بهران
ભર્તેશ	بهرتیش
ભવન	بهون
ભવરોગસ્યાભેશાજા	بهوروجسیابهیشاجا
ભવાની સંકર	بهوانی سنكر
ભાગીરત	بهاجیرت
ભાગ્યશબરી	بهاجیشبری
ભાગ્યા	بهاجیا
ભાગ્યેશ	بهاجییش
ભાનુજ	بهانوج
ભાનુપ્રિયા	بهانوبرییا
ભાનુમિત્ર	بهانومیتر
ભારતી	بهارتی
ભારવી	بهاروی
ભારુ	بهارو
ભાર્ગવા	بهارجوا
ભાવાનીલ	بهاوانیل
ભાવાપ્રિયા	بهاوابرییا
ભાવામોચની	بهاواموتشنی
ભાવાર્થ	بهاوارته
ભાવાલન	بهاوالن
ભાવિક	بهاویك
ભાવિન	بهاوین
ભાવેશ	بهاویش
ભાસુ	بهاسو
ભિમાંવેગ	بهیمانویج
ભીખી	بهیكهی
ભીમસેન	بهیمسین
ભીમાંન્શી	بهیماننشی
ભીલાનગના	بهیلانجنا
ભુવૈનીકા	بهوواینیكا
ભૂતપાલા	بهوتبالا
ભૂપેન્દ્ર	بهوبیندر
ભૂમીશ	بهومیش
ભૃગુ	بهرجو
ભેવીન	بهیوین
ભેસાજ	بهیساج
ભોજા	بهوجا
ભોલાનાથ	بهولاناته
મંગલા	منجلا
મંજુ પ્રસાદ	منجو برساد
મંજુનાથ	منجوناته
મંજુબાલા	منجوبالا
મંજૂશા	منجوشا
મંત	منت
મંત્રના	منترنا
મંથિકા	منتهیكا
મકર	مكر
મણિરત્ના	منیرتنا
મત્સ્યેંદ્ર	متسییندر
મદીન	مدین
મદુર	مدور
મધુ સ્મિતા	مدهو سمیتا
મધુકાંત	مدهوكانت
મધુદીપ	مدهودیب
મધુમાંલી	مدهومانلی
મધુમાલતી	مدهومالتی
મધુલા	مدهولا
મધુલેખા	مدهولیكها
મનનશ	مننش
મનવિર	منویر
મનસ્વિન	منسوین
મનસ્વિની	منسوینی
મનિભૂષણ	منیبهوشن
મનીતા	منیتا
મનીદીપ	منیدیب
મનુજ	منوج
મનોથ	منوته
મનોભાવ	منوبهاو
મન્કુર	منكور
મયુરીની	میورینی
મરીને	مریني
મલયજ	ملیج
મલ્લિકા	مللیكا
મલ્લિકાર્જુન	مللیكارجون
મલ્લિગા	مللیجا
મલ્લી	مللی
મલ્લુ	مللو
મસરા	مسرا
મહંથી	مهنتهی
