# Baby names
অকার্যতানাযা	اكاریتانایا
জানকীভূষণ	جانكیبهوشن
জানবী	جانبی
জানহিতা	جانهیتا
জানীশ	جانیش
জাবা	جابا
জারন	جارن
জালেংদু	جالیندو
জিগ্নাসা	جیجناسا
জীজ্ঞাশা	جیجناشا
জীতেশী	جیتیشی
জীন্ষা	جینشا
জীমী	جیمی
জেনীকা	جینیكا
জের্শীকা	جیرشیكا
জেসরী	جیسری
জৈক্রীশ	جایكریش
জৈন	جاین
জৈনিল	جاینیل
জৈনীত	جاینیت
জৈমীনী	جایمینی
জৈহাসীনী	جایهاسینی
জ্ঞানী	جنانی
জ্ঞানেশ্বর	جنانیشبر
জ্হুমাং	جهومان
ঝারা	جهارا
ঝিনূক	جهینوك
ঝিযন	جهیین
ঝীল	جهیل
ঝীহান	جهیهان
ঝেনীল	جهینیل
ঝেনীশা	جهینیشا
ঠাকুর	طهاكور
ঠুমরী	طهومری
তংত্র	تنتر
তজজ্ঞ	تججن
তনিশ্ক	تنیشك
তনিষ	تنیش
তনুংগ্না	تنونجنا
তনেশ	تنیش
তনোজ	تنوج
তন্বিকা	تنبیكا
তন্মাযা	تنمایا
তপেন্দ্র	تبیندر
তবলীন :	تبلین :
তব্বু	تببو
তমসী	تمسی
তরুণ  বিজয	ترون  بیجی
তরুন্সীবা	ترونسیبا
তরুশ্রী	تروشری
তরুসা	تروسا
তলংক	تلنك
তাত্বিক	تاتبیك
তানুংমালয	تانونمالی
তানুংশ্সী	تانونشسی
তাপিত	تابیت
তামাংশ্রী	تامانشری
তারকনাথ	تاركناته
তারকা	تاركا
তারকেশ	تاركیش
তারকেশ্বর	تاركیشبر
তারচংদ	تارتشند
তারা প্রশাদ	تارا برشاد
তারাকিনী	تاراكینی
তারীশী	تاریشی
তারুষ	تاروش
তালংক	تالنك
তালিকা	تالیكا
তালীন	تالین
তিনাশ	تیناش
তিরবিকা	تیربیكا
তিলক	تیلك
তিস্যা	تیسیا
তীম্মাং	تیممان
তীযাসা	تییاسا
তীলাকারতনা	تیلاكارتنا
তীস্তা	تیستا
তুমীর	تومیر
তেজপাল	تیجبال
তেজম	تیجم
তেজস্মীতা	تیجسمیتا
তেজ়	تیج
তেজুস	تیجوس
তেজোভাদ্র	تیجوبهادر
তেনুং	تینون
তের্ষম	تیرشم
তোযেশ	توییش
তোশাল	توشال
তোশী	توشی
ত্রিলোক	تریلوك
ত্রীলূকামন	تریلوكامن
ত্রীশ	تریش
থমারাঈ	تهماراي
থারা	تهارا
থেন্মোলী	تهینمولی
থ্রানীসা	تهرانیسا
দক্শিনযন	دكشینین
দক্শীন্য	دكشینی
দক্ষেশ্বর	دكشیشبر
দক্ষেষ	دكشیش
দত্তাত্রী	دتتاتری
দত্তাত্রেয	دتتاتریی
দনীলা	دنیلا
দনুংসীযা	دنونسییا
দন্যতা	دنیتا
দবাশীশ	دباشیش
দবীত	دبیت
দযাল	دیال
দযাস্বরূপ	دیاسبروب
দর্মীনী	درمینی
দর্শনী	درشنی
দর্শিক	درشیك
দর্শীল	درشیل
দলাপথী	دلابتهی
দশাবহবে	دشابهبي
দানবেন্দ্রবিনাশকা	دانبیندربیناشكا
দান্দাপানী	داندابانی
দাব	داب
দামন	دامن
দারুণ	دارون
দাল্ভযা	دالبهیا
দাস	داس
দিক্ষীন	دیكشین
দিন দযাল	دین دیال
দিনাবংধাবে	دینابندهابي
দিপন্ষা	دیبنشا
দিপ্তিকা	دیبتیكا
দিবেনা	دیبینا
দিযা	دیا
দিরাজ	دیراج
দীক্ষিতা	دیكشیتا
দীতা	دیتا
দীপক	دیبك
দীপনা	دیبنا
দীপশিখা	دیبشیكها
দীপালী	دیبالی
দীপ্তা	دیبتا
দীপ্তিকানা	دیبتیكانا
দেনীষ	دینیش
দেন্সী	دینسی
দেবগর্ভা	دیبجربها
দেবর্পীতা	دیبربیتا
দেবা	دیبا
দেবাগাংধারী	دیباجاندهاری
দেবারতী	دیبارتی
দেবারীশী	دیباریشی
দেবিক	دیبیك
দেবীন	دیبین
দেব্প্রসাদ	دیببرساد
দেব্প্রীতা	دیببریتا
দেম্ধেন্দ্র	دیمدهیندر
দেযাশীনী	دییاشینی
দেস্পীনা	دیسبینا
দৈবত	دایبت
দৈবী	دایبی
দৈবেয	دایبیی
ধনশ্রী	دهنشری
ধনিযা	دهنییا
ধন্যতা	دهنیتا
ধন্যশ্রী	دهنیشری
ধরনী	دهرنی
ধরাহাসীনী	دهراهاسینی
ধারিকা	دهاریكا
ধারীত্রী	دهاریتری
ধার্শীকা	دهارشیكا
নংদ-নংদন	نند-نندن
নংদপাল	نندبال
নংধা	نندها
নচিকেতা	نتشیكیتا
নটরাজ	نطراج
নবকুংজ	نبكونج
নবরাতনা	نبراتنا
নবেংদু	نبیندو
নমনা	نمنا
নর্মদা	نرمدا
নাংবী	نانبی
নাগবেনী	ناجبینی
নাগভুষণ	ناجبهوشن
নাগমমাং	ناجممان
নাগরাজু	ناجراجو
নাগেস্বারী	ناجیسباری
নাতন	ناتن
নাতিন	ناتین
নাতীক	ناتیك
নান্দীথা	ناندیتها
নাবেতা	نابیتا
নাবেশা	نابیشا
নাভ্যা	نابهیا
নামাংহা	نامانها
নাযসা	نایسا
নাযানী	نایانی
নারাযণন	ناراینن
নারাযন	ناراین
নার্ন্রতা	نارنرتا
নাশাল	ناشال
নিদ্রা	نیدرا
নিবা	نیبا
নিহারিকা	نیهاریكا
নীকাশা	نیكاشا
নীচিকা	نیتشیكا
নীথী	نیتهی
নীনা	نینا
নীবেদীতা	نیبیدیتا
নীরজ নযন	نیرج نین
নীরব	نیرب
নীলকাংত্	نیلكانت
নীলযা	نیلیا
নীলাবাথী	نیلاباتهی
নীলাম্বর	نیلامبر
নীলাম্বরী	نیلامبری
নেকা	نیكا
নেথ্রা	نیتهرا
নেবেধা	نیبیدها
নেমাংলী	نیمانلی
নেল্বীন	نیلبین
নেসরা	نیسرا
নৈংশী	ناینشی
নৈনীশ	ناینیش
নৈনুষ	ناینوش
নৈমিষ	نایمیش
নৈমিষা	نایمیشا
নৈমেষ	نایمیش
নৌরিন	ناورین
পংকজ	بنكج
পংকাজধারিণী	بنكاجدهارینی
পংখী	بنكهی
পংচজন্য	بنتشجنی
পংধারী	بندهاری
পট মংজরী	بط منجری
পতগ	بتج
পত্তাম্বরাপরীধানা	بتتامبرابریدهانا
পত্র	بتر
পদমাংক্ষ্য	بدمانكشی
পদ্মকাংত	بدمكانت
পদ্মগ্রিহা	بدمجریها
পদ্মমালিনী	بدممالینی
পদ্মাংকল্যানী	بدمانكلیانی
পদ্মাজঈ	بدماجي
পনিতা	بنیتا
পন্দালাবাসন	بندالاباسن
পন্দীযারাজ	بندییاراج
পবন  আদিত্য	ببن  آدیتی
পবনপুত্র	ببنبوتر
পবিত্রণ	ببیترن
পবিনা	ببینا
পবীকরণ	ببیكرن
পবীশ্না	ببیشنا
পযোধরা	بیودهرا
পরতাপ ; পরতাপ	برتاب ; برتاب
পরম-হংস	برم-هنس
পরমাত্মা	برماتما
পরমার্থ	برمارته
পরাকাষ	براكاش
পরান্জয	برانجی
পরাসরা	براسرا
পরিচয	بریتشی
পরিসী	بریسی
পরেশ	بریش
পর্কাবী	بركابی
পর্নবী	برنبی
পর্নল	برنل
পর্বতীপ্রিত	بربتیبریت
পর্হন	برهن
পলক	بلك
পলানী	بلانی
পলাশ	بلاش
পল্লাবী	بللابی
পহেল	بهیل
পাক	باك
পানমোলী	بانمولی
পাব	باب
পাযোধর	بایودهر
পারিতোশ	باریتوش
পারুল	بارول
পালীত	بالیت
পাহী	باهی
পীতাংবর	بیتانبر
পীযাশা	بییاشا
পূজীতা	بوجیتا
পূর্বীজ্হা	بوربیجها
পূশীথা	بوشیتها
পোউর্নীমাং	بوورنیمان
পোর্নীমাং	بورنیمان
পোশীথা	بوشیتها
পৌরুষ	باوروش
ফণীশ	بهنیش
ফনিংদ্র	بهنیندر
ফ্রেযল	بهرییل
ফ্লাবীনা	بهلابینا
বংশজা	بنشجا
বংশীধর	بنشیدهر
বংসী	بنسی
বকা	بكا
বদ্রীনাথ	بدریناته
বনমালা	بنمالا
বনাজ	بناج
বনীলা	بنیلا
বন্দীনী	بندینی
বন্ধানা	بندهانا
বপুন	ببون
ববয	ببی
ববিশ	ببیش
বরজোত্তামাং	برجوتتامان
বর্টীক	برطیك
বর্তার	برتار
বর্শনেযা	برشنییا
বর্শীতা	برشیتا
বর্ষিত	برشیت
বলরাম	بلرام
বলাচান্দ্রণ	بلاتشاندرن
বলামানী	بلامانی
বলামুরুগন	بلاموروجن
বশীশ্কা	بشیشكا
বষা	بشا
বসংতী	بسنتی
বসংথাজা	بسنتهاجا
বসব	بسب
বসুদেবন	بسودیبن
বস্তী	بستی
বস্মীহা	بسمیها
বহুলেযন	بهولیین
বাংসুরী	بانسوری
বাগ-দেবী	باج-دیبی
বাচাস্য	باتشاسی
বাজীনাথ	باجیناته
বাজ্রহাস্তা	باجرهاستا
বাত্সক	باتسك
বানাজাক্ষী	باناجاكشی
বানীস্রী	بانیسری
বানুজা	بانوجا
বাপু	بابو
বাবীন	بابین
বাযুন	بایون
বারীধার	باریدهار
বার্গবী	بارجبی
বাল কৃষ্ণ	بال كرشن
বালচংদ্র	بالتشندر
বালাদিত্য	بالادیتی
বালামানী	بالامانی
বালামুরুগন	بالاموروجن
বালার	بالار
বালারমাংথী	بالارمانتهی
বালারাম	بالارام
বাল্দাস	بالداس
বাল্মিক	بالمیك
বাশু	باشو
বাস্তব	باستب
বিংদী	بیندی
বিনা	بینا
বিনাপানী	بینابانی
বিপাশা	بیباشا
বিরাজ	بیراج
বীড্যা	بیدیا
বীণা	بینا
বীথীকা	بیتهیكا
বীনাবানী	بینابانی
বীরাজীনী	بیراجینی
বুলবুল	بولبول
বূমী	بومی
বেথিনা	بیتهینا
বেদকার্তিক	بیدكارتیك
বেদবিদ্যা	بیدبیدیا
বেদা শ্রী	بیدا شری
বেদাবাথী	بیداباتهی
বেদীথা	بیدیتها
বেনীতা	بینیتا
বেন্শিক	بینشیك
বৈদয	بایدی
বৈদ্যনাথ	بایدیناته
বৈধাঈ	بایدهاي
বৈরাজ	بایراج
বৈশ্নোব	بایشنوب
ব্রহ্মবাদীনী	برهمبادینی
ব্রাহ্মী	براهمی
ব্রিজা	بریجا
ব্লেস্সী	بلیسسی
ভক্তি	بهكتی
ভদ্রংগ	بهدرنج
ভবিযা	بهبییا
ভরনী	بهرنی
ভর্গ	بهرج
ভাদ্রুষা	بهادروشا
ভানু রেখা	بهانو ریكها
ভাব্যংশ	بهابینش
ভামিনী	بهامینی
ভার্গবী	بهارجبی
ভালচংদ্র	بهالتشندر
ভাস্বন	بهاسبن
ভীবত্সুং	بهیبتسون
ভীলানগনা	بهیلانجنا
ভীষ্মা	بهیشما
ভুবা	بهوبا
ভূমি	بهومی
ভেরূ	بهیرو
ভোজা	بهوجا
ভৌমিক	بهاومیك
ভ্রামরী	بهرامری
মংদা	مندا
মংদিথ	مندیته
মগধ	مجده
মগনা	مجنا
মদনীকা	مدنیكا
মদির	مدیر
মধুমাংলী	مدهومانلی
মধুল	مدهول
মধুলতা	مدهولتا
মধুশা	مدهوشا
মনিক	منیك
মনীদীপ	منیدیب
মনীবলন	منیبلن
মনীষ	منیش
মমতা	ممتا
মলাংক	ملانك
মল্লিকা	مللیكا
মহা গণপতি	مها جنبتی
মহাতাপ	مهاتاب
মহাদেবাদীপুজীতা	مهادیبادیبوجیتا
মহাবালা	مهابالا
মহাবীর	مهابیر
মহারাবণমর্দানা	مهارابنمردانا
মহালক্ষ্মী	مهالكشمی
মহালিকা	مهالیكا
মহালীংগ	مهالینج
মহিমা	مهیما
মহিষাসুরমর্দিনী	مهیشاسورمردینی
মহীথা	مهیتها
মহুযা	مهویا
মহেন্দর	مهیندر
মহেলীকা	مهیلیكا
মহেশ	مهیش
মহেশ্বর	مهیشبر
মহোদরা	مهودرا
মাংধুমাংন্তী	ماندهوماننتی
মাংনাশ্যুং	مانناشیون
মাংনীশোব্র্যা	ماننیشوبریا
মাংন্জুনাতা	ماننجوناتا
মাংন্দারিকা	ماننداریكا
মাংলার্বীঝ্হী	مانلاربیجههی
মাংলাশ্রী	مانلاشری
মাগথী	ماجتهی
মাথুর	ماتهور
মাধান	مادهان
মাধ্যম	مادهیم
মানক	مانك
মানজ	مانج
মানসিকা	مانسیكا
মানিক	مانیك
মানিনী	مانینی
মানীএ	مانیي
মানীসিলা	مانیسیلا
মানোবীকা	مانوبیكا
মান্দাবিক	ماندابیك
মান্ধাতা	ماندهاتا
মান্মাতন	مانماتن
মান্যসরী	مانیسری
মালারাবন	مالارابن
মাল্লেষম	ماللیشم
মাহিত	ماهیت
মৈথ্রা	مایتهرا
মৈনাবী	ماینابی
যজুর	یجور
যদু	یدو
যদুনংদন	یدونندن
যশস্ব	یشسب
যশীল	یشیل
যশ্বী	یشبی
যাগবী/যহাবী	یاجبی/یهابی
যাগ্নেশ্বারা	یاجنیشبارا
যাতনা	یاتنا
যাদবা	یادبا
যামি	یامی
যামিনী	یامینی
যাশ্রী	یاشری
যুকাশ্রী	یوكاشری
যুগান্ধর	یوجاندهر
যুতি	یوتی
যুধ্ধ	یودهده
যুব	یوب
যুবরাণী	یوبرانی
যুবানী	یوبانی
যুবাসরী	یوباسری
যেঘরাজ	ییجهراج
যেনাক্ষী	ییناكشی
যেশাস্বীনী	ییشاسبینی
যেশ্বীন	ییشبین
যেস্বীন	ییسبین
যোগনা	یوجنا
যোগী	یوجی
যোগীন	یوجین
যোগেশ্বর	یوجیشبر
যোচনা	یوتشنا
যোত্শনা	یوتشنا
যোশন	یوشن
যোশিতা	یوشیتا
যোষিত	یوشیت
যৌষা	یاوشا
রংগনাতন	رنجناتن
রংগিথা	رنجیتها
রংজীব	رنجیب
রংহ	رنه
রংহিতা	رنهیتا
রক্ষা	ركشا
রক্ষ্য	ركشی
রগাব	رجاب
রগীশ	رجیش
রঘবেন্দর	رجهبیندر
রজনী	رجنی
রজনীগংধা	رجنیجندها
রজিত	رجیت
রণছোড	رنتشهود
রণবিজয	رنبیجی
রনীত	رنیت
রন্কীনী	رنكینی
রমণীক	رمنیك
রমাংভাদ্র	رمانبهادر
রমাংস্বম্য	رمانسبمی
রসনা	رسنا
রাকীন	راكین
রাগ	راج
রাগ্বীনদার	راجبیندار
রাজঋষি	راجرشی
রাজস	راجس
রাজসূয	راجسوی
রাজসেকরণ	راجسیكرن
রাজান্ন্য	راجاننی
রাজাবেলুং	راجابیلون
রাজারাম	راجارام
রাজালক্ষ্মী	راجالكشمی
রাজীষ	راجیش
রাজেন্দর	راجیندر
রাজেশ্রম	راجیشرم
রাজ্বলা	راجبلا
রাধিকা	رادهیكا
রাধী	رادهی
রাধেশ	رادهیش
রাম  কীন্কার	رام  كینكار
রামকথালোলাযা	رامكتهالولایا
রামচংদর	رامتشندر
রামচংদ্র	رامتشندر
রামনাথন	رامناتهن
রামাধুতা	رامادهوتا
রাষীপ	راشیب
রিনী	رینی
রিলা	ریلا
রীমা	ریما
রীষা	ریشا
রেধা	ریدها
রেভা	ریبها
রেমিথা	ریمیتها
রেহা	ریها
রোসাহেব	روساهیب
লক্ষণা	لكشنا
লক্ষ্মণ	لكشمن
লক্ষ্মিবংতা	لكشمیبنتا
লক্ষ্মীকা	لكشمیكا
লক্ষ্মীনাথ	لكشمیناته
লক্ষ্মীনারাযনা	لكشمیناراینا
লজীথা	لجیتها
লবিনিযা	لبینییا
লযনা	لینا
ললিতামোহনা	للیتاموهنا
লাক্শীকা	لاكشیكا
লান্কীনীভান্জানা	لانكینیبهانجانا
লালন	لالن
লালনা	لالنا
লালী	لالی
লীজেশ	لیجیش
লীতীশা	لیتیشا
লীনেয্ষা	لینییشا
লীন্গসম্য	لینجسمی
লীন্নেত	لیننیت
লীন্সী	لینسی
লীলাকর	لیلاكر
লীশীথা	لیشیتها
লুকেশ্বর	لوكیشبر
লুব্যা	لوبیا
লুম্বিনী	لومبینی
লুসিযা	لوسییا
লেঈবীনা	لیيبینا
লেখিত	لیكهیت
লেনীশা	لینیشا
লেমাং	لیمان
লোকাপতী	لوكابتی
লোকীথা	لوكیتها
লোকীনী	لوكینی
লোকেন্দের	لوكیندیر
লোগনাথন	لوجناتهن
লোগীতা	لوجیتا
লোবীশ	لوبیش
লোবেযংশ	لوبیینش
লোবেলীন	لوبیلین
লোলাকসী	لولاكسی
লোহেংদ্র	لوهیندر
সংকষ্টী	سنكشطی
সংকেত	سنكیت
সংচিতা	سنتشیتا
সংজাণথী	سنجانتهی
সংজীতী	سنجیتی
সংভাজী	سنبهاجی
সক্তীবেল	سكتیبیل
সক্ষম	سكشم
সখ্যা	سكهیا
সচংদ্র	ستشندر
সচিদানংদ বিগ্রহ	ستشیدانند بیجره
সচিশ	ستشیش
সচীনা	ستشینا
সজনী	سجنی
সজলা	سجلا
সজীলী	سجیلی
সদগুনা	سدجونا
সদভুজা	سدبهوجا
সনাহ	سناه
সবরিশ	سبریش
সমবরণ	سمبرن
সমরজীত	سمرجیت
সমাংখ্যা	سمانكهیا
সমান্য	سمانی
সমাপ্তি	سمابتی
সমিতা	سمیتا
সমীপতা	سمیبتا
সমুদীতা	سمودیتا
সমেধ	سمیده
সম্কীর্তী	سمكیرتی
সম্মতি	سممتی
সম্রীতা	سمریتا
সম্হীঠা	سمهیطها
সম্হীত	سمهیت
সলজ	سلج
সলারজুংগ	سلارجونج
