# Baby names
अनिया	انییا
एकाधना	یكادهنا
एकेस्वार	یكیسوار
एच्चुमति	یتشتشومتی
एधा	یدها
एलान्द्र	یلاندر
एलीना	یلینا
एलीशा	یلیشا
एवान्गेलीन	یوانجیلین
एवोन	یوون
एशांश	یشانش
एशान्य	یشانی
एशिका	یشیكا
एश्वर	یشور
एहीत	یهیت
ऑरी	اوری
ओजस्वानी	اوجسوانی
ओजस्वीत	اوجسویت
ओदथी	اودتهی
ओनिश	اونیش
ओन्नेशा	اوننیشا
ओप्पिलमणि	اوببیلمنی
ओय्शी	اویشی
ओवियान	اووییان
ओशमां	اوشمان
ओशि	اوشی
ओश्मी	اوشمی
कक्षक	ككشك
कक्षाप	ككشاب
कदंबन	كدنبن
कबीलाश	كبیلاش
कल-हंस	كل-هنس
कलाकांती	كلاكانتی
कलाधर	كلادهر
कलाप	كلاب
कलासावेरी	كلاساویری
कलिंग	كلینج
कलीयाह	كلییاه
कलैवानी	كلایوانی
कल्पना	كلبنا
कल्पिनी	كلبینی
कल्मेश	كلمیش
कल्याणी	كلیانی
कल्लोला	كللولا
कहेर	كهیر
काजल	كاجل
काजाल्सरी	كاجالسری
कान्चानाध्वाजा	كانتشانادهواجا
कान्हा	كانها
कामज	كامج
कामना	كامنا
कामित	كامیت
कामोदी	كامودی
कारुं	كارون
कार्तिक	كارتیك
कार्तीकी	كارتیكی
काल	كال
कालिनी	كالینی
कालिमोहन	كالیموهن
काश्य	كاشی
काहीनी	كاهینی
कुँर्र्तुलें	كونررتولین
कैकाई	كایكاي
कैकेयी	كایكییی
कैतक	كایتك
कैरवी	كایروی
कैषा	كایشا
गंगवार	جنجوار
गंगाधरा	جنجادهرا
गंगाह	جنجاه
गंगेश	جنجیش
गंदिवा	جندیوا
गंधरज	جندهرج
गंधा	جندها
गग्नेश	ججنیش
गजगामिनी	جججامینی
गजबाहू	ججباهو
गजानंद	ججانند
गणपत	جنبت
गणावी	جناوی
गति	جتی
गनेसा	جنیسا
गन्नों	جننون
गम्या	جمیا
गरिमान	جریمان
गरिष्ट	جریشط
गर्विक	جرویك
गहना	جهنا
गांगी	جانجی
गांधिनी	جاندهینی
गांधी	جاندهی
गान्धरिका	جاندهریكا
गान्धर्व	جاندهرو
गायकाप्रिया	جایكابرییا
गायले	جایلي
गारीन	جارین
गावी	جاوی
गीतासरी	جیتاسری
गीथीका	جیتهیكا
गौरीमनोहरी	جاوریمنوهری
चंदन	تشندن
चंदर	تشندر
चंदा	تشندا
चंदालिनी	تشندالینی
चंद्र भान	تشندر بهان
चंद्रक	تشندرك
चंद्रकान्ता	تشندركانتا
चंद्रदेव	تشندردیو
चंद्रन्शुं	تشندرنشون
चंद्रबिंदु	تشندربیندو
चंद्रमाधाव	تشندرمادهاو
चंद्रलेक्षा	تشندرلیكشا
चंद्रानन	تشندرانن
चंपक	تشنبك
चंपा	تشنبا
चकोर	تشكور
चक्रदेव	تشكردیو
चक्रधारीनी	تشكردهارینی
चक्रेश	تشكریش
चक्शन	تشكشن
चनक	تشنك
चन्द्रवादना	تشندروادنا
चमेली	تشمیلی
चानक्य	تشانكی
चानाक्षी	تشاناكشی
चानास्या	تشاناسیا
चारन	تشارن
चाहना	تشاهنا
चैन	تشاین
चैनीका	تشاینیكا
छाया	تشهایا
छायावती	تشهایاوتی
जगजीवन	جججیون
जगतगुरु	ججتجورو
जगतप्रभु	ججتبربهو
जगदम्बा	ججدمبا
जगनमाता	ججنماتا
जगन्नाथ	ججنناته
जगाती	ججاتی
जग्रवी	ججروی
जनकनंदिनी	جنكنندینی
जनिता	جنیتا
जनीशा	جنیشا
जबिने	جبیني
जलधि	جلدهی
जलधीजा	جلدهیجا
जल्पा	جلبا
ज़ैलेखा	جایلیكها
जागती	جاجتی
जागवी	جاجوی
जाननी	جاننی
जाह्नवी	جاهنوی
जिअना	جیانا
जैकापिश	جایكابیش
जैदेव	جایدیو
जैमिल	جایمیل
जैलेण	جایلین
जैलेश	جایلیش
जैहासीनी	جایهاسینی
झांजर	جهانجر
झानीशा	جهانیشا
झीतीएन	جهیتیین
झीहान	جهیهان
झेव	جهیو
टागोर	طاجور
डाली	دالی
तंगी	تنجی
तंबूरा	تنبورا
तनय	تنی
तनाव	تناو
तनिश्क	تنیشك
तनिसी	تنیسی
तनुं प्रिया	تنون برییا
तनुश्री	تنوشری
तन्निष्ठा	تننیشطها
तन्मयी	تنمیی
तन्वीश्री	تنویشری
तपीश	تبیش
तपेन्द्र	تبیندر
तप्त	تبت
तमन	تمن
तमसा	تمسا
तमाली	تمالی
तमिला	تمیلا
तम्मना	تممنا
तरंत	ترنت
तलंक	تلنك
तलाव	تلاو
तहान	تهان
तहास्वीनी	تهاسوینی
ताजेन्दर	تاجیندر
तानाय्मी	تانایمی
तानाश्वी	تاناشوی
तानीसका	تانیسكا
तानीस्क	تانیسك
तानुंश्सी	تانونشسی
तानेश्वर	تانیشور
तान्तव	تانتو
तान्वीतासरी	تانویتاسری
तान्वेशा	تانویشا
तान्श्राय	تانشرای
तान्हिता	تانهیتا
तामस	تامس
ताराधिश	تارادهیش
तारानाथ	تاراناته
तारिणी	تارینی
तारीक	تاریك
तारीन	تارین
दक्शिनयन	دكشینین
दक्षायज्ञअविनाशीनी	دكشایجناویناشینی
दक्षाहता	دكشاهتا
दक्षित	دكشیت
दज्शी	دجشی
दनूज़	دنوج
दयानीश्का	دیانیشكا
दयामणी	دیامنی
दयावान्ती	دیاوانتی
दरिद्रा धाव्सीनी	دریدرا دهاوسینی
दरिद्रीयानाशीनी	دریدرییاناشینی
दर्पण	دربن
दर्श	درش
दर्शिका	درشیكا
दर्शीनीका	درشینیكا
दल	دل
दलापथी	دلابتهی
दशा	دشا
दशाग्रीवा शीरोहरा	دشاجریوا شیروهرا
दशाग्रीवाकुलान्ताका	دشاجریواكولانتاكا
दशाबहवे	دشابهوي
दानवेन्द्रविनाशका	دانویندرویناشكا
दानास्वी	داناسوی
दानीश	دانیش
दान्दयुंधापनी	داندیوندهابنی
दायिनी	دایینی
दारुण	دارون
दिनल	دینل
दीक्षाना	دیكشانا
देदीप्य	دیدیبی
देबर्पीता	دیبربیتا
देब्जानी	دیبجانی
दैत्याकुलान्ताका	دایتیاكولانتاكا
दैपायन	دایباین
दैवंश	دایونش
नंगाई	ننجاي
नक्श	نكش
नगरजन	نجرجن
नगा मांल्लेस्वारी	نجا مانللیسواری
नदीप	ندیب
नभोज	نبهوج
नाक्ति	ناكتی
नाक्षथ्रा	ناكشتهرا
नाक्ष्थ्रा	ناكشتهرا
नाग	ناج
नागममां	ناجممان
नागराजा	ناجراجا
नागार्जुन	ناجارجون
नागेन्द्र	ناجیندر
नागैः	ناجایها
नाचिक	ناتشیك
नादारंजनी	نادارنجنی
नाबनीता	نابنیتا
नाभस	نابهس
नाभिता	نابهیتا
नामांनारायनी	نامانناراینی
नामी	نامی
नारंग	نارنج
नेमा	نیما
नैंशी	ناینشی
नैजा	نایجا
नैनीशा	ناینیشا
नैरित	نایریت
नैवेद	نایوید
पंखी	بنكهی
पंडी	بندی
पंड्या	بندیا
पक्ष	بكش
पक्षालिका	بكشالیكا
पदमन	بدمن
पद्मनाभ	بدمنابه
पद्मनाभा	بدمنابها
पद्ममालिनी	بدممالینی
पद्मरेखा	بدمریكها
पद्मांनाबन	بدماننابن
पद्मांनाभा प्रिया	بدماننابها برییا
पद्माकर	بدماكر
पद्माक्षी	بدماكشی
पद्माजई	بدماجي
पद्मापति	بدمابتی
पद्मारूपा	بدماروبا
पन्दालावासन	بندالاواسن
पन्यश्री	بنیشری
पपम्मां	ببممان
पमीला	بمیلا
पम्बवासन	بمبواسن
पम्बा	بمبا
पराजिका	براجیكا
पलाक्ष	بلاكش
पलाशकुसूम	بلاشكوسوم
पलाशीनी	بلاشینی
पल्लब	بللب
पल्लवित	بللویت
पाओला	باولا
पाक	باك
पागलावन	باجلاون
पाटला	باطلا
पातालवती	باتالوتی
पामेला	بامیلا
पायल	بایل
पारस	بارس
पाराज	باراج
पार्थीवी	بارتهیوی
पालिन	بالین
पालीन	بالین
पावन	باون
पावनी	باونی
पावानी	باوانی
पाही	باهی
फिरकी	بهیركی
फेनी	بهینی
फ्रवश	بهروش
फ्रान्चीस	بهرانتشیس
फ्रेया	بهرییا
फ्लावीना	بهلاوینا
बंदान	بندان
बंधीनी	بندهینی
बग्याराज	بجیاراج
बनबिहारी	بنبیهاری
बन्दीता	بندیتا
बन्नी	بننی
बबला	ببلا
बरखा	بركها
बर्षा	برشا
बलदेव	بلدیو
बलप्रदा	بلبردا
बलरह	بلره
बलवान	بلوان
बलाचंदर	بلاتشندر
बलादीत्य	بلادیتی
बविता	بویتا
बवीश्यसरी	بویشیسری
बसंती	بسنتی
बहुधा	بهودها
बांसुरी	بانسوری
बाबु	بابو
बालक्रिष्ना	بالكریشنا
बालाजी	بالاجی
बालाशंकर	بالاشنكر
बालु	بالو
बालेन्द्र	بالیندر
बाळ सुब्रमनी	بار سوبرمنی
बीकुन्थ	بیكونته
बेकुरी	بیكوری
बेनीता	بینیتا
बेन्शिक	بینشیك
बेला	بیلا
बैशाळी	بایشاری
बैसाखी	بایساكهی
बौमांथी	باومانتهی
भव्य	بهوی
भागवंती	بهاجونتی
भागवाथ	بهاجواته
भाद्रिका	بهادریكا
भारती	بهارتی
मदेश	مدیش
मधु बिंदु	مدهو بیندو
मधुघोष	مدهوجهوش
मधुचंदा	مدهوتشندا
मधुप्रिता	مدهوبریتا
मधुप्रिया	مدهوبرییا
मधुमति	مدهومتی
मधुमालती	مدهومالتی
मधुरानी	مدهورانی
मधुवंती	مدهوونتی
मधुवंथी	مدهوونتهی
मधुशा	مدهوشا
मधुशाना	مدهوشانا
मधेश	مدهیش
महंथी	مهنتهی
महाक्रम	مهاكرم
महादुर्गा	مهادورجا
महादेवादीपुजीता	مهادیوادیبوجیتا
महाध्युता	مهادهیوتا
महाबाहु	مهاباهو
महालक्ष्मी	مهالكشمی
मांदव	ماندو
मांधुवेमान	ماندهوویمان
मागथी	ماجتهی
माघा	ماجها
माधव दास	مادهو داس
माधवन	مادهون
माधविलता	مادهویلتا
माधवी	مادهوی
मानीक्या	مانیكیا
मान्दाविक	مانداویك
मायन	ماین
माया	مایا
मायीन	مایین
मारीश	ماریش
मारीशा	ماریشا
मार्गीन	مارجین
माला	مالا
मालीन	مالین
माही	ماهی
यग्ना	یجنا
यज्ञेश्वर	یجنیشور
यज्नारूप	یجناروب
यथार्थ	یتهارته
यशवंत	یشونت
यशस्व	یشسو
यशित	یشیت
यशील	یشیل
यशुस	یشوس
यशोदागर्बा सम्भूता	یشوداجربا سمبهوتا
यशोमती	یشومتی
यश्मिता	یشمیتا
यश्वीन	یشوین
यस्मीनी	یسمینی
यह्स्मिता	یهسمیتا
याचन	یاتشن
याज	یاج
याजक	یاجك
यातीएश	یاتییش
यादावी	یاداوی
याधना	یادهنا
यामि	یامی
यामिनी	یامینی
यामुरा	یامورا
याशोगुरी	یاشوجوری
यास्तीका	یاستیكا
रगब	رجب
रगवेन्द्र	رجویندر
रगुनातन	رجوناتن
रघुराम	رجهورام
रजिता	رجیتا
रजीनी	رجینی
रबानी	ربانی
रहस	رهس
रहाम	رهام
रहीनी	رهینی
राई	راي
रागावीनोदीनी	راجاوینودینی
रागेश	راجیش
राघवेन्द्र	راجهویندر
राज	راج
राज  किरण	راج  كیرن
राजकुमार	راجكومار
राजमणी	راجمنی
राजलक्ष्मी	راجلكشمی
राजशेखर	راجشیكهر
राजसेकर	راجسیكر
राजस्व	راجسو
राजार्शी	راجارشی
राजेशनी	راجیشنی
राज्रीता	راجریتا
राद्न्य	رادنی
राधेश	رادهیش
रावी	راوی
रास्या	راسیا
राहीन्य	راهینی
राहुल	راهول
लक्षा	لكشا
लक्ष्मणा	لكشمنا
लक्ष्मीकानतम	لكشمیكانتم
लक्ष्मीगोपाल	لكشمیجوبال
लक्ष्मीनारायण	لكشمیناراین
लक्ष्मीश	لكشمیش
लक्ष्य	لكشی
लजीथा	لجیتها
लताकारा	لتاكارا
लतेश	لتیش
लम्बोदरा	لمبودرا
ललित	للیت
ललितचंद्रा	للیتتشندرا
ललितामोहना	للیتاموهنا
ललीतादीत्य	للیتادیتی
लवना	لونا
लवाम	لوام
लशिका	لشیكا
लहिता	لهیتا
लहेर	لهیر
लाईना	لاينا
लाकेश	لاكیش
लाक्सेथा	لاكسیتها
लाजवती	لاجوتی
लाडु	لادو
लातेश	لاتیش
लारा	لارا
लारान्य	لارانی
लारीना	لارینا
लालीतेश	لالیتیش
लावा	لاوا
लावालिका	لاوالیكا
लावेन	لاوین
लासकी	لاسكی
लास्यावी	لاسیاوی
लौहित्य	لاوهیتی
वक्ति	وكتی
वक्रतुंड	وكرتوند
वजसनी	وجسنی
वज्रबाहू	وجرباهو
वज्रमानी	وجرمانی
वज्राधर	وجرادهر
वधी	ودهی
वनदुर्गा	وندورجا
वनमाला	ونمالا
वनाथी	وناتهی
वन्दिता	وندیتا
वाक्षु	واكشو
वाग्देवी	واجدیوی
वाटिका	واطیكا
वानादुर्गा	وانادورجا
वान्या	وانیا
वामांनीए	واماننیي
वालकय	والكی
वाली	والی
वालीप्रमाताना	والیبرماتانا
वासवादात्ता	واسواداتتا
वासु	واسو
वाहिनी	واهینی
वेदांत	ویدانت
वैजनाथ	وایجناته
वैजयी	وایجیی
वैजीनाथ	وایجیناته
वैवत	وایوت
वैशाली	وایشالی
वैश्नोव	وایشنوو
वैषित	وایشیت
वैषेका	وایشیكا
संदेश	سندیش
सच	ستش
सचिता	ستشیتا
सचिव	ستشیو
सचिश	ستشیش
सचीना	ستشینا
सचेत	ستشیت
सचेतन	ستشیتن
सच्चिदानंदा	ستشتشیدانندا
सदानंदा	سدانندا
सबरीश्री	سبریشری
सहारिका	سهاریكا
सह्रुदी	سهرودی
साई	ساي
साई कुमारी	ساي كوماری
साई वाणी	ساي وانی
सागरिक	ساجریك
सागरिका	ساجریكا
साद्रीशी	سادریشی
साधक	سادهك
साधका	سادهكا
साध्वी	سادهوی
सानवी तारीता	سانوی تاریتا
सामान	سامان
सामोद	سامود
साय बिंधु	سای بیندهو
सारंगी	سارنجی
सारस	سارس
सारांश	سارانش
सार्थ	سارته
सार्या	ساریا
सावन	ساون
सावीनी	ساوینی
साहना	ساهنا
हंशल	هنشل
हंसराज	هنسراج
हंसानंदी	هنسانندی
हंसीनी	هنسینی
हंस्ध्वानी	هنسدهوانی
हजेश	هجیش
हनार्वीन	هناروین
हनीश	هنیش
हनुमान	هنومان
हन्शीका	هنشیكا
हबीता	هبیتا
हमृथा	همرتها
हरण	هرن
हरनाध	هرناده
हरषी	هرشی
हरिज	هریج
हरिजाथा	هریجاتها
हरिदास	هریداس
हरिद्र	هریدر
हरिनाक्षी	هریناكشی
हरिप्रसाद	هریبرساد
हरिशरण	هریشرن
हरिहर	هریهر
हरिहर पुत्र	هریهر بوتر
हरी किशन	هری كیشن
हरी नारायण	هری ناراین
हरीथा	هریتها
हरीनीका	هرینیكا
हरीन्द्र	هریندر
हरीमांर्कातामांर्कता	هریمانركاتامانركتا
हरीराम	هریرام
हरीश्व	هریشو
हरीसाई	هریساي
हरेकृष्ण	هریكرشن
हरेश्वर	هریشور
हर्लेय	هرلیی
हलेस्या	هلیسیا
हारनी	هارنی
हार्ड	هارد
हासीता	هاسیتا
हीमांवाथी	هیمانواتهی
हील्लेय	هیللیی
हेशीका	هیشیكا
