# Territory names from CLDR
அஷன்ஷியன் தீவு	aṣaṉṣiyaṉ tīvu
தென் ஜியார்ஜியா மற்றும் தென் சான்ட்விச் தீவுகள்	teṉ jiyārjiyā maṟṟum teṉ cāṉṭvic tīvukaḷ
கவுதமாலா	kavutamālā
குவாம்	kuvām
கினியா-பிஸ்ஸாவ்	kiṉiyā-pis'sāv
கயானா	kayāṉā
ஹாங்காங் எஸ்ஏஆர் சீனா	hāṅkāṅ esē'ār cīṉā
ஹாங்காங்	hāṅkāṅ
ஹேர்ட் மற்றும் மெக்டொனால்டு தீவுகள்	hērṭ maṟṟum mekṭoṉālṭu tīvukaḷ
ஹோண்டூராஸ்	hōṇṭūrās
குரேஷியா	kurēṣiyā
ஹைட்டி	haiṭṭi
ஹங்கேரி	haṅkēri
கேனரி தீவுகள்	kēṉari tīvukaḷ
இந்தோனேசியா	intōṉēciyā
அயர்லாந்து	ayarlāntu
இஸ்ரேல்	isrēl
ஐல் ஆஃப் மேன்	ail āḥp mēṉ
இந்தியா	intiyā
பிரிட்டிஷ் இந்தியப் பெருங்கடல் பிரதேசம்	piriṭṭiṣ intiyap peruṅkaṭal piratēcam
ஈராக்	īrāk
ஈரான்	īrāṉ
ஐஸ்லாந்து	aislāntu
இத்தாலி	ittāli
ஜெர்சி	jerci
ஜமைகா	jamaikā
ஜோர்டான்	jōrṭāṉ
ஜப்பான்	jappāṉ
கென்யா	keṉyā
கிர்கிஸ்தான்	kirkistāṉ
கம்போடியா	kampōṭiyā
கிரிபடி	kiripaṭi
கோமரோஸ்	kōmarōs
செயின்ட் கிட்ஸ் &amp; நெவிஸ்	ceyiṉṭ kiṭs &amp; nevis
வட கொரியா	vaṭa koriyā
தென் கொரியா	teṉ koriyā
குவைத்	kuvait
கெய்மென் தீவுகள்	keymeṉ tīvukaḷ
கஸகஸ்தான்	kasakastāṉ
லாவோஸ்	lāvōs
லெபனான்	lepaṉāṉ
செயின்ட் லூசியா	ceyiṉṭ lūciyā
லிச்செண்ஸ்டெய்ன்	licceṇsṭeyṉ
இலங்கை	ilaṅkai
லைபீரியா	laipīriyā
லெசோதோ	lecōtō
லிதுவேனியா	lituvēṉiyā
லக்ஸ்சம்பர்க்	lakscampark
லாட்வியா	lāṭviyā
லிபியா	lipiyā
மொராக்கோ	morākkō
மொனாக்கோ	moṉākkō
மால்டோவா	mālṭōvā
மான்டேனெக்ரோ	māṉṭēṉekrō
செயின்ட் மார்ட்டீன்	ceyiṉṭ mārṭṭīṉ
மடகாஸ்கர்	maṭakāskar
மார்ஷல் தீவுகள்	mārṣal tīvukaḷ
மாசிடோனியா	māciṭōṉiyā
மாசிடோனியா (ஃபைரோம்)	māciṭōṉiyā (ḥpairōm)
மாலி	māli
மியான்மார் (பர்மா)	miyāṉmār (parmā)
மங்கோலியா	maṅkōliyā
மகாவ் எஸ்ஏஆர் சீனா	makāv esē'ār cīṉā
மகாவ்	makāv
வடக்கு மரியானா தீவுகள்	vaṭakku mariyāṉā tīvukaḷ
மார்டினிக்	mārṭiṉik
மௌரிடானியா	mauriṭāṉiyā
மாண்ட்செராட்	māṇṭcerāṭ
மால்டா	mālṭā
மொரிசியஸ்	moriciyas
மாலத்தீவு	mālattīvu
மலாவி	malāvi
மெக்சிகோ	mekcikō
மலேசியா	malēciyā
மொசாம்பிக்	mocāmpik
நமீபியா	namīpiyā
நியூ கேலிடோனியா	niyū kēliṭōṉiyā
நைஜர்	naijar
நார்ஃபோக் தீவுகள்	nārḥpōk tīvukaḷ
நைஜீரியா	naijīriyā
நிகரகுவா	nikarakuvā
நெதர்லாந்து	netarlāntu
நார்வே	nārvē
நேபாளம்	nēpāḷam
நௌரு	nauru
நியூ	niyū
நியூசிலாந்து	niyūcilāntu
ஓமன்	ōmaṉ
பனாமா	paṉāmā
பெரு	peru
பிரெஞ்சு பாலினேஷியா	pireñcu pāliṉēṣiyā
பப்புவா நியூ கினியா	pappuvā niyū kiṉiyā
பிலிப்பைன்ஸ்	pilippaiṉs
பாகிஸ்தான்	pākistāṉ
போலந்து	pōlantu
செயின்ட் பியர் &amp; மிக்வேலான்	ceyiṉṭ piyar &amp; mikvēlāṉ
பிட்கெய்ர்ன் தீவுகள்	piṭkeyrṉ tīvukaḷ
பியூர்டோ ரிகோ	piyūrṭō rikō
பாலஸ்தீனிய பிரதேசங்கள்	pālastīṉiya piratēcaṅkaḷ
பாலஸ்தீனம்	pālastīṉam
போர்ச்சுக்கல்	pōrccukkal
பாலோ	pālō
பராகுவே	parākuvē
கத்தார்	kattār
வெளிப்புற ஓஷியானியா	veḷippuṟa ōṣiyāṉiyā
ரீயூனியன்	rīyūṉiyaṉ
ருமேனியா	rumēṉiyā
செர்பியா	cerpiyā
ரஷ்யா	raṣyā
ருவான்டா	ruvāṉṭā
சவூதி அரேபியா	cavūti arēpiyā
சாலமன் தீவுகள்	cālamaṉ tīvukaḷ
சீஷெல்ஸ்	cīṣels
சூடான்	cūṭāṉ
ஸ்வீடன்	svīṭaṉ
சிங்கப்பூர்	ciṅkappūr
செயின்ட் ஹெலெனா	ceyiṉṭ heleṉā
ஸ்லோவேனியா	slōvēṉiyā
ஸ்வல்பார்டு &amp; ஜான் மேயன்	svalpārṭu &amp; jāṉ mēyaṉ
ஸ்லோவாகியா	slōvākiyā
சியாரா லியோன்	ciyārā liyōṉ
சான் மரினோ	cāṉ mariṉō
செனெகல்	ceṉekal
சோமாலியா	cōmāliyā
சுரினாம்	curiṉām
தெற்கு சூடான்	teṟku cūṭāṉ
சாவ் தோம் &amp; ப்ரின்சிபி	cāv tōm &amp; priṉcipi
எல் சால்வடார்	el cālvaṭār
சின்ட் மார்டென்	ciṉṭ mārṭeṉ
சிரியா	ciriyā
ஸ்வாஸிலாந்து	svāsilāntu
டிரிஸ்டன் டா குன்ஹா	ṭirisṭaṉ ṭā kuṉhā
டர்க்ஸ் &amp; கைகோஸ் தீவுகள்	ṭarks &amp; kaikōs tīvukaḷ
சாட்	cāṭ
பிரெஞ்சு தெற்கு பிரதேசங்கள்	pireñcu teṟku piratēcaṅkaḷ
டோகோ	ṭōkō
தாய்லாந்து	tāylāntu
தாஜிகிஸ்தான்	tājikistāṉ
டோகேலோ	ṭōkēlō
தைமூர்-லெஸ்தே	taimūr-lestē
கிழக்கு தைமூர்	kiḻakku taimūr
துர்க்மெனிஸ்தான்	turkmeṉistāṉ
டுனிசியா	ṭuṉiciyā
டோங்கா	ṭōṅkā
துருக்கி	turukki
ட்ரினிடாட் &amp; டொபாகோ	ṭriṉiṭāṭ &amp; ṭopākō
துவாலூ	tuvālū
தைவான்	taivāṉ
தான்சானியா	tāṉcāṉiyā
உக்ரைன்	ukraiṉ
உகாண்டா	ukāṇṭā
அமெரிக்கா	amerikkā
யூஎஸ்	yū'es
உருகுவே	urukuvē
உஸ்பெகிஸ்தான்	uspekistāṉ
வாடிகன் நகரம்	vāṭikaṉ nakaram
செயின்ட் வின்சென்ட் &amp; கிரெனடைன்ஸ்	ceyiṉṭ viṉceṉṭ &amp; kireṉaṭaiṉs
வெனிசுலா	veṉiculā
பிரிட்டீஷ் கன்னித் தீவுகள்	piriṭṭīṣ kaṉṉit tīvukaḷ
வியட்நாம்	viyaṭnām
வனுவாட்டு	vaṉuvāṭṭu
வாலிஸ் மற்றும் ஃபுடுனா	vālis maṟṟum ḥpuṭuṉā
சமோவா	camōvā
கொசோவோ	kocōvō
ஏமன்	ēmaṉ
மயோட்	mayōṭ
தென் ஆப்பிரிக்கா	teṉ āppirikkā
ஜாம்பியா	jāmpiyā
ஜிம்பாப்வே	jimpāpvē
அறியப்படாத பிரதேசம்	aṟiyappaṭāta piratēcam
