abanilla	أفانييا
cercedilla	سرسيذييا
cerda	سرذا
cerdedo	سرذيذو
cerdido	سرذيذو
cerezo	سريسو
cernegula	سرنيغولا
cerollera	سرويرا
cerralbo	سرالفو
cervera	سرفيرا
cespedossa	سسبيذوسا
cestona	سستونا
cesuras	سسوراس
cetina	ستينا
ceuti	سوتي
chella	تشيا
chilizarrias	تشيليسارياس
chillon	تشييون
chulilla	تشولييا
chullo	تشويو
ciadoncha	سياذونتشا
cibea	سيفيا
cidad	سيذاذ
cidones	سيذونيس
ciempozuelos	سيمبوسويلوس
cieza	سيسا
cifuentes	سيفوينتيس
cigales	سيغاليس
cigüenza	سيغوينسا
cillamayor	سييامايور
cillas	سيياس
cilleros	سييروس
cimballa	سيمبايا
cinctorres	سينكتوريس
cintruenigo	سينتروينيغو
cional	سيونال
ciordia	سيورذيا
ciperez	سيبيريس
cirat	سيرات
cirauqui	سيراوكي
ciria	سيريا
ciriza	سيريسا
ciruelos	سيرويلوس
cirugeda	سيروخيذا
cisla	سيسلا
cisneros	سيسنيروس
cistierna	سيستيرنا
ciudadela	سيوذاذيلا
ciutadilla	سيوتاذييا
cobatillas	كوفاتيياس
cocentaina	كوسينتاينا
cogollos	كوغويوس
cogolludo	كوغويوذو
colgadizos	كولغاذيسوس
collados	كوياذوس
collanzo	كويانسو
colliga	كويغا
comillas	كوميياس
corbelle	كورفيي
corella	كورييا
cortelazor	كورتيلاسور
corullon	كورويون
cotiella	كوتييا
cotillas	كوتيياس
cotillo	كوتييو
cozar	كوسار
creciente	كريسينتي
crevillente	كريفيينتي
cruce	كروسي
cubells	كوفييس
cudillero	كوذييرو
cuellar	كوييار
culla	كويا
cullera	كويرا
culleredo	كويريذو
delicias	دليسياس
deza	دسا
dicastillo	ديكاستييو
diezma	ديسما
dozon	دوسون
ecija	أسيخا
elizondo	أليسوندو
encinas	أنسيناس
encinasola	أنسيناسولا
encinedo	أنسينيذو
encinillas	أنسينيياس
enciso	أنسيسو
erice	أريسي
erillas	أريياس
errazu	أراسو
escalonilla	أسكالونييا
escamilla	أسكامييا
escarroz	أسكاروس
escoriaza	أسكورياسا
escullar	أسكويار
escuzar	أسكوسار
espadilla	أسباذييا
espinilla	أسبينييا
espolla	أسبويا
estadilla	أستاذييا
estallo	أستايو
estella	أستييا
estivella	أستيفييا
ezcaray	أسكاراي
ezcurra	أسكورا
facinas	فاسيناس
falces	فالسيس
fariza	فاريسا
fatarella	فاتارييا
fermoselle	فرموسيي
fernancaballero	فرنانكافايرو
fonollosa	فونويوسا
fontellas	فونتيياس
fontllonga	فونتيونغا
fonz	فونس
foz	فوس
frechilla	فريتشييا
fresnedilla	فريسنيذييا
fuencemillan	فوينسيمييان
fuenllana	فوينيانا
fuentealbilla	فوينتيالفييا
fuentecen	فوينتيسين
fuentelcesped	فوينتيلسيسبيذ
fuentelsaz	فوينتيلساس
fuentenovilla	فوينتينوفييا
fuentepinilla	فوينتيبينييا
fuenterrebollo	فوينتيريفويو
galaroza	غالاروسا
galicia	غاليسيا
gallegos	غايغوس
gallinal	غاينال
gallur	غايور
galvez	غالفيس
garaballa	غارافايا
garcillan	غارسييان
gargallo	غارغايو
garoiez	غارويس
garrovillas	غاروفيياس
gaucin	غاوسين
genalguacil	خنالغواسيل
genevilla	خنيفييا
gimenells	خيمينييس
gironella	خيرونييا
godall	غوذاي
godelleta	غوذييتا
goiriz	غويريس
goizueta	غويسويتا
gomecello	غوميسييو
gormaz	غورماس
gozon	غوسون
granadella	غراناذييا
granadilla	غراناذييا
granollers	غرانويرس
grazalema	غراساليما
guadajoz	غواذاخوس
guadalcazar	غواذالكاسار
guillarey	غيياريي
guillena	غيينا
guillerias	غييرياس
guitiriz	غيتيريس
guriezo	غوريسو
hacinas	أسيناس
hellin	أين
herencia	أرينسيا
herramelluri	أرامييوري
hontalbilla	أنتالفييا
hontecillos	أنتيسييوس
huermeces	أيرميسيس
humilladero	أميياذيرو
husillos	أسييوس
idocin	إِذوسين
illana	إِيانا
illano	إِيانو
illas	إِياس
illescas	إِيسكاس
illora	إِيورا
illueca	إِيويكا
incinillas	إِنسينيياس
incio	إِنسيو
instincion	إِنستينسيون
irurozqui	إِروروسكي
izalzu	إِسالسو
izarra	إِسارا
iznájar	إِسناخار
iznalloz	إِسنايوس
iznatoraf	إِسناتوراف
jalance	خالانسي
jaraicejo	خارايسيخو
jarandilla	خاراندييا
jumilla	خومييا
labacolla	لافاكويا
laborcillas	لافورسيياس
lagunilla	لاغونييا
lanciego	لانسيغو
languilla	لانغييا
lantadilla	لانتاذييا
lanz	لانس
lanza	لانسا
lapeza	لابيسا
larrainzar	لاراينسار
laza	لاسا
lecera	ليسيرا
leciñena	ليسينينا
leiza	لييسا
lences	لينسيس
leza	ليسا
lezama	ليساما
lezuza	ليسوسا
librilla	ليفرييا
lillol	لييول
lizarraga	ليساراغا
llado	ياذو
llafranc	يافرانك
llagostera	ياغوستيرا
llanes	يانيس
llansa	يانسا
llauri	ياوري
llera	يرا
llerena	يرينا
llers	يرس
lles	يس
llivia	يفيا
llobregales	يوفريغاليس
llodio	يوذيو
llombay	يومباي
lloseta	يوسيتا
llovera	يوفيرا
llubi	يوفي
lluchmayor	يوتشمايور
lorenzana	لورينسانا
losacino	لوساسينو
lozoya	لوسويا
lozoyuela	لوسويويلا
lucena	لوسينا
luceni	لوسيني
lucillo	لوسييو
luezas	لويساس
luzaga	لوساغا
luzon	لوسون
maceda	ماسيذا
maella	ماييا
maello	ماييو
magacela	ماغاسيلا
magallon	ماغايون
magaz	ماغاس
maguilla	ماغييا
malaguilla	مالاغييا
malanquilla	مالانكييا
malcocinado	مالكوسيناذو
mallen	ماين
manlleu	مانيو
mansilla	مانسييا
manzanares	مانساناريس
manzaneda	مانسانيذا
manzanedo	مانسانيذو
manzaneque	مانسانيكي
manzanera	مانسانيرا
maracena	ماراسينا
marazoleja	ماراسوليخا
marbella	مارفييا
marcilla	مارسييا
marganell	مارغانيي
martorell	مارتوريي
masamagrell	ماساماغريي
matagalls	ماتاغايس
matallana	ماتايانا
matanza	ماتانسا
matapozuelos	ماتابوسويلوس
matienzo	ماتينسو
mazarete	ماساريتي
mazaricos	ماساريكوس
mazarron	ماسارون
mazarulleque	ماسارويكي
mazateron	ماساتيرون
mazuecos	ماسويكوس
medinaceli	مذيناسيلي
mellid	ميذ
membrilla	ممبرييا
membrillar	ممبرييار
membrillera	ممبرييرا
mequinenza	مكينينسا
mestanza	مستانسا
mieza	ميسا
millana	مييانا
millares	ميياريس
millena	ميينا
minglanilla	مينغلانييا
mirandilla	ميراندييا
miravalles	ميرافايس
mocejon	موسيخون
molledo	مويذو
mollerusa	مويروسا
mollet	مويت
mollina	موينا
mollo	مويو
molvizar	مولفيسار
mondariz	مونداريس
monegrillo	مونيغرييو
montanchez	مونتانتشيس
montellano	مونتييانو
montilla	مونتييا
montillana	مونتييانا
montizon	مونتيسون
monzon	مونسون
moratalla	موراتايا
morcillo	مورسييو
morell	موريي
morella	مورييا
morillejo	مورييخو
motilla	موتييا
motilleja	موتييخا
mozoncillo	موسونسييو
mucientes	موسينتيس
munilla	مونييا
murcia	مورسيا
nacimiento	ناسيمينتو
navacerrada	نافاسيراذا
navaconcejo	نافاكونسيخو
navahondilla	نافاأندييا
navalacruz	نافالاكروس
navalagamella	نافالاغامييا
navalcaballo	نافالكافايو
navalilla	نافالييا
navalmanzano	نافالمانسانو
navalonguilla	نافالونغييا
navalsauz	نافالساوس
noceda	نوسيذا
noez	نويس
novallas	نوفاياس
novillas	نوفيياس
nulles	نويس
numancia	نومانسيا
ocejon	أسيخون
ocentejo	أسينتيخو
olalla	ألايا
olazagutia	ألاساغوتيا
olivella	أليفييا
olivenza	أليفينسا
olleria	أيريا
ollo	أيو
olmedillas	ألميذيياس
olmillos	ألمييوس
olza	ألسا
onzonilla	أنسونييا
oquillas	أكيياس
orce	أرسي
orcera	أرسيرا
orgaz	أرغاس
orozco	أروسكو
ostiz	أستيس
oteiza	أتييسا
oyarzun	أيارسون
ozaeta	أسايتا
pajaroncillo	باخارونسييو
palafrugell	بالافروخيي
palencia	بالينسيا
palenciana	بالينسيانا
palenzuela	بالينسويلا
pallares	باياريس
pallars	بايارس
palleja	بايخا
pallerols	بايرولس
paniza	بانيسا
paracuellos	باراكوييوس
parcent	بارسينت
pardilla	بارذييا
parrillas	باريياس
parzan	بارسان
pastoriza	باستوريسا
pedrouzos	بذرووسوس
peleagonzalo	بلياغونسالو
peñacerrada	بناسيراذا
peracense	براسينسي
peraltilla	برالتييا
peranzanes	برانسانيس
peratallada	براتاياذا
perello	برييو
pescueza	بسكويسا
pinillos	بينييوس
pitillas	بيتيياس
pizarra	بيسارا
pizarral	بيسارال
plasencia	بلاسينسيا
plasenzuela	بلاسينسويلا
plencia	بلينسيا
pollensa	بوينسا
pollos	بويوس
ponzano	بونسانو
porzuna	بورسونا
posadilla	بوساذييا
povedilla	بوفيذييا
pozaldez	بوسالديس
pozoantiguo	بوسوانتيغوو
pozohondo	بوسوأندو
pozondon	بوسوندون
pozorrubio	بوسوروفيو
pozoseco	بوسوسيكو
pozuelo	بوسويلو
pradillo	براذييو
proaza	برواسا
purullena	بوروينا
puzol	بوسول
quintanapalla	كينتانابايا
quintanilla	كينتانييا
quisicedo	كيسيسيذو
rajadell	راخاذيي
ramallosa	رامايوسا
rebollera	رفويرا
rebollo	رفويو
reillo	رييو
relleu	ريو
rellinas	ريناس
reocin	روسين
respaldiza	رسبالديسا
restiello	رستييو
revillarruz	رفيياروس
riaza	رياسا
ribadesella	ريفاذيسييا
riello	رييو
rilla	رييا
ripoll	ريبوي
ripollet	ريبويت
robledollano	روفليذويانو
rocallaura	روكاياورا
rociana	روسيانا
rodellar	روذييار
rodiezmo	روذيسمو
rollan	رويان
roncesvalles	رونسيسفايس
rosell	روسيي
rudilla	روذييا
ruguilla	روغييا
sabadell	سافاذيي
sacedon	ساسيذون
sacedoncillo	ساسيذونسييو
saceruela	ساسيرويلا
saelices	سايليسيس
salce	سالسي
salcedo	سالسيذو
sallent	ساينت
salsadella	سالساذييا
sancedo	سانسيذو
santaella	سانتاييا
santibañez	سانتيفانيس
santillana	سانتييانا
santiz	سانتيس
santurce	سانتورسي
sanzoles	سانسوليس
sarratella	ساراتييا
saucedilla	ساوسيذييا
saucelle	ساوسيي
sedella	سذييا
segurilla	سغورييا
sella	سيا
sellano	سيانو
semillas	سميياس
serradilla	سراذييا
serranillos	سرانييوس
sevilla	سفييا
seville	سفيي
sigüenza	سيغوينسا
silla	سييا
silleda	سييذا
sobradillo	سوفراذييو
socuellamos	سوكويياموس
solivella	سوليفييا
sollana	سويانا
soller	سوير
somozas	سوموساس
soncillo	سونسييو
sorzano	سورسانو
sotiello	سوتييو
sotopalacios	سوتوبالاسيوس
suances	سوانسيس
sucina	سوسينا
sudanell	سوذانيي
sumbilla	سومبييا
tafalla	تافايا
talladell	تاياذيي
tallante	تايانتي
taracena	تاراسينا
taradell	تاراذيي
taravilla	تارافييا
tarazona	تاراسونا
tazones	تاسونيس
tejadillos	تخاذييوس
tendilla	تندييا
tierzo	تيرسو
tiñosillos	تينوسييوس
tocina	توسينا
todellego	توذييغو
todolella	توذولييا
tolocirio	تولوسيريو
tomelloso	تومييوسو
torello	تورييو
torrecaballeros	توريكافايروس
torrecilla	توريسييا
torrejoncillo	توريخونسييو
torrellano	تورييانو
torrellas	توريياس
torremanzanas	توريمانساناس
torreorgaz	توريورغاس
torrequebradilla	توريكيفراذييا
torrevelilla	توريفيلييا
tortella	تورتييا
trabazos	ترافاسوس
tragacete	تراغاسيتي
tramacastilla	تراماكاستييا
trazo	تراسو
trevelez	تريفيليس
trillo	ترييو
triollo	تريويو
troncedo	ترونسيذو
truchillas	تروتشيياس
trujillanos	تروخييانوس
trujillo	تروخييو
trujillos	تروخييوس
turcia	تورسيا
turrillas	توريياس
uceda	أسيذا
ucero	أسيرو
ulldecona	أيديكونا
ulldemolins	أيديمولينس
uncastillo	أنكاستييو
unzue	أنسوي
urroz	أروس
utrillas	أتريياس
uztarroz	أستاروس
vadollano	باذويانو
valcavadillo	بالكافاذييو
valdaracete	بالداراسيتي
valdecaballeros	بالديكافايروس
valdecebollas	بالديسيفوياس
valdecebro	بالديسيفرو
valdemorillo	بالديمورييو
valdenoceda	بالدينوسيذا
valdesaz	بالديساس
valdestillas	بالديستيياس
valdezarza	بالديسارسا
valdunquillo	بالدونكييو
valencia	بالينسيا
valenzuela	بالينسويلا
vallada	باياذا
valladolises	باياذوليسيس
vallanca	بايانكا
vallbona	بايفونا
valldemosa	بايديموسا
valle	باي
vallecas	بايكاس
vallelado	بايلاذو
vallfogona	بايفوغونا
vallibona	بايفونا
vallirana	بايرانا
vallmoll	بايموي
vallromanas	بايروماناس
valls	بايس
valronquillo	بالرونكييو
valsequillo	بالسيكييو
vandellos	باندييوس
vecinos	بسينوس
veganzones	بغانسونيس
vegarienza	بغارينسا
velilla	بلييا
vellisca	بيسكا
vendrell	بندريي
ventillas	بنتيياس
vezdemarban	بسذيمارفان
vicien	بيسين
vicolozano	بيكولوسانو
vidangoz	بيذانغوس
viella	بييا
vilabella	بيلافييا
vilaller	بيلاير
villabona	بييافونا
villacañas	بيياكاناس
villacarriedo	بيياكاريذو
villacarrillo	بيياكارييو
villacastin	بيياكاستين
villaconejos	بيياكونيخوس
villada	بيياذا
villadecanes	بيياذيكانيس
villadepera	بيياذيبيرا
villadiego	بيياذيغو
villaescusa	بييايسكوسا
villafames	بييافاميس
villaflores	بييافلوريس
villafranca	بييافرانكا
villafranqueza	بييافرانكيسا
villafrechos	بييافريتشوس
villafruela	بييافرويلا
villagaton	بيياغاتون
villager	بيياخير
villagonzalo	بيياغونسالو
villahermosa	بيياإِرموسا
villahoz	بيياأس
villajoyosa	بيياخويوسا
villalba	بييالفا
villalengua	بييالينغوا
villalmanzo	بييالمانسو
villalonga	بييالونغا
villalpando	بييالباندو
villalube	بييالوفي
villaluenga	بييالوينغا
villalumbroso	بييالومبروسو
villalvaro	بييالفارو
villamalea	بيياماليا
villamalur	بييامالور
villamañan	بييامانان
villamandos	بيياماندوس
villamanrique	بييامانريكي
villamanta	بييامانتا
villamantilla	بييامانتييا
villamarin	بييامارين
villamartin	بييامارتين
villamayor	بييامايور
villamea	بيياميا
villamediana	بيياميذيانا
villamejil	بيياميخيل
villamesias	بيياميسياس
villamizar	بيياميسار
villamol	بييامول
villamuelas	بييامويلاس
villanúa	بييانوا
villanubla	بييانوفلا
villanueva	بييانويفا
villaobispo	بيياوفيسبو
villapalacios	بييابالاسيوس
villaquejida	بيياكيخيذا
villaquilambre	بيياكيلامبري
villaralbo	بييارالفو
villaralto	بييارالتو
villarejo	بيياريخو
villarente	بييارينتي
villaricos	بيياريكوس
villarino	بييارينو
villarrabe	بييارافي
villarramiel	بيياراميل
villarrasa	بيياراسا
villarreal	بيياريال
villarrobledo	بيياروفليذو
villarrodrigo	بيياروذريغو
villarroya	بييارويا
villarrubia	بيياروفيا
villarrubio	بيياروفيو
villasabariego	بيياسافاريغو
villasandino	بيياساندينو
villasante	بيياسانتي
villasarracino	بيياساراسينو
villasayas	بيياساياس
villaseca	بيياسيكا
villaselan	بيياسيلان
villasilos	بيياسيلوس
villasrubias	بيياسروفياس
villastar	بيياستار
villatobas	بيياتوفاس
villatoro	بيياتورو
villatoya	بيياتويا
villaturiel	بيياتوريل
villava	بييافا
villavaquerin	بييافاكيرين
villavendimio	بييافينديميو
villaviciosa	بييافيسيوسا
villaviudas	بييافيوذاس
villayon	بييايون
villaza	بيياسا
villegas	بييغاس
villel	بييل
villena	بيينا
villerias	بييرياس
villodrigo	بييوذريغو
villoldo	بييولدو
villora	بييورا
villores	بييوريس
villoria	بييوريا
vimianzo	بيميانسو
vinaceite	بيناسييتي
vinaroz	بيناروس
vizcaínos	بيسكاينوس
vizmanos	بيسمانوس
zafarraya	سافارايا
zagra	ساغرا
zahara	ساأرا
zahinos	ساإِنوس
zaidin	سايذين
zalla	سايا
zamarramala	سامارامالا
zamayon	سامايون
zambra	سامبرا
zambrana	سامبرانا
zamora	سامورا
zaorejas	ساوريخاس
zaragoza	ساراغوسا
zaratan	ساراتان
zarauz	ساراوس
zarra	سارا
zarzalejo	سارساليخو
zas	ساس
zizur	سيسور
zorita	سوريتا
zubia	سوفيا
zubieta	سوفيتا
zubiri	سوفيري
zucaina	سوكاينا
zudaire	سوذايري
zuera	سويرا
zuheros	سوإِروس
zujar	سوخار
zumarraga	سوماراغا
zumaya	سومايا
zuniga	سونيغا
zurgena	سورخينا
zurzarren	سورسارين
