abu dabi	አቡ ዳቢ
junaitɨd stets	ዩናይትድ ስቴትስ
juɡanda	ዩጋንዳ
jəaland dəsetot͡ʃ	የአላንድ ደሴቶች
jəamerika samoa	የአሜሪካ ሳሞአ
jəamerika vərd͡ʒin dəsetot͡ʃ	የአሜሪካ ቨርጂን ደሴቶች
jəawropa hɨbɨrət	የአውሮፓ ህብረት
jəfaro dəsetot͡ʃ	የፋሮ ደሴቶች
jəfokland dəsetot͡ʃ	የፎክላንድ ደሴቶች
jəfərənsai polineʒia	የፈረንሳይ ፖሊኔዢያ
jəfərənsai ɡujana	የፈረንሳይ ጉያና
jəkanari dəsetot͡ʃ	የካናሪ ደሴቶች
jəkaribian nezərlands	የካሪቢያን ኔዘርላንድስ
jəməkakələɲaw afrika ripəblik	የመካከለኛው አፍሪካ ሪፐብሊክ
jəmən	የመን
jəsəmenawi mariana dəsetot͡ʃ	የሰሜናዊ ማሪያና ደሴቶች
jəɡəna dəset	የገና ደሴት
kabul	ካቡል
kaiman dəsetot͡ʃ	ካይማን ደሴቶች
kairo	ካይሮ
kambodia	ካምቦዲያ
kamerun	ካሜሩን
kampala	ካምፓላ
kanada	ካናዳ
kanbəra	ካንበራ
karakas	ካራካስ
kartum	ካርቱም
kastris	ካስትሪስ
katmandu	ካትማንዱ
kazakstan	ካዛክስታን
kazakɲa	ካዛክኛ
kenja	ኬንያ
kep verde	ኬፕ ቬርዴ
kijəv	ኪየቭ
kinʃasa	ኪንሻሳ
kiribati	ኪሪባቲ
kirɡistan	ኪርጊስታን
kito	ኪቶ
kiŋstaun	ኪንግስታውን
kiŋstən	ኪንግስተን
kiɡali	ኪጋሊ
kiʃinwɨ	ኪሺንው
klipərton dəset	ክሊፐርቶን ደሴት
kokos dəsetot͡ʃ	ኮኮስ ደሴቶች
kolombia	ኮሎምቢያ
komoros	ኮሞሮስ
kopənhəɡən	ኮፐንሀገን
kosovo	ኮሶቮ
kosta rika	ኮስታ ሪካ
koːt divwar	ኮ፞ት ዲቯር
koŋɡo brazavil	ኮንጎ ብራዛቪል
koŋɡo kinʃasa	ኮንጎ ኪንሻሳ
kroeʃja	ክሮኤሽያ
kuala lumpur	ኩዋላ ሉምፑር
kuba	ኩባ
kuk dəsetot͡ʃ	ኩክ ደሴቶች
kurasawo	ኩራሳዎ
kuweːt	ኩዌ፞ት
kwatar	ኳታር
kɨweːt	ክዌ፞ት
kʼɨdus bərtelome	ቅዱስ በርቴሎሜ
kʼɨdus pijer ʔɨna mikuʔelon	ቅዱስ ፒዬር እና ሚኩኤሎን
kʼɨdus vinsent ʔɨna ɡrenadins	ቅዱስ ቪንሴንት እና ግሬናዲንስ
laiberia	ላይቤሪያ
laos	ላኦስ
lapaz	ላፓዝ
latvia	ላትቪያ
lefkozia	ሌፍኮዚያ
lesoto	ሌሶቶ
libanos	ሊባኖስ
libia	ሊቢያ
librəvil	ሊብረቪል
liktənstain	ሊክተንስታይን
liloŋwe	ሊሎንጔ
lima	ሊማ
lituenia	ሊቱዌኒያ
lizbon	ሊዝቦን
ljubljana	ልዩብልያና
lome	ሎሜ
lu.is	ሉኢስ
luis	ሉዊስ
luksəmbərɡ	ሉክሰምበርግ
lusaka	ሉሳካ
lwanda	ሏንዳ
ləndən	ለንደን
madaɡaskar	ማዳጋስካር
madrid	ማድሪድ
mad͡ʒuro	ማጁሮ
malabo	ማላቦ
malajalm	ማላያልም
malawi	ማላዊ
maldivs	ማልዲቭስ
maleʒia	ማሌዢያ
mali	ማሊ
malta	ማልታ
managwa	ማናጓ
manama	ማናማ
manila	ማኒላ
mant͡ʃɨstər	ማንችስተር
maputo	ማፑቶ
martinik	ማርቲኒክ
marʃal ailand	ማርሻል አይላንድ
mbabane	ምባባኔ
mej.ote	ሜይኦቴ
meksiko	ሜክሲኮ
meksiko	ሜክሲኮ
mikroneʒia	ሚክሮኔዢያ
milano	ሚላኖ
minsk	ሚንስክ
mjənma	ምየንማ
mokʼadiʃo	ሞቃዲሾ
moldova	ሞልዶቫ
monako	ሞናኮ
monako	ሞናኮ
monrovia	ሞንሮቪያ
montevideo	ሞንቴቪዴዎ
montserat	ሞንትሴራት
montəneɡro	ሞንተኔግሮ
moritenia	ሞሪቴኒያ
moriʃəs	ሞሪሸስ
moroko	ሞሮኮ
moroni	ሞሮኒ
mosko	ሞስኮ
mozambik	ሞዛምቢክ
moŋɡolia	ሞንጎሊያ
məkʼedonja	መቄዶንያ
məseru	መሴሩ
məskət	መስከት
mɨʕɨrabawi sahra	ምዕራባዊ ሳህራ
na.uru	ናኡሩ
naid͡ʒeria	ናይጄሪያ
nairobi	ናይሮቢ
namibia	ናሚቢያ
nasːoː	ናሶ፝
nd͡ʒaməna	ንጃመና
nepal	ኔፓል
nezərland	ኔዘርላንድ
ni.uj	ኒኡይ
niame	ኒያሜ
nid͡ʒər	ኒጀር
nikaraɡwa	ኒካራጓ
niu deːli	ኒው ዴ፞ሊ
niu kaledonia	ኒው ካሌዶኒያ
niu ziːland	ኒው ዚ፞ላንድ
norfolk dəset	ኖርፎልክ ደሴት
norwej	ኖርዌይ
nukuʔəlofa	ኑኩአሎፋ
nuwakʃot	ኑዋክሾት
oman	ኦማን
oslo	ኦስሎ
ostria	ኦስትሪያ
otːawa	ኦታ፟ዋ
pakistan	ፓኪስታን
palau	ፓላው
palikir	ፓሊኪር
panama	ፓናማ
panama	ፓናማ
papuwa niu ɡini	ፓፑዋ ኒው ጊኒ
paramaribo	ፓራማሪቦ
paraɡwai	ፓራጓይ
paris	ፓሪስ
peru	ፔሩ
pitka.irn	ፒትካኢርን
pjoŋjaŋ	ፕዮንግያንግ
pnom pen	ፕኖም ፔን
podɡorit͡sa	ፖድጎሪጻ
poland	ፖላንድ
port luis	ፖርት ሉዊስ
port morsbi	ፖርት ሞርስቢ
port of speːn	ፖርት ኦፍ ስፔ፞ን
port vila	ፖርት ቪላ
porta riko	ፖርታ ሪኮ
porto novo	ፖርቶ ኖቮ
portoprins	ፖርቶፕሪንስ
portuɡal	ፖርቱጋል
praia	ፕራያ
praja	ፕራያ
praɡ	ፕራግ
pritoria	ፕሪቶሪያ
rabat	ራባት
raʃja	ራሽያ
rejkiavik	ሬይኪያቪክ
riad	ሪያድ
riga	ሪጋ
rijuniən	ሪዩኒየን
roma	ሮማ
romenia	ሮሜኒያ
rozoː	ሮዞ፞
ruanda	ሩዋንዳ
saiprəs	ሳይፕረስ
samo.ə	ሳሞአ
san hoze	ሳን ሆዜ
san marino	ሳን ማሪኖ
san marino	ሳን ማሪኖ
san salvador	ሳን ሳልቫዶር
san tome	ሳን ቶሜ
sana	ሳና
santiago	ሳንቲያጎ
santo domingo	ሳንቶ ዶሚንጎ
sarajevo	ሳራዬቮ
saudɨarəbia	ሳውድአረቢያ
sa.o tome ʔɨna prinsipe	ሳኦ ቶሜ እና ፕሪንሲፔ
seneɡal	ሴኔጋል
sent d͡ʒons	ሴንት ጆንስ
sent heləna	ሴንት ሄለና
sent lut͡ʃia	ሴንት ሉቺያ
sent martin	ሴንት ማርቲን
seralijon	ሴራሊዮን
se.utana melila	ሴኡታና ሜሊላ
sint martən	ሲንት ማርተን
siria	ሲሪያ
siŋɡapor	ሲንጋፖር
siʃels	ሲሼልስ
skopje	ስኮፕዬ
slovakia	ስሎቫኪያ
slovenia	ስሎቬኒያ
sofia	ሶፊያ
soːl	ሶ፞ል
speːn	ስፔ፞ን
stokolm	ስቶኮልም
suaziland	ሱዋዚላንድ
sudan	ሱዳን
sumale	ሱማሌ
surinam	ሱሪናም
suva	ሱቫ
svalbard ʔɨna d͡ʒan majən	ስቫልባርድ እና ጃን ማየን
swidɨn	ስዊድን
swizərland	ስዊዘርላንድ
səlomon dəset	ሰሎሞን ደሴት
səmen koria	ሰሜን ኮሪያ
sərbia	ሰርቢያ
tad͡ʒakistan	ታጃኪስታን
tai	ታይ
tailand	ታይላንድ
taipeː	ታይፔ፞
taiwan	ታይዋን
talin	ታሊን
tanzania	ታንዛኒያ
taɡalog	ታጋሎግ
taʃkent	ታሽኬንት
tblisi	ትብሊሲ
tehran	ቴህራን
tems	ቴምስ
teɡusiɡalpa	ቴጉሲጋልፓ
tirana	ቲራና
tokio	ቶክዮ
tokɨlau	ቶክላው
torino	ቶሪኖ
toŋɡa	ቶንጋ
toɡwə	ቶጐ
trinadad ʔɨna tobeɡo	ትሪናዳድ እና ቶቤጎ
tripoli	ትሪፖሊ
tristan di kunha	ትሪስታን ዲ ኩንሃ
tunis	ቱኒስ
tunizia	ቱኒዚያ
turk	ቱርክ
turkmenistan	ቱርክሜኒስታን
tuvalu	ቱቫሉ
tʼalian	ጣሊያን
tʼimpʼu	ጢምጱ
t͡ʃad	ቻድ
t͡ʃaina	ቻይና
t͡ʃek ripublik	ቼክ ሪፑብሊክ
t͡ʃerokiː	ቼሮኪ፞
t͡ʃili	ቺሊ
ulaʕan baʕatar	ኡላዓን ባዓታር
uraɡwai	ኡራጓይ
uzbekistan	ኡዝቤኪስታን
valːetːa	ቫሌ፟ታ፟
vanu.ətu	ቫኑአቱ
vatikan kətəma	ቫቲካን ከተማ
venɨzuela	ቬንዙዌላ
vetnam	ቬትናም
vijənːa	ቪየና፟
viktoria	ቪክቶሪያ
vilnius	ቪልኒውስ
vjəntjen	ቭየንትዬን
walis ʔɨna futuna dəsetot͡ʃ	ዋሊስ እና ፉቱና ደሴቶች
warsow	ዋርሶው
waɡaduɡu	ዋጋዱጉ
waʃiŋtən	ዋሺንግተን
weliŋtən	ዌሊንግተን
windhuːk	ዊንድሁ፞ክ
zambia	ዛምቢያ
zaɡreb	ዛግሬብ
zimbabwe	ዚምባብዌ
zurik	ዙሪክ
ɡabon	ጋቦን
ɡabərone	ጋበሮኔ
ɡambia	ጋምቢያ
ɡana	ጋና
ɡini	ጊኒ
ɡini bisao	ጊኒ ቢሳኦ
ɡrenada	ግሬናዳ
ɡrik	ግሪክ
ɡrinland	ግሪንላንድ
ɡuam	ጉዋም
ɡuatimala	ጉዋቲማላ
ɡujana	ጉያና
ɡurnəsi	ጉርነሲ
ɡuwadəlup	ጉዋደሉፕ
ɡɨbɨsʼɨ	ግብጽ
ɨsrael	እስራኤል
ɨŋliz	እንግሊዝ
ʃri lanka	ሽሪ ላንካ
ʔjərusalem	እየሩሳሌም
ˈpɔdgɔˌriʦa	ፖድጎሪጻ
#
# https://en.wikipedia.org/wiki/Voiceless_bilabial_nasal 
m̥ə m̥əː əm̥ː əm̥ːə əm̥ːəː	መ መ፞ ኧም፟ ኧመ፟ ኧመ፝
m̥u m̥uː um̥ː um̥ːu um̥ːuː	ሙ ሙ፞ ኡም፟ ኡሙ፟ ኡሙ፝
m̥i m̥iː im̥ː im̥ːi im̥ːiː	ሚ ሚ፞ ኢም፟ ኢሚ፟ ኢሚ፝
m̥a m̥aː am̥ː am̥ːa am̥ːaː	ማ ማ፞ አም፟ አማ፟ አማ፝
m̥e m̥eː em̥ː em̥ːe em̥ːeː	ሜ ሜ፞ ኤም፟ ኤሜ፟ ኤሜ፝
m̥ɨ m̥ɨː ɨm̥ː ɨm̥ːɨ ɨm̥ːɨː	ም ም፞ እም፟ እም፟ እም፝
m̥o m̥oː om̥ː om̥ːo om̥ːoː	ሞ ሞ፞ ኦም፟ ኦሞ፟ ኦሞ፝
#
# https://en.wikipedia.org/wiki/Bilabial_nasal
mə məː əmː əmːə əmːəː	መ መ፞ ኧም፟ ኧመ፟ ኧመ፝
mu muː umː umːu umːuː	ሙ ሙ፞ ኡም፟ ኡሙ፟ ኡሙ፝
mi miː imː imːi imːiː	ሚ ሚ፞ ኢም፟ ኢሚ፟ ኢሚ፝
ma maː amː amːa amːaː	ማ ማ፞ አም፟ አማ፟ አማ፝
me meː emː emːe emːeː	ሜ ሜ፞ ኤም፟ ኤሜ፟ ኤሜ፝
mɨ mɨː ɨmː ɨmːɨ ɨmːɨː	ም ም፞ እም፟ እም፟ እም፝
mo moː omː omːo omːoː	ሞ ሞ፞ ኦም፟ ኦሞ፟ ኦሞ፝
#
# https://en.wikipedia.org/wiki/Labiodental_nasal
ɱə ɱəː əɱː əɱːə əɱːəː	መ መ፞ ኧም፟ ኧመ፟ ኧመ፝
ɱu ɱuː uɱː uɱːu uɱːuː	ሙ ሙ፞ ኡም፟ ኡሙ፟ ኡሙ፝
ɱi ɱiː iɱː iɱːi iɱːiː	ሚ ሚ፞ ኢም፟ ኢሚ፟ ኢሚ፝
ɱa ɱaː aɱː aɱːa aɱːaː	ማ ማ፞ አም፟ አማ፟ አማ፝
ɱe ɱeː eɱː eɱːe eɱːeː	ሜ ሜ፞ ኤም፟ ኤሜ፟ ኤሜ፝
ɱɨ ɱɨː ɨɱː ɨɱːɨ ɨɱːɨː	ም ም፞ እም፟ እም፟ እም፝
ɱo ɱoː oɱː oɱːo oɱːoː	ሞ ሞ፞ ኦም፟ ኦሞ፟ ኦሞ፝
#
# https://en.wikipedia.org/wiki/Labiodental_nasal (alternate symbol)
m̪ə m̪əː əm̪ː əm̪ːə əm̪ːəː	መ መ፞ ኧም፟ ኧመ፟ ኧመ፝
m̪u m̪uː um̪ː um̪ːu um̪ːuː	ሙ ሙ፞ ኡም፟ ኡሙ፟ ኡሙ፝
m̪i m̪iː im̪ː im̪ːi im̪ːiː	ሚ ሚ፞ ኢም፟ ኢሚ፟ ኢሚ፝
m̪a m̪aː am̪ː am̪ːa am̪ːaː	ማ ማ፞ አም፟ አማ፟ አማ፝
m̪e m̪eː em̪ː em̪ːe em̪ːeː	ሜ ሜ፞ ኤም፟ ኤሜ፟ ኤሜ፝
m̪ɨ m̪ɨː ɨm̪ː ɨm̪ːɨ ɨm̪ːɨː	ም ም፞ እም፟ እም፟ እም፝
m̪o m̪oː om̪ː om̪ːo om̪ːoː	ሞ ሞ፞ ኦም፟ ኦሞ፟ ኦሞ፝
#
# https://en.wikipedia.org/wiki/Linguolabial_nasal
n̼ə n̼əː ən̼ː ən̼ːə ən̼ːəː	ነ ነ፞ ኧን፟ ኧነ፟ ኧነ፝
n̼u n̼uː un̼ː un̼ːu un̼ːuː	ኑ ኑ፞ ኡን፟ ኡኑ፟ ኡኑ፝
n̼i n̼iː in̼ː in̼ːi in̼ːiː	ኒ ኒ፞ ኢን፟ ኢኒ፟ ኢኒ፝
n̼a n̼aː an̼ː an̼ːa an̼ːaː	ና ና፞ አን፟ አና፟ አና፝
n̼e n̼eː en̼ː en̼ːe en̼ːeː	ኔ ኔ፞ ኤን፟ ኤኔ፟ ኤኔ፝
n̼ɨ n̼ɨː ɨn̼ː ɨn̼ːɨ ɨn̼ːɨː	ን ን፞ እን፟ እን፟ እን፝
n̼o n̼oː on̼ː on̼ːo on̼ːoː	ኖ ኖ፞ ኦን፟ ኦኖ፟ ኦኖ፝
#
# https://en.wikipedia.org/wiki/Linguolabial_nasal (alternate symbol)
m̺ə m̺əː əm̺ː əm̺ːə əm̺ːəː	ነ ነ፞ ኧን፟ ኧነ፟ ኧነ፝
m̺u m̺uː um̺ː um̺ːu um̺ːuː	ኑ ኑ፞ ኡን፟ ኡኑ፟ ኡኑ፝
m̺i m̺iː im̺ː im̺ːi im̺ːiː	ኒ ኒ፞ ኢን፟ ኢኒ፟ ኢኒ፝
m̺a m̺aː am̺ː am̺ːa am̺ːaː	ና ና፞ አን፟ አና፟ አና፝
m̺e m̺eː em̺ː em̺ːe em̺ːeː	ኔ ኔ፞ ኤን፟ ኤኔ፟ ኤኔ፝
m̺ɨ m̺ɨː ɨm̺ː ɨm̺ːɨ ɨm̺ːɨː	ን ን፞ እን፟ እን፟ እን፝
m̺o m̺oː om̺ː om̺ːo om̺ːoː	ኖ ኖ፞ ኦን፟ ኦኖ፟ ኦኖ፝
#
# https://en.wikipedia.org/wiki/Voiceless_alveolar_nasal
n̥ə n̥əː ən̥ː ən̥ːə ən̥ːəː	ነ ነ፞ ኧን፟ ኧነ፟ ኧነ፝
n̥u n̥uː un̥ː un̥ːu un̥ːuː	ኑ ኑ፞ ኡን፟ ኡኑ፟ ኡኑ፝
n̥i n̥iː in̥ː in̥ːi in̥ːiː	ኒ ኒ፞ ኢን፟ ኢኒ፟ ኢኒ፝
n̥a n̥aː an̥ː an̥ːa an̥ːaː	ና ና፞ አን፟ አና፟ አና፝
n̥e n̥eː en̥ː en̥ːe en̥ːeː	ኔ ኔ፞ ኤን፟ ኤኔ፟ ኤኔ፝
n̥ɨ n̥ɨː ɨn̥ː ɨn̥ːɨ ɨn̥ːɨː	ን ን፞ እን፟ እን፟ እን፝
n̥o n̥oː on̥ː on̥ːo on̥ːoː	ኖ ኖ፞ ኦን፟ ኦኖ፟ ኦኖ፝
#
# https://en.wikipedia.org/wiki/Voiceless_alveolar_nasal (alternate symbol)
n̊ə n̊əː ən̊ː ən̊ːə ən̊ːəː	ነ ነ፞ ኧን፟ ኧነ፟ ኧነ፝
n̊u n̊uː un̊ː un̊ːu un̊ːuː	ኑ ኑ፞ ኡን፟ ኡኑ፟ ኡኑ፝
n̊i n̊iː in̊ː in̊ːi in̊ːiː	ኒ ኒ፞ ኢን፟ ኢኒ፟ ኢኒ፝
n̊a n̊aː an̊ː an̊ːa an̊ːaː	ና ና፞ አን፟ አና፟ አና፝
n̊e n̊eː en̊ː en̊ːe en̊ːeː	ኔ ኔ፞ ኤን፟ ኤኔ፟ ኤኔ፝
n̊ɨ n̊ɨː ɨn̊ː ɨn̊ːɨ ɨn̊ːɨː	ን ን፞ እን፟ እን፟ እን፝
n̊o n̊oː on̊ː on̊ːo on̊ːoː	ኖ ኖ፞ ኦን፟ ኦኖ፟ ኦኖ፝
#
# https://en.wikipedia.org/wiki/Alveolar_nasal
nə nəː ənː ənːə ənːəː	ነ ነ፞ ኧን፟ ኧነ፟ ኧነ፝
nu nuː unː unːu unːuː	ኑ ኑ፞ ኡን፟ ኡኑ፟ ኡኑ፝
ni niː inː inːi inːiː	ኒ ኒ፞ ኢን፟ ኢኒ፟ ኢኒ፝
na naː anː anːa anːaː	ና ና፞ አን፟ አና፟ አና፝
ne neː enː enːe enːeː	ኔ ኔ፞ ኤን፟ ኤኔ፟ ኤኔ፝
nɨ nɨː ɨnː ɨnːɨ ɨnːɨː	ን ን፞ እን፟ እን፟ እን፝
no noː onː onːo onːoː	ኖ ኖ፞ ኦን፟ ኦኖ፟ ኦኖ፝
nʷa nʷaː anːʷa anːʷaː	ኗ ኗ፞ አኗ፟ አኗ፝
nwa nwaː anːwa anːwaː	ኗ ኗ፞ አኗ፟ አኗ፝
#
# https://en.wikipedia.org/wiki/Voiceless_retroflex_nasal
ɳ̊ə ɳ̊əː əɳ̊ː əɳ̊ːə əɳ̊ːəː	ኘ ኘ፞ ኧኝ፟ ኧኘ፟ ኧኘ፝
ɳ̊u ɳ̊uː uɳ̊ː uɳ̊ːu uɳ̊ːuː	ኙ ኙ፞ ኡኝ፟ ኡኙ፟ ኡኙ፝
ɳ̊i ɳ̊iː iɳ̊ː iɳ̊ːi iɳ̊ːiː	ኚ ኚ፞ ኢኝ፟ ኢኚ፟ ኢኚ፝
ɳ̊a ɳ̊aː aɳ̊ː aɳ̊ːa aɳ̊ːaː	ኛ ኛ፞ አኝ፟ አኛ፟ አኛ፝
ɳ̊e ɳ̊eː eɳ̊ː eɳ̊ːe eɳ̊ːeː	ኜ ኜ፞ ኤኝ፟ ኤኜ፟ ኤኜ፝
ɳ̊ɨ ɳ̊ɨː ɨɳ̊ː ɨɳ̊ːɨ ɨɳ̊ːɨː	ኝ ኝ፞ እኝ፟ እኝ፟ እኝ፝
ɳ̊o ɳ̊oː oɳ̊ː oɳ̊ːo oɳ̊ːoː	ኞ ኞ፞ ኦኝ፟ ኦኞ፟ ኦኞ፝
#
# https://en.wikipedia.org/wiki/Voiceless_retroflex_nasal (alternate symbol)
ɳ̥ə ɳ̥əː əɳ̥ː əɳ̥ːə əɳ̥ːəː	ኘ ኘ፞ ኧኝ፟ ኧኘ፟ ኧኘ፝
ɳ̥u ɳ̥uː uɳ̥ː uɳ̥ːu uɳ̥ːuː	ኙ ኙ፞ ኡኝ፟ ኡኙ፟ ኡኙ፝
ɳ̥i ɳ̥iː iɳ̥ː iɳ̥ːi iɳ̥ːiː	ኚ ኚ፞ ኢኝ፟ ኢኚ፟ ኢኚ፝
ɳ̥a ɳ̥aː aɳ̥ː aɳ̥ːa aɳ̥ːaː	ኛ ኛ፞ አኝ፟ አኛ፟ አኛ፝
ɳ̥e ɳ̥eː eɳ̥ː eɳ̥ːe eɳ̥ːeː	ኜ ኜ፞ ኤኝ፟ ኤኜ፟ ኤኜ፝
ɳ̥ɨ ɳ̥ɨː ɨɳ̥ː ɨɳ̥ːɨ ɨɳ̥ːɨː	ኝ ኝ፞ እኝ፟ እኝ፟ እኝ፝
ɳ̥o ɳ̥oː oɳ̥ː oɳ̥ːo oɳ̥ːoː	ኞ ኞ፞ ኦኝ፟ ኦኞ፟ ኦኞ፝
#
# https://en.wikipedia.org/wiki/Retroflex_nasal
ɳə ɳəː əɳː əɳːə əɳːəː	ኘ ኘ፞ ኧኝ፟ ኧኘ፟ ኧኘ፝
ɳu ɳuː uɳː uɳːu uɳːuː	ኙ ኙ፞ ኡኝ፟ ኡኙ፟ ኡኙ፝
ɳi ɳiː iɳː iɳːi iɳːiː	ኚ ኚ፞ ኢኝ፟ ኢኚ፟ ኢኚ፝
ɳa ɳaː aɳː aɳːa aɳːaː	ኛ ኛ፞ አኝ፟ አኛ፟ አኛ፝
ɳe ɳeː eɳː eɳːe eɳːeː	ኜ ኜ፞ ኤኝ፟ ኤኜ፟ ኤኜ፝
ɳɨ ɳɨː ɨɳː ɨɳːɨ ɨɳːɨː	ኝ ኝ፞ እኝ፟ እኝ፟ እኝ፝
ɳo ɳoː oɳː oɳːo oɳːoː	ኞ ኞ፞ ኦኝ፟ ኦኞ፟ ኦኞ፝
#
# https://en.wikipedia.org/wiki/Voiceless_palatal_nasal
ɲ̊ə ɲ̊əː əɲ̊ː əɲ̊ːə əɲ̊ːəː	ኘ ኘ፞ ኧኝ፟ ኧኘ፟ ኧኘ፝
ɲ̊u ɲ̊uː uɲ̊ː uɲ̊ːu uɲ̊ːuː	ኙ ኙ፞ ኡኝ፟ ኡኙ፟ ኡኙ፝
ɲ̊i ɲ̊iː iɲ̊ː iɲ̊ːi iɲ̊ːiː	ኚ ኚ፞ ኢኝ፟ ኢኚ፟ ኢኚ፝
ɲ̊a ɲ̊aː aɲ̊ː aɲ̊ːa aɲ̊ːaː	ኛ ኛ፞ አኝ፟ አኛ፟ አኛ፝
ɲ̊e ɲ̊eː eɲ̊ː eɲ̊ːe eɲ̊ːeː	ኜ ኜ፞ ኤኝ፟ ኤኜ፟ ኤኜ፝
ɲ̊ɨ ɲ̊ɨː ɨɲ̊ː ɨɲ̊ːɨ ɨɲ̊ːɨː	ኝ ኝ፞ እኝ፟ እኝ፟ እኝ፝
ɲ̊o ɲ̊oː oɲ̊ː oɲ̊ːo oɲ̊ːoː	ኞ ኞ፞ ኦኝ፟ ኦኞ፟ ኦኞ፝
#
# https://en.wikipedia.org/wiki/Voiceless_palatal_nasal (alternate symbol)
ɲ̥ə ɲ̥əː əɲ̥ː əɲ̥ːə əɲ̥ːəː	ኘ ኘ፞ ኧኝ፟ ኧኘ፟ ኧኘ፝
