# Territory names from CLDR
அஷன்ஷியன் தீவு	అషన్షియన్ తీవు
சாவ் தோம் &amp; ப்ரின்சிபி	చావ్ తోమ్ &amp; ప్రిన్చిపి
எல் சால்வடார்	ఎల్ చాల్వటార్
சின்ட் மார்டென்	చిన్ట్ మార్టెన్
சிரியா	చిరియా
ஸ்வாஸிலாந்து	స్వాసిలాన్తు
டிரிஸ்டன் டா குன்ஹா	టిరిస్టన్ టా కున్హా
டர்க்ஸ் &amp; கைகோஸ் தீவுகள்	టర్క్స్ &amp; కైకోస్ తీవుకళ్
சாட்	చాట్
பிரெஞ்சு தெற்கு பிரதேசங்கள்	పిరెఞ్చు తెఱ్కు పిరతేచఙ్కళ్
டோகோ	టోకో
தாய்லாந்து	తాయ్లాన్తు
தாஜிகிஸ்தான்	తాజికిస్తాన్
டோகேலோ	టోకేలో
தைமூர்-லெஸ்தே	తైమూర్-లెస్తే
கிழக்கு தைமூர்	కిళక్కు తైమూర్
துர்க்மெனிஸ்தான்	తుర్క్మెనిస్తాన్
டுனிசியா	టునిచియా
டோங்கா	టోఙ్కా
துருக்கி	తురుక్కి
ட்ரினிடாட் &amp; டொபாகோ	ట్రినిటాట్ &amp; టొపాకో
துவாலூ	తువాలూ
தைவான்	తైవాన్
தான்சானியா	తాన్చానియా
உக்ரைன்	ఉక్రైన్
உகாண்டா	ఉకాణ్టా
அமெரிக்கா	అమెరిక్కా
யூஎஸ்	యూఎస్
உருகுவே	ఉరుకువే
உஸ்பெகிஸ்தான்	ఉస్పెకిస్తాన్
வாடிகன் நகரம்	వాటికన్ నకరమ్
செயின்ட் வின்சென்ட் &amp; கிரெனடைன்ஸ்	చెయిన్ట్ విన్చెన్ట్ &amp; కిరెనటైన్స్
வெனிசுலா	వెనిచులా
பிரிட்டீஷ் கன்னித் தீவுகள்	పిరిట్టీష్ కన్నిత్ తీవుకళ్
வியட்நாம்	వియట్నామ్
வனுவாட்டு	వనువాట్టు
வாலிஸ் மற்றும் ஃபுடுனா	వాలిస్ మఱ్ఱుమ్ ఃపుటునా
சமோவா	చమోవా
கொசோவோ	కొచోవో
ஏமன்	ఏమన్
மயோட்	మయోట్
தென் ஆப்பிரிக்கா	తెన్ ఆప్పిరిక్కా
ஜாம்பியா	జామ్పియా
ஜிம்பாப்வே	జిమ్పాప్వే
அறியப்படாத பிரதேசம்	అఱియప్పటాత పిరతేచమ్
