# Territory names from CLDR
অ্যাসসেনশন আইল্যান্ড	ಅ್ಯಾಸಸೇನಶನ ಆಇಲ್ಯಾನ್ಡ
সিঙ্গাপুর	ಸಿಙ್ಗಾಪುರ
সেন্ট হেলেনা	ಸೇನ್ಟ ಹೇಲೇನಾ
স্লোভানিয়া	ಸ್ಲೋಭಾನಿಯ಼ಾ
স্বালবার্ড ও জান মেয়েন	ಸ್ಬಾಲಬಾರ್ಡ ಓ ಜಾನ ಮೇಯ಼ೇನ
শ্লোভাকিয়া	ಶ್ಲೋಭಾಕಿಯ಼ಾ
সিয়েরালিওন	ಸಿಯ಼ೇರಾಲಿಓನ
সান মারিনো	ಸಾನ ಮಾರಿನೋ
সেনেগাল	ಸೇನೇಗಾಲ
সোমালিয়া	ಸೋಮಾಲಿಯ಼ಾ
সুরিনাম	ಸುರಿನಾಮ
দক্ষিন সুদান	ದಕ್ಷಿನ ಸುದಾನ
সাওটোমা ও প্রিন্সিপি	ಸಾಓಟೋಮಾ ಓ ಪ್ರಿನ್ಸಿಪಿ
এল সালভেদর	ಏಲ ಸಾಲಭೇದರ
সিন্ট মার্টেন	ಸಿನ್ಟ ಮಾರ್ಟೇನ
সিরিয়া	ಸಿರಿಯ಼ಾ
সোয়াজিল্যান্ড	ಸೋಯ಼ಾಜಿಲ್ಯಾನ್ಡ
ট্রিস্টান ডা কুনহা	ಟ್ರಿಸ್ಟಾನ ಡಾ ಕುನಹಾ
তুর্কস ও কাইকোস দ্বীপপুঞ্জ	ತುರ್ಕಸ ಓ ಕಾಇಕೋಸ ದ್ಬೀಪಪುಞ್ಜ
চাদ	ಚಾದ
ফরাসী দক্ষিণাঞ্চল	ಫರಾಸೀ ದಕ್ಷಿಣಾಞ್ಚಲ
টোগো	ಟೋಗೋ
থাইল্যান্ড	ಥಾಇಲ್ಯಾನ್ಡ
তাজিকস্থান	ತಾಜಿಕಸ್ಥಾನ
টোকেলাউ	ಟೋಕೇಲಾಉ
তিমুর-লেস্তে	ತಿಮುರ-ಲೇಸ್ತೇ
পূর্ব তিমুর	ಪೂರ್ಬ ತಿಮುರ
তুর্কমেনিস্তান	ತುರ್ಕಮೇನಿಸ್ತಾನ
তিউনিশিয়া	ತಿಉನಿಶಿಯ಼ಾ
টোঙ্গা	ಟೋಙ್ಗಾ
তুরস্ক	ತುರಸ್ಕ
ত্রিনিনাদ ও টোব্যাগো	ತ್ರಿನಿನಾದ ಓ ಟೋಬ್ಯಾಗೋ
টুভালু	ಟುಭಾಲು
তাইওয়ান	ತಾಇಓಯ಼ಾನ
তাঞ্জানিয়া	ತಾಞ್ಜಾನಿಯ಼ಾ
ইউক্রেইন	ಇಉಕ್ರೇಇನ
উগান্ডা	ಉಗಾನ್ಡಾ
যুক্তরাষ্ট্রের পার্শ্ববর্তী দ্বীপপুঞ্জ	ಯುಕ್ತರಾಷ್ಟ್ರೇರ ಪಾರ್ಶ್ಬಬರ್ತೀ ದ್ಬೀಪಪುಞ್ಜ
মার্কিন যুক্তরাষ্ট্র	ಮಾರ್ಕಿನ ಯುಕ್ತರಾಷ್ಟ್ರ
ইউ এস	ಇಉ ಏಸ
উরুগুয়ে	ಉರುಗುಯ಼ೇ
উজবেকিস্তান	ಉಜಬೇಕಿಸ್ತಾನ
ভ্যাটিকান সিটি	ಭ್ಯಾಟಿಕಾನ ಸಿಟಿ
সেন্ট ভিনসেন্ট ও দ্যা গ্রেনাডিনস	ಸೇನ್ಟ ಭಿನಸೇನ್ಟ ಓ ದ್ಯಾ ಗ್ರೇನಾಡಿನಸ
ভেনেজুয়েলা	ಭೇನೇಜುಯ಼ೇಲಾ
ব্রিটিশ ভার্জিন দ্বীপপুঞ্জ	ಬ್ರಿಟಿಶ ಭಾರ್ಜಿನ ದ್ಬೀಪಪುಞ್ಜ
মার্কিন ভার্জিন দ্বীপপুঞ্জ	ಮಾರ್ಕಿನ ಭಾರ್ಜಿನ ದ್ಬೀಪಪುಞ್ಜ
ভিয়েতনাম	ಭಿಯ಼ೇತನಾಮ
ভানুয়াটু	ಭಾನುಯ಼ಾಟು
ওয়ালিস ও ফুটুনা	ಓಯ಼ಾಲಿಸ ಓ ಫುಟುನಾ
সামোয়া	ಸಾಮೋಯ಼ಾ
কসোভো	ಕಸೋಭೋ
ইয়েমেন	ಇಯ಼ೇಮೇನ
মায়োত্তে	ಮಾಯ಼ೋತ್ತೇ
দক্ষিণ আফ্রিকা	ದಕ್ಷಿಣ ಆಫ್ರಿಕಾ
জাম্বিয়া	ಜಾಮ್ಬಿಯ಼ಾ
জিম্বাবোয়ে	ಜಿಮ್ಬಾಬೋಯ಼ೇ
অজানা স্থান	ಅಜಾನಾ ಸ್ಥಾನ
