# Territory names from CLDR
ಅಸೆನ್ಶನ್ ದ್ವೀಪ	asenśan dvīpa
ಕ್ಲಿಪ್ಪರ್‌ಟಾನ್ ದ್ವೀಪಗಳು	klippar‌ṭān dvīpagaḷu
ಕೊಸ್ಟಾ ರಿಕಾ	kosṭā rikā
ಕ್ಯೂಬಾ	kyūbā
ಕೇಪ್ ವರ್ಡೆ	kēp varḍe
ಕುರಾಕಾವ್	kurākāv
ಕ್ರಿಸ್ಮಸ್ ದ್ವೀಪ	krismas dvīpa
ಸೈಪ್ರಸ್	saipras
ಚೆಕ್ ರಿಪಬ್ಲಿಕ್	cek ripablik
ಜರ್ಮನಿ	jarmani
ಡೈಗೋ ಗಾರ್ಸಿಯ	ḍaigō gārsiya
ಜಿಬೋಟಿ	jibōṭi
ಡೆನ್ಮಾರ್ಕ್	ḍenmārk
ಡೊಮಿನಿಕಾ	ḍominikā
ಡೊಮೆನಿಕನ್ ರಿಪಬ್ಲಿಕ್	ḍomenikan ripablik
ಅಲ್ಗೇರಿಯಾ	algēriyā
ಸೆಯುಟಾ ಹಾಗೂ ಮೆಲಿಲ್ಲಾ	seyuṭā hāgū melillā
ಈಕ್ವೆಡಾರ್	īkveḍār
ಎಸ್ಟೋನಿಯಾ	esṭōniyā
ಈಜಿಪ್ಟ್	ījipṭ
ಪಶ್ಚಿಮ ಸಹಾರಾ	paścima sahārā
ಏರಿಟ್ರಿಯಾ	ēriṭriyā
ಸ್ಪೇನ್	spēn
ಇಥಿಯೋಪಿಯಾ	ithiyōpiyā
ಯುರೋಪಿಯನ್ ಯೂನಿಯನ್	yurōpiyan yūniyan
ಫಿನ್‌ಲ್ಯಾಂಡ್	phin‌lyāṇḍ
ಫಿಜಿ	phiji
ಫಾಲ್ಕ್‌ಲ್ಯಾಂಡ್ ದ್ವೀಪಗಳು	phālk‌lyāṇḍ dvīpagaḷu
ಫಾಲ್ಕ್‌ಲ್ಯಾಂಡ್ ದ್ವೀಪಗಳು (ಇಸ್ಲಾಸ್ ಮಾಲ್ವಿನಸ್)	phālk‌lyāṇḍ dvīpagaḷu (islās mālvinas)
ಮೈಕ್ರೋನೇಶಿಯಾ	maikrōnēśiyā
ಫರೋ ದ್ವೀಪಗಳು	pharō dvīpagaḷu
ಫ್ರಾನ್ಸ್	phrāns
ಗೆಬೊನ್	gebon
ಬ್ರಿಟನ್/ಇಂಗ್ಲೆಂಡ್	briṭan/iṅgleṇḍ
ಗ್ರೆನೆಡಾ	greneḍā
ಜಾರ್ಜಿಯಾ	jārjiyā
ಫ್ರೆಂಚ್ ಗಯಾನಾ	phren̄c gayānā
ಗುರ್ನ್‌ಸೆ	gurn‌se
ಘಾನಾ	ghānā
ಗಿಬ್ರಾಲ್ಟರ್	gibrālṭar
ಗ್ರೀನ್‌ಲ್ಯಾಂಡ್	grīn‌lyāṇḍ
ಗ್ಯಾಂಬಿಯಾ	gyāmbiyā
ಗಿನಿ	gini
ಗುಡೆಲೋಪ್	guḍelōp
ಈಕ್ವೆಟೋರಿಯಲ್ ಗಿನಿ	īkveṭōriyal gini
ಗ್ರೀಸ್	grīs
ದಕ್ಷಿಣ ಜಾರ್ಜಿಯಾ ಮತ್ತು ದಕ್ಷಿಣ ಸ್ಯಾಂಡ್‍ವಿಚ್ ದ್ವೀಪಗಳು	dakṣiṇa jārjiyā mattu dakṣiṇa syāṇḍ‍vic dvīpagaḷu
ಗ್ವಾಟೆಮಾಲಾ	gvāṭemālā
ಗುಯಾಮ್	guyām
ಗಿನಿ-ಬಿಸ್ಸಾವ್	gini-bis'sāv
ಗಯಾನಾ	gayānā
ಹಾಂಗ್ ಕಾಂಗ್ SAR ಚೈನಾ	hāṅg kāṅg SAR cainā
ಹಾಂಗ್ ಕಾಂಗ್	hāṅg kāṅg
ಹರ್ಡ್ ದ್ವೀಪ ಮತ್ತು ಮ್ಯಾಕ್‍ಡೊನಾಲ್ಡ್ ದ್ವೀಪಗಳು	harḍ dvīpa mattu myāk‍ḍonālḍ dvīpagaḷu
ಹೊಂಡುರಾಸ್	hoṇḍurās
ಕ್ರೊಯೇಶಿಯಾ	kroyēśiyā
ಹೈಟಿ	haiṭi
ಹಂಗಾರಿ	haṅgāri
ಕ್ಯಾನರಿ ದ್ವೀಪಗಳು	kyānari dvīpagaḷu
ಇಂಡೋನೇಶಿಯಾ	iṇḍōnēśiyā
ಐರ್ಲೆಂಡ್	airleṇḍ
ಇಸ್ರೇಲ್	isrēl
ಐಲ್ ಆಫ್ ಮ್ಯಾನ್	ail āph myān
ಭಾರತ	bhārata
ಬ್ರಿಟೀಶ್ ಇಂಡಿಯನ್ ಮಹಾಸಾಗರ ಪ್ರದೇಶ	briṭīś iṇḍiyan mahāsāgara pradēśa
ಇರಾಕ್	irāk
ಇರಾನ್	irān
ಐಸ್‌ಲ್ಯಾಂಡ್	ais‌lyāṇḍ
ಇಟಲಿ	iṭali
ಜೆರ್ಸಿ	jersi
ಜಮೈಕಾ	jamaikā
ಜೋರ್ಡಾನ್	jōrḍān
ಜಪಾನ್	japān
ಕೀನ್ಯಾ	kīn'yā
ಕಿರ್ಗಿಸ್ಥಾನ್	kirgisthān
ಕಾಂಬೋಡಿಯಾ	kāmbōḍiyā
ಕಿರಿಬಾತಿ	kiribāti
ಕೊಮೊರೊಸ್	komoros
ಸೇಂಟ್ ಕಿಟ್ಸ್ ಮತ್ತು ನೆವಿಸ್	sēṇṭ kiṭs mattu nevis
ಉತ್ತರ ಕೋರಿಯಾ	uttara kōriyā
ದಕ್ಷಿಣ ಕೋರಿಯಾ	dakṣiṇa kōriyā
ಕುವೈತ್	kuvait
ಕೇಮನ್ ದ್ವೀಪಗಳು	kēman dvīpagaḷu
ಕಝಾಕಿಸ್ಥಾನ್	kajhākisthān
ಲಾವೋಸ್	lāvōs
ಲೆಬನಾನ್	lebanān
ಸೇಂಟ್ ಲೂಸಿಯಾ	sēṇṭ lūsiyā
ಲಿಚೆನ್‌ಸ್ಟೈನ್	licen‌sṭain
ಶ್ರೀಲಂಕಾ	śrīlaṅkā
ಲಿಬೇರಿಯಾ	libēriyā
ಲೆಸೊಥೋ	lesothō
ಲಿಥುವೇನಿಯಾ	lithuvēniyā
ಲಕ್ಸಂಬರ್ಗ್	laksambarg
ಲಾಟ್ವಿಯಾ	lāṭviyā
ಲಿಬಿಯಾ	libiyā
ಮೊರಾಕ್ಕೊ	morākko
ಮೊನಾಕೊ	monāko
ಮೊಲ್ಡೋವಾ	molḍōvā
ಮೊಂಟೆನೆಗ್ರೋ	moṇṭenegrō
ಸೇಂಟ್ ಮಾರ್ಟಿನ್	sēṇṭ mārṭin
ಮಡಗಾಸ್ಕರ್	maḍagāskar
ಮಾರ್ಷಲ್ ದ್ವೀಪಗಳು	mārṣal dvīpagaḷu
ಮ್ಯಾಸಿಡೋನಿಯಾ	myāsiḍōniyā
ಮ್ಯಾಸಿಡೋನಿಯ (FYROM)	myāsiḍōniya (FYROM)
ಮಾಲಿ	māli
ಮಯನ್ಮಾರ್ (ಬರ್ಮಾ)	mayanmār (barmā)
ಮೊಂಗೋಲಿಯಾ	moṅgōliyā
ಮಖಾವ್ (SAR) ಚೈನಾ	makhāv (SAR) cainā
ಮಖಾವ್	makhāv
ಉತ್ತರ ಮರಿಯಾನಾ ದ್ವೀಪಗಳು	uttara mariyānā dvīpagaḷu
ಮಾರ್ಟಿನಿಕ್	mārṭinik
ಮಾರಿಟೇನಿಯಾ	māriṭēniyā
ಮಾಂಟ್‌ಸೆರೇಟ್	māṇṭ‌serēṭ
ಮಾಲ್ಟಾ	mālṭā
ಮಾರಿಶಿಯಸ್	māriśiyas
ಮಾಲ್ಡಿವ್ಸ್	mālḍivs
ಮಲಾವಿ	malāvi
ಮೆಕ್ಸಿಕೊ	meksiko
ಮಲೇಶಿಯಾ	malēśiyā
ಮೊಜಾಂಬಿಕ್	mojāmbik
ನಮೀಬಿಯಾ	namībiyā
ನ್ಯೂ ಕ್ಯಾಲಿಡೋನಿಯಾ	n'yū kyāliḍōniyā
ನೈಜರ್	naijar
ನಾರ್ಫೋಕ್ ದ್ವೀಪ	nārphōk dvīpa
ನೈಜೀರಿಯಾ	naijīriyā
ನಿಕಾರಾಗುವಾ	nikārāguvā
ನೆದರ್‌ಲ್ಯಾಂಡ್ಸ್	nedar‌lyāṇḍs
ನಾರ್ವೇ	nārvē
ನೇಪಾಳ	nēpāḷa
ನೌರು	nauru
ನಿಯು	niyu
ನ್ಯೂಜಿಲೆಂಡ್	n'yūjileṇḍ
ಓಮನ್	ōman
ಪನಾಮಾ	panāmā
ಪೆರು	peru
ಫ್ರೆಂಚ್ ಪಾಲಿನೇಷ್ಯಾ	phren̄c pālinēṣyā
ಪಪುವಾ ನ್ಯೂಗಿನಿಯಾ	papuvā n'yūginiyā
ಫಿಲಿಫೈನ್ಸ್	philiphains
ಪಾಕಿಸ್ತಾನ	pākistāna
ಪೋಲ್ಯಾಂಡ್	pōlyāṇḍ
ಸೇಂಟ್ ಪಿಯರೆ ಮತ್ತು ಮಿಕೆಲನ್	sēṇṭ piyare mattu mikelan
ಪಿಟ್‌ಕೈರ್ನ್ ದ್ವೀಪಗಳು	piṭ‌kairn dvīpagaḷu
ಪ್ಯೂರ್ಟೋ ರಿಕೊ	pyūrṭō riko
ಪ್ಯಾಲೇಸ್ಟೇನಿಯನ್ ಪ್ರದೇಶ	pyālēsṭēniyan pradēśa
ಪ್ಯಾಲೆಸ್ಟೇನ್	pyālesṭēn
ಪೋರ್ಚುಗಲ್	pōrcugal
ಪಲಾವು	palāvu
ಪರಾಗ್ವೇ	parāgvē
ಖತಾರ್	khatār
ಔಟ್ ಲೈಯಿಂಗ್ ಓಷಿಯಾನಿಯಾ	auṭ laiyiṅg ōṣiyāniyā
ರೀಯೂನಿಯನ್	rīyūniyan
ರೊಮೇನಿಯಾ	romēniyā
ಸೆರ್ಬಿಯಾ	serbiyā
ರಷ್ಯಾ	raṣyā
ರುವಾಂಡಾ	ruvāṇḍā
ಸೌದಿ ಅರೇಬಿಯಾ	saudi arēbiyā
ಸೊಲೊಮನ್ ದ್ವೀಪಗಳು	soloman dvīpagaḷu
ಸೀಶೆಲ್ಲೆಸ್	sīśelles
ಸೂಡಾನ್	sūḍān
ಸ್ವೀಡನ್	svīḍan
ಸಿಂಗಾಪುರ್	siṅgāpur
ಸೇಂಟ್ ಹೆಲೆನಾ	sēṇṭ helenā
ಸ್ಲೋವೇನಿಯಾ	slōvēniyā
ಸ್ವಾಲ್ಬಾರ್ಡ್ ಮತ್ತು ಜಾನ್ ಮೆಯನ್	svālbārḍ mattu jān meyan
ಸ್ಲೋವೇಕಿಯಾ	slōvēkiyā
ಸಿಯೆರ್ರಾ ಲಿಯೋನ್	siyerrā liyōn
ಸ್ಯಾನ್ ಮೆರಿನೋ	syān merinō
ಸೆನೆಗಲ್	senegal
ಸೊಮಾಲಿಯಾ	somāliyā
ಸುರಿನಾಮ	surināma
ದಕ್ಷಿಣ ಸೂಡಾನ್	dakṣiṇa sūḍān
ಸಾವೋ ಟೋಮ್ ಮತ್ತು ಪ್ರಿನ್ಸಿಪಿ	sāvō ṭōm mattu prinsipi
ಎಲ್ ಸಾಲ್ವೇಡಾರ್	el sālvēḍār
ಸಿಂಟ್ ಮಾರ್ಟೆನ್	siṇṭ mārṭen
ಸಿರಿಯಾ	siriyā
ಸ್ವಾಜಿಲ್ಯಾಂಡ್	svājilyāṇḍ
ಟ್ರಿಸ್ತನ್ ಡಾ ಕುನ್ಹಾ	ṭristan ḍā kunhā
ಟರ್ಕ್ಸ್ ಮತ್ತು ಕೈಕೋಸ್ ದ್ವೀಪಗಳು	ṭarks mattu kaikōs dvīpagaḷu
ಚಾದ್	cād
ಫ್ರೆಂಚ್ ದಕ್ಷಿಣ ಪ್ರದೇಶಗಳು	phren̄c dakṣiṇa pradēśagaḷu
ಟೋಗೋ	ṭōgō
ಥೈಲ್ಯಾಂಡ್	thailyāṇḍ
ತಜಾಕಿಸ್ಥಾನ್	tajākisthān
ಟೊಕೆಲಾವ್	ṭokelāv
ಪೂರ್ವ ತಿಮೋರ್	pūrva timōr
ಈಸ್ಟ್ ಟಿಮೋರ್	īsṭ ṭimōr
ತುರ್ಕ್ಮೇನಿಸ್ಥಾನ್	turkmēnisthān
ಟುನಿಶಿಯಾ	ṭuniśiyā
ಟೊಂಗ	ṭoṅga
ಟರ್ಕಿ	ṭarki
ಟ್ರಿನಿಡಾಡ್ ಮತ್ತು ಟೊಬಾಗೊ	ṭriniḍāḍ mattu ṭobāgo
ಟುವಾಲು	ṭuvālu
ಥೈವಾನ್	thaivān
ತಾಂಜೇನಿಯಾ	tān̄jēniyā
ಉಕ್ರೈನ್	ukrain
ಉಗಾಂಡಾ	ugāṇḍā
ಅಮೇರಿಕಾ ಸಂಯುಕ್ತ ಸಂಸ್ಥಾನ	amērikā sanyukta sansthāna
ಉರುಗ್ವೇ	urugvē
ಉಜ್ಬೇಕಿಸ್ಥಾನ್	ujbēkisthān
ವ್ಯಾಟಿಕನ್	vyāṭikan
ವೆನೆಜುವೆಲಾ	venejuvelā
ಬ್ರಿಟಿಷ್ ವರ್ಜಿನ್ ದ್ವೀಪಗಳು	briṭiṣ varjin dvīpagaḷu
ವಿಯೇಟ್ನಾಮ್	viyēṭnām
ವನೌಟು	vanauṭu
ವಾಲಿಸ್ ಮತ್ತು ಫುಟುನಾ	vālis mattu phuṭunā
ಸಮೋವಾ	samōvā
ಕೊಸೊವೊ	kosovo
ಯೆಮನ್	yeman
ಮಯೊಟ್ಟೆ	mayoṭṭe
ದಕ್ಷಿಣ ಆಫ್ರಿಕಾ	dakṣiṇa āphrikā
ಝಾಂಬಿಯಾ	jhāmbiyā
ಜಿಂಬಾಬ್ವೆ	jimbābve
ಅಜ್ಞಾತ ಪ್ರದೇಶ	ajñāta pradēśa
