Abelo	آبيلو
kriketo	کريکيتو
krome	کرومه
kruca	کروتسا
krudmaterialo	کرودماتيريالو
ktp	کتپ
kuro	کورو
kuroj	کوروي
kvankam	کوانکام
kvar	کوار
kvin	کوين
laboristinoj	لابوريستينوي
laktoartikloj	لاکتوارتيکلوي
leksikono	ليکسيکونو
leĝoj	ليدژوي
ligoj	ليگوي
lipidoj	ليپيدوي
longtempe	لونگتيمپه
loĝas	لودژاس
ludantoj	لودانتوي
ludas	لوداس
matematiko	ماتيماتيکو
maŝinoj	ماشينوي
mensan	مينسان
metodojn	ميتودوين
mikroskope	ميکروسکوپه
miricil	ميريتسيل
mm	مم
molekuloj	موليکولوي
mortiga	مورتيگا
muliebre	مولييبره
muskatoj	موسکاتوي
nOT	نوت
natura	ناتورا
nature	ناتوره
nehoma	نيهوما
neracia	نيراتسيا
ni	ني
nivelo	نيويلو
normale	نورماله
novembro	نوويمبرو
nutraj	نوتراي
nutraĵindustrio	نوتراژيندوستريو
oni	اوني
opiniataj	اوپينياتاي
palmitata	پالميتاتا
parencaj	پارينتساي
perceptas	پيرتسيپتاس
permesas	پيرميساس
pikilo	پيکيلو
pinĉileto	پينتشيليتو
plantaron	پلانتارون
plantoj	پلانتوي
plejparto	پلييپارتو
plenkreskuloj	پلينکريسکولوي
pliigis	پلييگيس
plimulto	پليمولتو
plurdisciplina	پلورديستسيپلينا
plurlatero	پلورلاتيرو
por	پور
pozicio	پوزيتسيو
prahistorio	پراهيستوريو
praktiko	پراکتيکو
prelego	پريليگو
preskaŭ	پريسکاو
pri	پري
priparolata	پريپارولاتا
propoliso	پروپوليسو
protekto	پروتيکتو
pruvita	پروويتا
pseŭdovektoro	پسيودوويکتورو
pseŭdovektoroj	پسيودوويکتوروي
psikologia	پسيکولوگيا
psikologio	پسيکولوگيو
publikigita	پوبليکيگيتا
putrantajn	پوترانتاين
rapida	راپيدا
rapide	راپيده
reale	رياله
rezulton	ريزولتون
rikoltas	ريکولتاس
ripetfoje	ريپيتفويا
rolon	رولون
rostron	روسترون
ruinigata	روينيگاتا
ruĝa	رودژا
samaj	ساماي
saman	سامان
sciojn	ستسيوين
sensojn	سينسوين
ses	سيس
siajn	سياين
simple	سيمپله
skalo	سکالو
skatolo	سکاتولو
skribi	سکريبي
skribitaj	سکريبيتاي
solvema	سولويما
sovaĝaj	سووادژاي
spaco	سپاتسو
speco	سپيتسو
specoj	سپيتسوي
spicoj	سپيتسوي
spina	سپينا
sporto	سپورتو
sprajilo	سپراييلو
stabilecon	ستابيليتسون
stabiligitan	ستابيليگيتان
sterkon	ستيرکون
stoka	ستوکا
struktura	ستروکتورا
strukturo	ستروکتورو
studado	ستودادو
studitaj	ستوديتاي
sukoj	سوکوي
surfaco	سورفاتسو
svarmado	سوارمادو
svingodanco	سوينگودانتسو
tamen	تامين
taskoj	تاسکوي
terapio	تيراپيو
teritorio	تيريتوريو
tiuj	تيوي
tiuspeca	تيوسپيتسا
tra	ترا
traktoroj	تراکتوروي
tre	تره
tri	تري
trinkado	ترينکادو
trovas	تروواس
troviĝas	تروويدژاس
tubo	توبو
tuŝadon	توشادون
uzado	اوزادو
uzo	اوزو
vaksĉelaro	واکستشيلارو
vaporon	واپورون
vera	ويرا
vertikalon	ويرتيکالون
vi	وي
vino	وينو
volumeno	وولومينو
vorta	وورتا
vorto-provizo	وورتوپروويزو
vundokrustoj	ووندوکروستوي
zinko	زينکو
zumado	زومادو
zumadon	زومادون
Ĉar	تشار
Ĉe	تشه
Ĉi	تشي
ĉar	تشار
ĉevalino	تشيوالينو
ĉevalo	تشيوالو
ĉiuj	تشيوي
ĉiujn	تشيوين
ĉu	تشو
Ĝardenaferoj	دژاردينافيروي
Ĝeneraligoj	دژينيراليگوي
Ĝi	دژي
Ĝia	دژيا
ĝardeno	دژاردينو
ĝardenoj	دژاردينوي
ĝeneralaj	دژينيرالاي
ĝenerale	دژينيراله
ĝin	دژين
ĝis	دژيس
ĝusta	دژوستا
Ĥemia	خيميا
Ĥemio	خيميو
ĥemia	خيميا
ĵetas	ژيتاس
ĵetintan	ژيتينتان
Ŝprucigilo	شپروتسيگيلو
Ŝprucigiloj	شپروتسيگيلوي
ŝafino	شافينو
ŝanĝi	شاندژي
ŝi	شي
ŝmirajoj	شميرايوي
ŝoseoj	شوسيوي
ŝprucigi	شپروتسيگي
ŝprucigilo	شپروتسيگيلو
ŝtrato	شتراتو
ŭa	اوا
Ŭaŝingtono	اواشينگتونو
