# Territory names from CLDR
അസൻഷൻ ദ്വീപ്	અસൻષൻ દ્વીપ્
സോമാലിയ	સેામાલિય
സുരിനെയിം	સુરિનેયિં
ദക്ഷിണ സുഡാൻ	દક્ષિણ સુડાൻ
സാവോ ടോമും പ്രിൻസിപെയും	સાવેા ટેામું પ્રિൻસિપેયું
എൽ സാൽവദോർ	એൽ સાൽવદેાർ
സിന്റ് മാർട്ടെൻ	સિન્ર઼્ માർટ્ટેൻ
സിറിയ	સિર઼િય
സ്വാസിലാൻറ്	સ્વાસિલાൻર઼્
ട്രസ്റ്റൻ ഡ കൂന	ટ્રસ્ર઼્ર઼ൻ ડ કૂન
ടർക്ക്‌സും കെയ്‌ക്കോ ദ്വീപുകളും	ટർક્ક્‌સું કેય્‌ક્કેા દ્વીપુકળું
ഛാഡ്	છાડ્
ഫ്രഞ്ച് ദക്ഷിണ ഭൂപ്രദേശം	ફ્રઞ્ચ્ દક્ષિણ ભૂપ્રદેશં
ടോഗോ	ટેાગેા
തായ്‌ലാൻഡ്	તાય્‌લાൻડ્
താജിക്കിസ്ഥാൻ	તાજિક્કિસ્થાൻ
ടോക്കെലൂ	ટેાક્કેલૂ
തിമോർ-ലെസ്റ്റെ	તિમેાർ-લેસ્ર઼્ર઼ે
കിഴക്കൻ തിമോർ	કિળ઼ક્કൻ તિમેાർ
തുർക്ക്മെനിസ്ഥാൻ	તુർક્ક્મેનિસ્થાൻ
ടുണീഷ്യ	ટુણીષ્ય
ടോംഗ	ટેાંગ
തുർക്കി	તુർક્કિ
ട്രിനിഡാഡും ടുബാഗോയും	ટ્રિનિડાડું ટુબાગેાયું
ടുവാലു	ટુવાલુ
തായ്‌വാൻ	તાય્‌વાൻ
ടാൻസാനിയ	ટાൻસાનિય
ഉക്രെയ്‌ൻ	ઉક્રેય્‌ൻ
ഉഗാണ്ട	ઉગાણ્ટ
അമേരിക്കൻ ഐക്യനാടുകൾ	અમેરિક્કൻ ઐક્યનાટુકൾ
ഉറുഗ്വേ	ઉર઼ુગ્વે
ഉസ്‌ബെക്കിസ്ഥാൻ	ઉસ્‌બેક્કિસ્થાൻ
വത്തിക്കാൻ	વત્તિક્કાൻ
സെന്റ് വിൻസെന്റും ഗ്രനെഡൈൻസും	સેન્ર઼્ વિൻસેન્ર઼ું ગ્રનેડૈൻસું
വെനിസ്വേല	વેનિસ્વેલ
ബ്രിട്ടീഷ് വെർജിൻ ദ്വീപുകൾ	બ્રિટ્ટીષ્ વેർજિൻ દ્વીપુકൾ
വിയറ്റ്നാം	વિયર઼્ર઼્નાં
വന്വാതു	વન્વાતુ
വാലിസ് ആന്റ് ഫ്യൂച്യുന	વાલિસ્ આન્ર઼્ ફ્યૂચ્યુન
സമോവ	સમેાવ
കൊസോവൊ	કેાસેાવેા
യെമൻ	યેમൻ
മയോട്ടി	મયેાટ્ટિ
ദക്ഷിണാഫ്രിക്ക	દક્ષિણાફ્રિક્ક
സാംബിയ	સાંબિય
സിംബാബ്‌വേ	સિંબાબ્‌વે
അജ്ഞാത പ്രദേശം	અજ્ઞાત પ્રદેશં
