# Territory names from CLDR
അസൻഷൻ ദ്വീപ്	asaൻṣaൻ dvīp
ഈജിപ്ത്	ījipt
പശ്ചിമ സഹാറ	paścima sahāṟa
എറിത്രിയ	eṟitriya
സ്‌പെയിൻ	s‌peyiൻ
എത്യോപ്യ	etyēāpya
യൂറോപ്യൻ യൂണിയൻ	yūṟēāpyaൻ yūṇiyaൻ
ഫിൻലാൻഡ്	phiൻlāൻḍ
ഫിജി	phiji
ഫാക്ക്‌ലാന്റ് ദ്വീപുകൾ	phākk‌lānṟ dvīpukaൾ
ഫോക്ക്‌ലാൻഡ് ദ്വീപുകൾ (ഐലാസ് മാൽവിനാസ്)	phēākk‌lāൻḍ dvīpukaൾ (ailās māൽvinās)
മൈക്രോനേഷ്യ	maikrēānēṣya
ഫറോ ദ്വീപുകൾ	phaṟēā dvīpukaൾ
ഫ്രാൻസ്	phrāൻs
ഗാബൺ	gābaൺ
യുണൈറ്റഡ് കിംഗ്ഡം	yuṇaiṟṟaḍ kiṅgḍaṁ
ഗ്രനേഡ	granēḍa
ജോർജ്ജിയ	jēāർjjiya
ഫ്രഞ്ച് ഗയാന	phrañc gayāna
ഗേൺസി	gēൺsi
ഘാന	ghāna
ജിബ്രാൾട്ടർ	jibrāൾṭṭaർ
ഗ്രീൻലാൻറ്	grīൻlāൻṟ
ഗാംബിയ	gāmbiya
ഗിനിയ	giniya
ഗ്വാഡലൂപ്പ്	gvāḍalūpp
ഇക്വറ്റോറിയൽ ഗിനിയ	ikvaṟṟēāṟiyaൽ giniya
ഗ്രീസ്	grīs
ദക്ഷിണ ജോർജ്ജിയയും ദക്ഷിണ സാൻഡ്‌വിച്ച് ദ്വീപുകളും	dakṣiṇa jēāർjjiyayuṁ dakṣiṇa sāൻḍ‌vicc dvīpukaḷuṁ
ഗ്വാട്ടിമാല	gvāṭṭimāla
ഗ്വാം	gvāṁ
ഗിനിയ-ബിസൗ	giniya-bisa
ഗയാന	gayāna
ഹോങ്കോങ്ങ് (SAR) ചൈന	hēāṅkēāṅṅ (SAR) caina
ഹോങ്കോങ്ങ്	hēāṅkēāṅṅ
ഹിയേർഡും മക്‌ഡൊണാൾഡ് ദ്വീപുകളും	hiyēർḍuṁ mak‌ḍeāṇāൾḍ dvīpukaḷuṁ
ഹോണ്ടുറാസ്	hēāṇṭuṟās
ക്രൊയേഷ്യ	kreāyēṣya
ഹെയ്തി	heyti
ഹംഗറി	haṅgaṟi
കാനറി ദ്വീപുകൾ	kānaṟi dvīpukaൾ
ഇന്തോനേഷ്യ	intēānēṣya
അയർലാൻഡ്	ayaർlāൻḍ
ഇസ്രായേൽ	isrāyēൽ
ഐൽ ഓഫ് മാൻ	aiൽ ōph māൻ
ഇന്ത്യ	intya
ബ്രിട്ടീഷ് ഇന്ത്യൻ മഹാസമുദ്ര പ്രദേശം	briṭṭīṣ intyaൻ mahāsamudra pradēśaṁ
ഇറാഖ്	iṟākh
ഇറാൻ	iṟāൻ
ഐസ്‌ലാന്റ്	ais‌lānṟ
ഇറ്റലി	iṟṟali
ജേഴ്സി	jēḻsi
ജമൈക്ക	jamaikka
ജോർദ്ദാൻ	jēāർddāൻ
ജപ്പാൻ	jappāൻ
കെനിയ	keniya
കിർഗിസ്ഥാൻ	kiർgisthāൻ
കംബോഡിയ	kambēāḍiya
കിരിബാട്ടി	kiribāṭṭi
കോമൊറോസ്	kēāmeāṟēās
സെന്റ് കിറ്റ്‌സും നെവിസും	senṟ kiṟṟ‌suṁ nevisuṁ
ഉത്തരകൊറിയ	uttarakeāṟiya
ദക്ഷിണകൊറിയ	dakṣiṇakeāṟiya
കുവൈറ്റ്	kuvaiṟṟ
കേമാൻ ദ്വീപുകൾ	kēmāൻ dvīpukaൾ
കസാഖിസ്ഥാൻ	kasākhisthāൻ
ലാവോസ്	lāvēās
ലെബനൻ	lebanaൻ
സെൻറ് ലൂസിയ	seൻṟ lūsiya
ലിച്ചൺസ്റ്റൈൻ	liccaൺsṟṟaiൻ
ശ്രീലങ്ക	śrīlaṅka
ലൈബീരിയ	laibīriya
ലെസോതോ	lesēātēā
ലിത്വാനിയ	litvāniya
ലക്സംബർഗ്	laksambaർg
ലാറ്റ്വിയ	lāṟṟviya
ലിബിയ	libiya
മൊറോക്കൊ	meāṟēākkeā
മൊണാക്കോ	meāṇākkēā
മൾഡോവ	maൾḍēāva
മോണ്ടെനെഗ്രോ	mēāṇṭenegrēā
സെൻറ് മാർട്ടിൻ	seൻṟ māർṭṭiൻ
മഡഗാസ്കർ	maḍagāskaർ
മാർഷൽ‍‍ ദ്വീപുകൾ	māർṣaൽ‍‍ dvīpukaൾ
മാസിഡോണിയ	māsiḍēāṇiya
മാസിഡോണിയ (FYROM)	māsiḍēāṇiya (FYROM)
മാലി	māli
മ്യാൻമാർ (ബർമ്മ)	myāൻmāർ (baർm'ma)
മംഗോളിയ	maṅgēāḷiya
മക്കാവു (SAR) ചൈന	makkāvu (SAR) caina
മക്കാവു	makkāvu
ഉത്തര മറിയാനാ ദ്വീപുകൾ	uttara maṟiyānā dvīpukaൾ
മാർട്ടിനിക്ക്	māർṭṭinikk
മൗറിറ്റാനിയ	maṟiṟṟāniya
മൊണ്ടെസരത്ത്	meāṇṭesaratt
മാൾട്ട	māൾṭṭa
മൗറീഷ്യസ്	maṟīṣyas
മാലിദ്വീപ്	mālidvīp
മലാവി	malāvi
മെക്സിക്കോ	meksikkēā
മലേഷ്യ	malēṣya
മൊസാംബിക്ക്	meāsāmbikk
നമീബിയ	namībiya
പുതിയ കാലിഡോണിയ	putiya kāliḍēāṇiya
നൈജർ	naijaർ
നോർഫോക് ദ്വീപ്	nēāർphēāk dvīp
നൈജീരിയ	naijīriya
നിക്കരാഗ്വ	nikkarāgva
നെതർലാൻഡ്‌സ്	netaർlāൻḍ‌s
നോർവെ	nēāർve
നേപ്പാൾ	nēppāൾ
നൗറു	naṟu
ന്യൂയി	n'yūyi
ന്യൂസിലാൻറ്	n'yūsilāൻṟ
ഒമാൻ	omāൻ
പനാമ	panāma
പെറു	peṟu
ഫ്രഞ്ച് പോളിനേഷ്യ	phrañc pēāḷinēṣya
പാപ്പുവ ന്യൂ ഗിനിയ	pāppuva n'yū giniya
ഫിലിപ്പൈൻസ്	philippaiൻs
പാക്കിസ്ഥാൻ	pākkisthāൻ
പോളണ്ട്	pēāḷaṇṭ
സെന്റ് പിയറിയും മിക്കലണും	senṟ piyaṟiyuṁ mikkalaṇuṁ
പിറ്റ്‌കെയ്‌ൻ ദ്വീപുകൾ	piṟṟ‌key‌ൻ dvīpukaൾ
പ്യൂർട്ടോ റിക്കോ	pyūർṭṭēā ṟikkēā
പാലസ്‌തീൻ പ്രദേശങ്ങൾ	pālas‌tīൻ pradēśaṅṅaൾ
പലസ്‌തീൻ	palas‌tīൻ
പോർച്ചുഗൽ	pēāർccugaൽ
പലാവു	palāvu
പരാഗ്വേ	parāgvē
ഖത്തർ	khattaർ
ദ്വീപസമൂഹം	dvīpasamūhaṁ
റീയൂണിയൻ	ṟīyūṇiyaൻ
റൊമാനിയ	ṟeāmāniya
സെർബിയ	seർbiya
റഷ്യ	ṟaṣya
റുവാണ്ട	ṟuvāṇṭa
സൗദി അറേബ്യ	sadi aṟēbya
സോളമൻ‍ ദ്വീപുകൾ	sēāḷamaൻ‍ dvīpukaൾ
സെയ്‌ഷെൽസ്	sey‌ṣeൽs
സുഡാൻ	suḍāൻ
സ്വീഡൻ	svīḍaൻ
സിംഗപ്പുർ	siṅgappuർ
സെൻറ് ഹെലീന	seൻṟ helīna
സ്ലോവേനിയ	slēāvēniya
സ്വാൽബാഡും ജാൻ മായേനും	svāൽbāḍuṁ jāൻ māyēnuṁ
സ്ലോവാക്യ	slēāvākya
സിയെറ ലിയോൺ	siyeṟa liyēāൺ
സാൻ മറിനോ	sāൻ maṟinēā
സെനഗൽ	senagaൽ
സോമാലിയ	sēāmāliya
സുരിനെയിം	surineyiṁ
ദക്ഷിണ സുഡാൻ	dakṣiṇa suḍāൻ
സാവോ ടോമും പ്രിൻസിപെയും	sāvēā ṭēāmuṁ priൻsipeyuṁ
എൽ സാൽവദോർ	eൽ sāൽvadēāർ
സിന്റ് മാർട്ടെൻ	sinṟ māർṭṭeൻ
സിറിയ	siṟiya
സ്വാസിലാൻറ്	svāsilāൻṟ
ട്രസ്റ്റൻ ഡ കൂന	ṭrasṟṟaൻ ḍa kūna
ടർക്ക്‌സും കെയ്‌ക്കോ ദ്വീപുകളും	ṭaർkk‌suṁ key‌kkēā dvīpukaḷuṁ
ഛാഡ്	chāḍ
ഫ്രഞ്ച് ദക്ഷിണ ഭൂപ്രദേശം	phrañc dakṣiṇa bhūpradēśaṁ
ടോഗോ	ṭēāgēā
തായ്‌ലാൻഡ്	tāy‌lāൻḍ
താജിക്കിസ്ഥാൻ	tājikkisthāൻ
ടോക്കെലൂ	ṭēākkelū
തിമോർ-ലെസ്റ്റെ	timēāർ-lesṟṟe
കിഴക്കൻ തിമോർ	kiḻakkaൻ timēāർ
തുർക്ക്മെനിസ്ഥാൻ	tuർkkmenisthāൻ
ടുണീഷ്യ	ṭuṇīṣya
ടോംഗ	ṭēāṅga
തുർക്കി	tuർkki
ട്രിനിഡാഡും ടുബാഗോയും	ṭriniḍāḍuṁ ṭubāgēāyuṁ
ടുവാലു	ṭuvālu
തായ്‌വാൻ	tāy‌vāൻ
ടാൻസാനിയ	ṭāൻsāniya
ഉക്രെയ്‌ൻ	ukrey‌ൻ
ഉഗാണ്ട	ugāṇṭa
അമേരിക്കൻ ഐക്യനാടുകൾ	amērikkaൻ aikyanāṭukaൾ
ഉറുഗ്വേ	uṟugvē
ഉസ്‌ബെക്കിസ്ഥാൻ	us‌bekkisthāൻ
വത്തിക്കാൻ	vattikkāൻ
സെന്റ് വിൻസെന്റും ഗ്രനെഡൈൻസും	senṟ viൻsenṟuṁ graneḍaiൻsuṁ
വെനിസ്വേല	venisvēla
ബ്രിട്ടീഷ് വെർജിൻ ദ്വീപുകൾ	briṭṭīṣ veർjiൻ dvīpukaൾ
വിയറ്റ്നാം	viyaṟṟnāṁ
വന്വാതു	vanvātu
വാലിസ് ആന്റ് ഫ്യൂച്യുന	vālis ānṟ phyūcyuna
സമോവ	samēāva
കൊസോവൊ	keāsēāveā
യെമൻ	yemaൻ
മയോട്ടി	mayēāṭṭi
ദക്ഷിണാഫ്രിക്ക	dakṣiṇāphrikka
സാംബിയ	sāmbiya
സിംബാബ്‌വേ	simbāb‌vē
അജ്ഞാത പ്രദേശം	ajñāta pradēśaṁ
