# Baby names
அகஜா	اكجا
ஈலாபதாயே	إلابتایي
ஈலில	إلیل
ஈல்வாகா	إلواكا
ஈஷ்தர	إشتر
ஈஸீஃ	إسیها
ஈஸைவலந	إسایولن
ஈஹம	إهم
உக்ரஸ்ரவாஸ	وكرسرواس
உசீமாஂகலீ	وتشیمانكلی
உஜாயந	وجاین
உஜேஷ	وجیش
உஜ்ஜவல	وججول
உஜ்வலீதா	وجولیتا
உதஂகா	وتنكا
உதஂதா	وتنتا
உதாய	وتای
உதார	وتار
உத்கர்ஷ்ராஜ	وتكرشراج
உத்கஷாநா	وتكشانا
உத்காலிகா	وتكالیكا
உத்கிதா	وتكیتا
உத்தர	وتتر
உத்தரக	وتترك
உத்தரா	وتترا
உத்தீயந	وتتیین
உத்பர	وتبر
உத்யத	وتیت
உத்வஹ	وتوه
உத்ஸர்க	وتسرك
உத்ஸா	وتسا
உநமாஇவீலஂபீ	ونمايویلنبی
உபசீத்ரா	وبتشیترا
உபநாயிக	وبناییك
உபமா	وبما
உப்ஜஸ	وبجس
உப்தம	وبتم
உப்பாஸ	وبباس
உமஂகீ	ومنكی
உமாஂபுத்ர	ومانبوتر
உமாகாஂத	وماكانت
உரவஷீ	وروشی
உரிஷிதா	وریشیتا
உர்மீ	ورمی
உர்வ	ورو
உர்வஂக	ورونك
உர்வா	وروا
உர்ஷிதா	ورشیتا
உஷாகிரண	وشاكیرن
உஷாநா	وشانا
உஷீக	وشیك
உஸரீ	وسری
ஏகலிஂக	یكلینك
ஏகாதநா	یكاتنا
ஏகாத்யுஂ	یكاتیون
ஏகாம்பர	یكامبر
ஏகிஷா	یكیشا
ஏக்ஷித	یكشیت
ஏதா	یتا
ஏதாஸ	یتاس
ஏதோம	یتوم
ஏமா	یما
ஏலாந்த்ர	یلانتر
ஏலுமலாஈ	یلوملاي
ஏவாஂஷீ	یوانشی
ஏஷஂகா	یشنكا
ஐஷா	ایشا
ஐஷீ	ایشی
ஐஷீநீ	ایشینی
ஓஏஷீ	اویشی
ஓஜஸ்விநீ	اوجسوینی
ஓஜஸ்வீத	اوجسویت
ஓஜீஸ	اوجیس
ஓதிதீ	اوتیتی
ஓநிஷ	اونیش
ஓநீ	اونی
ஓநீஸ	اونیس
ஓப்பிலமணி	اوببیلمنی
ஓமகாரீ	اومكاری
ஓமநா	اومنا
ஓமாஂஷ	اومانش
ஓம்ஜா	اومجا
ஓவீஏ	اوویي
ஓவைஸ	اووایس
கஂகவார	كنكوار
கஂகா	كنكا
கஂகாதுத்த	كنكاتوتت
கஂகேஷ	كنكیش
கஂஜரீ	كنجری
கஂதரஜ	كنترج
கஂதர்ப	كنترب
கஂதாரா	كنتارا
கஂதிமோய	كنتیموی
கஂதிரா	كنتیرا
கஂவர	كنور
கஜபாஹூ	كجباهو
கஜாதர	كجاتر
கஜாநந	كجانن
கஜாநநந	كجاننن
கணநாத	كننات
கணபத	كنبت
கதஂபீ	كتنبی
கதித	كتیت
கதீர	كتیر
கநக்ஷா	كنكشا
கநாதந	كناتن
கநிக	كنیك
கநீரா	كنیرا
கநேஷ	كنیش
கநைய்யா	كنایییا
கந்தாரவ	كنتارو
கந்தாரீந	كنتارین
கந்மாநீ	كنمانی
கந்வந	كنون
கந்வீ	كنوی
கபாலீந	كبالین
கமலாகர	كملاكر
கமீத	كمیت
கமோத	كموت
கயாலிகா	كیالیكا
கரமஷீ	كرمشی
கருநேஷ	كرونیش
கருல	كرول
கர்ண	كرن
கர்வ	كرو
கர்ஷீந	كرشین
கலாநீதீ	كلانیتی
கலாவதீ	كلاوتی
கலீபா	كلیبا
கலீல	كلیل
கல்யாணீ	كلیانی
கல்ஹார	كلهار
கவீநயா	كوینیا
கவேஷண	كویشن
கவ்ய	كوی
கஷீக	كشیك
கஷ்விகா	كشویكا
கஷ்விநீ	كشوینی
கஸ்துர	كستور
கஹதா	كهتا
கஹுலீகா	كهولیكا
காஂதவ	كانتو
காஂதிக	كانتیك
காஂதீ	كانتی
காஂவ	كانو
காஜீஷ	كاجیش
காதம்பரீ	كاتمبری
காதிரோலீ	كاتیرولی
காதீத	كاتیت
காதீர அமத்துஇகந	كاتیر امتتويكن
காதீராவண	كاتیراون
காத்யயாநீ	كاتییانی
காத்யாயந	كاتیاین
காநகலதா	كانكلتا
காநாய	كانای
காநீத	كانیت
காநீமோஜ்ஹீ	كانیموجهی
காந்ஜாநா	كانجانا
காந்தா	كانتا
காந்ஷீகா	كانشیكا
காமஜ	كامج
காமராஜ	كامراج
காமிய	كامیی
காமுநா	كامونا
காயல	كایل
காயலே	كایلي
காரடீ	كارطی
கார்திகா	كارتیكا
கார்திகேயந	كارتیكیین
காலகா	كالكا
காலராத்ரீ	كالراتری
காலீதா	كالیتا
காவேரீ	كاویری
காவ்யஷ்ரீ	كاویشری
காஷீ	كاشی
காஸநீ	كاسنی
கிஂஜல	كینجل
கிதிகா	كیتیكا
கிநாரீ	كیناری
கிரிக	كیریك
கிரீந்த்ர	كیرینتر
கீதிகா	كیتیكا
கீநாரீ	كیناری
கீந்ஜு	كینجو
கீப்ஸோந	كیبسون
கீவீதா	كیویتا
குகந	كوكن
குடடூ	كوططو
குணித	كونیت
குதாகேஷ	كوتاكیش
குநாதிர	كوناتیر
குநாயூக்த	كونایوكت
குநாரத்நா	كونارتنا
குநாஸேகரண	كوناسیكرن
குநித	كونیت
குநிநா	كونینا
குநீந	كونین
குரதயால	كورتیال
குரு குகந	كورو كوكن
குருநாத	كورونات
குருப்ரஸாத	كوروبرسات
குர்ஜரீ	كورجری
குலஜாரீலால	كولجاریلال
கூஂஜீகா	كونجیكا
கூஹாரீ	كوهاری
கேஂகா	كینكا
கேஓஷா	كیاوشا
கேதீத	كیتیت
கேது	كیتو
கேநீகா	كینیكا
கேயுரா	كییورا
கேவத	كیوت
கேவாஂஷீ	كیوانشی
கேஷிநீ	كیشینی
கேஷீ	كیشی
கேஷோரீ	كیشوری
கேஸர	كیسر
கேஸரீ	كیسری
கேஸவ	كیسو
கேஸவார்தீநீ	كیسوارتینی
கேஸவாளுஂ	كیسوارون
கைரவ	كایرو
கோஉஂஷிக	كوونشیك
கோகீலாவாநீ	كوكیلاوانی
கோரல	كورل
கோவ்தமீ	كووتمی
கோஷீதா	كوشیتا
கௌதிர்ய	كاوتیری
கௌராஂஷ	كاورانش
கௌரீமநோஹரீ	كاوریمنوهری
கௌஷாலீ	كاوشالی
கௌஷ்லேந்தர	كاوشلینتر
க்நாபீகா	كنابیكا
க்யாநாவீ	كیاناوی
க்ரஂதநா	كرنتنا
க்ராமாநீ	كرامانی
க்ரீதேஷ	كریتیش
க்ரீஷா	كریشا
சஂசாரீ	تشنتشاری
சஂதாலிநீ	تشنتالینی
சஂதாவர்மந	تشنتاورمن
சஂத்ர பாந	تشنتر بان
சஂத்ரந	تشنترن
சஂத்ரபால	تشنتربال
சஂத்ரயாந	تشنتریان
சஂத்ரவாதி	تشنترواتی
சஂத்ராநீ	تشنترانی
சஂத்ராமாஸீ	تشنتراماسی
சஂத்ரிகா	تشنتریكا
சஂபா	تشنبا
சஂபாகலீ	تشنباكلی
சக்ரவர்தீ	تشكرورتی
சக்ரிகா	تشكریكا
சதுர்புஜா	تشتوربوجا
சந்த்ரவதந	تشنتروتن
சரந்தேவ	تشرنتیو
சர்வாகா	تشرواكا
சர்வீகேஷ	تشرویكیش
சவி	تشوی
சாதீமாஂ	تشاتیمان
சாத்விக	تشاتویك
சாநக்ய	تشانكی
சாருந	تشارون
சாருவிந்தா	تشارووینتا
சாருவீ	تشارووی
சார்வீ	تشاروی
சாவீஷ்கா	تشاویشكا
சிஂதந	تشینتن
சிஂதமாணீ	تشینتمانی
சித்தப்ரஸாத	تشیتتبرسات
சித்ரஂஷீ	تشیترنشی
சித்ரக்ஷீ	تشیتركشی
சித்ரா	تشیترا
சித்ராமநீ	تشیترامنی
சித்ரிகா	تشیتریكا
சிந்மயாநஂதா	تشینمیاننتا
சிரஂஜீவீ	تشیرنجیوی
சுஂபந	تشونبن
சேஜியந	تشیجیین
சேரந்ராஜ	تشیرنراج
சேலுவா	تشیلووا
சைதந்யா	تشایتنیا
சைநீகா	تشاینیكا
ஜஂகரத	جنكرت
ஜகஂமோஹந	جكنموهن
ஜகதகுரு	جكتكورو
ஜகதபால	جكتبال
ஜகதம்பிகா	جكتمبیكا
ஜகமாதா	جكماتا
ஜக்ஸநா	جكسنا
ஜத்யா	جتیا
ஜநாதார்ண	جناتارن
ஜநாதேவ	جناتیو
ஜநித	جنیت
ஜநீதா	جنیتا
ஜநீஷா	جنیشا
ஜந்மயா	جنمیا
ஜய ஸகாந	جی سكان
ஜய  ப்ரகாஷ	جی  بركاش
ஜய  ப்ரதிக	جی  برتیك
ஜயஂதாஸேநா	جینتاسینا
ஜயகோபால	جیكوبال
ஜயநா	جینا
ஜயவஂத	جیونت
ஜயஸூர்யா	جیسوریا
ஜயாப்ரதா	جیابرتا
ஜயாலக்ஷ்மீ	جیالكشمی
ஜயீ	جیی
ஜலாகஂதா	جلاكنتا
ஜலோதரீ	جلوتری
ஜஷஂக	جشنك
ஜஷோதா	جشوتا
ஜஷ்மீநா	جشمینا
ஜஷ்லந	جشلن
ஜஸ்வந்தீ	جسونتی
ஜாஂபுவந	جانبوون
ஜாக்ராவீ	جاكراوی
ஜாநகீபூஷண	جانكیبوشن
ஜாநா	جانا
ஜாஹீ	جاهی
ஜிதேந்த்ரிய	جیتینتریی
ஜீக்யாஂஷ	جیكیانش
ஜீக்யாஂஷு	جیكیانشو
ஜீஜீத	جیجیت
ஜீதீஷா	جیتیشا
ஜீதேஷீ	جیتیشی
ஜீமீ	جیمی
ஜீமீஷ	جیمیش
ஜீரல	جیرل
ஜீவநகலா	جیونكلا
ஜீவநலதா	جیونلتا
ஜீவநஷ	جیونش
ஜீவந்தீநீ	جیونتینی
ஜீவாநாந்தாம	جیوانانتام
ஜேதல	جیتل
ஜேதாஷ்ரீ	جیتاشری
ஜேநீஷா	جینیشا
ஜேராம	جیرام
ஜேர்ரீஷ	جیرریش
ஜேர்ஷீகா	جیرشیكا
ஜேஸ்வஂத	جیسونت
ஜேஸ்வீதா	جیسویتا
ஜைகரத	جایكرت
ஜைதாஷ்ரீ	جایتاشری
ஜைதீ	جایتی
ஜைப்ரித	جایبریت
ஜைமில	جایمیل
ஜைமேஷ	جایمیش
ஜைலேஷ	جایلیش
ஜைவஂதீ	جایونتی
ஜைவத	جایوت
ஜைவல	جایول
ஜைவீந	جایوین
ஜைஸுதந	جایسوتن
ஜோதா	جوتا
ஜோயஷ்ரீ	جویشری
ஜ்ஞாந	جنان
ஜ்ஞாநதேவ	جنانتیو
ஜ்யோஷநா	جیوشنا
ஜ்ஹில	جهیل
ஜ்ஹீதீந	جهیتین
டாகோர	طاكور
டீம்பீல	طیمبیل
தஂஷ	تنش
தஃந்யத	تهانیت
தக்ஷ	تكش
தக்ஷீண	تكشین
தக்ஷேஷ	تكشیش
தணீ	تنی
தநதாந்யகீ	تنتانیكی
தநலக்ஷ்மீ	تنلكشمی
தநவதீ	تنوتی
தநஸிகா	تنسیكا
தநாவர்ஷ	تناورش
தநிப	تنیب
தநீஷ	تنیش
தநுஂ ப்ரவா	تنون بروا
தநுஂந்ஜய	تنوننجی
தநுஂஷ்கா	تنونشكا
தநுஂஷ்ரீ	تنونشری
தநுபா	تنوبا
தநுல	تنول
தநுஷீ	تنوشی
தந்மாயா	تنمایا
தந்வந்தரீ	تنونتری
தபீஷ	تبیش
தபேஷ	تبیش
தப்த	تبت
தமஸீ	تمسی
தமாலிகா	تمالیكا
தமிரா	تمیرا
தமிலந	تمیلن
தமிலா	تمیلا
தமேஷ	تمیش
தயஸரா	تیسرا
தயாகர	تیاكر
தயாதா	تیاتا
தயாஷ்ரீ	تیاشری
தரநீதர	ترنیتر
தரலீ	ترلی
தராஷா	تراشا
தராஹாஸீ	تراهاسی
தரீநந	ترینن
தருலதா	ترولتا
தர்பண	تربن
தர்பித	تربیت
தர்மகீர்தி	ترمكیرتی
தர்மதித்ய	ترمتیتی
தர்ஷத	ترشت
தர்ஷா	ترشا
தர்ஷாநேயா	ترشانییا
தர்ஷீத	ترشیت
தர்ஷீநீகா	ترشینیكا
தர்ஷீல	ترشیل
தலஜீத	تلجیت
தலாபதீ	تلابتی
தஸ்ம்யா	تسمیا
தாதாகா	تاتاكا
தாநஸ	تانس
தாநாஸ்வீ	تاناسوی
தாநுஂரீகியா	تانونریكیا
தாமா	تاما
தாமிநீ	تامینی
தாரகேஷ்வர	تاركیشور
தாரீக	تاریك
தாரூ	تارو
தாஷாரதீ	تاشارتی
தாஸ	تاس
திக்ஷாந்ய	تیكشانی
திக்ஷீ	تیكشی
திநாத	تینات
திபஂஷீ	تیبنشی
திபஷ்ரீ	تیبشری
திபஸரீ	تیبسری
திப்ஜ்யோதீ	تیبجیوتی
திப்தீக்ஷா	تیبتیكشا
திப்யா	تیبیا
திப்யோக	تیبیوك
திருமாலா	تیرومالا
திரூமாலாஈ	تیرومالاي
திவேநா	تیوینا
திஸ்யா	تیسیا
தீதா	تیتا
தீநபஂது	تینبنتو
தீநா நாத	تینا نات
தீநோஷா	تینوشا
தீபாஂஷ	تیبانش
தீபாவதீ	تیباوتی
தீப்தாந்ஷு	تیبتانشو
தீமித	تیمیت
தீமிலா	تیمیلا
தீரந	تیرن
தீர்தஂகர	تیرتنكر
தீர்தீகா	تیرتیكا
தீவாஷீநீ	تیواشینی
துஂகபத்ரா	تونكبترا
துகாராம	توكارام
துந்கார	تونكار
துந்தா	تونتا
துரக	تورك
துஷஂத	توشنت
துஷார காஂதி	توشار كانتی
துஷாரா	توشارا
துஷார்ஸுவரா	توشارسوورا
தூந	تون
தேஜ	تیج
தேஜஸூர்ய	تیجسوری
தேஜாஂஷ	تیجانش
தேதீப்ய	تیتیبی
தேநாப்பந	تیناببن
தேபஂஜந	تیبنجن
தேபதாத்தா	تیبتاتتا
தேப்ஜாநீ	تیبجانی
தேய்ரியா	تییرییا
தேவகீ	تیوكی
தேவதத	تیوتت
தேவதத்த	تیوتتت
தேவதாஸ	تیوتاس
தேவந	تیون
தேவமாஂதா	تیومانتا
தேவர்ஷி	تیورشی
தேவாஂகநா	تیوانكنا
தேவாதார்ஸ	تیواتارس
தேவாத்யுமநா	تیواتیومنا
தேவாந	تیوان
தேவாநஂதா	تیواننتا
தேவாப்ரியா	تیوابرییا
தேவாரீஷீ	تیواریشی
தேவிநா	تیوینا
தேவிஷீ	تیویشی
தேவீ ப்ரிய	تیوی بریی
தேவேந	تیوین
தேவேந்த்ர	تیوینتر
தேவேந்த்ரநாத	تیوینترنات
தேவேஷீ	تیویشی
தேவேஷ்வர	تیویشور
தேஷநா	تیشنا
தேஷா	تیشا
தேஸநா	تیسنا
தேஸ்பீநா	تیسبینا
தோலாக்ஷீ	تولاكشی
தோஷண	توشن
தௌருஸ	تاوروس
தௌஷீநீ	تاوشینی
த்ராயக்ஷ	ترایكش
த்ரிதேவ	تریتیو
த்ரிநேத்ர	ترینیتر
த்ரிமாந	تریمان
த்ரிலோகேஷ	تریلوكیش
த்ரிலோசந	تریلوتشن
த்ரிவேணீ	تریوینی
த்ரீஜ்யா	تریجیا
த்ரீதேஷ	تریتیش
த்ரீஷ	تریش
த்ரீஷஂட	تریشنط
த்ரீஷ்தீகா	تریشتیكا
த்ருவிகா	تروویكا
நஂத	ننت
நஂதந	ننتن
நஂதிதா	ننتیتا
நஂதிநீ	ننتینی
நகுலா	نكولا
நக்ஷத்ர	نكشتر
நக்ஷத்ரா	نكشترا
நதாலீஏ	نتالیي
நதீஷ	نتیش
நதுந	نتون
நபீந	نبین
நமஸ்தேதுஂ	نمستیتون
நரபதி	نربتی
நலிந	نلین
நவநீத	نونیت
நவநீத விலீப்தஂகா	نونیت ویلیبتنكا
நவம	نوم
நவாஜ	نواج
நவால	نوال
நாகஜோதீ	ناكجوتی
நாகபுஷண	ناكبوشن
நாகாஂஜலீ	ناكانجلی
நாகிநீ	ناكینی
நாகீஸகா	ناكیسكا
நாகேஷ	ناكیش
நாகேஷ்வர	ناكیشور
நாதாரஂஜநீ	ناتارنجنی
நாதீநீ	ناتینی
நாதேஸந	ناتیسن
நாபநீதா	نابنیتا
நாபாயண	ناباین
நாபித	نابیت
நாமாஂஹா	نامانها
நாம்ராதா	نامراتا
நாராப	ناراب
நாராயணஸ்வாமீ	ناراینسوامی
நாரீநே	ناریني
நாவில்லா	ناویللا
நாவீல	ناویل
நாவ்கீரண	ناوكیرن
நாவ்யா	ناویا
நாஷால	ناشال
நாஹுல	ناهول
நிகாரா	نیكارا
நிகேஷ	نیكیش
நிஜு	نیجو
நிதல	نیتل
நிமிதா	نیمیتا
நிரமஈ	نیرمي
நிராமஈ	نیرامي
நிராலீ	نیرالی
நிர்மளா	نیرمرا
நில்ல	نیلل
நிவேஷ	نیویش
நீகீத்ஸா	نیكیتسا
நீகுல	نیكول
நீகேத	نیكیت
நீக்குஂ	نیككون
நீக்ஷா	نیكشا
நீஜய	نیجی
நீதார்ஸநா	نیتارسنا
நீதீகா	نیتیكا
நீபீஷ	نیبیش
நீபுநா	نیبونا
நீமிலீதா	نیمیلیتا
நீரமாஂ	نیرمان
நீராலிகா	نیرالیكا
நீருஈமீ	نیرويمی
நீருதீ	نیروتی
நீலஂஜந	نیلنجن
நீலகஂட	نیلكنط
நீலக்ரீவ	نیلكریو
நீலக்ஷ	نیلكش
நீலயா	نیلیا
நீலாஂஜந	نیلانجن
நீலாயந	نیلاین
நீல்ப்ரப்பா	نیلبرببا
நீஷாலீ	نیشالی
நீஸிதீநீ	نیسیتینی
நீஸ்சலா	نیستشلا
நீஹீதா	نیهیتا
நீஹீரா	نیهیرا
நேத்ரா	نیترا
நேய்ஸா	نییسا
நேர்யா	نیریا
நேவில	نیویل
நேஷுஂ	نیشون
நேஹல	نیهل
நேஹா ஷ்ரீ	نیها شری
நைத்விக	نایتویك
நைமிஷ	نایمیش
நைருதீ	نایروتی
நைவாதயா	نایواتیا
நைஷத	نایشت
நைஷால	نایشال
நௌபஹார	ناوبهار
பஂகிதா	بنكیتا
பஂகிமசஂத்ர	بنكیمتشنتر
பஂசபூதாத்மிகா	بنتشبوتاتمیكا
பஂசவடீ	بنتشوطی
பஂசாஜநா	بنتشاجنا
பஂடிதா	بنطیتا
பஂதாந	بنتان
பஂது	بنتو
பகீரா	بكیرا
பகு	بكو
பகுலா	بكولا
பக்தாவர	بكتاور
பக்தாவாத்ஸலா	بكتاواتسلا
பக்தி	بكتی
பக்யாராஜ	بكیاراج
பதக	بتك
பதமாஂக்ஷ்ய	بتمانكشی
பதமேஷ	بتمیش
பதாலா	بتالا
பத்மக்ரிஹா	بتمكریها
பத்மரேகா	بتمریكا
பத்மவாஸா	بتمواسا
பத்மஷ்ரீ	بتمشری
பத்மாஂகல்யாநீ	بتمانكلیانی
பத்மிநிஷ	بتمینیش
பத்ரக்ஷ	بتركش
பந்குரீ	بنكوری
பந்தீநீ	بنتینی
பந்நா	بننا
பந்யஷ்ரீ	بنیشری
பந்ஹீ	بنهی
பபலா	ببلا
பயோஷ்நீகா	بیوشنیكا
பரகா	بركا
பரதாப ; பரதாப	برتاب ; برتاب
பரப்ரஹ்மநா	بربرهمنا
பரப்ரஹ்மா	بربرهما
பரம	برم
பரம ஜ்யோதி	برم جیوتی
பரமா	برما
பரமாஂந்த்ர	برماننتر
பரமேஷ்வரீ	برمیشوری
பரவீந	بروین
பராகதீ	براكتی
பராமாஂ	برامان
பராஸரா	براسرا
பரித	بریت
பரிஷீ	بریشی
பரீகா	بریكا
பரீஜாதாபா ஹராகாயா	بریجاتابا هراكایا
பரீநுத	برینوت
பரோமீதா	برومیتا
பர்தாத்வாஜாக்ரஸஂவாஸீநே	برتاتواجاكرسنواسیني
பலப்ரதா	بلبرتا
பலராம	بلرام
பலாகஸீ	بلاكسی
பலாநிகுமார	بلانیكومار
பலோமீ	بلومی
பல்மாநீ	بلمانی
பல்லப	بللب
பல்வித	بلویت
பவாநாஜ	بواناج
பவாநிதாஸ	بوانیتاس
பவியா	بوییا
பவீந	بوین
பஸுந்தாரா	بسونتارا
பஹவாஸ்ய	بهواسی
பஹுல	بهول
பாஂகே	بانكي
பாஂகேபிஹாரீ	بانكیبیهاری
பாஂசாலீ	بانتشالی
பாஓலா	باولا
பாகாவாதி	باكاواتی
பாகீரத	باكیرت
பாக்ய	باكی
பாக்யலக்ஷ்மீ	باكیلكشمی
பாதாலவதீ	باتالوتی
பாத்ரஷ்ரீ	باترشری
பாநபாத்த	بانباتت
பாநீக	بانیك
பாரூநா	بارونا
பார்திஹாரீ	بارتیهاری
பார்நாயுஂ	بارنایون
பார்வதீ	باروتی
பார்ஷந	بارشن
பார்ஷ்வ	بارشو
பார்ஹீ பர்ஹாவாதாம்ஸகா	بارهی برهاواتامسكا
பால கோபால	بال كوبال
பாலசஂத்ர	بالتشنتر
பாலநஹார	بالنهار
பாலாமுருகந	بالاموروكن
பாலாராம	بالارام
பால்குந	بالكون
பாவதீ	باوتی
பாவாகீ	باواكی
பாவிகா	باویكا
பாவீ	باوی
பாவேஷ	باویش
பாவேஷ்வாரீ	باویشواری
பாவ்யஂஷ	باوینش
பாஸ்கர	باسكر
பாஸ்வர	باسور
பாஹுலேயா	باهولییا
பிஂகா	بینكا
பிதா வாஸஸே	بیتا واسسي
பிபிந	بیبین
பிபுல	بیبول
பிமல	بیمل
பிம்பா	بیمبا
பியாலீ	بییالی
பிரவா	بیروا
பீஂகாய	بینكای
பீஜயா	بیجیا
பீநுஂ	بینون
பீபத்ஸுஂ	بیبتسون
பீப்லோஜீத	بیبلوجیت
பீமஸேந	بیمسین
பீர	بیر
பீர்நாவ	بیرناو
பீலாக்ஷ்யேந	بیلاكشیین
பீல்பா ஷ்ரீ	بیلبا شری
பீல்வாநீ	بیلوانی
பீஹுநா	بیهونا
பீஹூ	بیهو
புதிகா	بوتیكا
புபத	بوبت
புமந	بومن
புல்கேஷ	بولكیش
புல்லந	بوللن
புவ்நேந்த்ர	بوونینتر
பூதநாதந	بوتناتن
பூதேவீ	بوتیوی
பூபத	بوبت
பூபாலீ	بوبالی
பூரதீ	بورتی
பூர்ணமாஸீ	بورنماسی
பூர்நாகமலா	بورناكملا
பூர்நாந	بورنان
பூர்வஂஸ	بورونس
பூர்வித	بورویت
பூலமாலா	بولمالا
பூலேஂது	بولینتو
பூலோகாநாதாந	بولوكاناتان
பேநுஂ	بینون
பேரவீ	بیروی
பேலுரமீ	بیلورمی
பேல்லீ	بیللی
பேஹுலா	بیهولا
பைரவ	بایرو
பைஸாகீ	بایساكی
போஂநந	بوننن
போஉர்நீமாஂ	بوورنیمان
போநநீ	بوننی
போஷீதா	بوشیتا
பௌலோஈநீ	باولوينی
பௌலோமீ	باولومی
ப்ரகல்பா	بركلبا
ப்ரகல்யா	بركلیا
ப்ரகாலபா	بركالبا
ப்ரக்ரீதீ	بركریتی
ப்ரநீதீகா	برنیتیكا
ப்ரபா	بربا
ப்ரபாந	بربان
ப்ரபாஹரண	برباهرن
ப்ரஹார்ஷீநீ	برهارشینی
ப்ராஂஷு	برانشو
ப்ராக்ரீதீ	براكریتی
ப்ராக்ஷீ	براكشی
ப்ராணமய	برانمی
ப்ராத்ந்ய	براتنی
ப்ராநல	برانل
ப்ரீஜ	بریج
ப்ரீந்தாவாநீ	برینتاوانی
ப்ரீஹதீ	بریهتی
ப்லேஸ்ஸீ	بلیسسی
மஂகலா	منكلا
மஂகாஈ	منكاي
மஂஜு ப்ரஸாத	منجو برسات
மஂடித	منطیت
மஂதர	منتر
மஂதாகிநீ	منتاكینی
மஂத்ரீந	منترین
மகந	مكن
மகநா	مكنا
மகரஂத	مكرنت
மணிரத்நா	منیرتنا
மதிரா	متیرا
மதுகாரீ	متوكاری
மதுதீப	متوتیب
மதுராநீ	متورانی
மதுலந	متولن
மதுவஂதீ	متوونتی
மதேரூ	متیرو
மநஜ்யோத	منجیوت
மநிதீபா	منیتیبا
மநிமேகலா	منیمیكلا
மநீகாரநீ	منیكارنی
மநீதீப	منیتیب
மநீபலந	منیبلن
மநோமய	منومی
மநோரஂஜநா	منورنجنا
மநோரமா	منورما
மந்மத	منمت
மந்யு	منیو
மம்தா	ممتا
மயூர	میور
மரேஷ	مریش
மஹாஜ	مهاج
மஹாதீ	مهاتی
மஹாதேஜ	مهاتیج
மஹாதேஜஸ	مهاتیجس
மஹாத்மா	مهاتما
