# Territory names from CLDR
অ্যাসসেনশন আইল্যান্ড	अ्याससेनशन आइल्यान्ड
ব্রিটিশ ভারত মহাসাগরীয় অঞ্চল	ब्रिटिश भारत महासागरीय़ अञ्चल
ইরাক	इराक
ইরান	इरान
আইসল্যান্ড	आइसल्यान्ड
ইতালী	इताली
জার্সি	जार्सि
জামাইকা	जामाइका
জর্ডন	जर्डन
জাপান	जापान
কেনিয়া	केनिय़ा
কির্গিজিয়া	किर्गिजिय़ा
কম্বোডিয়া	कम्बोडिय़ा
কিরিবাতি	किरिबाति
কমোরোস	कमोरोस
সেন্ট কিটস ও নেভিস	सेन्ट किटस ओ नेभिस
উত্তর কোরিয়া	उत्तर कोरिय़ा
দক্ষিণ কোরিয়া	दक्षिण कोरिय़ा
কুয়েত	कुय़ेत
কেম্যান দ্বীপপুঞ্জ	केम्यान द्बीपपुञ्ज
কাজাখস্তান	काजाखस्तान
লাওস	लाओस
লেবানন	लेबानन
সেন্ট লুসিয়া	सेन्ट लुसिय़ा
লিচেনস্টেইন	लिचेनस्टेइन
শ্রীলঙ্কা	श्रीलङ्का
লাইবেরিয়া	लाइबेरिय़ा
লেসোথো	लेसोथो
লিথুয়ানিয়া	लिथुय़ानिय़ा
লাক্সেমবার্গ	लाक्सेमबार्ग
লাত্ভিয়া	लात्भिय़ा
লিবিয়া	लिबिय़ा
মোরক্কো	मोरक्को
মোনাকো	मोनाको
মোল্দাভিয়া	मोल्दाभिय़ा
মন্টিনিগ্রো	मन्टिनिग्रो
সেন্ট মার্টিন	सेन्ट मार्टिन
মাদাগাস্কার	मादागास्कार
মার্শাল দ্বীপপুঞ্জ	मार्शाल द्बीपपुञ्ज
ম্যাসাডোনিয়া	म्यासाडोनिय़ा
মেসিডোনিয়া(FYROM)	मेसिडोनिय़ा(FYROM)
মালি	मालि
মায়ানমার (বার্মা)	माय़ानमार (बार्मा)
মঙ্গোলিয়া	मङ्गोलिय़ा
ম্যাকাও এস এ আর চায়না	म्याकाओ एस ए आर चाय़ना
ম্যাকাও	म्याकाओ
উত্তরাঞ্চলীয় মারিয়ানা দ্বীপপুঞ্জ	उत्तराञ्चलीय़ मारिय़ाना द्बीपपुञ्ज
মার্টিনিক	मार्टिनिक
মরিতানিয়া	मरितानिय़ा
মন্টসেরাট	मन्टसेराट
মাল্টা	माल्टा
মরিশাস	मरिशास
মালদ্বীপ	मालद्बीप
মালাউই	मालाउइ
মেক্সিকো	मेक्सिको
মালয়েশিয়া	मालय़ेशिय़ा
মোজাম্বিক	मोजाम्बिक
নামিবিয়া	नामिबिय़ा
নিউ ক্যালেডোনিয়া	निउ क्यालेडोनिय़ा
নাইজার	नाइजार
নিরফোক দ্বীপ	निरफोक द्बीप
নাইজেরিয়া	नाइजेरिय़ा
নিকারাগুয়া	निकारागुय़ा
নেদারল্যান্ডস	नेदारल्यान्डस
নরওয়ে	नरओय़े
নেপাল	नेपाल
নাউরু	नाउरु
নিউয়ে	निउय़े
নিউজিল্যান্ড	निउजिल्यान्ड
ওমান	ओमान
পানামা	पानामा
পিরু	पिरु
ফরাসী পলিনেশিয়া	फरासी पलिनेशिय़ा
পাপুয়া নিউ গিনি	पापुय़ा निउ गिनि
ফিলিপাইন	फिलिपाइन
পাকিস্তান	पाकिस्तान
পোল্যান্ড	पोल्यान्ड
সেন্ট পিয়ের ও মিকুয়েলন	सेन्ट पिय़ेर ओ मिकुय़ेलन
পিটকেয়ার্ন দ্বীপপুঞ্জ	पिटकेय़ार्न द्बीपपुञ्ज
পুয়ের্তো রিকো	पुय़ेर्तो रिको
ফিলিস্তিন অঞ্চলসমূহ	फिलिस्तिन अञ्चलसमूह
ফিলিস্তিন	फिलिस्तिन
পর্তুগাল	पर्तुगाल
পালাউ	पालाउ
প্যারাগুয়ে	प्यारागुय़े
কাতার	कातार
আউটলাইনিং ওসানিয়া	आउटलाइनिं ओसानिय़ा
রিইউনিয়ন	रिइउनिय़न
রুমানিয়া	रुमानिय़ा
সার্বিয়া	सार्बिय़ा
রাশিয়া	राशिय़ा
রুয়ান্ডা	रुय़ान्डा
সৌদি আরব	सौदि आरब
সলোমন দ্বীপপুঞ্জ	सलोमन द्बीपपुञ्ज
সিসিলি	सिसिलि
সুদান	सुदान
সুইডেন	सुइडेन
সিঙ্গাপুর	सिङ्गापुर
সেন্ট হেলেনা	सेन्ट हेलेना
স্লোভানিয়া	स्लोभानिय़ा
স্বালবার্ড ও জান মেয়েন	स्बालबार्ड ओ जान मेय़ेन
শ্লোভাকিয়া	श्लोभाकिय़ा
সিয়েরালিওন	सिय़ेरालिओन
সান মারিনো	सान मारिनो
সেনেগাল	सेनेगाल
সোমালিয়া	सोमालिय़ा
সুরিনাম	सुरिनाम
দক্ষিন সুদান	दक्षिन सुदान
সাওটোমা ও প্রিন্সিপি	साओटोमा ओ प्रिन्सिपि
এল সালভেদর	एल सालभेदर
সিন্ট মার্টেন	सिन्ट मार्टेन
সিরিয়া	सिरिय़ा
সোয়াজিল্যান্ড	सोय़ाजिल्यान्ड
ট্রিস্টান ডা কুনহা	ट्रिस्टान डा कुनहा
তুর্কস ও কাইকোস দ্বীপপুঞ্জ	तुर्कस ओ काइकोस द्बीपपुञ्ज
চাদ	चाद
ফরাসী দক্ষিণাঞ্চল	फरासी दक्षिणाञ्चल
টোগো	टोगो
থাইল্যান্ড	थाइल्यान्ड
তাজিকস্থান	ताजिकस्थान
টোকেলাউ	टोकेलाउ
তিমুর-লেস্তে	तिमुर-लेस्ते
পূর্ব তিমুর	पूर्ब तिमुर
তুর্কমেনিস্তান	तुर्कमेनिस्तान
তিউনিশিয়া	तिउनिशिय़ा
টোঙ্গা	टोङ्गा
তুরস্ক	तुरस्क
ত্রিনিনাদ ও টোব্যাগো	त्रिनिनाद ओ टोब्यागो
টুভালু	टुभालु
তাইওয়ান	ताइओय़ान
তাঞ্জানিয়া	ताञ्जानिय़ा
ইউক্রেইন	इउक्रेइन
উগান্ডা	उगान्डा
যুক্তরাষ্ট্রের পার্শ্ববর্তী দ্বীপপুঞ্জ	युक्तराष्ट्रेर पार्श्बबर्ती द्बीपपुञ्ज
মার্কিন যুক্তরাষ্ট্র	मार्किन युक्तराष्ट्र
ইউ এস	इउ एस
উরুগুয়ে	उरुगुय़े
উজবেকিস্তান	उजबेकिस्तान
ভ্যাটিকান সিটি	भ्याटिकान सिटि
সেন্ট ভিনসেন্ট ও দ্যা গ্রেনাডিনস	सेन्ट भिनसेन्ट ओ द्या ग्रेनाडिनस
ভেনেজুয়েলা	भेनेजुय़ेला
ব্রিটিশ ভার্জিন দ্বীপপুঞ্জ	ब्रिटिश भार्जिन द्बीपपुञ्ज
মার্কিন ভার্জিন দ্বীপপুঞ্জ	मार्किन भार्जिन द्बीपपुञ्ज
ভিয়েতনাম	भिय़ेतनाम
ভানুয়াটু	भानुय़ाटु
ওয়ালিস ও ফুটুনা	ओय़ालिस ओ फुटुना
সামোয়া	सामोय़ा
কসোভো	कसोभो
ইয়েমেন	इय़ेमेन
মায়োত্তে	माय़ोत्ते
দক্ষিণ আফ্রিকা	दक्षिण आफ्रिका
জাম্বিয়া	जाम्बिय़ा
জিম্বাবোয়ে	जिम्बाबोय़े
অজানা স্থান	अजाना स्थान
