# Baby names
ਅਂਗਦ	انجد
ਉਪਕਿਰਤ	وبكیرت
ਉਪਜਿਤ	وبجیت
ਉਪਨਿਤ	وبنیت
ਉਪੀਨਦੇਰ੍ਪ੍ਰਿਤ	وبیندیربریت
ਉਪੇਨ੍ਦੇਰ	وبیندیر
ਉਮੀਦ	ومید
ਊਤ੍ਤਮ੍ਗਿਆਨ	وتتمجیآن
ਏਕਂਕਰ	یكنكر
ਏਕਬੀਰ	یكبیر
ਏਕਮ	یكم
ਏਕਮਪੂਜ	یكمبوج
ਏਕਮਬੀਰ	یكمبیر
ਏਕਮ੍ਜੋਤ	یكمجوت
ਏਕਮ੍ਰੂਪ	یكمروب
ਏਕਾਨਪ੍ਰੀਤ	یكانبریت
ਏਕ੍ਕਾਮ	یككام
ਏਤੀਬਾਰ	یتیبار
ਏਤ੍ਤਲੀਨ	یتتلین
ਏਰਸ਼ੀਨ	یرسین
ਏਵੇਨਿਤ	یوینیت
ਏਸ਼ਨਾ	یسنا
ਏਸ਼੍ਵਰ	یسور
ਓਨਕਾਰ੍ਜਿਤ	اونكارجیت
ਓਨਕਾਰ੍ਜੀਤ	اونكارجیت
ਓਨਕਾਰ੍ਪ੍ਰਿਤ	اونكاربریت
ਓਮਪ੍ਰਿਤ	اومبریت
ਕਂਵਲ	كنول
ਕਂਵਲਜੀਤ	كنولجیت
ਕਨਵਾਰ੍ਜਾਗਤ	كنوارجاجت
ਕਨਵਾਰ੍ਜਿਤ	كنوارجیت
ਕਨਵਾਰ੍ਪ੍ਰੇਮ	كنواربریم
ਕਨਵਾਲ੍ਜੋਤ	كنوالجوت
ਕਨਵਾਲ੍ਨੈਨ	كنوالناین
ਕਨਵਾਲ੍ਪਾਲ	كنوالبال
ਕਨਵਾਲ੍ਪ੍ਰੇਮ	كنوالبریم
ਕਨਵਾਲ੍ਬੀਰ	كنوالبیر
ਕਨਵਾਲ੍ਰੂਪ	كنوالروب
ਕਨ੍ਚਨ੍ਦੀਪ	كنتشندیب
ਕਨ੍ਚਾਨ੍ਪਾਲ	كنتشانبال
ਕਨ੍ਵਾਰਪਾਲ	كنواربال
ਕਮਾਲ੍ਲਾ	كماللا
ਕਰਨਦੀਪ	كرندیب
ਕਰਨਪਾਲ	كرنبال
ਕਰਨਪ੍ਰਿਤ	كرنبریت
ਕਰਨਰੂਪ	كرنروب
ਕਰਮਪਲ	كرمبل
ਕਰਮਪੁਲ	كرمبول
ਕਰਮ੍ਜੋਤ	كرمجوت
ਕਰੁਨ੍ਯਾ	كرونیا
ਕਲਬੀਰ	كلبیر
ਕਲਾਜੋਤ	كلاجوت
ਕਲਾਪ੍ਰੇਮ	كلابریم
ਕਵਨਿਤ	كونیت
ਕਵਨੀਰ	كونیر
ਕਵਾਲ੍ਨਾਨ	كوالنان
ਕਵਿਰਾਜ	كویراج
ਕਸਮ	كسم
ਕਾਨਵਾਲੀਨ੍ਦੇਰ	كانوالیندیر
ਕਾਮਾਂਲਜੋਤ	كامانلجوت
ਕਾਮਾਂਲਮਿਤ	كامانلمیت
ਕਾਮਾਂਲਮੋਹਨ	كامانلموهن
ਕਾਮਾਂਲ੍ਪਤਿ	كامانلبتی
ਕਾਰਮਨ	كارمن
ਕਾਵਾਲਪ੍ਰਿਤ	كاوالبریت
ਕਿਰਣਜੀਤ	كیرنجیت
ਕਿਰਨਰੂਪ	كیرنروب
ਕਿਰਨਸੁਖ	كیرنسوكه
ਕਿਸ਼ੇਨ	كیسین
ਕੁਂਵਰਜੀਤ	كونورجیت
ਕੁਲ	كول
ਕੁਲਜੋਤ	كولجوت
ਕੁਲਮਿਤ	كولمیت
ਕੁਲਰਾਤਨ	كولراتن
ਕੁਲਰੂਪ	كولروب
ਕੁਲਵਂਠ	كولونطه
ਕੁਸ਼ਪ੍ਰਿਤ	كوسبریت
ਕੇਵਾਲਦੀਪ	كیوالدیب
ਕੇਵਾਲਬੀਰ	كیوالبیر
ਕੋਉਰ	كوور
ਕੋਮਾਂਲਜੀਤ	كومانلجیت
ਕੋਮਾਂਲਪ੍ਰੇਮ	كومانلبریم
ਕੋਮਾਲਦੀਪ	كومالدیب
ਕੋਮਾਲਮਿਤ	كومالمیت
ਕੌਰ	كاور
ਕ੍ਰਿਸ਼੍ਦੀਪ	كریسدیب
ਕ੍ਸ਼ਾਗਨ	كساجن
ਕ੍ਸ਼ਾਗਰ	كساجر
ਕ੍ਸ਼ਿਤਿਜ	كسیتیج
ਕ੍ਸ਼੍ਹੀਮ	كسهیم
ਖਰਗ	كهرج
ਖਾਲਾਕ੍ਵੀਰ	كهالاكویر
ਖੁਂਸ਼ਜੋਤ	كهونسجوت
ਖੁਸ	كهوس
ਖੁਸ਼	كهوس
ਖੁਸ਼ਜੀਤ	كهوسجیت
ਖੇਮਵਂਤ	كهیمونت
ਗਗਨ	ججن
ਗਗਨਜੀਵ	ججنجیو
ਗਗਨਜੋਤ	ججنجوت
ਗਗਨਪ੍ਰਿਤ	ججنبریت
ਗਗਨਮਿਤ	ججنمیت
ਗਤਲੀਨ	جتلین
ਗਤਸ਼ਰਣ	جتسرن
ਗਤਸੀਮਾਰ	جتسیمار
ਗਰੀਨ੍ਦੇਰ	جریندیر
ਗਰ੍ਗੋਤ	جرجوت
ਗਾਤਨੀਵਾਸ	جاتنیواس
ਗਿਅਨ	جیان
ਗੀਂਜੀਵਨ	جینجیون
ਗੀਂਰਾਤਨ	جینراتن
ਗੀਂਲੀਨ	جینلین
ਗੀਅਂਗੀਤ	جیانجیت
ਗੀਅਂਚੇਤਨ	جیانتشیتن
ਗੀਅਂਜੋਤ	جیانجوت
ਗੀਅਂਪ੍ਰਿਤ	جیانبریت
ਗੀਅਂਰੂਪ	جیانروب
ਗੀਅਨੀਨਦੇਰ	جیانیندیر
ਗੀਅਨ੍ਬੀਰ	جیانبیر
ਗੀਆਨਪ੍ਰਿਤ	جیآنبریت
ਗੀਆਨਲੀਨ	جیآنلین
ਗੀਤ	جیت
ਗੀਤਲੀਨ	جیتلین
ਗੀਤੀਨਦੇਰ	جیتیندیر
ਗੁਣਿਤ	جونیت
ਗੁਨ ਦਾਤ	جون دات
ਗੁਨਕਿਰਤ	جونكیرت
ਗੁਨਜਸ	جونجس
ਗੁਨਜਿਤ	جونجیت
ਗੁਨਜੀਵਨ	جونجیون
ਗੁਨਜੁਨ	جونجون
ਗੁਨਜੋਤ	جونجوت
ਗੁਨਪ੍ਰਿਤ	جونبریت
ਗੁਨਮਿਤ	جونمیت
ਗੁਨਰਾਜ	جونراج
ਗੁਨਸ਼ਾਂਤ	جونسانت
ਗੁਨਾਤਮ	جوناتم
ਗੁਨਿਤਪੁਲ	جونیتبول
ਗੁਨਿਤਪ੍ਰਿਤ	جونیتبریت
ਗੁਨ੍ਰਿਤ	جونریت
ਗੁਰਕਮਲ਼	جوركمل
ਗੁਰਗਿਯਨ	جورجیین
ਗੁਰਜਾਸ	جورجاس
ਗੁਰਜੀਵਨ	جورجیون
ਗੁਰਜੋਗ	جورجوج
ਗੁਰਜੋਤ	جورجوت
ਗੁਰਝੀਲ	جورجهیل
ਗੁਰਤਰਣ	جورترن
ਗੁਰਤਿਰਥ	جورتیرته
ਗੁਰਦਰ੍ਸ਼ਨ	جوردرسن
ਗੁਰਦਿਤ	جوردیت
ਗੁਰਦੀਤ੍ਤਾ	جوردیتتا
ਗੁਰਦ੍ਵੀਪ	جوردویب
ਗੁਰਨਾਦ	جورناد
ਗੁਰਨਾਮਾਸ੍ਕਾਰ	جورناماسكار
ਗੁਰਨੀਧ	جورنیده
ਗੁਰਨੀਰ੍ਮਾਲ	جورنیرمال
ਗੁਰਨੀਸ਼ਾਨ	جورنیسان
ਗੁਰਨ੍ਯਮ	جورنیم
ਗੁਰਪਰ੍ਵਿਨ	جوربروین
ਗੁਰਪੀਨਦੇਰ	جوربیندیر
ਗੁਰਪ੍ਰੀਤਮ	جوربریتم
ਗੁਰਬਕ੍ਸ਼	جوربكس
ਗੁਰਬਲੀਹਾਰ	جوربلیهار
ਗੁਰਬੀਨ੍ਦੇਰ	جوربیندیر
ਗੁਰਬੀਰ	جوربیر
ਗੁਰਭਜਨ	جوربهجن
ਗੁਰਭਾਗਤ	جوربهاجت
ਗੁਰਮਾਰ	جورمار
ਗੁਰਮਾਹੇਰ	جورماهیر
ਗੁਰਮੁਖ	جورموكه
ਗੁਰਮੇਹਾਰ	جورمیهار
ਗੁਰਮੈਲ	جورمایل
ਗੁਰਮ੍ਰਿਤ	جورمریت
ਗੁਰਲੋਚਨ	جورلوتشن
ਗੁਰਵਿਂਦਰ	جورویندر
ਗੁਰਵੀਨ੍ਦੇਰ	جورویندیر
ਗੁਰਵੀਰ	جورویر
ਗੁਰਸਨ੍ਦੀਪ	جورسندیب
ਗੁਰਸ਼ਾਨ	جورسان
ਗੁਰਸੁਖ	جورسوكه
ਗੁਰਸੇਵ	جورسیو
ਗੁਰਹਾਰ੍ਪਾਲ	جورهاربال
ਗੁਰਿਂਦਰ	جوریندر
ਗੁਰੀਨਦੇਰ੍ਪਾਲ	جوریندیربال
ਗੁਰੁਕਾਰ	جوروكار
ਗੁਰੁਗੁਲ੍ਝਾਰ	جوروجولجهار
ਗੁਰੁਚਰਣ	جوروتشرن
ਗੁਰੁਦਰ੍ਸ਼ਨ	جورودرسن
ਗੁਰੁਦਾਸ	جوروداس
ਗੁਰੁਦੀਪ	جورودیب
ਗੁਰੁਪ੍ਰੇਮ	جوروبریم
ਗੁਰੁਬੀਰ	جوروبیر
ਗੁਰੁਮਾਂਨ੍ਦੀਰ	جورومانندیر
ਗੁਰੁਸੀਮ੍ਰਣ	جوروسیمرن
ਗੁਰ੍ਕੀਰਣ	جوركیرن
ਗੁਰ੍ਕੀਰਪਾਲ	جوركیربال
ਗੁਰ੍ਚਾਰਾਨ੍ਜੋਤ	جورتشارانجوت
ਗੁਰ੍ਜਨਪਾਲ	جورجنبال
ਗੁਰ੍ਜੁ	جورجو
ਗੁਰ੍ਤੇਜ	جورتیج
ਗੁਰ੍ਨੀਵਾਝ	جورنیواجه
ਗੁਰ੍ਨੂਰ	جورنور
ਗੁਰ੍ਪ੍ਰਿਤੀ	جوربریتی
ਗੁਰ੍ਮੀਤ	جورمیت
ਗੁਰ੍ਮੀਨਦੇਰ	جورمیندیر
ਗੁਰ੍ਮੁਖਨੀਹਲ	جورموكهنیهل
ਗੁਰ੍ਸ਼ਣ	جورسن
ਗੁਰ੍ਸ਼ਾਂਤ	جورسانت
ਗੁਰ੍ਸ਼ੀਲ	جورسیل
ਗੁਰ੍ਸਾਹੇਬ	جورساهیب
ਗੁਲਦੀਪ	جولدیب
ਗੁਲਵਂਤ	جولونت
ਗੁਲਸ਼ਾਨ੍ਰੂਪ	جولسانروب
ਗੁਲ੍ਵਾਨ੍ਤਪ੍ਰਿਤ	جولوانتبریت
ਗੁਲ੍ਸ਼ਾਨਪ੍ਰਿਤ	جولسانبریت
ਗੁਲ੍ਸ਼ਾਨਮਿਤ	جولسانمیت
ਗੋਪਲਪ੍ਰਿਤ	جوبلبریت
ਗੋਬਿਂਦ	جوبیند
ਗੋਬੀਨਦੇਰ	جوبیندیر
ਗੋਬੀਨਦੇਰ੍ਜਿਤ	جوبیندیرجیت
ਗੋਬੀਨ੍ਦਰਾਈ	جوبیندراإ
ਗੌਰਵ੍ਪ੍ਰਿਤ	جاوروبریت
ਘਮਾਂਨਦ੍ਜਿਤ	جهمانندجیت
ਘਮਾਂਨਦ੍ਪਾਲ	جهمانندبال
ਚਂਚਲਜਿਤ	تشنتشلجیت
ਚਂਚਲ੍ਪ੍ਰੀਤ	تشنتشلبریت
ਚਂਦਨ	تشندن
ਚਂਦਨਦੀਪ	تشندندیب
ਚਮਕੌਰ	تشمكاور
ਚਮਨਜਿਤ	تشمنجیت
ਚਮਨਪ੍ਰਿਤ	تشمنبریت
ਚਮਨਰੂਪ	تشمنروب
ਚਰਨਕਾਨ੍ਵਾਲ	تشرنكانوال
ਚਰਨਜੋਤ /ਚਰਨਜ੍ਯੋਤ	تشرنجوت /تشرنجیوت
ਚਰਨਪ੍ਰੇਮ	تشرنبریم
ਚਾਂਦ	تشاند
ਚਿਤਰਾਮਣ	تشیترامن
ਚਿਤਸਰੂਪ	تشیتسروب
ਚੀਤਪ੍ਰਿਤ	تشیتبریت
ਚੇਤਨ੍ਦੀਪ	تشیتندیب
ਜਗਜੀਤ	جججیت
ਜਗਜੀਵ	جججیو
ਜਗਜੀਵਨ	جججیون
ਜਗਤਜੀਤ	ججتجیت
ਜਗਤਪ੍ਰੇਮ	ججتبریم
ਜਗਤਰਣ	ججترن
ਜਗਤਰੂਪ	ججتروب
ਜਗਨ	ججن
ਜਗਪਾਲ	ججبال
ਜਗਪ੍ਰਿਤ	ججبریت
ਜਗਪ੍ਰੇਮ	ججبریم
ਜਗਮਿਤ	ججمیت
ਜਗਮੇਹਾਰ	ججمیهار
ਜਗਮੋਹਨ	ججموهن
ਜਗਰਾਜ	ججراج
ਜਗਰੂਪ	ججروب
ਜਗਵੀਨ੍ਦੇਰ	ججویندیر
ਜਗਵੀਰ	ججویر
ਜਗੀਨਦੇਰ	ججیندیر
ਜਗੀਨ੍ਦੇਰਪਾਲ	ججیندیربال
ਜਗ੍ਵੀਰ	ججویر
ਜਘ੍ਰ	ججهر
ਜਤੀਨਦੇਰ੍ਜਿਤ	جتیندیرجیت
ਜਤੀਨਦੇਰ੍ਬੀਰ	جتیندیربیر
ਜਤੀਨਦੇਰ੍ਮਿਤ	جتیندیرمیت
ਜਨਜਿਤ	جنجیت
ਜਨਜੋਤ	جنجوت
ਜਨਪ੍ਰਿਤ	جنبریت
ਜਨਰਾਜ	جنراج
ਜਨਿਸ਼	جنیس
ਜਪਜਿਤ	جبجیت
ਜਪਧਾਰਾਮ	جبدهارام
ਜਪਧਿਰ	جبدهیر
ਜਪਨਾਮ	جبنام
ਜਪਸ਼ੇਰ	جبسیر
ਜਪੁਜੀ	جبوجی
ਜਬਰਜਂਗ	جبرجنج
ਜਮੀਲ	جمیل
ਜਯਂਸ਼	جینس
ਜਯਪਾਲ	جیبال
ਜਰ੍ਨੈਲ	جرنایل
ਜਲਿਨ੍ਦ੍ਰ	جلیندر
ਜਲ੍ਬੀਰ	جلبیر
ਜਸਂਜੋਤ	جسنجوت
ਜਸਂਪਾਲ	جسنبال
ਜਸਂਮਿਤ	جسنمیت
ਜਸਕੀਰਣ	جسكیرن
ਜਸਗੁਰ੍ਕੀਰ੍ਤਤ	جسجوركیرتت
ਜਸਜੀਨ੍ਦੇਰ	جسجیندیر
ਜਸਜੀਵਨ	جسجیون
ਜਸਜੋਤ	جسجوت
ਜਸਤਰਣ	جسترن
ਜਸਨਾਮ	جسنام
ਜਸਪਾਲ (ਪੁਲ )	جسبال (بول )
ਜਸਬੀਰ	جسبیر
ਜਸਭੂਪ	جسبهوب
ਜਸਮਿਂਦਰ	جسمیندر
ਜਸਮੋਹਨ	جسموهن
ਜਸਰੂਪ	جسروب
ਜਸ੍ਕਰਣ	جسكرن
ਜਸ੍ਕੀਰਿਤ	جسكیریت
ਜਸ੍ਕੀਰ੍ਪਲ	جسكیربل
ਜਸ੍ਗੁਨ	جسجون
ਜਸ੍ਮਿਤ	جسمیت
ਜਸ੍ਮੀਨਪ੍ਰਿਤ	جسمینبریت
ਜਸ੍ਰਜਪ੍ਰਿਤ	جسرجبریت
ਜਸ੍ਸੀ	جسسی
ਜਾਗ	جاج
ਜਾਗਰੀਤ	جاجریت
ਜਾਤਵਂਤ	جاتونت
ਜਾਤਿਨਦੇਰ੍ਦੀਪ	جاتیندیردیب
ਜਾਨਾਕਪ੍ਰਿਤ	جاناكبریت
ਜਾਪਮਾਨ	جابمان
ਜਾਸਨਿਤ	جاسنیت
ਜਾਸ਼ਾਨਪ੍ਰਿਤ	جاسانبریت
ਜਾਸ੍ਮੀਲ	جاسمیل
ਜੀਵਨਦੀਪ ; ਜੀਵਨਦੀਪ ; ਜੀਵਨਦੀਪ	جیوندیب ; جیوندیب ; جیوندیب
ਜੀਵਨਪਲ	جیونبل
ਜੀਵਨਪ੍ਰਿਤ	جیونبریت
ਜੀਵਾਨਬੀਰ	جیوانبیر
ਜੁਗਦ	جوجد
ਜੁਪੀਨਦੇਰਦੀਪ	جوبیندیردیب
ਜੁਪੀਨਦੇਰ੍ਬੀਰ	جوبیندیربیر
ਜੁਸਜਿਤ	جوسجیت
ਜੁਸਪੁਲ	جوسبول
ਜੁਸਮੈਲ	جوسمایل
ਜੇਬਾ	جیبا
ਜੇਸਪਾਲ	جیسبال
ਜੈਕਾਰ	جایكار
ਜੈਪ੍ਰਜ	جایبرج
ਜੈਪ੍ਰਤਨ	جایبرتن
ਜੈਬੀਰ	جایبیر
ਜੈਸਂਗਤ	جایسنجت
ਜੈਸੁਖਬੀਰ	جایسوكهبیر
ਜੋਗਧੀਆਨ	جوجدهیآن
ਜੋਗਪ੍ਰਕਾਸ਼	جوجبركاس
ਜੋਗੀਨਦੇਰ੍ਬੀਰ	جوجیندیربیر
ਜੋਗੀਨਦੇਰ੍ਮਿਤ	جوجیندیرمیت
ਜੋਗੇਨਦੇਰ	جوجیندیر
ਜੋਤਪ੍ਰਕਾਸ਼	جوتبركاس
ਜੋਬਨਰੂਪ	جوبنروب
ਜੋਹਾਰ	جوهار
ਜ੍ਞਾਨਜਿਤ	جنانجیت
ਜ੍ਞਾਨਜੋਤ	جنانجوت
ਜ੍ਞਾਨਪ੍ਰਿਤ	جنانبریت
ਜ੍ਞਾਨਰੂਪ	جنانروب
ਜ੍ਞਾਨਵੀਰ	جنانویر
ਜ੍ਞਾਨੇਨ੍ਦੇਰ	جنانیندیر
ਜ੍ਹਮਕ	جهمك
ਜ੍ਹਾਗਰ	جهاجر
ਝਈਤੂਨ	جهإتون
ਝਹਾਗਨ	جههاجن
ਝਾਮੀਨਾਹ	جهامیناه
ਝੀਤੁਨ	جهیتون
ਝੀਲ	جهیل
ਝੁਲਾਖਾ	جهولاكها
ਝੁਲ੍ਫਾ	جهولبها
ਝੇਬਵਂਤ	جهیبونت
ਝੋਰਾਵਾਰ	جهوراوار
ਟੇਇਜਿਨ੍ਦੇਰ	طیإجیندیر
ਤਕਦੀਰ	تكدیر
ਤਖਤ	تكهت
ਤਤਜੋਗ	تتجوج
ਤਤਬੀਰ	تتبیر
ਤਤਵਿਚਾਰ	تتویتشار
ਤਤ੍ਰਾਤਨ	تتراتن
ਤਦਬੀਰ	تدبیر
ਤਨਦੀਪ	تندیب
ਤਨਵੀਰ	تنویر
ਤਮਨ੍ਪ੍ਰਿਤ	تمنبریت
ਤਰਣਵੀਰ	ترنویر
ਤਰਲੋਚਨ	ترلوتشن
ਤਰਸੇਮ	ترسیم
ਤਰੁਨਜਿਤ	ترونجیت
ਤਲਵਿਨ	تلوین
ਤਾਜਦਾਰ	تاجدار
ਤਾਜੀਨਦੇਰ੍ਦੀਪ	تاجیندیردیب
ਤਾਜੀਨਦੇਰ੍ਪ੍ਰੇਮ	تاجیندیربریم
ਤਾਨੁਪ੍ਰਿਤ	تانوبریت
ਤਾਪਨਪਾਲ	تابنبال
