# Territory names from CLDR
ఎసెషన్ దీవి	એસેષન્ દીવિ
కజకస్తాన్	કજકસ્તાન્
లావోస్	લાવોસ્
లెబనాన్	લેબનાન્
సెంట్ లూసియా	સેંટ્ લૂસિયા
లిక్టెస్టేన్	લિક્ટેસ્ટેન્
శ్రీలంక	શ્રીલંક
లైబీరియా	લૈબીરિયા
లెసోతో	લેસોતો
లిథువేనియా	લિથુવેનિયા
లక్సంబర్గ్	લક્સંબર્ગ્
లాత్వియా	લાત્વિયા
లిబియా	લિબિયા
మొరాక్కో	મોરાક્કો
మొనాకో	મોનાકો
మోల్డోవా	મોલ્ડોવા
మోంటేనేగ్రో	મોંટેનેગ્રો
సెంట్ మార్టిన్	સેંટ્ માર્ટિન્
మడగాస్కర్	મડગાસ્કર્
మార్షల్ దీవులు	માર્ષલ્ દીવુલુ
మేసిడోనియా	મેસિડોનિયા
మేసిడోనియా (FYROM)	મેસિડોનિયા (FYROM)
మాలి	માલિ
మయన్మార్ (బర్మా)	મયન્માર્ (બર્મા)
మంగోలియా	મંગોલિયા
మాకావ్ ఎస్ఏఆర్ చైనా	માકાવ્ એસ્એઆર્ ચૈના
మకావు	મકાવુ
ఉత్తర మరియానా దీవులు	ઉત્તર મરિયાના દીવુલુ
మార్టినిక్	માર્ટિનિક્
మౌరిటేనియా	મૌરિટેનિયા
మోంట్సేర్రాట్	મોંટ્સેર્રાટ્
మాల్టా	માલ્ટા
మారిషస్	મારિષસ્
మాల్దీవులు	માલ્દીવુલુ
మాలావి	માલાવિ
మెక్సికో	મેક્સિકો
మలేషియా	મલેષિયા
మొజాంబిక్	મોજાંબિક્
నమీబియా	નમીબિયા
క్రొత్త కాలెడోనియా	ક્રોત્ત કાલેડોનિયા
నైజర్	નૈજર્
నార్ఫాక్ దీవి	નાર્ફાક્ દીવિ
నైజీరియా	નૈજીરિયા
నికరాగువా	નિકરાગુવા
నెదర్లాండ్స్	નેદર્લાંડ્સ્
నార్వే	નાર્વે
నేపాల్	નેપાલ્
నౌరు	નૌરુ
నియు	નિયુ
న్యూజిలాండ్	ન્યૂજિલાંડ્
ఒమన్	ઓમન્
పనామా	પનામા
పెరూ	પેરૂ
ఫ్రెంచ్ పోలినిషియా	ફ્રેંચ્ પોલિનિષિયા
పాపువా న్యు గినియా	પાપુવા ન્યુ ગિનિયા
ఫిలిప్పీన్స్	ફિલિપ્પીન્સ્
పాకిస్తాన్	પાકિસ્તાન્
పోలాండ్	પોલાંડ્
సెంట్ పియెర్ మరియు మికెలాన్	સેંટ્ પિયેર્ મરિયુ મિકેલાન્
పిట్‌కెయిర్న్ దీవులు	પિટ્‌કેયિર્ન્ દીવુલુ
ఫ్యూర్టో రికో	ફ્યૂર્ટો રિકો
పాలస్తీనియన్ ప్రాంతాలు	પાલસ્તીનિયન્ પ્રાંતાલુ
పాలస్తీనా	પાલસ્તીના
పోర్చుగల్	પોર્ચુગલ્
పలావు	પલાવુ
పరాగ్వే	પરાગ્વે
కతర్	કતર્
ఒషీనియా బయటున్నవి	ઓષીનિયા બયટુન્નવિ
రియూనియన్	રિયૂનિયન્
రోమానియా	રોમાનિયા
సెర్బియా	સેર્બિયા
రష్యా	રષ્યા
రువాండా	રુવાંડા
సౌదీ అరేబియా	સૌદી અરેબિયા
సోలమన్ దీవులు	સોલમન્ દીવુલુ
సీషెల్స్	સીષેલ્સ્
సూడాన్	સૂડાન્
స్వీడన్	સ્વીડન્
సింగపూర్	સિંગપૂર્
సెంట్ హెలినా	સેંટ્ હેલિના
స్లోవేనియా	સ્લોવેનિયા
స్వాల్బార్డ్ మరియు యాన్ మాయేన్	સ્વાલ્બાર્ડ્ મરિયુ યાન્ માયેન્
స్లోవేకియా	સ્લોવેકિયા
సియెర్రా లియాన్	સિયેર્રા લિયાન્
సాన్ మారినో	સાન્ મારિનો
సెనెగల్	સેનેગલ્
సోమాలియా	સોમાલિયા
సురినామ్	સુરિનામ્
దక్షిణ సూడాన్	દક્ષિણ સૂડાન્
సావోటోమ్ మరియు ప్రిన్సిపే	સાવોટોમ્ મરિયુ પ્રિન્સિપે
ఎల్ సాల్వడోర్	એલ્ સાલ્વડોર્
సింట్ మార్టెన్	સિંટ્ માર્ટેન્
సిరియా	સિરિયા
స్వాజిల్యాండ్	સ્વાજિલ્યાંડ્
ట్రిస్టన్ డ కన్హా	ટ્રિસ્ટન્ ડ કન્હા
తుర్క్ మరియు కాలికోస్ దీవులు	તુર્ક્ મરિયુ કાલિકોસ્ દીવુલુ
చాద్	ચાદ્
ఫ్రెంచ్ దక్షిణ ప్రాంతాలు	ફ્રેંચ્ દક્ષિણ પ્રાંતાલુ
టోగో	ટોગો
థాయిలాండ్	થાયિલાંડ્
తజికిస్తాన్	તજિકિસ્તાન્
టోకేలావ్	ટોકેલાવ્
టిమోర్-లెస్టె	ટિમોર્-લેસ્ટે
తూర్పు తైమూర్	તૂર્પુ તૈમૂર્
తుర్కమేనిస్తాన్	તુર્કમેનિસ્તાન્
ట్యునీషియా	ટ્યુનીષિયા
టోంగా	ટોંગા
టర్కీ	ટર્કી
ట్రినిడాడ్ మరియు టొబాగో	ટ્રિનિડાડ્ મરિયુ ટોબાગો
టువాలు	ટુવાલુ
తైవాన్	તૈવાન્
టాంజానియా	ટાંજાનિયા
ఉక్రెయిన్	ઉક્રેયિન્
ఉగాండా	ઉગાંડા
సంయుక్త రాజ్య అమెరికా బయట ఉన్న దీవులు	સંયુક્ત રાજ્ય અમેરિકા બયટ ઉન્ન દીવુલુ
అమెరికా సంయుక్త రాష్ట్రాలు	અમેરિકા સંયુક્ત રાષ્ટ્રાલુ
ఉరుగువే	ઉરુગુવે
ఉజ్బెకిస్తాన్	ઉજ્બેકિસ્તાન્
వాటికన్ నగరం	વાટિકન્ નગરં
సెంట్ విన్సెంట్ మరియు గ్రెనడీన్స్	સેંટ્ વિન્સેંટ્ મરિયુ ગ્રેનડીન્સ્
వెనుజువేలా	વેનુજુવેલા
బ్రిటిష్ వర్జిన్ దీవులు	બ્રિટિષ્ વર્જિન્ દીવુલુ
వియత్నాం	વિયત્નાં
వనాటు	વનાટુ
వాలిస్ మరియు ఫ్యుత్యునా	વાલિસ્ મરિયુ ફ્યુત્યુના
సమోవా	સમોવા
కొసోవో	કોસોવો
యెమెన్	યેમેન્
మాయొట్టి	માયોટ્ટિ
దక్షిణ ఆఫ్రికా	દક્ષિણ આફ્રિકા
జాంబియా	જાંબિયા
జింబాబ్వే	જિંબાબ્વે
తెలియని ప్రాంతం	તેલિયનિ પ્રાંતં
