# Territory names from CLDR
அஷன்ஷியன் தீவு	ಅಷನ್ಷಿಯನ್ ತೀವು
மியான்மார் (பர்மா)	ಮಿಯಾನ್ಮಾರ್ (ಪರ್ಮಾ)
மங்கோலியா	ಮಙ್ಕೋಲಿಯಾ
மகாவ் எஸ்ஏஆர் சீனா	ಮಕಾವ್ ಎಸ್ಏಆರ್ ಚೀನಾ
மகாவ்	ಮಕಾವ್
வடக்கு மரியானா தீவுகள்	ವಟಕ್ಕು ಮರಿಯಾನಾ ತೀವುಕಳ್
மார்டினிக்	ಮಾರ್ಟಿನಿಕ್
மௌரிடானியா	ಮೌರಿಟಾನಿಯಾ
மாண்ட்செராட்	ಮಾಣ್ಟ್ಚೆರಾಟ್
மால்டா	ಮಾಲ್ಟಾ
மொரிசியஸ்	ಮೊರಿಚಿಯಸ್
மாலத்தீவு	ಮಾಲತ್ತೀವು
மலாவி	ಮಲಾವಿ
மெக்சிகோ	ಮೆಕ್ಚಿಕೋ
மலேசியா	ಮಲೇಚಿಯಾ
மொசாம்பிக்	ಮೊಚಾಮ್ಪಿಕ್
நமீபியா	ನಮೀಪಿಯಾ
நியூ கேலிடோனியா	ನಿಯೂ ಕೇಲಿಟೋನಿಯಾ
நைஜர்	ನೈಜರ್
நார்ஃபோக் தீவுகள்	ನಾರ್ಃಪೋಕ್ ತೀವುಕಳ್
நைஜீரியா	ನೈಜೀರಿಯಾ
நிகரகுவா	ನಿಕರಕುವಾ
நெதர்லாந்து	ನೆತರ್ಲಾನ್ತು
நார்வே	ನಾರ್ವೇ
நேபாளம்	ನೇಪಾಳಮ್
நௌரு	ನೌರು
நியூ	ನಿಯೂ
நியூசிலாந்து	ನಿಯೂಚಿಲಾನ್ತು
ஓமன்	ಓಮನ್
பனாமா	ಪನಾಮಾ
பெரு	ಪೆರು
பிரெஞ்சு பாலினேஷியா	ಪಿರೆಞ್ಚು ಪಾಲಿನೇಷಿಯಾ
பப்புவா நியூ கினியா	ಪಪ್ಪುವಾ ನಿಯೂ ಕಿನಿಯಾ
பிலிப்பைன்ஸ்	ಪಿಲಿಪ್ಪೈನ್ಸ್
பாகிஸ்தான்	ಪಾಕಿಸ್ತಾನ್
போலந்து	ಪೋಲನ್ತು
செயின்ட் பியர் &amp; மிக்வேலான்	ಚೆಯಿನ್ಟ್ ಪಿಯರ್ &amp; ಮಿಕ್ವೇಲಾನ್
பிட்கெய்ர்ன் தீவுகள்	ಪಿಟ್ಕೆಯ್ರ್ನ್ ತೀವುಕಳ್
பியூர்டோ ரிகோ	ಪಿಯೂರ್ಟೋ ರಿಕೋ
பாலஸ்தீனிய பிரதேசங்கள்	ಪಾಲಸ್ತೀನಿಯ ಪಿರತೇಚಙ್ಕಳ್
பாலஸ்தீனம்	ಪಾಲಸ್ತೀನಮ್
போர்ச்சுக்கல்	ಪೋರ್ಚ್ಚುಕ್ಕಲ್
பாலோ	ಪಾಲೋ
பராகுவே	ಪರಾಕುವೇ
கத்தார்	ಕತ್ತಾರ್
வெளிப்புற ஓஷியானியா	ವೆಳಿಪ್ಪುಱ ಓಷಿಯಾನಿಯಾ
ரீயூனியன்	ರೀಯೂನಿಯನ್
ருமேனியா	ರುಮೇನಿಯಾ
செர்பியா	ಚೆರ್ಪಿಯಾ
ரஷ்யா	ರಷ್ಯಾ
ருவான்டா	ರುವಾನ್ಟಾ
சவூதி அரேபியா	ಚವೂತಿ ಅರೇಪಿಯಾ
சாலமன் தீவுகள்	ಚಾಲಮನ್ ತೀವುಕಳ್
சீஷெல்ஸ்	ಚೀಷೆಲ್ಸ್
சூடான்	ಚೂಟಾನ್
ஸ்வீடன்	ಸ್ವೀಟನ್
சிங்கப்பூர்	ಚಿಙ್ಕಪ್ಪೂರ್
செயின்ட் ஹெலெனா	ಚೆಯಿನ್ಟ್ ಹೆಲೆನಾ
ஸ்லோவேனியா	ಸ್ಲೋವೇನಿಯಾ
ஸ்வல்பார்டு &amp; ஜான் மேயன்	ಸ್ವಲ್ಪಾರ್ಟು &amp; ಜಾನ್ ಮೇಯನ್
ஸ்லோவாகியா	ಸ್ಲೋವಾಕಿಯಾ
சியாரா லியோன்	ಚಿಯಾರಾ ಲಿಯೋನ್
சான் மரினோ	ಚಾನ್ ಮರಿನೋ
செனெகல்	ಚೆನೆಕಲ್
சோமாலியா	ಚೋಮಾಲಿಯಾ
சுரினாம்	ಚುರಿನಾಮ್
தெற்கு சூடான்	ತೆಱ್ಕು ಚೂಟಾನ್
சாவ் தோம் &amp; ப்ரின்சிபி	ಚಾವ್ ತೋಮ್ &amp; ಪ್ರಿನ್ಚಿಪಿ
எல் சால்வடார்	ಎಲ್ ಚಾಲ್ವಟಾರ್
சின்ட் மார்டென்	ಚಿನ್ಟ್ ಮಾರ್ಟೆನ್
சிரியா	ಚಿರಿಯಾ
ஸ்வாஸிலாந்து	ಸ್ವಾಸಿಲಾನ್ತು
டிரிஸ்டன் டா குன்ஹா	ಟಿರಿಸ್ಟನ್ ಟಾ ಕುನ್ಹಾ
டர்க்ஸ் &amp; கைகோஸ் தீவுகள்	ಟರ್ಕ್ಸ್ &amp; ಕೈಕೋಸ್ ತೀವುಕಳ್
சாட்	ಚಾಟ್
பிரெஞ்சு தெற்கு பிரதேசங்கள்	ಪಿರೆಞ್ಚು ತೆಱ್ಕು ಪಿರತೇಚಙ್ಕಳ್
டோகோ	ಟೋಕೋ
தாய்லாந்து	ತಾಯ್ಲಾನ್ತು
தாஜிகிஸ்தான்	ತಾಜಿಕಿಸ್ತಾನ್
டோகேலோ	ಟೋಕೇಲೋ
தைமூர்-லெஸ்தே	ತೈಮೂರ್-ಲೆಸ್ತೇ
கிழக்கு தைமூர்	ಕಿೞಕ್ಕು ತೈಮೂರ್
துர்க்மெனிஸ்தான்	ತುರ್ಕ್ಮೆನಿಸ್ತಾನ್
டுனிசியா	ಟುನಿಚಿಯಾ
டோங்கா	ಟೋಙ್ಕಾ
துருக்கி	ತುರುಕ್ಕಿ
ட்ரினிடாட் &amp; டொபாகோ	ಟ್ರಿನಿಟಾಟ್ &amp; ಟೊಪಾಕೋ
துவாலூ	ತುವಾಲೂ
தைவான்	ತೈವಾನ್
தான்சானியா	ತಾನ್ಚಾನಿಯಾ
உக்ரைன்	ಉಕ್ರೈನ್
உகாண்டா	ಉಕಾಣ್ಟಾ
அமெரிக்கா	ಅಮೆರಿಕ್ಕಾ
யூஎஸ்	ಯೂಎಸ್
உருகுவே	ಉರುಕುವೇ
உஸ்பெகிஸ்தான்	ಉಸ್ಪೆಕಿಸ್ತಾನ್
வாடிகன் நகரம்	ವಾಟಿಕನ್ ನಕರಮ್
செயின்ட் வின்சென்ட் &amp; கிரெனடைன்ஸ்	ಚೆಯಿನ್ಟ್ ವಿನ್ಚೆನ್ಟ್ &amp; ಕಿರೆನಟೈನ್ಸ್
வெனிசுலா	ವೆನಿಚುಲಾ
பிரிட்டீஷ் கன்னித் தீவுகள்	ಪಿರಿಟ್ಟೀಷ್ ಕನ್ನಿತ್ ತೀವುಕಳ್
வியட்நாம்	ವಿಯಟ್ನಾಮ್
வனுவாட்டு	ವನುವಾಟ್ಟು
வாலிஸ் மற்றும் ஃபுடுனா	ವಾಲಿಸ್ ಮಱ್ಱುಮ್ ಃಪುಟುನಾ
சமோவா	ಚಮೋವಾ
கொசோவோ	ಕೊಚೋವೋ
ஏமன்	ಏಮನ್
மயோட்	ಮಯೋಟ್
தென் ஆப்பிரிக்கா	ತೆನ್ ಆಪ್ಪಿರಿಕ್ಕಾ
ஜாம்பியா	ಜಾಮ್ಪಿಯಾ
ஜிம்பாப்வே	ಜಿಮ್ಪಾಪ್ವೇ
அறியப்படாத பிரதேசம்	ಅಱಿಯಪ್ಪಟಾತ ಪಿರತೇಚಮ್
