# Territory names from CLDR
அஷன்ஷியன் தீவு	અષન઼્ષિયન઼્ તીવુ
ஸ்வல்பார்டு &amp; ஜான் மேயன்	સ્વલ્પાર્ટુ &amp; જાન઼્ મેયન઼્
ஸ்லோவாகியா	સ્લોવાકિયા
சியாரா லியோன்	ચિયારા લિયોન઼્
சான் மரினோ	ચાન઼્ મરિન઼ો
செனெகல்	ચેન઼ેકલ્
சோமாலியா	ચોમાલિયા
சுரினாம்	ચુરિન઼ામ્
தெற்கு சூடான்	તેર઼્કુ ચૂટાન઼્
சாவ் தோம் &amp; ப்ரின்சிபி	ચાવ્ તોમ્ &amp; પ્રિન઼્ચિપિ
எல் சால்வடார்	એલ્ ચાલ્વટાર્
சின்ட் மார்டென்	ચિન઼્ટ્ માર્ટેન઼્
சிரியா	ચિરિયા
ஸ்வாஸிலாந்து	સ્વાસિલાન્તુ
டிரிஸ்டன் டா குன்ஹா	ટિરિસ્ટન઼્ ટા કુન઼્હા
டர்க்ஸ் &amp; கைகோஸ் தீவுகள்	ટર્ક્સ્ &amp; કૈકોસ્ તીવુકળ્
சாட்	ચાટ્
பிரெஞ்சு தெற்கு பிரதேசங்கள்	પિરેઞ્ચુ તેર઼્કુ પિરતેચઙ્કળ્
டோகோ	ટોકો
தாய்லாந்து	તાય્લાન્તુ
தாஜிகிஸ்தான்	તાજિકિસ્તાન઼્
டோகேலோ	ટોકેલો
தைமூர்-லெஸ்தே	તૈમૂર્-લેસ્તે
கிழக்கு தைமூர்	કિળ઼ક્કુ તૈમૂર્
துர்க்மெனிஸ்தான்	તુર્ક્મેન઼િસ્તાન઼્
டுனிசியா	ટુન઼િચિયા
டோங்கா	ટોઙ્કા
துருக்கி	તુરુક્કિ
ட்ரினிடாட் &amp; டொபாகோ	ટ્રિન઼િટાટ્ &amp; ટોપાકો
துவாலூ	તુવાલૂ
தைவான்	તૈવાન઼્
தான்சானியா	તાન઼્ચાન઼િયા
உக்ரைன்	ઉક્રૈન઼્
உகாண்டா	ઉકાણ્ટા
அமெரிக்கா	અમેરિક્કા
யூஎஸ்	યૂએસ્
உருகுவே	ઉરુકુવે
உஸ்பெகிஸ்தான்	ઉસ્પેકિસ્તાન઼્
வாடிகன் நகரம்	વાટિકન઼્ નકરમ્
செயின்ட் வின்சென்ட் &amp; கிரெனடைன்ஸ்	ચેયિન઼્ટ્ વિન઼્ચેન઼્ટ્ &amp; કિરેન઼ટૈન઼્સ્
வெனிசுலா	વેન઼િચુલા
பிரிட்டீஷ் கன்னித் தீவுகள்	પિરિટ્ટીષ્ કન઼્ન઼િત્ તીવુકળ્
வியட்நாம்	વિયટ્નામ્
வனுவாட்டு	વન઼ુવાટ્ટુ
வாலிஸ் மற்றும் ஃபுடுனா	વાલિસ્ મર઼્ર઼ુમ્ ઃપુટુન઼ા
சமோவா	ચમોવા
கொசோவோ	કોચોવો
ஏமன்	એમન઼્
மயோட்	મયોટ્
தென் ஆப்பிரிக்கா	તેન઼્ આપ્પિરિક્કા
ஜாம்பியா	જામ્પિયા
ஜிம்பாப்வே	જિમ્પાપ્વે
அறியப்படாத பிரதேசம்	અર઼િયપ્પટાત પિરતેચમ્
