і	i
забеспячэння	zabyespyachennya
рэлігіі	relihii
ўсіх	ŭsikh
незалежна	nyezalyezhna
толькі	tolʹki
іншага	inшaha
сацыяльнага	satsyyalʹnaha
годнасць	hodnastsʹ
дзеяння	dzyeyannya
развіцця	razvitstsya
народаў	narodaŭ
поўнай	poŭnaй
міру	miru
шлюб	шlyub
саюзы	sayuzy
павагі	pavahi
Асамблея	Asamblyeya
пакаранне	pakarannye
шлюбе	шlyubye
асновай	asnovaй
пазбаўлены	pazbaŭlyeny
адносінах	adnosinakh
правах	pravakh
усімі	usimi
якая	yakaya
Яны	Yany
самога	samoha
расы	rasy
будуць	budutsʹ
свабоды	svabody
свабоднае	svabodnaye
паміж	pamizh
праследавання	praslyedavannya
сярод	syarod
беспрацоўя	byespratsoŭya
аднаасобна	adnaasobna
справядлівасці	spravyadlivastsi
самавольны	samavolʹny
поўнага	poŭnaha
выкладзены	vykladzyeny
ўступаць	ŭstupatsʹ
сацыяльнае	satsyyalʹnaye
самавольна	samavolʹna
сацыяльнай	satsyyalʹnaй
прызнання	pryznannya
жыццё	zhytstsyë
тым	tym
прызнанне	pryznannye
ён	yën
парадкам	paradkam
недатыкальнасць	nyedatykalʹnastsʹ
галасавання	halasavannya
кожнай	kozhnaй
супярэчыць	supyarechytsʹ
перад	pyerad
неабходна	nyeabkhodna
падтрымання	padtrymannya
такога	takoha
правамі	pravami
дабрабыту	dabrabytu
народы	narody
дэкларацыю	deklaratsyyu
павазе	pavazye
выканання	vykanannya
патрабаванняў	patrabavannyaŭ
народамі	narodami
тое	toye
шукаць	шukatsʹ
дзяржаў‐членаў	dzyarzhaŭ‐chlyenaŭ
міжнароднага	mizhnarodnaha
Усеагульную	Usyeahulʹnuyu
выпадку	vypadku
Дэкларацыю	Deklaratsyyu
забеспячэнне	zabyespyachennye
рэлігію	relihiyu
якога	yakoha
мэтам	metam
мэтай	metaй
сродкамі	srodkami
валодаць	valodatsʹ
якасці	yakastsi
якое	yakoye
інтарэсаў	intaresaŭ
тэкст	tekst
працу	pratsu
ўключае	ŭklyuchaye
сабе	sabye
прынцыпам	pryntsypam
краіну	krainu
таксама	taksama
прадʼяўленага	pradʼyaŭlyenaha
надзелены	nadzyelyeny
мастацтвам	mastatstvam
прывялі	pryvyali
імкненне	imknyennye
інваліднасці	invalidnastsi
абмежаванняў	abmyezhavannyaŭ
рабамі	rabami
прадастаўленне	pradastaŭlyennye
перыядычны	pyeryyadychny
цешыцца	tsyeшytstsa
ўчынення	ŭchynyennya
боку	boku
перакананні	pyerakananni
ўмяшання	ŭmyaшannya
ўчыненні	ŭchynyenni
мяняць	myanyatsʹ
высокае	vysokaye
дзеянні	dzyeyanni
асноўныя	asnoŭnyya
шлюбу	шlyubu
характару	kharaktaru
жанчын	zhanchyn
дабротамі	dabrotami
вінаватасць	vinavatastsʹ
вымушаны	vymuшany
сваё	svayë
абыходжанне	abykhodzhannye
такія	takiya
АСАМБЛЕЯ	ASAMBLYEYA
бяруць	byarutsʹ
зʼяўляюцца	zʼyaŭlyayutstsa
ужыта	uzhyta
тэрыторый»	terytoryй»
цяжкае	tsyazhkaye
могуць	mohutsʹ
звярнулася	zvyarnulasya
эфектыўнага	efyektyŭnaha
дня	dnya
цалкам	tsalkam
чым	chym
выбарчым	vybarchym
вучэнні	vuchenni
палітычных	palitychnykh
богаслужэнні	bohasluzhenni
поўнае	poŭnaye
палітычным	palitychnym
асабістую	asabistuyu
абароны	abarony
мовы	movy
парадку	paradku
удзельнічаць	udzyelʹnichatsʹ
катаванні	katavanni
прафесіянальныя	prafyesiyanalʹnyya
асоб	asob
ДЭКЛАРАЦЫЯ	DEKLARATSYYA
колеру	kolyeru
гонар	honar
даюць	dayutsʹ
Статуце	Statutsye
ці	tsi
рэлігійных	relihiйnykh
ўласціва	ŭlastsiva
абвешчана	abvyeшchana
несамакіравальнай	nyesamakiravalʹnaй
разгледжана	raz·hlyedzhana
вынікам	vynikam
паднявольным	padnyavolʹnym
стварэнне	stvarennye
хваробы	khvaroby
ўдзельнічаць	ŭdzyelʹnichatsʹ
выражэнне	vyrazhennye
асабістае	asabistaye
была	byla
намаганняў	namahannyaŭ
эканамічнай	ekanamichnaй
дадзены	dadzyeny
законным	zakonnym
будзе	budzye
павелічэння	pavyelichennya
правасубʼектнасці	pravasubʼyektnastsi
маралі	marali
эфектыўнае	efyektyŭnaye
асобую	asobuyu
Прымаючы	Prymayuchy
СНЕЖНЯ	SNYEZHNYA
непалітычнага	nyepalitychnaha
ўзнагароду	ŭznaharodu
краін	krain
ГЕНЕРАЛЬНАЯ	HYENYERALʹNAYA
паходжання	pakhodzhannya
ажыццяўленні	azhytstsyaŭlyenni
дасягнулі	dasyahnuli
абвешчаны	abvyeшchany
неабходнае	nyeabkhodnaye
свабодны	svabodny
ажыццяўлення	azhytstsyaŭlyennya
суверэнітэце	suvyerenitetsye
незалежачых	nyezalyezhachykh
выбар	vybar
свету	svyetu
хто	khto
аплачваецца	aplachvayetstsa
віду	vidu
свабодныя	svabodnyya
ЧАЛАВЕКА	CHALAVYEKA
Мужчыны	Muzhchyny
дзяцей	dzyatsyeй
увесь	uvyesʹ
працы	pratsy
бесперашкодна	byespyeraшkodna
зроблена	zroblyena
судовага	sudovaha
абрадаў	abradaŭ
агульнай	ahulʹnaй
накіравана	nakiravana
акалічнасцях	akalichnastsyakh
большай	bolʹшaй
працуе	pratsuye
засноўваць	zasnoŭvatsʹ
аплату	aplatu
сацыяльны	satsyyalʹny
нефальсіфікаваных	nyefalʹsifikavanykh
Прыняўшы	Prynyaŭшy
затрыманне	zatrymannye
вырашылі	vyraшyli
прагрэсе	prahresye
школах	шkolakh
паляпшэнню	palyapшennyu
ПРАВОЎ	PRAVOŬ
сямʼю	syamʼyu
змяніць	zmyanitsʹ
навучальных	navuchalʹnykh
міжнародны	mizhnarodny
публічным	publichnym
заснаванага	zasnavanaha
адпаведнасці	adpavyednastsi
заклікам	zaklikam
апеку	apyeku
ва	va
забяспечваюць	zabyaspyechvayutsʹ
бесчалавечныя	byeschalavyechnyya
харч	kharch
розумам	rozumam
парадак	paradak
літаратурных	litaraturnykh
злачынствам	zlachynstvam
Пачатковая	Pachatkovaya
атрымліваць	atrymlivatsʹ
прыстанішча	prystaniшcha
гістарычнага	histarychnaha
абмежаванай	abmyezhavanaй
забараняюцца	zabaranyayutstsa
пакуль	pakulʹ
страты	straty
выкарыстана	vykarystana
ахоўваліся	akhoŭvalisya
мець	myetsʹ
здольнасцей	zdolʹnastsyeй
развіццё	razvitstsyë
маючы	mayuchy
бакоў	bakoŭ
Апрача	Apracha
аднаўленне	adnaŭlyennye
усеагульнага	usyeahulʹnaha
дэмакратычным	demakratychnym
водпуск	vodpusk
ўніжаючыя	ŭnizhayuchyya
«яе	«yaye
натуральнай	naturalʹnaй
выгнанне	vyhnannye
удзел	udzyel
свабодзе	svabodzye
абавязковай	abavyazkovaй
належыць	nalyezhytsʹ
ніякага	niyakaha
службы	sluzhby
растлумачэння	rastlumachennya
непрадузятым	nyepraduzyatym
маральных	maralʹnykh
паўстання	paŭstannya
прац	prats
пераканні	pyerakanni
тыраніі	tyranii
статуса	statusa
статусе	statusye
галоўным	haloŭnym
ідэі	idei
Воля	Volya
Генеральная	Hyenyeralʹnaya
слова	slova
расавымі	rasavymi
гэтым	hetym
здавальняючую	zdavalʹnyayuchuyu
УСЕАГУЛЬНАЯ	USYEAHULʹNAYA
навуковых	navukovykh
скасавання	skasavannya
жыцці	zhytstsi
узаемаразуменню	uzayemarazumyennyu
сумесна	sumyesna
публічна	publichna
прыгнечання	pryhnyechannya
часу	chasu
задачы	zadachy
быў	byŭ
утрымлівацца	utrymlivatstsa
жыцця	zhytstsya
бы	by
вышэйшая	vyшeйшaya
знішчэння	zniшchennya
лічыцца	lichytstsa
падтрыманню	padtrymannyu
асветы	asvyety
думкі	dumki
захаванню	zakhavannyu
неабходнасці	nyeabkhodnastsi
ўсеагульнага	ŭsyeahulʹnaha
імкнуліся	imknulisya
рэпутацыю	reputatsyyu
накладацца	nakladatstsa
дзяцінства	dzyatsinstva
мастацкіх	mastatskikh
орган	orhan
забяспечвае	zabyaspyechvaye
выпадках	vypadkakh
ставіцца	stavitstsa
роўнага	roŭnaha
сацыяльнаму	satsyyalʹnamu
аховы	akhovy
кожнага	kozhnaha
выглядах	vyhlyadakh
жорсткія	zhorstkiya
бясплатнай	byasplatnaй
абмежаванне	abmyezhavannye
магло	mahlo
рэсурсамі	resursami
праве	pravye
шлюбам	шlyubam
брацтва	bratstva
абнародаваць	abnarodavatsʹ
аснове	asnovye
здароўя	zdaroŭya
грамадскага	hramadskaha
такой	takoй
задавальнення	zadavalʹnyennya
сямейнае	syamyeйnaye
рабстве	rabstvye
агульнага	ahulʹnaha
выключна	vyklyuchna
рабства	rabstva
гэтага	hetaha
абвінавачання	abvinavachannya
абодвух	abodvukh
ўладай	ŭladaй
догляд	dohlyad
перамяшчацца	pyeramyaшchatstsa
ўмоў	ŭmoŭ
абвінавачваецца	abvinavachvayetstsa
па‐за	pa‐za
добрыя	dobryya
непасрэдна	nyepasredna
вытлумачана	vytlumachana
якіх	yakikh
доступу	dostupu
рабочага	rabochaha
выяўленне	vyyaŭlyennye
дзяржаве	dzyarzhavye
Нішто	Niшto
юрысдыкцыяй	yurysdyktsyyaй
дзе	dzye
ўласную	ŭlasnuyu
учынення	uchynyennya
справядлівыя	spravyadlivyya
прававога	pravavoha
неабходны	nyeabkhodny
аднолькавымі	adnolʹkavymi
справядлівых	spravyadlivykh
незалежным	nyezalyezhnym
парушае	paruшaye
дзеці	dzyetsi
Не	Nye
дзейнасці	dzyeйnastsi
распаўсюджваць	raspaŭsyudzhvatsʹ
існаванне	isnavannye
напрыклад	napryklad
перыядычных	pyeryyadychnykh
асацыяцыю	asatsyyatsyyu
разам	razam
сапраўды	sapraŭdy
абавязкі	abavyazki
дзейнасцю	dzyeйnastsyu
абавязаліся	abavyazalisya
веру	vyeru
абвясціла	abvyastsila
пацвердзілі	patsvyerdzili
разе	razye
пачатковай	pachatkovaй
тэрыторый	terytoryй
замахаў	zamakhaŭ
абмежаванні	abmyezhavanni
бяздзеянне	byazdzyeyannye
існавання	isnavannya
грэбаванне	hrebavannye
магчыма	mahchyma
вяртацца	vyartatstsa
супроць	suprotsʹ
свабоднай	svabodnaй
усіх	usikh
кіраванні	kiravanni
дзяржаўных	dzyarzhaŭnykh
любую	lyubuyu
абавязкаў	abavyazkaŭ
народа	naroda
асобным	asobnym
арышт	aryшt
стане	stanye
выпадак	vypadak
браць	bratsʹ
сумлення	sumlyennya
дружалюбных	druzhalyubnykh
поўны	poŭny
Мацярынства	Matsyarynstva
канстытуцыяй	kanstytutsyyaй
выбары	vybary
захаваннем	zakhavannyem
кампетэнтнымі	kampyetentnymi
галечы	halyechy
неабходных	nyeabkhodnykh
ячэйкай	yacheйkaй
Арганізацыяй	Arhanizatsyyaй
меншай	myenшaй
матэрыяльных	materyyalʹnykh
прадстаўнікоў	pradstaŭnikoŭ
адзенне	adzyennye
належнага	nalyezhnaha
такі	taki
сумленне	sumlyennye
знаходзіўся	znakhodziŭsya
імкнуцца	imknutstsa
членам	chlyenam
надыходу	nadykhodu
установах	ustanovakh
аднолькава	adnolʹkava
прагрэсу	prahresu
заключаны	zaklyuchany
пагарда	paharda
групамі	hrupami
выбіраць	vybiratsʹ
сумленнем	sumlyennyem
духу	dukhu
краінай	krainaй
самавольнае	samavolʹnaye
выкананні	vykananni
Шлюб	Шlyub
вольны	volʹny
ўмяшанне	ŭmyaшannye
разбору	razboru
адукацыю	adukatsyyu
ўстаноўлены	ŭstanoŭlyeny
Гэта	Heta
прыватным	pryvatnym
граніц	hranits
падбухторвання	padbukhtorvannya
абвяшчэння	abvyaшchennya
роўнасці	roŭnastsi
свабоднымі	svabodnymi
саслоўнага	sasloŭnaha
полу	polu
ўстаноўлена	ŭstanoŭlyena
асуджаны	asudzhany
ажыццёўлены	azhytstsyëŭlyeny
другіх	druhikh
спазнаць	spaznatsʹ
краінах	krainakh
абураюць	aburayutsʹ
ПРЭАМБУЛА	PREAMBULA
асацыяцый	asatsyyatsyй
малалетніх	malalyetnikh
прыстанішчам	prystaniшcham
усё	usyë
маёмасці	mayëmastsi
маёмасцю	mayëmastsyu
абслугоўванне	absluhoŭvannye
Пры	Pry
Бацькі	Batsʹki
ўрада	ŭrada
Ажыццяўленне	Azhytstsyaŭlyennye
прымаць	prymatsʹ
злачынстве	zlachynstvye
неадʼемных	nyeadʼyemnykh
узяцця	uzyatstsya
калі	kali
дапаўняецца	dapaŭnyayetstsa
людзям	lyudzyam
займацца	zaйmatstsa
любымі	lyubymi
сваім	svaim
становішча	stanoviшcha
свабоднага	svabodnaha
ГОДА	HODA
страху	strakhu
абгрунтаванасці	abhruntavanastsi
аднаго	adnaho
якога‐небудзь	yakoha‐nyebudzʹ
датычыць	datychytsʹ
цярпімасці	tsyarpimastsi
прагрэсіўных	prahresiŭnykh
як‐небудзь	yak‐nyebudzʹ
сходаў	skhodaŭ
форм	form
нацыянальнага	natsyyanalʹnaha
меры	myery
ўжываць	ŭzhyvatsʹ
прафесіянальная	prafyesiyanalʹnaya
тайну	taйnu
структурай	strukturaй
дзяржавы‐члены	dzyarzhavy‐chlyeny
інакш	inakш
ажыццяўленне	azhytstsyaŭlyennye
нараділіся	naradilisya
культурнай	kulʹturnaй
са	sa
старасці	starastsi
работы	raboty
вызначэння	vyznachennya
рашэнне	raшennye
судамі	sudami
маёмаснага	mayëmasnaha
гандаль	handalʹ
забеспячэнню	zabyespyachennyu
член	chlyen
адпачынак	adpachynak
дружбе	druzhbye
жыццёвы	zhytstsyëvy
адносін	adnosin
грамадствам	hramadstvam
такіх	takikh
забяспечваюцца	zabyaspyechvayutstsa
варварскіх	varvarskikh
зацвердзіла	zatsvyerdzila
старонках	staronkakh
свабодамі	svabodami
публічнага	publichnaha
магчымае	mahchymaye
законах	zakonakh
ўзровень	ŭzrovyenʹ
спавядаць	spavyadatsʹ
выбраных	vybranykh
крымінальнага	kryminalʹnaha
усякага	usyakaha
групе	hrupye
справядлівую	spravyadlivuyu
рабіцца	rabitstsa
прымушацца	prymuшatstsa
якую‐небудзь	yakuyu‐nyebudzʹ
заснавана	zasnavana
значэнне	znachennye
мужчын	muzhchyn
роўнымі	roŭnymi
мірных	mirnykh
усеагульнай	usyeahulʹnaй
межах	myezhakh
падапечнай	padapyechnaй
ўчыняць	ŭchynyatsʹ
абвяшчае	abvyaшchaye
развіццю	razvitstsyu
жанчыны	zhanchyny
прафесіянальные	prafyesiyanalʹnyye
справа	sprava
абавязацельства	abavyazatsyelʹstva
згодзе	z·hodzye
нацыянальнымі	natsyyanalʹnymi
значэння	znachennya
Тэхнічная	Tekhnichnaya
больш	bolʹш
рэлігійнымі	relihiйnymi
знаходжання	znakhodzhannya
аднолькавай	adnolʹkavaй
людзей	lyudzyeй
адзін	adzin
накіраваныя	nakiravanyya
парушэння	paruшennya
разуменне	razumyennye
праводзіцца	pravodzitstsa
тайнага	taйnaha
месцапражыванне	myestsaprazhyvannye
вартае	vartaye
тэрыторыі	terytoryi
знаходзяцца	znakhodzyatstsa
асноўнай	asnoŭnaй
прыведзены	pryvyedzyeny
рытуальных	rytualʹnykh
тэрыторыя	terytoryya
прытрымлівацца	prytrymlivatstsa
сродку	srodku
раўназначных	raŭnaznachnykh
роўныя	roŭnyya
незалежнай	nyezalyezhnaй
дзяржаўнай	dzyarzhaŭnaй
карыстаюцца	karystayutstsa
роўных	roŭnykh
апошняга	apoшnyaha
разумнае	razumnaye
Сямʼя	Syamʼya
палітычнага	palitychnaha
ўвазе	ŭvazye
Дэкларацыяй	Deklaratsyyaй
карэспандэнцыі	karespandentsyi
роўным	roŭnym
аўтарам	aŭtaram
выбарах	vybarakh
дапамогу	dapamohu
удоўства	udoŭstva
ўсеагульнае	ŭsyeahulʹnaye
паўналецця	paŭnalyetstsya
нараджаюцца	naradzhayutstsa
раўнапраўе	raŭnapraŭye
навуковым	navukovym
каштоўнасць	kaшtoŭnastsʹ
усякіх	usyakikh
міжнароднаму	mizhnarodnamu
медыцынскі	myedytsynski
распаўсюджвання	raspaŭsyudzhvannya
той	toй
сродкаў	srodkaŭ
ўсім	ŭsim
абаронай	abaronaй
даступнай	dastupnaй
супрацоўніцтва	supratsoŭnitstva
чалавецтва	chalavyetstva
галінах	halinakh
супрацоўніцтве	supratsoŭnitstvye
ўсімі	ŭsimi
улады	ulady
інфармацыю	infarmatsyyu
свайго	svaйho
краіны	krainy
праву	pravu
прыярытэту	pryyarytetu
судом	sudom
знаходзіць	znakhodzitsʹ
культурным	kulʹturnym
ўстанаўлення	ŭstanaŭlyennya
воля	volya
магчымасці	mahchymastsi
мерапрыемстваў	myerapryyemstvaŭ
невінаватым	nyevinavatym
ўмовы	ŭmovy
зрабіць	zrabitsʹ
краіне	krainye
велізарнае	vyelizarnaye
зʼяўляліся	zʼyaŭlyalisya
актаў	aktaŭ
агульнадаступнай	ahulʹnadastupnaй
нацыянальнасці	natsyyanalʹnastsi
жыллё	zhyllyë
скуры	skury
замах	zamakh
ўсеагульным	ŭsyeahulʹnym
пакідаць	pakidatsʹ
ствараць	stvaratsʹ
грамадстве	hramadstvye
чынам	chynam
міжнародных	mizhnarodnykh
жылля	zhyllya
