# Baby names
അകര്ശാനാ	اكرشانا
ചകേശ	تشكیش
ചകോര	تشكیار
ചക്ഷസ	تشكشس
ചതുര	تشتور
ചതുരാ	تشتورا
ചതുര്ഭുജാ	تشتوربهوجا
ചതുര്വേദീ	تشتورویدی
ചത്രീയാ	تشترییا
ചന്ദ്രകേതു	تشندركیتو
ചരണ	تشرن
ചരന്യാ	تشرنیا
ചലാമാ	تشلاما
ചാംദ	تشاند
ചാനാസ്യാ	تشاناسیا
ചാനേ	تشاني
ചാന്ദനികാ	تشاندنیكا
ചാരുന	تشارون
ചാരുവീ	تشارووی
ചാര്മീ	تشارمی
ചാര്വീ	تشاروی
ചാവ്രിക	تشاوریك
ചിത്കലാ	تشیتكلا
ചിത്ത	تشیتت
ചിത്തപ്രസാദ	تشیتتبرساد
ചിത്തരംജന	تشیتترنجن
ചിത്തരംജനീ	تشیتترنجنی
ചിത്രകുന്ധാലാ	تشیتركوندهالا
ചിത്രകേതു	تشیتركیتو
ചിത്രഗംധാ	تشیترجندها
ചിത്രബാനാ	تشیتربانا
ചിത്രമാലാ	تشیترمالا
ചിത്രര്ത	تشیتررت
ചിത്രല	تشیترل
ചിത്രലേഖാ	تشیترلیكها
ചിത്രാദീപ	تشیترادیب
ചിത്രീനീ	تشیترینی
ചിദംബര	تشیدنبر
ചിദാനംദാ	تشیدانندا
ചിനാര	تشینار
ചിന്നാദുരാഈ	تشیننادوراي
ചിമന	تشیمن
ചീദാര്ത	تشیدارت
ചീന്മയേ	تشینمیي
ചീരുഷ	تشیروش
ചേതന്ദീപ	تشیتندیب
ചേതള	تشیتر
ചേഥാസാ	تشیتهاسا
ചേമ്മല	تشیممل
ചേര്വിക	تشیرویك
ചേലന	تشیلن
ചേലിയാഁ	تشیلییاഁ
ചൈതന്യാ	تشایتنیا
ചൈത്രാ	تشایترا
ചൈരാവലീ	تشایراولی
ഛായാംക	تشهایانك
ജക്ഷ	جكش
ജക്ഷാനീ	جكشانی
ജഗതപ്രകാശ	ججتبركاش
ജഗദഗുരു	ججدجورو
ജഗദമ്ബാ	ججدمبا
ജഗനമോഹിനീ	ججنمیاهینی
ജഗന്മയീ	ججنمیی
ജഗ്വീ	ججوی
ജഗ്വീര	ججویر
ജജ്വാല്യാ	ججوالیا
ജടായു	جطایو
ജനഹിതാ	جنهیتا
ജനാദേവ	جنادیو
ജനാവ	جناو
ജനിത	جنیت
ജമാംദാഗ്ന്യ മഹാദാര്പാ	جمانداجنی مهاداربا
ജമ്ബവതപ്രീതി	جمبوتبریتی
ജയംത	جینت
ജയചംദ	جیتشند
ജയപാല	جیبال
ജയമാലാ	جیمالا
ജയശ്രീ	جیشری
ജയാകീര്തന	جیاكیرتن
ജയാകേതന	جیاكیتن
ജയാപാദമാം	جیابادمان
ജയായ	جیای
ജയിത	جییت
ജയേശ	جییش
ജലദ	جلد
ജല്പേശ	جلبیش
ജശവംത	جشونت
ജസീത്താ	جسیتتا
ജസ്സീ	جسسی
ജാനകീ	جانكی
ജാനകീദാസ	جانكیداس
ജാനകീനാഥ	جانكیناته
ജാനകീഭൂഷണ	جانكیبهوشن
ജാനഹിതാ	جانهیتا
ജാപക	جابك
ജായിത്രീ	جاییتری
ജിനേശ്വര	جینیشور
ജിഹാന	جیهان
ജീതേശ	جیتیش
ജീന്ദാല	جیندال
ജീവനകലാ	جیونكلا
ജീവനീ	جیونی
ജീവന്തീനീ	جیونتینی
ജുഷ്ടി	جوشطی
ജേനീശാ	جینیشا
ജേര്ശീകാ	جیرشیكا
ജൈകാപിശ	جایكابیش
ജൈചരണ	جایتشرن
ജൈനീശ	جاینیش
ജൈപ്രകാശ	جایبركاش
ജൈവംത	جایونت
ജൈസല	جایسل
ജൈഹാസീനീ	جایهاسینی
ജോംഫീ	جیانبهی
ജോശനീകാ	جیاشنیكا
ജോശീതാ	جیاشیتا
ജ്വാലാ	جوالا
ജ്ഹില	جهیل
ജ്ഹീണൂക	جهینوك
ഝഹനവീ	جههنوی
ഝാനീശാ	جهانیشا
ഝാരാ	جهارا
ഝീയാ	جهییا
ഝേനീശാ	جهینیشا
ഝ്യാനനീ	جهیاننی
ടീംകു	طینكو
ഠുമരീ	طهومری
തക്ശീ	تكشی
തക്ശീല	تكشیل
തജജ്ഞ	تججن
തനവീ	تنوی
തനിഷ്ക	تنیشك
തനുംജാശ്രീ	تنونجاشری
തനുംശ്കാ	تنونشكا
തനോജ	تنیاج
തപസ	تبس
തപസ്വിനീ	تبسوینی
തമില  സേല്വീ	تمیل  سیلوی
തമിശ	تمیش
തമോഘ്നാ	تمیاجهنا
തമോനഷ	تمیانش
തരംജോത	ترنجیات
തരനീ	ترنی
തരലാ	ترلا
തരീനീ	ترینی
തരുശ്രീ	تروشری
തരൂണീ	ترونی
തവിഷാ	تویشا
തസ്യ	تسی
താക്ഷ്യാ	تاكشیا
താജേന്ദര	تاجیندر
താനാരുപീ	تاناروبی
താനിയാ	تانییا
താന്വീഥാ	تانویتها
താപീ	تابی
താരികാ	تاریكا
താരീനീ	تارینی
താരൂശ	تاروش
താലംക	تالنك
താലീന	تالین
താലേശ	تالیش
താവന	تاون
താവീശാ	تاویشا
തിതലീ	تیتلی
തിനാശ	تیناش
തിലക	تیلك
തീഈവ്യേശ	تیيوییش
തീര്ഥാ	تیرتها
തീസ്ചാ	تیستشا
തുത്തീ	توتتی
തുനാവാ	توناوا
തുന്ഗാര	تونجار
തുപമ	توبم
തുരഗ	تورج
തുശീഥാ	توشیتها
തൃപേശ	تربیش
തേജസ	تیجس
തേജസ്വീ	تیجسوی
തേജസ്വീന	تیجسوین
തേജേനദര	تیجیندر
തേജോമയ	تیجیامی
തോയേശ	تیاییش
തോശീകാ	تیاشیكا
തൌരുസ	تیروس
ത്രികായാ	تریكایا
ത്രിപുരസുംദരീ	تریبورسوندری
ത്രിഭുവന	تریبهوون
ത്രിമാന	تریمان
ത്രിമൂര്തി	تریمورتی
ത്രിവേണീ	تریوینی
ത്രിശല	تریشل
ത്രിശലാനാ	تریشلانا
ത്രീഝ്യാ	تریجهیا
ത്രീതിയാ	تریتییا
ത്രീനേശ	ترینیش
ത്രീപന	تریبن
ത്രീപ്ത	تریبت
ത്രീവീദ	تریوید
ത്വരിതാ	توریتا
ത്വീശീ	تویشی
ത്വേസാ	تویسا
ഥംസീ	تهنسی
ഥനീരികാ	تهنیریكا
ഥാകാപ്പന്സ്വാമീ	تهاكاببنسوامی
ഥാരികാ	تهاریكا
ഥാവനീ	تهاونی
ഥീരീശ്കാ	تهیریشكا
ഥുസീഥാ	تهوسیتها
ഥ്രേശാ	تهریشا
ദംദാപാനീ	دندابانی
ദക്ഷാഹതാ	دكشاهتا
ദബീത	دبیت
ദബ്ന്ശും	دبنشون
ദയാദാ	دیادا
ദയാനിതാ	دیانیتا
ദരഹാസ	درهاس
ദര്ശ	درش
ദര്ശക	درشك
ദര്ശികാ	درشیكا
ദര്ശീനീ	درشینی
ദര്സീകാ	درسیكا
ദശാഗ്രീവാ ശീരോഹരാ	دشاجریوا شیریاهرا
ദശാഗ്രീവാകുലാന്താകാ	دشاجریواكولانتاكا
ദശാനന	دشانن
ദഹാ	دها
ദാനാസ്വീ	داناسوی
ദാനുംശ്രീ	دانونشری
ദാന്ദാകാരാന്യ പുന്യകൃതേ	دانداكارانی بونیكرتي
ദാരുല	دارول
ദാഹക	داهك
ദികീശംദ	دیكیشند
ദിഗീശാ	دیجیشا
ദിപംശീ	دیبنشی
ദിപശീകീ	دیبشیكی
ദിപേംദര	دیبیندر
ദിപ്താ	دیبتا
ദിബസരീ	دیبسری
ദിവീഥാ	دیویتها
ദിവേനാ	دیوینا
ദീതാ	دیتا
ദീനബംധു	دینبندهو
ദീപഥീ	دیبتهی
ദീപപ്രഭാ	دیببربها
ദീപമാലാ	دیبمالا
ദീപശിഖാ	دیبشیكها
ദീപാംജലി	دیبانجلی
ദീപാശാ	دیباشا
ദീപിത	دیبیت
ദീവാംശ	دیوانش
ദേജ	دیج
ദേബജ്യോതീ	دیبجییاتی
ദേബദാത്താ	دیبداتتا
ദേബദ്രിതാ	دیبدریتا
ദേബന്ശീ	دیبنشی
ദേയ്വയാനാകാന്തന	دییویاناكانتن
ദേവഗര്ഭാ	دیوجربها
ദേവജ്യോതി	دیوجییاتی
ദേവദാന	دیودان
ദേവന്ദ്ര	دیوندر
ദേവമദാനാ	دیومدانا
ദേവരാജ	دیوراج
ദേവശ്രീ	دیوشری
ദേവാംഗനാ	دیوانجنا
ദേവാംഗീ	دیوانجی
ദേവാംശു	دیوانشو
ദേവാദീത്യാ	دیوادیتیا
ദേവാനീ	دیوانی
ദേവാന്ശാ	دیوانشا
ദേവാപ്രിയാ	دیوابرییا
ദേവാമനോഹാരീ	دیوامنیاهاری
ദേവീന	دیوین
ദേവീലാല	دیویلال
ദേവേന	دیوین
ദേവേശീ	دیویشی
ദേവ്യഹ്നാന	دیویهنان
ദേശാവംത	دیشاونت
ദൈത്യാകുലാന്താകാ	دایتیاكولانتاكا
ദൈവ്യാ	دایویا
ധക്ശീന്യ	دهكشینی
ധനസുഖ	دهنسوكه
ധനാജീ	دهناجی
ധനിഷ്ഠ	دهنیشطه
ധനു	دهنو
ധനുജാ	دهنوجا
ധനേശീ	دهنیشی
ധന്വികാ	دهنویكا
ധരമനിഷ്ഠ	دهرمنیشطه
ധരാമാം	دهرامان
ധരാഹാസീനീ	دهراهاسینی
ധരീശ	دهریش
ധര്മ  ദുത്ത	دهرم  دوتت
ധര്മഅധ്യക്ഷ	دهرمادهیكش
ധര്മദിത്യ	دهرمدیتی
ധര്മദേവ	دهرمدیو
ധര്ശീതാ	دهرشیتا
ധര്ശീനീ	دهرشینی
ധാമീനീ	دهامینی
ധാരാനീ	دهارانی
ധിതി	دهیتی
ധിതീ	دهیتی
ധീപ്ത്ഹാ	دهیبتها
ധീമാഹീ	دهیماهی
ധീര്ഥാ	دهیرتها
ധേയാംശീ	دهییانشی
ധൈര്യ്യാ	دهایرییا
ധ്യുഥീ	دهیوتهی
ധ്രുമീ	دهرومی
നംദക	نندك
നംദു	نندو
നക്ശ	نكش
നക്സത്രരാജാ	نكسترراجا
നഗമാനീ	نجمانی
നടവര	نطور
നത്രീശാ	نتریشا
നദീപ	ندیب
നഭാ	نبها
നഭോമാനീ	نبهیامانی
നമന	نمن
നമനാ	نمنا
നയന	نین
നരേന്ദ്രന	نریندرن
നരേന്ദ്രനാഥ	نریندرناته
നരേശ	نریش
നവനീത വിലീപ്തംഗാ	نونیت ویلیبتنجا
നവമ	نوم
നവരംഗ	نورنج
നസീബ	نسیب
നാംബീ	نانبی
നാഗനാഥ	ناجناته
നാഗപാല	ناجبال
നാഗേശ്വരണ	ناجیشورن
നാഗൈഃ	ناجایها
നാതാഭൈരവീ	ناتابهایروی
നാതിന	ناتین
നാന്ധീനീ	ناندهینی
നാന്നാന	ناننان
നാഭിതാ	نابهیتا
നാഭേംദു	نابهیندو
നാമത	نامت
നായകീ	نایكی
നായാനീ	نایانی
നായാനീകാ	نایانیكا
നാലിനികാംത	نالینیكانت
നാലീനേശയ	نالینیشی
നാവീന്യ	ناوینی
നാവീല	ناویل
നാവ്യാ ദുര്ഗാ	ناویا دورجا
നാവ്രീതാ	ناوریتا
നികാരാ	نیكارا
നിഖിതാ	نیكهیتا
നിഖില	نیكهیل
നിജു	نیجو
നിധി	نیدهی
നിധിപാ	نیدهیبا
നിപാ	نیبا
നിരംജനാ	نیرنجنا
നിരമഈ	نیرمي
നിരുപമാ	نیروبما
നിര്മളാ	نیرمرا
നിര്മിതി	نیرمیتی
നിലാശാ	نیلاشا
നിശാനഥീ	نیشانتهی
നീഗീഥാ	نیجیتها
നീതു	نیتو
നീഥീകാ	نیتهیكا
നീധാ	نیدها
നീധാര്സനാ	نیدهارسنا
നീമാംലന	نیمانلن
നീരാലികാ	نیرالیكا
നീരൈമാംഥീ	نیرایمانتهی
നീര്മുകതാ	نیرموكتا
നീല മാധവ	نیل مادهو
നീലംജന	نیلنجن
നീലക്ഷ	نیلكش
നീല്ജാ	نیلجا
നീശാലീ	نیشالی
നീശീതീ	نیشیتی
നീശ്മീഥാ	نیشمیتها
നീസ്ചീഥാ	نیستشیتها
നീഹാ	نیها
നേമീശാ	نیمیشا
നേയ്സാ	نییسا
നേരീശാ	نیریشا
നൈജാ	نایجا
നൈരീതീ	نایریتی
നൈവേധീ	نایویدهی
നൌസദ	نیسد
പംകജന	بنكجن
പംചഭൂതാത്മികാ	بنتشبهوتاتمیكا
പംഥീനീ	بنتهینی
പഝ്ഹേനീ	بجههینی
പത്താമ്ബരാപരീധാനാ	بتتامبرابریدهانا
പത്ര	بتر
പന്ദാലാവാസന	بندالاواسن
പമ്പാ	بمبا
പമ്ഫാ	بمبها
പയാസ	بیاس
പയോധീ	بییادهی
പരംതാപാ	برنتابا
പരമാംത്മികാ	برمانتمیكا
പരമാംന്ത്ര	برماننتر
പരമിലാ	برمیلا
പരമേശ്വരീ	برمیشوری
പരമ്വാര്ദാന	برمواردان
പരവാനീ	بروانی
പരവിംദര	برویندر
പരാകാഷ	براكاش
പരാവീ	براوی
പരിഹാ	بریها
പര്തീബന	برتیبن
പര്ലീ	برلی
പര്വ	برو
പലാക്ഷ	بلاكش
പലാശീനീ	بلاشینی
പവന	بون
പവനസുത	بونسوت
പശുപതി	بشوبتی
പഹലാജ	بهلاج
പാടലാ	باطلا
പാന്ദുരംഗാ	باندورنجا
പായല	بایل
പാരു	بارو
പാര്ഥിക	بارتهیك
പാര്ഥീവീ	بارتهیوی
പാര്ഥോ	بارتهیا
പാളവീ	باروی
പാവകീ	باوكی
പാവനാ	باونا
പാവാനാ	باوانا
പാഹീ	باهی
പിവാല	بیوال
പൂജന	بوجن
പൂരതീ	بورتی
പൂരികാ	بوریكا
പൂര്വജാ	بوروجا
പൂര്വികാ	بورویكا
പേഖമ	بیكهم
പേത്ചീ	بیتتشی
പേരാരസീ	بیرارسی
പ്രകൃഥീ	بركرتهی
പ്രഗന്യാ	برجنیا
പ്രഗ്യപരാമിതാ	برجیبرامیتا
പ്രജാനാ	برجانا
പ്രനാദാ	برنادا
പ്രനീധാനാ	برنیدهانا
പ്രബകരണ	بربكرن
പ്രഭാകര	بربهاكر
പ്രഭാകരന	بربهاكرن
പ്രഭാത	بربهات
പ്രഭാവ	بربهاو
പ്രാതീകാ	براتیكا
ഫനീ	بهنی
ഫനീഭുഷണ	بهنیبهوشن
ഫാല്ഗുനീ	بهالجونی
ഫൂലന	بهولن
ഫ്രാന്ചീസ	بهرانتشیس
ബംദിശ	بندیش
ബംധൂല	بندهول
ബംശീ	بنشی
ബംസീധര	بنسیدهر
ബകുലാ	بكولا
ബകൂല	بكول
ബദ്രീ	بدری
ബനജ	بنج
ബനവാരീ	بنواری
ബബന	ببن
ബബിശ	ببیش
ബര്ഹന	برهن
ബലബീര	بلبیر
ബഹവാസ്യ	بهواسی
ബാബു	بابو
ബാബുല	بابول
ബാല മുകുന്ദ	بال موكوند
ബാലധി	بالدهی
ബാലാമോഹന	بالامیاهن
ബാലാരാജ	بالاراج
ബാലാശംകര	بالاشنكر
ബാലു	بالو
ബാലേന്ദു	بالیندو
ബാസ്കാര	باسكار
ബിനീതാ	بینیتا
ബീനും	بینون
ബീന്ദുശ്രീ	بیندوشری
ബീന്നീകേര	بیننیكیر
ബീപുല	بیبول
ബീബീന	بیبین
ബീരത	بیرت
ബീഹാന	بیهان
ബേനീതാ	بینیتا
ബേനും	بینون
ബേലുരമീ	بیلورمی
ബേല്ലീ	بیللی
ബൈവാവീ	بایواوی
ബൈസാഖീ	بایساكهی
ബ്രീഥ്ഹീ	بریتههی
ബ്ലേസ്സീ	بلیسسی
ഭഗവാന	بهجوان
ഭദ്രക്ഷ	بهدركش
ഭദ്രനിധി	بهدرنیدهی
ഭദ്രപ്രിയാ	بهدربرییا
ഭദ്രിക	بهدریك
ഭദ്രീശാ	بهدریشا
ഭവാനീ	بهوانی
ഭവ്യരാജ	بهویراج
ഭാഗവംതീ	بهاجونتی
ഭാദരന	بهادرن
ഭാനുമിത്ര	بهانومیتر
ഭാരഥീ	بهارتهی
ഭാര്ഗവന	بهارجون
ഭാര്ഗവാ	بهارجوا
ഭാര്ഘവീ	بهارجهوی
ഭാര്ദ്ദ്വാജ	بهارددواج
ഭാലേംദ്ര	بهالیندر
ഭാവതീ	بهاوتی
ഭാവീഗുരും	بهاویجورون
ഭാവ്യമ	بهاویم
ഭാശ്വീനീ	بهاشوینی
ഭാസു	بهاسو
ഭാസ്കാരീ	بهاسكاری
ഭാസ്കേര	بهاسكیر
ഭീമശംകര	بهیمشنكر
ഭൂദേവ	بهودیو
ഭൂപത	بهوبت
ഭൂപാല	بهوبال
ഭൂമാ	بهوما
ഭൂമാം	بهومان
ഭേരേശ	بهیریش
ഭൈരവീ	بهایروی
മംഗലമ	منجلم
മംഗേശ	منجیش
മംജു  പ്രസന്ന	منجو  برسنن
മംജുനാഥ	منجوناته
മംജുലാ	منجولا
മംത	منت
മംതോഷ	منتیاش
മംദിഥാ	مندیتها
മംദിരാ	مندیرا
മകാലീ	مكالی
മകുര	مكور
മഗന	مجن
