# Territory names from CLDR
असेंशन द्वीप	அஸேஂஶந த்வீப
तुर्कमेनिस्तान	துர்கமேநிஸ்தாந
ट्यूनीशिया	ட்யூநீஶியா
टोंगा	டோஂகா
तुर्की	துர்கீ
त्रिनिदाद और टोबैगो	த்ரிநிதாத ஔர டோபைகோ
तुवालू	துவாலூ
ताइवान	தாஇவாந
तंज़ानिया	தஂஜாநியா
यूक्रेन	யூக்ரேந
युगांडा	யுகாஂடா
संयुक्त राज्य	ஸஂயுக்த ராஜ்ய
अमेरिका	அமேரிகா
उरूग्वे	உரூக்வே
उज़्बेकिस्तान	உஜ்பேகிஸ்தாந
वेटिकन सिटी	வேடிகந ஸிடீ
सेंट विंसेंट और ग्रेनाडाइंस	ஸேஂட விஂஸேஂட ஔர க்ரேநாடாஇஂஸ
वेनेज़ुएला	வேநேஜுஏலா
ब्रिटिश वर्जिन द्वीपसमूह	ப்ரிடிஶ வர்ஜிந த்வீபஸமூஹ
वियतनाम	வியதநாம
वनुआतू	வநுஆதூ
वालिस और फ़्यूचूना	வாலிஸ ஔர ப்யூசூநா
समोआ	ஸமோஆ
कोसोवो	கோஸோவோ
यमन	யமந
मायोते	மாயோதே
दक्षिण अफ़्रीका	தக்ஷிண அப்ரீகா
ज़ाम्बिया	ஜாம்பியா
ज़िम्बाब्वे	ஜிம்பாப்வே
अज्ञात क्षेत्र	அஜ்ஞாத க்ஷேத்ர
