# Territory names from CLDR
ఎసెషన్ దీవి	எஸெஷந் தீவி
సెంట్ కిట్ట్స్ మరియు నెవిస్	ஸெஂட் கிட்ட்ஸ் மரியு நெவிஸ்
ఉత్తర కొరియా	உத்தர கொரியா
దక్షిణ కొరియా	தக்ஷிண கொரியா
కువైట్	குவைட்
కేమాన్ దీవులు	கேமாந் தீவுலு
కజకస్తాన్	கஜகஸ்தாந்
లావోస్	லாவோஸ்
లెబనాన్	லெபநாந்
సెంట్ లూసియా	ஸெஂட் லூஸியா
లిక్టెస్టేన్	லிக்டெஸ்டேந்
శ్రీలంక	ஶ்ரீலஂக
లైబీరియా	லைபீரியா
లెసోతో	லெஸோதோ
లిథువేనియా	லிதுவேநியா
లక్సంబర్గ్	லக்ஸஂபர்க்
లాత్వియా	லாத்வியா
లిబియా	லிபியா
మొరాక్కో	மொராக்கோ
మొనాకో	மொநாகோ
మోల్డోవా	மோல்டோவா
మోంటేనేగ్రో	மோஂடேநேக்ரோ
సెంట్ మార్టిన్	ஸெஂட் மார்டிந்
మడగాస్కర్	மடகாஸ்கர்
మార్షల్ దీవులు	மார்ஷல் தீவுலு
మేసిడోనియా	மேஸிடோநியா
మేసిడోనియా (FYROM)	மேஸிடோநியா (FYROM)
మాలి	மாலி
మయన్మార్ (బర్మా)	மயந்மார் (பர்மா)
మంగోలియా	மஂகோலியா
మాకావ్ ఎస్ఏఆర్ చైనా	மாகாவ் எஸ்ஏஆர் சைநா
మకావు	மகாவு
ఉత్తర మరియానా దీవులు	உத்தர மரியாநா தீவுலு
మార్టినిక్	மார்டிநிக்
మౌరిటేనియా	மௌரிடேநியா
మోంట్సేర్రాట్	மோஂட்ஸேர்ராட்
మాల్టా	மால்டா
మారిషస్	மாரிஷஸ்
మాల్దీవులు	மால்தீவுலு
మాలావి	மாலாவி
మెక్సికో	மெக்ஸிகோ
మలేషియా	மலேஷியா
మొజాంబిక్	மொஜாஂபிக்
నమీబియా	நமீபியா
క్రొత్త కాలెడోనియా	க்ரொத்த காலெடோநியா
నైజర్	நைஜர்
నార్ఫాక్ దీవి	நார்பாக் தீவி
నైజీరియా	நைஜீரியா
నికరాగువా	நிகராகுவா
నెదర్లాండ్స్	நெதர்லாஂட்ஸ்
నార్వే	நார்வே
నేపాల్	நேபால்
నౌరు	நௌரு
నియు	நியு
న్యూజిలాండ్	ந்யூஜிலாஂட்
ఒమన్	ஒமந்
పనామా	பநாமா
పెరూ	பெரூ
ఫ్రెంచ్ పోలినిషియా	ப்ரெஂச் போலிநிஷியா
పాపువా న్యు గినియా	பாபுவா ந்யு கிநியா
ఫిలిప్పీన్స్	பிலிப்பீந்ஸ்
పాకిస్తాన్	பாகிஸ்தாந்
పోలాండ్	போலாஂட்
సెంట్ పియెర్ మరియు మికెలాన్	ஸெஂட் பியெர் மரியு மிகெலாந்
పిట్‌కెయిర్న్ దీవులు	பிட்‌கெயிர்ந் தீவுலு
ఫ్యూర్టో రికో	ப்யூர்டோ ரிகோ
పాలస్తీనియన్ ప్రాంతాలు	பாலஸ்தீநியந் ப்ராஂதாலு
పాలస్తీనా	பாலஸ்தீநா
పోర్చుగల్	போர்சுகல்
పలావు	பலாவு
పరాగ్వే	பராக்வே
కతర్	கதர்
ఒషీనియా బయటున్నవి	ஒஷீநியா பயடுந்நவி
రియూనియన్	ரியூநியந்
రోమానియా	ரோமாநியா
సెర్బియా	ஸெர்பியா
రష్యా	ரஷ்யா
రువాండా	ருவாஂடா
సౌదీ అరేబియా	ஸௌதீ அரேபியா
సోలమన్ దీవులు	ஸோலமந் தீவுலு
సీషెల్స్	ஸீஷெல்ஸ்
సూడాన్	ஸூடாந்
స్వీడన్	ஸ்வீடந்
సింగపూర్	ஸிஂகபூர்
సెంట్ హెలినా	ஸெஂட் ஹெலிநா
స్లోవేనియా	ஸ்லோவேநியா
స్వాల్బార్డ్ మరియు యాన్ మాయేన్	ஸ்வால்பார்ட் மரியு யாந் மாயேந்
స్లోవేకియా	ஸ்லோவேகியா
సియెర్రా లియాన్	ஸியெர்ரா லியாந்
సాన్ మారినో	ஸாந் மாரிநோ
సెనెగల్	ஸெநெகல்
సోమాలియా	ஸோமாலியா
సురినామ్	ஸுரிநாம்
దక్షిణ సూడాన్	தக்ஷிண ஸூடாந்
సావోటోమ్ మరియు ప్రిన్సిపే	ஸாவோடோம் மரியு ப்ரிந்ஸிபே
ఎల్ సాల్వడోర్	எல் ஸால்வடோர்
సింట్ మార్టెన్	ஸிஂட் மார்டெந்
సిరియా	ஸிரியா
స్వాజిల్యాండ్	ஸ்வாஜில்யாஂட்
ట్రిస్టన్ డ కన్హా	ட்ரிஸ்டந் ட கந்ஹா
తుర్క్ మరియు కాలికోస్ దీవులు	துர்க் மரியு காலிகோஸ் தீவுலு
చాద్	சாத்
ఫ్రెంచ్ దక్షిణ ప్రాంతాలు	ப்ரெஂச் தக்ஷிண ப்ராஂதாலு
టోగో	டோகோ
థాయిలాండ్	தாயிலாஂட்
తజికిస్తాన్	தஜிகிஸ்தாந்
టోకేలావ్	டோகேலாவ்
టిమోర్-లెస్టె	டிமோர்-லெஸ்டெ
తూర్పు తైమూర్	தூர்பு தைமூர்
తుర్కమేనిస్తాన్	துர்கமேநிஸ்தாந்
ట్యునీషియా	ட்யுநீஷியா
టోంగా	டோஂகா
టర్కీ	டர்கீ
ట్రినిడాడ్ మరియు టొబాగో	ட்ரிநிடாட் மரியு டொபாகோ
టువాలు	டுவாலு
తైవాన్	தைவாந்
టాంజానియా	டாஂஜாநியா
ఉక్రెయిన్	உக்ரெயிந்
ఉగాండా	உகாஂடா
సంయుక్త రాజ్య అమెరికా బయట ఉన్న దీవులు	ஸஂயுக்த ராஜ்ய அமெரிகா பயட உந்ந தீவுலு
అమెరికా సంయుక్త రాష్ట్రాలు	அமெரிகா ஸஂயுக்த ராஷ்ட்ராலு
ఉరుగువే	உருகுவே
ఉజ్బెకిస్తాన్	உஜ்பெகிஸ்தாந்
వాటికన్ నగరం	வாடிகந் நகரஂ
సెంట్ విన్సెంట్ మరియు గ్రెనడీన్స్	ஸெஂட் விந்ஸெஂட் மரியு க்ரெநடீந்ஸ்
వెనుజువేలా	வெநுஜுவேலா
బ్రిటిష్ వర్జిన్ దీవులు	ப்ரிடிஷ் வர்ஜிந் தீவுலு
వియత్నాం	வியத்நாஂ
వనాటు	வநாடு
వాలిస్ మరియు ఫ్యుత్యునా	வாலிஸ் மரியு ப்யுத்யுநா
సమోవా	ஸமோவா
కొసోవో	கொஸோவோ
యెమెన్	யெமெந்
మాయొట్టి	மாயொட்டி
దక్షిణ ఆఫ్రికా	தக்ஷிண ஆப்ரிகா
జాంబియా	ஜாஂபியா
జింబాబ్వే	ஜிஂபாப்வே
తెలియని ప్రాంతం	தெலியநி ப்ராஂதஂ
