# Territory names from CLDR
ਅਸੈਂਸ਼ਨ ਟਾਪੂ	అసైంసన టాపూ
ਸਾਊਦੀ ਅਰਬ	సాఊదీ అరబ
ਸੋਲੋਮਨ ਟਾਪੂ	సోలోమన టాపూ
ਸੇਸ਼ਲਸ	సేసలస
ਸੂਡਾਨ	సూడాన
ਸਵੀਡਨ	సవీడన
ਸਿੰਗਾਪੁਰ	సిగాపుర
ਸੇਂਟ ਹੇਲੇਨਾ	సేంట హేలేనా
ਸਲੋਵੇਨੀਆ	సలోవేనీఆ
ਸਵਾਲਬਰਡ ਅਤੇ ਜਾਨ ਮਾਯੇਨ	సవాలబరడ అతే జాన మాయేన
ਸਲੋਵਾਕੀਆ	సలోవాకీఆ
ਸਿਏਰਾ ਲਿਓਨ	సిఏరా లిఓన
ਸੈਨ ਮਰੀਨੋ	సైన మరీనో
ਸੇਨੇਗਲ	సేనేగల
ਸੋਮਾਲੀਆ	సోమాలీఆ
ਸੂਰੀਨਾਮ	సూరీనామ
ਦੱਖਣੀ ਸੂਡਾਨ	దఖణీ సూడాన
ਸਾਓ ਟੋਮ ਅਤੇ ਪ੍ਰਿੰਸੀਪੇ	సాఓ టోమ అతే ప్రిసీపే
ਅਲ ਸਲਵਾਡੋਰ	అల సలవాడోర
ਸਿੰਟ ਮਾਰਟੀਨ	సిట మారటీన
ਸੀਰੀਆ	సీరీఆ
ਸਵਾਜ਼ੀਲੈਂਡ	సవాజీలైండ
ਟ੍ਰਿਸਟਾਨ ਦਾ ਕੁੰਹਾ	ట్రిసటాన దా కుహా
ਟੁਰਕਸ ਅਤੇ ਕੈਕੋਸ ਟਾਪੂ	టురకస అతే కైకోస టాపూ
ਚਾਡ	చాడ
ਫਰੈਂਚ ਦੱਖਣੀ ਪ੍ਰਦੇਸ਼	ఫరైంచ దఖణీ ప్రదేస
ਟੋਗੋ	టోగో
ਥਾਈਲੈਂਡ	థాఈలైండ
ਤਾਜਿਕਿਸਤਾਨ	తాజికిసతాన
ਟੋਕੇਲਾਉ	టోకేలాఉ
ਤਿਮੋਰ-ਲੇਸਤੇ	తిమోర-లేసతే
ਪੂਰਬੀ ਤਿਮੋਰ	పూరబీ తిమోర
ਤੁਰਕਮੇਨਿਸਤਾਨ	తురకమేనిసతాన
ਟਿਊਨੀਸ਼ੀਆ	టిఊనీసీఆ
ਟੌਂਗਾ	టౌంగా
ਤੁਰਕੀ	తురకీ
ਟ੍ਰਿਨੀਡਾਡ ਅਤੇ ਟੋਬਾਗੋ	ట్రినీడాడ అతే టోబాగో
ਟੁਵਾਲੂ	టువాలూ
ਤਾਇਵਾਨ	తాఇవాన
ਤਨਜ਼ਾਨੀਆ	తనజానీఆ
ਯੂਕਰੇਨ	యూకరేన
ਯੂਗਾਂਡਾ	యూగాండా
ਸੰਯੁਕਤ ਰਾਜ	సయుకత రాజ
ਉਰੂਗਵੇ	ఉరూగవే
ਉਜ਼ਬੇਕਿਸਤਾਨ	ఉజబేకిసతాన
ਵੈਟੀਕਨ ਸਿਟੀ	వైటీకన సిటీ
ਸੇਂਟ ਵਿਨਸੈਂਟ ਐਂਡ ਗ੍ਰੇਨਾਡੀਨਸ	సేంట వినసైంట ఐండ గ్రేనాడీనస
ਵੇਨੇਜ਼ੂਏਲਾ	వేనేజూఏలా
ਬ੍ਰਿਟਿਸ਼ ਵਰਜਿਨ ਟਾਪੂ	బ్రిటిస వరజిన టాపూ
ਯੂ ਐਸ ਵਰਜਿਨ ਟਾਪੂ	యూ ఐస వరజిన టాపూ
ਵੀਅਤਨਾਮ	వీఅతనామ
ਵਾਨੂਆਟੂ	వానూఆటూ
ਵਾਲਿਸ ਅਤੇ ਫੂਟੂਨਾ	వాలిస అతే ఫూటూనా
ਸਾਮੋਆ	సామోఆ
ਕੋਸੋਵੋ	కోసోవో
ਯਮਨ	యమన
ਮਾਯੋਟੀ	మాయోటీ
ਦੱਖਣੀ ਅਫਰੀਕਾ	దఖణీ అఫరీకా
ਜ਼ਾਮਬੀਆ	జామబీఆ
ਜ਼ਿੰਬਾਬਵੇ	జిబాబవే
ਅਣਪਛਾਤਾ ਖੇਤਰ	అణపఛాతా ఖేతర
