# Baby names
ಅಕಾರ್ಯಸುತಾ	اكاریسوتا
ಇನ್ದುಕಾಂತಾ	إندوكانتا
ಇನ್ದುಜ	إندوج
ಇನ್ದುದಾರ	إندودار
ಇನ್ದುಶ್ರೀ	إندوشری
ಇನ್ದ್ರಕಾಂತಾ	إندركانتا
ಇನ್ದ್ರಜಿತ	إندرجیت
ಇನ್ದ್ರದತ್ತ	إندردتت
ಇನ್ದ್ರವದನ	إندرودن
ಇನ್ಧು	إندهو
ಇಯಲೀಸಾಈ	إیلیساي
ಇಯ್ಯಾಪ್ಪನ	إییاببن
ಇರಾವತೀ	إراوتی
ಇರೇಶ	إریش
ಇಶೀ	إشی
ಇಸಕೀ	إسكی
ಇಸೀತಾ	إسیتا
ಈನ್ದುಸ	إندوس
ಈರಾವಾಜ	إراواج
ಈಲಾಕ್ಕೀಯಾ	إلاككییا
ಈಶಾನಾ	إشانا
ಈಶುಕ	إشوك
ಈಶ್ತರ	إشتر
ಈಶ್ವರದತ್ತ	إشوردتت
ಈಹಮ	إهم
ಉಜೇಶ	وجیش
ಉಜ್ಜಾನಿನೀ	وججانینی
ಉಜ್ವಳ	وجور
ಉಜ್ಹಾಲಾ	وجهالا
ಉತ್ಕರ್ಷ	وتكرش
ಉತ್ಕರ್ಷಾ	وتكرشا
ಉತ್ತಮ	وتتم
ಉತ್ತಿಯಾ	وتتییا
ಉತ್ಪಲ	وتبل
ಉತ್ಪಲಾಕ್ಷ	وتبلاكش
ಉತ್ಪಲಾಭಾ	وتبلابها
ಉದಯಾ	ودیا
ಉದಾರ್ಚೀಸ	ودارتشیس
ಉದಾರ್ಶ	ودارش
ಉದೇಯ	ودیی
ಉದ್ದೀಪ	وددیب
ಉಧವ	ودهو
ಉಧ್ಗೀತಾ	ودهجیتا
ಉನ್ಮಾ	ونما
ಉಪಂಗ	وبنج
ಉಪನಂದಾ	وبنندا
ಉಪನಾಯಿಕ	وبناییك
ಉಪಮನ್ಯು	وبمنیو
ಉಪಮಾ	وبما
ಉಪಲ	وبل
ಉಪಾಂಶು	وبانشو
ಉಫ್ತಮ	وبهتم
ಉಮೇದ	ومید
ಉರವಶೀ	وروشی
ಉರುಗಾಯ	وروجای
ಉರ್ಜೀತಾ	ورجیتا
ಉರ್ಮಿಲ	ورمیل
ಉರ್ಮಿಲಾ	ورمیلا
ಉಲಗಾಪ್ಪನ	ولجاببن
ಉಲ್ಕಾ	ولكا
ಉಲ್ಕೇಶ	ولكیش
ಉಲ್ಲಾಸಿತ	وللاسیت
ಉಲ್ಲಾಸೀಥಾ	وللاسیتها
ಉಷಾ	وشا
ಉಷ್ಮಾ	وشما
ಉಸ್ಲುಂನನ	وسلوننن
ಋತಿಕಾ	رتیكا
ಏಈರಮ	یيرم
ಏಕತಾ	یكتا
ಏಕನ್ಷಾ	یكنشا
ಏಕೇಸ್ವಾರ	یكیسوار
ಏಕ್ವಿರಾ	یكویرا
ಏಲಾವೇನ್ಧನ	یلاویندهن
ಏಲೀಲೀ	یلیلی
ಏಲೇಥಿಯಾ	یلیتهییا
ಏವರಜ	یورج
ಏಶಾನಿಕಾ	یشانیكا
ಏಸ್ವರದೀತ್ಯ	یسوردیتی
ಏಹೀತ	یهیت
ಐನ್ಗೀನೀ	اینجینی
ಐಷಾ	ایشا
ಓಜಸ್ವಿನೀ	اوجسوینی
ಓಜಸ್ವೀ	اوجسوی
ಓಜಸ್ವೀತಾ	اوجسویتا
ಓನೀರ	اونیر
ಓಮಕಾರ	اومكار
ಓಮಕಾರೀ	اومكاری
ಓಮನಾ	اومنا
ಓರಿಓನ	اوریاون
ಓವೀನ	اووین
ಓಶೀನ	اوشین
ಔಶಿಗ	اوشیج
ಕಂಠ	كنطه
ಕಂಠನ	كنطهن
ಕಟರೀನಾ	كطرینا
ಕತಾನ	كتان
ಕತಾವ್ಯಾ	كتاویا
ಕಥ್ಯನೀ	كتهینی
ಕನಕ	كنك
ಕನಕಾಬತೀ	كنكابتی
ಕನೀಜಾ	كنیجا
ಕನ್ವಕ	كنوك
ಕಪಾಲಿನೀ	كبالینی
ಕಪೀಲೇಶ	كبیلیش
ಕಮಲಕಾಂತ	كملكانت
ಕಮಲನಾಥ	كملناته
ಕಮಲಾ ಸಮಭಾವ	كملا سمبهاو
ಕಮಲಾಕ್ಷೀ	كملاكشی
ಕಯಾಲ್ವೀಝ್ಹೀ	كیالویجههی
ಕಯೋಶ	كیوش
ಕರನ	كرن
ಕರಾಲಾ	كرالا
ಕರುನಾಕರ	كروناكر
ಕರ್ತೀಗಾ	كرتیجا
ಕರ್ತೀಶಾ	كرتیشا
ಕಲರನೀ	كلرنی
ಕಲಹನ	كلهن
ಕಲಾಧರ	كلادهر
ಕಲಾಪಕ	كلابك
ಕಲಾಪಿನೀ	كلابینی
ಕಲಾಸಾವೇರೀ	كلاساویری
ಕಲ್ಪಕ	كلبك
ಕಲ್ಪಿತಾ	كلبیتا
ಕಲ್ಪೇಶ	كلبیش
ಕವನೀ	كونی
ಕವಿತ	كویت
ಕಶ್ವೀ	كشوی
ಕಸ್ತುರ	كستور
ಕಾಂಚನಾ	كانتشنا
ಕಾಂವ	كانو
ಕಾದಮ್ಬಿನೀ	كادمبینی
ಕಾನನಬಾಲಾ	كاننبالا
ಕಾನಾಕಾದರೀ	كاناكادری
ಕಾನೀತಾ	كانیتا
ಕಾನೀನ	كانین
ಕಾನೀಶ್ಕಾರ	كانیشكار
ಕಾನುಶೀ	كانوشی
ಕಾನ್ಚಾನಾಧ್ವಾಜಾ	كانتشانادهواجا
ಕಾಮಮಾಂ	كاممان
ಕಾಮಾ	كاما
ಕಾಮೇರೀನಾ	كامیرینا
ಕಾಮೇಶ್ವರೀ	كامیشوری
ಕಾಯಲವಿಲೀ	كایلویلی
ಕಾರುಣ್ಯ	كارونی
ಕಾರುಣ್ಯ ಪ್ರಕಾಶ	كارونی بركاش
ಕಾರೂಕಾ	كاروكا
ಕಾರ್ತಿಕೇಯನ	كارتیكیین
ಕಾರ್ತೇಕೇಯಾ	كارتیكییا
ಕಾಲಿದಾಸ	كالیداس
ಕಾಲಿಮೋಹನ	كالیموهن
ಕಾವ್ಯನ	كاوین
ಕಾವ್ಯಶ್ರೀ	كاویشری
ಕಾವ್ಯಸ್ರೀ	كاویسری
ಕಾಷ್ಠ	كاشطه
ಕಿಂಜಲ	كینجل
ಕೀಅರಾ	كیارا
ಕೇತನ	كیتن
ಕೇಯಾ	كییا
ಕೇಲಾಕಾ	كیلاكا
ಕೇವಲ	كیول
ಕೇಶೀ	كیشی
ಕೇಸರೀಸುತ	كیسریسوت
ಕೇಸವಾ	كیسوا
ಕೇಸವಾರಾಜ	كیسواراج
ಕೈರವ	كایرو
ಕೈಲಾಶಅಧಿಪತಿ	كایلاشادهیبتی
ಕೌಶಿಕಾ	كاوشیكا
ಕೌಸುಧೀ	كاوسودهی
ಕೌಸ್ತುಭೀ	كاوستوبهی
ಖಗೇನ್ದ್ರ	كهجیندر
ಖನಕ	كهنك
ಖನಿಕಾ	كهنیكا
ಖಾಜಿತ	كهاجیت
ಖುಜಾರಾ	كهوجارا
ಖುಶ್ಬೂ	كهوشبو
ಗಂಗಜ	جنجج
ಗಂಧರ್ವವಿದ್ಯಾ	جندهروویدیا
ಗಜಗಾಮಿನೀ	جججامینی
ಗಜಪತಿ	ججبتی
ಗಜರಾಜ	ججراج
ಗಜಾಧರ	ججادهر
ಗಣಕ	جنك
ಗಣಪತ	جنبت
ಗಣಿತಾ	جنیتا
ಗಣ್ಯಾ	جنیا
ಗತಿತಾ	جتیتا
ಗನಾಕ್ಷೀ	جناكشی
ಗನೇಂದ್ರ	جنیندر
ಗನ್ಗವಾಥೀ	جنجواتهی
ಗರವೀ	جروی
ಗರಿಮಾ	جریما
ಗರ್ಜನ	جرجن
ಗರ್ವಿತ	جرویت
ಗರ್ವಿತಾ	جرویتا
ಗಹನಾ	جهنا
ಗಾಥಾ	جاتها
ಗಾವ್ಯಾ	جاویا
ಗಿರಾ	جیرا
ಗಿರಿಕ	جیریك
ಗಿರಿಜಾನಂದನ	جیریجانندن
ಗಿರ್ವಾನ	جیروان
ಗೀರೀಚಂದ್ರ	جیریتشندر
ಗೀರ್ವೇನ	جیروین
ಗೀಸೇಲೇ	جیسیلي
ಗುನವಂತೀ	جونونتی
ಗುನಾರತ್ನಾ	جونارتنا
ಗುನಾವತೀ	جوناوتی
ಗುನಾಸೇಕರಣ	جوناسیكرن
ಗುನೀತ	جونیت
ಗುನ್ಜೀತಾ	جونجیتا
ಗುನ್ದಾಪಾ	جوندابا
ಗುನ್ರೇಖಾ	جونریكها
ಗುರುದೂತ್ತ	جورودوتت
ಗುರುಬಚನ	جوروبتشن
ಗುರುರಾಜ	جوروراج
ಗುಲಜಾರೀಲಾಲ	جولجاریلال
ಗುಲಮೋಹರ	جولموهر
ಗುಲ್ಜನ	جولجن
ಗುಹಾನ	جوهان
ಗೇಶನಾ	جیشنا
ಗೋಕೀಲಾ	جوكیلا
ಗೋತಮ	جوتم
ಗೋಮಾಂಥೀ	جومانتهی
ಗೋಮ್ಯಾಸರೀ	جومیاسری
ಗೋವಿಂದಾ	جوویندا
ಗೋವಿನ್ದೀ	جوویندی
ಗೋವೀನೇಶ	جووینیش
ಘನಾವೀ	جهناوی
ಚಂಚಾರೀಕ	تشنتشاریك
ಚಂಡಮುಂಡವಿನಾಶಿನೀ	تشندموندویناشینی
ಚಂದನಾ	تشندنا
ಚಂದಸರೀ	تشندسری
ಚಂದ್ರಕಂತೀ	تشندركنتی
ಚಂದ್ರಕಾಂತ	تشندركانت
ಚಂದ್ರಕೀ	تشندركی
ಚಂದ್ರಕೀರ್ತೀ	تشندركیرتی
ಚಂದ್ರಚುರ	تشندرتشور
ಚಂದ್ರಥಾ	تشندرتها
ಚಂದ್ರನ್ಶುಂ	تشندرنشون
ಚಂದ್ರಮುಖೀ	تشندرموكهی
ಚಂದ್ರರಾಜ	تشندرراج
ಚಂದ್ರಲೇಕ್ಷಾ	تشندرلیكشا
ಚಂದ್ರಿಮಾ	تشندریما
ಚಂದ್ರು	تشندرو
ಚಂಧು	تشندهو
ಚಕೋರೀ	تشكوری
ಚಕ್ರಾಹೀಂ	تشكراهین
ಚಕ್ಷಸ	تشكشس
ಚತುರ್ಬಹಾವೇ	تشتوربهاوي
ಚನ್ದ್ರಜ್ಯೋತಿ	تشندرجیوتی
ಚನ್ದ್ರವದನ	تشندرودن
ಚನ್ದ್ರಸಹೋದಾರೀ	تشندرسهوداری
ಚರುಲಾ	تشرولا
ಚಾತುರ್ಯ	تشاتوری
ಚಾನಾಸ್ಯಾ	تشاناسیا
ಚಾನ್ದಿನೀ	تشاندینی
ಚಾನ್ನಕ್ಕಾ	تشاننككا
ಚಾಯನಾ	تشاینا
ಚಾರುದತ್ತ	تشارودتت
ಚಾರುಪ್ರಭಾ	تشاروبربها
ಚಾರ್ವೀ	تشاروی
ಚಿಂತ್ಯಾ	تشینتیا
ಚಿತಾಯು	تشیتایو
ಚಿತ್ತರಂಜನೀ	تشیتترنجنی
ಚಿತ್ತಸ್ವರೂಪ	تشیتتسوروب
ಚಿತ್ತೇಶ	تشیتتیش
ಚಿತ್ರಂಶ	تشیترنش
ಚಿತ್ರಕುನ್ಧಾಲಾ	تشیتركوندهالا
ಚಿತ್ರಬಾನಾ	تشیتربانا
ಚಿತ್ರಾದೇವೀ	تشیترادیوی
ಚಿತ್ರಾನೀ	تشیترانی
ಚಿತ್ರೀನೀ	تشیترینی
ಚಿದಂಬರಮ	تشیدنبرم
ಚಿದಾನಂದಾ	تشیدانندا
ಚಿನಾರ	تشینار
ಚೀನ್ಕಲ	تشینكل
ಚೀನ್ನಾಮಾಂಸ್ತೀಕಾ	تشیننامانستیكا
ಚೀನ್ನೀಃ	تشیننیها
ಚೇತಕ	تشیتك
ಚೇತನ್ದೀಪ	تشیتندیب
ಚೈತ್ರಯೇಶ	تشایترییش
ಚೋಲನ	تشولن
ಛೋಟು	تشهوطو
ಜಗತವೀರ	ججتویر
ಜಗದಬಂದು	ججدبندو
ಜಗ್ವೀರ	ججویر
ಜನತಾ	جنتا
ಜನೀಶಾ	جنیشا
ಜನ್ಮೇಶ	جنمیش
ಜಪೇಶ	جبیش
ಜಪ್ತೇಶ	جبتیش
ಜಬಿನೇ	جبیني
ಜಮಾಂದಾಗ್ನ್ಯ ಮಹಾದಾರ್ಪಾ	جمانداجنی مهاداربا
ಜಯ ಪ್ರಕಾಶ	جی بركاش
ಜಯಂತಾ	جینتا
ಜಯಚಂದ	جیتشند
ಜಯಪ್ರಭಾ	جیبربها
ಜಯಾ ಕುಮಾರೀ	جیا كوماری
ಜಯಾಕೀರ್ಥೀ	جیاكیرتهی
ಜಯಾಸಂಕರ	جیاسنكر
ಜಯೀನ	جیین
ಜಯೇನ್ದ್ರ	جییندر
ಜಯ್ಮೀನೀ	جیمینی
ಜಲಜ	جلج
ಜಲದ	جلد
ಜಲಧೀಜಾ	جلدهیجا
ಜಲಾರ್ಕ	جلارك
ಜಲ್ಪೂರ್ನಾ	جلبورنا
ಜವಾಹರೀ	جواهری
ಜಶವಂತ	جشونت
ಜಶೋದಾ	جشودا
ಜಶ್ಮೀನಾ	جشمینا
ಜಸಜೀತ	جسجیت
ಜಸಬೀರ	جسبیر
ಜಸಮಿತ	جسمیت
ಜಸರಾಜ	جسراج
ಜಸವೀರ	جسویر
ಜಸೀಮಾ	جسیما
ಜಸ್ಕೀರಿತ	جسكیریت
ಜಸ್ಮಿಕಾ	جسمیكا
ಜಸ್ಮೀಥ್ಯಾ	جسمیتهیا
ಜಹನಕ	جهنك
ಜಾಂಸೀ	جانسی
ಜಾಗ	جاج
ಜಾಗವೀ	جاجوی
ಜಾಗೃತಿ	جاجرتی
ಜಾನಕೀಭೂಷಣ	جانكیبهوشن
ಜಾನಕೀರಮನ	جانكیرمن
ಜಾನಾ	جانا
ಜಾನ್ವೀ	جانوی
ಜಾಪಕ	جابك
ಜಾಹೀ	جاهی
ಜಿಜ್ಞಾಸಾ	جیجناسا
ಜಿತೇನ್ದ್ರಿಯ	جیتیندریی
ಜಿಶ್ನು	جیشنو
ಜೀಗೇನ	جیجین
ಜೀಜ್ಞಾಶಾ	جیجناشا
ಜೀತನ	جیتن
ಜೀತಾಕಮ	جیتاكم
ಜೀತಾವಾರಆಶಯೇ	جیتاوارآشیي
ಜೀನ್ದಾಲ	جیندال
ಜೀಯಾಂಶೀ	جییانشی
ಜೀವೀ	جیوی
ಜೀಶನಾ	جیشنا
ಜೇನ್ನಯ	جیننی
ಜೇಯಾನ್ದ್ರಣ	جییاندرن
ಜೇರ್ರೀಷ	جیرریش
ಜೇರ್ಶೀಕಾ	جیرشیكا
ಜೈಚಾನ್ದ್ರಣ	جایتشاندرن
ಜೈನ	جاین
ಜೈಸಲ	جایسل
ಜೈಹಾಸೀನೀ	جایهاسینی
ಜೋಸ್ಯಾ	جوسیا
ಜ್ಞಾನದೇವ	جناندیو
ಜ್ಞಾನಾ	جنانا
ಜ್ಞಾನಾಲ	جنانال
ಜ್ಞಾನೇಶ್ವರೀ	جنانیشوری
ಜ್ಯೋತಿರ್ಮೋಯೀ	جیوتیرمویی
ಜ್ಯೋತಿಷಮತಿ	جیوتیشمتی
ಜ್ಯೋಥೀರ್ಮಾಈ	جیوتهیرماي
ಜ್ಹಂಕರ	جهنكر
ಜ್ಹಿಲ	جهیل
ಝರಲ	جهرل
ಝವಿಯನ	جهویین
ಝಾರಾ	جهارا
ಝೀಣೀ	جهینی
ಝೇನೀತ	جهینیت
ಝೇನೀಶಾ	جهینیشا
ಝ್ಯನಾ	جهینا
ಟಿಮ್ಮೀ	طیممی
ಠುಮಕೀ	طهومكی
ಠುಮರೀ	طهومری
ಡಿಮ್ಪೀ	دیمبی
ತಂಗವೇಲ	تنجویل
ತಂತ್ರ	تنتر
ತಂಸೀ	تنسی
ತಕ್ಶೀಲ	تكشیل
ತಜಜ್ಞ	تججن
ತಜಸರೀ	تجسری
ತತ್ವಗ್ಯಾನಾಪ್ರದ	تتوجیانابرد
ತನವೀರ	تنویر
ತನಾವ	تناو
ತನೇಶ	تنیش
ತನ್ವಿಕಾ	تنویكا
ತನ್ವೀಶ್ರೀ	تنویشری
ತಪಸ	تبس
ತಪಸ್ವೀ	تبسوی
ತಮಸ	تمس
ತಮಾಯಾನ್ಥ್ಯ	تمایانتهی
ತಮಾಸ್ವೀ	تماسوی
ತಮಿಲಾ	تمیلا
ತಮೇಶ	تمیش
ತರಂಗಿನೀ	ترنجینی
ತರಲ	ترل
ತರಸ್ವೀನ	ترسوین
ತರಿತ	تریت
ತರುಶೀ	تروشی
ತಲ್ಲೀ	تللی
ತಶಾ	تشا
ತಾಕ್ಸ್ವೀಹ	تاكسویه
ತಾನಾಸೀ	تاناسی
ತಾನ್ಹಿತಾ	تانهیتا
ತಾಮಾಂಶ್ರೀ	تامانشری
ತಾಮಾಸ್ವಿನೀ	تاماسوینی
ತಾಮಿಲಸೇಲ್ವೀ	تامیلسیلوی
ತಾಯೀನ	تایین
ತಾರಾಕ್ಷ	تاراكش
ತಾರಾಚಂದ	تاراتشند
ತಾರಾನೀಸೇನ	تارانیسین
ತಾರೀಶೀ	تاریشی
ತಾಲಿನ	تالین
ತಾವಾಸ್ಯ	تاواسی
ತಿತಲೀ	تیتلی
ತಿಲಕ	تیلك
ತಿಸ್ಯಾ	تیسیا
ತೀಅನಾ	تیانا
ತೀಯಶಾ	تییشا
ತೀಯಸ	تییس
ತುನಾವಾ	توناوا
ತುರಾನ್ಯು	تورانیو
ತುಲಜಾ	تولجا
ತುಲಸಾ	تولسا
ತುಲೀ	تولی
ತುಲೀಪ	تولیب
ತುಷಾರ	توشار
ತುಷಿತ	توشیت
ತುಷ್ಟಿ	توشطی
ತೇಗವಿರ	تیجویر
ತೇಜಸೀ	تیجسی
ತೇಜಸ್ವೀ	تیجسوی
ತೇಜಸ್ವೀನ	تیجسوین
ತೇಜೀ	تیجی
ತೇಜುಲ	تیجول
ತೇಜೇನದರ	تیجیندر
ತೇಜೇಶ	تیجیش
ತೇವಾನ	تیوان
ತೇಸಶ	تیسش
ತೋಮಾಂಲೀ	تومانلی
ತೋಯಾಜ	تویاج
ತೋಶೀ	توشی
ತೋಶೀನ	توشین
ತೌಲೀಕ	تاولیك
ತ್ರಂಬಕ	ترنبك
ತ್ರಿಂಬಿಕಾ	ترینبیكا
ತ್ರಿಕಾಯಾ	تریكایا
ತ್ರಿಜಲ	تریجل
ತ್ರಿಪುತಾ	تریبوتا
ತ್ರಿಪುರಸುಂದರೀ	تریبورسوندری
ತ್ರಿಪುರಾರೀ	تریبوراری
ತ್ರಿಪ್ತಾ	تریبتا
ತ್ರಿಲೋಕೇಶ	تریلوكیش
ತ್ರಿವಿಕ್ರಮ	تریویكرم
ತ್ರಿವೇಣೀ	تریوینی
ತ್ರಿಶಲಾನಾ	تریشلانا
ತ್ರಿಶಾಲಾ	تریشالا
ತ್ರಿಶುಲಿನೀ	تریشولینی
ತ್ರೀನೇಶ	ترینیش
ತ್ರೀಮ್ಬೀಕಾ	تریمبیكا
ತ್ರೀಲೋಚನನ	تریلوتشنن
ತ್ರೀವೀದ	تریوید
ತ್ರೀಸವಾ	تریسوا
ಥಂಗಾ	تهنجا
ಥಾನೀಶ್ಕಾ	تهانیشكا
ಥಾನುಂಶಾ	تهانونشا
ಥಾರ್ಶೀನೀ	تهارشینی
ಥಾರ್ಸೀನ	تهارسین
ದಂದಾಪಾನೀ	دندابانی
ದಕ್ಶಾಜಾ	دكشاجا
ದಕ್ಷೀ	دكشی
ದಯಾಕರ	دیاكر
ದಯಾನಿತಾ	دیانیتا
ದಯಾಲನ	دیالن
ದರಹಾಸ	درهاس
ದರಿದ್ರಾ ಧಾವ್ಸೀನೀ	دریدرا دهاوسینی
ದರೀತ್ರೀ	دریتری
ದರ್ಮೀನೀ	درمینی
ದರ್ಸೀಕಾ	درسیكا
ದವೇ	دوي
ದಶಾ	دشا
ದಶಾಗ್ರೀವಾ ಶೀರೋಹರಾ	دشاجریوا شیروهرا
ದಾನ್ಸೀಕಾ	دانسیكا
ದಾಮಾ	داما
ದಾರುಕಾ	داروكا
ದಾಶಾರತೀ	داشارتی
ದಿಕ್ಶಾನ್ಯ	دیكشانی
ದಿಕ್ಶೀಕಾ	دیكشیكا
ದಿನ ದಯಾಲ	دین دیال
ದಿಪಂಶೀ	دیبنشی
ದಿಪೇಂದರ	دیبیندر
ದಿಪೇನ	دیبین
ದೀಪ್ತಿಕಾನಾ	دیبتیكانا
ದೀಪ್ತಿಮೋಯ	دیبتیموی
ದೇನೀಷ	دینیش
ದೇಬಸ್ಮಿತಾ	دیبسمیتا
ದೇಬೋಪ್ರಿಯಾ	دیبوبرییا
ದೇಬೋಸ್ಮಿತಾ	دیبوسمیتا
ದೇಬ್ಜಾನೀ	دیبجانی
ದೇಮ್ಧೇನ್ದ್ರ	دیمدهیندر
ದೇಯ್ದಿಪ್ಯಾ	دییدیبیا
ದೇಲೀನಾ	دیلینا
ದೇವ ನರೇನ	دیو نرین
ದೇವದೀಪ	دیودیب
ದೇವನಾಥನ	دیوناتهن
ದೇವಪದ	دیوبد
ದೇವರತ	دیورت
ದೇವರಾಜ	دیوراج
ದೇವರಾಜನ	دیوراجن
ದೇವಲ	دیول
ದೇವಾಂಶು	دیوانشو
ದೇವಾರಹಾಲ್ಲೀ	دیوارهاللی
ದೇವಾಶ್ರೀ	دیواشری
ದೇವೀ	دیوی
ದೇವ್ಬ್ರತಾ	دیوبرتا
ದೇವ್ಮುಕೀಲ	دیوموكیل
ದೇವ್ಯೋಶಾ	دیویوشا
ದೇಶಿಕ	دیشیك
ದೈತ್ಯ ಸಾಈ	دایتی ساي
ದೈನಾ	داینا
ದೈವಂಶ	دایونش
ದ್ಯುತಿ	دیوتی
ಧನಶಿಕಾ	دهنشیكا
ಧನ್ವಿಕಾ	دهنویكا
ಧರಿಯಾ	دهرییا
ಧರ್ಮ	دهرم
ಧರ್ಮಜಾ	دهرمجا
ಧರ್ಮದಿತ್ಯ	دهرمدیتی
ಧಾತ್ರೀ	دهاتری
ಧಾನ	دهان
ಧಾನೀತ	دهانیت
ಧಾನೀಶಾ	دهانیشا
ಧಾಮೀನೀ	دهامینی
ಧಾಮೋಧಾರ	دهامودهار
ಧಾವಿತ	دهاویت
ಧಿತಿ	دهیتی
ಧೀಯಾನ	دهییان
ಧುಹಿತಾ	دهوهیتا
ಧೃತಿ	دهرتی
ಧೈರ್ಯ್ಯಾ	دهایرییا
ಧ್ರೀಶೀಕಾ	دهریشیكا
ಧ್ರೀಶ್ತೀಕಾ	دهریشتیكا
ಧ್ರುವಿಕಾ	دهروویكا
ಧ್ವೀಜಾ	دهویجا
ನಂದಕುಮಾರ	نندكومار
ನಕುಲ	نكول
ನಕ್ಷತ್ರಾ	نكشترا
ನಚಿಕೇತಾ	نتشیكیتا
ನತಾಲೀ	نتالی
ನಬರೂಣ	نبرون
ನಭೋಜ	نبهوج
ನಮ್ರಹ	نمره
ನಲಿನ	نلین
ನವಮ	نوم
ನವರಾತನಾ	نوراتنا
ನವಾಲನ	نوالن
ನವೇಂದು	نویندو
ನಾಕುಶ	ناكوش
ನಾಗಧವಾನೀ	ناجدهوانی
ನಾಗರತನಾ	ناجرتنا
ನಾಗಿನೀ	ناجینی
ನಾಗೇನ್ದ್ರ	ناجیندر
ನಾದಿಯಾ	نادیا
ನಾಧಾ	نادها
ನಾಧೀನೀ	نادهینی
ನಾನ್ತೀನೀ	نانتینی
ನಾಬಹ	نابه
ನಾಭೀನತ	نابهینت
ನಾಮೀಶಾ	نامیشا
ನಾಯತ	نایت
ನಾರಾಯಾಣಾ	نارایانا
ನಾರ್ಮಾಂಥಾ	نارمانتها
