# Territory names from CLDR
असेंशन द्वीप	asēnśana dvīpa
किर्गिज़स्तान	kirgizastāna
कंबोडिया	kambōḍiyā
किरिबाती	kiribātī
कोमोरोस	kōmōrōsa
सेंट किट्स और नेविस	sēṇṭa kiṭsa aura nēvisa
उत्तर कोरिया	uttara kōriyā
दक्षिण कोरिया	dakṣiṇa kōriyā
कुवैत	kuvaita
केमैन द्वीपसमूह	kēmaina dvīpasamūha
कज़ाखस्तान	kazākhastāna
लाओस	lā'ōsa
लेबनान	lēbanāna
सेंट लूसिया	sēṇṭa lūsiyā
लिचेंस्टीन	licēnsṭīna
श्रीलंका	śrīlaṅkā
लाइबेरिया	lā'ibēriyā
लेसोथो	lēsōthō
लिथुआनिया	lithu'āniyā
लग्ज़मबर्ग	lagzamabarga
लातविया	lātaviyā
लीबिया	lībiyā
मोरक्को	mōrakkō
मोनाको	mōnākō
मॉल्डोवा	mŏlḍōvā
मोंटेनेग्रो	mōṇṭēnēgrō
सेंट मार्टिन	sēṇṭa mārṭina
मेडागास्कर	mēḍāgāskara
मार्शल द्वीपसमूह	mārśala dvīpasamūha
मैसिडोनिया	maisiḍōniyā
मैसिडोनिया (FYROM)	maisiḍōniyā (FYROM)
माली	mālī
म्यांमार (बर्मा)	myāmmāra (barmā)
मंगोलिया	maṅgōliyā
मकाऊ (विशेष प्रशासनिक क्षेत्र चीन)	makā'ū (viśēṣa praśāsanika kṣētra cīna)
मकाऊ	makā'ū
उत्तरी मारियाना द्वीपसमूह	uttarī māriyānā dvīpasamūha
मार्टीनिक	mārṭīnika
मॉरिटानिया	mŏriṭāniyā
मोंटसेरात	mōṇṭasērāta
माल्टा	mālṭā
मॉरिशस	mŏriśasa
मालदीव	māladīva
मलावी	malāvī
मैक्सिको	maiksikō
मलेशिया	malēśiyā
मोज़ांबिक	mōzāmbika
नामीबिया	nāmībiyā
न्यू कैलेडोनिया	n'yū kailēḍōniyā
नाइजर	nā'ijara
नॉरफ़ॉक द्वीप	nŏrafŏka dvīpa
नाइजीरिया	nā'ijīriyā
निकारागुआ	nikārāgu'ā
नीदरलैंड	nīdaralaiṇḍa
नॉर्वे	nŏrvē
नेपाल	nēpāla
नाउरु	nā'uru
नीयू	nīyū
न्यूज़ीलैंड	n'yūzīlaiṇḍa
ओमान	ōmāna
पनामा	panāmā
पेरू	pērū
फ़्रेंच पोलिनेशिया	frēn̄ca pōlinēśiyā
पापुआ न्यू गिनी	pāpu'ā n'yū ginī
फ़िलिपींस	filipīnsa
पाकिस्तान	pākistāna
पोलैंड	pōlaiṇḍa
सेंट पिएरे और मिक्वेलान	sēṇṭa pi'ērē aura mikvēlāna
पिटकैर्न द्वीपसमूह	piṭakairna dvīpasamūha
पोर्टो रिको	pōrṭō rikō
फ़िलिस्तीनी क्षेत्र	filistīnī kṣētra
फ़िलिस्तीन	filistīna
पुर्तगाल	purtagāla
पलाऊ	palā'ū
पेराग्वे	pērāgvē
क़तर	qatara
आउटलाइंग ओशिनिया	ā'uṭalā'iṅga ōśiniyā
रियूनियन	riyūniyana
रोमानिया	rōmāniyā
सर्बिया	sarbiyā
रूस	rūsa
रवांडा	ravāṇḍā
सऊदी अरब	sa'ūdī araba
सोलोमन द्वीपसमूह	sōlōmana dvīpasamūha
सेशेल्स	sēśēlsa
सूडान	sūḍāna
स्वीडन	svīḍana
सिंगापुर	siṅgāpura
सेंट हेलेना	sēṇṭa hēlēnā
स्लोवेनिया	slōvēniyā
स्वालबार्ड और जान मायेन	svālabārḍa aura jāna māyēna
स्लोवाकिया	slōvākiyā
सिएरा लियोन	si'ērā liyōna
सैन मेरीनो	saina mērīnō
सेनेगल	sēnēgala
सोमालिया	sōmāliyā
सूरीनाम	sūrīnāma
दक्षिण सूडान	dakṣiṇa sūḍāna
साओ टोम और प्रिंसिपे	sā'ō ṭōma aura prinsipē
अल सल्वाडोर	ala salvāḍōra
सिंट मार्टिन	siṇṭa mārṭina
सीरिया	sīriyā
स्वाज़ीलैंड	svāzīlaiṇḍa
त्रिस्टान डा कुना	trisṭāna ḍā kunā
तुर्क और कैकोज़ द्वीपसमूह	turka aura kaikōza dvīpasamūha
चाड	cāḍa
फ़्रांसीसी दक्षिणी क्षेत्र	frānsīsī dakṣiṇī kṣētra
टोगो	ṭōgō
थाईलैंड	thā'īlaiṇḍa
ताजिकिस्तान	tājikistāna
तोकेलाउ	tōkēlā'u
तिमोर-लेस्त	timōra-lēsta
पूर्वी तिमोर	pūrvī timōra
तुर्कमेनिस्तान	turkamēnistāna
ट्यूनीशिया	ṭyūnīśiyā
टोंगा	ṭōṅgā
तुर्की	turkī
त्रिनिदाद और टोबैगो	trinidāda aura ṭōbaigō
तुवालू	tuvālū
ताइवान	tā'ivāna
तंज़ानिया	tan̄zāniyā
यूक्रेन	yūkrēna
युगांडा	yugāṇḍā
संयुक्त राज्य	sanyukta rājya
अमेरिका	amērikā
उरूग्वे	urūgvē
उज़्बेकिस्तान	uzbēkistāna
वेटिकन सिटी	vēṭikana siṭī
सेंट विंसेंट और ग्रेनाडाइंस	sēṇṭa vinsēṇṭa aura grēnāḍā'insa
वेनेज़ुएला	vēnēzu'ēlā
ब्रिटिश वर्जिन द्वीपसमूह	briṭiśa varjina dvīpasamūha
वियतनाम	viyatanāma
वनुआतू	vanu'ātū
वालिस और फ़्यूचूना	vālisa aura fyūcūnā
समोआ	samō'ā
कोसोवो	kōsōvō
यमन	yamana
मायोते	māyōtē
दक्षिण अफ़्रीका	dakṣiṇa afrīkā
ज़ाम्बिया	zāmbiyā
ज़िम्बाब्वे	zimbābvē
अज्ञात क्षेत्र	ajñāta kṣētra
