# Territory names from CLDR
असेंशन द्वीप	അസേംശന ദ്വീപ
पलाऊ	പലാഊ
पेराग्वे	പേരാഗ്വേ
क़तर	കതര
आउटलाइंग ओशिनिया	ആഉടലാഇംഗ ഓശിനിയാ
रियूनियन	രിയൂനിയന
रोमानिया	രോമാനിയാ
सर्बिया	സര്ബിയാ
रूस	രൂസ
रवांडा	രവാംഡാ
सऊदी अरब	സഊദീ അരബ
सोलोमन द्वीपसमूह	സോലോമന ദ്വീപസമൂഹ
सेशेल्स	സേശേല്സ
सूडान	സൂഡാന
स्वीडन	സ്വീഡന
सिंगापुर	സിംഗാപുര
सेंट हेलेना	സേംട ഹേലേനാ
स्लोवेनिया	സ്ലോവേനിയാ
स्वालबार्ड और जान मायेन	സ്വാലബാര്ഡ ഔര ജാന മായേന
स्लोवाकिया	സ്ലോവാകിയാ
सिएरा लियोन	സിഏരാ ലിയോന
सैन मेरीनो	സൈന മേരീനോ
सेनेगल	സേനേഗല
सोमालिया	സോമാലിയാ
सूरीनाम	സൂരീനാമ
दक्षिण सूडान	ദക്ഷിണ സൂഡാന
साओ टोम और प्रिंसिपे	സാഓ ടോമ ഔര പ്രിംസിപേ
अल सल्वाडोर	അല സല്വാഡോര
सिंट मार्टिन	സിംട മാര്ടിന
सीरिया	സീരിയാ
स्वाज़ीलैंड	സ്വാജീലൈംഡ
त्रिस्टान डा कुना	ത്രിസ്ടാന ഡാ കുനാ
तुर्क और कैकोज़ द्वीपसमूह	തുര്ക ഔര കൈകോജ ദ്വീപസമൂഹ
चाड	ചാഡ
फ़्रांसीसी दक्षिणी क्षेत्र	ഫ്രാംസീസീ ദക്ഷിണീ ക്ഷേത്ര
टोगो	ടോഗോ
थाईलैंड	ഥാഈലൈംഡ
ताजिकिस्तान	താജികിസ്താന
तोकेलाउ	തോകേലാഉ
तिमोर-लेस्त	തിമോര-ലേസ്ത
पूर्वी तिमोर	പൂര്വീ തിമോര
तुर्कमेनिस्तान	തുര്കമേനിസ്താന
ट्यूनीशिया	ട്യൂനീശിയാ
टोंगा	ടോംഗാ
तुर्की	തുര്കീ
त्रिनिदाद और टोबैगो	ത്രിനിദാദ ഔര ടോബൈഗോ
तुवालू	തുവാലൂ
ताइवान	താഇവാന
तंज़ानिया	തംജാനിയാ
यूक्रेन	യൂക്രേന
युगांडा	യുഗാംഡാ
संयुक्त राज्य	സംയുക്ത രാജ്യ
अमेरिका	അമേരികാ
उरूग्वे	ഉരൂഗ്വേ
उज़्बेकिस्तान	ഉജ്ബേകിസ്താന
वेटिकन सिटी	വേടികന സിടീ
सेंट विंसेंट और ग्रेनाडाइंस	സേംട വിംസേംട ഔര ഗ്രേനാഡാഇംസ
वेनेज़ुएला	വേനേജുഏലാ
ब्रिटिश वर्जिन द्वीपसमूह	ബ്രിടിശ വര്ജിന ദ്വീപസമൂഹ
वियतनाम	വിയതനാമ
वनुआतू	വനുആതൂ
वालिस और फ़्यूचूना	വാലിസ ഔര ഫ്യൂചൂനാ
समोआ	സമോആ
कोसोवो	കോസോവോ
यमन	യമന
मायोते	മായോതേ
दक्षिण अफ़्रीका	ദക്ഷിണ അഫ്രീകാ
ज़ाम्बिया	ജാമ്ബിയാ
ज़िम्बाब्वे	ജിമ്ബാബ്വേ
अज्ञात क्षेत्र	അജ്ഞാത ക്ഷേത്ര
