# Territory names from CLDR
അസൻഷൻ ദ്വീപ്	అసൻషൻ ద్వీప్
സെന്റ് കിറ്റ്‌സും നെവിസും	సెన్ఱ్ కిఱ్ఱ్‌సుం నెవిసుం
ഉത്തരകൊറിയ	ఉత్తరకెాఱియ
ദക്ഷിണകൊറിയ	దక్షిణకెాఱియ
കുവൈറ്റ്	కువైఱ్ఱ్
കേമാൻ ദ്വീപുകൾ	కేమాൻ ద్వీపుకൾ
കസാഖിസ്ഥാൻ	కసాఖిస్థాൻ
ലാവോസ്	లావేాస్
ലെബനൻ	లెబనൻ
സെൻറ് ലൂസിയ	సెൻఱ్ లూసియ
ലിച്ചൺസ്റ്റൈൻ	లిచ్చൺస్ఱ్ఱైൻ
ശ്രീലങ്ക	శ్రీలఙ్క
ലൈബീരിയ	లైబీరియ
ലെസോതോ	లెసేాతేా
ലിത്വാനിയ	లిత్వానియ
ലക്സംബർഗ്	లక్సంబർగ్
ലാറ്റ്വിയ	లాఱ్ఱ్వియ
ലിബിയ	లిబియ
മൊറോക്കൊ	మెాఱేాక్కెా
മൊണാക്കോ	మెాణాక్కేా
മൾഡോവ	మൾడేావ
മോണ്ടെനെഗ്രോ	మేాణ్టెనెగ్రేా
സെൻറ് മാർട്ടിൻ	సెൻఱ్ మాർట్టిൻ
മഡഗാസ്കർ	మడగాస్కർ
മാർഷൽ‍‍ ദ്വീപുകൾ	మాർషൽ‍‍ ద్వీపుకൾ
മാസിഡോണിയ	మాసిడేాణియ
മാസിഡോണിയ (FYROM)	మాసిడేాణియ (FYROM)
മാലി	మాలి
മ്യാൻമാർ (ബർമ്മ)	మ్యాൻమాർ (బർమ్మ)
മംഗോളിയ	మంగేాళియ
മക്കാവു (SAR) ചൈന	మక్కావు (SAR) చైన
മക്കാവു	మక్కావు
ഉത്തര മറിയാനാ ദ്വീപുകൾ	ఉత్తర మఱియానా ద్వీపుకൾ
മാർട്ടിനിക്ക്	మాർట్టినిక్క్
മൗറിറ്റാനിയ	మౌఱిఱ్ఱానియ
മൊണ്ടെസരത്ത്	మెాణ్టెసరత్త్
മാൾട്ട	మాൾట్ట
മൗറീഷ്യസ്	మౌఱీష్యస్
മാലിദ്വീപ്	మాలిద్వీప్
മലാവി	మలావి
മെക്സിക്കോ	మెక్సిక్కేా
മലേഷ്യ	మలేష్య
മൊസാംബിക്ക്	మెాసాంబిక్క్
നമീബിയ	నమీబియ
പുതിയ കാലിഡോണിയ	పుతియ కాలిడేాణియ
നൈജർ	నైజർ
നോർഫോക് ദ്വീപ്	నేాർఫేాక్ ద్వీప్
നൈജീരിയ	నైజీరియ
നിക്കരാഗ്വ	నిక్కరాగ్వ
നെതർലാൻഡ്‌സ്	నెతർలాൻడ్‌స్
നോർവെ	నేాർవె
നേപ്പാൾ	నేప్పాൾ
നൗറു	నౌఱు
ന്യൂയി	న్యూయి
ന്യൂസിലാൻറ്	న్యూసిలాൻఱ్
ഒമാൻ	ఒమాൻ
പനാമ	పనామ
പെറു	పెఱు
ഫ്രഞ്ച് പോളിനേഷ്യ	ఫ్రఞ్చ్ పేాళినేష్య
പാപ്പുവ ന്യൂ ഗിനിയ	పాప్పువ న్యూ గినియ
ഫിലിപ്പൈൻസ്	ఫిలిప్పైൻస్
പാക്കിസ്ഥാൻ	పాక్కిస్థాൻ
പോളണ്ട്	పేాళణ్ట్
സെന്റ് പിയറിയും മിക്കലണും	సెన్ఱ్ పియఱియుం మిక్కలణుం
പിറ്റ്‌കെയ്‌ൻ ദ്വീപുകൾ	పిఱ్ఱ్‌కెయ్‌ൻ ద్వీపుకൾ
പ്യൂർട്ടോ റിക്കോ	ప్యూർట్టేా ఱిక్కేా
പാലസ്‌തീൻ പ്രദേശങ്ങൾ	పాలస్‌తీൻ ప్రదేశఙ్ఙൾ
പലസ്‌തീൻ	పలస్‌తీൻ
പോർച്ചുഗൽ	పేాർచ్చుగൽ
പലാവു	పలావు
പരാഗ്വേ	పరాగ్వే
ഖത്തർ	ఖత్తർ
ദ്വീപസമൂഹം	ద్వీపసమూహం
റീയൂണിയൻ	ఱీయూణియൻ
റൊമാനിയ	ఱెామానియ
സെർബിയ	సెർబియ
റഷ്യ	ఱష్య
റുവാണ്ട	ఱువాణ్ట
സൗദി അറേബ്യ	సౌది అఱేబ్య
സോളമൻ‍ ദ്വീപുകൾ	సేాళమൻ‍ ద్వీపుకൾ
സെയ്‌ഷെൽസ്	సెయ్‌షెൽస్
സുഡാൻ	సుడాൻ
സ്വീഡൻ	స్వీడൻ
സിംഗപ്പുർ	సింగప్పుർ
സെൻറ് ഹെലീന	సెൻఱ్ హెలీన
സ്ലോവേനിയ	స్లేావేనియ
സ്വാൽബാഡും ജാൻ മായേനും	స్వాൽబాడుం జాൻ మాయేనుం
സ്ലോവാക്യ	స్లేావాక్య
സിയെറ ലിയോൺ	సియెఱ లియేాൺ
സാൻ മറിനോ	సాൻ మఱినేా
സെനഗൽ	సెనగൽ
സോമാലിയ	సేామాలియ
സുരിനെയിം	సురినెయిం
ദക്ഷിണ സുഡാൻ	దక్షిణ సుడాൻ
സാവോ ടോമും പ്രിൻസിപെയും	సావేా టేాముం ప్రిൻసిపెయుం
എൽ സാൽവദോർ	ఎൽ సాൽవదేాർ
സിന്റ് മാർട്ടെൻ	సిన్ఱ్ మాർట్టెൻ
സിറിയ	సిఱియ
സ്വാസിലാൻറ്	స్వాసిలాൻఱ్
ട്രസ്റ്റൻ ഡ കൂന	ట్రస్ఱ్ఱൻ డ కూన
ടർക്ക്‌സും കെയ്‌ക്കോ ദ്വീപുകളും	టർక్క్‌సుం కెయ్‌క్కేా ద్వీపుకళుం
ഛാഡ്	ఛాడ్
ഫ്രഞ്ച് ദക്ഷിണ ഭൂപ്രദേശം	ఫ్రఞ్చ్ దక్షిణ భూప్రదేశం
ടോഗോ	టేాగేా
തായ്‌ലാൻഡ്	తాయ్‌లాൻడ్
താജിക്കിസ്ഥാൻ	తాజిక్కిస్థాൻ
ടോക്കെലൂ	టేాక్కెలూ
തിമോർ-ലെസ്റ്റെ	తిమేాർ-లెస్ఱ్ఱె
കിഴക്കൻ തിമോർ	కిళక్కൻ తిమేాർ
തുർക്ക്മെനിസ്ഥാൻ	తుർక్క్మెనిస్థాൻ
ടുണീഷ്യ	టుణీష్య
ടോംഗ	టేాంగ
തുർക്കി	తుർక్కి
ട്രിനിഡാഡും ടുബാഗോയും	ట్రినిడాడుం టుబాగేాయుం
ടുവാലു	టువాలు
തായ്‌വാൻ	తాయ్‌వాൻ
ടാൻസാനിയ	టాൻసానియ
ഉക്രെയ്‌ൻ	ఉక్రెయ్‌ൻ
ഉഗാണ്ട	ఉగాణ్ట
അമേരിക്കൻ ഐക്യനാടുകൾ	అమేరిక్కൻ ఐక్యనాటుకൾ
ഉറുഗ്വേ	ఉఱుగ్వే
ഉസ്‌ബെക്കിസ്ഥാൻ	ఉస్‌బెక్కిస్థాൻ
വത്തിക്കാൻ	వత్తిక్కాൻ
സെന്റ് വിൻസെന്റും ഗ്രനെഡൈൻസും	సెన్ఱ్ విൻసెన్ఱుం గ్రనెడైൻసుం
വെനിസ്വേല	వెనిస్వేల
ബ്രിട്ടീഷ് വെർജിൻ ദ്വീപുകൾ	బ్రిట్టీష్ వెർజిൻ ద్వీపుకൾ
വിയറ്റ്നാം	వియఱ్ఱ్నాం
വന്വാതു	వన్వాతు
വാലിസ് ആന്റ് ഫ്യൂച്യുന	వాలిస్ ఆన్ఱ్ ఫ్యూచ్యున
സമോവ	సమేావ
കൊസോവൊ	కెాసేావెా
യെമൻ	యెమൻ
മയോട്ടി	మయేాట్టి
ദക്ഷിണാഫ്രിക്ക	దక్షిణాఫ్రిక్క
സാംബിയ	సాంబియ
സിംബാബ്‌വേ	సింబాబ్‌వే
അജ്ഞാത പ്രദേശം	అజ్ఞాత ప్రదేశం
