# Baby names
ଅକର୍ଯସୁଟ	اكریسوط
କମଲ୍ନଯନ୍	كملنین
କମେଶ୍ବୁଅର୍	كمیشبوار
କମୋଡ୍	كمود
କଯଲ୍ବିଲି	كیلبیلی
କରିଶ୍ମା	كریشما
କରୁନାକର୍	كروناكر
କରୋନା	كرونا
କର୍ଟାର୍	كرطار
କର୍ତି	كرتی
କର୍ତୀକ୍	كرتیك
କର୍ହିକ୍	كرهیك
କଲବତି	كلبتی
କଲୈଅରସି	كلایارسی
କଲ୍ପା	كلبا
କଲ୍ବା	كلبا
କଶିଶ୍	كشیش
କଶ୍ମିରା	كشمیرا
କସିଶ୍	كسیش
କସ୍ନି	كسنی
କସ୍ସମଲି	كسسملی
କହର୍	كهر
କହ୍ଲିମା	كهلیما
କାକଲି	كاكلی
କାକୋଲି	كاكولی
କାକ୍ଶା	كاكشا
କାଜୋଲ୍	كاجول
କାଡନ୍ମ୍ବରି	كادنمبری
କାନ୍ଟି	كانطی
କାଲିକା	كالیكا
କାଲିଚରନ୍	كالیتشرن
କାଲିନ୍ଡି	كالیندی
କାଲିଯା	كالییا
କାଲିରନ୍ଜନ୍	كالیرنجن
କୈରବ୍	كایرب
କୈଲାସ୍	كایلاس
କୌଶିକା	كاوشیكا
କୌଶ୍ଲେନ୍ଡେର୍	كاوشلیندیر
ଗଙାଡଟ୍ଟ୍	جنجادطط
ଗଙେଶ୍	جنجیش
ଗଜନନ	ججنن
ଗଜାନନ୍ଡ୍	ججانند
ଗଜ୍ରୁପ୍	ججروب
ଗନଦ୍ଯକ୍ଶିନା	جندیكشینا
ଗନରାଜ୍	جنراج
ଗମ୍ଭିର୍	جمبهیر
ଗରିଶିଟ୍	جریشیط
ଗରିଶ୍ଟ୍	جریشط
ଗରୁଡ୍	جرود
ଗାର୍ଗୀ	جارجی
ଗିଟାନ୍ଜଲି	جیطانجلی
ଗିଟିକା	جیطیكا
ଗିବ୍ସୋନ୍	جیبسون
ଗିରିଜନନ୍ଡନ୍	جیریجنندن
ଗିରିଶରନ୍	جیریشرن
ଗୀଟାନ୍ଜଲି	جیطانجلی
ଗୀଟାସ୍ରି	جیطاسری
ଗୀତିକା	جیتیكا
ଗୁନସେକରନ୍	جونسیكرن
ଗୁନିତା	جونیتا
ଗୁଫାମ୍	جوبهام
ଗୁରୁ	جورو
ଗୁରୁ ଗୁଗନ୍	جورو جوجن
ଗୁରୁସାରନ୍	جوروسارن
ଗେଯା	جییا
ଗୋଉରଙି	جوورنجی
ଗୋଟମ୍	جوطم
ଗୋଡବରି	جودبری
ଗୋପାଲ୍	جوبال
ଗୋପିନାତନ୍	جوبیناتن
ଗୋପୁ	جوبو
ଗୋବିଲ୍	جوبیل
ଗୋରଖ୍	جوركه
ଗୋଲୋଚନ୍	جولوتشن
ଗୌରଂଗୀ	جاورنجی
ଗ୍ନନଲିଆ	جننلیآ
ଗ୍ଯାନା	جیانا
ଗ୍ରହିଲ୍	جرهیل
ଗ୍ରିତେଶ୍	جریتیش
ଘନମଲିକା	جهنملیكا
ଘନଲିଙା	جهنلینجا
ଘୁଲିକା	جهولیكا
ଚଟୁର୍ଭୁଜା	تشطوربهوجا
ଚଟୁର୍ଭୁଜ୍	تشطوربهوج
ଚନ୍ଚଲା	تشنتشلا
ଚନ୍ଡା ବର୍ମନ୍	تشندا برمن
ଚନ୍ଡେର୍	تشندیر
ଚନ୍ଡ୍ରକାନ୍ଟା	تشندركانطا
ଚନ୍ଡ୍ରକିର୍ତି	تشندركیرتی
ଚନ୍ଡ୍ରଡିଟ୍ଯା	تشندردیطیا
ଚନ୍ଡ୍ରନାତ୍	تشندرنات
ଚନ୍ଡ୍ରପ୍ରକାଶ୍	تشندربركاش
ଚନ୍ଡ୍ରବାତି	تشندرباتی
ଚନ୍ଡ୍ରମୋଉଲି	تشندرموولی
ଚନ୍ଡ୍ରଲେଖା	تشندرلیكها
ଚନ୍ଡ୍ରସହୋଡରି	تشندرسهودری
ଚନ୍ଡ୍ରାକିରନ୍	تشندراكیرن
ଚନ୍ଡ୍ରେଯୀ	تشندرییی
ଚନ୍ଡ୍ର୍ପୀଡ୍	تشندربید
ଚମ୍ପା	تشمبا
ଚମ୍ପିକା	تشمبیكا
ଚରନ୍ଜୀଟ୍	تشرنجیط
ଚରନ୍ଡେବ୍	تشرندیب
ଚରିଟା	تشریطا
ଚରୁପ୍ରଭା	تشروبربها
ଚରୁଲେଖା	تشرولیكها
ଚରୁଶିଲା	تشروشیلا
ଚାଯା	تشایا
ଚିଟ୍ରିଟା	تشیطریطا
ଚିଡକଶ୍	تشیدكش
ଚିଡାନନ୍ଡ୍	تشیدانند
ଚିତ୍ରା	تشیترا
ଚିନ୍କଲ୍	تشینكل
ଚିନ୍ଟନା	تشینطنا
ଚିନ୍ଟନିକା	تشینطنیكا
ଚିନ୍ଟଲ୍	تشینطل
ଚିନ୍ମଯୁ	تشینمیو
ଚିରନ୍ଜିବ୍	تشیرنجیب
ଚିରନ୍ଜୀବି	تشیرنجیبی
ଚିରୁ	تشیرو
ଚୁଟ୍କି	تشوطكي
ଚେଟକ୍	تشیطك
ଚେନ୍ନା	تشیننا
ଚେମ୍ମଲ୍	تشیممل
ଚେରିତ୍	تشیریت
ଚେଲନ୍	تشیلن
ଚେଲିଯନ୍	تشیلیین
ଚେଲୁବା	تشیلوبا
ଚୈଟ୍ରା	تشایطرا
ଚୈନ୍	تشاین
ଚୋଲାନ୍	تشولان
ଚ୍ହଯାନ୍କ୍	تشهیانك
ଜଗଟି	ججطی
ଜଗଟ୍ଗୁରୁ	ججطجورو
ଜଗଡମ୍ବିକା	ججدمبیكا
ଜଗଡ୍ବନ୍ଡୁ	ججدبندو
ଜଗନ୍ନାତନ୍	ججنناتن
ଜଗନ୍ମଯୀ	ججنمیی
ଜଗ୍ଜିବନ୍	جججیبن
ଜଗ୍ଜୀବନ୍	جججیبن
ଜନକିଭୁଶନ୍	جنكیبهوشن
ଜନଦର୍ନ୍	جندرن
ଜନାନି	جنانی
ଜନାର୍ଦନା	جناردنا
ଜମୁନା	جمونا
ଜଯ ପ୍ରଟୀକ୍	جی برطیك
ଜଯ ପ୍ରିଯା	جی برییا
ଜଯପୋର୍ନା	جیبورنا
ଜଯସ୍ରି	جیسری
ଜଯାନନ୍ଡ୍	جیانند
ଜଯ୍କିଶନ୍	جیكیشن
ଜଯ୍ସ୍ରୀ	جیسری
ଜଲକ୍	جلك
ଜଲନ୍ହିଲି	جلنهیلی
ଜଲ୍ଦର୍	جلدر
ଜଶି	جشی
ଜଶୋଡା	جشودا
ଜସମିଟ୍	جسمیط
ଜସ୍ବୁଇତା	جسبويتا
ଜସ୍ମେର୍	جسمیر
ଜାଗ୍ରୁଟି	جاجروطی
ଜାନବି	جانبی
ଜାନ୍	جان
ଜାନ୍ଜର୍	جانجر
ଜାବିଅନ୍	جابیان
ଜାବେଶ୍	جابیش
ଜାହି	جاهی
ଜିଗନଶା	جیجنشا
ଜିଗ୍ଯାଶା	جیجیاشا
ଜିତ୍ଯା	جیتیا
ଜିନ୍ସ୍ଯ୍	جینسی
ଜିବଟି	جیبطی
ଜିଯା ଉଶସ୍	جییا وشس
ଜିଶା	جیشا
ଜୀବିଟା	جیبیطا
ଜୀବ୍ନୀ	جیبنی
ଜେନିଶା	جینیشا
ଜେନ୍ସ୍ଯ୍	جینسی
ଜେଯରଟ୍ନମ୍	جییرطنم
ଜେଲସ୍ମି	جیلسمی
ଜେସ୍ରି	جیسری
ଜେହନ୍ନଜ୍	جیهننج
ଜୈଚନ୍ଡ୍ରନ୍	جایتشندرن
ଜୈଟୈଶ୍	جایطایش
ଜୈଡଯାଲ୍	جایدیال
ଜୈନନ୍ଡ୍	جاینند
ଜୈନିଶ୍	جاینیش
ଜୈନେଶ୍	جاینیش
ଜୈବୀର୍	جایبیر
ଜୈବୁଅନ୍ଟ୍	جایبوانط
ଜୈମନ୍	جایمن
ଜୈଶନ୍କର୍	جایشنكر
ଜୈସୁଦନ୍	جایسودن
ଜୋଲ୍ଯ୍	جولی
ଝିନୁକ୍	جهینوك
ଝିଲ୍ମିଲ୍	جهیلمیل
ଟିଟିର୍	طیطیر
ଟିଲୋଟ୍ଟମା	طیلوططما
ଟିସ୍ଟା	طیسطا
ଟେଜସ୍ବୁଇନ୍	طیجسبوين
ଟୋଶନ୍	طوشن
ଟ୍ରୈଲୋକ୍ବା	طرایلوكبا
ଡଦିଜା	ددیجا
ଡବୀଟ୍	دبیط
ଡାନିଶ୍	دانیش
ଣିଲାନ୍ଜନା	نیلانجنا
ତଙାଡୁରାଇ	تنجادوراي
ତଙାମନି	تنجامنی
ତଙାରାଜ୍	تنجاراج
ତତ୍ବ	تتب
ତନଯ୍ମୀ	تنیمی
ତନିଆ	تنیآ
ତନିଗାଇ	تنیجاي
ତନିଶ୍କ	تنیشك
ତନିଶ୍ତା	تنیشتا
ତନୁଜ୍	تنوج
ତନୋଜ୍	تنوج
ତନ୍ଶୁ	تنشو
ତପସ୍ଯା	تبسیا
ତବୁ	تبو
ତମୋଘ୍ନା	تموجهنا
ତରକାର୍ ସେର୍ରୋନ୍	تركار سیررون
ତରକ୍	ترك
ତରଶ	ترش
ତରାନିକା	ترانیكا
ତର୍ଜ୍ନି	ترجنی
ତର୍ପନ୍	تربن
ତର୍ଲି	ترلی
ତର୍ଶିନି	ترشینی
ତଶ୍ବି	تشبی
ତହାନ୍	تهان
ତାରା	تارا
ତିଇବ୍ଯେଶ୍	تیيبییش
ତିବ୍ଯାନ୍	تیبیان
ତିରୁଚନ୍ଡ୍ରା	تیروتشندرا
ତୀକ୍ଶିକ	تیكشیك
ତୀନିଶ୍	تینیش
ତୁମ୍କି	تومكي
ତେଜସ୍	تیجس
ତେଜସ୍ବ୍ବିତ	تیجسببیت
ତେଜି	تیجی
ତେଜୋବିକସ୍	تیجوبیكس
ତେଜ୍	تیج
ତେଶିନୀ	تیشینی
ତୋମୋଗ୍ନା	توموجنا
ତ୍ରିଲୂକାମନ୍	تریلوكامن
ତ୍ରିଲୋକ୍	تریلوك
ତ୍ରିଶ୍	تریش
ତ୍ରେଶା	تریشا
ଦକ୍ଶକ୍	دكشك
ଦକ୍ଶେଶ୍	دكشیش
ଦଜ୍ଶି	دجشی
ଦଞଟା	دنطا
ଦଞ୍ଟା	دنطا
ଦଟ୍ଟଟ୍ରି	دطططری
ଦନନ୍ଜଯ୍	دننجی
ଦନଶ୍ରି	دنشری
ଦନିଏଲ୍	دنییل
ଦନିଶ୍ଟା	دنیشطا
ଦନିଶ୍ତା	دنیشتا
ଦନୁଶ୍	دنوش
ଦନୁଶ୍ରି	دنوشری
ଦନେଶି	دنیشی
ଦନ୍ବି	دنبی
ଦବିନ୍	دبین
ଦବୀନା	دبینا
ଦଯନିଟା	دینیطا
ଦଯମଯୀ	دیمیی
ଦଯରାମ୍	دیرام
ଦରହସି	درهسی
ଦର୍ମେନ୍ଦର୍	درمیندر
ଦର୍ରେନ୍	دررین
ଦସା	دسا
ଦାମିନି	دامینی
ଦୀକ୍ଶି	دیكشی
ଦୀନା	دینا
ଦୀପକ୍ରାଜ୍	دیبكراج
ଦୀପଶ୍ରି	دیبشری
ଦୀପେଶ୍	دیبیش
ଦୀପ୍ଟିକା	دیبطیكا
ଦୀପ୍ଟିମୋଯୀ	دیبطیمویی
ଦୀପ୍ମାଲା	دیبمالا
ଦୀପ୍ଯୋଗ୍	دیبیوج
ଦୀଶ୍ନା	دیشنا
ଦୀହେର୍	دیهیر
ଦେକ୍ଶିତ୍	دیكشیت
ଦେନିଶ୍	دینیش
ଦେବ ପ୍ରିଯା	دیب برییا
ଦେବର୍ପନା	دیبربنا
ଦେବାର୍ଟି	دیبارطی
ଦେବିକ୍	دیبیك
ଦେବିଡାସ୍	دیبیداس
ଦେବିଲାଲ୍	دیبیلال
ଦେବେନ୍	دیبین
ଦେବେନ୍ଡ୍ରନାତ୍	دیبیندرنات
ଦେବେନ୍ଡ୍ରଶିକା	دیبیندرشیكا
ଦେବେଶି	دیبیشی
ଦେବ୍ ନରେନ୍	دیب نرین
ଦେବ୍କି	دیبكي
ଦେବ୍ଜନି	دیبجنی
ଦେବ୍ଯଶି	دیبیشی
ଦେଲୀନା	دیلینا
ଦେଶ୍ନୀ	دیشنی
ଦେହଯ୍	دیهی
ଦୈବି	دایبی
ଦୈବିକ୍	دایبیك
ନକ୍ଶା	نكشا
ନଖ୍ରାଜ୍	نكهراج
ନଗନାତ୍	نجنات
ନଗାନ୍ଜଲି	نجانجلی
ନଗ୍ଗର୍	نججر
ନଗ୍ଦର୍	نجدر
ନଙୈ	ننجاي
ନଚ୍ନି	نتشنی
ନଟ୍ରାଜ୍	نطراج
ନଡୀଶ୍	ندیش
ନନ୍ଡି	نندی
ନବନୀତା	نبنیتا
ନବରାଜ୍	نبراج
ନବରାନ୍ଜନି	نبرانجنی
ନବିନା	نبینا
ନବିନ୍ଡ୍	نبیند
ନବିଲ୍	نبیل
ନବୁଅଲ୍	نبوال
ନବେଶା	نبیشا
ନବ୍କର୍	نبكر
ନବ୍କିରନ୍	نبكیرن
ନବ୍କୁନ୍ଜ୍	نبكونج
ନବ୍ଯା ଦୁର୍ଗା	نبیا دورجا
ନଭଯନ୍	نبهین
ନଭା	نبها
ନଭିଜ୍	نبهیج
ନଭିତା	نبهیتا
ନମି	نمی
ନମିଟା	نمیطا
ନମିଟ୍	نمیط
ନମିତା	نمیتا
ନମିଶା	نمیشا
ନମ୍ଡେବ୍	نمدیب
ନରସିମ୍ହା	نرسیمها
ନରେନ୍ଡ୍ରନ୍	نریندرن
ନର୍ମଡ୍	نرمد
ନର୍ରେଶ୍	نرریش
ନଲିନାକ୍ଶ୍	نلیناكش
ନାଇଟିକ୍	نايطیك
ନାଲନ୍	نالن
ନାଲବେନ୍ଭା	نالبینبها
ନିକ୍କି	نیككي
ନିଦି	نیدی
ନିଲମ୍ବରି	نیلمبری
ନୀଇଲ୍	نیيل
ନୀଜା	نیجا
ନୀତୁ	نیتو
ନୀରାଜା	نیراجا
ନୀଲବତି	نیلبتی
ନୀଲବ୍ଜା	نیلبجا
ନୀଲମେଗନ୍	نیلمیجن
ନୀଲଯା	نیلیا
ନୀଲୁ	نیلو
ନୀଲ୍	نیل
ନୀଲ୍ମାଦବ୍	نیلمادب
ନୀହା	نیها
ନେଟ୍ରାବଟି	نیطرابطی
ନେଡୁମରନ୍	نیدومرن
ନେମି	نیمی
ନେର୍ଯା	نیریا
ନେଲ୍ବିନ୍	نیلبین
ନୈମିଶ୍	نایمیش
ପଝନନ୍ଡାବର୍	بجهنندابر
ପତଲା	بتلا
ପତୋଜ୍	بتوج
ପତ୍ରଲିକା	بترلیكا
ପଦାମବତି	بدامبتی
ପଦ୍ମଜା	بدمجا
ପଦ୍ମବସା	بدمبسا
ପଦ୍ମମଲଧର	بدمملدهر
ପଦ୍ମଯନି	بدمینی
ପଦ୍ମାଗ୍ରିହ	بدماجریه
ପଦ୍ମାମୁଖୀ	بدماموكهی
ପଦ୍ମୋଡ୍ଭବ	بدمودبهب
ପଦ୍ମ୍	بدم
ପନିଟା	بنیطا
ପନ୍କଜା	بنكجا
ପନ୍ଖୁଡି	بنكهودی
ପନ୍ଖୁରି	بنكهوری
ପନ୍ଚଜନା	بنتشجنا
ପନ୍ଚାବକ୍ଟ୍ରା	بنتشابكطرا
ପନ୍ଡୁ	بندو
ପନ୍ନାଲାଲ୍	بننالال
ପବନ୍ କୁମାର୍	ببن كومار
ପବିକରାନ୍	ببیكران
ପବେଶ୍	ببیش
ପବ୍ଲୀନ୍	ببلین
ପରବାସୁ	برباسو
ପରବି	بربی
ପରବ୍	برب
ପରମାର୍ତା	برمارتا
ପରମେସ୍ବୁଅରି	برمیسبواری
ପରିକା	بریكا
ପରିକେତ୍	بریكیت
ପରିଜଟ୍	بریجط
ପରିତୋଶ୍	بریتوش
ପରିସା	بریسا
ପର୍ଦୁ	بردو
ପର୍ନାଦ୍	برناد
ପର୍ନାଲ୍	برنال
ପର୍ନି	برنی
ପର୍ନିତା	برنیتا
ପର୍ବି	بربی
ପର୍ବୁଇନ୍ଡେର୍	بربويندیر
ପର୍ମିତା	برمیتا
ପର୍ମେଶ୍ବୁଅର୍	برمیشبوار
ପର୍ଶ୍ବା	برشبا
ପଲକ୍	بلك
ପଲକ୍ଶି	بلكشی
ପଲାନି କୁମାର୍	بلانی كومار
ପଲ୍ବିଶ୍	بلبیش
ପାଚକ୍	باتشك
ପାବକି	بابكي
ପାବନ୍	بابن
ପାର୍ତନ୍	بارتن
ପାର୍ତିଭ୍	بارتیبه
ପାର୍ବଟିନନ୍ଡନ୍	باربطینندن
ପିଯାଶା	بییاشا
ପିଯୁଶା	بییوشا
ପୀଟଶ୍ମା	بیطشما
ପୂଜିତା	بوجیتا
ପୂବିତନା	بوبیتنا
ପୂରିକା	بوریكا
ପେର୍ନିତା	بیرنیتا
ପୋଉଶାଲି	بووشالی
ପ୍ରଭା	بربها
ପ୍ରଭାବତ୍ଯ୍	بربهابتی
ପ୍ରାନ୍ବି	برانبی
ଫନିଶ୍ବୁଅର୍	بهنیشبوار
ଫଲାନି	بهلانی
ଫେରଲ୍	بهیرل
ବକ୍ରାଭୁଜ୍	بكرابهوج
ବକ୍ରୁତ୍	بكروت
ବଗ୍ମିନେ	بجمیني
ବଟୁକ୍	بطوك
ବତତ୍ମଜ୍	بتتمج
ବତ୍ସ୍ଯଯନ୍	بتسیین
ବନବରାଯନ୍	بنبراین
ବନାର୍	بنار
ବନିନି	بنینی
ବନିଲା	بنیلا
ବନିସ୍ରୀ	بنیسری
ବନ୍କା	بنكا
ବନ୍ଦୁ	بندو
ବନ୍ବିହାରି	بنبیهاری
ବନ୍ଭଟ୍ଟ୍	بنبهطط
ବନ୍ମାଲା	بنمالا
ବନ୍ମ୍ଜଲଜ୍	بنمجلج
ବନ୍ଶି	بنشی
ବନ୍ଶିଟା	بنشیطا
ବନ୍ଶିଲ୍	بنشیل
ବନ୍ସରି	بنسری
ବବଞା	ببنا
ବମାନିଏ	بمانیي
ବମ୍ସି	بمسی
ବମ୍ସୀ	بمسی
ବଯୁନ୍	بیون
ବରଦବିନଯକା	بردبینیكا
ବରଲକ୍ଶ୍ମି	برلكشمی
ବରୁନ୍	برون
ବରେନ୍ଡ୍ରା	بریندرا
ବର୍ଚେକା	برتشیكا
ବର୍ଦମାନ୍	بردمان
ବର୍ଦାନ୍	بردان
ବର୍ନିକା	برنیكا
ବର୍ଶନା	برشنا
ବର୍ଶନି	برشنی
ବର୍ଶିକା	برشیكا
ବଲାବନ୍	بلابن
ବଲେନ୍ଡୁ	بلیندو
ବଲ୍ମେକି	بلمیكي
ବଲ୍ଲକି	بللكي
ବଲ୍ଲି	بللی
ବସନ୍ଟାପ୍ରଭା	بسنطابربها
ବସନ୍ଟି	بسنطی
ବସନ୍ତ୍	بسنت
ବସବି	بسبی
ବସବ୍	بسب
ବସୁପତି	بسوبتی
ବସ୍ଟିନ୍	بسطین
ବାଗ୍ଡେବି	باجدیبی
ବାଚି	باتشی
ବାନି	بانی
ବାଲା ଗୋବିନ୍ଡ୍	بالا جوبیند
ବାଲ୍ ଗୋପଲ୍	بال جوبل
ବାସି	باسی
ବାସୁଦା	باسودا
ବାସୁଲକ୍ଶ୍ମି	باسولكشمی
ବିତିକା	بیتیكا
ବିଭା	بیبها
ବିଲ୍ବୁଆସ୍ରି	بیلبوآسری
ବିଶ୍ନୁ	بیشنو
ବୀଦାସ୍ରୀ	بیداسری
ବୀନାବନି	بینابنی
ବୀରସୁନ୍ଡରି	بیرسوندری
ବୁଆମନ୍	بوآمن
ବୁଆମିକା	بوآمیكا
ବୁବନା	بوبنا
ବେଡାନ୍	بیدان
ବେଡାନ୍ଶି	بیدانشی
ବେଡିତା	بیدیتا
ବେଦା	بیدا
ବେମ୍ବରାସି	بیمبراسی
ବେଲ୍	بیل
ବୈଜାଯନ୍ଟି	بایجاینطی
ବୈଡିଶ୍	بایدیش
ବୈଦିକ୍	بایدیك
ବୈନବି	باینبی
ବୈବଟ୍	بایبط
ବୈରବି	بایربی
ବୈଶାଲି	بایشالی
ବୈଶେକା	بایشیكا
ବୈଶ୍ନବି	بایشنبی
ବୈଶ୍ନୋଦେବି	بایشنودیبی
ବୈଶ୍ନୋବ୍	بایشنوب
ବ୍ରିଜା	بریجا
ବ୍ରିତ୍ହି	بریتهی
ବ୍ରିଶା	بریشا
ବ୍ରୁନ୍ଡା	بروندا
ଭନଦବ୍ଯା	بهندبیا
ଭଶ୍ବିକା	بهشبیكا
ଭସ୍କରା	بهسكرا
ଭାwନା	بهاwنا
ଭାଗ୍ବୁଅଟି	بهاجبواطی
ଭାଗ୍ବୁଅନ୍ଟି	بهاجبوانطی
ଭାଗ୍ଯ	بهاجی
ଭାଗ୍ଯନନ୍ଡନା	بهاجینندنا
ଭାଗ୍ଯଶ୍ରି	بهاجیشری
ଭାବଲନ୍	بهابلن
ଭାବିକ୍	بهابیك
ଭାରବି	بهاربی
ଭାସ୍କରି	بهاسكری
ଭାସ୍ବୁଅତ୍	بهاسبوات
ଭିଶ୍ମା	بهیشما
ଭୁମା	بهوما
ଭୌଟିକ୍	بهاوطیك
ଭୌମି	بهاومی
ଭ୍ରିତି	بهریتی
ଭ୍ରୁହନ୍ତ୍	بهروهنت
ମଗନ୍	مجن
ମଙଲମ୍	منجلم
ମଙଲା	منجلا
ମଙିରି	منجیری
ମଙୈ	منجاي
ମଡନ୍ମୋହନ୍	مدنموهن
ମଡୁର୍	مدور
ମଦୁ ବିନ୍ଡୁ	مدو بیندو
ମଦୁକ୍	مدوك
ମଦୁଚନ୍ଡା	مدوتشندا
ମଦୁନିକା	مدونیكا
ମଦୁମଯ୍	مدومی
ମଦୁମିତା	مدومیتا
ମଦୁରି	مدوری
ମନସ୍ବି	منسبی
ମନସ୍ବୁଇନି	منسبوينی
ମନିଟ୍	منیط
ମନିତା	منیتا
ମନିନ୍ଡ୍ରା	منیندرا
ମନିମୋଝି	منیموجهی
ମନିରାମ୍	منیرام
ମନୀଟ୍	منیط
ମନୋଜ୍ନା	منوجنا
ମନ୍ଜିରି	منجیری
ମନ୍ଜୁଲ୍	منجول
ମନ୍ଡରା	مندرا
ମନ୍ଡର୍ମଲିକା	مندرملیكا
ମନ୍ଡାବି	مندابی
ମନ୍ତିକା	منتیكا
