# Territory names from CLDR
ଆଣ୍ଡୋରା	āṇḍōrā
କୋକୋସ୍ ଆଇସଲ୍ୟାଣ୍ଡ	kōkōs ā'isalẏāṇḍa
କଙ୍ଗୋ-କିନସାସା	kaṅgō-kinasāsā
ମଧ୍ୟ ଆଫ୍ରିକୀୟ ଗଣତନ୍ତ୍ର	madhẏa āphrikīẏa gaṇatantra
କଙ୍ଗୋ-ବ୍ରାଜିଭିଲ୍ଲେ	kaṅgō-brājibhillē
ସ୍ବିଜରଲ୍ୟାଣ୍ଡ	sbijaralẏāṇḍa
ଆଇବରୀ କୋଷ୍ଟ	ā'ibarī kōṣṭa
କୁକ୍ ଆଇସଲ୍ୟାଣ୍ଡ	kuk ā'isalẏāṇḍa
ଚିଲ୍ଲୀ	cillī
କାମେରୁନ୍	kāmērun
ଚିନ୍	cin
କୋଲମ୍ବିଆ	kōlambi'ā
କୋଷ୍ଟା ରିକା	kōṣṭā rikā
କ୍ୱିବା	kẇibā
କେପ୍ ଭର୍ଦେ	kēp bhardē
ଖ୍ରୀଷ୍ଟମାସ ଆଇଲ୍ୟାଣ୍ଡ	khrīṣṭamāsa ā'ilẏāṇḍa
ସାଇପ୍ରସ୍	sā'ipras
ଚେକ୍ ସାଧାରଣତନ୍ତ୍ର	cēk sādhāraṇatantra
ଜର୍ମାନୀ	jarmānī
ଡିବୌଟି	ḍibauṭi
ଡେନମାର୍କ	ḍēnamārka
ଡୋମିନାକା	ḍōminākā
ଡୋମିନକାନ୍ ପ୍ରଜାତନ୍ତ୍ର	ḍōminakān prajātantra
ଆଲଜେରିଆ	ālajēri'ā
ଇକ୍ୱାଡୋର୍	ikẇāḍōr
ଏସ୍ତୋନିଆ	ēstōni'ā
ଇଜିପ୍ଟ	ijipṭa
ପଶ୍ଚିମ ସାହାରା	paścima sāhārā
ଇରିଟ୍ରିୟା	iriṭriẏā
ସ୍ପେନ୍	spēn
ଇଥିଓପିଆ	ithi'ōpi'ā
ୟୁରୋପିଆନ୍ ୟୁନିଅନ୍	ẏurōpi'ān ẏuni'an
ଫିନଲ୍ୟାଣ୍ଡ	phinalẏāṇḍa
ଫିଜି	phiji
ଫଲ୍କଲ୍ୟାଣ୍ଡ ଦ୍ବୀପପୁଞ୍ଜ	phalkalẏāṇḍa dbīpapuñja
ମାଇକ୍ରୋନେସିଆ	mā'ikrōnēsi'ā
ଫାରୋଇ ଦ୍ବୀପପୁଞ୍ଜ	phārō'i dbīpapuñja
ଫ୍ରାନ୍ସ	phrānsa
ଗାବୋନ୍	gābōn
ବ୍ରିଟେନ୍	briṭēn
ଗ୍ରେନାଡା	grēnāḍā
ଜର୍ଜିଆ	jarji'ā
ଫ୍ରେଞ୍ଚ ଗୁଇନା	phrēñca gu'inā
ଗୁଏରନେସି	gu'ēranēsi
ଘାନା	ghānā
ଜିବ୍ରାଲ୍ଟର୍	jibrālṭar
ଗ୍ରୀନଲ୍ୟାଣ୍ଡ	grīnalẏāṇḍa
ଗାମ୍ବିଆ	gāmbi'ā
ଗୁଏନେଆ	gu'ēnē'ā
ଗୌଡେଲୌପେ	gauḍēlaupē
ଇକ୍ବାଟେରିଆଲ୍ ଗୁଇନିଆ	ikbāṭēri'āl gu'ini'ā
ଗ୍ରୀସ୍	grīs
ଦକ୍ଷିଣ ଜର୍ଜିଆ ଏବଂ ଦକ୍ଷିଣ ସାଣ୍ଡୱିଚ୍ ଦ୍ବୀପପୁଞ୍ଜ	dakṣiṇa jarji'ā ēbaṁ dakṣiṇa sāṇḍaẇic dbīpapuñja
ଗୁଏତମାଲା	gu'ētamālā
ଗୁଆମ୍	gu'ām
ଗୁଇନିଆ-ବିସାଉ	gu'ini'ā-bisā'u
ଗୁଇନା	gu'inā
ହଂକଂ ବିଶେଷ ପ୍ରଶାସନିକ କ୍ଷେତ୍ର ଚୀନ୍	haṅkaṁ biśēṣa praśāsanika kṣētra cīn
ହାର୍ଡ ଦ୍ବୀପପୁଞ୍ଜ ଏବଂ ମ୍ୟାକଡୋନାଲ୍ ଦ୍ବୀପପୁଞ୍ଜ	hārḍa dbīpapuñja ēbaṁ mẏākaḍōnāl dbīpapuñja
ହୋଣ୍ଡାରୁସ୍	hōṇḍārus
କ୍ରୋଆଟିଆ	krō'āṭi'ā
ହାଇତି	hā'iti
ହଙ୍ଗେରୀ	haṅgērī
ଇଣ୍ଡୋନେସିଆ	iṇḍōnēsi'ā
ଆୟରଲ୍ୟାଣ୍ଡ	āẏaralẏāṇḍa
ଇସ୍ରାଏଲ୍	isrā'ēl
ଆଇଲ୍ ଅଫ୍ ମୈନ୍	ā'il aph main
ଭାରତ	bhārata
ବ୍ରିଟିଶ୍ ଭାରତୀୟ ସାମୁଦ୍ରିକ କ୍ଷେତ୍ର	briṭiś bhāratīẏa sāmudrika kṣētra
ଇରାକ୍	irāk
ଇରାନ୍	irān
ଆଇସଲ୍ୟାଣ୍ଡ	ā'isalẏāṇḍa
ଇଟାଲୀ	iṭālī
ଜର୍ସି	jarsi
ଜାମାଇକା	jāmā'ikā
ଜୋର୍ଡାନ୍	jōrḍān
ଜାପାନ୍	jāpān
କେନିୟା	kēniẏā
କିର୍ଗିଜିସ୍ଥାନ	kirgijisthāna
କାମ୍ବୋଡିଆ	kāmbōḍi'ā
କିରିବାଟୀ	kiribāṭī
କାମୋରସ୍	kāmōras
ସେଣ୍ଟ କିଟସ୍ ଏଣ୍ଡ ନେଭିସ୍	sēṇṭa kiṭas ēṇḍa nēbhis
ଉତ୍ତର କୋରିଆ	uttara kōri'ā
ଦକ୍ଷିଣ କୋରିଆ	dakṣiṇa kōri'ā
କୁଏତ୍	ku'ēt
କେମ୍ୟାନ୍ ଦ୍ବୀପପୁଞ୍ଜ	kēmẏān dbīpapuñja
କାଜାକାସ୍ଥାନ୍	kājākāsthān
ଲାଓସ୍	lā'ōs
ଲେବାନନ୍	lēbānan
ସେଣ୍ଟ ଲୁସିଆ	sēṇṭa lusi'ā
ଲିଚେସ୍ତିଆନାନ୍	licēsti'ānān
ଶ୍ରୀଲଙ୍କା	śrīlaṅkā
ଲିବେରିଆ	libēri'ā
ଲେସୋଥୋ	lēsōthō
ଲିଥାଆନିଆ	lithā'āni'ā
ଲକ୍ସେମବର୍ଗ	laksēmabarga
ଲାଟଭିଆ	lāṭabhi'ā
ଲିବିଆ	libi'ā
ମୋରୋକ୍କୋ	mōrōkkō
ମୋନାକୋ	mōnākō
ମାଲଡୋଭା	mālaḍōbhā
ମଣ୍ଟେଗ୍ରୋ	maṇṭēgrō
ସେଣ୍ଟ ମାର୍ଟିନ୍	sēṇṭa mārṭin
ମାଡାଗାସ୍କର୍	māḍāgāskar
ମାର୍ଶଲ୍ ଦ୍ବୀପପୁଞ୍ଜ	mārśal dbīpapuñja
ମାସେଡୋନିଆ	māsēḍōni'ā
ମାଳୀ	māḷī
ମିୟାମାର୍	miẏāmār
ମଙ୍ଗୋଲିଆ	maṅgōli'ā
ମାକାଉ SAR ଚିନ୍	mākā'u SAR cin
ଉତ୍ତର ମାରିଆନା ଦ୍ବୀପପୁଞ୍ଜ	uttara māri'ānā dbīpapuñja
ମାର୍ଟିନିକ୍ୟୁ	mārṭinikẏu
ମାଉରିଟାନିଆ	mā'uriṭāni'ā
ମଣ୍ଟେସେରାଟ୍	maṇṭēsērāṭ
ମାଲ୍ଟା	mālṭā
ମୌରିସସ୍	maurisas
ମାଳଦ୍ବୀପ	māḷadbīpa
ମାଲୱି	mālaẇi
ମେକ୍ସିକୋ	mēksikō
ମାଲେସିଆ	mālēsi'ā
ମୋଜାମ୍ବିକ୍ୟୁ	mōjāmbikẏu
ନାମ୍ବିଆ	nāmbi'ā
ନୂତନ କାଲେଡୋନିଆ	nūtana kālēḍōni'ā
ନାଇଜର୍	nā'ijar
ନରଫ୍ଲକ୍ ଦ୍ବୀପ	naraphlak dbīpa
ନାଇଜେରିଆ	nā'ijēri'ā
ନିକାରାଗୁଆ	nikārāgu'ā
ନେଦରଲ୍ୟାଣ୍ଡ	nēdaralẏāṇḍa
ନରୱେ	naraẇē
ନେପାଳ	nēpāḷa
ନାଉରୁ	nā'uru
ନିଉ	ni'u
ନ୍ୟୁଜିଲାଣ୍ଡ	nẏujilāṇḍa
ଓମାନ୍	ōmān
ପାନାମା	pānāmā
ପେରୁ	pēru
ଫ୍ରେଞ୍ଚ ପଲିନେସିଆ	phrēñca palinēsi'ā
ପପୁଆ ନ୍ୟୁ ଗୁଏନିଆ	papu'ā nẏu gu'ēni'ā
ଫିଲିପାଇନସ୍	philipā'inas
ପାକିସ୍ତାନ	pākistāna
ପୋଲାଣ୍ଡ	pōlāṇḍa
ସେଣ୍ଟ ପିଏରେ ଏବଂ ମିକ୍ବାଲୋନ୍	sēṇṭa pi'ērē ēbaṁ mikbālōn
ପିଟକାଇରିନ୍	piṭakā'irin
ପୁଏର୍ତ୍ତୋ ରିକୋ	pu'ērttō rikō
ପାଲେସ୍ତେନିଆ	pālēstēni'ā
ପର୍ତ୍ତୁଗାଲ୍	parttugāl
ପାଲାଉ	pālā'u
ପାରାଗୁଏ	pārāgu'ē
କତାର୍	katār
ଆଉଟଲେଇଂ ଓସେନିଆ	ā'uṭalē'iṁ ōsēni'ā
ରିୟୁନିଅନ୍	riẏuni'an
ରୋମାନିଆ	rōmāni'ā
ସର୍ବିଆ	sarbi'ā
ରୁଷିଆ	ruṣi'ā
ରାୱାଣ୍ଡା	rāẇāṇḍā
ସାଉଦି ଆରବିଆ	sā'udi ārabi'ā
ସୋଲୋମନ୍ ଦ୍ବୀପପୁଞ୍ଜ	sōlōman dbīpapuñja
ସେଚେଲସ୍	sēcēlas
ସୁଦାନ୍	sudān
ସ୍ୱେଡେନ୍	sẇēḍēn
ସିଙ୍ଗାପୁର୍	siṅgāpur
ସେଣ୍ଟ ହେଲେନା	sēṇṭa hēlēnā
ସ୍ଲୋଭେନିଆ	slōbhēni'ā
ସାଲ୍ଭାର୍ଡ ଏବଂ ଜାନ୍ ମାୟୋନ୍	sālbhārḍa ēbaṁ jān māẏōn
ସ୍ଲୋଭାକିଆ	slōbhāki'ā
ସିଓରା ଲିଓନ୍	si'ōrā li'ōn
ସାନ୍ ମାରିନୋ	sān mārinō
ସେନେଗାଲ୍	sēnēgāl
ସୋମାଲିଆ	sōmāli'ā
ସୁରିନାମ	surināma
ଦକ୍ଷିନ ସୁଦାନ	dakṣina sudāna
ସାଓ ଟୋମେ ଏବଂ ପ୍ରିନସିପି	sā'ō ṭōmē ēbaṁ prinasipi
ଏଲ୍ ସାଲଭାଡୋର୍	ēl sālabhāḍōr
ସିରିଆ	siri'ā
ସ୍ବାଜିଲାଣ୍ଡ	sbājilāṇḍa
ତୁର୍କସ୍ ଏବଂ ସାଇକସ୍ ଦ୍ବୀପପୁଞ୍ଜ	turkas ēbaṁ sā'ikas dbīpapuñja
ଚାଦ୍	cād
ଫରାସୀ ଦକ୍ଷିଣ କ୍ଷେତ୍ର	pharāsī dakṣiṇa kṣētra
ଟୋଗୋ	ṭōgō
ଥାଇଲାଣ୍ଡ	thā'ilāṇḍa
ତାଜିକିସ୍ଥାନ୍	tājikisthān
ଟୋକେଲାଉ	ṭōkēlā'u
ପୁର୍ବ ତିମୋର୍	purba timōr
ତୁର୍କମେନିସ୍ତାନ୍	turkamēnistān
ତୁନିସିଆ	tunisi'ā
ଟୋଙ୍ଗା	ṭōṅgā
ତୁର୍କୀ	turkī
ତ୍ରିନିଦାଦ୍ ଏବଂ ଟୋବାଗୋ	trinidād ēbaṁ ṭōbāgō
ଟୁଭାଲୁ	ṭubhālu
ତାଇୱାନ୍	tā'iẇān
ତାଞ୍ଜାନିଆ	tāñjāni'ā
ୟୁକ୍ରାଇନ୍	ẏukrā'in
ଉଗାଣ୍ଡା	ugāṇḍā
ୟୁନାଇଟେଡ୍ ଷ୍ଟେଟସ୍ ମାଇନର୍ ଆଉଟଲେଇଂ ଦ୍ବୀପପୁଞ୍ଜ	ẏunā'iṭēḍ ṣṭēṭas mā'inar ā'uṭalē'iṁ dbīpapuñja
ଯୁକ୍ତ ରାଷ୍ଟ୍ର ଆମେରିକା	yukta rāṣṭra āmērikā
ଉରୁଗୁଏ	urugu'ē
ଉଜବେକିସ୍ଥାନ୍	ujabēkisthān
ଭାଟିକାନ୍	bhāṭikān
ସେଣ୍ଟ ଭିନସେଣ୍ଟ ଏବଂ ଦି ଗ୍ରେନାଡିସ୍	sēṇṭa bhinasēṇṭa ēbaṁ di grēnāḍis
ଭେନଜୁଏଲା	bhēnaju'ēlā
ବ୍ରିଟିଶ୍ ଭର୍ଜିନ୍ ଦ୍ବୀପପୁଞ୍ଜ	briṭiś bharjin dbīpapuñja
ୟୁଏସ୍ ଭର୍ଜିନ୍ ଦ୍ବୀପପୁଞ୍ଜ	ẏu'ēs bharjin dbīpapuñja
ଭିଏତନାମ୍	bhi'ētanām
ଭାନୁଆତୁ	bhānu'ātu
ୱାଲିସ୍ ଏବଂ ଫୁତୁନା	ẇālis ēbaṁ phutunā
ସାମୋଆ	sāmō'ā
ୟେମେନ୍	ẏēmēn
ମାୟୋଟେ	māẏōṭē
ଦକ୍ଷିଣ ଆଫ୍ରିକା	dakṣiṇa āphrikā
ଜାମ୍ବିଆ	jāmbi'ā
ଜିମ୍ବାୱେ	jimbāẇē
ଅଜଣା କିମ୍ବା ଅବୈଧ ପ୍ରଦେଶ	ajaṇā kimbā abaidha pradēśa
