childCode	Label	parentCode	Label
!Xu (Q5508716)	Khoisan [Other] (khi) (khi, Q3361)
"Norman" Tasmanian (Q454030)	Northeastern Tasmanian (Q705806)
Adamawa Fulfulde (fub) (fub, Q3477)	Fula (ff) (ff, Q3345)
Adamawa–Ubangi (Q35153)	Volta–Congo (Q3722)
Adang (adn) (adn, Q339827)	Alor–Pantar (Q350242)
Adangbe (adq) (adq, Q3473)	Kwa (Q3343)
Adangme (ada) (ada, Q3514)	Ga–Dangme (Q344333)
Adasen (tiu) (tiu, Q1121479)	Northern Luzon (Q28930)
Adele (ade) (ade, Q2774)	Ghana–Togo Mountain (Q49302)
Adhola (adh) (adh, Q197140)	Southern Luo (Q757010)
Adi (adi) (adi, Q5644)	Tani (Q321753)
Adihup (Q2592736)	Hatam (had) (had, Q5682)
Adilabad Gondi (wsg) (wsg, Q6331375)	Gondi (gon) (gon, Q177536)
Adioukrou (adj) (adj, Q3473)	Kwa (Q3343)
Adithinngithigh (dth) (dth, Q468303)	North Cape York Paman (Q705436)
Adivasi Oriya (ort) (ort, Q1295379)	Oriya languages (Q710289)
Admiralty Islands (Q270130)	Oceanic languages (Q32445)
Adnyamathanha (adt) (adt, Q222539)	Thura-Yura (Q779923)
Adonara (adr) (adr, Q468450)	Flores–Lembata (Q1704337)
Adu (Q4880981)	Nisoish (Q5699)
Aduge (adu) (adu, Q3473)	Northwestern Edoid (Q1611101)
Adyghe (Cyrillic) (ady-Cyrl) (ady-Cyrl, Q6436298)	Adyghe (ady) (ady, Q2777)
Adyghe (ady) (ady, Q2777)	Circassian (Q85854)
Adzera (adz) (adz, Q332744)	Markham (Q306443)
Aegean Macedonian (Q3595)	South Slavic languages (zls) (zls, Q14666)
Aeka (aez) (aez, Q1611052)	Orokaiva (okv) (okv, Q710375)
Aequian (xae) (xae, Q93057)	Italic languages (itc) (itc, Q13184)
Aer (aeq) (aeq, Q324674)	Gujarati languages (Q561704)
Afade (aal) (aal, Q5643)	Afro-Asiatic [Other] (afa) (afa, Q2526)
Afar (aa) (aa, Q2781)	Cushitic [Other] (cus) (cus, Q3324)
Afitti (aft) (aft, Q340082)	Nyima (Q1168874)
African Nova Scotian English (Q6508396)	English (en) (en, Q186)
African-American English (Q4876724)	American English (en-US) (en-US, Q797)
Afrikaans (Namibia) (af-NA) (af-NA, Q1387387)	Afrikaans (af) (af, Q1419)
Afrikaans (af) (af, Q1419)	Low Franconian (Q15305)
Afro-Asiatic [Other] (afa) (afa, Q2526)	Q2016217 (Q2016217)
Afro-Asiatic [Other] (afa) (afa, Q2526)	Q27631 (Q27631)
Afro-Seminole Creole (afs) (afs, Q2786)	Sea Island Creole English (gul) (gul, Q3339)
Afshar (Q3483)	Southern Oghuz (Q10661221)
Agariya (agi) (agi, Q66358)	Munda languages (mun) (mun, Q3389)
Agatu (agc) (agc, Q3473)	Etulo-Idoma (Q1263078)
Agavotaguerra (avo) (avo, Q350800)	Arawakan languages (awd) (awd, Q62675)
Agaw (Q5656)	Cushitic [Other] (cus) (cus, Q3324)
Aghu (ahh) (ahh, Q343664)	Awyu (Q1262742)
Aghu-Tharnggala (gtu) (gtu, Q1682598)	Paman (Q264065)
Aghul (agx) (agx, Q3649)	Samur (Q1522915)
Aghwan (xag) (xag, Q3493)	Samur (Q1522915)
Agi (aif) (aif, Q333149)	Torricelli (Q133383)
Agneby (Q1262659)	Nyo (Q200617)
Agoi (ibm) (ibm, Q3472)	Agoi-Doko-Iyoniyong (Q1262659)
Agoi-Doko-Iyoniyong (Q1262659)	Upper Cross River (Q410862)
Agona (Q12217366)	Akan (ak) (ak, Q2802)
Aguacateco (agu) (agu, Q3509)	Mamean (Q1115582)
Aguacatenango Tzeltal (Q4709232)	Tzeltal (tzh) (tzh, Q3680)
Aguano (aga) (aga, Q333120)	Q5173 (Q5173)
Aguaruna (agr) (agr, Q152653)	Chicham (Q139307)
Aguna (aug) (aug, Q3473)	Gbe (Q66828)
Agusan (Q469461)	Manobo languages (mno) (mno, Q321748)
Agusan Manobo (msm) (msm, Q1295369)	Agusan (Q469461)
Agutaynen (agn) (agn, Q339971)	Austronesian [Other] (map) (map, Q4922)
Agwagwune (yay) (yay, Q3473)	Upper Cross River (Q410862)
Ahaggar Tuareg (Q4709182)	Tahaggart Tamahaq (thv) (thv, Q5670)
Ahanta (aha) (aha, Q3472)	Central Tano (Q165848)
Aheri Gondi (esg) (esg, Q1295246)	Gondi (gon) (gon, Q177536)
Aheri Gondi (esg) (esg, Q6299779)	Gondi (gon) (gon, Q177536)
Aheu (thm) (thm, Q3478)	Chut (Q1262904)
Ahirani (ahr) (ahr, Q1554989)	Khandesi (khn) (khn, Q3372)
Ahom (aho) (aho, Q3477)	Southwestern Tai (Q1088925)
Ahtena (aht) (aht, Q2105)	Northern Athabaskan (Q2073)
Ai-Cham (aih) (aih, Q282774)	Kam–Sui (Q102364)
Aighon (aix) (aix, Q350428)	Pasismanua (Q2052656)
Aikanã (tba) (tba, Q340930)	Q5173 (Q5173)
Aiki (Q469696)	Maban (Q3598)
Aiklep (mwg) (mwg, Q339965)	Ngero–Vitiaz (Q306442)
Aimele (ail) (ail, Q332741)	Bosavi (Q494712)
Aimol (aim) (aim, Q469717)	Kuki-Chin (Q83241)
Ainu (Q5011197)	Altaic [Other] (tut) (tut, Q3784)
Ainu (Q5011197)	Q2016217 (Q2016217)
Ainu (Q5011197)	Q27631 (Q27631)
Ainu (Q5011197)	Q77186 (Q77186)
Ainu (ain) (ain, Q2796)	Ainu (Q5011197)
Ainu [China] (aib) (aib, Q2792)	Eastern Karluk (Q421532)
Aiome (aki) (aki, Q5673)	Annaberg (Q476773)
Air (Q4701286)	Tayart Tamajeq (thz) (thz, Q5638)
Airoran (air) (air, Q332113)	Kwerba (Q1263513)
Ait Seghrouchen Berber (Q469926)	Eastern Middle Atlas Berber (Q1989484)
Aiton (aio) (aio, Q339972)	Southwestern Tai (Q1088925)
Aizi (Q469943)	Kru (kro) (kro, Q3353)
Aja [Benin] (ajg) (ajg, Q3503)	Gbe (Q66828)
Aja [South Sudan] (aja) (aja, Q323749)	Central Sudanic languages (csu) (csu, Q19082)
Ajawa (ajw) (ajw, Q5664)	Warji (Q8581443)
Ajem-Turkic (Q11081270)	Old Anatolian Turkish (Q708339)
Ajië (aji) (aji, Q282886)	New Caledonian (Q309122)
Ajumbu (muc) (muc, Q3586)	Southern Bantoid (Q318315)
Ajuwa (Q8574028)	Plateau (Q126747)
Ajyíninka Apurucayali (cpc) (cpc, Q332740)	Campa (Q502772)
Ak (akq) (akq, Q5665)	Yellow River (Q805181)
Aka (soh) (soh, Q345094)	Aka-Kelo-Molo (Q1262664)
Aka-Bea (abj) (abj, Q235639)	Great Andamanese (Q351510)
Aka-Cari (aci) (aci, Q267041)	Great Andamanese (Q351510)
Aka-Jeru (akj) (akj, Q291912)	Great Andamanese (Q351510)
Aka-Kede (akx) (akx, Q343681)	Great Andamanese (Q351510)
Aka-Kelo-Molo (Q1262664)	Eastern Jebel (Q340887)
Aka-Kol (aky) (aky, Q343678)	Great Andamanese (Q351510)
Aka-Kora (ack) (ack, Q343368)	Great Andamanese (Q351510)
Akan (ak) (ak, Q2802)	Central Tano (Q165848)
Akan (ak) (ak, Q2802)	Kwa (Q3343)
Akan (ak) (ak, Q3557)	Akan (ak) (ak, Q2802)
Akan (ak) (ak, Q3557)	Central Tano (Q165848)
Akan (ak) (ak, Q3685)	Akan (ak) (ak, Q2802)
Akan (ak) (ak, Q3685)	Central Tano (Q165848)
Akar-Bale (acl) (acl, Q343682)	Great Andamanese (Q351510)
Akawaio (ake) (ake, Q2805)	Kapong (Q5484165)
Ake (aik) (aik, Q3480)	South Plateau (Q756823)
Akebu (keu) (keu, Q3502)	Kebu-Animere (Q1263438)
Akei (tsr) (tsr, Q282896)	North and Central Vanuatu (Q307030)
Akeu (aeu) (aeu, Q470065)	Hanoish (Q564934)
Akha (ahk) (ahk, Q5664)	Loloish (Q3703)
Akhaic (Q1262665)	Hani (Q2549465)
Akhvakh (akv) (akv, Q5642)	Andic (Q49215)
Akkadian (akk) (akk, Q3551)	East Semitic (Q16427)
Akkadian (akk) (akk, Q3551)	Semitic [Other] (sem) (sem, Q3404)
Akkala Sami (sia) (sia, Q3524)	Eastern Sami (Q350126)
Aklanon (Q282909)	Western Visayan (Q321737)
Aklanon (akl) (akl, Q877)	Aklanon (Q282909)
Akoose (bss) (bss, Q3480)	Bantu [Other] (bnt) (bnt, Q3314)
Akoye (miw) (miw, Q332746)	Angan (Q321736)
Akpa (akf) (akf, Q3480)	Idomoid (Q97419)
Akpa (akf) (akf, Q3480)	Yatye-Akpa (Q1264537)
Akpes (Q5376890)	Benue–Congo (Q3325)
Akpes (ibe) (ibe, Q3545)	Akpes (Q5376890)
Akpondu (Q8574031)	Alumic (Q473735)
Akrukay (afi) (afi, Q5700)	Tamolan (Q768163)
Akukem (spm) (spm, Q470193)	Misegian (Q687531)
Akum (aku) (aku, Q3479)	Yukubenic (Q1690919)
Akuntsu (aqz) (aqz, Q470196)	Tuparí (Q204035)
Akurio (ako) (ako, Q5665)	Cariban (Q3309)
Akweya (Q1262667)	Idomoid (Q97419)
Akwáwa (Q350748)	Tupi–Guarani (Q14861)
Akyaung Ari Naga (nqy) (nqy, Q470203)	Tangkhul (Q151665)
Akyem Bosome (Q12217356)	Akan (ak) (ak, Q2802)
Alabama (akz) (akz, Q181502)	Muskogean (Q90297)
Alabat Island Agta (dul) (dul, Q339970)	Central Philippine (Q311965)
Alacalufan languages (aqa) (aqa, Q128843)	Q5173 (Q5173)
Alacatlatzala Mixtec (mim) (mim, Q1469789)	Q5348135 (Q5348135)
Alago (ala) (ala, Q3481)	Etulo-Idoma (Q1263078)
Alagwa (wbj) (wbj, Q5662)	South Cushitic (Q5652)
Alagüilac (Q5703)	Q3364 (Q3364)
Alamblak (Q470583)	Sepik Hill (Q745192)
Alamblak (amp) (amp, Q5668)	Alamblak (Q470583)
Alangan (alj) (alj, Q332742)	Northern Mindoro (Q705875)
Alanic (xln) (xln, Q365858)	Indo-European [Other] (ine) (ine, Q1986)
Alawa (alh) (alh, Q214791)	Arnhem (Q258170)
Alazapa (Q12881023)	Coahuilteco (xcw) (xcw, Q200806)
Alazapa (Q12881023)	Q5173 (Q5173)
Albanian (sq) (sq, Q874)	Indo-European [Other] (ine) (ine, Q1986)
Albanian languages (sqj) (sqj, Q1262669)	Indo-European [Other] (ine) (ine, Q1986)
Alcozauca Mixtec (xta) (xta, Q2555958)	Q5348135 (Q5348135)
Alege (alf) (alf, Q3481)	Bendi (Q488706)
Alekano (gah) (gah, Q344159)	Goroka (Q1547859)
Aleut (Q1185074)	Eskimo-Aleut languages (esx) (esx, Q2594)
Aleut (ale) (ale, Q2721)	Aleut (Q1185074)
Alfendio (Q1173202)	Sepik–Ramu (Q132453)
Algerian Arabic (arq) (arq, Q5649)	Maghrebi Arabic (Q119479)
Algerian Saharan Arabic (aao) (aao, Q5672)	Maghrebi Arabic (Q119479)
Algic languages (aql) (aql, Q72161)	Q5173 (Q5173)
Algonquian languages (alg) (alg, Q3339)	Algic languages (aql) (aql, Q72161)
Algonquin (alq) (alq, Q2809)	Ojibwa (oj) (oj, Q3387)
Ali (aiy) (aiy, Q3481)	Gbaya (gba) (gba, Q309998)
Alingpo (Q1983984)	Nisoish (Q5699)
Alladian (ald) (ald, Q3483)	Kru (kro) (kro, Q3353)
Alladian (ald) (ald, Q3483)	Kwa (Q3343)
Allar (all) (all, Q339363)	Dravidian [Other] (dra) (dra, Q3331)
Allentiac (Q900672)	Huarpe (Q157833)
Alngith (aid) (aid, Q327940)	North Cape York Paman (Q705436)
Alo Phola (ypo) (ypo, Q3352215)	Loloish (Q3703)
Alor (Q1262677)	Alor–Pantar (Q350242)
Alor (aol) (aol, Q333206)	Flores–Lembata (Q1704337)
Alor Malay (Q10809987)	Malay trade and creole languages (Q65341)
Alor–Pantar (Q350242)	Timor–Alor–Pantar (Q1659000)
Alovas (Q8574101)	Malakula (Q674306)
Aloápam Zapotec (zaq) (zaq, Q473472)	Tlacolula Zapotec (Q6238983)
Alsea (aes) (aes, Q239564)	Alsean (Q1554802)
Alsean (Q1554802)	Penutian (Q11548)
Alsean (Q1554802)	Q5173 (Q5173)
Alta (Q5585963)	Meso-Cordilleran (Q757150)
Altai (Q2817)	Siberian Turkic (Q35435)
Altai (Q2817)	Turkic languages (trk) (trk, Q3409)
Altaic [Other] (tut) (tut, Q3784)	Q27631 (Q27631)
Altaic [Other] (tut) (tut, Q3784)	Q9879175 (Q9879175)
Altaic [Other] (tut) (tut, Q3784)	Ural–Altaic (Q72865)
Alto Huallaga Quechua (Q5092481)	Quechua (qu) (qu, Q521)
Alto Marañón Quechua (Q5092481)	Quechua (qu) (qu, Q521)
Alto Pativilca–Alto Marañón–Alto Huallaga Quechua (Q1319111)	Quechua (qu) (qu, Q521)
Alu (Q4879932)	Loloish (Q3703)
Alu Kurumba (xua) (xua, Q1295267)	Tamil-Kodagu (Q2549451)
Alu Kurumba (xua) (xua, Q1295267)	Tamil–Kannada (Q647850)
Alugu (aub) (aub, Q1262679)	Southeastern Loloish (Q1611189)
Alumic (Q473735)	Plateau (Q126747)
Alumu-Tesu (aab) (aab, Q3503)	Alumic (Q473735)
Alune (alp) (alp, Q332736)	Amalumute (Q2549465)
Alungul (Q1682767)	Paman (Q264065)
Aluo (yna) (yna, Q473753)	Southeastern Loloish (Q1611189)
Alur (alz) (alz, Q5650)	Western Nilotic (Q311498)
Alutor (alr) (alr, Q2821)	Q260673 (Q260673)
Alviri-Vidari (avd) (avd, Q332735)	Southern Tati (Q4709261)
Alyawarr (aly) (aly, Q332738)	Arandic (Q478407)
Alyawarr (aly) (aly, Q332738)	Q176794 (Q176794)
Ama [Sudan] (nyi) (nyi, Q3484)	Nyima (Q1168874)
Amahai (amq) (amq, Q332738)	Piru Bay (Q719811)
Amahuaca (amc) (amc, Q266915)	Panoan (Q154453)
Amal (aad) (aad, Q5670)	Sepik (Q350877)
Amalumute (Q2549465)	Three Rivers (Q1264356)
Amam (Q3353072)	Goilalan (Q557764)
Amami (Q5692)	Northern Ryukyuan (Q2086279)
Amami Ōshima (Q2148330)	Amami (Q5692)
Amami Ōshima (Q2148330)	Northern Ryukyuan (Q2086279)
Amami-North Okinawan (Q5092481)	Central Okinawan (ryu) (ryu, Q3423)
Amanab (amn) (amn, Q332739)	Waris (Q1264507)
Amanayé (ama) (ama, Q350805)	Tupi–Guarani (Q14861)
Amara (Q1737963)	Beja (bej) (bej, Q3302)
Amara (aie) (aie, Q284118)	Ngero–Vitiaz (Q306442)
Amarakaeri (amr) (amr, Q3512)	Harakmbut (Q158440)
Amarasi (aaz) (aaz, Q474019)	Timoric (Q780698)
Amarizana (Q1682778)	Upper Amazon Arawakan (Q789845)
Amasi (Q474040)	Momo (Q689739)
Amatlán Zapotec (zpo) (zpo, Q474061)	Coatlán Zapotec (Q6213195)
Amazon Mayoruna (Q1691143)	Panoan (Q154453)
Amazonian (Q474089)	Q5173 (Q5173)
Amba [Solomon Islands] (utp) (utp, Q284146)	Utupua-Vanikoro (Q321754)
Amba [Uganda] (rwm) (rwm, Q78842)	Bantu [Other] (bnt) (bnt, Q3314)
Ambakich (aew) (aew, Q5664)	Ramu–Lower Sepik (Q321747)
Ambelau (amv) (amv, Q266921)	Central Maluku (Q321747)
Amblong (alm) (alm, Q1102261)	West Santo (Q284199)
Ambo-Pasco Quechua (qva) (qva, Q1295383)	Yaru Quechua (Q804959)
Ambonese Malay (Netherlands) (abs-NL) (abs-NL, Q2623390)	Ambonese Malay (abs) (abs, Q312435)
Ambonese Malay (abs) (abs, Q312435)	Malayic (Q66262)
Ambrak (aag) (aag, Q474170)	Torricelli (Q133383)
Amdang (amj) (amj, Q2833)	Fur (Q298951)
American Rusyn (Q10940165)	Rusyn (rue) (rue, Q2624)
American Sign Language (BLASL) (ase-blasl) (ase-blasl, Q1986444)	American Sign Language (ase) (ase, Q1475)
American Sign Language (ase) (ase, Q1475)	Q550192 (Q550192)
Amerind languages (Q47014)	Q5173 (Q5173)
Amharic (am) (am, Q2824)	Ethiopian Semitic (Q16362)
Amharic (am) (am, Q2824)	Semitic [Other] (sem) (sem, Q3404)
Amharic–Argobba (Q474600)	Ethiopian Semitic (Q16362)
Ami (amy) (amy, Q1040831)	Daly (Q247807)
Ami (amy) (amy, Q1040831)	Western Daly (Q2418911)
Amis (ami) (ami, Q3513)	East Formosan (Q71667)
Amis (ami) (ami, Q4250814)	Amis (ami) (ami, Q3513)
Amol (alx) (alx, Q350426)	Torricelli (Q133383)
Ampari Dogon (aqd) (aqd, Q474805)	Dogon (Q123477)
Ampibabo-Lauje (Q2571480)	Lauje (law) (law, Q649825)
Amto (amt) (amt, Q5651)	Amto–Musan (Q48028)
Amurdak (amg) (amg, Q336001)	Iwaidjan (Q419696)
Amuzgo (Q3509)	Amuzgo-Mixtecan (Q3353147)
Amuzgo-Mixtecan (Q3353147)	Oto-Manguean languages (omq) (omq, Q3366)
Anaang (anw) (anw, Q284532)	Ibibio (Q274364)
Anakalangu (akg) (akg, Q475096)	Sumba–Hawu (Q255265)
Anal (anm) (anm, Q5623)	Kuki-Chin (Q83241)
Anam (pda) (pda, Q350193)	Southern Adelbert (Q1263398)
Anambé (aan) (aan, Q350787)	Tupi–Guarani (Q14861)
Anasi (bpo) (bpo, Q1120781)	Nisa-Anasi (Q475179)
Anatolian (Q14708)	Indo-European [Other] (ine) (ine, Q1986)
Anauyá (Q1682825)	Upper Amazon Arawakan (Q789845)
Ancash Quechua (Q3510)	Quechua I (Q146812)
Ancient Egyptian (egy) (egy, Q5086)	Afro-Asiatic [Other] (afa) (afa, Q2526)
Ancient Egyptian (egy) (egy, Q5086)	Egyptian languages (egx) (egx, Q3461080)
Ancient Greek (grc) (grc, Q3549)	Hellenic (Q204253)
Ancient Hebrew (hbo) (hbo, Q198224)	Hebrew (he) (he, Q928)
Ancient Macedonian (xmk) (xmk, Q3597)	Hellenic (Q204253)
Ancient North Arabian (xna) (xna, Q147221)	Arabian (Q16466)
Andaandi (dgl) (dgl, Q529599)	Nubian languages (nub) (nub, Q151719)
Andaandi (dgl) (dgl, Q5521891)	Andaandi (dgl) (dgl, Q529599)
Andai (afd) (afd, Q475348)	Arafundi (Q478370)
Andajin (ajn) (ajn, Q1611130)	Worrorran (Q203861)
Andalusian Arabic (xaa) (xaa, Q113794)	Maghrebi Arabic (Q119479)
Andamanese (Q3294)	Q2016217 (Q2016217)
Andaqui (ana) (ana, Q284607)	Q5173 (Q5173)
Andarum (aod) (aod, Q350788)	Ataitan (Q481265)
Andegerebinha (adg) (adg, Q350812)	Arandic (Q478407)
Andegerebinha (adg) (adg, Q350812)	Q176794 (Q176794)
Andi (ani) (ani, Q3484)	Andic (Q49215)
Andic (Q49215)	Avar–Andic (Q405540)
Andjingith (Q475450)	North Cape York Paman (Q705436)
Andoa (anb) (anb, Q284617)	Zaparoan (Q3391)
Andoque (ano) (ano, Q266922)	Andoque–Urequena (Q9637206)
Andoquero (Q1682835)	Witotoan (Q4307931)
Andoque–Urequena (Q9637206)	Q5173 (Q5173)
Andra-Hus (anx) (anx, Q284619)	Admiralty Islands (Q270130)
Andro (Q3030140)	Luish (Q5562143)
Aneityum (aty) (aty, Q237911)	South Vanuatu (Q307017)
Anem (anz) (anz, Q5651)	Papuan [Other] (paa) (paa, Q23642)
Aneuk Jamee (Q1247344)	Minangkabau (min) (min, Q1332)
Anfillo (myo) (myo, Q3492)	Gonga (Q414304)
Angaité (aqt) (aqt, Q1573603)	Mascoian (Q190695)
Angal (Q476191)	Engan (Q321744)
Angal-Kewa (Q1262691)	Trans-New Guinea languages (ngf) (ngf, Q3401)
Angami Naga (njm) (njm, Q5676)	Angami–Pochuri (Q53046)
Angami–Pochuri (Q53046)	Naga (Q1132374)
Angan (Q321736)	Trans-New Guinea languages (ngf) (ngf, Q3401)
Angas (Q2058607)	West Chadic A (Q12550097)
Angevin (Q5678)	Oïl (Q3735)
Angguruk Yali (yli) (yli, Q351448)	Yali (Q804746)
Angika (anp) (anp, Q2837)	Hindi (hi) (hi, Q156)
Angkamuthi (avm) (avm, Q6260302)	North Cape York Paman (Q705436)
Angkuic (Q1983985)	Palaungic (Q239117)
Angkula (Q1682852)	Paman (Q264065)
Anglic (Q134634)	Anglo-Frisian (Q532917)
Anglo-Frisian (Q532917)	North Sea Germanic (Q3013)
Anglo-Frisian (Q532917)	West Germanic languages (gmw) (gmw, Q2672)
Anglo-Norman (xno) (xno, Q3521)	Q204491 (Q204491)
Angloromani (rme) (rme, Q54127)	Para-Romani (Q434503)
Angolar (aoa) (aoa, Q3499)	Creoles and pidgins, Portuguese-based [Other] (cpp) (cpp, Q1450710)
Angor (agg) (agg, Q350810)	Senagi (Q206655)
Angoram (aog) (aog, Q5636)	Ramu–Lower Sepik (Q321747)
Angosturas Tunebo (tnd) (tnd, Q2555960)	U'wa (Q318123)
Anguthimri (awg) (awg, Q476428)	North Cape York Paman (Q705436)
Ani Phowa (ypn) (ypn, Q3359010)	Phowa (Q718795)
Anii (Balanka dialect of Anii) (blo-balanka) (blo-balanka, Q5670284)	Anii (blo) (blo, Q3483)
Anii (blo) (blo, Q3483)	Ghana–Togo Mountain (Q49302)
Animere (anf) (anf, Q3478)	Kebu-Animere (Q1263438)
Anindilyakwa (aoi) (aoi, Q271465)	Gunwinyguan (Q252142)
Aninka (aqk) (aqk, Q703898)	Ninzic (Q703928)
Anmatyerre (amx) (amx, Q1041231)	Arandic (Q478407)
Anmatyerre (amx) (amx, Q1041231)	Q176794 (Q176794)
Annaberg (Q476773)	Ramu (Q344280)
Anong (nun) (nun, Q274823)	Nungish (Q151548)
Anor (anj) (anj, Q5645)	Annaberg (Q476773)
Anserma (ans) (ans, Q344661)	Choco (Q107561)
Ansus (and) (and, Q351330)	South Halmahera–West New Guinea (Q252661)
Antakarinya (ant) (ant, Q92130)	Wati (Q797466)
Antankarana Malagasy (xmv) (xmv, Q216757)	Malagasy (mg) (mg, Q793)
Antequera Zapotec (Q1957084)	Zapotec (zap) (zap, Q1321)
Antigua and Barbuda Creole English (Montserrat) (aig-MS) (aig-MS, Q690657)	Antigua and Barbuda Creole English (aig) (aig, Q324418)
Antigua and Barbuda Creole English (St. Kitts & Nevis) (aig-KN) (aig-KN, Q740160)	Antigua and Barbuda Creole English (aig) (aig, Q324418)
Antigua and Barbuda Creole English (aig) (aig, Q324418)	Creoles and pidgins, English based [Other] (cpe) (cpe, Q3198)
Antillean Creole (Q3502)	Creoles and pidgins, French-based [Other] (Caribbean) (cpf-029) (cpf-029, Q12316185)
Antoniano (Q2886895)	Salinan (sln) (sln, Q156893)
Anuak (anu) (anu, Q5667)	Western Nilotic (Q311498)
Anufo (cko) (cko, Q3484)	Kwa (Q3343)
Anus (auq) (auq, Q2385)	Western Oceanic (Q270128)
Anuta (aud) (aud, Q3532)	Nuclear Polynesian (Q74385)
Anyin (any) (any, Q2839)	Central Tano (Q165848)
Ao (Q61547)	Kuki-Chin–Naga (Q152124)
Ao Naga (njo) (njo, Q2843)	Ao (Q61547)
Aore (aor) (aor, Q1262712)	Espiritu Santo (Q206225)
Apache languages (apa) (apa, Q2775)	Athapascan languages (ath) (ath, Q2747)
Apalachee (xap) (xap, Q68650)	Muskogean (Q90297)
Apalaí (apy) (apy, Q273698)	Cariban (Q3309)
Apali (ena) (ena, Q350420)	Southern Adelbert (Q1263398)
Apasco-Apoala Mixtec (mip) (mip, Q1358350)	Northeastern Alta Mixtec (Q5679090)
Apatani (apt) (apt, Q5630)	Tani (Q321753)
Apiaká (api) (api, Q350794)	Tupi languages (tup) (tup, Q3407)
Apinayé (apn) (apn, Q285831)	Jê (Q148359)
Apingi (Q1682962)	Cariban (Q3309)
Apma (app) (app, Q266918)	North and Central Vanuatu (Q307030)
Apo Duat (Q478004)	North Sarawakan (Q53856)
